ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000280,nuclear division,118/1911,344/10768,0.3430232558139535,1.9328489893273946,8.167849802936093,5.054943671054314e-14,2.510285027045572e-10,2.2167258245907655e-10,MKI67/TOP2A/CENPF/KIF11/NUSAP1/ASPM/KIFC1/SMC4/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/ANLN/BRCA2/TPX2/KIF22/KIF23/REEP3/KIF15/ZWINT/SPC24/BIRC5/CCNB2/BUB1B/RB1/AURKA/SPAG5/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CDCA2/CCNB1/STAG1/PSRC1/CDC25B/PTTG1/EPS8/SMC1A/PDE3A/KIF2C/FANCD2/KIF18B/CCSAP/SLX4/CDK5RAP2/FBXO5/NCAPH/FZR1/NEK2/CCNA1/CDKN1B/SKA2/RAD51AP1/NIPBL/GEN1/STAG2/FBXO43/CENPI/SKA1/DCTN2/RMDN1/NSL1/CUL7/PHIP/UBE2S/MARF1/HOXA13/CDKN1C/CDC25C/KIF18A/KNTC1/MLH1/KAT2B/NCAPH2/CUL9/MND1/SPDL1/CENPS/BROX/BRIP1/SGO1/CENPK/TENT4A/EME1/RMI1/CEP97/MYBL1/MEI1/SMPD3/FIGNL1/SYCE2/RPS6KA2/RGCC/NFIA/CDC14A/TOM1L2/TUBG2/ING2/TOP6BL/MAP10,118
GO:0007059,chromosome segregation,123/1911,372/10768,0.33064516129032256,1.8631015681706924,7.869273106041103,2.912543704923415e-13,5.391935076961228e-10,4.761388288916311e-10,MKI67/TOP2A/CENPF/KIF11/NUSAP1/ASPM/KIFC1/SMC4/NCAPG/SENP6/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/TUBB/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/TPX2/HJURP/KIF22/KIF23/KIF15/ZWINT/SPC24/BIRC5/CCNB2/BUB1B/RB1/AURKA/SPAG5/NUMA1/CDCA8/SPC25/NEK7/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CDCA2/CCNB1/ECT2/STAG1/SGO2/PSRC1/PTTG1/PLSCR1/GPSM2/HAUS4/STIL/SMC1A/KIF2C/NR3C1/FANCD2/SMC6/KIF18B/CCSAP/CDK5RAP2/FBXO5/NCAPH/NEK2/ARID1A/SKA2/DYNC1H1/ITGB3BP/NIPBL/GEN1/STAG2/ARID2/TNKS/TACC3/HAUS5/CENPI/SKA1/DCTN2/RMDN1/NSL1/PBRM1/DIAPH3/FAM83D/CENPH/CDC27/BRCA1/ESCO2/RMI2/GEM/KIF18A/KNTC1/MLH1/KAT2B/NCAPH2/MAPRE2/HAUS1/MND1/USP9X/SPDL1/CENPS/CEP63/CENPL/FIRRM/MIS18A/BRIP1/SGO1/CENPK/TENT4A/FBXO30/DSN1/CEP97/RECQL5/OIP5/SYCE2/TUBG2/MAP10,123
GO:0140014,mitotic nuclear division,91/1911,246/10768,0.3699186991869919,2.0843979868370113,7.991742555948673,3.257310759340251e-13,5.391935076961228e-10,4.761388288916311e-10,MKI67/CENPF/KIF11/NUSAP1/KIFC1/SMC4/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/ANLN/TPX2/KIF22/KIF23/REEP3/KIF15/ZWINT/SPC24/BIRC5/BUB1B/RB1/AURKA/SPAG5/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CDCA2/CCNB1/STAG1/PSRC1/EPS8/SMC1A/KIF2C/KIF18B/CCSAP/CDK5RAP2/FBXO5/NCAPH/NEK2/CDKN1B/SKA2/NIPBL/GEN1/STAG2/FBXO43/CENPI/SKA1/DCTN2/RMDN1/NSL1/CUL7/PHIP/UBE2S/HOXA13/CDKN1C/CDC25C/KIF18A/KNTC1/KAT2B/NCAPH2/CUL9/SPDL1/BROX/CENPK/TENT4A/CEP97/SMPD3/RGCC/NFIA/CDC14A/TOM1L2/TUBG2/MAP10,91
GO:0048285,organelle fission,125/1911,389/10768,0.3213367609254499,1.8106510945291703,7.564241672554051,1.803986894173465e-12,2.239649729116357e-9,1.977739316085962e-9,MKI67/TOP2A/CENPF/KIF11/NUSAP1/ASPM/KIFC1/SMC4/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/ANLN/BRCA2/TPX2/STAT2/KIF22/KIF23/REEP3/KIF15/ZWINT/SPC24/BIRC5/CCNB2/BUB1B/RB1/AURKA/BNIP3/SPAG5/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CDCA2/CCNB1/STAG1/PSRC1/CDC25B/PTTG1/EPS8/SMC1A/PDE3A/KIF2C/FANCD2/KIF18B/CCSAP/SLX4/CDK5RAP2/FBXO5/NCAPH/FZR1/NEK2/CCNA1/CDKN1B/SKA2/RAD51AP1/NIPBL/GEN1/STAG2/FBXO43/CENPI/SKA1/DCTN2/RMDN1/NSL1/CUL7/PHIP/RALA/UBE2S/PINK1/MARF1/HOXA13/CDKN1C/CDC25C/KIF18A/KNTC1/MLH1/KAT2B/NCAPH2/CUL9/MND1/SPDL1/CENPS/LRRK2/BROX/BRIP1/SGO1/CENPK/TENT4A/EME1/RMI1/GDAP1/CEP97/MYBL1/MEI1/SMPD3/FIGNL1/SYCE2/RPS6KA2/RGCC/NFIA/CDC14A/TOM1L2/TUBG2/ING2/TOP6BL/MAP10/PEX11G,125
GO:0000070,mitotic sister chromatid segregation,70/1911,181/10768,0.3867403314917127,2.1791836156477045,7.431365891392941,1.70645903349189e-11,1.694855112064145e-8,1.4966543860057297e-8,CENPF/KIF11/NUSAP1/KIFC1/SMC4/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/TPX2/KIF22/KIF23/KIF15/ZWINT/SPC24/BIRC5/BUB1B/RB1/SPAG5/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CCNB1/STAG1/PSRC1/SMC1A/KIF2C/KIF18B/CCSAP/CDK5RAP2/FBXO5/NCAPH/NEK2/SKA2/NIPBL/GEN1/STAG2/CENPI/SKA1/DCTN2/RMDN1/NSL1/KIF18A/KNTC1/KAT2B/NCAPH2/SPDL1/CENPK/TENT4A/CEP97/TUBG2/MAP10,70
GO:0098813,nuclear chromosome segregation,92/1911,268/10768,0.34328358208955223,1.9343158618211924,7.19450381295663,3.1760906995298437e-11,2.6287444023108672e-8,2.3213322551300576e-8,TOP2A/CENPF/KIF11/NUSAP1/ASPM/KIFC1/SMC4/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/TPX2/KIF22/KIF23/KIF15/ZWINT/SPC24/BIRC5/CCNB2/BUB1B/RB1/AURKA/SPAG5/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CCNB1/ECT2/STAG1/PSRC1/PTTG1/SMC1A/KIF2C/FANCD2/KIF18B/CCSAP/CDK5RAP2/FBXO5/NCAPH/NEK2/ARID1A/SKA2/DYNC1H1/NIPBL/GEN1/STAG2/ARID2/TACC3/CENPI/SKA1/DCTN2/RMDN1/NSL1/PBRM1/FAM83D/CDC27/RMI2/GEM/KIF18A/KNTC1/MLH1/KAT2B/NCAPH2/MND1/SPDL1/BRIP1/SGO1/CENPK/TENT4A/DSN1/CEP97/SYCE2/TUBG2/MAP10,92
GO:0000819,sister chromatid segregation,77/1911,216/10768,0.35648148148148145,2.0086826753493416,6.955821420762725,1.7449064140740678e-10,1.2378864646131173e-7,1.0931248302304612e-7,TOP2A/CENPF/KIF11/NUSAP1/KIFC1/SMC4/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/TPX2/KIF22/KIF23/KIF15/ZWINT/SPC24/BIRC5/BUB1B/RB1/SPAG5/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CCNB1/STAG1/PSRC1/SMC1A/KIF2C/KIF18B/CCSAP/CDK5RAP2/FBXO5/NCAPH/NEK2/ARID1A/SKA2/NIPBL/GEN1/STAG2/ARID2/TACC3/CENPI/SKA1/DCTN2/RMDN1/NSL1/PBRM1/CDC27/RMI2/KIF18A/KNTC1/KAT2B/NCAPH2/SPDL1/CENPK/TENT4A/CEP97/TUBG2/MAP10,77
GO:1905818,regulation of chromosome separation,36/1911,71/10768,0.5070422535211268,2.8570544143984784,7.292176697731194,2.3276419627233577e-10,1.4448837483605243e-7,1.275915317987567e-7,CENPF/SMC4/NCAPG/PLK1/DLGAP5/NCAPD2/BUB1/ESPL1/CDC20/NDC80/UBE2C/KNL1/RAD21/ZWINT/SPC24/BIRC5/BUB1B/RB1/NUMA1/CDCA8/SPC25/INCENP/SMC2/TTK/AURKB/NUF2/CCNB1/PLSCR1/CDK5RAP2/FBXO5/NCAPH/GEN1/SKA1/KNTC1/NCAPH2/SPDL1,36
GO:0051304,chromosome separation,37/1911,77/10768,0.4805194805194805,2.7076053198502175,6.984865932085083,9.357155927376084e-10,5.163070703927737e-7,4.5592879056665227e-7,CENPF/SMC4/NCAPG/PLK1/DLGAP5/NCAPD2/BUB1/ESPL1/CDC20/NDC80/UBE2C/KNL1/RAD21/ZWINT/SPC24/BIRC5/BUB1B/RB1/NUMA1/CDCA8/SPC25/INCENP/SMC2/TTK/AURKB/NUF2/CCNB1/PLSCR1/CDK5RAP2/FBXO5/NCAPH/GEN1/SKA1/KNTC1/NCAPH2/SPDL1/RECQL5,37
GO:0007051,spindle organization,68/1911,189/10768,0.35978835978835977,2.027316095343306,6.61830936163595,1.3030680189274578e-9,6.471035781993755e-7,5.714296175633463e-7,KIF11/ASPM/KIFC1/SENP6/PLK1/DLGAP5/CENPE/ESPL1/CDC20/TUBB/NDC80/PRC1/RACGAP1/TPX2/KIF23/KIF15/SUN2/BIRC5/CCNB2/CKAP5/STMN1/AURKA/SPAG5/NUMA1/CDCA8/SPC25/NEK7/KIF4A/INCENP/TTK/AURKB/NUF2/CCNB1/STAG1/PSRC1/GPSM2/HAUS4/STIL/SMC1A/ILK/CCSAP/FBXO5/NEK2/SKA2/DYNC1H1/STAG2/TNKS/PCNT/TACC3/HAUS5/SKA1/DCTN2/RMDN1/TACC1/PDE4DIP/TRIM36/CENPH/MLH1/MAPRE2/HAUS1/CEP63/CEP120/WDR62/CEP97/FAM110A/KIZ/TUBG2/MAP10,68
GO:0048514,blood vessel morphogenesis,117/1911,395/10768,0.29620253164556964,1.669026091449238,6.292508223595647,2.6364277376331422e-9,1.190227285916926e-6,1.0510390387540354e-6,C3/ANXA1/GLUL/PECAM1/CD36/HSPG2/MMP2/ADM/CYP1B1/SAT1/ATP2B4/PLCD3/MMP14/BTG1/ALOX5/ANXA2/YWHAZ/WNK1/RNF213/EPHB2/PIK3R6/TNFAIP2/PRDM1/EGLN1/CD47/JUN/UNC5B/PIK3R3/FYN/VEZF1/FGFR1/ELK3/CLIC4/NOTCH2/PDE3B/SP1/AKT3/ARID2/ZMIZ1/NEDD4/ETS1/E2F7/NRP1/SERPINE1/SGPL1/E2F8/PRCP/FOXO4/CUL7/NF1/ITGAV/HOXA13/CX3CR1/HK2/APLN/VASH1/BRCA1/SEMA6A/SH2D2A/SLC12A6/HIPK1/ANPEP/ROCK2/MEIS1/THSD7A/SOS1/EIF2AK3/SMAD7/IL18/PGF/C1GALT1/ACVR1/RRAS/JUP/MAPK7/RASA1/VEGFA/TGFBR2/HIPK2/ZFP36L1/RHOB/ADAMTS9/TWIST1/MFGE8/EPHA1/STAB1/HMOX1/CTNND1/EPAS1/RAPGEF2/CXCR3/PTGS2/MMP19/ARHGAP22/COL4A2/EPHA2/RGCC/ITGB3/EFEMP2/CXCL10/COL15A1/C3AR1/EFNB2/ACVRL1/ANG/FKBPL/LRP1/PKD2/HPSE/NRP2/DAB2IP/NR2F2/ID1/COL4A1/CCN2/TNN/GJC1,117
