ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030684,preribosome,73/1806,101/11256,0.7227722772277227,4.504720239465807,15.46660429874352,1.8672887653256376e-36,1.1483825906752671e-33,1.0397850072181707e-33,NOL6/BOP1/PDCD11/NOP56/PES1/WDR3/NOC2L/PPAN/MRTO4/RRP9/EBNA1BP2/RRP7A/RRS1/NOP58/LTV1/DHX37/NOP14/UTP4/NAT10/WDR43/WDR46/SNU13/BYSL/NIP7/WDR74/UTP14A/RRP1B/FTSJ3/IMP4/PNO1/RRP1/RPS17/WDR12/HEATR1/KRI1/RRP15/BMS1/RPS27A/UTP6/RPS12/NOC4L/IMP3/MPHOSPH10/MAK16/RIOK1/UTP20/TBL3/DCAF13/RCL1/NSA2/DNTTIP2/UTP18/NOB1/NOP9/SLX9/FBL/NOL10/UTP25/AATF/UTP3/WDR75/NOL7/WDR36/PWP2/UTP23/UTP15/DIMT1/RPS14/NGDN/UTP11/EMG1/FSAF1/SRFBP1,73
GO:0032040,small-subunit processome,49/1806,71/11256,0.6901408450704225,4.301342941369145,12.198812032265275,2.0999870161157172e-23,6.4574600745558305e-21,5.846805955395865e-21,NOL6/PDCD11/NOP56/WDR3/RRP9/RRP7A/NOP58/DHX37/NOP14/UTP4/NAT10/WDR43/WDR46/SNU13/UTP14A/IMP4/PNO1/RPS17/HEATR1/BMS1/RPS27A/UTP6/RPS12/NOC4L/IMP3/MPHOSPH10/UTP20/TBL3/DCAF13/RCL1/DNTTIP2/UTP18/FBL/NOL10/UTP25/AATF/UTP3/WDR75/NOL7/WDR36/PWP2/UTP23/UTP15/DIMT1/RPS14/NGDN/UTP11/EMG1/FSAF1,49
GO:0098798,mitochondrial protein-containing complex,77/1806,173/11256,0.44508670520231214,2.774028767307434,10.279470897642739,4.926154009478392e-19,1.0098615719430704e-16,9.143633231628313e-17,TOMM40/PHB1/HSPA9/TOMM6/MRPS12/PMPCA/TIMM13/MRPL4/TIMM50/TIMM44/MRPL3/POLRMT/GRPEL1/MRPL24/PPIF/HSD17B10/TOMM20/CHCHD10/VDAC1/PNPT1/PHB2/DAP3/DNAJC11/TIMM17A/SUPV3L1/TIMM23/TOMM5/TOMM22/GADD45GIP1/MRPS34/MRPL12/PTCD3/MICOS10/TIMM8B/AFG3L2/MRPL41/MRPS26/MRPL36/MRPS23/MRPS30/TRMT10C/LYRM4/MRPS21/MRPS5/MRPL14/MRPL20/MRPL2/MICOS13/FXN/MRPS2/MRPL18/MRPL21/MRPS35/TIMM10B/NDUFAB1/POLG2/PDSS1/PAM16/MRPS17/MRPL1/MRPL32/TIMM10/MRPL33/TIMM8A/TIMM9/ROMO1/MRPL50/MRPL52/MRPS7/NSUN4/MRPS25/MRPL46/SLC25A4/ISCA1/SPG7/IMMP2L/TIMM23B,77
GO:0030686,90S preribosome,24/1806,25/11256,0.96,5.983255813953488,10.904096623961912,1.5782733057293797e-18,2.426595207558921e-16,2.1971225756074785e-16,NOL6/BOP1/PES1/WDR3/NOC2L/RRP7A/NOP14/UTP4/IMP4/WDR12/HEATR1/KRI1/UTP6/NOC4L/IMP3/MPHOSPH10/UTP20/TBL3/UTP18/NOP9/SLX9/WDR36/PWP2/SRFBP1,24
GO:0005743,mitochondrial inner membrane,138/1806,454/11256,0.3039647577092511,1.8944780247925415,8.504743770724726,4.462853432896611e-15,5.489309722462831e-13,4.97020940211012e-13,TWNK/TOMM40/PHB1/HSPD1/CYCS/HSPA9/TRAP1/MRPS12/ATP5MC1/PGAM5/PMPCA/TIMM13/ATAD3B/MRPL4/TIMM50/ATAD3A/TIMM44/MRPL3/LDHB/GRPEL1/LETM1/MRPL24/SLC25A32/COQ8A/ALDH18A1/CHCHD10/SLC25A39/NME4/PHB2/DAP3/DNAJC11/BDH1/TIMM17A/TIMM23/GADD45GIP1/MRPS34/MRPL12/RAB5IF/BCS1L/NDUFAF2/PTCD3/SLC25A19/DHODH/UQCR11/MICOS10/COX5A/STOML2/ATP5MK/TIMM8B/NDUFS6/SLC25A15/AFG3L2/MRPL41/SFXN4/MRPS26/SCO1/MRPL36/MRPS23/MRPS30/ATP5ME/NDUFAF4/NDUFB9/MRPS21/ENDOG/FPGS/MRPS5/MRPL14/RDH13/UQCC4/NDUFB2/MRPL20/MRPL2/MICOS13/MRPS2/MRPL18/GCAT/NDUFV3/MRPL21/SCO2/MRPS35/TIMM10B/ATP5MF/NDUFAB1/PDSS1/SLC25A23/PAM16/ALAS1/MRPS17/MRPL1/MRPL32/TIMM10/MRPL33/TIMM8A/SLC25A33/TIMM9/NDUFB10/ROMO1/MRPL50/GATM/MPV17/MRPL52/COX10/MRPS7/PTPMT1/TMEM177/CRLS1/NDUFA3/TMEM126B/SFXN2/MRS2/PISD/COX14/SLC25A25/DMAC1/MRPS25/TMEM160/MRPL46/SLC25A43/MT-ND6/SLC25A22/CCDC51/HCCS/SLC25A28/SLC25A4/KGD4/MT-ATP8/TAMM41/TMEM186/FLVCR1/SLC9B2/ADCK1/COX16/TMEM11/SPG7/MTLN/IMMP2L/UQCC6/TIMM23B,138
GO:0019866,organelle inner membrane,145/1806,493/11256,0.29411764705882354,1.8331053351573188,8.269369988344843,1.7694075573507088e-14,1.8136427462844765e-12,1.6421343821728507e-12,TWNK/TOMM40/PHB1/HSPD1/CYCS/HSPA9/TRAP1/MRPS12/ATP5MC1/PGAM5/PMPCA/TIMM13/ATAD3B/MRPL4/TIMM50/ATAD3A/TIMM44/MRPL3/TMEM120B/LDHB/GRPEL1/LETM1/MRPL24/SLC25A32/COQ8A/SIGMAR1/ALDH18A1/CHCHD10/SLC75A1/SLC25A39/NME4/PHB2/DAP3/DNAJC11/BDH1/TIMM17A/TIMM23/GADD45GIP1/MRPS34/MRPL12/RAB5IF/BCS1L/NDUFAF2/PTCD3/SLC25A19/DHODH/UQCR11/MICOS10/COX5A/STOML2/ATP5MK/TIMM8B/NDUFS6/SLC25A15/AFG3L2/MRPL41/SFXN4/MRPS26/SCO1/MRPL36/MRPS23/MRPS30/NUTF2/ATP5ME/NDUFAF4/NDUFB9/MRPS21/ENDOG/FPGS/MRPS5/MRPL14/RDH13/UQCC4/NDUFB2/MRPL20/MRPL2/MICOS13/MRPS2/MRPL18/GCAT/NDUFV3/MRPL21/SCO2/MRPS35/TIMM10B/ATP5MF/NDUFAB1/PDSS1/SLC25A23/PAM16/ALAS1/MRPS17/MRPL1/MRPL32/TIMM10/MRPL33/TIMM8A/SLC25A33/TIMM9/NDUFB10/ROMO1/MRPL50/GATM/MPV17/MRPL52/COX10/MRPS7/PTPMT1/TMEM177/CRLS1/NDUFA3/TMEM126B/SFXN2/MRS2/PISD/COX14/SLC25A25/DMAC1/MRPS25/TMEM160/MRPL46/SLC25A43/MT-ND6/SLC25A22/CCDC51/HCCS/SLC25A28/SLC25A4/KGD4/MT-ATP8/TAMM41/TMEM186/FLVCR1/SLC9B2/SMAD3/TMEM201/ADCK1/COX16/TMEM11/SPG7/MTLN/IMMP2L/PSEN2/UQCC6/TIMM23B,145
GO:0005759,mitochondrial matrix,137/1806,480/11256,0.28541666666666665,1.7788759689922478,7.6238764612668986,1.1929848714535197e-12,1.048122422777021e-10,9.490060105246796e-11,PUS1/HSPE1/TWNK/C1QBP/HSPD1/PYCR1/HSPA9/TRAP1/MRPS12/NAXE/PMPCA/TOP1MT/MRPL4/ATAD3A/LRRC59/TIMM44/FDPS/MRPL3/POLRMT/GRPEL1/DNAJA3/NAT8L/MRPL24/ALDH18A1/PPIF/HSD17B10/VDAC1/ELAC2/PNPT1/TFB2M/NME4/KARS1/DAP3/BDH1/SUPV3L1/SLIRP/GADD45GIP1/ABCE1/ALDH1B1/MRPS34/TBRG4/MMAB/MRPL12/TUFM/VDAC2/GCDH/PTCD3/IDH3A/HPDL/DHX30/RNASEH1/PARK7/SSBP1/MARS2/ALDH5A1/TP53/MRPL41/MRPS26/MRPL36/FLAD1/GCSH/MRPS23/SOD2/MRPS30/MDH2/TRMT10C/LYRM4/DLAT/MRPS21/PDHA1/SOD1/GARS1/GSR/BOLA3/TRUB2/FPGS/MRPS5/PDP2/MRPL14/ACAT1/MRPL20/MRPL2/FXN/MRPS2/MRPL18/MRPL21/BCKDHA/MRPS35/OAT/NDUFAB1/POLG2/PDSS1/REXO2/PAM16/RPUSD4/ALAS1/TERT/MRPS17/MRPL1/MRPL32/MRPL33/PC/MRM1/MCAT/DDX28/MCCC2/MRPL50/MECR/MRPL52/COX10/MRPS7/PDE12/GLRX5/EARS2/FASTKD2/PTCD1/NDUFAF8/NSUN4/METTL8/NARS2/MRPS25/MRPL46/MRM3/MALSU1/MTERF3/MTRFR/CDK5RAP1/ISCA1/SDHAF2/TAMM41/FAHD1/FDX2/SDHAF1/ABHD11/ACSM3/AMT/LIPT1,137
GO:0030687,"preribosome, large subunit precursor",14/1806,16/11256,0.875,5.453488372093023,7.792788273898744,6.24551838339169e-10,4.8012422572323614e-8,4.3472095063344784e-8,BOP1/PES1/NOC2L/PPAN/MRTO4/EBNA1BP2/RRS1/NIP7/WDR74/FTSJ3/WDR12/RRP15/MAK16/NSA2,14
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,16/1806,22/11256,0.7272727272727273,4.53276955602537,7.250620226218224,5.144420598725853e-9,3.515354075795999e-7,3.182922218392955e-7,NOP56/DKC1/RRP9/NHP2/NOP58/SNU13/GAR1/MPHOSPH10/RPP25/FBL/POP1/NOP10/NAF1/LSM6/RPP38/POP7,16
GO:0030688,"preribosome, small subunit precursor",12/1806,14/11256,0.8571428571428571,5.342192691029901,7.106684537734394,1.8679836031555448e-8,1.1488099159406601e-6,1.0401719221781927e-6,LTV1/NOP14/BYSL/RRP1B/FTSJ3/RRP1/NOC4L/RIOK1/UTP20/NOB1/NOP9/SLX9,12
