ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03010,Ribosome,174,0.7935167015985579,2.074457557410377,1e-10,3.25e-8,2.8947368421052633e-8,1578,"tags=62%, list=13%, signal=55%",MRPS12/MRPL4/RPS26/MRPL3/RPS17/MRPL24/RPL8/RPL22L1/RPL18/RPL26/DAP3/RPS27A/RPS12/RPS15/GADD45GIP1/MRPS34/MRPL12/RPS13/RPS16/RPS23/RPL3/RPL14/PTCD3/RPL36/RPS24/RPL24/RPL31/RPL38/RPL34/RPS8/RPL37A/RPLP2/RPL19/RPS29/RPL27/RPL30/RPS7/RPS10/RPL35A/MRPL41/MRPS26/MRPL36/RPL37/RPS19/RPS6/RPL7/MRPS23/RACK1/RPL13/RPL5/RPL17/RPS9/MRPS30/RPL18A/RPL11/RPL4/RPL10/RPS4X/RPL39/MRPS21/RPL36A/RPL35/FAU/RPS3A/RPL9/RPS18/RPL6/RPS28/RPS21/MRPS5/MRPL14/RPL10A/RPL13A/RPL7A/RPS3/RPLP1/RPL22/MRPL20/MRPL2/RPL23A/MRPS2/MRPL18/MRPS27/RPS11/RPS4Y1/MRPL21/RPL32/RPS15A/MRPS35/RPL29/RPS27/RPL36AL/MRPS17/RPS14/MRPL1/RPL21/MRPL32/UBA52/RSL24D1/AURKAIP1/MRPL33/RPL23/RPL12/MRPL50/MRPL52/RPS25/MRPS7/RPL27A
hsa03008,Ribosome biogenesis in eukaryotes,72,0.8421026699810351,2.002946798261965,3.326276539835694e-10,5.405199377233003e-8,4.8143476234463996e-8,1091,"tags=60%, list=9%, signal=55%",NOL6/NOP56/GNL3/DKC1/WDR3/RRP7A/NHP2/GTPBP4/NOP58/UTP4/NAT10/WDR43/SNU13/UTP14A/IMP4/MDN1/HEATR1/GAR1/TCOF1/BMS1/UTP6/CSNK2B/IMP3/MPHOSPH10/RIOK1/RAN/TBL3/RCL1/UTP18/NOB1/RPP25/FBL/NXT1/POP1/WDR75/RBM28/GNL2/WDR36/PWP2/LSG1/NOP10/UTP15/GNL3L
hsa03040,Spliceosome,143,0.7227524580713138,1.8595113783013764,1.0620567886121113e-7,1.1505615209964538e-5,1.0247916381344935e-5,2334,"tags=50%, list=20%, signal=41%",HSPA8/SNU13/U2AF2/SRSF2/U2AF1/LOC102724594/SF3B6/PRPF19/CHERP/HNRNPM/LSM7/SRSF7/SNRPA1/SRSF3/SNRNP70/TCERG1/SNRPE/SF3A3/SF1/FUS/SNRPB/PUF60/SNRPC/HNRNPK/PRPF31/SRSF9/ALYREF/PQBP1/SNRPF/MAGOH/PRPF3/CCDC12/SNRPD2/SRSF6/SF3B3/HNRNPA3/RBM25/ZMAT2/DHX15/LSM6/ACIN1/SNRPD1/PPIH/SF3B5/SNRPD3/DDX23/PRPF4/USP39/SF3B4/PHF5A/DDX42/SF3A1/NCBP2/TXNL4A/THOC7/EFTUD2/PRPF38B/SNRPG/SRSF4/PRPF6/SNRPA/SRSF1/PPIL1/DHX16/SART1/SNRNP40/SRSF5/EIF4A3/WBP11/DDX46/TRA2B/U2SURP
hsa04814,Motor proteins,113,-0.7123544645572509,-1.9743117632848315,5.554424896190322e-7,4.167146032304661e-5,3.711628044967714e-5,1553,"tags=35%, list=13%, signal=31%",TUBG1/DNAH10/KLC4/TUBA1C/HOOK3/ACTR1B/DNAI3/KIFAP3/KIF24/CAPZA1/TPM1/MYO10/KIF16B/KIF1B/MYO6/DYNC1I2/DYNLT5/KIF18A/KIF20B/DCTN2/MYO7A/DYNC1H1/MYO5A/TUBA1B/ACTA2/TUBA1A/KIF18B/KIF2C/TUBB4B/KIF4A/KIF15/KIF23/KIF22/KIF14/KIFC3/TUBB/CENPE/KIF20A/KIFC1/KIF11
hsa05171,Coronavirus disease,174,0.679354846259075,1.7760089890312956,6.410993895853325e-7,4.167146032304661e-5,3.711628044967714e-5,1359,"tags=46%, list=11%, signal=41%",TNF/RPS26/RPS17/IRAK1/RPL8/MAPK12/RPL22L1/RPL18/RPL26/RPS27A/RPS12/RPS15/RPS13/RPS16/RPS23/RPL3/RPL14/RPL36/RPS24/RPL24/RPL31/RPL38/RPL34/RPS8/RPL37A/RPLP2/RPL19/RPS29/RPL27/RPL30/RPS7/RPS10/RPL35A/RPL37/PRKCB/RPS19/RPS6/RPL7/RPL13/RPL5/RPL17/RPS9/RPL18A/RPL11/RPL4/RPL10/RPS4X/RPL39/RPL36A/RPL35/FAU/RPS3A/NFKBIB/RPL9/NLRP3/RPS18/RPL6/RPS28/RPS21/RPL10A/RPL13A/RPL7A/RPS3/RPLP1/RPL22/RPL23A/RPS11/TRAF3/RPS4Y1/RPL32/RPS15A/RPL29/RPS27/CGAS/RPL36AL/RPS14/RPL21/UBA52/RSL24D1/RPL23
hsa04114,Oocyte meiosis,96,-0.6697331936545298,-1.8390399519464335,5.0504656009797824e-5,0.002735668867197382,0.0024366281408235795,846,"tags=23%, list=7%, signal=21%",CDC25C/ADCY7/CDC27/CPEB2/ITPR2/FBXO43/PPP1CB/PRKACB/FBXO5/SMC1A/PTTG1/CCNB1/YWHAZ/CALM3/AURKA/CCNB2/CALM1/CDC20/ESPL1/BUB1/CDK1/PLK1
hsa00190,Oxidative phosphorylation,120,0.675280382833066,1.7002807364294719,6.835985572311119e-5,0.003173850444287305,0.002826911326895576,2522,"tags=56%, list=21%, signal=44%",CYCS/ATP5MC1/PPA1/MT-ND3/UQCR11/ATP5F1B/COX5A/NDUFS6/ATP6V0B/ATP5ME/NDUFB9/ATP5F1E/NDUFA11/ATP6V0E1/NDUFB2/NDUFB8/NDUFV3/UQCRH/ATP6V0A2/ATP5MC3/ATP5MF/NDUFAB1/UQCRFS1/ATP5PO/COX7A2/ATP6V1G1/CYC1/ATP5F1D/NDUFB10/ATP5MC2/COX10/ATP5PF/NDUFA3/COX7C/ATP5F1A/ATP6V1F/NDUFA2/UQCRQ/NDUFB7/ATP5PB/SDHB/NDUFV1/NDUFA10/ATP6V0C/COX6B1/ATP6V1E1/ATP6AP1/ATP5PD/NDUFS5/NDUFA13/MT-ND6/UQCRC2/NDUFS3/NDUFA8/COXFA4/COX4I1/ATP5F1C/NDUFS8/MT-ATP8/COX6A1/NDUFB3/ATP5MG/SDHC/NDUFB1/NDUFA12/COX5B/COX6C
hsa04512,ECM-receptor interaction,39,-0.7915473490374048,-1.8955979816879884,2.3918077122277406e-4,0.009716718830925196,0.00865456737977143,904,"tags=28%, list=8%, signal=26%",LAMC1/ITGA5/SPP1/ITGAV/LAMB3/CD47/COL6A3/AGRN/HSPG2/CD36/HMMR
hsa05014,Amyotrophic lateral sclerosis,298,0.5407730339784055,1.4812022808490122,6.18134696833487e-4,0.022321530718987032,0.019881525336749584,2095,"tags=32%, list=18%, signal=27%",XBP1/TOMM40/CYCS/RAB8A/ATP5MC1/TNF/UBQLN4/SIGMAR1/CHCHD10/MAPK12/VDAC1/PSMA5/SRSF7/NUP210/SRSF3/MT-ND3/UQCR11/ATP5F1B/COX5A/NDUFS6/TP53/ACTG1/PSMA7/SEH1L/POM121/FUS/BID/HNRNPA2B1/NUP62/EIF2S1/PSMD3/NXT1/ALYREF/NDUFB9/NUP153/SOD1/ACTB/ATP5F1E/NDUFA11/NDUFB2/NDUFB8/HNRNPA3/NDUFV3/UQCRH/NUP88/ATP5MC3/ATG101/PSMB2/NDUFAB1/PSMD13/UQCRFS1/PFN1/PSMD7/ATP5PO/PSMB5/COX7A2/CYC1/ATP5F1D/NDUFB10/PIK3R4/ATP5MC2/ADRM1/ATP5PF/NDUFA3/COX7C/ATP5F1A/ITPR3/PSMD4/PSMB3/PSMA6/NDUFA2/UQCRQ/PSMA2/NDUFB7/MAP2K3/ATP5PB/NUP93/ANXA11/PSMA3/SDHB/NDUFV1/NDUFA10/NRG4/NUP98/POM121C/SQSTM1/COX6B1/ATP5PD/NDUFS5/NDUFA13/MT-ND6/UQCRC2/NDUFS3/NDUFA8
hsa05012,Parkinson disease,222,0.5577564690004465,1.49193529610744,0.0013729244484701401,0.04462004457527955,0.039742549824135644,2522,"tags=47%, list=21%, signal=38%",XBP1/CYCS/TRAP1/UBE2G2/TXN/ATP5MC1/SLC39A14/UBE2J1/SLC39A4/PPIF/VDAC1/RPS27A/PSMA5/VDAC2/MT-ND3/UQCR11/ATP5F1B/COX5A/PARK7/NDUFS6/TP53/PSMA7/MFN2/EIF2S1/PSMD3/NDUFB9/SOD1/ATP5F1E/NDUFA11/NDUFB2/ADORA2A/NDUFB8/NDUFV3/UQCRH/ATP5MC3/PSMB2/NDUFAB1/UBA1/PSMD13/UQCRFS1/UBA52/PSMD7/ATP5PO/PSMB5/COX7A2/CYC1/ATP5F1D/NDUFB10/UBE2G1/UBE2J2/ATP5MC2/ADRM1/ATP5PF/NDUFA3/COX7C/ATP5F1A/ITPR3/PSMD4/SLC25A6/PSMB3/PSMA6/UBA7/NDUFA2/UQCRQ/PSMA2/NDUFB7/ATP5PB/PSMA3/SDHB/NDUFV1/NDUFA10/COX6B1/ATP5PD/NDUFS5/NDUFA13/MT-ND6/UQCRC2/NDUFS3/SLC39A11/NDUFA8/SLC39A6/CALML4/SLC39A8/DAXX/SLC25A4/COXFA4/COX4I1/ATP5F1C/UBC/PSMB4/SLC39A3/UBE2L3/PSMD12/NDUFS8/MT-ATP8/COX6A1/NDUFB3/PSMA4/SDHC/NDUFB1/NDUFA12/COX5B/PSMC4/COX6C
