ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031346,positive regulation of cell projection organization,169/5100,339/14255,0.49852507374631266,1.393426456128174,5.471803475133594,5.5107353536348814e-8,2.029614315316287e-4,1.9558512004231863e-4,ZMYND8/ARSB/RREB1/PLXNC1/TIAM2/ZEB2/ZNF804A/EFNA5/NEDD9/STAU2/NEGR1/CAMK1D/MACF1/BMPR1A/WASL/BCL11A/TTBK2/RAPGEF2/CUX1/SHOC2/TOX/DOCK11/GOLGA4/BRAF/DISC1/FBXW8/LPAR1/PIK3CA/PUM2/TAPT1/ABL2/PTK2B/LYN/ARHGEF7/BMPR2/GSK3B/SEMA4D/TIAM1/ADNP/PLCE1/EPS8/SMURF1/TRAK1/PIK3R1/CEP120/MAP1B/CBFA2T2/RUFY3/RYK/SETX/RIPOR2/WDR44/TGFBR1/CEP135/CROCC/NCK1/LPAR3/TNN/FN1/APC/FBXO38/PAK1/IFT88/ARHGAP35/NIN/ABL1/GRIP1/FNBP1L/CPAP/NRP1/SERPINI1/NFE2L2/RAPGEF1/NCKAP1/NPTN/MAP2K1/RALA/RAP2A/EZH2/LRRC7/RAP1A/MTOR/EP300/KAT2B/TENM3/DHX36/TRPC5/DDR2/CUX2/CAPRIN2/MAP3K13/AVIL/ROBO2/ADCY10/FIG4/HTT/MARK2/NTRK3/NTN1/ALKAL2/BBS4/EEF2K/WASHC5/MYO3B/SEPTIN7/FYN/ATF1/DSCAM/KIDINS220/ZDHHC15/LRP8/PRKCI/AUTS2/SKIL/DZIP1/RAB8B/TMEM106B/ATP8A2/SHTN1/MYO3A/ANKRD1/NEURL1/EPHA3/NDEL1/CARMIL1/MAPRE3/DMD/IL1RAPL1/SEMA5A/ROBO1/TNIK/CHODL/PTPRD/CDH4/ITGA2/STK26/TENM2/CDKL5/SLIT2/SAXO1/ABI2/FMR1/CFLAR/COBL/MAPT/RAB21/MAGI2/TENM1/PARP6/ANLN/NLGN1/EPHB2/KIT/NDRG4/RGMA/FEZ1/PAFAH1B1/VIL1/CNTN1/STYXL1/P2RX7/PRKD1/NTRK2/ENC1/RP1/S100A9/DDR1/FRMD7/ENPP2,169
GO:0007409,axonogenesis,201/5100,416/14255,0.4831730769230769,1.3505161199095024,5.415350827635854,6.917567536865327e-8,2.029614315316287e-4,1.9558512004231863e-4,TRIO/SOS1/PLXNC1/CNTN4/TIAM2/PRKCA/PTK2/ZEB2/EFNA5/MACF1/BCL11A/CLASP2/ALCAM/EXT1/GOLGA4/OPHN1/BRAF/UST/DISC1/EMB/DIP2B/CRPPA/SPG11/PPP3CB/USP9X/PTPRJ/MYCBP2/SEMA3A/DOCK7/PTEN/BCL2/BMPR2/GSK3B/SEMA4D/KLF7/NCAM1/TIAM1/PRICKLE1/ADNP/CD2AP/SMURF1/TRAK1/MAP1B/RUFY3/RPS6KA5/PAK2/RYK/NLGN3/SIPA1L1/NEXN/PICALM/LPAR3/SEMA6A/SPAST/TNN/ZDHHC17/FN1/PRKCQ/PAK1/ANOS1/RAPH1/C9orf72/ARHGAP35/NIN/ABL1/ITGA4/FZD3/NRP1/NUMB/CREB1/RTN4/NPTN/DAB1/MAP2K1/ANK3/PTPRM/NRP2/LHX4/NTNG1/TNR/VCL/ADARB1/KIAA1755/KIF13B/TTL/NR4A2/WDR47/TRPC5/NRXN3/SIAH1/KALRN/PTPRO/CDHR2/PARD6B/MAP3K13/STXBP1/ROBO2/ADCY10/SLIT1/IGSF9/CHN1/PRKG1/MATN2/GDF7/MARK2/NTRK3/NTN1/PLXNA4/CHRNB2/NOTCH2/B4GALT6/CNTN5/USP33/FYN/MYH10/RAB10/COL25A1/DSCAM/DSCAML1/HOXA2/BOC/TTC8/PLA2G10/ABLIM1/AUTS2/NEO1/SKIL/ATL1/GLI2/UNC5D/ATP8A2/PTCH1/SHTN1/EPHB1/EPHA3/EVL/EPHA6/MCF2/NDEL1/NRCAM/PALLD/SEMA5A/ROBO1/UNC5B/NFASC/CHODL/FGF13/CDH1/APBB2/CDH4/FSTL4/ADCY1/CDKL5/PSEN1/SLIT2/KIFBP/LRRC4C/UNC5A/MAP1A/NRXN1/LAMA2/CNTN2/SCN11A/EGR2/DCC/SEMA3C/BMPR1B/GLI3/DCLK1/SZT2/COBL/PTPRS/MAPT/RAB21/PAK3/BCL11B/CELSR1/DAG1/EPHB2/ENAH/ETV1/SLIT3/ARHGEF28/PARD3/NFIB/RGMA/FEZ1/SLC9A6/PAFAH1B1/CNTN1/GATA3/LHX2/SLITRK5/VAX2/KIF21A/KIF5B/NTRK2/FEZ2/SPTBN4/EFNA1/B3GNT2,201
GO:0051056,regulation of small GTPase mediated signal transduction,149/5100,295/14255,0.5050847457627119,1.4117613825191093,5.333818129842502,1.1916952658069776e-7,2.330955939918448e-4,2.246241041373714e-4,TRIO/ARHGAP15/SOS1/DENND1A/ARHGAP26/TIAM2/DOCK8/DOCK2/WNK1/DOCK10/STARD13/RALGAPA2/FGD4/VAV3/RASA2/SHOC2/ARHGAP12/DOCK11/OPHN1/MYO9A/PSD3/LPAR1/SRGAP2/MAPKAP1/ARHGAP31/SIPA1L3/AKAP13/RALGAPA1/ARHGEF9/PIK3CB/CDC42SE2/DOCK7/ARHGAP32/ARHGAP44/SCAI/ABL2/TNS3/CYRIB/SEMA4D/FAM13B/TIAM1/ARHGAP10/ARFGEF1/NF1/CD2AP/EPS8/DENND4C/PKP4/RDX/ARHGAP42/SIPA1L1/ARFGEF2/DENND4A/DNMBP/ARHGEF11/IQSEC1/CHN2/RIPOR2/ARHGEF12/CBL/GBF1/PICALM/ARHGAP18/RASGRP1/ARHGAP35/OGT/RALGPS1/ARHGAP17/ABL1/SYDE2/CUL3/NRP1/RTN4/ALS2/ABCA1/ITPKB/DOCK9/ABR/ARHGAP21/MAP2K1/ARHGEF10L/DOCK3/RALGAPB/ARHGAP24/ARHGAP25/HEG1/FGD2/RASGRF2/PRAG1/DENND3/PLEKHG6/VAV2/SRGAP3/CDON/IGF1/KALRN/FBXO8/GNA13/MAPRE2/CHN1/ABRA/RABL3/ECT2/FAM13A/RAP1GAP2/NOTCH2/RASGRF1/ARRB1/FGD3/RASA3/SSX2IP/AUTS2/PREX1/ARHGAP22/TEK/CYTH3/CXCL13/MAP4K4/MCF2/ROBO1/WNT4/CDKL5/ARHGEF4/SIPA1L2/SLIT2/NGEF/CYTH1/VAV1/ARHGAP6/ARHGEF18/DOK7/PIK3CG/CADM4/ARFGEF3/EPHB2/ARHGAP5/ARHGEF28/ITGAV/CGNL1/ARHGAP39/KITLG/DLC1/GARNL3/PREX2/CCDC125/RASAL1/IQSEC2/FRMD7/FGF10,149
GO:0016358,dendrite development,120/5100,231/14255,0.5194805194805194,1.4519989814107461,5.169300575289633,2.993616904823365e-7,4.3916359993758763e-4,4.232028950713452e-4,ZMYND8/PPP3CA/RERE/STAU2/CAMK1D/DOCK10/BMPR1A/WASL/DGKG/BCL11A/CPEB3/RAPGEF2/CUX1/DISC1/FBXW8/LPAR1/SRGAP2/MEF2A/PHACTR1/SEMA3A/PDLIM5/SRGAP2C/STRN/ARHGAP44/PTEN/NEDD4L/GSK3B/SEMA4D/KLF7/MAPKAPK5/MEF2C/PRICKLE1/NEDD4/TRAK1/TANC2/ABI1/MAP1B/PAK2/SIPA1L1/IQSEC1/ATG16L1/ELAVL4/NCK2/PICALM/CAMSAP2/ABL1/SDC2/NRP1/SLC11A2/DTNBP1/DAB1/RAP2A/EZH2/LRRK2/DHX36/TRPC5/CUX2/BTBD3/CAPRIN2/HECW1/GRIN3A/KNDC1/MECP2/RTN4IP1/IGSF9/SHANK1/PRKG1/MATN2/CHRNB2/BBS4/EEF2K/FYN/DSCAM/CTNND2/KIDINS220/ZDHHC15/LRP8/SDK1/TMEM106B/PREX1/ADGRB3/CSMD3/NEURL1/EPHB1/MCF2/TULP1/MAPRE3/IL1RAPL1/TNIK/PTPRD/FSTL4/CDKL5/PSEN1/NGEF/ABI2/MAP1A/HECW2/FMR1/DCC/DIP2A/COBL/PTPRS/KLHL1/RAB21/PARP6/PAK3/TRPC6/NLGN1/EPHB2/DCDC2/PAFAH1B1/FAT3/CAMK2A/SLITRK5/CHRNA3/PREX2/ACTL6B/IGF2BP1/PPFIA2/EFNA1,120
GO:0060271,cilium assembly,183/5100,381/14255,0.48031496062992124,1.3425274046626523,5.058028331498111,4.41589988833426e-7,5.182500108949087e-4,4.994150357922452e-4,PIBF1/CEP128/WDPCP/SCLT1/ASAP1/CEP83/AHI1/ATG5/DNHD1/SDCCAG8/TTBK2/PCM1/CEP350/TBC1D32/ARMC9/RFX3/MPHOSPH9/TTLL5/CDC14A/MARCHF7/ALPK1/DISC1/FBXW8/ONECUT2/LPAR1/IQCB1/KIAA0586/NEK1/USP9X/CIBAR1/CEP162/TAPT1/TTC21B/NDUFAF2/ARMC2/POC1B/TBC1D31/GSK3B/C2CD3/PRICKLE1/DNAH7/CCDC15/CCDC146/SPAG1/PTPDC1/CEP120/RFX2/BBS9/CCDC66/RO60/CDKL1/B3GLCT/GALNT11/CPLANE1/CEP290/DNMBP/GBF1/WDR44/CEP135/CROCC/CEP70/DYNC2I1/ODF2L/ATXN10/IFT88/IFT43/ARHGAP35/ARL13B/OCRL/KCNQ1/NUDCD3/RAB23/FNBP1L/CCDC57/TCTN3/CPAP/IFT74/WDR35/ELMOD3/DNAH1/CFAP44/CC2D2A/ABCC4/DTNBP1/KIF27/INTU/DNAAF11/TBC1D7/TBC1D7-LOC100130357/DRC9/TTC39C/RILPL1/EXOC5/IFT81/CDC14B/MAP4/BBIP1/CFAP70/TMEM67/DNAH17/DNAI4/CFAP161/DNAI3/CCDC181/CFAP100/CILK1/DYNC2H1/RPGRIP1L/AVIL/CEP97/RSPH4A/KCNJ10/HTT/ARL13A/BBS4/LRGUK/PKHD1/SEPTIN7/CLCN4/KIF24/WDR19/SPAG6/SSX2IP/TTC8/RAB3IP/ABLIM1/SPATA6/DZIP1/ARL6/CFAP53/GORAB/IFT122/TRAF3IP1/DZIP1L/FSIP2/SYNE2/NEURL1/OFD1/SPAG16/TMEM138/DMD/LUZP1/CFAP61/ADAMTS16/DNAH8/RSPH9/CFAP58/WWTR1/SPEF2/WDR11/RPGRIP1/CDKL5/SNX10/SAXO1/DYNC2LI1/ATAT1/DNAH5/CEP126/BBS7/DNAH3/CFAP54/CFAP74/CCDC38/JHY/HYDIN/CEP41/DNAJB13/SPAG17/RABL2B/RABL2A/NME7/CFAP43/ZMYND12/DNAH12/DCDC2/B9D1/DNALI1/LRRC23/PARVA/RP1/TCTN2/LIMK2/IFT57,183
GO:0010975,regulation of neuron projection development,195/5100,413/14255,0.4721549636803874,1.3197194131890044,4.921176047555341,8.417172108757241e-7,0.00082319943223645815,7.932815538288404e-4,ARSB/PLXNC1/PPP3CA/TIAM2/ULK4/ZEB2/ZNF804A/EFNA5/STAU2/NEGR1/CAMK1D/MACF1/BMPR1A/DGKG/BCL11A/RAPGEF2/CUX1/SHOC2/TOX/GOLGA4/BRAF/UST/DISC1/FBXW8/LPAR1/DIP2B/PUM2/MYCBP2/SEMA3A/PDLIM5/ARHGAP44/PTEN/LRIG2/ABL2/PTK2B/LYN/BMPR2/NEDD4L/GSK3B/SEMA4D/TIAM1/ADNP/NEDD4/SMURF1/TRAK1/SPOCK1/TANC2/INPP5F/MAP1B/CBFA2T2/RUFY3/PAK2/RYK/SETX/THOC2/SIPA1L1/NCK1/LPAR3/TNN/MYLIP/CAMSAP2/FN1/FBXO38/PAK1/ARHGAP35/MBOAT1/NIN/ABL1/SDC2/NRP1/RTN4/SERPINI1/NFE2L2/DTNBP1/RAPGEF1/NPTN/DAB1/MAP2K1/NTNG1/MINAR1/RAP2A/EZH2/TNR/LRRC7/LRRK2/RAP1A/KIF13B/EP300/KAT2B/RTN4RL1/GRID2/RTN4RL2/TENM3/PRAG1/DHX36/TRPC5/DDR2/CUX2/CAPRIN2/HECW1/PTPRO/KNDC1/PTPRG/MAP3K13/RTN4IP1/AVIL/ROBO2/ADCY10/SLIT1/CHN1/PAQR3/FIG4/MARK2/NTRK3/NTN1/ALKAL2/CHRNB2/EEF2K/WASHC5/FYN/ATF1/DSCAM/KIDINS220/ZDHHC15/LRP8/PRKCI/NEO1/SKIL/TMEM106B/PREX1/ATP8A2/ADGRB3/DENND5A/SHTN1/CSMD3/ANKRD1/EPHA3/MCF2/NDEL1/MAPRE3/NRCAM/DMD/IL1RAPL1/SEMA5A/ROBO1/TNIK/CHODL/FGF13/PTPRD/CDH1/CDH4/FSTL4/CDKL5/PSEN1/SLIT2/NGEF/LRRC4C/ABI2/HECW2/CNTN2/CFLAR/DCC/COBL/PTPRS/MAPT/RTCA/RAB21/MAGI2/PARP6/PAK3/TRPC6/ACP4/PTPN1/NLGN1/EPHB2/NDRG4/RGMA/FEZ1/PAFAH1B1/FAT3/CNTN1/GATA3/STYXL1/CD38/KIF21A/CHRNA3/PRKD1/NTRK2/ENC1/S100A9/PPFIA2/EFNA1/DDR1/TRPV4/FRMD7,195
GO:0061564,axon development,216/5100,467/14255,0.4625267665952891,1.292807658395264,4.801915632166929,1.4396314264320186e-6,0.0010667577732619794,0.0010279881530447662,TRIO/JAK2/SOS1/PLXNC1/CNTN4/TIAM2/PRKCA/NCAM2/PTK2/ZEB2/EFNA5/MACF1/BCL11A/CLASP2/ALCAM/EXT1/GOLGA4/OPHN1/BRAF/UST/DISC1/EMB/DIP2B/CRPPA/SPG11/PPP3CB/USP9X/PTPRJ/PUM2/MYCBP2/SEMA3A/DOCK7/PTEN/LRIG2/BCL2/BMPR2/GSK3B/SEMA4D/KLF7/NCAM1/TIAM1/PRICKLE1/ADNP/CD2AP/SMURF1/TRAK1/INPP5F/MAP1B/RUFY3/RPS6KA5/PAK2/RYK/NLGN3/SIPA1L1/MTR/NEXN/PICALM/LPAR3/SEMA6A/SPAST/TNN/ZDHHC17/CAMSAP2/FN1/PRKCQ/PAK1/ANOS1/RAPH1/C9orf72/TNFRSF21/ARHGAP35/NIN/ABL1/ITGA4/FZD3/NRP1/NUMB/CREB1/RTN4/NPTN/DAB1/MAP2K1/ANK3/PTPRM/NRP2/LHX4/NTNG1/TNR/VCL/ADARB1/KIAA1755/KIF13B/TTL/RTN4RL1/NR4A2/RTN4RL2/WDR47/TRPC5/NRXN3/SIAH1/KALRN/PTPRO/CDHR2/PARD6B/MAP3K13/STXBP1/ROBO2/ADCY10/SLIT1/IGSF9/CHN1/PRKG1/GPM6B/MATN2/GDF7/MARK2/NTRK3/NTN1/PLXNA4/CHRNB2/NOTCH2/B4GALT6/CNTN5/USP33/FYN/MYH10/RAB10/COL25A1/DSCAM/DSCAML1/HOXA2/BOC/TTC8/PLA2G10/ABLIM1/AUTS2/NEO1/SKIL/ATL1/GLI2/UNC5D/ATP8A2/PTCH1/SHTN1/VASH2/EPHB1/EPHA3/EVL/EPHA6/MCF2/NDEL1/NRCAM/PALLD/SEMA5A/ROBO1/UNC5B/NFASC/CHODL/FGF13/CDH1/APBB2/CDH4/FSTL4/ADCY1/CDKL5/PSEN1/SLIT2/KIFBP/LRRC4C/UNC5A/MAP1A/NRXN1/LAMA2/CNTN2/SCN11A/EGR2/DCC/SEMA3C/BMPR1B/GLI3/DCLK1/SZT2/COBL/PTPRS/MAPT/RTCA/RAB21/PAK3/BCL11B/CELSR1/DAG1/EPHB2/ENAH/ETV1/SLIT3/ARHGEF28/PARD3/NFIB/RGMA/FEZ1/SLC9A6/PAFAH1B1/CNTN1/GATA3/LHX2/SLITRK5/VAX2/KIF21A/KIF5B/NTRK2/FEZ2/GRM7/SPTBN4/EFNA1/DDR1/B3GNT2,216
GO:0044782,cilium organization,193/5100,411/14255,0.46958637469586373,1.3125399551548111,4.798659692632259,1.5132239429121151e-6,0.0010667577732619794,0.0010279881530447662,PIBF1/CEP128/WDPCP/SCLT1/ASAP1/CEP83/NEDD9/AHI1/ATG5/RTTN/TTC17/DNHD1/SDCCAG8/TTBK2/PCM1/CEP350/TBC1D32/ARMC9/CSTPP1/RFX3/MPHOSPH9/TTLL5/CDC14A/MARCHF7/ALPK1/DISC1/FBXW8/ONECUT2/LPAR1/IQCB1/KIAA0586/NEK1/USP9X/CIBAR1/CEP162/TAPT1/TTC21B/NDUFAF2/ARMC2/POC1B/TBC1D31/GSK3B/C2CD3/PRICKLE1/PKD2/DNAH7/CCDC15/CCDC146/SPAG1/PTPDC1/CEP120/RFX2/BBS9/CCDC66/RO60/CDKL1/B3GLCT/GALNT11/CPLANE1/CEP290/DNMBP/GBF1/WDR44/CEP135/CROCC/CEP70/DYNC2I1/ODF2L/KIFAP3/ATXN10/IFT88/IFT43/ARHGAP35/ARL13B/OCRL/KCNQ1/CFAP126/NUDCD3/RAB23/CCDC88C/FNBP1L/CCDC57/TCTN3/CPAP/IFT74/WDR35/ELMOD3/DNAH1/CFAP44/CC2D2A/ABCC4/DTNBP1/KIF27/INTU/DNAAF11/TBC1D7/TBC1D7-LOC100130357/DRC9/TTC39C/RILPL1/EXOC5/IFT81/CDC14B/MAP4/BBIP1/CFAP70/TMEM67/DNAH17/DNAI4/CFAP161/DNAI3/CCDC181/CFAP100/CILK1/DYNC2H1/TPGS2/RPGRIP1L/AVIL/CEP97/RSPH4A/KCNJ10/HTT/ARL13A/BBS4/LRGUK/PKHD1/SEPTIN7/CLCN4/KIF24/WDR19/SPAG6/SSX2IP/TTC8/RAB3IP/LRRC49/ABLIM1/SPATA6/DZIP1/ARL6/CFAP53/GORAB/IFT122/TRAF3IP1/DZIP1L/FSIP2/SYNE2/NEURL1/OFD1/SPAG16/TMEM138/DMD/LUZP1/CFAP61/ADAMTS16/DNAH8/RSPH9/CFAP58/WWTR1/SPEF2/WDR11/RPGRIP1/CDKL5/SNX10/SAXO1/DYNC2LI1/ATAT1/DNAH5/CEP126/BBS7/DNAH3/CFAP54/CFAP74/CCDC38/JHY/HYDIN/CEP41/DNAJB13/SPAG17/RABL2B/RABL2A/NME7/CFAP43/ZMYND12/DNAH12/DCDC2/B9D1/DNALI1/LRRC23/PARVA/RP1/TCTN2/LIMK2/IFT57,193
GO:0050804,modulation of chemical synaptic transmission,210/5100,453/14255,0.46357615894039733,1.295740812881444,4.774343287586648,1.6531647713565311e-6,0.0010667577732619794,0.0010279881530447662,TRIO/JAK2/ZMYND8/PPP3CA/CNTN4/CAMK2D/PRKCE/MCTP1/BTBD9/KCNQ3/STAU2/ATG5/PRKCB/CPEB3/ADAM22/RAPGEF2/FBXL20/CACNB4/OPHN1/BRAF/DISC1/VPS13A/PPP3CB/ARHGAP44/PTEN/PTK2B/GSK3B/MEF2C/STXBP5/ADNP/NF1/CD2AP/HIP1/MYOF/TSHZ3/CLSTN2/MAP1B/SLC7A11/NLGN3/SIPA1L1/HOMER2/ATAD1/SLC4A8/SLC12A2/ZDHHC17/LARGE1/RAP1B/SLC24A1/KMO/TACR1/ABL1/ADORA2B/GABBR1/HOMER1/ADORA1/PRKAR1B/CREB1/RTN4/DTNBP1/PXK/MTMR2/ABR/PLCL2/CNR2/NPTN/MAPK1/ZDHHC2/SLC1A3/NTNG1/TNR/GRID1/GRIK1/LRRK2/RAP1A/GLRA2/APBA1/RASGRF2/GRID2/SYT2/CRHR2/GRIK2/CUX2/LAMP5/GRIN3A/USP8/IGF1/CASK/MECP2/RAB3GAP1/SHISA7/STXBP1/SHANK1/KCNJ10/PACSIN2/PFN2/CHRNB2/DYSF/RASGRF1/SLC38A1/BSN/FYN/PRKN/RIMS2/LRP8/PREPL/RAB5A/ABHD6/SORCS2/CACNA1A/DLGAP1/NEO1/CPLX2/CACNG2/CAMKV/CALB1/FER1L5/NEURL1/EPHB1/SLC6A4/NRG3/GRM1/SSH1/HTR2A/GPR158/SHANK2/PTPRD/EIF2AK4/AKAP7/CDH1/GRM4/DLGAP2/STAU1/GRIK4/GRM5/CX3CR1/ADCY1/CDKL5/SORCS3/PLCB1/PSEN1/SYN3/LRRC4C/GRM8/SLC6A9/PLCL1/MAP1A/IGSF11/CELF4/NRXN1/USP46/LAMA2/FMR1/CNTN2/APBA2/DCC/SV2C/IL1B/UNC13C/KMT2A/SYT1/PTPRS/MAPT/HCN1/PLAT/DLGAP4/GRIK5/ACP4/IGSF21/JPH3/NLGN1/DAG1/EPHB2/GRIA4/GRIN2D/KIT/GSG1L/SYT12/CYP46A1/NXPH1/SLC4A10/PAFAH1B1/NALCN/GABRR1/CACNA1B/CHRNA2/PRKAR2B/NSG1/TMEM108/CAMK2A/GRIN2B/KCNMB4/STX3/SLITRK5/CD38/CHRNA3/GRIN2C/GRIA1/KIF5B/NTRK2/GRM7/GRIA3/IQSEC2/RIMS1/ASIC1/SHISA9/PPFIA2/SLC24A2/NMU/CHRNB3/PDE9A,210
GO:0035249,"synaptic transmission, glutamatergic",58/5100,98/14255,0.5918367346938775,1.6542416966786715,4.8505382344142784,1.87564728530513e-6,0.0010667577732619794,0.0010279881530447662,CNIH3/EXT1/CACNB4/OPHN1/VPS54/DISC1/PTK2B/MEF2C/NF1/TSHZ3/ABTB3/NLGN3/NAPB/HOMER2/ATAD1/CLCN3/KMO/HOMER1/ADORA1/UNC13B/ALS2/NR3C1/DTNBP1/TNR/GRID1/GRIK1/LRRK2/GRID2/GRIK2/GRIN3A/RAB3GAP1/STXBP1/PRKN/DSCAM/CDH8/CACNG2/GRM1/HTR2A/GRM4/GRIK4/GRM5/PSEN1/GRM8/NRXN1/CNIH2/UNC13C/SYT1/HCN1/GRIK5/NLGN1/GRIA4/GRIN2D/GRIN2B/GRIN2C/GRIA1/GRM7/GRIA3/IQSEC2,58
