ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045211,postsynaptic membrane,151/5354,276/15040,0.5471014492753623,1.5368707129438643,6.692658523220621,4.927800050445932e-11,3.617005237027314e-8,3.273096665085667e-8,DLG1/ADGRL3/UTRN/ANK2/GPHN/CNIH3/MKLN1/ADAM22/LPAR1/SRGAP2/CNKSR2/STRN/GABRB1/SEMA4D/ABHD17B/LIN7C/CLSTN2/GABRA4/RYK/SLC16A7/NLGN3/ATAD1/NAPEPLD/PICALM/AKAP9/ERBB4/CHRNE/TACR1/GABBR1/NETO2/GRIP1/ADORA1/KCNC4/ATP2B2/NRP1/MUSK/DTNBP1/CNR2/ANK3/NRP2/GRID1/LRRC7/GLRA1/GRIK1/GLRA2/CADPS2/DLG2/GRID2/GRIK2/GRIN3A/PTPRO/ABHD17C/SHISA7/IGSF9/KCND2/SHANK1/RGS7BP/KCNMA1/KCNH1/NTRK3/CHRNB2/ANK1/CACNA1C/SHC4/LRP8/ABHD6/SORCS2/CHRNG/NEO1/SLC9A5/DGKB/ADGRB3/PTCH1/CACNG2/LIN7A/ELFN1/GPR179/SLC6A4/NRCAM/GRM1/CSMD2/DMD/CHRM3/IL1RAPL1/HTR2A/KCNC3/NLGN4Y/GPR158/SHANK2/GRIK4/GRM5/ADCY1/TENM2/SORCS3/GLRB/LRRC4C/RGS7/KCTD16/SLC6A9/ACTN2/GABBR2/FMR1/CNTN2/SYNE1/DOK7/DCC/CNIH2/DAGLA/SYT1/PTPRS/HCN1/GRIK5/RPH3A/ACP4/SLC6A11/IGSF21/NLGN1/DAG1/EPHB2/GRIA4/GRIN2D/LHFPL4/RGS9/KCNC1/LRRTM4/GSG1L/KCND3/ITGA8/GABRR2/GABRR1/CHRNA2/NSG1/TMEM108/CNTN1/COL13A1/GRIN2B/ASIC2/SLITRK5/SYNDIG1/CHRNA3/GRIN2C/GRIA1/GRM7/GRIA3/ASIC1/SHISA9/NECTIN3/GABRA3/GABRG1/LRFN5/CHRNB3,151
GO:0097060,synaptic membrane,198/5354,390/15040,0.5076923076923077,1.426165914772564,6.339698921655757,3.7711879181221104e-10,1.3840259659508145e-7,1.2524313559658168e-7,DLG1/ERC1/DENND1A/ADGRL3/UTRN/NCAM2/KCNQ5/ANK2/GPHN/CNIH3/MKLN1/ADAM22/LPAR1/SRGAP2/ATP2B1/RAB3GAP2/CNKSR2/STRN/GABRB1/SEMA4D/ABHD17B/LIN7C/CLSTN2/GABRA4/RYK/SLC16A7/NLGN3/ATAD1/NAPEPLD/PICALM/SLC4A8/AKAP9/SYNJ1/ZDHHC17/ERBB4/ITSN2/CHRNE/ADAM10/TACR1/GABBR1/NETO2/GRIP1/ADORA1/KCNC4/SYDE2/ATP2B2/FZD3/UNC13B/NRP1/MUSK/DTNBP1/MTMR2/CNR2/NPTN/ANK3/NRP2/RALA/NTNG1/RAP2A/GRID1/LRRC7/AP2B1/GLRA1/GRIK1/ZNRF2/GLRA2/APBA1/CADPS2/DLG2/GRID2/GRIK2/NRXN3/GRIN3A/PTPRO/ABHD17C/CASK/CNTNAP2/DGKI/SHISA7/STXBP1/IGSF9/KCND2/SHANK1/RGS7BP/KCNMA1/KCNH1/NTRK3/CHRNB2/CNTN5/CACNA2D3/ANK1/CACNA1C/STX11/SHC4/PCDH9/RIMS2/LRP8/ABHD6/CDH8/SORCS2/CHRNG/NEO1/SLC9A5/CACNA2D1/DGKB/ADGRB3/PTCH1/CACNG2/LIN7A/ELFN1/GPR179/SLC6A4/NRCAM/GRM1/CSMD2/DMD/CHRM3/IL1RAPL1/HTR2A/KCNC3/NLGN4Y/LINGO2/GPR158/SHANK2/PTPRD/GRIK4/GRM5/DNAJC6/ADCY1/TENM2/SORCS3/GLRB/PSEN1/LRRC4C/RGS7/KCTD16/SLC6A9/ACTN2/NRXN1/PDE2A/GABBR2/FMR1/CNTN2/SYNE1/DOK7/DCC/CNIH2/DAGLA/ERC2/UNC13C/SYT1/PTPRS/HCN1/GRIK5/RPH3A/ACP4/SLC6A11/KCNJ3/IGSF21/NLGN1/DAG1/EPHB2/GRIA4/GRIN2D/LHFPL4/RGS9/KCNC1/LRRTM4/GSG1L/ATP2B4/KCND3/ITGA8/GABRR2/GABRR1/CHRNA2/NSG1/TMEM108/CNTN1/COL13A1/GRIN2B/ASIC2/SLITRK5/SYNDIG1/CHRNA3/GRIN2C/GRIA1/GRM7/GRIA3/RIMS1/ASIC1/SHISA9/PPFIA2/NECTIN3/SNAP91/GABRA3/GABRG1/LRFN5/CHRNB3,198
GO:0098984,neuron to neuron synapse,187/5354,376/15040,0.4973404255319149,1.3970862906238326,5.797343325454058,9.102861062321406e-9,2.2271666732479708e-6,2.015405379061336e-6,PLEKHA5/DLG1/SOS1/PLXNC1/CAMK2D/ITPR1/SLC8A1/DNM3/GPHN/NEGR1/MKLN1/CPEB3/ADAM22/DISC1/PSD3/DROSHA/SRGAP2/ARHGEF9/PDLIM5/CNKSR2/STRN/ARHGAP32/ARHGAP44/PTEN/PTK2B/INPP4A/BMPR2/ABHD17B/PRICKLE1/STXBP5/EPS8/LIN7C/SPOCK1/PKP4/ABI1/CLSTN2/MAP1B/C1QL3/PAK2/RYK/DTNB/SLC16A7/NLGN3/SIPA1L1/ARFGEF2/SH3KBP1/HOMER2/IQSEC1/NAPEPLD/NCK2/SLC4A8/AKAP9/MIB1/PCLO/ERBB4/C9orf72/ADAM10/FAM81A/CPEB4/ABL1/NETO2/HOMER1/GRIP1/ADORA1/PRKAR1B/ATP2B2/RTN4/ALS2/DTNBP1/ANKS1B/SORT1/MTMR2/NPTN/MAP2K1/ZDHHC2/GRID1/LRRC7/GRIK1/ADD3/DLG2/GRID2/KPNA1/GRIK2/GRIN3A/USP8/KALRN/PTPRO/ABHD17C/DGKI/SHISA7/IGSF9/SHANK1/RGS7BP/ADD2/KCNH1/PLXNA4/PRICKLE2/EEF2K/BSN/FYN/CACNA1C/PRKN/CTNND2/ZDHHC15/LRP8/CAP2/SORCS2/ABLIM1/DLGAP1/NEO1/RHEB/RAPGEF4/ADGRB3/CACNG2/LIN7A/UBE3B/CALB1/NEURL1/ELFN1/MAPRE3/NRCAM/GRM1/CSMD2/TNIK/NLGN4Y/GPR158/SHANK2/PTPRD/SYN2/RTN3/AKAP7/DLGAP2/GRIK4/GRM5/DNAJC6/ADCY1/SORCS3/TANC1/SYN3/FRMPD2/LRRC4C/SLC6A9/PDE4B/SYT9/ACTN2/FMR1/DCC/CNIH2/USP6/DAGLA/SYT1/PTPRS/CRIPT/GRIK5/MAGI2/PAK3/PJA2/IGSF21/NLGN1/EPHB2/GRIA4/GRIN2D/RGS9/GSG1L/SYT12/RTN1/ITGA8/TMEM108/DAPK1/CAMK2A/GRIN2B/ASIC2/SLITRK5/SYNDIG1/GRIN2C/BAALC/GRIA1/NTRK2/TSC1/GRM7/GRIA3/ASIC1/SHISA9/PPFIA2/NECTIN3/NOS1/LRFN5,187
GO:0099572,postsynaptic specialization,179/5354,359/15040,0.4986072423398329,1.400644924316602,5.712227304430258,1.487167915909992e-8,2.2615578174322408e-6,2.0465265779431292e-6,PLEKHA5/DLG1/SOS1/CAMK2D/ITPR1/SLC8A1/DNM3/GPHN/NEGR1/MKLN1/CPEB3/ADAM22/ERBIN/DISC1/PSD3/DROSHA/SRGAP2/SIPA1L3/ARHGEF9/PDLIM5/CNKSR2/STRN/ARHGAP32/ARHGAP44/PTEN/PTK2B/INPP4A/GABRB1/LYN/BMPR2/ABHD17B/PRICKLE1/EPS8/LIN7C/SPOCK1/PKP4/ABI1/CLSTN2/MAP1B/GABRA4/PAK2/RYK/DTNB/SLC16A7/SIPA1L1/SH3KBP1/HOMER2/IQSEC1/NCK2/AKAP9/MIB1/PCLO/ERBB4/ADAM10/FAM81A/CPEB4/ABL1/NETO2/HOMER1/GRIP1/ATP2B2/RTN4/ALS2/DTNBP1/ANKS1B/MTMR2/NPTN/MAP2K1/ZDHHC2/GRID1/LRRC7/GRIK1/ADD3/GLRA2/DLG2/GRID2/KPNA1/GRIK2/GRIN3A/USP8/KALRN/PTPRO/ABHD17C/DGKI/SHISA7/IGSF9/KCND2/SHANK1/RGS7BP/ADD2/KCNH1/PRICKLE2/EEF2K/BSN/FYN/CACNA1C/PRKN/CTNND2/ZDHHC15/LRP8/NSF/CAP2/SORCS2/ABLIM1/DLGAP1/NEO1/RHEB/ADGRB3/CACNG2/LIN7A/UBE3B/NEURL1/ELFN1/NRCAM/GRM1/CSMD2/TNIK/NLGN4Y/GPR158/SHANK2/SYN2/RTN3/DLGAP2/GRIK4/GRM5/DNAJC6/ADCY1/SORCS3/GLRB/TANC1/SYN3/FRMPD2/LRRC4C/SLC6A9/PDE4B/ACTN2/FMR1/DCC/CNIH2/USP6/DAGLA/SYT1/PTPRS/CRIPT/DLGAP4/GRIK5/MAGI2/PAK3/PJA2/IGSF21/NLGN1/GRIA4/GRIN2D/LHFPL4/RGS9/GSG1L/RTN1/KCND3/ITGA8/TMEM108/DAPK1/CAMK2A/GRIN2B/ASIC2/SLITRK5/SYNDIG1/GRIN2C/BAALC/GRIA1/NTRK2/TSC1/GRIA3/ASIC1/SHISA9/PPFIA2/NECTIN3/GABRA3/NOS1/LRFN5,179
GO:0032279,asymmetric synapse,173/5354,345/15040,0.5014492753623189,1.408628521002853,5.708603228959022,1.5405707203216897e-8,2.2615578174322408e-6,2.0465265779431292e-6,PLEKHA5/DLG1/SOS1/PLXNC1/CAMK2D/ITPR1/SLC8A1/DNM3/GPHN/NEGR1/CPEB3/ADAM22/DISC1/PSD3/DROSHA/SRGAP2/ARHGEF9/PDLIM5/CNKSR2/STRN/ARHGAP32/ARHGAP44/PTEN/PTK2B/INPP4A/BMPR2/ABHD17B/PRICKLE1/EPS8/LIN7C/SPOCK1/PKP4/ABI1/CLSTN2/MAP1B/PAK2/RYK/DTNB/SLC16A7/NLGN3/SIPA1L1/ARFGEF2/SH3KBP1/HOMER2/IQSEC1/NCK2/SLC4A8/AKAP9/MIB1/PCLO/ERBB4/ADAM10/FAM81A/CPEB4/ABL1/NETO2/HOMER1/GRIP1/ADORA1/ATP2B2/RTN4/ALS2/DTNBP1/ANKS1B/SORT1/MTMR2/NPTN/MAP2K1/ZDHHC2/GRID1/LRRC7/GRIK1/ADD3/DLG2/GRID2/KPNA1/GRIK2/GRIN3A/USP8/KALRN/PTPRO/ABHD17C/DGKI/SHISA7/IGSF9/SHANK1/RGS7BP/ADD2/KCNH1/PLXNA4/PRICKLE2/EEF2K/BSN/FYN/CACNA1C/PRKN/CTNND2/ZDHHC15/LRP8/CAP2/SORCS2/ABLIM1/DLGAP1/NEO1/RHEB/ADGRB3/CACNG2/LIN7A/UBE3B/NEURL1/ELFN1/NRCAM/GRM1/CSMD2/TNIK/NLGN4Y/GPR158/SHANK2/SYN2/RTN3/DLGAP2/GRIK4/GRM5/DNAJC6/ADCY1/SORCS3/TANC1/SYN3/FRMPD2/LRRC4C/SLC6A9/PDE4B/ACTN2/FMR1/DCC/CNIH2/USP6/DAGLA/SYT1/PTPRS/CRIPT/GRIK5/MAGI2/PAK3/PJA2/IGSF21/NLGN1/GRIA4/GRIN2D/RGS9/GSG1L/RTN1/ITGA8/TMEM108/DAPK1/CAMK2A/GRIN2B/ASIC2/SLITRK5/SYNDIG1/GRIN2C/BAALC/GRIA1/NTRK2/TSC1/GRM7/GRIA3/ASIC1/SHISA9/PPFIA2/NECTIN3/NOS1/LRFN5,173
GO:0014069,postsynaptic density,165/5354,331/15040,0.4984894259818731,1.400313964655841,5.475195035205285,5.521198007704338e-8,6.754265562758307e-6,6.112063057651645e-6,PLEKHA5/DLG1/SOS1/CAMK2D/ITPR1/SLC8A1/DNM3/GPHN/NEGR1/CPEB3/ADAM22/DISC1/PSD3/DROSHA/SRGAP2/ARHGEF9/PDLIM5/CNKSR2/STRN/ARHGAP32/ARHGAP44/PTEN/PTK2B/INPP4A/BMPR2/ABHD17B/PRICKLE1/EPS8/LIN7C/SPOCK1/PKP4/ABI1/CLSTN2/MAP1B/PAK2/RYK/DTNB/SLC16A7/SIPA1L1/SH3KBP1/HOMER2/IQSEC1/NCK2/AKAP9/MIB1/PCLO/ERBB4/ADAM10/FAM81A/CPEB4/ABL1/NETO2/HOMER1/GRIP1/ATP2B2/RTN4/ALS2/DTNBP1/ANKS1B/MTMR2/NPTN/MAP2K1/ZDHHC2/GRID1/LRRC7/GRIK1/ADD3/DLG2/GRID2/KPNA1/GRIK2/GRIN3A/USP8/KALRN/PTPRO/ABHD17C/DGKI/SHISA7/IGSF9/SHANK1/RGS7BP/ADD2/KCNH1/PRICKLE2/EEF2K/BSN/FYN/CACNA1C/PRKN/CTNND2/ZDHHC15/LRP8/CAP2/SORCS2/ABLIM1/DLGAP1/NEO1/RHEB/ADGRB3/CACNG2/LIN7A/UBE3B/NEURL1/ELFN1/NRCAM/GRM1/CSMD2/TNIK/NLGN4Y/GPR158/SHANK2/SYN2/RTN3/DLGAP2/GRIK4/GRM5/DNAJC6/ADCY1/SORCS3/TANC1/SYN3/FRMPD2/LRRC4C/SLC6A9/PDE4B/ACTN2/FMR1/DCC/CNIH2/USP6/DAGLA/SYT1/PTPRS/CRIPT/GRIK5/MAGI2/PAK3/PJA2/IGSF21/NLGN1/GRIA4/GRIN2D/RGS9/GSG1L/RTN1/ITGA8/TMEM108/DAPK1/CAMK2A/GRIN2B/ASIC2/SLITRK5/SYNDIG1/GRIN2C/BAALC/GRIA1/NTRK2/TSC1/GRIA3/ASIC1/SHISA9/PPFIA2/NECTIN3/NOS1/LRFN5,165
GO:0098839,postsynaptic density membrane,65/5354,108/15040,0.6018518518518519,1.6906708725909325,5.355505367370289,1.5657599352290813e-7,1.6418111320830654e-5,1.4857060438038353e-5,DLG1/ADAM22/CNKSR2/ABHD17B/LIN7C/CLSTN2/RYK/SLC16A7/AKAP9/ERBB4/NETO2/ATP2B2/GRID1/GRIK1/DLG2/GRID2/GRIK2/GRIN3A/PTPRO/ABHD17C/SHISA7/IGSF9/RGS7BP/KCNH1/CACNA1C/LRP8/SORCS2/NEO1/ADGRB3/CACNG2/LIN7A/ELFN1/NRCAM/GRM1/CSMD2/NLGN4Y/GPR158/GRIK4/GRM5/ADCY1/SORCS3/LRRC4C/ACTN2/DCC/DAGLA/PTPRS/GRIK5/IGSF21/GRIA4/GRIN2D/RGS9/GSG1L/ITGA8/TMEM108/GRIN2B/ASIC2/SLITRK5/SYNDIG1/GRIN2C/GRIA1/GRIA3/ASIC1/SHISA9/NECTIN3/LRFN5,65
GO:0099634,postsynaptic specialization membrane,73/5354,129/15040,0.5658914728682171,1.5896540440676101,5.000520156686469,8.502360575003905e-7,7.800915827566083e-5,7.059196740562452e-5,DLG1/MKLN1/ADAM22/CNKSR2/GABRB1/ABHD17B/LIN7C/CLSTN2/GABRA4/RYK/SLC16A7/AKAP9/ERBB4/NETO2/ATP2B2/GRID1/GRIK1/GLRA2/DLG2/GRID2/GRIK2/GRIN3A/PTPRO/ABHD17C/SHISA7/IGSF9/KCND2/RGS7BP/KCNH1/CACNA1C/LRP8/SORCS2/NEO1/ADGRB3/CACNG2/LIN7A/ELFN1/NRCAM/GRM1/CSMD2/NLGN4Y/GPR158/GRIK4/GRM5/ADCY1/SORCS3/LRRC4C/ACTN2/DCC/DAGLA/PTPRS/GRIK5/IGSF21/NLGN1/GRIA4/GRIN2D/RGS9/GSG1L/KCND3/ITGA8/TMEM108/GRIN2B/ASIC2/SLITRK5/SYNDIG1/GRIN2C/GRIA1/GRIA3/ASIC1/SHISA9/NECTIN3/GABRA3/LRFN5,73
GO:0044309,neuron spine,83/5354,155/15040,0.535483870967742,1.5042356031667612,4.691388160535849,3.3698507611260336e-06,2.748300509629454e-4,2.486989275170207e-4,ZMYND8/PPP3CA/ZNF804A/DNM3/GPHN/NEGR1/DOCK10/KCNN2/OPHN1/EEA1/LPAR1/SRGAP2/SRGAP2C/STRN/ARHGAP32/ARHGAP44/PTEN/ABHD17B/SRGAP2B/TANC2/MAP1B/SIPA1L1/ARFGEF2/SEPTIN11/CPEB4/GABBR1/HOMER1/ADORA1/ATP2B2/ALS2/DTNBP1/ANKS1B/MTMR2/ABR/GRID1/APBA1/GRID2/PTPRO/ABHD17C/DGKI/SHISA7/KCND2/SHANK1/RGS7BP/EEF2K/MYH10/SORCS2/SLC9A5/NEURL1/FRMPD4/KCNC3/SHANK2/GRM5/TENM2/ABI2/PDE4B/ACTN2/LAMA2/FMR1/APBA2/CNIH2/DAGLA/DIP2A/CRIPT/MAPT/RPH3A/NLGN1/EPHB2/GRIA4/PALMD/KCND3/ITGA8/PRKAR2B/CAMK2A/ASIC2/SYNDIG1/GRIA1/NTRK2/GRIA3/IGF2BP1/SHISA9/PPFIA2/NOS1,83
GO:0043197,dendritic spine,82/5354,154/15040,0.5324675324675324,1.4957623624041254,4.597495750314658,5.146455974918594e-6,3.777498685590248e-4,3.418330231761719e-4,ZMYND8/PPP3CA/ZNF804A/DNM3/GPHN/NEGR1/DOCK10/KCNN2/OPHN1/LPAR1/SRGAP2/SRGAP2C/STRN/ARHGAP32/ARHGAP44/PTEN/ABHD17B/SRGAP2B/TANC2/MAP1B/SIPA1L1/ARFGEF2/SEPTIN11/CPEB4/GABBR1/HOMER1/ADORA1/ATP2B2/ALS2/DTNBP1/ANKS1B/MTMR2/ABR/GRID1/APBA1/GRID2/PTPRO/ABHD17C/DGKI/SHISA7/KCND2/SHANK1/RGS7BP/EEF2K/MYH10/SORCS2/SLC9A5/NEURL1/FRMPD4/KCNC3/SHANK2/GRM5/TENM2/ABI2/PDE4B/ACTN2/LAMA2/FMR1/APBA2/CNIH2/DAGLA/DIP2A/CRIPT/MAPT/RPH3A/NLGN1/EPHB2/GRIA4/PALMD/KCND3/ITGA8/PRKAR2B/CAMK2A/ASIC2/SYNDIG1/GRIA1/NTRK2/GRIA3/IGF2BP1/SHISA9/PPFIA2/NOS1,82
