ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0004674,protein serine/threonine kinase activity,202/5273,410/14808,0.4926829268292683,1.383585962542728,5.857410003118478,6.268702790185179e-9,7.296770047775548e-6,6.710811302756134e-6,TRIO/STK3/MAPK8/AKT3/CDK8/ROCK2/TAOK3/RPS6KC1/CAMK2D/PRKCA/ULK4/PRKCE/DYRK1A/MAP2K5/NLK/CDK13/WNK1/CDK17/CAMK1D/BMP2K/VRK2/BMPR1A/CDK6/CDK14/MAP4K3/PRKCB/CSNK1G3/SRPK2/SIK3/MAP3K5/TTBK2/GRK3/TLK1/LATS1/MAP4K5/SIK2/HIPK3/BRAF/PKN2/ALPK1/ATR/PRKAG2/RPS6KA2/NEK1/AAK1/TAOK1/PIK3CA/RPS6KA3/MARK3/MAP3K4/IRAK3/PTK2B/MAP3K1/NEK7/BMPR2/MAPK14/GSK3B/STK39/MAP3K7/MAPKAPK5/TAF1/MAST2/HIPK2/GRK5/TRPM7/ACVR2A/TGFBR2/LRRK1/PRKACB/CDKL1/MAP2K4/EIF2AK2/ROCK1/ADCK1/RPS6KA5/PAK2/TLK2/STK4/C8orf44-SGK3/PIKFYVE/CDK19/TGFBR1/EIF2AK3/DSTYK/ACVR1/CDK12/STK32C/PRKCQ/PAK1/SMG1/VRK1/BRD4/NEK6/ABL1/NEK11/OXSR1/MAP3K20/PRKAA1/MYLK4/ATM/CDKL4/MAPK10/MAP3K21/PHKG1/MAPK1/STK38L/MAP2K1/STK38/SNRK/SLK/STK17B/KSR1/LRRK2/PRKD3/MTOR/MAP2K6/ERN1/TSSK3/CIT/CLK4/PDK1/PIK3R4/CILK1/KALRN/STK33/RIPK1/LMTK2/CASK/MAP3K13/PRKCH/PRKG1/MYLK3/MARK2/NEK3/CIITA/HIPK1/MELK/EEF2K/ACVR2B/MYO3B/FYN/CDC7/MAST4/MAP3K8/CAMK4/PDK3/DAPK2/PRKCI/DCAF1/LATS2/IRAK4/CAMKV/LTBP1/NEK10/MYO3A/MAP4K4/WNK3/SYK/STKLD1/TNIK/HJV/MAP3K14/EIF2AK4/SGK1/ACVR1C/MAP3K12/GRK4/STK32B/STK26/CDKL5/MAP3K19/MYLK/RIPK2/PHKA1/PPM1D/PIK3CG/BMPR1B/NUAK1/DCLK1/NEK4/PRKAB2/KSR2/NIM1K/PAK3/TBK1/WNK4/HUNK/CDK7/MAPK13/WNK2/MAP3K15/CHUK/ALPK2/DAPK1/CAMK2A/PAK5/MOK/NEK5/CHEK2/PRKD1/LIMK2/DCLK2,202
GO:0106310,protein serine kinase activity,170/5273,343/14808,0.4956268221574344,1.3918532111714943,5.460260042548981,5.893701594655671e-8,3.430134328089601e-5,3.1546813272446416e-5,TRIO/STK3/MAPK8/AKT3/CDK8/ROCK2/TAOK3/RPS6KC1/CAMK2D/PRKCA/ULK4/PRKCE/DYRK1A/MAP2K5/NLK/CDK13/WNK1/CDK17/CAMK1D/BMP2K/VRK2/CDK6/CDK14/MAP4K3/PRKCB/CSNK1G3/SRPK2/SIK3/MAP3K5/TTBK2/TLK1/LATS1/MAP4K5/SIK2/HIPK3/BRAF/PKN2/ALPK1/ATR/RPS6KA2/NEK1/AAK1/TAOK1/PIK3CA/PIK3CB/RPS6KA3/MARK3/MAP3K4/MAP3K1/NEK7/MAPK14/GSK3B/STK39/MAP3K7/MAPKAPK5/TAF1/MAST2/HIPK2/TRPM7/LRRK1/PRKACB/CDKL1/MAP2K4/EIF2AK2/ROCK1/RPS6KA5/PAK2/TLK2/STK4/C8orf44-SGK3/PIKFYVE/CDK19/EIF2AK3/DSTYK/CDK12/STK32C/PRKCQ/PAK1/SMG1/VRK1/NEK6/NEK11/OXSR1/MAP3K20/PRKAA1/MYLK4/ATM/CDKL4/MAPK10/MAP3K21/PHKG1/MAPK1/STK38L/MAP2K1/STK38/SNRK/SLK/STK17B/KSR1/LRRK2/PRKD3/MTOR/MAP2K6/ERN1/TSSK3/CIT/CLK4/PIK3R4/CILK1/KALRN/STK33/RIPK1/LMTK2/CASK/MAP3K13/PRKCH/PRKG1/MARK2/NEK3/CIITA/HIPK1/MELK/MYO3B/CDC7/MAST4/MAP3K8/CAMK4/DAPK2/PRKCI/DCAF1/LATS2/IRAK4/NEK10/MYO3A/MAP4K4/WNK3/TNIK/MAP3K14/EIF2AK4/SGK1/MAP3K12/STK32B/STK26/CDKL5/MAP3K19/RIPK2/PIK3CG/NUAK1/DCLK1/NEK4/KSR2/NIM1K/PAK3/TBK1/WNK4/HUNK/CDK7/MAPK13/WNK2/MAP3K15/ALPK2/DAPK1/CAMK2A/PAK5/MOK/NEK5/CHEK2/PRKD1/LIMK2/DCLK2,170
GO:0030695,GTPase regulator activity,222/5273,471/14808,0.4713375796178344,1.3236424955397101,5.308220163929208,1.173055512112068e-7,4.199619296887891e-5,3.8623736886733455e-5,TRIO/TBC1D22A/EVI5/ARHGAP15/SOS1/DENND1A/TBC1D5/STXBP5L/ARHGAP26/TIAM2/RABGAP1L/ASAP1/GNAQ/DENND1B/DOCK8/DOCK4/TBCK/RIC8B/DOCK2/DOCK10/AGAP1/WASL/STARD13/RALGAPA2/FGD4/TBC1D8/HERC1/VAV3/RASA2/TBC1D12/RAPGEF2/ARHGAP12/DOCK11/OPHN1/DOCK5/MYO9A/SBF2/PSD3/USP6NL/ACAP2/SRGAP2/RAB3GAP2/ARHGAP31/SIPA1L3/MON2/RAP1GDS1/RGS20/AKAP13/RALGAPA1/RASAL2/SMAP1/SERGEF/ARHGEF9/MYCBP2/ELMO1/IQGAP2/ARAP2/DOCK7/SRGAP2C/ARHGAP32/ARHGAP44/ARHGEF7/SLC38A9/DENND5B/CHM/FAM13B/RABGAP1/TIAM1/ARHGAP10/ARFGEF1/STXBP5/AGFG1/NF1/PLCE1/EIF2B3/RASA1/SRGAP2B/GAPVD1/DENND4C/PIK3R1/TBC1D15/ARHGAP42/SIPA1L1/ARFGEF2/DENND4A/DNMBP/TBC1D1/ARHGEF11/TBC1D19/IQSEC1/CHN2/ARHGEF12/GBF1/ASAP2/ARHGAP18/TBC1D4/FGD6/C9orf72/ITSN2/RASGRP1/ARHGAP35/IQGAP1/OCRL/RALGPS1/RIC1/ARHGAP17/CCDC88C/TBC1D9/AGAP4/SYDE2/NRP1/PDE6D/DENND6A/SOS2/ALS2/RANBP2/DOCK9/RAPGEF1/MCF2L2/ABR/ARHGAP21/WDR41/RGL1/BCAR3/ARHGEF10L/DOCK3/RALGAPB/ARHGAP24/RGS5/TBC1D7/TBC1D7-LOC100130357/ARHGAP25/LRRK2/RAP1A/KIAA1755/FGD2/ARHGEF26/RASGRF2/ECT2L/DENND3/RIN2/PLEKHG6/VAV2/SRGAP3/RGS17/KALRN/FBXO8/RASGEF1B/KNDC1/GNA13/HERC2/RGPD2/RAB3GAP1/CHN1/TBC1D22B/ECT2/DEPTOR/FAM13A/RAP1GAP2/RASGRF1/ARRB1/RIN3/ARHGEF37/PLEKHG7/FGD3/SMAP2/RASA3/RAB3IP/RGPD1/RANBP10/PREX1/GRTP1/RAPGEF4/VPS9D1/DENND2D/ADGRB3/ARHGAP22/DENND5A/CYTH3/SRGAP1/MCF2/NPRL3/DEPDC1B/RGS6/NUCB2/RGS12/ARHGEF38/ELMOD2/RALGPS2/PLCB1/ARHGEF4/SIPA1L2/SLIT2/NGEF/RGS7/CYTH1/VAV1/ARHGAP6/ARHGEF18/PLCD4/EGF/DOCK1/RGS18/ARFGEF3/ARHGAP5/ARHGEF28/RGS9/RAPGEFL1/TBC1D2/ARHGAP39/DLC1/GARNL3/PREX2/SH2D3C/RASAL1/IQSEC2/RIMS1/FARP2/RAPGEF5/RHOH/ADAP2/DENND2A,222
GO:0060589,nucleoside-triphosphatase regulator activity,222/5273,472/14808,0.4703389830508475,1.3208381682186516,5.267991996214027,1.4431681432604436e-7,4.199619296887891e-5,3.8623736886733455e-5,TRIO/TBC1D22A/EVI5/ARHGAP15/SOS1/DENND1A/TBC1D5/STXBP5L/ARHGAP26/TIAM2/RABGAP1L/ASAP1/GNAQ/DENND1B/DOCK8/DOCK4/TBCK/RIC8B/DOCK2/DOCK10/AGAP1/WASL/STARD13/RALGAPA2/FGD4/TBC1D8/HERC1/VAV3/RASA2/TBC1D12/RAPGEF2/ARHGAP12/DOCK11/OPHN1/DOCK5/MYO9A/SBF2/PSD3/USP6NL/ACAP2/SRGAP2/RAB3GAP2/ARHGAP31/SIPA1L3/MON2/RAP1GDS1/RGS20/AKAP13/RALGAPA1/RASAL2/SMAP1/SERGEF/ARHGEF9/MYCBP2/ELMO1/IQGAP2/ARAP2/DOCK7/SRGAP2C/ARHGAP32/ARHGAP44/ARHGEF7/SLC38A9/DENND5B/CHM/FAM13B/RABGAP1/TIAM1/ARHGAP10/ARFGEF1/STXBP5/AGFG1/NF1/PLCE1/EIF2B3/RASA1/SRGAP2B/GAPVD1/DENND4C/PIK3R1/TBC1D15/ARHGAP42/SIPA1L1/ARFGEF2/DENND4A/DNMBP/TBC1D1/ARHGEF11/TBC1D19/IQSEC1/CHN2/ARHGEF12/GBF1/ASAP2/ARHGAP18/TBC1D4/FGD6/C9orf72/ITSN2/RASGRP1/ARHGAP35/IQGAP1/OCRL/RALGPS1/RIC1/ARHGAP17/CCDC88C/TBC1D9/AGAP4/SYDE2/NRP1/PDE6D/DENND6A/SOS2/ALS2/RANBP2/DOCK9/RAPGEF1/MCF2L2/ABR/ARHGAP21/WDR41/RGL1/BCAR3/ARHGEF10L/DOCK3/RALGAPB/ARHGAP24/RGS5/TBC1D7/TBC1D7-LOC100130357/ARHGAP25/LRRK2/RAP1A/KIAA1755/FGD2/ARHGEF26/RASGRF2/ECT2L/DENND3/RIN2/PLEKHG6/VAV2/SRGAP3/RGS17/KALRN/FBXO8/RASGEF1B/KNDC1/GNA13/HERC2/RGPD2/RAB3GAP1/CHN1/TBC1D22B/ECT2/DEPTOR/FAM13A/RAP1GAP2/RASGRF1/ARRB1/RIN3/ARHGEF37/PLEKHG7/FGD3/SMAP2/RASA3/RAB3IP/RGPD1/RANBP10/PREX1/GRTP1/RAPGEF4/VPS9D1/DENND2D/ADGRB3/ARHGAP22/DENND5A/CYTH3/SRGAP1/MCF2/NPRL3/DEPDC1B/RGS6/NUCB2/RGS12/ARHGEF38/ELMOD2/RALGPS2/PLCB1/ARHGEF4/SIPA1L2/SLIT2/NGEF/RGS7/CYTH1/VAV1/ARHGAP6/ARHGEF18/PLCD4/EGF/DOCK1/RGS18/ARFGEF3/ARHGAP5/ARHGEF28/RGS9/RAPGEFL1/TBC1D2/ARHGAP39/DLC1/GARNL3/PREX2/SH2D3C/RASAL1/IQSEC2/RIMS1/FARP2/RAPGEF5/RHOH/ADAP2/DENND2A,222
GO:0005085,guanyl-nucleotide exchange factor activity,115/5273,225/14808,0.5111111111111111,1.4353372526708388,4.893231113389332,1.1689453009255336e-6,2.721304660554642e-4,2.502773412718459e-4,TRIO/SOS1/DENND1A/TIAM2/DENND1B/DOCK8/DOCK4/RIC8B/DOCK2/DOCK10/FGD4/HERC1/VAV3/RAPGEF2/DOCK11/DOCK5/SBF2/PSD3/RAB3GAP2/MON2/RAP1GDS1/AKAP13/SERGEF/ARHGEF9/MYCBP2/ELMO1/DOCK7/ARHGEF7/SLC38A9/DENND5B/TIAM1/ARFGEF1/PLCE1/EIF2B3/GAPVD1/DENND4C/ARFGEF2/DENND4A/DNMBP/ARHGEF11/IQSEC1/ARHGEF12/GBF1/FGD6/C9orf72/ITSN2/RASGRP1/RALGPS1/RIC1/CCDC88C/DENND6A/SOS2/ALS2/DOCK9/RAPGEF1/MCF2L2/ABR/WDR41/RGL1/BCAR3/ARHGEF10L/DOCK3/RAP1A/KIAA1755/FGD2/ARHGEF26/RASGRF2/ECT2L/DENND3/RIN2/PLEKHG6/VAV2/KALRN/FBXO8/RASGEF1B/KNDC1/GNA13/HERC2/RAB3GAP1/ECT2/DEPTOR/RASGRF1/RIN3/ARHGEF37/PLEKHG7/FGD3/RAB3IP/RANBP10/PREX1/RAPGEF4/VPS9D1/DENND2D/DENND5A/CYTH3/MCF2/NUCB2/ARHGEF38/RALGPS2/ARHGEF4/NGEF/CYTH1/VAV1/ARHGEF18/PLCD4/EGF/DOCK1/ARFGEF3/ARHGEF28/RAPGEFL1/PREX2/SH2D3C/IQSEC2/FARP2/RAPGEF5/DENND2A,115
GO:0005096,GTPase activator activity,130/5273,261/14808,0.49808429118773945,1.398754444132002,4.833270990656574,1.4794741812117951e-6,2.8701799115508827e-4,2.6396934075305193e-4,TBC1D22A/EVI5/ARHGAP15/SOS1/TBC1D5/STXBP5L/ARHGAP26/TIAM2/RABGAP1L/ASAP1/GNAQ/DOCK4/TBCK/DOCK2/AGAP1/STARD13/RALGAPA2/TBC1D8/VAV3/RASA2/TBC1D12/RAPGEF2/ARHGAP12/OPHN1/DOCK5/MYO9A/USP6NL/ACAP2/SRGAP2/RAB3GAP2/ARHGAP31/SIPA1L3/RGS20/RALGAPA1/RASAL2/SMAP1/IQGAP2/ARAP2/DOCK7/SRGAP2C/ARHGAP32/ARHGAP44/CHM/FAM13B/RABGAP1/ARHGAP10/STXBP5/AGFG1/NF1/RASA1/SRGAP2B/GAPVD1/PIK3R1/TBC1D15/ARHGAP42/SIPA1L1/TBC1D1/ARHGEF11/TBC1D19/CHN2/ARHGEF12/ASAP2/ARHGAP18/TBC1D4/C9orf72/ARHGAP35/IQGAP1/OCRL/ARHGAP17/TBC1D9/AGAP4/SYDE2/NRP1/ALS2/RANBP2/ABR/ARHGAP21/WDR41/ARHGEF10L/DOCK3/RALGAPB/ARHGAP24/RGS5/TBC1D7/TBC1D7-LOC100130357/ARHGAP25/LRRK2/RIN2/PLEKHG6/SRGAP3/RGS17/RGPD2/RAB3GAP1/CHN1/TBC1D22B/ECT2/DEPTOR/FAM13A/RAP1GAP2/ARRB1/RIN3/SMAP2/RASA3/RGPD1/PREX1/GRTP1/VPS9D1/ADGRB3/ARHGAP22/SRGAP1/NPRL3/DEPDC1B/RGS6/RGS12/ELMOD2/PLCB1/SIPA1L2/RGS7/ARHGAP6/DOCK1/RGS18/ARHGAP5/RGS9/TBC1D2/ARHGAP39/DLC1/GARNL3/PREX2/RASAL1/ADAP2,130
GO:0035091,phosphatidylinositol binding,126/5273,265/14808,0.47547169811320755,1.3352522104419453,4.095148548299938,3.7307137742037374e-5,0.0062036440473902145,0.005705467531376243,PLEKHA5/DENND1A/VPS13B/RPS6KC1/FCHSD2/WDPCP/ITPR1/DENND1B/WDFY3/BCAS3/PLA2G4A/PITPNC1/COMMD1/EEA1/FCHO2/KIF16B/ZFYVE9/SBF2/CERT1/PLD1/MAPKAP1/PIK3C2A/SNX25/IQGAP2/ARAP2/ARFIP1/ARHGAP32/OSBPL8/APPL2/MTM1/ZCCHC2/SNX13/STAM2/SNX27/SH3PXD2A/HIP1/SNX24/MYO1E/C8orf44-SGK3/ATG2B/TOM1L2/SH3YL1/GBF1/PICALM/PIGK/MYO1B/STAM/MYO10/SNX29/SNX16/SVIL/JPH2/PLEKHA3/OGT/IQGAP1/KCNQ1/GAB2/PITPNM2/PITPNB/ZCCHC14/ESYT2/PIGU/PXK/SNX30/PLEKHA8/SNX9/INTU/ZFYVE28/CGAS/DAPP1/RUBCNL/ITPR2/TULP3/FGD2/GSDME/ZFYVE26/GOLPH3L/EXOC1/EPB41/PLEKHF2/CLVS1/SH3PXD2B/AVIL/TOM1L1/KCNH1/PFN2/DNM1/VEPH1/GOLPH3/SYTL2/RUFY4/KCNJ1/SNX19/PARD3B/ESYT3/TRPM3/CYTH3/TULP1/FRMPD4/PHF12/GSDMB/PLCB1/LANCL2/SNX10/FRMPD2/SYT9/ACTN2/DOK7/SNX21/SYT1/MAPT/HCN1/RPH3A/KCNJ3/RUBCN/SDCBP/PARD3/SNX2/SESTD1/VIL1/SLC9A1/SNX4/TOM1/SNX31/SNAP91/ADAP2,126
GO:0030594,neurotransmitter receptor activity,42/5273,71/14808,0.5915492957746479,1.661229275901951,4.153161136934442,4.3065230263946685e-5,0.0062659910034042424,0.005762807786636024,HTR7/GABRB1/GABRA4/CHRNE/GABBR1/GRID1/GLRA1/GRIK1/GLRA2/GRID2/GRIK2/GRIN3A/CHRNB2/CHRNG/GRM1/CHRM3/HTR2A/GPR158/GRIK4/GRM5/GLRB/KCTD16/HRH2/GRIK5/GRIA4/ANXA9/GRIN2D/HTR4/GABRR2/GABRR1/CHRNA2/GRIN2B/HTR1F/CHRNA3/GRIN2C/GRIA1/GRIA3/HTR2C/HTR1E/GABRA3/GABRG1/CHRNB3,42
GO:0019783,ubiquitin-like protein peptidase activity,56/5273,102/14808,0.5490196078431373,1.5417944913599806,4.083094818371968,5.0810507037378016e-5,0.00657149224350089,0.006043776100235491,ALG13/USP34/USP45/USP32/MINDY3/USP15/USP24/USP31/USP9X/SENP6/SENP7/USP12/USP25/USP40/USP3/SENP5/USP53/USP47/MYSM1/USPL1/TANK/USP37/SENP1/OTULIN/MINDY2/PSMD14/USP48/USP38/DESI2/USP10/USP4/OTUD7A/USP42/USP54/STAMBPL1/USP8/OTUD3/VCPIP1/ATXN3/USP14/OTUD6B/USP33/OTUD4/USP44/ZUP1/SENP8/OTUD7B/ZRANB1/UCHL5/USP43/UFSP2/USP46/USP6/TNFAIP3/USP35/USP28,56
GO:0042578,phosphoric ester hydrolase activity,148/5273,323/14808,0.4582043343653251,1.286760816097427,3.8749302925933264,8.551000092668424e-5,0.009953364107866045,0.009154070625519777,DLG1/RNGTT/PDE4D/PPP3CA/SSH2/PDE3B/PPM1L/PTK2/INPP5A/PDE7A/PPM1E/PPA2/PHLPP1/PDE8A/GPCPD1/PTPRA/CDC14A/PTPRE/EYA3/RPAP2/PTPN2/PTPN4/UBASH3B/PLD1/PDE3A/PPP3CB/PTPRJ/EPM2A/PUDP/PTEN/TNS3/MTMR8/INPP4A/MTM1/NT5C2/PLCE1/APTX/PTPN13/PTPDC1/TPTE2/DUSP10/INPP5F/ACP3/DUSP16/PIKFYVE/PTPRB/NAPEPLD/INPP4B/PLPP1/PTPRC/PTPN12/SYNJ1/FRA10AC1/LPIN2/CTDSPL2/NT5C3A/OCRL/CPPED1/LHPP/MTMR7/TDP1/PPP3CC/NT5DC3/MTMR2/PLCL2/PTPRM/TNS1/BPNT2/PIP4P2/CDC14B/CA3/PPM1A/PDE5A/GPLD1/PTPN3/PDE6C/PP2D1/PTPRO/NT5DC1/GDPD4/LPIN1/PTPRG/PTPRK/FAN1/PFKFB1/FIG4/HTT/SACM1L/PDE6A/NT5E/PPM1K/SGPP2/MTMR3/PPTC7/PPP6C/PLCB4/PPM1H/PDE1C/PTPN20/PTPN14/PDE1A/PTPRT/SSH1/CHRM3/PALD1/NOCT/PTPRD/PHLPP2/DNAJC6/EYA1/PDE6H/PLCB1/MINPP1/PFKFB4/PLCL1/PDE4B/PPM1D/PPP4R1/SGPP1/PDE2A/PLCD4/INPP1/PLCH1/PDE10A/PTPRS/INPP5B/PLPPR1/PDE11A/ACP4/PTPN1/PTPRR/MTMR1/NT5M/EYA4/PXYLP1/PLPP4/PHOSPHO1/IMPA1/PLCXD2/PTPRN2/FICD/PLCXD3/ENPP3/CDC25C/PPEF1/PDE9A/ENPP2/PDP1,148
