category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03010,Ribosome,159/2931,174/7053,0.9137931034482759,2.19890234002753,13.502240663890639,1.3902549386505596e-44,4.921502482822981e-42,4.0390564533426786e-42,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPL27/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL18A/RPS9/RPL18/RPS28/RPS18/RPS8/RPL30/RPS15/RPL3/RPL4/RPLP0/MRPS34/RPL39/MRPL19/RPL35/RPS21/RPS3A/RPL21/MRPL28/RPL24/RPS29/RPL37A/RACK1/RPL12/RPS12/MRPL24/RPS27/RPL6/RPL19/RPL28/RPL37/RPL22/RPL38/RPS25/RPS6/RPL27A/RPS23/RPL14/RPS13/RPL11/RPL22L1/MRPL54/MRPL41/MRPL9/RPL9/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/GADD45GIP1/RPS17/RPS10/RPS4X/MRPL27/RPL26/RPL15/RPL17/RPS7/UBA52/RPL32/MRPL16/MRPS15/AURKAIP1/RPL35A/RPS15A/MRPL10/MRPL57/RPL31/RPL36A-HNRNPH2/RPL36A/MRPL11/RPS24/MRPS18B/MRPS21/MRPL20/MRPL44/MRPS18C/MRPS16/MRPL52/RPL34/MRPL43/RSL24D1/MRPS23/MRPS25/MRPL4/RPSA2/MRPS12/MRPL12/MRPS5/MRPL30/MRPL38/MRPL2/MRPL34/MRPL18/RPL23/MRPL49/MRPS11/MRPL36/MRPS24/MRPS10/RPL5/RPS27L/MRPS28/MRPL53/MRPS6/MRPL46/MRPS33/MRPL14/MRPS17/RPS27A/RPL17-C18orf32/MRPL32/MRPL33/MRPL51/MRPL15/MRPL40/MRPL21/MRPS7/MRPL45/RPS10-NUDT3/MRPL47/MRPL17/MRPL55/MRPL35/MRPS22/DAP3/MRPS2/MRPS26/RPL26L1/MRPS18A/KGD4/MRPL58/MRPS35/MRPL37/MRPL50/MRPS14,159
Genetic Information Processing,Transcription,hsa03040,Spliceosome,114/2931,143/7053,0.7972027972027972,1.9183457279670175,9.355031892527617,4.966061321240586e-21,8.789928538595836e-19,7.213857498223167e-19,SNRPD2/PUF60/FUS/XAB2/SRSF9/HNRNPK/SF3A2/HNRNPM/HNRNPA3/SNRNP70/SART1/SNRPB/SF3A1/DDX23/SNRNP200/MAGOH/LSM4/SNRPC/U2AF2/PRPF38A/RBM8A/SF3B2/PRPF19/ALYREF/SRSF3/HSPA1B/THOC3/THOC7/ZMAT2/PRPF6/HNRNPA1/SNU13/BUD31/LSM3/DHX16/SNRPE/PQBP1/SF3B6/SRSF1/THOC6/THOC5/DDX39B/SNRPD1/NCBP2/SRSF2/ACIN1/PCBP1/PRPF31/DHX38/HNRNPA1L3/SRSF5/SNRPG/LSM7/SF1/SNRPD3/RBMX/SNRPB2/CHERP/SNW1/GPKOW/SNRPA/SF3A3/PPIH/EIF4A3/DDX5/PRPF8/ISY1/PHF5A/SF3B5/SRSF7/HNRNPC/SRSF6/RBMXL1/PRPF4/PLRG1/DDX42/ISY1-RAB43/SNRPF/U2AF1L4/LSM2/SF3B1/SYF2/USP39/PPIE/HNRNPA1L2/U2AF1/LOC102724594/BCAS2/SNRNP27/SF3B4/EFTUD2/LSM5/CWC15/CRNKL1/WBP11/RBMX2/TXNL4A/YJU2/RBM17/CWC25/HSPA6/SF3B3/SLU7/PRPF38B/SRSF10/LSM6/RBM22/DDX46/SRSF8/SNIP1/SNRPA1/HSPA8/DHX8/MAGOHB,114
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,170/2931,255/7053,0.6666666666666666,1.604230638007506,8.286904236357076,1.5978207440281995e-16,1.8854284779532753e-14,1.5473632468483617e-14,COX6B1/COX5B/TUBA1C/PSMD2/SLC25A6/ATF4/NDUFS2/PSMC3/KEAP1/UQCRQ/UBB/CALM3/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CALM1/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/COXFA4/ATP5F1D/ATP5MC3/NDUFS8/PSMC2/ATP5F1A/PSMB6/NDUFB7/UBC/PRKACA/NDUFB2/PARK7/COX6C/ADRM1/UBA1/TXN/SLC39A7/ATP5PB/PPIF/COX4I1/TRAP1/GNAI2/PSMD13/COX7C/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/NDUFS5/NDUFB3/NDUFA1/TP53/PSMD8/NDUFA8/UQCRFS1/PSMB1/NDUFB11/PSMA7/PSMA5/SDHC/UBA52/TUBA1B/NDUFA6/VDAC2/MFN2/PSMA4/COX5A/BAX/TUBB6/CALM2/COX7A2L/UBE2J2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/HSPA5/PSMA6/NDUFB8/NDUFA11/UQCR11/SDHD/COX8A/PSMC4/ATP5MC1/PSMA2/XBP1/PSMA3/HTRA2/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PSMB5/VDAC3/NDUFV2/NDUFB4/PSMD7/NDUFS1/SLC39A1/TXN2/NDUFA9/SOD1/PSMD9/COX7B/SDHB/SLC39A3/NDUFB1/SEPTIN5/NDUFA13/NDUFA7/COX7A2/DDIT3/TUBA1A/VDAC1/PSMC6/TUBB4B/RPS27A/PSMD6/UBA7/DAXX/SLC39A13/ADORA2A/NDUFS7/COX6A1/CALML4/UBE2G2/DUSP1/NDUFC1/GNAS/TUBB3/KLC1/ATP5F1C/TUBB4A/TUBA8/NDUFA12/NDUFA5/PSMB2/NDUFA3/UQCRC2/UBE2L6/PLCG1/PINK1/EIF2S1/UQCRHL/SLC39A4/UBE2L3/SLC25A4/SLC39A6/PSMD11/KLC2/CASP9/SEM1/CASP3/KLC4/SLC39A14/TUBB2B,170
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,134/2931,200/7053,0.67,1.6122517911975436,7.406529613278515,1.6181965890539842e-13,1.432103981312776e-11,1.1753217331023675e-11,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPL27/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/CFD/RPL23A/RPL41/RPL18A/RPS9/RPL18/RPS28/RPS18/RPS8/RPL30/RPS15/RPL3/RPL4/RPLP0/RPL39/RPL35/RPS21/RPS3A/RPL21/RPL24/IRAK1/RPS29/RPL37A/RPL12/RPS12/RPS27/RPL6/RPL19/RPL28/RPL37/RPL22/RPL38/RPS25/RPS6/RPL27A/RPS23/RPL14/RPS13/RPL11/PLCG2/RPL22L1/RPL9/RPL36AL/IRF3/RPL7/TYK2/RPS20/RPL10A/NFKBIB/RPS17/RPS10/RPS4X/RPL26/RPL15/RPL17/RPS7/UBA52/RPL32/RPL35A/RPS15A/RPL31/RPL36A-HNRNPH2/RPL36A/IL6R/RPS24/MAPK12/RPL34/RSL24D1/RPSA2/PIK3R2/ISG15/STING1/RPL23/RPL5/RPS27L/TNFRSF1A/RPS27A/MAVS/IKBKG/RPL17-C18orf32/PIK3CD/RELA/TLR4/OAS2/IL12A/RPS10-NUDT3/IRF9/JUN/OAS3/MAPK11/CYBB/MYD88/CXCL10/NFKBIA/FCGR2A/STAT3/IFNAR2/RPL26L1/ADAR/IKBKE/OAS1/STAT1/CASP1/HBEGF/PLCG1/PIK3R3/C3/MAPK3/RIGI/C4B/STAT2/TNF/C8G/ACE,134
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,163/2931,258/7053,0.6317829457364341,1.520288337181532,7.1790880614625845,8.584850144657395e-13,6.078073902417436e-11,4.9882497682640856e-11,CYBA/COX6B1/COX5B/TUBA1C/PSMD2/SLC25A6/ATF4/NDUFS2/PSMC3/UQCRQ/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/ATF6B/PSMB4/COXFA4/ATP5F1D/ATP5MC3/NDUFS8/PSMC2/ATP5F1A/PSMB6/NDUFB7/PRKACA/NDUFB2/COX6C/ADRM1/ATP5PB/PPIF/COX4I1/STIP1/PSMD13/COX7C/PSMD3/CYCS/TUBB/TUBA4A/HSPA1B/PSMC5/NDUFS5/NDUFB3/NDUFA1/PSMD8/NDUFA8/UQCRFS1/PSMB1/NDUFB11/PSMA7/PSMA5/SDHC/TUBA1B/NDUFA6/VDAC2/PSMA4/COX5A/RAC2/BAX/TUBB6/MAPK12/COX7A2L/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/HSPA5/PSMA6/NDUFB8/NDUFA11/CSNK2B/UQCR11/SDHD/COX8A/PSMC4/ATP5MC1/PSMA2/PSMA3/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PIK3R2/PSMB5/VDAC3/NDUFV2/NDUFB4/PPP3R1/PSMD7/NDUFS1/CCL5/NDUFA9/SOD1/PSMD9/COX7B/SDHB/NDUFB1/NDUFA13/NDUFA7/COX7A2/DDIT3/TUBA1A/VDAC1/PSMC6/NCF4/TUBB4B/PRKCD/PSMD6/PIK3CD/CREB3L4/BAD/NDUFS7/NCF2/COX6A1/NCF1/MAPK11/NDUFC1/CYBB/PRNP/TUBB3/KLC1/ATP5F1C/TUBB4A/TUBA8/NDUFA12/CREB3/RAC1/HSPA6/NDUFA5/PSMB2/NDUFA3/NOTCH1/UQCRC2/PIK3R3/EIF2S1/UQCRHL/MAPK3/SLC25A4/PSMD11/KLC2/CASP9/CSNK2A2/HSPA8/SEM1/CASP3/KLC4/TNF/CSNK2A3/C8G/TUBB2B,163
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,208/2931,350/7053,0.5942857142857143,1.430057025880977,6.958818781853741,3.8901033728612685e-12,2.2177235099721519e-10,1.8200763864178231e-10,COX6B1/COX5B/TUBA1C/PSMD2/ATF4/NDUFS2/PSMC3/UQCRQ/FUS/VCP/PSMD4/NDUFA2/NDUFV1/UQCRC1/SQSTM1/ATP5F1B/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/HNRNPA3/COXFA4/TARDBP/ATP5F1D/HNRNPA2B1/ATP5MC3/NDUFS8/PSMC2/ATP5F1A/PSMB6/NDUFB7/TOMM40/ACTR1B/NDUFB2/COX6C/ADRM1/ALYREF/ACTG1/ATP5PB/COX4I1/PSMD13/COX7C/SRSF3/CHCHD10/PSMD3/CYCS/TUBB/PFN1/TUBA4A/PSMC5/NDUFS5/NDUFB3/NDUFA1/TP53/PSMD8/NDUFA8/UQCRFS1/HNRNPA1/DCTN3/PSMB1/NDUFB11/PSMA7/BECN1/DCTN1/GPX7/PSMA5/SDHC/TUBA1B/NDUFA6/RAB8A/PSMA4/COX5A/BAX/TUBB6/ATXN2L/GPX1/MAPK12/COX7A2L/MATR3/DCTN2/SIGMAR1/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/HSPA5/PSMA6/NDUFB8/GLE1/HNRNPA1L3/NDUFA11/NUP62/UQCR11/SDHD/COX8A/PSMC4/ATP5MC1/PSMA2/DERL1/XBP1/TOMM40L/PSMA3/ATP5PD/NDUFB5/NDUFAB1/ACTB/UQCR10/ATP5F1E/NDUFC2/PSMB5/NDUFV2/NDUFB4/PPP3R1/PSMD7/NDUFS1/NDUFA9/SOD1/PSMD9/COX7B/ANXA7/SRSF7/SDHB/NDUFB1/ACTR10/NDUFA13/NDUFA7/COX7A2/TNFRSF1A/NUP188/ACTR1A/DDIT3/TUBA1A/VDAC1/PSMC6/TUBB4B/UBQLN4/PSMD6/TNFRSF1B/DAXX/DNAL4/ULK1/ANXA11/BAD/NDUFS7/SMCR8/HNRNPA1L2/ATG101/COX6A1/DCTN6/NUP210/MAPK11/CCS/NDUFC1/NXT1/WIPI1/HDAC6/NXF3/TUBB3/KLC1/ATP5F1C/ATG2A/TUBB4A/TUBA8/WIPI2/CAT/NDUFA12/RAC1/SEH1L/NDUFA5/PSMB2/NRBF2/MAP1LC3B/NDUFA3/UQCRC2/MAP2K3/CASP1/OPTN/PINK1/RAE1/EIF2S1/NXF1/UQCRHL/TRAF2/UBQLN2/PSMD11/ANG/NUP85/KLC2/NEFH/CASP9/NUP107/SEM1/CASP3/NUP50/KLC4/RAB1A/BID/TNF/NUP43/NEFL/TUBB2B,208
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,180/2931,295/7053,0.6101694915254238,1.468278889023819,6.928138497833765,4.948717308760456e-12,2.2177235099721519e-10,1.8200763864178231e-10,COX6B1/COX5B/TUBA1C/PSMD2/SLC25A6/NDUFS2/PSMC3/UQCRQ/PSMD4/SLC25A5/POLR2E/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/COXFA4/ATP5F1D/ATP5MC3/NDUFS8/PSMC2/ATP5F1A/AP2M1/PSMB6/NDUFB7/CLTB/ACTR1B/NDUFB2/COX6C/ADRM1/HDAC1/ATP5PB/PPIF/COX4I1/PSMD13/COX7C/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/NDUFS5/NDUFB3/NDUFA1/TP53/AP2S1/PSMD8/NDUFA8/UQCRFS1/AP2A1/DCTN3/PSMB1/NDUFB11/PSMA7/BECN1/DCTN1/GPX7/PSMA5/SDHC/POLR2H/TUBA1B/NDUFA6/VDAC2/POLR2L/PSMA4/COX5A/BAX/TUBB6/GPX1/COX7A2L/DCTN2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/MAP2K7/PSMA6/NDUFB8/NDUFA11/UQCR11/SDHD/POLR2K/COX8A/PSMC4/POLR2C/ATP5MC1/PSMA2/PSMA3/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PSMB5/PLCB2/VDAC3/NDUFV2/NDUFB4/PSMD7/NDUFS1/NDUFA9/CLTC/POLR2J/SOD1/PSMD9/COX7B/SDHB/NDUFB1/ACTR10/NDUFA13/NDUFA7/COX7A2/PLCB3/ACTR1A/POLR2J3/TUBA1A/VDAC1/PSMC6/POLR2G/TUBB4B/PSMD6/CLTA/DNAL4/ULK1/CREB3L4/NDUFS7/BBC3/ATG101/COX6A1/DCTN6/NDUFC1/POLR2J2/WIPI1/DLG4/POLR2I/POLR2B/POLR2D/POLR2F/TUBB3/KLC1/ATP5F1C/TFAM/ATG2A/TUBB4A/TUBA8/WIPI2/NDUFA12/CREB3/SOD2/NDUFA5/PSMB2/HDAC2/NRBF2/NDUFA3/UQCRC2/AP2A2/UQCRHL/MAP3K10/SLC25A4/TRAF2/PSMD11/KLC2/CASP9/SEM1/STX1A/CASP3/KLC4/TBPL1/TUBB2B,180
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,92/2931,129/7053,0.7131782945736435,1.7161537057754717,6.922016599108205,5.011804542309948e-12,2.2177235099721519e-10,1.8200763864178231e-10,COX6B1/COX5B/NDUFS2/UQCRQ/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/ATP6V0B/UQCRH/NDUFB9/CYC1/NDUFS6/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/NDUFS8/ATP5F1A/NDUFB7/NDUFB2/COX6C/ATP5PB/COX4I1/COX7C/CYCS/NDUFS5/NDUFB3/NDUFA1/NDUFA8/UQCRFS1/NDUFB11/SDHC/TCIRG1/COX11/NDUFA6/ATP6AP1/COX5A/COX7A2L/ATP6V0E1/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/ATP5MG/NDUFB8/NDUFA11/UQCR11/SDHD/COX8A/ATP5MF/ATP5MC1/ATP5PD/NDUFB5/NDUFAB1/ATP6V0C/UQCR10/ATP5F1E/NDUFC2/ATP6V1F/NDUFV2/NDUFB4/ATP5ME/COX15/NDUFS1/NDUFA9/COX7B/ATP6V1B2/SDHB/NDUFB1/NDUFA13/NDUFA7/COX7A2/ATP6V0D1/ATP6V1E1/NDUFS7/COX6A1/PPA1/NDUFC1/ATP6V1G1/ATP5F1C/NDUFA12/ATP6V1D/NDUFA5/COX17/NDUFA3/UQCRC2/UQCRHL/ATP6V1G2,92
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,121/2931,192/7053,0.6302083333333334,1.5164992749914705,6.118383403887779,1.0272883962816658e-9,4.040667692041219e-8,3.316159033610992e-8,CYBA/COX6B1/COX5B/SLC25A6/NDUFS2/UQCRQ/GAPDH/AKT1/SLC25A5/NDUFA2/NDUFV1/UQCRC1/PPP1CA/ATP5F1B/UQCRH/NDUFB9/CYC1/NDUFS6/NDUFS3/PTPA/COXFA4/ATP5F1D/ATP5MC3/NDUFS8/ATP5F1A/NDUFB7/ATP2A3/NDUFB2/G6PD/PDHA1/COX6C/MMP2/ATP5PB/PPIF/COX4I1/TGFB1/COX7C/PARP1/NDUFS5/NDUFB3/NDUFA1/NDUFA8/UQCRFS1/NDUFB11/GYS1/SDHC/NDUFA6/VDAC2/PPP1CC/COX5A/RAC2/MAPK12/COX7A2L/PDHB/AKT2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/NDUFB8/NDUFA11/UQCR11/SDHD/COX8A/ATP5MC1/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PIK3R2/PLCB2/VDAC3/NDUFV2/NDUFB4/NDUFS1/NDUFA9/COX7B/CPT2/SDHB/CTSD/NDUFB1/NDUFA13/NDUFA7/COX7A2/PLCB3/VDAC1/NCF4/PRKCD/PPP1CB/PIK3CD/RELA/CPT1B/NDUFS7/NCF2/COX6A1/MPC2/NCF1/MAPK11/NDUFC1/CYBB/GSR/PDK2/ATP5F1C/NDUFA12/RAC1/NDUFA5/NDUFA3/UQCRC2/TGFB3/PIK3R3/UQCRHL/SLC25A4/SLC2A1/MMP9/SLC2A4/ACE,121
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,203/2931,363/7053,0.559228650137741,1.345697601303817,5.702255687559011,1.0738668936939474e-8,3.507828998922285e-7,2.8788605521931335e-7,COX6B1/COX5B/TUBA1C/PSMD2/SLC25A6/ATF4/NDUFS2/PSMC3/UQCRQ/GAPDH/CALM3/AKT1/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CALM1/MAP2K2/UQCRH/PSMC1/NDUFB9/APH1A/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/COXFA4/ATP5F1D/ATP5MC3/NDUFS8/PSMC2/ATP5F1A/PSMB6/NDUFB7/ATP2A3/NDUFB2/COX6C/ADRM1/SLC39A7/ATP5PB/PPIF/COX4I1/PSMD13/COX7C/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/NDUFS5/NDUFB3/NDUFA1/PSMD8/NDUFA8/UQCRFS1/PSMB1/NDUFB11/PSMA7/BECN1/HSD17B10/PSMA5/FRAT2/SDHC/DVL1/TUBA1B/NDUFA6/VDAC2/PSMA4/DVL2/COX5A/WNT7B/TUBB6/CALM2/COX7A2L/AKT2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/MAP2K7/PSMA6/NDUFB8/NDUFA11/CSNK2B/FADD/UQCR11/FZD1/SDHD/COX8A/PSMC4/ATP5MC1/PSMA2/XBP1/PSMA3/CHRNA7/ATP5PD/NDUFB5/NDUFAB1/FZD2/UQCR10/ATP5F1E/NDUFC2/PIK3R2/PSMB5/PLCB2/VDAC3/NDUFV2/NDUFB4/PPP3R1/PSMD7/NDUFS1/SLC39A1/NDUFA9/CSNK1E/FRAT1/PSMD9/COX7B/SDHB/LRP5/SLC39A3/NDUFB1/NDUFA13/NDUFA7/COX7A2/TNFRSF1A/PLCB3/PSENEN/DDIT3/TUBA1A/VDAC1/PSMC6/AXIN1/TUBB4B/IKBKG/PSMD6/PIK3CD/SLC39A13/CAPN1/RELA/WNT6/CDK5/ULK1/BAD/NDUFS7/ATG101/COX6A1/HRAS/ARAF/CALML4/PPID/NDUFC1/WIPI1/CYBB/TUBB3/KLC1/ATP5F1C/ATG2A/TUBB4A/TUBA8/CHRFAM7A/WIPI2/NDUFA12/NDUFA5/PSMB2/APOE/NRBF2/NDUFA3/DVL3/UQCRC2/PSEN2/PIK3R3/EIF2S1/WNT10B/IRS2/UQCRHL/MAPK3/SLC39A4/SLC25A4/TRAF2/SLC39A6/PSMD11/FZD9/KLC2/CSNK1A1/CASP9/CSNK2A2/SEM1/CASP3/NCSTN/KLC4/BID/TNF/FZD5/SLC39A14/CSNK2A3/TUBB2B/CDK5R1,203
