ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022613,ribonucleoprotein complex biogenesis,300/5607,454/14255,0.6607929515418502,1.6799720927820714,11.856037169514938,1.2274509661192413e-31,7.234595994306808e-28,6.403417882196799e-28,RPS5/RPS16/RPS19/NOP53/EIF4H/EIF3G/RPS11/RPL7A/FAU/RPS14/RPSA/GLUL/RPL13A/RPL27/RPS9/RPS28/FBL/EIF4B/NOP9/SNRPD2/XAB2/RPS8/EIF3L/PIH1D1/PUF60/RPS15/RPLP0/SRSF9/RBM34/RPS21/EIF2S2/WDR46/RPL35/EIF3F/RPS3A/PRMT5/SF3A2/RPL24/DDX27/RPS12/RPS27/LSM4/SNRNP200/SART1/SNRPB/EIF3I/NPM3/NHP2/RPL38/REXO4/RPS25/DDX23/RPS23/SF3A1/LUC7L2/SF3B2/RPS6/RPS13/U2AF2/RPL11/IMP3/RPL14/EIF3D/SNRPC/RBM10/RPL7/NSUN5/HSP90AB1/PRPF19/SART3/KRI1/EIF6/RPS17/RRP7A/RPS4X/METTL17/RPL26/ERCC2/PRMT7/SMN1/SMN2/EIF3K/RAN/RPL35A/PELP1/PRPF6/NSA2/DDX54/EIF2S3/FTSJ3/DDX51/EIF3C/EIF3CL/RPS7/RPS15A/SRSF1/DDX39B/EIF3B/PA2G4/BOP1/NOC2L/NOB1/RUVBL2/RPL7L1/WDR18/RRP1/EIF3J/WDR74/TRMT112/SNRPE/EIF2A/SNRPD3/PRPF31/TSSC4/CD2BP2/RPSA2/C1QBP/EXOSC10/SNU13/MRM2/RPS24/TAF9/DDX49/NOP2/ABT1/PPAN/DCAF13/RCC1L/SRSF5/DENR/NOL6/RRS1/RRN3/POP4/UTP14A/NGRN/DDX47/SNRPD1/SNRPB2/NIP7/PES1/EXOSC3/ISY1/SPOUT1/STRAP/NOP16/PHF5A/TBL3/RPL5/RSL24D1/EXOSC4/SRSF6/EIF4A3/GRWD1/RIOK2/EXOSC5/SNRPG/MAK16/WDR77/DIMT1/TSR3/PRPF8/SF3B6/DHX37/EMG1/PNO1/REXO5/RPS27L/NLE1/BYSL/NPM1/HTATSF1/MYG1/POP5/RPS19BP1/ZNF593/MYBBP1A/DDX28/RBFA/NOA1/SF3B5/TSR2/SURF6/NOL7/RBM5/DDX56/RPS27A/MTG1/RPP25/HSP90AA1/GEMIN7/METTL18/PTGES3/SRPK3/SF1/FCF1/DHX29/NOP10/MPV17L2/SF3A3/FDXACB1/LSM2/MCAT/WDR55/NOP56/SF3B1/SNRPF/ERAL1/MTERF4/RRP9/EBNA1BP2/RBIS/SIRT7/TSR1/EXOSC1/MCTS2/UTP3/DHX30/GEMIN4/UTP6/DDX42/NOC4L/CLP1/CRNKL1/DDX3X/POP7/METTL5/RBMX2/BUD23/RNASEL/MRTO4/YJU2/IMP4/EIF1AX/LTV1/CINP/SLU7/SF3B4/PIN4/RPUSD2/MRPS2/KRR1/ZNF622/MTG2/RPL26L1/GTF3A/GEMIN6/RRP36/USP39/REXO1/TARBP2/EIF2D/MRM3/PWP2/NOP14/RSRP1/ZNHIT3/WBP11/DKC1/NOL3/XRCC5/EXOSC8/AAR2/EIF3A/GAR1/LAS1L/FRG1/XPO1/RPUSD4/RPP38/SRSF10/SUV39H1/RPUSD1/SBDS/DDX18/GTPBP4/TXNL4A/EIF3E/DDX1/RIOK3/YBEY/WDR3/PRP4K/LSM6/RUVBL1/SF3B3/ISG20L2/EIF5/EXOSC7/COIL/BRIX1/PDCD11/FSAF1/SNIP1/LTO1/NUDT16/UTP18/AIRIM/LSG1/DDX46,300
GO:0002181,cytoplasmic translation,155/5607,204/14255,0.7598039215686274,1.9316934014554634,10.792207859512882,8.878923377797455e-27,2.61661871943691e-23,2.315997066334957e-23,RPS5/RPS16/RPS19/EIF4H/EIF3G/RPLP1/RPS2/RPS11/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL13A/RPL27/RPL18A/RPL36/RPS9/RPS28/RPL18/EEF2/RPS18/EIF4B/RPL30/PKM/RPS8/AKT1/EIF3L/RPS15/EEF1D/RPLP0/RPL3/RPL4/RPL39/RPS21/EIF2S2/RPL35/EIF3F/RPS3A/RPL21/RPL24/RPS29/RPL12/CPEB2/RPL37A/RACK1/RPS12/RPL22/RPS27/EIF4G1/RPL6/RPL28/EIF3I/RPL37/RPL19/RPL38/RPL27A/RPS25/RPS23/RPS6/RPS13/RPL11/RPL14/EIF3D/RPL9/YBX1/RPL36AL/RPL7/RPS20/RPL10A/RNH1/RPS17/RPS10/RPS4X/RPL15/RPL26/RPL17/UBA52/RPL32/RPL22L1/EIF3K/RPL35A/EIF4A1/EIF2S3/EIF3C/EIF3CL/RPS7/RPS15A/RPL36A/SYNCRIP/EIF3B/RPL31/YBX3/RPS6KB2/AKT2/EIF3J/ABCE1/ZNF385A/RRAGC/RPSA2/EIF4A2/DRG2/NCBP2/RPS24/DENR/EIF2B4/LAMTOR1/CNBP/RPL5/RBM4/TSC2/RRAGA/AARS1/AKT1S1/HNRNPD/RPL34/EIF2B5/DEPDC5/RPL23/RPS27A/YWHAG/METTL18/DHX29/EIF2B1/MCTS2/GTPBP1/PLXNB2/SARS1/MIF4GD/NPRL2/RPL26L1/DRG1/EIF2D/EIF2B2/HHEX/WDR24/CSDE1/FTSJ1/ETF1/PABPC1/EIF3A/ANG/EIF3E/SLBP/EIF5/IMPACT/PAIP1/HNRNPU,155
GO:0042254,ribosome biogenesis,204/5607,308/14255,0.6623376623376623,1.6838993002716918,9.770188256652949,5.026149147279319e-22,9.87470769135477e-19,8.74020883295309e-19,RPS5/RPS16/RPS19/NOP53/RPS11/RPL7A/FAU/RPS14/RPSA/GLUL/RPL27/RPS9/RPS28/FBL/NOP9/RPS8/PIH1D1/RPS15/RPLP0/RBM34/RPS21/WDR46/RPL35/RPS3A/RPL24/DDX27/RPS12/RPS27/SART1/NPM3/NHP2/RPL38/REXO4/RPS25/RPS23/RPS6/RPS13/RPL11/IMP3/RPL14/RBM10/RPL7/NSUN5/KRI1/EIF6/RPS17/RRP7A/RPS4X/METTL17/RPL26/ERCC2/RAN/RPL35A/PELP1/NSA2/DDX54/FTSJ3/DDX51/RPS7/RPS15A/PA2G4/BOP1/NOC2L/NOB1/RPL7L1/WDR18/RRP1/WDR74/TRMT112/EIF2A/RPSA2/C1QBP/EXOSC10/SNU13/MRM2/RPS24/DDX49/NOP2/ABT1/PPAN/DCAF13/RCC1L/NOL6/RRS1/RRN3/POP4/UTP14A/NGRN/DDX47/NIP7/PES1/EXOSC3/SPOUT1/NOP16/TBL3/RPL5/RSL24D1/EXOSC4/EIF4A3/GRWD1/RIOK2/EXOSC5/MAK16/DIMT1/TSR3/DHX37/EMG1/PNO1/REXO5/RPS27L/NLE1/BYSL/NPM1/MYG1/POP5/RPS19BP1/ZNF593/MYBBP1A/DDX28/RBFA/NOA1/TSR2/SURF6/NOL7/DDX56/RPS27A/MTG1/RPP25/METTL18/FCF1/DHX29/NOP10/MPV17L2/FDXACB1/MCAT/WDR55/NOP56/ERAL1/MTERF4/RRP9/EBNA1BP2/RBIS/SIRT7/TSR1/EXOSC1/UTP3/DHX30/GEMIN4/UTP6/NOC4L/DDX3X/POP7/METTL5/BUD23/RNASEL/MRTO4/IMP4/EIF1AX/LTV1/CINP/PIN4/RPUSD2/MRPS2/KRR1/ZNF622/MTG2/RPL26L1/GTF3A/RRP36/REXO1/MRM3/PWP2/NOP14/ZNHIT3/WBP11/DKC1/XRCC5/EXOSC8/GAR1/LAS1L/FRG1/XPO1/RPUSD4/RPP38/SUV39H1/RPUSD1/SBDS/DDX18/GTPBP4/RIOK3/YBEY/WDR3/LSM6/ISG20L2/EIF5/EXOSC7/BRIX1/PDCD11/FSAF1/LTO1/NUDT16/UTP18/AIRIM/LSG1,204
GO:0071826,protein-RNA complex organization,143/5607,205/14255,0.697560975609756,1.7734495643511812,8.981452603322303,6.82097648582632e-19,8.926867254798476e-16,7.901265178643982e-16,RPS19/NOP53/EIF4H/EIF3G/FAU/RPS14/RPSA/RPL13A/RPS28/EIF4B/SNRPD2/VCP/XAB2/EIF3L/PIH1D1/PUF60/RPS15/SRSF9/EIF2S2/EIF3F/PRMT5/SF3A2/RPL24/RPS27/LSM4/SNRNP200/SART1/SNRPB/EIF3I/RPL38/DDX23/SF3A1/LUC7L2/SF3B2/RPS6/U2AF2/RPL11/EIF3D/SNRPC/HSP90AB1/PRPF19/SART3/EIF6/RRP7A/METTL17/PRMT7/SMN1/SMN2/EIF3K/PRPF6/EIF2S3/EIF3C/EIF3CL/SRSF1/DDX39B/EIF3B/TFIP11/BOP1/RUVBL2/EIF3J/SNRPE/SNRPD3/PRPF31/TSSC4/CD2BP2/RPSA2/SNU13/MRM2/TAF9/NOP2/ABT1/RCC1L/SRSF5/DENR/RRS1/SNRPD1/SNRPB2/ISY1/STRAP/PHF5A/RPL5/SRSF6/SNRPG/WDR77/PRPF8/SF3B6/RPS27L/HTATSF1/DDX28/SF3B5/RBM5/MTG1/HSP90AA1/GEMIN7/PTGES3/SRPK3/SF1/DHX29/SF3A3/LSM2/MCAT/SF3B1/SNRPF/ERAL1/MCTS2/DHX30/GEMIN4/DDX42/CLP1/CRNKL1/RBMX2/MRTO4/YJU2/KLC1/SLU7/SF3B4/MTG2/GEMIN6/USP39/TARBP2/EIF2D/PWP2/RSRP1/ZNHIT3/DKC1/NOL3/XRCC5/AAR2/EIF3A/SRSF10/TXNL4A/EIF3E/TRIM21/DDX1/PRP4K/RUVBL1/SF3B3/EIF5/COIL/BRIX1/DYRK3/SNIP1/DDX46,143
GO:0022618,protein-RNA complex assembly,138/5607,196/14255,0.7040816326530612,1.7900274074316724,8.967446472370778,7.572842937562333e-19,8.926867254798476e-16,7.901265178643982e-16,RPS19/NOP53/EIF4H/EIF3G/FAU/RPS14/RPSA/RPL13A/RPS28/EIF4B/SNRPD2/XAB2/EIF3L/PIH1D1/PUF60/RPS15/SRSF9/EIF2S2/EIF3F/PRMT5/SF3A2/RPL24/RPS27/LSM4/SNRNP200/SART1/SNRPB/EIF3I/RPL38/DDX23/SF3A1/LUC7L2/SF3B2/RPS6/U2AF2/RPL11/EIF3D/SNRPC/HSP90AB1/PRPF19/SART3/EIF6/RRP7A/METTL17/PRMT7/SMN1/SMN2/EIF3K/PRPF6/EIF2S3/EIF3C/EIF3CL/SRSF1/DDX39B/EIF3B/BOP1/RUVBL2/EIF3J/SNRPE/SNRPD3/PRPF31/TSSC4/CD2BP2/RPSA2/SNU13/MRM2/TAF9/NOP2/ABT1/RCC1L/SRSF5/DENR/RRS1/SNRPD1/SNRPB2/ISY1/STRAP/PHF5A/RPL5/SRSF6/SNRPG/WDR77/PRPF8/SF3B6/RPS27L/HTATSF1/DDX28/SF3B5/RBM5/MTG1/HSP90AA1/GEMIN7/PTGES3/SRPK3/SF1/DHX29/SF3A3/LSM2/MCAT/SF3B1/SNRPF/ERAL1/MCTS2/DHX30/GEMIN4/DDX42/CLP1/CRNKL1/RBMX2/MRTO4/YJU2/SLU7/SF3B4/MTG2/GEMIN6/USP39/TARBP2/EIF2D/PWP2/RSRP1/ZNHIT3/DKC1/NOL3/XRCC5/AAR2/EIF3A/SRSF10/TXNL4A/EIF3E/DDX1/PRP4K/RUVBL1/SF3B3/EIF5/COIL/BRIX1/SNIP1/DDX46,138
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",191/5607,297/14255,0.6430976430976431,1.6349842879181204,8.904415597142233,1.4338369022309553e-18,1.1242911247907349e-15,9.951220356942622e-16,RBM42/SNRPD2/XAB2/PUF60/SRSF9/SAP18/HNRNPUL1/HNRNPK/CIRBP/HNRNPL/PRMT5/KHDRBS1/SF3A2/UBL5/HNRNPA3/LSM4/SNRNP200/SART1/SNRPB/SNRNP70/HNRNPM/PRPF38A/RBM8A/HNRNPA2B1/C9orf78/DDX23/SF3A1/LUC7L2/SF3B2/U2AF2/IK/MAGOH/DDX41/SNRPC/RBM10/HNRNPH3/PRPF19/HNRNPA1/SART3/PTBP1/SNRNP25/PRMT7/SMN1/SMN2/UPF1/SRSF3/ILF3/TIA1/ZMAT2/LSM3/PRPF6/DHX40/RBM3/SRSF1/SYNCRIP/DDX39B/RNPS1/DDX39A/BUD31/SRSF2/TFIP11/DAZAP1/HNRNPUL2/DHX38/PRDX6/RBM15B/DHX16/RBMX/PQBP1/RBM14/MFAP1/SNRPE/SNRPD3/PRPF31/HMX2/LSM7/TSSC4/WTAP/CD2BP2/SNW1/C1QBP/EXOSC10/SNU13/NCBP2/HNRNPA1L3/SRSF5/PPIH/GPKOW/SNRPD1/SNRPB2/ISY1/STRAP/PHF5A/RBM4/SNRPA/RBM7/SRSF6/DDX5/EIF4A3/SNRPG/CACTIN/ACIN1/WDR77/PRPF8/SF3B6/NPM1/HTATSF1/ZCRB1/RBMXL1/SF3B5/RBM5/HNRNPH1/WDR83/U2AF1L4/PLRG1/HNRNPC/NCL/GEMIN7/SRPK3/SF1/HNRNPF/PCBP4/SF3A3/LSM2/HNRNPA1L2/SF3B1/SNRNP27/ESS2/SRSF7/SYF2/SNRPF/SNRPN/PPIE/BCAS2/U2AF1/LARP7/SFPQ/INTS15/DCPS/GEMIN4/HNRNPR/DDX42/LSM5/CWC15/PRPF4/RNF113A/CRNKL1/PNN/RBMX2/YJU2/JMJD6/SLU7/SF3B4/GEMIN6/SMU1/USP39/EFTUD2/SCNM1/ARGLU1/RBM17/CWF19L1/DBR1/RSRP1/NOL3/RBM4B/PABPC1/AAR2/RBM23/CWC25/FRG1/SNRNP35/SRSF10/USP49/TXNL4A/RBM22/DDX1/TXNL4B/SRSF8/UPF3A/PRP4K/LSM6/FBXO24/SF3B3/COIL/LSM8/DHX8/SNIP1/UPF3B/HNRNPU/DDX46/MAGOHB,191
GO:0000398,"mRNA splicing, via spliceosome",191/5607,297/14255,0.6430976430976431,1.6349842879181204,8.904415597142233,1.4338369022309553e-18,1.1242911247907349e-15,9.951220356942622e-16,RBM42/SNRPD2/XAB2/PUF60/SRSF9/SAP18/HNRNPUL1/HNRNPK/CIRBP/HNRNPL/PRMT5/KHDRBS1/SF3A2/UBL5/HNRNPA3/LSM4/SNRNP200/SART1/SNRPB/SNRNP70/HNRNPM/PRPF38A/RBM8A/HNRNPA2B1/C9orf78/DDX23/SF3A1/LUC7L2/SF3B2/U2AF2/IK/MAGOH/DDX41/SNRPC/RBM10/HNRNPH3/PRPF19/HNRNPA1/SART3/PTBP1/SNRNP25/PRMT7/SMN1/SMN2/UPF1/SRSF3/ILF3/TIA1/ZMAT2/LSM3/PRPF6/DHX40/RBM3/SRSF1/SYNCRIP/DDX39B/RNPS1/DDX39A/BUD31/SRSF2/TFIP11/DAZAP1/HNRNPUL2/DHX38/PRDX6/RBM15B/DHX16/RBMX/PQBP1/RBM14/MFAP1/SNRPE/SNRPD3/PRPF31/HMX2/LSM7/TSSC4/WTAP/CD2BP2/SNW1/C1QBP/EXOSC10/SNU13/NCBP2/HNRNPA1L3/SRSF5/PPIH/GPKOW/SNRPD1/SNRPB2/ISY1/STRAP/PHF5A/RBM4/SNRPA/RBM7/SRSF6/DDX5/EIF4A3/SNRPG/CACTIN/ACIN1/WDR77/PRPF8/SF3B6/NPM1/HTATSF1/ZCRB1/RBMXL1/SF3B5/RBM5/HNRNPH1/WDR83/U2AF1L4/PLRG1/HNRNPC/NCL/GEMIN7/SRPK3/SF1/HNRNPF/PCBP4/SF3A3/LSM2/HNRNPA1L2/SF3B1/SNRNP27/ESS2/SRSF7/SYF2/SNRPF/SNRPN/PPIE/BCAS2/U2AF1/LARP7/SFPQ/INTS15/DCPS/GEMIN4/HNRNPR/DDX42/LSM5/CWC15/PRPF4/RNF113A/CRNKL1/PNN/RBMX2/YJU2/JMJD6/SLU7/SF3B4/GEMIN6/SMU1/USP39/EFTUD2/SCNM1/ARGLU1/RBM17/CWF19L1/DBR1/RSRP1/NOL3/RBM4B/PABPC1/AAR2/RBM23/CWC25/FRG1/SNRNP35/SRSF10/USP49/TXNL4A/RBM22/DDX1/TXNL4B/SRSF8/UPF3A/PRP4K/LSM6/FBXO24/SF3B3/COIL/LSM8/DHX8/SNIP1/UPF3B/HNRNPU/DDX46/MAGOHB,191
GO:0000375,"RNA splicing, via transesterification reactions",193/5607,301/14255,0.6411960132890365,1.6301496646041047,8.897201219932029,1.5260144211614996e-18,1.1242911247907349e-15,9.951220356942622e-16,RBM42/KHSRP/SNRPD2/XAB2/PUF60/SRSF9/SAP18/HNRNPUL1/HNRNPK/CIRBP/HNRNPL/PRMT5/KHDRBS1/SF3A2/UBL5/HNRNPA3/LSM4/SNRNP200/SART1/SNRPB/SNRNP70/HNRNPM/PRPF38A/RBM8A/HNRNPA2B1/C9orf78/DDX23/SF3A1/LUC7L2/SF3B2/U2AF2/IK/MAGOH/DDX41/SNRPC/RBM10/HNRNPH3/PRPF19/HNRNPA1/SART3/PTBP1/SNRNP25/PRMT7/SMN1/SMN2/UPF1/SRSF3/ILF3/TIA1/ZMAT2/LSM3/PRPF6/DHX40/RBM3/SRSF1/SYNCRIP/DDX39B/RNPS1/DDX39A/BUD31/SRSF2/TFIP11/DAZAP1/HNRNPUL2/DHX38/PRDX6/RBM15B/DHX16/RBMX/PQBP1/RBM14/MFAP1/SNRPE/SNRPD3/PRPF31/HMX2/LSM7/TSSC4/WTAP/CD2BP2/SNW1/C1QBP/EXOSC10/SNU13/NCBP2/HNRNPA1L3/SRSF5/PPIH/GPKOW/SNRPD1/SNRPB2/ISY1/STRAP/PHF5A/RBM4/SNRPA/RBM7/SRSF6/DDX5/EIF4A3/SNRPG/CACTIN/ACIN1/WDR77/PRPF8/SF3B6/NPM1/HTATSF1/ZCRB1/RBMXL1/SF3B5/RBM5/HNRNPH1/WDR83/U2AF1L4/PLRG1/HNRNPC/NCL/GEMIN7/SRPK3/SF1/HNRNPF/PCBP4/SF3A3/LSM2/HNRNPA1L2/SF3B1/SNRNP27/ESS2/SRSF7/SYF2/SNRPF/SNRPN/PPIE/BCAS2/U2AF1/LARP7/SFPQ/INTS15/DCPS/GEMIN4/HNRNPR/DDX42/LSM5/CWC15/PRPF4/RNF113A/CRNKL1/PNN/RBMX2/YJU2/JMJD6/SLU7/SF3B4/GEMIN6/SMU1/USP39/EFTUD2/SCNM1/ARGLU1/RBM17/CWF19L1/DBR1/RSRP1/NOL3/RBM4B/PABPC1/AAR2/RBM23/CWC25/FRG1/SNRNP35/SRSF10/USP49/TXNL4A/RBM22/DDX1/TXNL4B/SRSF8/UPF3A/PRP4K/LSM6/FBXO24/SF3B3/COIL/LSM8/DHX8/SNIP1/UPF3B/HNRNPU/DDX46/MAGOHB/LSM1,193
GO:0008380,RNA splicing,261/5607,439/14255,0.5945330296127562,1.5115156656197324,8.76548299502414,4.410766803422188e-18,2.8885621710411534e-15,2.556697108509984e-15,ATXN7L3/RBM42/KHSRP/SNRPD2/XAB2/FUS/PUF60/TAF15/SRSF9/SAP18/HNRNPUL1/HNRNPK/CIRBP/HNRNPL/PRMT5/KHDRBS1/SF3A2/UBL5/HNRNPA3/TARDBP/LSM4/SNRNP200/SART1/SNRPB/SNRNP70/HNRNPM/PRPF38A/RBM8A/HNRNPA2B1/C9orf78/DDX23/SF3A1/LUC7L2/SF3B2/NONO/USP22/PRMT1/RPS13/U2AF2/AKAP17A/IK/MAGOH/CDK11B/DDX41/ENY2/ALYREF/SNRPC/YBX1/RBM10/PPP1R9B/HNRNPH3/SCAF1/THOC3/HNRNPH2/PRPF19/HNRNPA1/SART3/PTBP1/CCAR2/TSEN34/SNRNP25/PRMT7/SMN1/SMN2/UPF1/SRSF3/ILF3/TADA2B/TIA1/ZMAT2/LSM3/PRPF6/RBM38/THOC7/DHX40/RBM3/SRSF1/SYNCRIP/DDX39B/THOC6/RNPS1/DDX39A/BUD31/SRSF2/TFIP11/DAZAP1/HNRNPUL2/DHX38/PRDX6/THOC5/RBM15B/DHX16/RBMX/PQBP1/ARL6IP4/RBM14/MFAP1/TMBIM6/SNRPE/RBM12/RTCB/CCNL2/SNRPD3/RRAGC/PRPF31/HMX2/LSM7/TSSC4/WTAP/CD2BP2/SNW1/C1QBP/EXOSC10/SNU13/TAF10/NCBP2/FAM50A/TAF9/HNRNPA1L3/SRSF5/PPIH/GPKOW/DDX47/SNRPD1/SNRPB2/CDK11A/ISY1/PDCD7/STRAP/PHF5A/RBM4/SNRPA/RBM7/SRSF6/DDX5/EIF4A3/FASTK/SNRPG/CACTIN/ACIN1/WDR77/PRPF8/KAT2A/SF3B6/NPM1/HTATSF1/ZCRB1/ZNF830/RBMXL1/TADA3/SF3B5/TAF6L/ZC3H10/RBM5/HNRNPH1/WDR83/U2AF1L4/SGF29/PLRG1/HNRNPC/NCL/GEMIN7/PPIL2/SRPK3/SF1/HNRNPF/PCBP4/SF3A3/LSM2/HNRNPA1L2/PPP1R8/RTRAF/SF3B1/SNRNP27/ESS2/SRSF7/SYF2/USB1/SNRPF/SNRPN/PPIE/BCAS2/IWS1/U2AF1/LARP7/SFPQ/INTS15/DCPS/GEMIN4/HNRNPR/DDX42/LSM5/CWC15/PRPF4/RNF113A/CLP1/CRNKL1/PNN/RBMX2/TSEN54/YJU2/FAM98B/JMJD6/SLU7/SF3B4/CLASRP/AKAP8L/GEMIN6/SMU1/USP39/EFTUD2/TRPT1/SCNM1/LSM10/ARGLU1/RBM17/CWF19L1/CLK3/PUS1/DBR1/RSRP1/GRSF1/WBP11/NOL3/RBM4B/PABPC1/AAR2/RBM23/CWC25/ZRANB2/FRG1/RPUSD4/SNRNP35/SRSF10/USP49/TXNL4A/RBM22/DDX1/TXNL4B/SLC38A2/SRSF8/LGALS3/UPF3A/ZPR1/PRP4K/LSM6/PRPF38B/FBXO24/SF3B3/COIL/SUPT6H/LSM8/DHX8/SNIP1/UPF3B/HNRNPU/FAM98A/DDX46/MAGOHB/LSM1/SUGP2,261
GO:0006397,mRNA processing,275/5607,472/14255,0.5826271186440678,1.4812465803943617,8.561356714671774,2.4191507919092082e-17,1.4258474767512872e-14,1.262032771021267e-14,HNRNPA0/RBM42/KHSRP/SNRPD2/XAB2/PUF60/SRSF9/SAP18/HNRNPUL1/HNRNPK/CIRBP/HNRNPL/PRMT5/KHDRBS1/SF3A2/UBL5/HNRNPA3/TARDBP/LSM4/SNRNP200/PRKACA/SART1/SNRPB/SNRNP70/HNRNPM/PRPF38A/RBM8A/HNRNPA2B1/C9orf78/DDX23/SF3A1/LUC7L2/SF3B2/NONO/U2AF2/AKAP17A/IK/MAGOH/CDK11B/DDX41/ALYREF/SNRPC/YBX1/RBM10/DUS3L/TRUB2/HNRNPH3/SCAF1/THOC3/PRPF19/HNRNPA1/SART3/PTBP1/CPSF1/CCAR2/TSEN34/SNRNP25/PRMT7/SMN1/SMN2/UPF1/SRSF3/ILF3/TIA1/ZMAT2/LSM3/PRPF6/RBM38/NUDT21/THOC7/DHX40/RBM3/SRSF1/SYNCRIP/DDX39B/THOC6/RNPS1/PAF1/DDX39A/BUD31/SRSF2/TFIP11/SAFB/DAZAP1/TBRG4/HNRNPUL2/PABPN1/DHX38/PRDX6/THOC5/RBM15B/DHX16/RBMX/PQBP1/ARL6IP4/RBM14/MFAP1/SNRPE/SNRPD3/PRPF31/HMX2/LSM7/TSSC4/WTAP/SLTM/CD2BP2/SNW1/C1QBP/EXOSC10/SNU13/NCBP2/FAM50A/CSTF2T/HNRNPA1L3/SRSF5/PAN2/FIP1L1/PPIH/GPKOW/DDX47/CPSF4/SNRPD1/SNRPB2/CDK11A/ISY1/STRAP/RAMAC/PHF5A/SAFB2/RBM4/SNRPA/RBM7/SRSF6/DDX5/EIF4A3/FASTKD5/SNRPG/CACTIN/TRMT2A/ACIN1/WDR77/PRPF8/RPUSD3/SF3B6/TUT1/HSF1/NPM1/HTATSF1/ZCRB1/ZNF830/RBMXL1/MYG1/SF3B5/RBM5/HNRNPH1/WDR83/U2AF1L4/PLRG1/HNRNPC/NCL/GEMIN7/PPIL2/SRPK3/SF1/HNRNPF/LEO1/PCBP4/SF3A3/LSM2/HNRNPA1L2/CMTR1/PPP1R8/HDAC7/SF3B1/SNRNP27/ESS2/SRSF7/SYF2/SSU72/SNRPF/SNRPN/PPIE/BCAS2/IWS1/U2AF1/TRMT61A/LARP7/SFPQ/INTS15/DCPS/GEMIN4/CPSF3/HNRNPR/DDX42/LSM5/CWC15/PRPF4/RNF113A/CLP1/CRNKL1/PNN/RBMX2/ZNF473/TSEN54/RNASEL/YJU2/ALKBH5/JMJD6/SLU7/SF3B4/RPUSD2/CDK9/CLASRP/AKAP8L/GEMIN6/SMU1/USP39/EFTUD2/SCNM1/LSM10/ARGLU1/KAT8/RBM17/CWF19L1/PCIF1/PUS1/DBR1/RSRP1/GRSF1/WBP11/NSUN2/NOL3/MBLAC1/RBM4B/PABPC1/AAR2/RBM23/CWC25/ZRANB2/FRG1/RPUSD4/SNRNP35/SRSF10/LSM11/CPSF7/USP49/TXNL4A/RBM22/SLBP/DDX1/TXNL4B/SRSF8/LGALS3/SYMPK/UPF3A/ZPR1/CCNB1/PRP4K/LSM6/PRPF38B/TRMT10C/FBXO24/SF3B3/COIL/SUPT6H/CMTR2/LSM8/DHX8/SNIP1/UPF3B/HNRNPU/DDX46/MAGOHB/LSM1/SUGP2,275
