ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03010,Ribosome,155,0.7853095656375852,2.380881390208268,1e-10,1.715e-8,1.4578947368421052e-8,2126,"tags=65%, list=14%, signal=57%",RPL13A/RPL27/RPL18A/RPL36/RPS9/RPS28/RPL18/RPS18/RPL30/RPS8/RPS15/RPLP0/RPL3/MRPL19/RPL4/MRPL28/RPL39/RPS21/RPL35/MRPS34/RPS3A/RPL21/RPL24/RPS29/RPL12/RPL37A/RACK1/RPS12/RPL22/RPS27/RPL6/RPL28/RPL37/RPL19/RPL38/RPL27A/RPS25/RPS23/RPS6/MRPL54/MRPL24/RPS13/RPL11/MRPL9/RPL14/MRPL41/RPL9/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/RPS17/MRPL27/RPS10/RPS4X/RPL15/RPL26/RPL17/MRPS18B/UBA52/RPL32/RPL22L1/RPL35A/MRPL10/MRPL16/GADD45GIP1/AURKAIP1/RPL36A-HNRNPH2/RPS7/RPS15A/RPL36A/MRPL57/RPL31/MRPS15/MRPL11/MRPL44/MRPS16/RPSA2/MRPS25/RPS24/MRPL20/MRPL4/MRPL12/MRPL30/MRPS5/MRPS12/MRPL43/MRPL38/MRPL34/MRPL49/MRPS11/MRPL2/MRPS24/MRPS21/RPL5/MRPS18C/RSL24D1/MRPS28/MRPL52/MRPL53
hsa05171,Coronavirus disease,180,0.6910779752948583,2.127394115380211,1e-10,1.715e-8,1.4578947368421052e-8,1034,"tags=35%, list=7%, signal=33%",CFD/RPL13A/RPL27/RPL18A/RPL36/RPS9/RPS28/RPL18/RPS18/RPL30/RPS8/RPS15/RPLP0/RPL3/RPL4/RPL39/RPS21/RPL35/RPS3A/RPL21/RPL24/RPS29/RPL12/IRAK1/RPL37A/RPS12/RPL22/RPS27/RPL6/RPL28/RPL37/RPL19/RPL38/RPL27A/RPS25/RPS23/PLCG2/RPS6/RPS13/RPL11/RPL14/IRF3/RPL9/TYK2/RPL36AL/RPL7/RPS20/RPL10A/RPS17/RPS10/RPS4X/RPL15/RPL26/RPL17/UBA52/RPL32/RPL22L1/RPL35A/RPL36A-HNRNPH2/NFKBIB/RPS7/RPS15A/RPL36A
hsa03040,Spliceosome,143,0.6992837343268452,2.090726540400573,7.650867281970092e-10,8.747491592385804e-8,7.436106095107774e-8,2240,"tags=47%, list=14%, signal=41%",SNRPD2/XAB2/FUS/PUF60/SRSF9/HNRNPK/SF3A2/HNRNPA3/LSM4/SNRNP200/SART1/SNRPB/SNRNP70/HNRNPM/PRPF38A/RBM8A/DDX23/SF3A1/SF3B2/U2AF2/MAGOH/ALYREF/SNRPC/HSPA1B/THOC3/PRPF19/HNRNPA1/SRSF3/ZMAT2/LSM3/PRPF6/THOC7/SRSF1/DDX39B/PCBP1/THOC6/BUD31/SRSF2/DHX38/THOC5/DHX16/RBMX/PQBP1/SNRPE/SNRPD3/PRPF31/LSM7/CHERP/SNW1/SNU13/NCBP2/HNRNPA1L3/SRSF5/PPIH/GPKOW/SNRPD1/SNRPB2/ISY1/PHF5A/SNRPA/SRSF6/DDX5/EIF4A3/SNRPG/ACIN1/PRPF8/SF3B6
hsa05012,Parkinson disease,249,0.5869955638204375,1.8502038857964114,1.2528632069274572e-8,1.0743301999402947e-6,9.132713376813306e-7,2119,"tags=47%, list=13%, signal=41%",ATF4/COX5B/PSMC3/CALM3/KEAP1/CALM1/UQCRQ/UBB/SLC25A5/UQCRC1/PSMD4/NDUFA2/NDUFV1/PSMC1/ATP5F1B/CYC1/UQCRH/PSMB4/NDUFB9/NDUFS3/PSMB3/COXFA4/PRKACA/NDUFS6/ATP5F1D/PSMC2/ATP5MC3/PSMB6/TUBB/NDUFS8/NDUFB7/ATP5F1A/GNAI2/UBC/SLC39A7/ADRM1/COX6C/COX4I1/TUBA4A/PARK7/COX7C/ATP5PB/NDUFB2/UBA1/PSMC5/NDUFA1/NDUFS5/NDUFB11/NDUFB3/PSMD3/PSMD13/TUBA1B/UBA52/NDUFA8/PSMD8/UQCRFS1/PSMB1/TRAP1/PSMA7/PPIF/HSPA5/TUBB6/BAX/SLC25A6/NDUFA6/CALM2/CYCS/SDHC/SDHA/TP53/PSMA4/ATP5PO/UQCRB/PSMA6/COX7A2L/NDUFB8/COX8A/NDUFB6/SDHD/NDUFA11/UQCR11/PSMA2/NDUFB5/PSMA3/ATP5PD/VDAC2/COX5A/ATP5MC1/NDUFC2/VDAC3/MFN2/NDUFB4/NDUFV2/ATP5PF/HTRA2/SLC39A1/ATP5MC2/UQCR10/NDUFB10/UBE2J2/PSMC4/NDUFA9/TXN2/NDUFS1/TUBB4B/PSMD9/TUBA1A/SEPTIN5/PSMA5/ATP5F1E/NDUFA7/SLC39A3/DDIT3/TXN/NDUFA13/PSMC6
hsa05022,Pathways of neurodegeneration - multiple diseases,440,0.49515315045076935,1.621808424932018,4.9788122327801567e-8,3.415465191687187e-6,2.9034336599581127e-6,2059,"tags=32%, list=13%, signal=28%",ATF4/COX5B/PSMC3/CALM3/CALM1/UQCRQ/VCP/UBB/SLC25A5/FUS/UQCRC1/PSMD4/NDUFA2/NDUFV1/MAP2K2/SQSTM1/PSMC1/ATP5F1B/CYC1/UQCRH/PSMB4/NDUFB9/NDUFS3/PSMB3/TARDBP/COXFA4/ACTR1B/NDUFS6/ATP5F1D/PSMC2/ATP2A3/ATP5MC3/PSMB6/TUBB/NDUFS8/NDUFB7/ATP5F1A/UBC/ADRM1/COX6C/COX4I1/TUBA4A/PARK7/COX7C/ATP5PB/NDUFB2/UBA1/DCTN3/PSMC5/TOMM40/NDUFA1/DCTN1/DCTN2/NDUFS5/NDUFB11/NDUFB3/GPX7/FZD2/PSMD3/PSMD13/TUBA1B/UBA52/NDUFA8/BECN1/FZD1/PSMD8/UQCRFS1/DVL2/PSMB1/TRAP1/PSMA7/PPIF/HSPA5/TUBB6/FRAT2/BAX/HSD17B10/SLC25A6/NDUFA6/GPX1/DVL1/CALM2/CYCS/CHRNA7/ATXN2L/SDHC/SDHA/PSMA4/ATP5PO/UQCRB/PSMA6/WNT7B/COX7A2L/NDUFB8/TOMM40L/COX8A/MAP2K7/NDUFB6/SDHD/NDUFA11/DERL1/CSNK2B/UQCR11/PSMA2/NDUFB5/PSMA3/FADD/ATP5PD/TNFRSF1B/VDAC2/COX5A/ATP5MC1/NDUFC2/VDAC3/MFN2/NDUFB4/NDUFV2/ATP5PF/PPP3R1/HTRA2/ATP5MC2/UQCR10/NDUFB10/UBE2J2/PSMC4/NDUFA9/RAB8A/FRAT1/NDUFS1/TUBB4B/PSMD9/BAK1/TUBA1A/ACTR1A/SEPTIN5/ACTR10/PSMA5/ATP5F1E/NDUFA7/DDIT3
hsa05016,Huntington disease,288,0.5401284154894204,1.724669574069272,9.958144959144932e-8,5.692739534977852e-6,4.8393090415493784e-6,2119,"tags=40%, list=13%, signal=35%",COX5B/PSMC3/UQCRQ/SLC25A5/UQCRC1/PSMD4/NDUFA2/POLR2E/NDUFV1/PSMC1/ATP5F1B/CYC1/UQCRH/PSMB4/NDUFB9/NDUFS3/PSMB3/COXFA4/ACTR1B/NDUFS6/AP2M1/ATP5F1D/PSMC2/ATP5MC3/PSMB6/TUBB/NDUFS8/NDUFB7/ATP5F1A/CLTB/ADRM1/AP2A1/COX6C/COX4I1/HDAC1/TUBA4A/AP2S1/COX7C/ATP5PB/NDUFB2/DCTN3/PSMC5/NDUFA1/DCTN1/DCTN2/NDUFS5/NDUFB11/NDUFB3/GPX7/PSMD3/PSMD13/TUBA1B/NDUFA8/BECN1/PSMD8/UQCRFS1/PSMB1/PSMA7/PPIF/TUBB6/BAX/SLC25A6/NDUFA6/GPX1/CYCS/POLR2L/SDHC/SDHA/TP53/PSMA4/CLTC/ATP5PO/UQCRB/PSMA6/COX7A2L/NDUFB8/COX8A/MAP2K7/NDUFB6/SDHD/NDUFA11/UQCR11/PSMA2/NDUFB5/PSMA3/ATP5PD/VDAC2/COX5A/ATP5MC1/POLR2H/NDUFC2/VDAC3/NDUFB4/NDUFV2/ATP5PF/ATP5MC2/UQCR10/NDUFB10/POLR2C/PSMC4/NDUFA9/POLR2J/NDUFS1/TUBB4B/PSMD9/POLR2K/TUBA1A/ACTR1A/ACTR10/PSMA5/ATP5F1E/NDUFA7/POLR2J3/NDUFA13/PSMC6
hsa05020,Prion disease,250,0.5550090616874446,1.7487029972579833,1.4811889852726674e-7,7.2578260278360705e-6,6.169764645421486e-6,1856,"tags=38%, list=12%, signal=34%",ATF4/COX5B/PSMC3/UQCRQ/SLC25A5/UQCRC1/PSMD4/NDUFA2/NDUFV1/PSMC1/ATF6B/ATP5F1B/CYC1/UQCRH/PSMB4/NDUFB9/NDUFS3/PSMB3/COXFA4/PRKACA/NDUFS6/ATP5F1D/PSMC2/ATP5MC3/PSMB6/TUBB/NDUFS8/NDUFB7/ATP5F1A/ADRM1/COX6C/COX4I1/TUBA4A/COX7C/ATP5PB/HSPA1B/NDUFB2/PSMC5/NDUFA1/NDUFS5/NDUFB11/NDUFB3/PSMD3/PSMD13/TUBA1B/NDUFA8/PSMD8/UQCRFS1/PSMB1/PSMA7/PPIF/HSPA5/TUBB6/BAX/SLC25A6/NDUFA6/CYCS/SDHC/STIP1/SDHA/PSMA4/ATP5PO/UQCRB/PSMA6/COX7A2L/NDUFB8/COX8A/NDUFB6/SDHD/NDUFA11/CSNK2B/UQCR11/RAC2/PSMA2/NDUFB5/PSMA3/ATP5PD/VDAC2/COX5A/ATP5MC1/PIK3R2/NDUFC2/VDAC3/NDUFB4/NDUFV2/ATP5PF/PPP3R1/ATP5MC2/UQCR10/NDUFB10/CCL5/PSMC4/NDUFA9/NDUFS1/TUBB4B/PSMD9
hsa05014,Amyotrophic lateral sclerosis,344,0.5155498819518831,1.6488220971876817,2.1875786404934156e-7,9.379243421115519e-6,7.973148466008896e-6,2059,"tags=35%, list=13%, signal=31%",ATF4/COX5B/PSMC3/UQCRQ/VCP/FUS/UQCRC1/PSMD4/NDUFA2/NDUFV1/SQSTM1/PSMC1/ATP5F1B/CYC1/UQCRH/PSMB4/NDUFB9/NDUFS3/PSMB3/HNRNPA3/TARDBP/COXFA4/ACTR1B/NDUFS6/ATP5F1D/PSMC2/ATP5MC3/PSMB6/HNRNPA2B1/TUBB/NDUFS8/NDUFB7/ATP5F1A/ADRM1/COX6C/COX4I1/ALYREF/TUBA4A/COX7C/ATP5PB/ACTG1/NDUFB2/DCTN3/PSMC5/TOMM40/HNRNPA1/PFN1/NDUFA1/DCTN1/DCTN2/NDUFS5/NDUFB11/NDUFB3/GPX7/PSMD3/PSMD13/TUBA1B/CHCHD10/NDUFA8/SRSF3/BECN1/PSMD8/UQCRFS1/PSMB1/PSMA7/HSPA5/TUBB6/BAX/GLE1/NDUFA6/GPX1/CYCS/ATXN2L/SDHC/MATR3/SDHA/TP53/PSMA4/ATP5PO/UQCRB/PSMA6/COX7A2L/NDUFB8/TOMM40L/COX8A/NDUFB6/SDHD/NDUFA11/DERL1/NUP62/UQCR11/PSMA2/NDUFB5/PSMA3/ATP5PD/TNFRSF1B/COX5A/ATP5MC1/NDUFC2/NDUFB4/NDUFV2/ATP5PF/PPP3R1/HNRNPA1L3/ATP5MC2/UQCR10/NDUFB10/PSMC4/NDUFA9/RAB8A/NDUFS1/TUBB4B/PSMD9/TUBA1A/ACTR1A/ACTR10/PSMA5/ATP5F1E/NDUFA7/DDIT3
hsa01200,Carbon metabolism,103,0.6886308594839242,1.9478478812317044,4.1297131482870244e-7,1.5738795665138326e-5,1.337930458567843e-5,1350,"tags=32%, list=9%, signal=29%",TKT/GAPDH/TALDO1/TPI1/PKM/ENO1/IDH2/IDH3B/SHMT2/PGLS/IDH3G/GPI/PGD/ADH5/G6PD/ACAT1/PDHA1/PHGDH/ACO2/PFKL/ALDOA/MDH2/PGK1/ECHS1/ACAT2/PGP/SDHC/SDHA/IDH3A/PDHB/ACADS/MDH1/SDHD
hsa05010,Alzheimer disease,355,0.5009775239710237,1.607530476039982,5.681538156748851e-7,1.9487675877648558e-5,1.656616915178349e-5,1856,"tags=31%, list=12%, signal=28%",ATF4/COX5B/PSMC3/CALM3/GAPDH/CALM1/UQCRQ/SLC25A5/AKT1/UQCRC1/PSMD4/NDUFA2/NDUFV1/MAP2K2/APH1A/PSMC1/ATP5F1B/CYC1/UQCRH/PSMB4/NDUFB9/NDUFS3/PSMB3/COXFA4/NDUFS6/ATP5F1D/PSMC2/ATP2A3/ATP5MC3/PSMB6/TUBB/NDUFS8/NDUFB7/ATP5F1A/SLC39A7/ADRM1/COX6C/COX4I1/TUBA4A/COX7C/ATP5PB/NDUFB2/PSMC5/NDUFA1/NDUFS5/NDUFB11/NDUFB3/FZD2/PSMD3/PSMD13/TUBA1B/NDUFA8/BECN1/FZD1/PSMD8/UQCRFS1/DVL2/PSMB1/PSMA7/PPIF/TUBB6/FRAT2/HSD17B10/SLC25A6/NDUFA6/DVL1/CALM2/CYCS/CHRNA7/SDHC/SDHA/PSMA4/ATP5PO/UQCRB/PSMA6/WNT7B/COX7A2L/AKT2/NDUFB8/COX8A/MAP2K7/NDUFB6/SDHD/NDUFA11/CSNK2B/UQCR11/PSMA2/NDUFB5/PSMA3/FADD/ATP5PD/VDAC2/COX5A/ATP5MC1/PIK3R2/NDUFC2/VDAC3/NDUFB4/NDUFV2/ATP5PF/PPP3R1/SLC39A1/ATP5MC2/UQCR10/NDUFB10/PSMC4/NDUFA9/FRAT1/NDUFS1/TUBB4B/PSMD9
