gene_id,gene_name,16h_1,16h_2,16h_3,Control_1,Control_2,Control_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000004864,SLC25A13,915,845,823,8388,10870,7689,4125.06913905351,-3.222559935682166,0.07962256641565552,0,0,Down
ENSG00000005108,THSD7A,999,1004,882,15574,16898,13667,7119.045846851956,-3.8463848137677132,0.09045441219946224,0,0,Down
ENSG00000008083,JARID2,4319,4056,4028,32002,42399,33699,17512.88898824612,-2.9669477071009096,0.06241520259522055,0,0,Down
ENSG00000030582,GRN,9159,9181,9195,368,577,380,4241.3032312632,4.530371764959572,0.09940502295870816,0,0,Up
ENSG00000033800,PIAS1,1592,1370,1403,9486,11566,9859,5185.237758634707,-2.6731090611135695,0.0658959455614866,0,0,Down
ENSG00000038382,TRIO,637,607,563,7119,8144,6517,3384.93003348034,-3.438568313851159,0.07716634763554758,0,0,Down
ENSG00000048052,HDAC9,809,682,684,29768,33431,28052,13423.955322483824,-5.2396419485060575,0.07054531102598342,0,0,Down
ENSG00000048740,CELF2,4816,4603,4347,21143,27001,20876,12182.614109806918,-2.17205168151214,0.04275369079682413,0,0,Down
ENSG00000049618,ARID1B,2472,2505,2390,23096,28724,23551,11902.931801790292,-3.201326432656658,0.05045561437010504,0,0,Down
ENSG00000050767,COL23A1,399,383,343,8637,12526,8626,4598.80661074207,-4.556878402778847,0.10202202088738173,0,0,Down
ENSG00000051523,CYBA,12830,12558,12179,359,422,422,5720.161689451379,5.100162744209815,0.09798700583538557,0,0,Up
ENSG00000052126,PLEKHA5,629,572,539,7995,9332,9297,4234.027626660975,-3.786435278026816,0.09238139642294285,0,0,Down
ENSG00000054611,TBC1D22A,883,883,899,11228,15027,12573,6321.792716916857,-3.7064022425298586,0.07309672845403634,0,0,Down
ENSG00000055070,SZRD1,4816,4685,4891,413,534,433,2370.2359063427425,3.5304642303431595,0.08490242123575392,0,0,Up
ENSG00000055609,KMT2C,1454,1506,1297,16332,21221,17902,8690.733363593363,-3.5494633986817887,0.06364243324978766,0,0,Down
ENSG00000058262,SEC61A1,8415,8117,7803,1094,1398,1223,4403.571205491948,2.858231215850868,0.07060409370963035,0,0,Up
ENSG00000065833,ME1,178,157,145,3350,4000,3710,1677.7644169564235,-4.3711752729794044,0.10375236515442769,0,0,Down
ENSG00000066651,TRMT11,491,440,433,14711,18931,17220,7623.120555984827,-5.065514398103083,0.08108543614001752,0,0,Down
ENSG00000067208,EVI5,302,298,232,5120,6244,4705,2382.1286356312007,-4.112711251894257,0.09862403127692122,0,0,Down
ENSG00000068784,SRBD1,430,413,389,5788,7065,6437,3088.3185837692704,-3.8144351164336774,0.09433473819705769,0,0,Down
ENSG00000074054,CLASP1,1166,1039,1018,9004,10928,9911,4943.494609774635,-3.0609659161617357,0.07351790003022074,0,0,Down
ENSG00000075151,EIF4G3,3047,2866,2768,17758,21339,19325,9888.493081926546,-2.6024315321354914,0.049090575592322674,0,0,Down
ENSG00000075420,FNDC3B,822,786,768,14722,18075,14512,7271.571869247243,-4.161402873697096,0.05742592434994112,0,0,Down
ENSG00000075539,FRYL,1245,1128,1093,9162,10168,9370,4840.890679195241,-2.903204658486092,0.06993875101981346,0,0,Down
ENSG00000075711,DLG1,1212,1125,1090,8930,10365,9235,4668.016079786998,-2.9089726842468613,0.061134663864281694,0,0,Down
ENSG00000075884,ARHGAP15,1046,988,978,11762,13895,11881,5656.793014727166,-3.486654665993708,0.07692164460643476,0,0,Down
ENSG00000077157,PPP1R12B,718,674,636,8103,11072,10032,4713.44479141587,-3.6917052972271196,0.09009069773370502,0,0,Down
ENSG00000078403,MLLT10,1422,1363,1325,13197,17610,12791,7131.342580947194,-3.2473961734725365,0.06367672062519758,0,0,Down
ENSG00000080802,CNOT4,452,427,432,6140,7617,6443,3055.7828723322355,-3.789478269470871,0.08361389970697405,0,0,Down
ENSG00000082269,FAM135A,496,461,413,5129,6495,5646,2627.6178159513106,-3.502434396453538,0.08362379250093202,0,0,Down
ENSG00000082805,ERC1,921,872,866,9017,11199,10145,4992.699592515608,-3.361397392859862,0.06982839968654182,0,0,Down
ENSG00000083535,PIBF1,642,602,578,9359,11600,9294,4588.433858036038,-3.89948848514297,0.05958225497149408,0,0,Down
ENSG00000083544,TDRD3,530,536,492,5074,5550,5355,2496.140252020135,-3.211057679274274,0.08096759105697171,0,0,Down
ENSG00000083845,RPS5,38777,35547,37438,3419,3928,3033,18739.78489076229,3.5738735713058207,0.08578610468369356,0,0,Up
ENSG00000089123,TASP1,261,255,248,7032,8886,8175,3664.6474721874292,-4.82089836789835,0.09747567306962335,0,0,Down
ENSG00000092978,GPATCH2,455,442,378,6800,8598,8249,3736.7371378204516,-4.059986154866482,0.09565422088883072,0,0,Down
ENSG00000096968,JAK2,393,430,395,4546,5706,5113,2442.37603721577,-3.501115690103079,0.08954511984394292,0,0,Down
ENSG00000100154,TTC28,855,823,689,18330,22538,17721,8462.69116470274,-4.475161967930483,0.07035647209180414,0,0,Down
ENSG00000100629,CEP128,364,318,369,6748,7744,6217,3191.575075059801,-4.142213725222249,0.0939668934374315,0,0,Down
ENSG00000101040,ZMYND8,870,881,846,6174,7830,6711,3454.9459051001313,-2.8416845570002938,0.06937987527925045,0,0,Down
ENSG00000101868,POLA1,1143,1066,1006,6942,8004,6511,3632.353137993565,-2.5880892700433433,0.06527508865086705,0,0,Down
ENSG00000101901,ALG13,803,734,684,5431,7477,5810,3005.327749098878,-2.9176243949743292,0.07185752941408058,0,0,Down
ENSG00000102531,FNDC3A,1395,1366,1243,12521,15764,12798,6446.286942921741,-3.206324026720398,0.049906562648604366,0,0,Down
ENSG00000102580,DNAJC3,1911,1803,1766,8586,9921,8712,4809.799752143185,-2.1640384583448427,0.055137878914675816,0,0,Down
ENSG00000102595,UGGT2,334,311,306,11133,14528,11517,5398.221999375271,-5.125454234831302,0.09695464552773943,0,0,Down
ENSG00000102763,VWA8,1343,1261,1243,14857,17832,16607,7680.240834128996,-3.5293171101889564,0.07321913722084036,0,0,Down
ENSG00000104043,ATP8B4,3787,3479,3239,46286,54837,53903,24498.914467577702,-3.73479358429318,0.08622566434299286,0,0,Down
ENSG00000104375,STK3,339,267,308,8850,10325,9440,4245.79258138529,-4.8151271398792765,0.08701536040836767,0,0,Down
ENSG00000104490,NCALD,678,607,594,14897,19601,16752,7642.973649678706,-4.613489452604927,0.07479233282473081,0,0,Down
ENSG00000104517,UBR5,4170,3916,3783,13120,14935,12720,7881.024770918386,-1.632969598181836,0.041180258996618285,0,0,Down
ENSG00000105193,RPS16,65842,64810,63531,6525,6960,5675,31523.978591669216,3.48441036260243,0.0731995647441873,0,0,Up
ENSG00000105372,RPS19,55330,55498,55556,3381,3920,3152,26247.32859453244,4.135773350329166,0.09430021255589331,0,0,Up
ENSG00000105373,NOP53,21675,21786,21182,1368,1665,1417,10178.697728979845,4.006180205985403,0.07543879508294576,0,0,Up
ENSG00000105669,COPE,6417,6362,6145,198,226,229,3077.2248729126877,4.9928146756486385,0.09985268661109839,0,0,Up
ENSG00000106443,PHF14,1521,1512,1423,8810,11282,9586,5018.856451785075,-2.5827901384434933,0.056420835511234974,0,0,Down
ENSG00000106554,CHCHD3,1916,1771,1729,9936,12754,10647,5553.043230213201,-2.4686374590425975,0.06359207450066633,0,0,Down
ENSG00000106682,EIF4H,13072,13070,13014,2414,2759,2508,7175.1154952455645,2.4957607031838163,0.05532406451013765,0,0,Up
ENSG00000107643,MAPK8,922,853,783,7918,9074,8218,4087.05982545791,-3.152302373748812,0.07955429381694626,0,0,Down
ENSG00000110328,GALNT18,286,288,277,5752,7484,5715,2792.7452373772253,-4.312143584696955,0.10316795603949619,0,0,Down
ENSG00000111642,CHD4,6984,6797,6415,36,22,15,3491.435102563444,8.204265816235399,0.17978111072202202,0,0,Up
ENSG00000111880,RNGTT,1614,1538,1344,12394,15914,14114,7088.296634587946,-3.086427049910837,0.0769117375644744,0,0,Down
ENSG00000112320,SOBP,830,831,804,7166,9156,7599,3881.3859190321723,-3.122928381747449,0.07183083698370243,0,0,Down
ENSG00000112419,PHACTR2,540,582,541,9713,12142,9605,4629.292824437791,-4.085206895130802,0.06366910311757211,0,0,Down
ENSG00000112699,GMDS,783,786,732,15676,19274,15093,7365.656407852046,-4.288028722307426,0.056392145241146996,0,0,Down
ENSG00000113273,ARSB,853,802,790,8344,10597,8743,4472.917601934611,-3.345996150736636,0.07150965923570123,0,0,Down
ENSG00000113391,FAM172A,565,532,523,12755,15049,14368,6311.2004996805745,-4.551826052712598,0.07516498807934203,0,0,Down
ENSG00000113448,PDE4D,123,101,103,3757,4905,3921,1849.0724022178351,-5.098934065050182,0.11804700926630117,0,0,Down
ENSG00000115464,USP34,2109,1974,1894,11786,13540,11972,6393.462657889058,-2.4943805804548975,0.047152260552097126,0,0,Down
ENSG00000115760,BIRC6,2223,2057,1962,14011,15691,14635,7590.4790074996645,-2.6831917994835464,0.05629832587840051,0,0,Down
ENSG00000115904,SOS1,764,754,664,5980,6982,6089,3040.4492388095227,-2.976706572498738,0.06777009838120367,0,0,Down
ENSG00000115970,THADA,1352,1371,1289,10548,13057,11280,5653.86895209373,-2.9685821696617647,0.05373300855165814,0,0,Down
ENSG00000116539,ASH1L,1486,1439,1236,14362,20003,16350,8016.179873044494,-3.450441196021989,0.0766610307570486,0,0,Down
ENSG00000117020,AKT3,1506,1455,1271,17048,20856,15688,8166.504847332628,-3.506794746019832,0.07779940771565061,0,0,Down
ENSG00000117523,PRRC2C,6828,6327,6157,24776,29055,24451,14672.315974538311,-1.8706142045149305,0.038684920081374544,0,0,Down
ENSG00000117569,PTBP2,371,335,268,7501,9067,7564,3559.09347133643,-4.475921716026642,0.09627989137902893,0,0,Down
ENSG00000118420,UBE3D,210,183,214,7013,8275,5907,3042.7632601501514,-4.954698202857456,0.12592488797864484,0,0,Down
