gene_id,gene_name,16h_1,16h_2,16h_3,8h_1,8h_2,8h_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000072274,TFRC,8933,8061,7812,3752,3218,3212,5969.439099405358,1.456292218651609,0.03714861632489031,0,0,Up
ENSG00000125730,C3,1170,1038,1036,4754,4544,4009,2652.2622670024193,-1.8549075239231403,0.04726350931171034,0,0,Down
ENSG00000148773,MKI67,5756,5533,5362,14989,14316,12820,9527.177080312975,-1.1602354016314451,0.028612620560079793,0,0,Down
ENSG00000182676,PPP1R27,31392,31032,29954,17262,15373,14171,23632.558725111387,1.1570895349366068,0.02452504841744858,0,0,Up
ENSG00000131747,TOP2A,8058,7320,7288,19401,17164,15519,12129.152602289436,-1.0184154620708246,0.030117845549192637,1.3177723801948908e-253,3.482345291903018e-250,Down
ENSG00000004455,AK2,20172,19624,19274,13481,12209,11200,16201.00401232008,0.8539506419999894,0.02541251708138583,1.0005444919736873e-249,2.2033657287413882e-246,Up
ENSG00000130821,SLC6A8,458,523,446,2385,2145,2021,1275.9939512574324,-2.0117021360040503,0.06674255578349243,1.6227083529868432e-202,3.0629779240021655e-199,Down
ENSG00000165732,DDX21,18804,17397,16748,13246,11987,10928,14994.360248351712,0.7237905280088741,0.024992022926863516,6.5977443670786465e-186,1.0896999540276269e-182,Up
ENSG00000166197,NOLC1,11153,10523,10202,7496,6903,6159,8840.011267654387,0.8062838623874856,0.02789971744753384,1.526547415755602e-185,2.241141222708752e-182,Up
ENSG00000136997,MYC,12008,11741,11270,8178,7457,6567,9651.459434298347,0.8318509360138646,0.028867554194467567,1.2141590217336933e-184,1.604268315416729e-181,Up
ENSG00000164104,HMGB2,10047,9681,9310,19637,17627,16225,13482.712042178044,-0.7010604123629277,0.02433238670380907,6.097490518245107e-184,7.324194747052055e-181,Down
ENSG00000167996,FTH1,14013,14197,13920,30806,28586,25382,20688.793989545316,-0.8257799639586457,0.029483856157244782,1.2712332669698628e-174,1.3997337630393997e-171,Down
ENSG00000167601,AXL,688,731,681,2632,2562,2216,1529.2846479224488,-1.6327461245701405,0.0597118062733997,1.0591757582569791e-166,1.076529945680728e-163,Down
ENSG00000099194,SCD,22749,20922,21369,15677,14467,12880,18210.263258482344,0.7701229240881091,0.028794072706896268,2.683670133352077e-159,2.532809533712928e-156,Up
ENSG00000132382,MYBBP1A,5863,6021,5425,3490,3371,2983,4595.935792147015,0.9841848343341622,0.037935228677668104,3.0456423371916624e-151,2.6828048134208955e-148,Up
ENSG00000117724,CENPF,3866,3728,3454,8260,7314,7045,5485.807496429219,-0.8528989269883596,0.032995668330880246,1.7085650116239761e-149,1.4109543436617247e-146,Down
ENSG00000100504,PYGL,12648,12514,12043,9360,8636,8026,10642.537925430792,0.6888376147227164,0.026978201571667318,3.749359886207533e-145,2.91413483390942e-142,Up
ENSG00000169710,FASN,12165,11878,10743,8401,8057,7203,9838.845402337116,0.7268791068095475,0.02925084267778623,8.062847786125687e-138,5.918578211004372e-135,Up
ENSG00000166482,MFAP4,662,708,663,2435,2347,1976,1414.556083188793,-1.5442079421771557,0.06272862212885905,8.012623604902842e-136,5.572147141662172e-133,Down
ENSG00000177192,PUS1,6609,6835,6277,4519,4114,3733,5415.63321696752,0.8451090040701089,0.03509001684167181,2.7744355262403437e-130,1.832930830410683e-127,Up
ENSG00000132507,EIF5A,17913,18011,17330,13952,12330,11273,15273.691222602996,0.679035301100947,0.028360602230676827,5.258518682341335e-128,3.30860987379886e-125,Up
ENSG00000100219,XBP1,8911,8540,8197,6516,6075,5470,7351.864208417519,0.6786299802827118,0.0284881714211825,9.63838821517372e-127,5.7887283403222894e-124,Up
ENSG00000115053,NCL,47743,49236,46357,37714,35084,31373,41607.00884556546,0.635099628306162,0.026675954816026543,1.8321755428811384e-126,1.052545019482108e-123,Up
