gene_id	gene_name	Control_1	Control_2	Control_3	4h_1	4h_2	4h_3	8h_1	8h_2	8h_3	16h_1	16h_2	16h_3
ENSG00000000003	TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	864	844	574	826	397	561	1453	1268	1166	1341	1292	1225
ENSG00000000457	SCYL3	1440	1801	1619	1177	925	1089	585	519	506	450	412	397
ENSG00000000460	FIRRM	2393	2732	2220	1940	1216	1442	944	917	833	648	635	569
ENSG00000000938	FGR	145	203	156	233	86	84	128	109	112	72	81	85
ENSG00000000971	CFH	0	0	0	0	0	0	21	15	14	15	15	15
ENSG00000001036	FUCA2	88	180	138	50	71	63	2018	1799	1760	1995	1893	1898
ENSG00000001084	GCLC	1310	961	1129	953	520	636	726	564	558	547	554	542
ENSG00000001167	NFYA	0	0	0	0	0	0	2201	2011	1963	1797	1679	1542
ENSG00000001460	STPG1	122	117	275	177	115	114	186	201	161	108	101	105
ENSG00000001461	NIPAL3	1017	1370	1327	1334	623	583	1571	1439	1323	906	915	954
ENSG00000001497	LAS1L	1489	1848	1178	937	736	1167	2559	2327	2041	3014	3031	2921
ENSG00000001561	ENPP4	1	1	0	0	1	9	0	0	0	0	0	0
ENSG00000001617	SEMA3F	1	20	0	0	8	11	7	0	7	0	3	3
ENSG00000001626	CFTR	2	4	20	17	11	8	2	1	1	1	0	1
ENSG00000001629	ANKIB1	5149	6737	5678	4215	3380	3891	871	801	785	706	711	652
ENSG00000001630	CYP51A1	42	20	56	58	23	30	1593	1443	1234	1777	1761	1694
ENSG00000001631	KRIT1	0	0	0	0	0	0	1085	972	873	803	745	694
ENSG00000002016	RAD52	1548	1935	1609	1416	1087	1313	315	323	269	298	261	233
ENSG00000002330	BAD	0	0	0	0	0	0	312	293	226	256	206	227
ENSG00000002549	LAP3	500	351	241	272	266	308	2003	1837	1743	2407	2310	2205
ENSG00000002586	CD99	0	0	1	0	0	0	1276	1699	1337	1318	947	1280
ENSG00000002587	HS3ST1	0	53	12	3	0	0	6	1	4	0	1	2
ENSG00000002726	AOC1	0	0	0	0	25	0	0	1	3	0	1	0
ENSG00000002745	WNT16	21	24	14	19	0	21	0	0	0	0	0	0
ENSG00000002746	HECW1	272	357	463	462	205	153	6	0	0	1	0	0
ENSG00000002822	MAD1L1	0	0	0	0	0	0	2030	1932	1766	1891	1819	1758
ENSG00000002834	LASP1	879	1125	944	920	700	455	10805	10175	9046	7642	7549	7445
ENSG00000002919	SNX11	358	460	224	196	193	172	840	762	680	850	786	761
ENSG00000002933	TMEM176A	0	0	0	0	0	0	69	64	57	23	32	24
ENSG00000003056	M6PR	1402	1593	1035	1306	828	1081	5674	5102	4759	5504	5428	5395
ENSG00000003096	KLHL13	783	1029	955	854	598	738	263	231	196	188	193	185
ENSG00000003137	CYP26B1	45	6	38	20	24	30	107	97	100	70	75	75
ENSG00000003147	ICA1	886	1171	1203	1059	709	625	156	154	130	117	131	132
ENSG00000003249	DBNDD1	52	12	12	29	38	19	145	106	100	110	113	98
ENSG00000003393	ALS2	954	979	1040	904	571	665	522	452	388	362	337	307
ENSG00000003400	CASP10	671	951	1197	747	591	501	498	430	399	308	280	286
ENSG00000003402	CFLAR	2529	3262	3512	3119	1797	1588	2080	1935	1728	1907	1709	1583
ENSG00000003436	TFPI	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003509	NDUFAF7	563	658	520	625	245	347	585	507	491	570	481	480
ENSG00000003756	RBM5	2388	2848	2569	2044	1433	1782	4081	3699	3613	3431	3397	2960
ENSG00000003987	MTMR7	635	798	438	428	291	250	7	2	0	1	1	2
ENSG00000003989	SLC7A2	2176	2572	1357	728	527	1269	1029	971	858	1209	1161	1050
ENSG00000004059	ARF5	0	0	0	0	0	0	1673	1505	1394	1140	1107	1086
ENSG00000004139	SARM1	45	54	22	101	14	37	21	31	30	83	76	62
ENSG00000004142	POLDIP2	553	847	548	518	444	396	3337	3028	2767	3135	2973	3135
ENSG00000004399	PLXND1	1842	2812	1455	1164	845	1287	5182	4973	4549	4493	4466	4223
ENSG00000004455	AK2	355	470	207	146	140	244	13481	12209	11200	20172	19624	19274
ENSG00000004468	CD38	1006	1623	1370	1000	799	892	706	648	618	988	894	818
ENSG00000004478	FKBP4	0	0	0	0	0	0	3073	2693	2669	4225	4091	3908
ENSG00000004487	KDM1A	12	12	10	0	0	0	3151	2935	2508	2992	2690	2601
