ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042254,ribosome biogenesis,193/3664,307/10768,0.6286644951140065,1.8475598480861413,10.819982884528816,1.2701561559356078e-25,6.534953422288702e-22,6.293289501040954e-22,NOLC1/DDX21/MYBBP1A/NOL6/BOP1/PDCD11/NOP56/EXOSC5/PES1/C1QBP/DKC1/PA2G4/WDR3/NOC2L/PPAN/MRTO4/RRP9/NOP16/TSR1/NOP2/EBNA1BP2/RRP7A/GLUL/RRS1/NHP2/GTPBP4/NOP58/USP36/LTV1/DHX37/NOP14/UTP4/NAT10/SURF6/WDR43/WDR46/RPL7L1/SNU13/GTF3A/NPM1/LYAR/BYSL/NIP7/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/IMP4/PNO1/DDX54/GRWD1/LAS1L/RRP1/RPS17/MDN1/WDR12/EIF5B/REXO4/HEATR1/DDX51/GAR1/KRI1/DDX10/DDX56/RRP15/EIF1AX/URB1/BMS1/TFB2M/DDX55/RPL26/EXOSC2/ESF1/RPS27A/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/RPS12/CUL4B/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/NLE1/RIOK1/UTP20/TBL3/DCAF13/URB2/GEMIN4/RPL14/ISG20L2/DDX31/BUD23/ZNF593/WDR18/RCL1/NSA2/DDX27/DNTTIP2/DHX30/UTP18/DDX49/NOB1/NOP9/NOP53/RPL35A/PELP1/RIOX2/SPOUT1/ERCC2/NSUN5/RPP25/SDAD1/SLX9/FBL/NOL8/NOL10/UTP25/CUL4A/RNASEL/AATF/UTP3/WDR75/NOL7/GNL2/WDR36/NOM1/PWP2/LSG1/UTP23/NOP10/UTP15/NOL11/PWP1/DIS3/METTL16/GNL3L/RPUSD1/HEATR3/MRPS2/ZNHIT6/NAF1/TMA16/RPUSD2/LSM6/NUP88/REXO1/RPUSD4/RBM34/DIMT1/RPS14/NGDN/ABT1/KAT2B/MRM1/MCAT/DDX28/DDX47/RRN3/EXOSC3/AK6/WDR55/UTP11/SIRT7/RBFA/SDE2/FASTKD2/REXO5/RPP38/NSUN4/RRP8/EXOSC6/TSR3/EMG1/MRM3/LTO1/MALSU1/MTERF3/FSAF1/TRMT2B/AIRIM/POP7/SRFBP1/MPHOSPH6/ISG20/FDXACB1,193
GO:0006364,rRNA processing,147/3664,217/10768,0.6774193548387096,1.990843780814199,10.589168421653339,1.5328079679193799e-24,3.943148497472605e-21,3.7973300552613266e-21,NOLC1/DDX21/NOL6/BOP1/PDCD11/NOP56/EXOSC5/PES1/DKC1/PA2G4/WDR3/PPAN/MRTO4/RRP9/TSR1/NOP2/EBNA1BP2/RRP7A/RRS1/NHP2/GTPBP4/NOP58/USP36/DHX37/NOP14/UTP4/NAT10/WDR43/WDR46/RPL7L1/SNU13/LYAR/BYSL/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/IMP4/DDX54/LAS1L/RRP1/RPS17/WDR12/REXO4/HEATR1/DDX51/GAR1/KRI1/DDX10/DDX56/RRP15/URB1/BMS1/TFB2M/DDX55/RPL26/EXOSC2/ESF1/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/RIOK1/UTP20/TBL3/DCAF13/GEMIN4/RPL14/BUD23/WDR18/RCL1/NSA2/DDX27/UTP18/DDX49/NOB1/NOP9/NOP53/RPL35A/PELP1/SPOUT1/ERCC2/NSUN5/RPP25/SLX9/FBL/NOL8/NOL10/UTP25/RNASEL/UTP3/WDR75/NOL7/WDR36/PWP2/UTP23/NOP10/UTP15/NOL11/PWP1/DIS3/METTL16/RPUSD1/ZNHIT6/NAF1/RPUSD2/LSM6/REXO1/RPUSD4/RBM34/DIMT1/RPS14/NGDN/ABT1/KAT2B/MRM1/DDX47/EXOSC3/AK6/WDR55/UTP11/SIRT7/RBFA/SDE2/REXO5/RPP38/NSUN4/RRP8/EXOSC6/TSR3/EMG1/MRM3/TRMT2B/POP7/SRFBP1/MPHOSPH6/ISG20/FDXACB1,147
GO:0016072,rRNA metabolic process,165/3664,258/10768,0.6395348837209303,1.879506448664568,10.26883405574414,3.2155536052672356e-23,5.514674433033309e-20,5.310740638593992e-20,NOLC1/MYC/DDX21/NOL6/BOP1/NCL/PDCD11/NOP56/EXOSC5/PES1/DKC1/PA2G4/WDR3/PPAN/MRTO4/RRP9/TSR1/NOP2/EBNA1BP2/RRP7A/RRS1/NHP2/GTPBP4/NOP58/POLR1A/USP36/DHX37/NOP14/POLR1G/UTP4/NAT10/WDR43/WDR46/RPL7L1/SNU13/GTF3A/LYAR/BYSL/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/IMP4/NIFK/DDX54/POLR1B/LAS1L/RRP1/RPS17/WDR12/REXO4/HEATR1/DDX51/GAR1/KRI1/TCOF1/DDX10/DDX56/RRP15/URB1/BMS1/TFB2M/DDX55/RPL26/EXOSC2/ESF1/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/RIOK1/UTP20/TBL3/DCAF13/GEMIN4/RPL14/BUD23/WDR18/RCL1/NSA2/DDX27/UTP18/DDX49/NOB1/NOP9/NOP53/TP53/RPL35A/PELP1/SPOUT1/ERCC2/NSUN5/RPP25/SLX9/FBL/POLR1E/NOL8/NOL10/UTP25/RNASEL/UTP3/WDR75/NOL7/WDR36/PWP2/UTP23/NOP10/UTP15/SPIN1/NOL11/PWP1/DIS3/METTL16/RPUSD1/POLR2E/ZNHIT6/NAF1/RPUSD2/LSM6/REXO1/XRN1/DIS3L/RPUSD4/RBM34/DIMT1/RPS14/NGDN/ABT1/KAT2B/MRM1/DDX47/EXOSC3/AK6/WDR55/UTP11/SIRT7/RBFA/SDE2/REXO5/RPP38/NSUN4/RRP8/SLFN5/EXOSC6/TSR3/EMG1/MRM3/TRMT2B/POP7/SRFBP1/TAF1B/MPHOSPH6/PELO/ISG20/ANG/FDXACB1,165
GO:0022613,ribonucleoprotein complex biogenesis,237/3664,448/10768,0.5290178571428571,1.5547118683718029,8.612718025510699,4.2397774556301365e-17,5.453413752304263e-14,5.2517453904344876e-14,NOLC1/DDX21/MYBBP1A/NOL6/BOP1/PDCD11/NOP56/EXOSC5/PES1/C1QBP/DKC1/PA2G4/WDR3/NOC2L/PPAN/MRTO4/RRP9/NOP16/TSR1/NOP2/EBNA1BP2/RRP7A/GLUL/HSP90AB1/RRS1/NHP2/GTPBP4/EIF3B/NOP58/USP36/LTV1/DHX37/NOP14/EIF3J/UTP4/NAT10/SURF6/WDR43/EIF3A/WDR46/RPL7L1/SNU13/GTF3A/NPM1/LYAR/BYSL/NIP7/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/EIF3I/U2AF2/IMP4/PNO1/DDX54/DHX9/GRWD1/LAS1L/RRP1/RUVBL2/RPS17/MDN1/WDR12/EIF5B/REXO4/HEATR1/DDX51/GAR1/PRMT5/RUVBL1/SF3B6/KRI1/GEMIN5/DDX10/DDX56/RRP15/EIF1AX/URB1/BMS1/PRPF19/TFB2M/DDX55/RPL26/EXOSC2/ESF1/EIF3D/RPS27A/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/RPS12/CUL4B/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/NLE1/RIOK1/UTP20/TBL3/DCAF13/SRPK1/URB2/EIF3M/GEMIN4/RPL14/EIF3G/SNRPA1/ISG20L2/DDX31/BUD23/ZNF593/WDR18/RCL1/NSA2/EIF3C/EIF3CL/DDX27/DNTTIP2/DHX30/SNRPE/UTP18/DDX49/NOB1/NOP9/NOP53/RPL35A/SF3A3/DDX1/PSIP1/SF1/PELP1/RIOX2/SPOUT1/PUF60/ERCC2/NSUN5/RPP25/SDAD1/SLX9/FBL/NOL8/SNRPC/PRPF31/NOL10/UTP25/CUL4A/RNASEL/AATF/UTP3/WDR75/SNRPF/NOL7/GNL2/WDR36/NOM1/PWP2/PRPF3/LSG1/NOPCHAP1/UTP23/NOP10/UTP15/NOL11/SNRPD2/PWP1/DIS3/TGS1/METTL16/GNL3L/RPUSD1/HEATR3/MRPS2/ZNHIT6/NAF1/TMA16/RPUSD2/LSM6/NUP88/SMN1/SMN2/REXO1/RPUSD4/RBM34/SF3B5/DIMT1/RPS14/NGDN/ABT1/KAT2B/MRM1/MCAT/DDX28/DDX47/RRN3/LUC7L/EXOSC3/AK6/NUFIP1/PHF5A/WDR55/UTP11/SIRT7/RBFA/TSSC4/SDE2/FASTKD2/TXNL4A/REXO5/SHQ1/RPP38/CLP1/NSUN4/RRP8/EXOSC6/TSR3/EMG1/MRM3/LTO1/MALSU1/MTERF3/FSAF1/TRMT2B/AIRIM/POP7/SRFBP1/GEMIN7/MPHOSPH6/ISG20/FDXACB1,237
GO:0042274,ribosomal small subunit biogenesis,67/3664,106/10768,0.6320754716981132,1.857584246518909,6.372120805899333,6.8920133214722975e-10,7.091881707794994e-7,6.829622464035811e-7,NOL6/NOP56/WDR3/RRP9/TSR1/RRP7A/RRS1/NOP58/LTV1/DHX37/NOP14/UTP4/NAT10/SURF6/WDR43/WDR46/SNU13/NPM1/BYSL/IMP4/PNO1/RPS17/HEATR1/KRI1/BMS1/RPS27A/UTP6/RPS12/RPS15/IMP3/MPHOSPH10/RIOK1/UTP20/TBL3/DCAF13/RCL1/DNTTIP2/UTP18/NOB1/NOP9/ERCC2/SLX9/FBL/NOL10/UTP25/AATF/UTP3/WDR75/NOL7/WDR36/NOM1/PWP2/UTP23/UTP15/NOL11/LSM6/DIMT1/RPS14/NGDN/ABT1/MCAT/AK6/UTP11/TSR3/EMG1/FSAF1/SRFBP1,67
GO:0030490,maturation of SSU-rRNA,40/3664,54/10768,0.7407407407407407,2.1769367620896003,6.226554588836516,1.978122173122045e-9,1.6962397634521535e-6,1.6335124682255202e-6,WDR3/TSR1/RRS1/DHX37/NOP14/UTP4/NAT10/WDR43/WDR46/SNU13/BYSL/IMP4/HEATR1/KRI1/BMS1/UTP6/IMP3/MPHOSPH10/RIOK1/UTP20/TBL3/DCAF13/RCL1/NOB1/NOP9/ERCC2/SLX9/NOL10/UTP25/UTP3/NOL7/PWP2/UTP23/NOL11/LSM6/RPS14/NGDN/ABT1/TSR3/SRFBP1,40
GO:0042273,ribosomal large subunit biogenesis,45/3664,67/10768,0.6716417910447762,1.9738643029394514,5.742450747709082,2.9353479070046394e-8,2.15748071164841e-5,2.0776966313189228e-5,BOP1/PES1/NOC2L/PPAN/MRTO4/NOP16/NOP2/EBNA1BP2/RRS1/GTPBP4/SURF6/RPL7L1/GTF3A/NPM1/NIP7/WDR74/BRIX1/FTSJ3/LAS1L/MDN1/WDR12/RRP15/URB1/DDX55/RPL26/RPF2/PAK1IP1/DDX18/MAK16/NLE1/RPL14/NSA2/DHX30/NOP53/RPL35A/SDAD1/HEATR3/ZNHIT6/TMA16/RBM34/DDX28/FASTKD2/LTO1/MALSU1/AIRIM,45
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",26/3664,35/10768,0.7428571428571429,2.1831565814098566,5.034881969112744,1.2961344382170123e-6,8.335764605783161e-4,8.027506316694049e-4,TSR1/RRS1/DHX37/NOP14/UTP4/WDR43/WDR46/BYSL/HEATR1/KRI1/BMS1/UTP6/UTP20/TBL3/DCAF13/RCL1/NOP9/ERCC2/SLX9/NOL10/UTP25/UTP3/PWP2/UTP23/NGDN/ABT1,26
GO:0000154,rRNA modification,25/3664,34/10768,0.7352941176470589,2.1609298741330596,4.868983050242014,2.8613630195168625e-6,0.001635745859490473,0.0015752556412708622,DKC1/NOP2/NHP2/NAT10/FTSJ3/GAR1/TFB2M/BUD23/SPOUT1/NSUN5/FBL/NOP10/METTL16/RPUSD1/NAF1/RPUSD2/RPUSD4/DIMT1/MRM1/NSUN4/TSR3/EMG1/MRM3/TRMT2B/FDXACB1,25
GO:0000280,nuclear division,155/3664,344/10768,0.45058139534883723,1.324197725195491,4.388798034592891,1.06722979285793e-5,0.00549089728425405,0.005287842773665554,MKI67/TOP2A/CENPF/KIF11/NUSAP1/ASPM/KIFC1/SMC4/ANKLE1/NCAPG/PLK1/CDK1/DLGAP5/NCAPD2/CENPE/BUB1/ESPL1/RRS1/CDC20/NDC80/PRC1/RACGAP1/UBE2C/KNL1/KIF14/RAD21/NUDC/ANLN/BRCA2/TPX2/C9orf78/BCCIP/TNF/KIF22/KIF23/REEP3/KIF15/ZWINT/SPC24/BIRC5/CCNB2/BUB1B/RB1/AURKA/PRMT5/SPAG5/CALR/NUMA1/CDCA8/SPC25/KIF4A/INCENP/SMC2/TTK/AURKB/NUF2/CDCA2/CCNB1/STAG1/CCDC86/PSRC1/RANBP1/CDC25B/PTTG1/EPS8/DCAF13/SMC1A/PDE3A/KIF2C/CCNB1IP1/SPHK1/AKAP8/DRG1/FANCD2/KIF18B/UHRF1/CCSAP/SLX4/SEH1L/CDK5RAP2/FBXO5/NCAPH/FZR1/NEK2/NUP62/CENPX/CCNA1/CDKN1B/SKA2/RAD51AP1/NIPBL/GEN1/STAG2/FBXO43/LRP5/CENPI/SKA1/DCTN2/RMDN1/NSL1/RCC1/TGFB1/CUL7/PHIP/UBE2S/BCL2L11/MARF1/HOXA13/HSF1/CDKN1C/CDC25C/KIF18A/KNTC1/MLH1/KAT2B/NCAPH2/PRICKLE1/CUL9/MND1/SPDL1/CENPS/SIRT7/LIF/BROX/BOD1/MEIOB/BRIP1/SGO1/PDXP/CENPK/TENT4A/EME1/RMI1/EME2/CEP97/MYBL1/MEI1/SMPD3/CCNE1/FIGNL1/PINX1/SYCE2/RPS6KA2/RGCC/NFIA/MLH3/CDC14A/TOM1L2/TUBG2/ING2/TOP6BL/SPIRE2/RIPOR2/MAP10/NPR2,155
