ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0051304,chromosome separation,77,-0.8743200070326568,-2.330389085339635,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,999,"tags=52%, list=8%, signal=48%",SPDL1/NCAPH2/NCAPD3/KNTC1/NCAPG2/TPR/BUB3/SKA1/GEN1/NCAPH/FBXO5/CDK5RAP2/PLSCR1/CCNB1/NUF2/AURKB/TTK/SMC2/INCENP/SPC25/CDCA8/NUMA1/RB1/BUB1B/BIRC5/SPC24/ZWINT/RAD21/KNL1/UBE2C/NDC80/CDC20/ESPL1/BUB1/NCAPD2/DLGAP5/PLK1/NCAPG/SMC4/CENPF
GO:1905818,regulation of chromosome separation,71,-0.8813048932506002,-2.3294405564471594,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,999,"tags=56%, list=8%, signal=52%",SPDL1/NCAPH2/NCAPD3/KNTC1/NCAPG2/TPR/BUB3/SKA1/GEN1/NCAPH/FBXO5/CDK5RAP2/PLSCR1/CCNB1/NUF2/AURKB/TTK/SMC2/INCENP/SPC25/CDCA8/NUMA1/RB1/BUB1B/BIRC5/SPC24/ZWINT/RAD21/KNL1/UBE2C/NDC80/CDC20/ESPL1/BUB1/NCAPD2/DLGAP5/PLK1/NCAPG/SMC4/CENPF
GO:0000070,mitotic sister chromatid segregation,181,-0.7733861497200522,-2.327159272758968,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,643,"tags=34%, list=5%, signal=32%",BUB3/NSL1/RMDN1/DCTN2/SKA1/CENPI/STAG2/GEN1/NIPBL/SKA2/NEK2/NCAPH/FBXO5/CDK5RAP2/CCSAP/KIF18B/KIF2C/SMC1A/PSRC1/STAG1/CCNB1/NUF2/AURKB/TTK/SMC2/INCENP/KIF4A/SPC25/CDCA8/NUMA1/SPAG5/RB1/BUB1B/BIRC5/SPC24/ZWINT/KIF15/KIF23/KIF22/TPX2/RAD21/KIF14/KNL1/UBE2C/RACGAP1/PRC1/NDC80/CDC20/ESPL1/BUB1/CENPE/NCAPD2/DLGAP5/CDK1/PLK1/NCAPG/SMC4/KIFC1/NUSAP1/KIF11/CENPF
GO:0000819,sister chromatid segregation,216,-0.7548935523140168,-2.2904775391449133,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,663,"tags=36%, list=6%, signal=34%",SPDL1/SMARCA2/NCAPH2/KAT2B/NCAPD3/KNTC1/KIF18A/RMI2/NCAPG2/CDC27/TPR/PBRM1/BUB3/NSL1/RMDN1/DCTN2/SKA1/CENPI/TACC3/ARID2/STAG2/GEN1/NIPBL/SKA2/ARID1A/NEK2/NCAPH/FBXO5/CDK5RAP2/CCSAP/KIF18B/KIF2C/SMC1A/PSRC1/STAG1/CCNB1/NUF2/AURKB/TTK/SMC2/INCENP/KIF4A/SPC25/CDCA8/NUMA1/SPAG5/RB1/BUB1B/BIRC5/SPC24/ZWINT/KIF15/KIF23/KIF22/TPX2/RAD21/KIF14/KNL1/UBE2C/RACGAP1/PRC1/NDC80/CDC20/ESPL1/BUB1/CENPE/NCAPD2/DLGAP5/CDK1/PLK1/NCAPG/SMC4/KIFC1/NUSAP1/KIF11/CENPF/TOP2A
GO:0051983,regulation of chromosome segregation,120,-0.8076713389340857,-2.28899730567364,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,999,"tags=43%, list=8%, signal=40%",SPDL1/SMARCA2/NCAPH2/KAT2B/NCAPD3/KNTC1/RMI2/NCAPG2/CDC27/TPR/PBRM1/BUB3/SKA1/TACC3/ARID2/GEN1/ARID1A/NCAPH/FBXO5/CDK5RAP2/SMC6/KIF2C/PLSCR1/CCNB1/NUF2/AURKB/TTK/SMC2/INCENP/SPC25/CDCA8/NUMA1/RB1/BUB1B/BIRC5/SPC24/ZWINT/RAD21/KNL1/UBE2C/NDC80/CDC20/ESPL1/BUB1/CENPE/NCAPD2/DLGAP5/CDK1/PLK1/NCAPG/SMC4/CENPF
GO:0042254,ribosome biogenesis,307,0.8285967632042668,2.2692085506045716,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,1386,"tags=62%, list=12%, signal=56%",NOLC1/DDX21/MYBBP1A/NOL6/BOP1/PDCD11/NOP56/EXOSC5/PES1/C1QBP/DKC1/PA2G4/WDR3/NOC2L/PPAN/MRTO4/RRP9/NOP16/TSR1/NOP2/EBNA1BP2/RRP7A/RRS1/NHP2/GTPBP4/NOP58/USP36/LTV1/DHX37/NOP14/UTP4/NAT10/SURF6/WDR43/WDR46/RPL7L1/SNU13/GTF3A/NPM1/LYAR/BYSL/NIP7/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/IMP4/PNO1/DDX54/GRWD1/LAS1L/RRP1/RPS17/MDN1/WDR12/EIF5B/REXO4/HEATR1/DDX51/GAR1/KRI1/DDX10/DDX56/RRP15/EIF1AX/URB1/BMS1/TFB2M/DDX55/RPL26/EXOSC2/ESF1/RPS27A/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/RPS12/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/NLE1/RIOK1/RAN/UTP20/TBL3/DCAF13/URB2/RPS13/RPS16/RPS23/GEMIN4/RPL14/ISG20L2/DDX31/BUD23/ZNF593/WDR18/RCL1/NSA2/RPS24/RPL24/DDX27/RPL38/DNTTIP2/DHX30/RPS8/UTP18/DDX49/NOB1/NOP9/RPL27/NOP53/RPS7/RPL35A/PELP1/RPS19/RIOX2/RPS6/SPOUT1/ERCC2/NSUN5/RPL7/RPP25/SDAD1/SLX9/RPL5/FBL/RPS9/NOL8/NOL10/UTP25/RPL11/CUL4A/AATF/UTP3/WDR75/RPS4X/NOL7/GNL2/RPL35/WDR36/FAU/NOM1/RPS3A/PWP2/LSG1/UTP23/RPS28/NOP10/RPS21/UTP15/NOL11/PWP1/RPL7A/DIS3/METTL16/DDX3X/GNL3L/RPUSD1/HEATR3/MRPS2/ZNHIT6/RPS11/NAF1/TMA16/RPUSD2/LSM6/RPS15A/NUP88/REXO1/YTHDF2/RPS27/RPUSD4/RBM34/DIMT1/RPS14/MRM2/RSL24D1/NGDN/ABT1/MRM1/MCAT/DDX28
GO:0022613,ribonucleoprotein complex biogenesis,448,0.8052276269172463,2.2565154839340584,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,1656,"tags=58%, list=14%, signal=52%",NOLC1/DDX21/MYBBP1A/NOL6/BOP1/PDCD11/NOP56/EXOSC5/PES1/C1QBP/DKC1/PA2G4/WDR3/NOC2L/PPAN/MRTO4/RRP9/NOP16/TSR1/NOP2/EBNA1BP2/RRP7A/HSP90AB1/RRS1/NHP2/GTPBP4/EIF3B/NOP58/USP36/LTV1/DHX37/NOP14/EIF3J/UTP4/NAT10/SURF6/WDR43/EIF3A/WDR46/RPL7L1/SNU13/GTF3A/NPM1/LYAR/BYSL/NIP7/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/EIF3I/U2AF2/IMP4/PNO1/DDX54/DHX9/GRWD1/LAS1L/RRP1/RUVBL2/RPS17/MDN1/WDR12/EIF5B/REXO4/HEATR1/DDX51/GAR1/PRMT5/RUVBL1/SF3B6/KRI1/GEMIN5/DDX10/DDX56/RRP15/EIF1AX/URB1/BMS1/PRPF19/TFB2M/DDX55/RPL26/EXOSC2/ESF1/EIF3D/RPS27A/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/RPS12/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/NLE1/RIOK1/RAN/UTP20/TBL3/DCAF13/SRPK1/URB2/EIF3M/RPS13/RPS16/RPS23/GEMIN4/RPL14/EIF3G/SNRPA1/ISG20L2/DDX31/BUD23/ZNF593/WDR18/RCL1/NSA2/RPS24/RPL24/EIF3C/EIF3CL/DDX27/RPL38/DNTTIP2/DHX30/RPS8/SNRPE/UTP18/DDX49/NOB1/NOP9/RPL27/NOP53/RPS7/RPL35A/SF3A3/DDX1/SF1/PELP1/RPS19/RIOX2/RPS6/SPOUT1/SNRPB/PUF60/ERCC2/NSUN5/RPL7/RPP25/SDAD1/SLX9/RPL5/FBL/RPS9/NOL8/SNRPC/PRPF31/NOL10/UTP25/RPL11/CUL4A/SRSF9/EIF3K/AATF/UTP3/WDR75/SNRPF/RPS4X/NOL7/GNL2/RPL35/WDR36/FAU/NOM1/RPS3A/PWP2/PRPF3/LSG1/NOPCHAP1/UTP23/RPS28/NOP10/RPS21/UTP15/NOL11/SNRPD2/SRSF6/RPL13A/PWP1/RPL7A/DIS3/TGS1/SF3B3/METTL16/DDX3X/GNL3L/RPUSD1/HEATR3/MRPS2/ZNHIT6/RPS11/NAF1/TMA16/RPUSD2/LSM6/RPS15A/NUP88/SMN1/SMN2/REXO1/SNRPD1/YTHDF2/RPS27/RPUSD4/RBM34/SF3B5/DIMT1/RPS14/SNRPD3/MRM2/RSL24D1/NGDN/TAF9/ABT1/MRM1/MCAT/DDX28/EIF2S2/DDX47/DDX23/RRN3/LUC7L/EXOSC3/USP39/AK6/EIF3H/NUFIP1/SF3B4/PHF5A/EIF6/WDR55/CLNS1A/RPS25/UTP11/SIRT7/RBFA/RPF1/TSSC4/EIF2S3/CHD7/NGRN/WDR77/PTGES3/DENR
GO:0016072,rRNA metabolic process,258,0.8364377914780312,2.255829980218395,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,1355,"tags=60%, list=11%, signal=54%",NOLC1/MYC/DDX21/NOL6/BOP1/NCL/PDCD11/NOP56/EXOSC5/PES1/DKC1/PA2G4/WDR3/PPAN/MRTO4/RRP9/TSR1/NOP2/EBNA1BP2/RRP7A/RRS1/NHP2/GTPBP4/NOP58/POLR1A/USP36/DHX37/NOP14/POLR1G/UTP4/NAT10/WDR43/WDR46/RPL7L1/SNU13/GTF3A/LYAR/BYSL/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/IMP4/NIFK/DDX54/POLR1B/LAS1L/RRP1/RPS17/WDR12/REXO4/HEATR1/DDX51/GAR1/KRI1/TCOF1/DDX10/DDX56/RRP15/URB1/BMS1/TFB2M/DDX55/RPL26/EXOSC2/ESF1/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/RIOK1/UTP20/TBL3/DCAF13/RPS16/GEMIN4/RPL14/BUD23/WDR18/RCL1/NSA2/RPS24/MACROH2A1/DDX27/RPS8/UTP18/DDX49/NOB1/NOP9/RPL27/NOP53/RPS7/TP53/RPL35A/PELP1/RPS19/RPS6/SPOUT1/ERCC2/NSUN5/RPL7/RPP25/SLX9/RPL5/FBL/POLR1E/NOL8/NOL10/UTP25/RPL11/UTP3/WDR75/NOL7/RPL35/WDR36/PWP2/UTP23/RPS28/NOP10/RPS21/UTP15/NOL11/MARS1/PWP1/RPL7A/DIS3/METTL16/RPUSD1/POLR2E/ZNHIT6/NAF1/RPUSD2/LSM6/REXO1/POLR1D/DIS3L/YTHDF2/RPS27/RPUSD4/RBM34/DIMT1/RPS14/SMARCA4/MRM2/NGDN/ABT1
GO:0010965,regulation of mitotic sister chromatid separation,58,-0.8817061784076042,-2.255366859702921,1.0153314318807245e-10,1.6696110065846632e-8,1.4381368155144242e-8,643,"tags=47%, list=5%, signal=44%",BUB3/SKA1/GEN1/FBXO5/CDK5RAP2/CCNB1/NUF2/AURKB/TTK/INCENP/SPC25/CDCA8/RB1/BUB1B/BIRC5/SPC24/ZWINT/RAD21/KNL1/UBE2C/NDC80/CDC20/ESPL1/BUB1/DLGAP5/PLK1/CENPF
GO:0051306,mitotic sister chromatid separation,61,-0.872614656823367,-2.2474218156715633,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,643,"tags=51%, list=5%, signal=48%",SPDL1/NCAPH2/KNTC1/TPR/BUB3/SKA1/GEN1/FBXO5/CDK5RAP2/CCNB1/NUF2/AURKB/TTK/INCENP/SPC25/CDCA8/RB1/BUB1B/BIRC5/SPC24/ZWINT/RAD21/KNL1/UBE2C/NDC80/CDC20/ESPL1/BUB1/DLGAP5/PLK1/CENPF
GO:0006364,rRNA processing,217,0.8428179769864772,2.241684194387101,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,1355,"tags=64%, list=11%, signal=58%",NOLC1/DDX21/NOL6/BOP1/PDCD11/NOP56/EXOSC5/PES1/DKC1/PA2G4/WDR3/PPAN/MRTO4/RRP9/TSR1/NOP2/EBNA1BP2/RRP7A/RRS1/NHP2/GTPBP4/NOP58/USP36/DHX37/NOP14/UTP4/NAT10/WDR43/WDR46/RPL7L1/SNU13/LYAR/BYSL/WDR74/UTP14A/RRP1B/BRIX1/FTSJ3/IMP4/DDX54/LAS1L/RRP1/RPS17/WDR12/REXO4/HEATR1/DDX51/GAR1/KRI1/DDX10/DDX56/RRP15/URB1/BMS1/TFB2M/DDX55/RPL26/EXOSC2/ESF1/RPF2/NPM3/EXOSC7/PAK1IP1/DDX18/UTP6/EXOSC4/NOC4L/RPS15/IMP3/MPHOSPH10/MAK16/RIOK1/UTP20/TBL3/DCAF13/RPS16/GEMIN4/RPL14/BUD23/WDR18/RCL1/NSA2/RPS24/DDX27/RPS8/UTP18/DDX49/NOB1/NOP9/RPL27/NOP53/RPS7/RPL35A/PELP1/RPS19/RPS6/SPOUT1/ERCC2/NSUN5/RPL7/RPP25/SLX9/RPL5/FBL/NOL8/NOL10/UTP25/RPL11/UTP3/WDR75/NOL7/RPL35/WDR36/PWP2/UTP23/RPS28/NOP10/RPS21/UTP15/NOL11/PWP1/RPL7A/DIS3/METTL16/RPUSD1/ZNHIT6/NAF1/RPUSD2/LSM6/REXO1/YTHDF2/RPS27/RPUSD4/RBM34/DIMT1/RPS14/MRM2/NGDN/ABT1
GO:0098813,nuclear chromosome segregation,268,-0.7293271389309228,-2.23112326513319,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,999,"tags=33%, list=8%, signal=31%",SPDL1/PTEN/MND1/SMARCA2/NCAPH2/KAT2B/NCAPD3/MLH1/KNTC1/KIF18A/GEM/RMI2/NCAPG2/CDC27/TPR/FAM83D/PBRM1/BUB3/NSL1/RMDN1/DCTN2/SKA1/CENPI/TACC3/ARID2/STAG2/GEN1/NIPBL/DYNC1H1/SKA2/ARID1A/NEK2/NCAPH/FBXO5/CDK5RAP2/CCSAP/KIF18B/FANCD2/KIF2C/SMC1A/PTTG1/PSRC1/STAG1/ECT2/CCNB1/NUF2/AURKB/TTK/SMC2/INCENP/KIF4A/SPC25/CDCA8/NUMA1/SPAG5/AURKA/RB1/BUB1B/CCNB2/BIRC5/SPC24/ZWINT/KIF15/KIF23/KIF22/TPX2/RAD21/KIF14/KNL1/UBE2C/RACGAP1/PRC1/NDC80/CDC20/ESPL1/BUB1/CENPE/NCAPD2/DLGAP5/CDK1/PLK1/NCAPG/SMC4/KIFC1/ASPM/NUSAP1/KIF11/CENPF/TOP2A
GO:0007059,chromosome segregation,371,-0.7009251747251214,-2.2300364499159535,1e-10,1.6696110065846632e-8,1.4381368155144242e-8,1019,"tags=30%, list=9%, signal=29%",CEP63/CENPS/SPDL1/PTEN/USP9X/MND1/HAUS1/SMARCA2/MAPRE2/NCAPH2/KAT2B/NCAPD3/MLH1/KNTC1/KIF18A/GEM/RMI2/ESCO2/BRCA1/NCAPG2/CDC27/TPR/CENPH/FAM83D/DIAPH3/PBRM1/BUB3/NSL1/RMDN1/DCTN2/SKA1/CENPI/HAUS5/TACC3/TNKS/ARID2/STAG2/GEN1/NIPBL/ITGB3BP/DYNC1H1/SKA2/ARID1A/NEK2/NCAPH/FBXO5/CDK5RAP2/CCSAP/KIF18B/SMC6/FANCD2/NR3C1/KIF2C/SMC1A/STIL/HAUS4/GPSM2/PLSCR1/PTTG1/PSRC1/SGO2/STAG1/ECT2/CCNB1/CDCA2/NUF2/AURKB/TTK/SMC2/INCENP/KIF4A/NEK7/SPC25/CDCA8/NUMA1/SPAG5/AURKA/RB1/BUB1B/CCNB2/BIRC5/SPC24/ZWINT/KIF15/KIF23/KIF22/HJURP/TPX2/RAD21/KIF14/KNL1/UBE2C/RACGAP1/PRC1/NDC80/TUBB/CDC20/ESPL1/BUB1/CENPE/NCAPD2/DLGAP5/CDK1/PLK1/SENP6/NCAPG/SMC4/KIFC1/ASPM/NUSAP1/KIF11/CENPF/TOP2A
