ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042254,ribosome biogenesis,194/3642,307/11762,0.6319218241042345,2.040819465984076,12.375453655189311,4.969543222018757e-32,2.6736142534460914e-28,2.5648074123745227e-28,DDX21/NOLC1/MYBBP1A/BOP1/NOL6/PDCD11/NOP56/C1QBP/PES1/PA2G4/DKC1/EXOSC5/NOC2L/WDR3/PPAN/MRTO4/GLUL/TSR1/NOP16/RRP9/NOP2/RRP7A/EBNA1BP2/NHP2/RRS1/GTPBP4/NOP58/NOP14/NPM1/DHX37/LTV1/USP36/RPL7L1/NAT10/SURF6/WDR43/SNU13/UTP4/WDR46/GTF3A/BYSL/NIP7/LYAR/RPS17/UTP14A/WDR74/FTSJ3/RRP1B/BRIX1/DDX54/IMP4/MDN1/LAS1L/GRWD1/EIF5B/PNO1/RRP1/WDR12/HEATR1/RPL26/REXO4/RPS27A/DDX51/GAR1/KRI1/RPS12/EIF1AX/BMS1/DDX56/RPS15/DDX10/RAN/RRP15/URB1/DDX55/NPM3/TFB2M/EXOSC2/RPF2/DDX18/ESF1/RPL14/EXOSC7/UTP6/PAK1IP1/IMP3/EXOSC4/NOC4L/MPHOSPH10/RIOK1/NLE1/MAK16/UTP20/DCAF13/TBL3/CUL4B/URB2/GEMIN4/NOP53/RPL35A/NSA2/ISG20L2/WDR18/BUD23/DDX27/DDX31/ZNF593/DHX30/DNTTIP2/RCL1/DDX49/NOP9/UTP18/NOB1/FBL/PELP1/SPOUT1/RIOX2/NSUN5/ERCC2/RPP25/SDAD1/NOL8/CUL4A/SLX9/NOL10/UTP25/AATF/NOL7/UTP3/WDR75/GNL2/RNASEL/WDR36/NOM1/LSG1/PWP2/UTP23/NOP10/NOL11/PWP1/DIS3/UTP15/GNL3L/METTL16/HEATR3/RPUSD1/ZNHIT6/MRPS2/NUP88/TMA16/RPS14/REXO1/LSM6/NAF1/RPUSD2/RBM34/RPUSD4/DIMT1/ABT1/NGDN/DDX47/MCAT/RRN3/DDX28/MRM1/EXOSC3/KAT2B/AK6/WDR55/UTP11/SIRT7/RBFA/SDE2/FASTKD2/NSUN4/RPP38/RRP8/REXO5/EXOSC6/TSR3/EMG1/MRM3/LTO1/MALSU1/FSAF1/MTERF3/POP7/AIRIM/TRMT2B/SRFBP1/MPHOSPH6/ISG20/FDXACB1,194
GO:0006364,rRNA processing,147/3642,217/11762,0.6774193548387096,2.187755752776744,11.826987068311523,2.8594887511035283e-29,7.692024740468491e-26,7.378985971926631e-26,DDX21/NOLC1/BOP1/NOL6/PDCD11/NOP56/PES1/PA2G4/DKC1/EXOSC5/WDR3/PPAN/MRTO4/TSR1/RRP9/NOP2/RRP7A/EBNA1BP2/NHP2/RRS1/GTPBP4/NOP58/NOP14/DHX37/USP36/RPL7L1/NAT10/WDR43/SNU13/UTP4/WDR46/BYSL/LYAR/RPS17/UTP14A/WDR74/FTSJ3/RRP1B/BRIX1/DDX54/IMP4/LAS1L/RRP1/WDR12/HEATR1/RPL26/REXO4/DDX51/GAR1/KRI1/BMS1/DDX56/RPS15/DDX10/RRP15/URB1/DDX55/NPM3/TFB2M/EXOSC2/RPF2/DDX18/ESF1/RPL14/EXOSC7/UTP6/PAK1IP1/IMP3/EXOSC4/NOC4L/MPHOSPH10/RIOK1/MAK16/UTP20/DCAF13/TBL3/GEMIN4/NOP53/RPL35A/NSA2/WDR18/BUD23/DDX27/RCL1/DDX49/NOP9/UTP18/NOB1/FBL/PELP1/SPOUT1/NSUN5/ERCC2/RPP25/NOL8/SLX9/NOL10/UTP25/NOL7/UTP3/WDR75/RNASEL/WDR36/PWP2/UTP23/NOP10/NOL11/PWP1/DIS3/UTP15/METTL16/RPUSD1/ZNHIT6/RPS14/REXO1/LSM6/NAF1/RPUSD2/RBM34/RPUSD4/DIMT1/ABT1/NGDN/DDX47/MRM1/EXOSC3/KAT2B/AK6/WDR55/UTP11/SIRT7/RBFA/SDE2/NSUN4/RPP38/RRP8/REXO5/EXOSC6/TSR3/EMG1/MRM3/POP7/TRMT2B/SRFBP1/MPHOSPH6/ISG20/FDXACB1,147
GO:0016072,rRNA metabolic process,164/3642,259/11762,0.6332046332046332,2.0449623546822884,11.388303910120035,2.285215325969284e-27,4.098152817904916e-24,3.931372190606105e-24,DDX21/NOLC1/MYC/NCL/BOP1/NOL6/PDCD11/NOP56/PES1/PA2G4/DKC1/EXOSC5/WDR3/PPAN/MRTO4/TSR1/RRP9/NOP2/RRP7A/EBNA1BP2/NHP2/RRS1/GTPBP4/NOP58/POLR1A/NOP14/DHX37/USP36/RPL7L1/NAT10/POLR1G/WDR43/SNU13/UTP4/WDR46/GTF3A/BYSL/LYAR/RPS17/UTP14A/WDR74/FTSJ3/RRP1B/BRIX1/DDX54/IMP4/NIFK/LAS1L/POLR1B/RRP1/WDR12/HEATR1/RPL26/REXO4/DDX51/GAR1/KRI1/TCOF1/BMS1/DDX56/RPS15/DDX10/RRP15/URB1/DDX55/NPM3/TFB2M/EXOSC2/RPF2/DDX18/ESF1/RPL14/EXOSC7/UTP6/PAK1IP1/IMP3/EXOSC4/NOC4L/MPHOSPH10/RIOK1/MAK16/UTP20/DCAF13/TBL3/GEMIN4/NOP53/RPL35A/NSA2/WDR18/BUD23/DDX27/TP53/RCL1/DDX49/NOP9/UTP18/NOB1/FBL/PELP1/SPOUT1/NSUN5/ERCC2/RPP25/NOL8/SLX9/POLR1E/NOL10/UTP25/NOL7/UTP3/WDR75/RNASEL/WDR36/PWP2/UTP23/NOP10/NOL11/PWP1/DIS3/POLR2E/UTP15/SPIN1/METTL16/RPUSD1/ZNHIT6/RPS14/REXO1/LSM6/NAF1/RPUSD2/RBM34/DIS3L/RPUSD4/XRN1/DIMT1/ABT1/NGDN/DDX47/MRM1/EXOSC3/KAT2B/AK6/WDR55/UTP11/SIRT7/RBFA/SDE2/NSUN4/RPP38/RRP8/REXO5/EXOSC6/SLFN5/TSR3/EMG1/MRM3/POP7/TRMT2B/SRFBP1/MPHOSPH6/PELO/ISG20/ANG/FDXACB1,164
GO:0022613,ribonucleoprotein complex biogenesis,238/3642,450/11762,0.5288888888888889,1.7080700469827321,10.257153689107469,5.777532162873554e-23,7.770780759064931e-20,7.454536893307642e-20,DDX21/NOLC1/MYBBP1A/BOP1/NOL6/PDCD11/NOP56/C1QBP/PES1/PA2G4/DKC1/EXOSC5/NOC2L/WDR3/HSP90AB1/PPAN/MRTO4/GLUL/TSR1/NOP16/RRP9/NOP2/RRP7A/EBNA1BP2/EIF3B/NHP2/RRS1/GTPBP4/NOP58/EIF3A/NOP14/NPM1/DHX37/LTV1/USP36/RPL7L1/EIF3J/NAT10/SURF6/WDR43/SNU13/UTP4/WDR46/GTF3A/U2AF2/EIF3I/BYSL/NIP7/LYAR/RPS17/UTP14A/WDR74/FTSJ3/RRP1B/DHX9/BRIX1/DDX54/IMP4/RUVBL2/MDN1/LAS1L/GRWD1/EIF5B/PNO1/RRP1/WDR12/HEATR1/RPL26/PRMT5/REXO4/RPS27A/SF3B6/RUVBL1/DDX51/GAR1/KRI1/EIF3D/RPS12/PRPF19/EIF1AX/BMS1/DDX56/RPS15/GEMIN5/DDX10/RAN/RRP15/URB1/DDX55/NPM3/TFB2M/EXOSC2/RPF2/DDX18/ESF1/RPL14/EXOSC7/UTP6/PAK1IP1/IMP3/EIF3M/EIF3G/EXOSC4/NOC4L/MPHOSPH10/SRPK1/RIOK1/EIF3C/EIF3CL/NLE1/MAK16/UTP20/DCAF13/TBL3/CUL4B/URB2/GEMIN4/NOP53/RPL35A/NSA2/SNRPA1/ISG20L2/WDR18/BUD23/SNRPE/DDX27/DDX31/ZNF593/DHX30/DNTTIP2/RCL1/SF3A3/DDX49/NOP9/UTP18/NOB1/SF1/DDX1/FBL/PUF60/PELP1/SPOUT1/PSIP1/RIOX2/NSUN5/ERCC2/RPP25/SDAD1/SNRPC/NOL8/CUL4A/SLX9/PRPF31/NOL10/UTP25/AATF/SNRPF/NOL7/UTP3/WDR75/GNL2/RNASEL/WDR36/NOM1/PRPF3/SNRPD2/LSG1/PWP2/UTP23/NOP10/NOPCHAP1/NOL11/PWP1/DIS3/TGS1/UTP15/GNL3L/METTL16/HEATR3/RPUSD1/ZNHIT6/MRPS2/NUP88/TMA16/RPS14/SMN1/SMN2/REXO1/LSM6/NAF1/RPUSD2/RBM34/SF3B5/RPUSD4/DIMT1/ABT1/NGDN/DDX47/MCAT/RRN3/DDX28/MRM1/LUC7L/EXOSC3/KAT2B/AK6/PHF5A/WDR55/UTP11/NUFIP1/SIRT7/RBFA/TSSC4/SDE2/FASTKD2/TXNL4A/SHQ1/CLP1/NSUN4/RPP38/RRP8/REXO5/EXOSC6/TSR3/EMG1/MRM3/LTO1/MALSU1/FSAF1/MTERF3/POP7/AIRIM/TRMT2B/SRFBP1/GEMIN7/MPHOSPH6/ISG20/FDXACB1,238
GO:0042274,ribosomal small subunit biogenesis,67/3642,106/11762,0.6320754716981132,2.0413156776807266,7.2123144181939525,6.691160886505204e-12,7.1996891138795994e-9,6.906686700323161e-9,NOL6/NOP56/WDR3/TSR1/RRP9/RRP7A/RRS1/NOP58/NOP14/NPM1/DHX37/LTV1/NAT10/SURF6/WDR43/SNU13/UTP4/WDR46/BYSL/RPS17/IMP4/PNO1/HEATR1/RPS27A/KRI1/RPS12/BMS1/RPS15/UTP6/IMP3/MPHOSPH10/RIOK1/UTP20/DCAF13/TBL3/DNTTIP2/RCL1/NOP9/UTP18/NOB1/FBL/ERCC2/SLX9/NOL10/UTP25/AATF/NOL7/UTP3/WDR75/WDR36/NOM1/PWP2/UTP23/NOL11/UTP15/RPS14/LSM6/DIMT1/ABT1/NGDN/MCAT/AK6/UTP11/TSR3/EMG1/FSAF1/SRFBP1,67
GO:0030490,maturation of SSU-rRNA,40/3642,54/11762,0.7407407407407407,2.39225496776293,6.867337321263229,8.271295880158793e-11,7.416595305875717e-8,7.114765561476942e-8,WDR3/TSR1/RRS1/NOP14/DHX37/NAT10/WDR43/SNU13/UTP4/WDR46/BYSL/IMP4/HEATR1/KRI1/BMS1/UTP6/IMP3/MPHOSPH10/RIOK1/UTP20/DCAF13/TBL3/RCL1/NOP9/NOB1/ERCC2/SLX9/NOL10/UTP25/NOL7/UTP3/PWP2/UTP23/NOL11/RPS14/LSM6/ABT1/NGDN/TSR3/SRFBP1,40
GO:0042273,ribosomal large subunit biogenesis,45/3642,67/11762,0.6716417910447762,2.1690968550984784,6.426904722336074,1.0821110267273388e-9,8.316796176847262e-7,7.97833137450247e-7,BOP1/PES1/NOC2L/PPAN/MRTO4/NOP16/NOP2/EBNA1BP2/RRS1/GTPBP4/NPM1/RPL7L1/SURF6/GTF3A/NIP7/WDR74/FTSJ3/BRIX1/MDN1/LAS1L/WDR12/RPL26/RRP15/URB1/DDX55/RPF2/DDX18/RPL14/PAK1IP1/NLE1/MAK16/NOP53/RPL35A/NSA2/DHX30/SDAD1/HEATR3/ZNHIT6/TMA16/RBM34/DDX28/FASTKD2/LTO1/MALSU1/AIRIM,45
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",26/3642,35/11762,0.7428571428571429,2.3990899819565388,5.5513714502686495,1.6298869272276003e-7,1.0960989585605613e-4,1.0514915268680164e-4,TSR1/RRS1/NOP14/DHX37/WDR43/UTP4/WDR46/BYSL/HEATR1/KRI1/BMS1/UTP6/UTP20/DCAF13/TBL3/RCL1/NOP9/ERCC2/SLX9/NOL10/UTP25/UTP3/PWP2/UTP23/ABT1/NGDN,26
GO:0000154,rRNA modification,25/3642,34/11762,0.7352941176470589,2.37466485770585,5.375741679053938,3.951033280583517e-7,2.3618398943932583e-4,2.265721190023507e-4,DKC1/NOP2/NHP2/NAT10/FTSJ3/GAR1/TFB2M/BUD23/FBL/SPOUT1/NSUN5/NOP10/METTL16/RPUSD1/NAF1/RPUSD2/RPUSD4/DIMT1/MRM1/NSUN4/TSR3/EMG1/MRM3/TRMT2B/FDXACB1,25
GO:0009451,RNA modification,79/3642,159/11762,0.4968553459119497,1.6046163038485317,5.140523526918072,5.507766966517464e-7,2.9631786279863954e-4,2.842587519666855e-4,PUS1/DKC1/NOP2/NHP2/SSB/PUS7/NAT10/SYNCRIP/NSUN2/TRMT1/FTSJ3/APOBEC3B/GAR1/HSD17B10/QTRT1/TFB2M/HNRNPAB/TRMT61A/YRDC/ADAT2/CTU2/BUD23/APOBEC3C/SNRPE/DUS1L/FBL/WDR4/SPOUT1/NSUN5/METTL1/TARBP1/DUS3L/TRMT1L/TRMT10C/SNRPF/SNRPD2/QTRT2/METTL2B/TRUB2/NOP10/TGS1/METTL16/SEPSECS/RPUSD1/MTO1/NAF1/RPUSD2/RPUSD4/DIMT1/ADARB1/TRMT6/MRM1/ELP5/ANKRD16/TYW1/QTMAN/FTSJ1/METTL3/TYW3/TRMT44/QNG1/NSUN4/METTL8/METTL2A/PUSL1/TSR3/EMG1/MRM3/MTFMT/APOBEC3H/TRDMT1/CDK5RAP1/TRMT2B/THUMPD2/MOCS3/CTU1/RBM47/FDXACB1/PUS10,79
