ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030684,preribosome,73/3768,101/12329,0.7227722772277227,2.3649308402177796,9.13762076805113,5.677547106270763e-18,3.894797314901743e-15,3.771086551638791e-15,BOP1/NOL6/PDCD11/NOP56/PES1/NOC2L/WDR3/PPAN/MRTO4/RRP9/RRP7A/EBNA1BP2/RRS1/NOP58/NOP14/DHX37/LTV1/NAT10/WDR43/SNU13/UTP4/WDR46/BYSL/NIP7/RPS17/UTP14A/WDR74/FTSJ3/RRP1B/IMP4/PNO1/RRP1/WDR12/HEATR1/RPS27A/KRI1/RPS12/BMS1/RRP15/UTP6/IMP3/NOC4L/MPHOSPH10/RIOK1/MAK16/UTP20/DCAF13/TBL3/NSA2/DNTTIP2/RCL1/NOP9/UTP18/NOB1/FBL/SLX9/NOL10/UTP25/AATF/NOL7/UTP3/WDR75/WDR36/PWP2/UTP23/UTP15/RPS14/DIMT1/NGDN/UTP11/EMG1/FSAF1/SRFBP1,73
GO:0030686,90S preribosome,24/3768,25/12329,0.96,3.1411464968152867,7.109396517944828,7.415801931565382e-12,2.543620062526926e-9,2.4628268520093455e-9,BOP1/NOL6/PES1/NOC2L/WDR3/RRP7A/NOP14/UTP4/IMP4/WDR12/HEATR1/KRI1/UTP6/IMP3/NOC4L/MPHOSPH10/UTP20/TBL3/NOP9/UTP18/SLX9/WDR36/PWP2/SRFBP1,24
GO:0032040,small-subunit processome,49/3768,71/12329,0.6901408450704225,2.2581598935438536,7.053338297051075,2.5978096427098314e-11,5.940324716329814e-9,5.7516417001751e-9,NOL6/PDCD11/NOP56/WDR3/RRP9/RRP7A/NOP58/NOP14/DHX37/NAT10/WDR43/SNU13/UTP4/WDR46/RPS17/UTP14A/IMP4/PNO1/HEATR1/RPS27A/RPS12/BMS1/UTP6/IMP3/NOC4L/MPHOSPH10/UTP20/DCAF13/TBL3/DNTTIP2/RCL1/UTP18/FBL/NOL10/UTP25/AATF/NOL7/UTP3/WDR75/WDR36/PWP2/UTP23/UTP15/RPS14/DIMT1/NGDN/UTP11/EMG1/FSAF1,49
GO:0000940,outer kinetochore,17/3768,20/12329,0.85,2.7812234607218684,5.288853411022311,7.122954106654683e-7,1.221586629291278e-4,1.1827852740260802e-4,CENPF/PLK1/BUB1/NDC80/KNL1/ZWINT/SPC24/BUB1B/SPC25/CCNB1/NUF2/SKA2/SKA1/NSL1/SPDL1/BOD1/DSN1,17
GO:0030687,"preribosome, large subunit precursor",14/3768,16/12329,0.875,2.8630241507430996,4.946933220165612,3.749306795755181e-6,5.144048923776108e-4,4.98065808025583e-4,BOP1/PES1/NOC2L/PPAN/MRTO4/EBNA1BP2/RRS1/NIP7/WDR74/FTSJ3/WDR12/RRP15/MAK16/NSA2,14
GO:0098798,mitochondrial protein-containing complex,80/3768,174/12329,0.45977011494252873,1.5043805061375892,4.445237271450105,1.205799010601896e-5,0.001378630202121501,0.0013348406591049062,TOMM40/PHB1/HSPA9/TOMM6/MRPS12/PMPCA/TIMM13/MRPL4/TIMM50/TIMM44/MRPL3/POLRMT/TOMM20/GRPEL1/MRPL24/VDAC1/PPIF/HSD17B10/PHB2/CHCHD10/DAP3/PNPT1/TIMM17A/DNAJC11/TIMM23/SUPV3L1/TOMM22/TOMM5/GADD45GIP1/MRPS34/MRPL12/PTCD3/MICOS10/AFG3L2/TIMM8B/MRPL41/MRPS26/MRPL36/MRPS23/MRPS30/TRMT10C/MCUB/MRPS21/LYRM4/MRPS5/MRPS25/MICU1/MRPL14/MRPL18/MRPL20/MRPL2/MICOS13/MRPS2/FXN/MRPL21/ACACB/MRPS35/NDUFAB1/POLG2/TIMM10B/PDSS1/PAM16/MRPL32/MRPL1/MRPS17/MRPL33/TIMM10/TIMM8A/TIMM9/ROMO1/MRPL50/MRPL52/MRPS7/SPG7/NSUN4/MRPL46/SLC25A4/ISCA1/DNA2/IMMP2L,80
GO:0030688,"preribosome, small subunit precursor",12/3768,14/12329,0.8571428571428571,2.80459508644222,4.481940550729113,3.084622050418091e-5,0.003022929609409729,0.0029269120508478427,NOP14/LTV1/BYSL/FTSJ3/RRP1B/RRP1/NOC4L/RIOK1/UTP20/NOP9/NOB1/SLX9,12
GO:0072686,mitotic spindle,77/3768,172/12329,0.4476744186046512,1.4648030538685628,4.072485055706894,5.4319544941145336e-5,0.0042770976602892995,0.004141243860123597,KIF11/NUSAP1/ASPM/KIFC1/KIF20A/CDK1/PLK1/DLGAP5/TUBB/CENPE/ESPL1/CKAP2/PRC1/RACGAP1/NUDC/TPX2/BCCIP/PTPN7/KIF22/CKAP2L/KIF23/CKAP5/AURKA/NUMA1/SPAG5/WNK1/AURKB/TUBB4B/ECT2/DPYSL2/STAG1/SMC1A/HAUS4/GPSM2/PYCR3/DNAAF5/TADA3/SMC6/KIF18B/CCSAP/NUP62/SPOUT1/CDK5RAP2/WDR5/MAP4/YPEL5/STAG2/TNKS/KAT2A/HAUS5/SKA1/RMDN1/AGBL5/CDC6/CDC7/HSF1/FAM83D/EPB41/CDC27/KATNAL1/HAUS7/GEM/KIF18A/KAT2B/HAUS1/CEP295/DZIP1L/IFT88/ADRB2/TMEM9/TUBB3/NEIL2/DYNLT3/CXCR2/CDC14A/CD180/PKD2,77
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,16/3768,22/12329,0.7272727272727273,2.3796564369812776,4.296805576928907,5.611352615539897e-5,0.0042770976602892995,0.004141243860123597,NOP56/DKC1/RRP9/NHP2/NOP58/SNU13/GAR1/MPHOSPH10/FBL/RPP25/POP1/NOP10/LSM6/NAF1/RPP38/POP7,16
GO:1905354,exoribonuclease complex,17/3768,25/12329,0.68,2.224978768577495,4.067381566293866,1.2550044128994904e-4,0.008609330272490504,0.008335871416206089,EXOSC5/PAN2/WDR74/LAS1L/PNPT1/EXOSC2/SUPV3L1/EXOSC7/EXOSC4/CARHSP1/KHSRP/PAN3/DIS3/DIS3L/EXOSC3/EXOSC6/MPHOSPH6,17
