ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030684,preribosome,73/1811,101/12329,0.7227722772277227,4.920518722220096,16.415928761918277,4.4699088239225974e-39,2.7892231061277006e-36,2.5078541085797308e-36,BOP1/NOL6/PDCD11/NOP56/PES1/NOC2L/WDR3/PPAN/MRTO4/RRP9/RRP7A/EBNA1BP2/RRS1/NOP58/NOP14/DHX37/LTV1/NAT10/WDR43/SNU13/UTP4/WDR46/BYSL/NIP7/RPS17/UTP14A/WDR74/FTSJ3/RRP1B/IMP4/PNO1/RRP1/WDR12/HEATR1/RPS27A/KRI1/RPS12/BMS1/RRP15/UTP6/IMP3/NOC4L/MPHOSPH10/RIOK1/MAK16/UTP20/DCAF13/TBL3/NSA2/DNTTIP2/RCL1/NOP9/UTP18/NOB1/FBL/SLX9/NOL10/UTP25/AATF/NOL7/UTP3/WDR75/WDR36/PWP2/UTP23/UTP15/RPS14/DIMT1/NGDN/UTP11/EMG1/FSAF1/SRFBP1,73
GO:0032040,small-subunit processome,49/1811,71/12329,0.6901408450704225,4.698369121409851,12.967867816723363,3.8564193071281626e-25,1.2032028238239867e-22,1.0818271003680581e-22,NOL6/PDCD11/NOP56/WDR3/RRP9/RRP7A/NOP58/NOP14/DHX37/NAT10/WDR43/SNU13/UTP4/WDR46/RPS17/UTP14A/IMP4/PNO1/HEATR1/RPS27A/RPS12/BMS1/UTP6/IMP3/NOC4L/MPHOSPH10/UTP20/DCAF13/TBL3/DNTTIP2/RCL1/UTP18/FBL/NOL10/UTP25/AATF/NOL7/UTP3/WDR75/WDR36/PWP2/UTP23/UTP15/RPS14/DIMT1/NGDN/UTP11/EMG1/FSAF1,49
GO:0098798,mitochondrial protein-containing complex,76/1811,174/12329,0.4367816091954023,2.9735397348261268,10.878824536954964,1.7110837183155794e-20,3.559054134096405e-18,3.2000267433761537e-18,TOMM40/PHB1/HSPA9/TOMM6/MRPS12/PMPCA/TIMM13/MRPL4/TIMM50/TIMM44/MRPL3/POLRMT/TOMM20/GRPEL1/MRPL24/VDAC1/PPIF/HSD17B10/PHB2/CHCHD10/DAP3/PNPT1/TIMM17A/DNAJC11/TIMM23/SUPV3L1/TOMM22/TOMM5/GADD45GIP1/MRPS34/MRPL12/PTCD3/MICOS10/AFG3L2/TIMM8B/MRPL41/MRPS26/MRPL36/MRPS23/MRPS30/TRMT10C/MRPS21/LYRM4/MRPS5/MRPS25/MRPL14/MRPL18/MRPL20/MRPL2/MICOS13/MRPS2/FXN/MRPL21/MRPS35/NDUFAB1/POLG2/TIMM10B/PDSS1/PAM16/MRPL32/MRPL1/MRPS17/MRPL33/TIMM10/TIMM8A/TIMM9/ROMO1/MRPL50/MRPL52/MRPS7/SPG7/NSUN4/MRPL46/SLC25A4/ISCA1/IMMP2L,76
GO:0030686,90S preribosome,24/1811,25/12329,0.96,6.535527332965213,11.49594817863129,1.9220304966052162e-19,2.9983675747041373e-17,2.6959006702383692e-17,BOP1/NOL6/PES1/NOC2L/WDR3/RRP7A/NOP14/UTP4/IMP4/WDR12/HEATR1/KRI1/UTP6/IMP3/NOC4L/MPHOSPH10/UTP20/TBL3/NOP9/UTP18/SLX9/WDR36/PWP2/SRFBP1,24
GO:0005743,mitochondrial inner membrane,138/1811,460/12329,0.3,2.042352291551629,9.45421188164623,9.149696594529316e-18,1.1418821349972586e-15,1.0266922705019211e-15,HSPD1/TWNK/TOMM40/PHB1/CYCS/HSPA9/TRAP1/ATP5MC1/MRPS12/PGAM5/PMPCA/TIMM13/LDHB/MRPL4/TIMM50/ATAD3B/ATAD3A/TIMM44/MRPL3/GRPEL1/LETM1/COQ8A/MRPL24/ALDH18A1/SLC25A32/PHB2/CHCHD10/DAP3/SLC25A39/TIMM17A/NME4/DNAJC11/TIMM23/BDH1/GADD45GIP1/MRPS34/MRPL12/RAB5IF/PTCD3/BCS1L/COX5A/UQCR11/NDUFAF2/MICOS10/ATP5MK/NDUFS6/SLC25A19/STOML2/AFG3L2/SLC25A15/DHODH/TIMM8B/MRPL41/SCO1/SFXN4/MRPS26/MRPL36/MRPS23/MRPS30/ATP5ME/NDUFB9/MRPS21/NDUFAF4/ENDOG/MRPS5/MRPS25/FPGS/MRPL14/NDUFB2/RDH13/MRPL18/UQCC4/MRPL20/MRPL2/MICOS13/MRPS2/NDUFV3/GCAT/ATP5MF/MRPL21/SLC25A23/MRPS35/NDUFAB1/SCO2/TIMM10B/ALAS1/PDSS1/PAM16/MRPL32/MRPL1/MRPS17/MRPL33/TIMM10/TIMM8A/SLC25A33/TIMM9/NDUFB10/ROMO1/MPV17/MRPL50/MRPL52/MRPS7/GATM/CRLS1/COX10/PTPMT1/SPG7/TMEM126B/NDUFA3/TMEM177/SFXN2/MRS2/PISD/COX14/MT-ND6/DMAC1/SLC25A25/TMEM160/MRPL46/SLC25A43/SLC25A22/CCDC51/HCCS/SLC25A28/SLC25A4/MT-ATP8/KGD4/TMEM186/TAMM41/FLVCR1/SLC9B2/ADCK1/COX16/TMEM11/MTLN/IMMP2L/UQCC5/UQCC6,138
GO:0019866,organelle inner membrane,145/1811,499/12329,0.2905811623246493,1.978230342518278,9.256311999414068,2.907347024775367e-17,3.0236409057663817e-15,2.7186244986057376e-15,HSPD1/TWNK/TOMM40/PHB1/CYCS/HSPA9/TRAP1/ATP5MC1/MRPS12/PGAM5/PMPCA/TIMM13/LDHB/MRPL4/TIMM50/ATAD3B/ATAD3A/TIMM44/MRPL3/GRPEL1/TMEM120B/LETM1/COQ8A/MRPL24/SIGMAR1/ALDH18A1/SLC25A32/PHB2/CHCHD10/SLC75A1/DAP3/SLC25A39/TIMM17A/NME4/DNAJC11/TIMM23/BDH1/GADD45GIP1/MRPS34/MRPL12/RAB5IF/PTCD3/BCS1L/COX5A/UQCR11/NDUFAF2/MICOS10/ATP5MK/NDUFS6/SLC25A19/STOML2/AFG3L2/SLC25A15/DHODH/TIMM8B/MRPL41/SCO1/SFXN4/MRPS26/MRPL36/MRPS23/MRPS30/NUTF2/ATP5ME/NDUFB9/MRPS21/NDUFAF4/ENDOG/MRPS5/MRPS25/FPGS/MRPL14/NDUFB2/RDH13/MRPL18/UQCC4/MRPL20/MRPL2/MICOS13/MRPS2/NDUFV3/GCAT/ATP5MF/MRPL21/SLC25A23/MRPS35/NDUFAB1/SCO2/TIMM10B/ALAS1/PDSS1/PAM16/MRPL32/MRPL1/MRPS17/MRPL33/TIMM10/TIMM8A/SLC25A33/TIMM9/NDUFB10/ROMO1/MPV17/MRPL50/MRPL52/MRPS7/GATM/CRLS1/COX10/PTPMT1/SPG7/TMEM126B/NDUFA3/TMEM177/SFXN2/MRS2/PISD/COX14/MT-ND6/DMAC1/SLC25A25/TMEM160/MRPL46/SLC25A43/SLC25A22/CCDC51/HCCS/SLC25A28/SLC25A4/MT-ATP8/KGD4/TMEM186/TAMM41/FLVCR1/SLC9B2/TMEM201/SMAD3/ADCK1/COX16/TMEM11/MTLN/IMMP2L/UQCC5/UQCC6/PSEN2,145
GO:0005759,mitochondrial matrix,139/1811,486/12329,0.28600823045267487,1.9470985495588231,8.839371693698707,5.881427664548383e-16,5.242872660968844e-14,4.7139863837658466e-14,PUS1/HSPE1/HSPD1/C1QBP/TWNK/HSPA9/TRAP1/PYCR1/MRPS12/NAXE/PMPCA/TOP1MT/MRPL4/LRRC59/ATAD3A/FDPS/TIMM44/MRPL3/POLRMT/GRPEL1/DNAJA3/NAT8L/MRPL24/VDAC1/ALDH18A1/PPIF/HSD17B10/ELAC2/KARS1/DAP3/PNPT1/NME4/TFB2M/BDH1/SUPV3L1/TUFM/ABCE1/SLIRP/GADD45GIP1/VDAC2/MRPS34/TBRG4/MRPL12/ALDH1B1/MMAB/GCDH/PTCD3/PARK7/IDH3A/DHX30/TP53/SSBP1/HPDL/RNASEH1/ALDH5A1/MRPL41/MARS2/MRPS26/FLAD1/MRPL36/GCSH/MDH2/MRPS23/SOD2/MRPS30/TRMT10C/MRPS21/DLAT/SOD1/GARS1/LYRM4/PDHA1/GSR/TRUB2/MRPS5/MRPS25/BOLA3/FPGS/MRPL14/ACAT1/PDP2/PYCR2/MRPL18/MRPL20/MRPL2/MRPS2/FXN/MRPL21/ME2/BCKDHA/MRPS35/NDUFAB1/POLG2/OAT/ALAS1/RPUSD4/REXO2/PDSS1/PAM16/TERT/MRPL32/MRPL1/MRPS17/MRPL33/PC/MCAT/DDX28/MRM1/MCCC2/MRPL50/MRPL52/MECR/MRPS7/COX10/PDE12/GLRX5/EARS2/FASTKD2/PTCD1/NDUFAF8/NSUN4/METTL8/NARS2/MRPL46/MRM3/MALSU1/MTRFR/MTERF3/CDK5RAP1/ISCA1/SDHAF2/TAMM41/FAHD1/FDX2/SDHAF1/ABHD11/ACSM3/AMT/LIPT1,139
GO:0030687,"preribosome, large subunit precursor",14/1811,16/12329,0.875,5.956860850358917,8.232348248637186,1.8674848279110227e-10,1.4566381657705976e-8,1.3096965964165461e-8,BOP1/PES1/NOC2L/PPAN/MRTO4/EBNA1BP2/RRS1/NIP7/WDR74/FTSJ3/WDR12/RRP15/MAK16/NSA2,14
GO:0005840,ribosome,68/1811,220/12329,0.3090909090909091,2.1042417549319814,6.857413226670776,5.455762731571385e-10,3.78266216055616e-8,3.401077819798302e-8,APEX1/EIF4G1/MRPS12/NPM1/RPL7L1/GCN1/RPS26/MRPL4/RPS17/RPL8/CALR/MRPL3/GSPT1/RPL18/RPL26/MRPL24/RPS27A/RPS12/RPL22L1/RPS15/DAP3/PNPT1/RPL14/ABCE1/RPL36/GADD45GIP1/RPL31/MRPS34/MRPL12/RPL37A/RPL34/RPS29/RPL35A/PTCD3/ZNF598/SF1/ETF1/MRPL41/MRPS26/MRPL36/USP10/MRPS23/MRPS30/RPL36A/MRPS21/MRPS5/MRPS25/MRPL14/MRPL18/MRPL20/MRPL2/MRPS2/MRPL21/RPS14/MRPS35/TIFAB/MRPL32/MRPL1/MRPS17/MRPL33/LARP4/MRPL50/MRPL52/MRPS7/NSUN4/MRPL46/HSPA14/PELO,68
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,16/1811,22/12329,0.7272727272727273,4.951157070428191,7.6965924326877655,1.3676755310549902e-9,8.534295313783139e-8,7.673379558445366e-8,NOP56/DKC1/RRP9/NHP2/NOP58/SNU13/GAR1/MPHOSPH10/FBL/RPP25/POP1/NOP10/LSM6/NAF1/RPP38/POP7,16
