ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0140098,"catalytic activity, acting on RNA",175/3757,385/12213,0.45454545454545453,1.4776054395431557,6.347102026511352,5.43241596224594e-10,5.519334617641875e-7,5.237992654123454e-7,DDX21/PUS1/APEX1/EXOSC5/FARSA/LARS1/NOP2/RNASET2/VARS1/POLR1A/POLR1C/DHX37/PUS7/NAT10/EIF4A1/CNOT6L/PAN2/NSUN2/TRMT1/PLD6/FTSJ3/RNASE2/DHX9/DDX54/IARS1/POLRMT/TMT1A/YARS1/POLR1B/DDX51/ELAC2/KARS1/DDX56/QTRT1/DDX10/PNPT1/NARS1/DDX55/TFB2M/EXOSC2/TRMT61A/DDX18/SUPV3L1/EXOSC7/PIF1/EXOSC4/ADAT2/POLR3K/DHX33/ISG20L2/BUD23/DDX41/DDX27/DDX31/DHX30/DCP2/RCL1/TRMT2A/DDX49/NOB1/PTRH2/RNASEH1/DUS1L/DDX1/ETF1/PRIM1/FBL/MARS2/AARSD1/PAN3/CARS2/DDX19A/SPOUT1/NSUN5/RPP25/POLR2F/METTL1/TARBP1/DUS3L/FARSB/TRMT1L/TRMT10C/POP1/POLR3A/GARS1/RNASEL/ADAT1/POLR3H/ENDOG/QTRT2/METTL2B/TRUB2/POLR2H/DIS3/TGS1/POLR2E/METTL16/SEPSECS/MARF1/MTO1/DIS3L/RPUSD4/POLR2I/REXO2/TARS2/POLR1H/CMTR1/XRN1/DIMT1/RNASEH2A/TERT/LRRC47/HARS1/ADARB1/POLR3G/DDX47/DDX28/FMR1/MRM1/ZC3H12C/DDX60L/EXOSC3/TYW1/POLR2L/DHX34/PIWIL4/GATC/PDE12/QTMAN/EARS2/DHX36/QRSL1/FTSJ1/PRIMPOL/METTL3/RNASE3/ERI3/TYW3/TRMT44/RLIG1/ERI2/BRIP1/NSUN4/RPP38/METTL8/DHX40/NARS2/SLFN5/ZC3H12D/METTL2A/PUSL1/TSR3/EMG1/MRM3/RPP14/MTFMT/DDX60/TARS3/TRDMT1/CDK5RAP1/POP7/TSEN2/TSEN34/TRMT2B/TOE1/THUMPD2/NT5C3A/DTD2/GGT1/ISG20/NUDT12/ANG/FDXACB1/PUS10/RNASE6,175
GO:0030515,snoRNA binding,26/3757,32/12213,0.8125,2.641219723183391,6.1962902521373024,5.139008365171729e-9,2.6106162495072385e-6,2.477542980261739e-6,DDX21/NOP56/DKC1/WDR3/TSR1/RRP9/NHP2/NOP58/NOP14/DHX37/SNU13/BYSL/IMP4/HEATR1/GAR1/BMS1/NUDT7/UTP6/IMP3/TBL3/UTP25/NOP10/NUDT16L1/NUFIP1/SDE2/ISG20,26
GO:0140101,"catalytic activity, acting on a tRNA",71/3757,147/12213,0.48299319727891155,1.5700814262356526,4.634953768420598,5.72768115462341e-6,0.001939774684365795,0.0018408968202228222,PUS1/FARSA/LARS1/VARS1/PUS7/NAT10/NSUN2/TRMT1/IARS1/YARS1/ELAC2/KARS1/QTRT1/NARS1/TRMT61A/ADAT2/TRMT2A/PTRH2/DUS1L/ETF1/MARS2/AARSD1/CARS2/RPP25/METTL1/TARBP1/DUS3L/FARSB/TRMT1L/TRMT10C/POP1/GARS1/ADAT1/QTRT2/METTL2B/TRUB2/SEPSECS/MTO1/RPUSD4/TARS2/LRRC47/HARS1/ADARB1/TYW1/GATC/QTMAN/EARS2/QRSL1/FTSJ1/TYW3/TRMT44/RPP38/METTL8/NARS2/METTL2A/PUSL1/RPP14/MTFMT/TARS3/TRDMT1/CDK5RAP1/POP7/TSEN2/TSEN34/TRMT2B/THUMPD2/NT5C3A/DTD2/GGT1/ANG/PUS10,71
GO:0008173,RNA methyltransferase activity,35/3757,63/12213,0.5555555555555556,1.8059622038860794,4.2749232274409446,3.684745452925495e-5,0.009359253450430757,0.008882175881262508,NOP2/NSUN2/TRMT1/FTSJ3/TMT1A/TFB2M/TRMT61A/BUD23/TRMT2A/FBL/SPOUT1/NSUN5/METTL1/TARBP1/TRMT1L/TRMT10C/METTL2B/TGS1/METTL16/CMTR1/DIMT1/MRM1/FTSJ1/METTL3/TYW3/TRMT44/NSUN4/METTL8/METTL2A/EMG1/MRM3/TRDMT1/TRMT2B/THUMPD2/FDXACB1,35
GO:0016741,"transferase activity, transferring one-carbon groups",81/3757,181/12213,0.44751381215469616,1.4547474548430408,4.108394707322663,4.606731611640588e-5,0.009360878634853674,0.008883718223711113,PRMT1/NOP2/GART/NSUN2/TRMT1/FTSJ3/ATIC/TMT1A/PRMT5/NSD2/PRMT2/EEF1AKMT4/TFB2M/TRMT61A/METTL13/BUD23/PRDM1/EZH2/SMYD3/TRMT2A/COMT/TYMS/FBL/SPOUT1/GCSH/NSUN5/METTL1/TARBP1/EEF2KMT/FAM98A/SMYD5/CAD/TRMT1L/TRMT10C/WDR5/SAMTOR/METTL2B/TGS1/METTL16/KMT2C/CMTR1/DIMT1/MRM1/SETD6/COQ5/GATM/SIRT7/DNMT3B/ANTKMT/FTSJ1/SETD1A/PEMT/METTL3/DPH5/TYW3/TRMT44/PCMTD1/NTMT1/NSUN4/RRP8/METTL8/PRMT3/METTL2A/EMG1/TPMT/MRM3/MTFMT/COMTD1/ETFBKMT/TRDMT1/PRDM8/TRMT2B/THUMPD2/CARNMT1/VCPKMT/CAMKMT/ASMTL/PRDM13/AMT/FDXACB1/EEF1AKMT3,81
GO:0030228,lipoprotein particle receptor activity,11/3757,14/12213,0.7857142857142857,2.5541465454960264,3.87815692052079,3.131240246288324e-4,0.04339532448603212,0.041183295927481794,SORL1/LDLR/CD36/SCARB1/APOBR/LRP10/LRP8/STAB1/CXCL16/LRP12/LRP1,11
GO:0140102,"catalytic activity, acting on a rRNA",15/3757,22/12213,0.6818181818181818,2.216408159314734,3.806295553147906,3.3017133460682866e-4,0.04339532448603212,0.041183295927481794,NOP2/FTSJ3/TFB2M/BUD23/FBL/SPOUT1/NSUN5/DIMT1/MRM1/NSUN4/TSR3/EMG1/MRM3/TRMT2B/FDXACB1,15
GO:0008168,methyltransferase activity,74/3757,171/12213,0.4327485380116959,1.4067495061849458,3.5703211804028623,3.416954683939537e-4,0.04339532448603212,0.041183295927481794,PRMT1/NOP2/NSUN2/TRMT1/FTSJ3/TMT1A/PRMT5/NSD2/PRMT2/EEF1AKMT4/TFB2M/TRMT61A/METTL13/BUD23/PRDM1/EZH2/SMYD3/TRMT2A/COMT/TYMS/FBL/SPOUT1/NSUN5/METTL1/TARBP1/EEF2KMT/FAM98A/SMYD5/TRMT1L/TRMT10C/WDR5/SAMTOR/METTL2B/TGS1/METTL16/KMT2C/CMTR1/DIMT1/MRM1/SETD6/COQ5/SIRT7/DNMT3B/ANTKMT/FTSJ1/SETD1A/PEMT/METTL3/DPH5/TYW3/TRMT44/PCMTD1/NTMT1/NSUN4/RRP8/METTL8/PRMT3/METTL2A/EMG1/TPMT/MRM3/COMTD1/ETFBKMT/TRDMT1/PRDM8/TRMT2B/THUMPD2/CARNMT1/VCPKMT/CAMKMT/ASMTL/PRDM13/FDXACB1/EEF1AKMT3,74
GO:0038024,cargo receptor activity,25/3757,45/12213,0.5555555555555556,1.8059622038860794,3.6102962505366314,4.690355691448183e-4,0.049587720501867036,0.047060041421166814,TFRC/SORL1/ITGB2/LDLR/HMMR/CD36/SCARB1/CD320/APOBR/LRP10/SCARB2/LRP8/ABCA1/AMN/ABCA7/SSC5D/STBD1/ENPP2/STAB1/DAB2/CXCL16/LRP12/SCARF1/LRP1/TFR2,25
GO:0004518,nuclease activity,81/3757,192/12213,0.421875,1.3714025485759915,3.4574563311374504,4.880681151758567e-4,0.049587720501867036,0.047060041421166814,NME1/APEX1/EXOSC5/ANKLE1/RNASET2/CNOT6L/PAN2/PLD6/RNASE2/POLRMT/LAS1L/REXO4/ELAC2/AEN/PNPT1/EXOSC2/EXOSC7/EXOSC4/PLSCR1/ISG20L2/DCP2/RCL1/HMGA1/NOB1/RNASEH1/DDX1/PAN3/RPP25/POLD1/SLX1B/NEIL3/POP1/RNASEL/ENDOG/GEN1/MGME1/DIS3/MARF1/REXO1/SLX1A/DIS3L/REXO2/XRN1/RNASEH2A/ZC3H12C/EXOSC3/N4BP2/PIWIL4/PDE12/RNASE3/DCLRE1A/MEIOB/ERI3/TATDN1/DNASE1/ERI2/RPP38/REXO5/NTHL1/DFFB/SLFN5/ZC3H12D/EME2/EME1/RPP14/ENPP2/FAN1/WRN/POP7/TSEN2/TSEN34/DNA2/TOE1/OGG1/NEIL2/ENDOD1/ISG20/NUDT12/ANG/RNASE6/APLF,81
