ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044391,ribosomal subunit,127/4175,146/9624,0.8698630136986302,2.0051644655893694,10.712239691239335,2.664458853074373e-28,1.6679512420245574e-25,1.3883232971282257e-25,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/RPL30/RPS8/RPS15/RPL3/RPLP0/RPL4/RPL39/MRPS34/RPS21/MRPL19/RPL35/RPS3A/RPL21/RPL24/RPS29/MRPL28/RPL37A/RPL12/RACK1/RPS12/MRPL24/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/MRPL41/RPL9/MRPL9/MRPL54/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/RPL7L1/GADD45GIP1/AURKAIP1/RPS7/MRPL27/RBM3/RPS15A/MRPL16/RPL31/MRPL10/MRPS15/MRPL57/MRPL11/MRPL20/RPS24/MRPS18B/MRPL44/MRPS21/NPM1/MRPL43/MRPS18C/RPL34/MRPL52/MRPS23/MRPL36/RPL23/MRPL18/RPS27L/MRPL14/MRPS33/RPS27A/MRPS10/MRPL32/MRPL51/MRPS7/MRPL15/MRPL33/MRPL21/DDX3X/DHX29/MRPL45/MRPL17/MRPL55/MRPL35/MRPL47/MRPS22/MRPS2/MRPS26/RPL26L1/DAP3/MRPS18A/MRPL58/MRPL37/MRPL50/TIFAB/MRPS14,127
GO:0005840,ribosome,147/4175,182/9624,0.8076923076923077,1.861851681252879,10.274514466319324,1.8207609310618327e-25,5.698981714223537e-23,4.743561373029512e-23,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/EEF1A1/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL27/RPL18A/RPS9/RPL18/CALR/RPS28/RPS18/EEF2/RPL30/RPS8/RPS15/RPL3/EIF4G1/RPLP0/RPL4/RPL39/MRPS34/RPS21/MRPL19/RPL35/RPS3A/RPL21/RPL24/RPS29/MRPL28/RPL37A/RPL12/RACK1/RPS12/MRPL24/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/GSPT1/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/MRPL41/RPL9/MRPL9/RPL22L1/MRPL54/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/RPL7L1/GADD45GIP1/AURKAIP1/RPS7/ABCE1/APEX1/MRPL27/RBM3/RPS15A/GCN1/MRPL16/RPL31/MRPL10/MRPS15/MRPL57/MRPL11/MRPL20/RPS24/MRPS18B/MRPL44/SRP68/MRPS21/SERP1/NPM1/MRPL43/MRPS18C/RPL34/MRPL52/ZNF598/MRPS23/SF1/MRPL36/RPL23/MRPL18/RPS27L/RNF10/MRPL14/MRPS33/RPS27A/MRPS10/MRPL32/MRPL51/MRPS7/MRPL15/RNF14/MRPL33/MRPL21/DDX3X/DHX29/ETF1/MRPL45/MRPL17/MRPL55/MRPL35/MRPL47/MTG2/MRPS22/MRPS2/MRPS26/RPL26L1/DAP3/MRPS18A/RNF25/MRPL58/MRPL37/DNAJC21/MRPL50/TIFAB/RRBP1/MRPS14,147
GO:0022626,cytosolic ribosome,85/4175,97/9624,0.8762886597938144,2.019976541761837,8.83737017775816,8.677027686371029e-20,1.8106064438894214e-17,1.5070627034223366e-17,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/EEF1A1/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/RPL30/RPS8/RPS15/RPL3/RPLP0/RPL4/RPL39/RPS21/RPL35/RPS3A/RPL21/RPL24/RPS29/RPL37A/RPL12/RACK1/RPS12/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/GSPT1/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/RPL9/RPL36AL/RPL7/RPS20/RPL10A/RPL7L1/RPS7/ABCE1/RPS15A/GCN1/RPL31/RPS24/RPL34/ZNF598/RPL23/RPS27L/RNF10/RPS27A/RNF14/DDX3X/DHX29/ETF1/RPL26L1/RNF25/TIFAB,85
GO:0015934,large ribosomal subunit,78/4175,90/9624,0.8666666666666667,1.997796407185629,8.32435696976495,1.2485359690284212e-17,1.953958791529479e-15,1.626382380708075e-15,RPL36/RPLP1/RPL13A/RPL10/RPL7A/RPL8/RPL29/RPL13/RPLP2/RPL23A/RPL41/RPL27/RPL18A/RPL18/RPL30/RPL3/RPLP0/RPL4/RPL39/MRPL19/RPL35/RPL21/RPL24/MRPL28/RPL37A/RPL12/MRPL24/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPL27A/RPL14/RPL11/MRPL41/RPL9/MRPL9/MRPL54/RPL36AL/RPL7/RPL10A/RPL7L1/GADD45GIP1/MRPL27/RBM3/MRPL16/RPL31/MRPL10/MRPL57/MRPL11/MRPL20/MRPL44/NPM1/MRPL43/RPL34/MRPL52/MRPL36/RPL23/MRPL18/MRPL14/MRPL32/MRPL51/MRPL15/MRPL33/MRPL21/MRPL45/MRPL17/MRPL55/MRPL35/MRPL47/RPL26L1/MRPS18A/MRPL58/MRPL37/MRPL50/TIFAB,78
GO:0019866,organelle inner membrane,257/4175,406/9624,0.6330049261083743,1.4591711158962861,8.274548479072719,1.3067611411279335e-16,1.636064948692173e-14,1.3617826628596362e-14,COX6B1/RPS3/PHB2/SLC25A6/COX5B/TYMS/NDUFS2/UQCRQ/STOML2/SLC25A5/MRPS34/NDUFA2/MRPL19/NDUFV1/PGAM5/UQCRC1/TIMM44/ATP5F1B/MRPL28/SLC25A3/CYC1/ACADVL/UQCRH/NDUFB9/ATAD3A/NDUFS6/EMD/NDUFS3/MRPL24/COXFA4/ATP5F1D/SHMT2/SLC25A39/ATP5MC3/GHITM/AFG3L2/ATP5F1A/NDUFS8/NDUFB7/TOMM40/HADHA/MRPL41/TIMM10/NDUFB2/MRPL9/COX4I1/COX6C/MRPL54/TRAP1/ROMO1/PMPCA/COX7C/ATP5MJ/ATP5PB/SLC25A1/CHCHD10/TIMM13/CHCHD1/CYCS/SLC75A1/GRPEL1/FPGS/NDUFA1/NDUFS5/NDUFB3/GADD45GIP1/NDUFA8/TMEM43/UQCRFS1/NDUFB11/TAFAZZIN/SMDT1/AURKAIP1/COA3/MRPL27/SLC25A11/BCS1L/MRPL16/MRPL10/NDUFA6/HCCS/MRPS15/FOXRED1/COX11/SDHC/ECSIT/COX5A/MRPL57/MRPL11/HSPD1/OXA1L/MRPL20/MRPS18B/MRPL44/TMEM14C/MRPS21/SAMM50/NDUFB6/COQ5/TIMM50/UQCRB/SIGMAR1/ATP5PF/NDUFB10/COX7A2L/DMAC1/ATP5MC2/CBX3/TMEM70/MRPL43/MRPS18C/MRPL52/UQCR10/ATP5F1E/RCC1L/TIMM8B/MRPS23/DNAJC19/NME6/SURF1/ATP5ME/NDUFAB1/TMEM120A/GUF1/TMEM223/MTX1/TIMM17A/NDUFB4/MRPL36/MRPL18/ATP5MK/COX7B/GCAT/NDUFS1/AIFM1/NDUFB1/MRPL14/CPT2/COX7A2/SDHB/MRPS33/SLC25A15/NOA1/SQOR/SLC25A29/SLC25A23/MRPS10/HSPA9/CPOX/TIMM8A/MRPL32/MRPL51/COQ6/TM7SF2/NDUFAF3/NUTF2/LEMD2/ABCB8/ATAD3B/MRPS7/MRPL15/MRPL33/MRPL21/MPV17L2/NDUFS7/MICOS10/NME4/MTNAP1/YME1L1/SLC25A19/MRPL45/SCO1/ERAL1/MRPL17/MRPL55/LETM1/SFXN3/MPC2/MRPL35/UCP2/MRPL47/IFFO1/TIMM29/NDUFC1/CRAT/NDUFAF1/MTG2/MRPS22/SPG7/TMEM201/SPHK2/CCDC51/MRPS2/COQ10A/MRPS26/TMEM126B/ACAD9/ALAS1/LMNB1/TWNK/DNAJC30/ATP5F1C/NRM/COQ9/SLC41A3/LBR/DAP3/HADHB/KGD4/UQCC2/MRPS18A/STAT3/NDUFA12/NDUFA5/COQ7/SLC25A32/GRPEL2/SLC25A20/NDUFA3/PINK1/MRPL58/DNAJC11/SLC25A38/UQCC4/PPOX/SUN1/RDH13/UQCRHL/FDXR/TMPO/TIMM22/OCIAD2/ALDH18A1/COQ3/TMEM177/SLC25A4/MRPL37/LETMD1/LDHD/TMEM11/MRPL50/ZMPSTE24/COQ4/SUN2/UNC50/SMIM20/TIMM23/TIMM21/NDUFAF4/ATPAF2/SFXN4/FECH/CLPX/SRC/PISD/MRPS14/ABCB10,257
GO:0005743,mitochondrial inner membrane,238/4175,371/9624,0.6415094339622641,1.4787752796294202,8.231945209626366,1.8458447167116667e-16,1.9258313211025056e-14,1.602970411881184e-14,COX6B1/RPS3/PHB2/SLC25A6/COX5B/TYMS/NDUFS2/UQCRQ/STOML2/SLC25A5/MRPS34/NDUFA2/MRPL19/NDUFV1/PGAM5/UQCRC1/TIMM44/ATP5F1B/MRPL28/SLC25A3/CYC1/ACADVL/UQCRH/NDUFB9/ATAD3A/NDUFS6/NDUFS3/MRPL24/COXFA4/ATP5F1D/SHMT2/SLC25A39/ATP5MC3/GHITM/AFG3L2/ATP5F1A/NDUFS8/NDUFB7/TOMM40/HADHA/MRPL41/TIMM10/NDUFB2/MRPL9/COX4I1/COX6C/MRPL54/TRAP1/ROMO1/PMPCA/COX7C/ATP5MJ/ATP5PB/SLC25A1/CHCHD10/TIMM13/CHCHD1/CYCS/GRPEL1/FPGS/NDUFA1/NDUFS5/NDUFB3/GADD45GIP1/NDUFA8/UQCRFS1/NDUFB11/TAFAZZIN/SMDT1/AURKAIP1/COA3/MRPL27/SLC25A11/BCS1L/MRPL16/MRPL10/NDUFA6/HCCS/MRPS15/FOXRED1/COX11/SDHC/ECSIT/COX5A/MRPL57/MRPL11/HSPD1/OXA1L/MRPL20/MRPS18B/MRPL44/TMEM14C/MRPS21/SAMM50/NDUFB6/COQ5/TIMM50/UQCRB/ATP5PF/NDUFB10/COX7A2L/DMAC1/ATP5MC2/TMEM70/MRPL43/MRPS18C/MRPL52/UQCR10/ATP5F1E/RCC1L/TIMM8B/MRPS23/DNAJC19/NME6/SURF1/ATP5ME/NDUFAB1/GUF1/TMEM223/MTX1/TIMM17A/NDUFB4/MRPL36/MRPL18/ATP5MK/COX7B/GCAT/NDUFS1/AIFM1/NDUFB1/MRPL14/CPT2/COX7A2/SDHB/MRPS33/SLC25A15/NOA1/SQOR/SLC25A29/SLC25A23/MRPS10/HSPA9/CPOX/TIMM8A/MRPL32/MRPL51/COQ6/NDUFAF3/ABCB8/ATAD3B/MRPS7/MRPL15/MRPL33/MRPL21/MPV17L2/NDUFS7/MICOS10/NME4/MTNAP1/YME1L1/SLC25A19/MRPL45/SCO1/ERAL1/MRPL17/MRPL55/LETM1/SFXN3/MPC2/MRPL35/UCP2/MRPL47/TIMM29/NDUFC1/CRAT/NDUFAF1/MTG2/MRPS22/SPG7/SPHK2/CCDC51/MRPS2/COQ10A/MRPS26/TMEM126B/ACAD9/ALAS1/TWNK/DNAJC30/ATP5F1C/COQ9/SLC41A3/DAP3/HADHB/KGD4/UQCC2/MRPS18A/STAT3/NDUFA12/NDUFA5/COQ7/SLC25A32/GRPEL2/SLC25A20/NDUFA3/PINK1/MRPL58/DNAJC11/SLC25A38/UQCC4/PPOX/RDH13/UQCRHL/FDXR/TIMM22/OCIAD2/ALDH18A1/COQ3/TMEM177/SLC25A4/MRPL37/LETMD1/LDHD/TMEM11/MRPL50/COQ4/SMIM20/TIMM23/TIMM21/NDUFAF4/ATPAF2/SFXN4/FECH/CLPX/SRC/PISD/MRPS14/ABCB10,238
GO:0005759,mitochondrial matrix,254/4175,412/9624,0.616504854368932,1.4211359804662518,7.6474926792138564,1.9967894674391246e-14,1.7857002951669886e-12,1.4863320095975437e-12,RPS3/QARS1/TYMS/NDUFS2/POLRMT/NAXE/SLC25A5/MRPS34/TUFM/MRPL19/TIMM44/ATP5F1B/MPG/MRPL28/ACADVL/ATAD3A/GCDH/IDH3B/CLPP/FDPS/NDUFS3/MRPL24/ATP5F1D/IDH3G/SHMT2/MTHFD2/IDH2/ATP5F1A/NDUFS8/MPST/HADHA/PARK7/HARS2/PDHA1/MRPL41/LONP1/ACAT1/PRKACA/MRPL9/POLDIP2/MRPL54/TRAP1/ECH1/TRUB2/PMPCA/POLG/PPIF/OAT/ATP5PB/IARS2/CHCHD1/PITRM1/GRPEL1/ACO2/FPGS/IDH3A/MDH2/CCAR2/TBRG4/ECI1/GADD45GIP1/TP53/UQCRFS1/HSD17B10/TOP1MT/METTL17/HAX1/SMDT1/AURKAIP1/ECHS1/NAT8L/ABCE1/C1QBP/MRPL27/PGK1/NDUFAF8/MRPL16/MRPL10/MRPS15/VDAC2/PYCR1/COASY/MRPL57/MRPL11/HSPD1/OXA1L/MRPL20/MRPS18B/BCKDK/MRPL44/PRDX5/MRPS21/COQ5/PDHB/KARS1/ALDH2/GSTK1/PRDX3/MRPL43/MRPS18C/MRPL52/ACSS1/ATP5F1E/STAR/RCC1L/MRPS23/DNAJC19/NME6/NDUFAB1/YWHAG/LRRC59/GUF1/HPDL/ALDH1L2/MRPL36/ATG4D/FLAD1/SOD1/ACADS/TST/MRPL18/IVD/MCAT/ELAC2/NDUFS1/LACTB2/TXN2/CS/FASTK/PUS1/MRPL14/CPT2/SDHB/MRPS33/VDAC1/DHX30/MRPS10/HSPA9/FH/MRPL32/MRPL51/SHC1/MMAB/NUDT1/MRPS7/MRPL15/ALDH1B1/MTHFS/MRPL33/MTERF4/DARS2/MRPL21/NDUFS7/NME4/MTNAP1/HMGCL/PMPCB/NIPSNAP1/MRPL45/TK2/ERAL1/MRPL17/MRPL55/DLST/GOT2/TARS2/MRPL35/MRPL47/GLUD1/MTRFR/DNAJA3/ADPRS/SLIRP/GLRX5/CHPF/ALDH5A1/NDUFAF1/MTG2/MRPS22/TXNRD2/BOLA3/ABHD11/GFM1/IBA57/SUOX/ETHE1/PDK2/PDPR/ISCU/GSR/ACADSB/SUCLG1/MRPS2/MRPS26/MRM3/ALAS1/TFAM/TWNK/GRSF1/ATP5F1C/RPUSD4/NAXD/YARS2/REXO2/SDHAF1/DAP3/HADHB/ETFA/ACAA2/OGG1/GPT2/UQCC2/MRPS18A/SOD2/ALDH4A1/FAHD1/GRPEL2/TRMT10C/HAGH/RAD51/HSD17B8/MRPL58/MMUT/BCAT2/PIN4/RIDA/NFS1/CDK1/EXD2/FDXR/DLD/PCCB/ACAD8/ALDH18A1/COQ3/DLAT/MTERF2/GLS/EARS2/RNASEL/MRPL37/MRPL50/HADH/GARS1/SSBP1/D2HGDH/ISCA2/OXSM/FECH/CLPX/ACADM/CCNB1/MRPS14/DGUOK,254
GO:0022625,cytosolic large ribosomal subunit,43/4175,45/9624,0.9555555555555556,2.202698602794411,7.078285170644023,7.42796544521027e-14,5.812382960877036e-12,4.837951178130373e-12,RPL36/RPLP1/RPL13A/RPL10/RPL7A/RPL8/RPL29/RPL13/RPLP2/RPL23A/RPL41/RPL27/RPL18A/RPL18/RPL30/RPL3/RPLP0/RPL4/RPL39/RPL35/RPL21/RPL24/RPL37A/RPL12/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPL27A/RPL14/RPL11/RPL9/RPL36AL/RPL7/RPL10A/RPL7L1/RPL31/RPL34/RPL23/RPL26L1/TIFAB,43
GO:0015935,small ribosomal subunit,51/4175,59/9624,0.864406779661017,1.9925870293311683,6.693868758549538,7.356484809863285e-12,5.116843878860462e-10,4.259017521499797e-10,RPS5/RPS16/RPS19/RPS4Y1/RPS2/RPS11/RPS3/FAU/RPS14/RPSA/RPS9/RPS28/RPS18/RPS8/RPS15/MRPS34/RPS21/RPS3A/RPS29/RACK1/RPS12/RPS27/RPS23/RPS25/RPS6/RPS13/CHCHD1/RPS20/AURKAIP1/RPS7/RPS15A/MRPS15/RPS24/MRPS18B/MRPS21/NPM1/MRPS18C/MRPS23/RPS27L/MRPS33/RPS27A/MRPS10/MRPS7/DDX3X/DHX29/MRPS22/MRPS2/MRPS26/DAP3/MRPS18A/MRPS14,51
GO:0098798,mitochondrial protein-containing complex,99/4175,141/9624,0.7021276595744681,1.618509364250223,6.476017879974473,8.133175363810791e-11,5.091367777745556e-9,4.237812426406675e-9,PHB2/SLC25A6/POLRMT/SLC25A5/TOMM7/MRPS34/MRPL19/TIMM44/MRPL28/MRPL24/AFG3L2/TOMM40/HADHA/MRPL41/TIMM10/MRPL9/MRPL54/ROMO1/PMPCA/POLG/PPIF/TOMM20/CHCHD10/TIMM13/CHCHD1/GRPEL1/GADD45GIP1/HSD17B10/SMDT1/AURKAIP1/MRPL27/MRPL16/MRPL10/MRPS15/BAX/MRPL57/MRPL11/MRPL20/MRPS18B/MRPL44/MRPS21/SAMM50/TIMM50/MRPL43/MRPS18C/TOMM40L/MRPL52/TIMM8B/MRPS23/DNAJC19/NDUFAB1/MTX1/TIMM17A/MRPL36/TOMM22/MRPL18/MRPL14/MRPS33/VDAC1/MRPS10/HSPA9/TIMM8A/MRPL32/MRPL51/MRPS7/MRPL15/MRPL33/MRPL21/MICOS10/PMPCB/MRPL45/MRPL17/MRPL55/MPC2/MRPL35/MRPL47/TIMM29/MRPS22/SPG7/ISCU/MRPS2/MRPS26/DAP3/HADHB/MRPS18A/GRPEL2/TRMT10C/MRPL58/DNAJC11/NFS1/TIMM22/SLC25A4/MRPL37/MRPL50/TIMM23/TIMM21/ISCA2/CLPX/MRPS14,99
