ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003735,structural constituent of ribosome,149/11094,155/14808,0.9612903225806452,1.2831068232174323,6.123638996483487,8.34787064973909e-13,9.775356530844475e-10,8.866317353249203e-10,SRBD1/RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPL27/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL18A/RPS9/RPL18/RPS28/RPS18/RPS8/RPL30/RPS15/RPL3/RPL4/RPLP0/MRPS34/RPL39/MRPL19/RPL35/RPS21/RPS3A/RPL21/MRPL28/RPL24/RPS29/RPL37A/RPL12/RPS12/MRPL24/RPS27/RPL6/RPL19/RPL28/RPL37/RPL22/RPL38/RPS25/RPS6/RPL27A/RPS23/RPL14/RPS13/MRPL1/RPL11/RPL22L1/MRPL54/MRPL41/MRPL9/RPL9/RPL36AL/RPL7/RPS20/RPL10A/RPL7L1/RPS17/MRPL42/RPS10/RPS4X/MRPL27/RPL26/RPL15/RPL17/RPS7/UBA52/RPL32/MRPL16/MRPS15/RPL35A/RPS15A/MRPL10/MRPL57/RPL31/RPL36A/MRPL11/RPS24/MRPS18B/MRPS21/MRPL20/MRPS18C/MRPS16/MRPL52/RPL34/MRPL43/RSL24D1/MRPS23/MRPS25/MRPL4/RPSA2/MRPS12/MRPL12/MRPS5/MRPL30/MRPL2/MRPL34/MRPL18/RPL23/MRPL49/MRPS11/MRPL36/MRPS24/RPL5/RPS27L/MRPS6/MRPL46/MRPS33/MRPL14/MRPS17/RPS27A/MRPS31/MRPL32/MRPL33/MRPL51/MRPL15/MRPL21/MRPS7/MRPL45/MRPL47/MRPL17/MRPL55/MRPL35/MRPS22/DAP3/MRPS2/RPL26L1/MRPS18A/MRPS30/MRPS35/MRPL37/RPS26/MRPS14,149
GO:0140098,"catalytic activity, acting on RNA",344/11094,397/14808,0.8664987405541562,1.1565813367699607,5.465688288277799,4.326978713883927e-9,2.533446036979039e-6,2.2978534327941486e-6,TRMT11/EIF4H/RNGTT/QTMAN/FTO/DIS3L2/FARS2/CDKAL1/PRIM2/PAN3/QARS1/VARS1/FBL/TYW1B/XRN1/POLRMT/NSUN6/EIF4B/BRIP1/METTL15/AGO3/POLR2E/FARSA/SND1/DDX60L/DDX27/ATE1/PSTK/CNOT6L/NSUN3/DROSHA/RARS2/TUT4/POLR3B/THUMPD2/DDX23/SNRNP200/TYW1/PARN/METTL8/DTWD2/DDX41/HELZ2/TUT7/HARS2/THG1L/DDX51/NSUN5/WARS2/TRMT1/ERI3/QTGAL/DHX35/DUS3L/DUS1L/IARS2/TRUB2/MEPCE/DDX10/FANCM/EXOG/DTWD1/FTSJ3/DDX54/PUS10/TSEN34/POLR1C/ELP3/NOB1/RAD54B/ZCCHC4/TFB1M/DICER1/POLR1H/APEX1/DHX37/AGO2/POLR2H/UPF1/EIF4A1/DDX39A/ANKZF1/SMG6/DHX16/ENDOG/POLR2L/NARS2/QTRT1/RPP14/CNOT2/KHNYN/RTCB/EIF4A2/TRIT1/DDX39B/WARS1/LARS2/DHX38/KARS1/FARSB/SKIC2/LRRC47/CNOT1/ALKBH1/RNASET2/NT5C3A/DDX56/DALRD3/YTHDC2/POLR2K/DDX19A/ADAT2/POLR2C/NOP2/POLR3H/TARBP1/TARS3/FEN1/DDX49/MRM2/EXOSC10/TSNAX/TRMT2A/RNASEK/QRSL1/RPP25/EXOSC5/EIF4A3/RNASEH1/RCL1/DDX59/AARS2/DDX47/SPOUT1/AQR/DDX5/RNASEH2A/EXOSC3/DHX40/POLR2J/EXOSC4/SARS2/THUMPD3/DDX31/MED20/LACTB2/POP5/ELAC2/DDX60/TSR3/CRCP/AARSD1/GGT1/DARS2/METTL6/DIMT1/PLD6/POP4/DDX19B/VARS2/EMG1/MARS2/PUS1/POLR2J3/TUT1/DHX30/TRMT5/EXOSC7/TRDMT1/METTL2B/MARF1/AGO4/PRIMPOL/DDX28/PRORP/AARS1/PPP1R8/MYG1/GTPBP3/TOE1/INTS11/RPP21/GATC/MED21/DTD2/DDX42/ETF1/CNOT8/ZC3H12C/DCPS/DDX3X/ADAT1/DDX18/TYW5/DHX32/NARS1/ADARB1/BUD23/TRMT61A/DHX29/DXO/ELAC1/FDXACB1/USB1/NSUN2/TRUB1/ERN1/TARS2/TRMT10B/MOV10/TARS1/TOP3B/DHX36/SARS1/BCDIN3D/DUS4L/N4BP1/POLR3G/ZC3H12D/PTRHD1/METTL1/DHX57/YARS1/METTL16/CPSF3/METTL5/TRMT61B/DTD1/TSEN2/POLR2J2/TMT1A/POP7/FTSJ1/MARS1/POLR2I/POLR2B/TRMU/OSGEPL1/LCMT2/JMJD6/POLR2F/DDX43/MTO1/TRMT13/MTREX/OSGEP/YARS2/MRM3/DDX24/PUS3/SAMHD1/SEPSECS/ISG20L2/HARS1/RPUSD4/DDX1/REXO2/DDX17/DHX33/ERI1/DBR1/ISG20/XRN2/PRIM1/ADAR/HENMT1/RARS1/PIWIL4/SLU7/PTRH1/RPP38/CMTR1/CARS1/RNASE2/POLR3K/TRMT10C/ALKBH5/TRPT1/CDK5RAP1/CNOT6/PIWIL2/SLFN12L/ALKBH8/PCIF1/MBLAC1/MRPL58/ZC3H12A/TRMT1L/RIDA/IARS1/POLR2A/DARS1/NOCT/METTL3/EXD2/PAN2/EXOSC2/POP1/TYW3/PNLDC1/PNPT1/METTL4/EARS2/NAT10/DIS3L/RIGI/NUDT12/DDX3Y/GARS1/RNASEL/DCP2/PUS7/ENDOV/YBEY/POLR3F/DHX9/FMR1/PUSL1/EPRS1/DDX46/DHX34/ANG/TDP2/RTCA/TDRD9/ZC3H12B/DDX55/POLR3A/LARS1/CMTR2/NUDT16/TDRD12/ADARB2/DDX21/EXOSC9/DHX8/ERI2/RNASE4/MTFMT/DHX15/DDX20/PDE12/DUS2/ALKBH3,344
GO:0015453,oxidoreduction-driven active transmembrane transporter activity,63/11094,65/14808,0.9692307692307692,1.2937055372966677,4.101403987032207,1.7404099559983345e-6,5.36851658212873e-4,4.8692824229114914e-4,COX6B1/COX5B/NDUFS2/NDUFA2/NDUFV1/UQCRC1/UQCRH/NDUFB9/CYC1/NDUFS6/NDUFS3/CYB561A3/COXFA4/MT-ND5/MT-ND6/NDUFS8/NDUFB7/MT-ND4/NDUFB2/COX4I1/MT-ND1/MT-CYB/MT-ND2/NDUFS5/NDUFB3/NDUFA1/NDUFA8/UQCRFS1/MT-ND4L/NDUFS4/MT-CO2/NDUFA6/COX5A/COX7A2L/NDUFB10/NDUFB6/NDUFB8/COX8A/NDUFB5/SURF1/UQCR10/NDUFC2/NDUFV2/NDUFB4/NDUFS1/NDUFA9/MT-CO1/COX7B/MT-CO3/NDUFB1/NDUFA7/COX7A2/CYB561D2/NDUFS7/MT-ND3/NDUFC1/NDUFA12/NNT/CYB561D1/NDUFA5/NDUFA3/NDUFA10/COX7A1,63
GO:0004518,nuclease activity,179/11094,203/14808,0.8817733990147784,1.1769695774843014,4.387857566522856,1.8338229144760819e-6,5.36851658212873e-4,4.8692824229114914e-4,ZRANB3/DIS3L2/RPS3/PAN3/XRN1/POLRMT/AGO3/SND1/TRIR/CNOT6L/DROSHA/REXO4/HMGA2/PARN/HELZ2/HMGA1/POLD1/ERI3/POLG/N4BP2/FANCM/EXOG/APTX/TSEN34/TATDN1/NOB1/PLD4/WRN/DICER1/APEX1/AGO2/DNASE2/ANKZF1/SMG6/ENDOG/TATDN2/MUS81/RPP14/ANKLE1/DNASE1L1/CNOT2/KHNYN/MRPL44/APLF/NME1/CNOT1/ALKBH1/RNASET2/ERCC1/AEN/FEN1/ERCC5/EXOSC10/TSNAX/RNASEK/RPP25/EXOSC5/RNASEH1/RCL1/RNASEH2A/EXOSC3/EXOSC4/MBD4/DCLRE1C/RBBP8/RAD50/LACTB2/POP5/ELAC2/TDP1/BIVM/SLX1B/SLX1A/PLD6/POP4/EXOSC7/TSN/MARF1/AGO4/PRORP/PPP1R8/GEN1/MYG1/MGME1/TOE1/INTS11/REXO5/RPP21/MRE11/CNOT8/ZC3H12C/SETMAR/DCPS/EXD3/TREX1/DNA2/DXO/ELAC1/USB1/ERN1/LAS1L/N4BP1/ZC3H12D/CPSF3/TSEN2/REXO1/PXDNL/POP7/FAN1/RAD1/NEIL2/SAMHD1/ISG20L2/DDX1/REXO2/NTHL1/ERI1/DBR1/ISG20/XRN2/DCLRE1B/OGG1/PIWIL4/RPP38/TREX2/DNASE1L2/RNASE2/XRCC3/DCLRE1A/XRCC1/DNASE1/CNOT6/PIWIL2/SLFN12L/MBLAC1/ZC3H12A/RIDA/PMS2/NOCT/EXD2/PAN2/ENDOD1/EXOSC2/POP1/PNLDC1/PNPT1/POLE/NEIL1/DIS3L/NUDT12/RNASEL/DCP2/ENDOV/YBEY/PLSCR1/EXO5/SLFN11/ANG/TDP2/EME1/PNKP/PLD3/EME2/ZC3H12B/TATDN3/NUDT16/NME7/PGBD5/EXOSC9/RAD51C/ERI2/MEIOB/RAG1/RNASE4/ENPP3/APEX2/PDE12/ERCC4/ENPP2,179
GO:0004527,exonuclease activity,79/11094,84/14808,0.9404761904761905,1.2553246284993174,4.055796130928321,4.408741182719822e-6,8.613420388558075e-4,7.812433072996629e-4,DIS3L2/PAN3/XRN1/POLRMT/TRIR/CNOT6L/REXO4/PARN/HELZ2/POLD1/ERI3/POLG/EXOG/APTX/TATDN1/PLD4/WRN/APEX1/TATDN2/CNOT2/APLF/NME1/CNOT1/AEN/FEN1/EXOSC10/EXOSC5/EXOSC3/EXOSC4/DCLRE1C/RAD50/TDP1/EXOSC7/MYG1/MGME1/TOE1/REXO5/MRE11/CNOT8/DCPS/EXD3/TREX1/DXO/USB1/CPSF3/REXO1/FAN1/RAD1/ISG20L2/DDX1/REXO2/ERI1/ISG20/XRN2/DCLRE1B/TREX2/DCLRE1A/CNOT6/ZC3H12A/NOCT/EXD2/PAN2/EXOSC2/PNLDC1/PNPT1/POLE/DIS3L/DCP2/EXO5/PLD3/TATDN3/NME7/EXOSC9/ERI2/MEIOB/ENPP3/APEX2/PDE12/ENPP2,79
GO:0009055,electron transfer activity,101/11094,110/14808,0.9181818181818182,1.225566645361129,4.103918911603092,4.947593092060039e-6,8.613420388558075e-4,7.812433072996629e-4,CYBA/ME1/COX6B1/COX5B/NDUFS2/ASPH/NDUFA2/NDUFV1/UQCRC1/IDH3B/UQCRH/NDUFB9/CYC1/NDUFS6/NDUFS3/COXFA4/MT-ND5/MT-ND6/NDUFS8/NDUFB7/MT-ND4/NDUFB2/ADH5/COX4I1/MT-ND1/MT-CYB/CYCS/MT-ND2/NDUFS5/NDUFB3/NDUFA1/AKR7A2/NDUFA8/UQCRFS1/MT-ND4L/NDUFS4/NDOR1/MT-CO2/SDHC/COX11/NDUFA6/COX5A/COX7A2L/NDUFB10/SDHA/NDUFB6/ALDH2/NDUFB8/UQCR11/SDHD/COX8A/NDUFB5/SURF1/UQCR10/NDUFC2/NDUFV2/NDUFB4/NDUFS1/NDUFA9/ETFB/MT-CO1/GFUS/COX7B/MT-CO3/DMGDH/SDHB/NDUFB1/NDUFA7/COX7A2/FDX2/CIAPIN1/AKR1B1/NDUFS7/NCF2/AKR7A3/MT-ND3/NCF1/NDUFC1/CYBB/P4HA2/GSR/ME2/POR/AIFM2/NDUFA12/PHGDH/SRD5A1/ETFA/NDUFA5/ALDH4A1/AKR1C4/NDUFA3/NDUFA10/DEGS1/HAAO/HSD17B6/COX7A1/CYP19A1/FDX1/QDPR/GLDC,101
GO:0003729,mRNA binding,282/11094,332/14808,0.8493975903614458,1.1337551395413998,4.2600225958421385,5.148927644740097e-6,8.613420388558075e-4,7.812433072996629e-4,CELF2/SRBD1/EIF4G3/RPS5/PABPC4/PTBP2/RPS2/RPL13A/RPS3/RBMS1/RPS14/RPL41/HNRNPA0/PCBP2/RC3H1/KHSRP/RBM42/CALR/IGF2BP2/SUPT5H/TYMS/KHDRBS2/STAU2/HNRNPAB/ATXN2/AUH/FUS/EIF4G1/TAF15/SRSF9/PKM/MSI2/CPEB3/RBFOX2/RPL35/EEFSEC/NSRP1/HNRNPK/YTHDF3/EIF2S2/HNRNPL/SPEN/RPS3A/RPL24/ZNF638/NHP2/QKI/PUM1/HNRNPM/SCAF8/HNRNPA3/SNRNP70/EIF4G2/CIRBP/TARDBP/EIF3D/ZFP36L2/HNRNPA2B1/KHDRBS1/DDX23/PAIP2/PUM3/PARN/CPEB2/RPS6/SNRPC/DDX41/PUM2/IGF2BP3/SSB/RPS13/RBM8A/LUC7L2/YBX3/PARK7/SECISBP2/ALYREF/MEX3D/YBX1/RNF40/GPATCH8/CCT5/SRSF3/RPL7/CELF1/LARP4B/ILF3/RBM47/EIF4E2/CPSF1/RNPS1/TP53/HNRNPA1/DAZAP1/RBM38/RPL26/THOC2/CNBP/NELFE/RPS7/PTBP1/AGO2/C1QBP/EIF4A1/LARP4/DDX39A/PTBP3/TIA1/LSM14B/ELAVL4/SF3B6/SYNCRIP/SRSF1/KHNYN/ATXN2L/RBM15B/CLUH/THOC5/DDX39B/NCBP2/SRSF2/NUDT21/NCL/PCBP1/RC3H2/CARHSP1/STRAP/HNRNPA1L3/SRSF5/DDX19A/ARID5A/SF1/RBMX/EIF2A/FXR2/RBM14/POLDIP3/ZNF385A/MRPL12/CSTF2T/CPEB4/HNRNPD/EIF4A3/DDX59/AQR/DDX5/SERBP1/EXOSC4/CSTF3/RBM4/RPL5/SRSF7/HNRNPC/SRSF6/RBMS2/XPO5/RBPMS/EIF4ENIF1/DDX19B/ELAVL1/TUT1/EXOSC7/PPP1R21/TSN/NUP98/PPP1R8/HSP90AA1/SAMD4A/ETF1/ZC3H12C/RBM19/RBM5/MRPS7/DDX3X/DCP1A/RNF20/ADARB1/SF3B1/PCBP4/DXO/YTHDF1/PCF11/SECISBP2L/PPIE/EDC3/HNRNPA1L2/EIF3A/DHX36/COPA/N4BP1/ZC3H12D/PABPC1/CPSF6/SRSF12/SLIRP/JRK/MBD2/MECP2/RBM15/DHFR/SHMT1/DDX43/IREB2/HNRNPR/SAMD4B/SHFL/SRRM2/YTHDF2/GRSF1/GNL3/CPSF7/MYH10/NCBP1/DDX17/SLBP/DHX33/TACO1/CSDE1/RARA/ANGEL2/TIAL1/RBM25/SRSF10/PEG10/RBFOX1/HNRNPLL/PIWIL2/DND1/ZC3H12A/RIDA/SLC4A1AP/EXOSC8/SNRNP35/NOCT/RBM4B/PCBP3/METTL3/NXF1/STAU1/NICOL1/UNK/RBFOX3/DDX3Y/CDC40/LSM1/ZAR1/CELF4/DHX9/RPS26/FMR1/SRSF8/KHDRBS3/ESRP2/FYTTD1/FUBP1/SNIP1/ZC3H12B/FECH/ZC3H14/TDRD7/ZFP36/NUDT16/UPF3A/TPR/DDX21/EXOSC9/RBM44/DCP1B/LARP1/ACO1/UPF3B/NANOS3/CELF3/DDX20/IGF2BP1/CRYZ/ESRP1/ZAR1L/CSTF2/PABPC1L/UTP23/RBMS3,282
GO:0140101,"catalytic activity, acting on a tRNA",133/11094,149/14808,0.8926174496644296,1.191443951201629,4.0591890667575035,8.810512997452728e-6,0.001289638840002143,0.0011697115282144478,TRMT11/QTMAN/FTO/FARS2/CDKAL1/QARS1/VARS1/TYW1B/NSUN6/FARSA/ATE1/PSTK/NSUN3/RARS2/THUMPD2/TYW1/METTL8/DTWD2/HARS2/THG1L/WARS2/TRMT1/QTGAL/DUS3L/DUS1L/IARS2/TRUB2/DTWD1/PUS10/TSEN34/ELP3/ANKZF1/NARS2/QTRT1/RPP14/TRIT1/WARS1/LARS2/KARS1/FARSB/LRRC47/ALKBH1/NT5C3A/DALRD3/ADAT2/TARBP1/TARS3/TRMT2A/QRSL1/RPP25/AARS2/SARS2/THUMPD3/POP5/ELAC2/AARSD1/GGT1/DARS2/METTL6/POP4/VARS2/MARS2/PUS1/TRMT5/TRDMT1/METTL2B/PRORP/AARS1/GTPBP3/RPP21/GATC/DTD2/ETF1/ADAT1/TYW5/NARS1/ADARB1/TRMT61A/ELAC1/NSUN2/TRUB1/TARS2/TRMT10B/TARS1/SARS1/BCDIN3D/DUS4L/PTRHD1/METTL1/YARS1/TRMT61B/DTD1/TSEN2/POP7/FTSJ1/MARS1/TRMU/OSGEPL1/LCMT2/MTO1/TRMT13/OSGEP/YARS2/PUS3/SEPSECS/HARS1/RPUSD4/ADAR/RARS1/PTRH1/RPP38/CARS1/TRMT10C/TRPT1/CDK5RAP1/ALKBH8/MRPL58/TRMT1L/IARS1/DARS1/POP1/TYW3/EARS2/NAT10/GARS1/PUS7/PUSL1/EPRS1/ANG/LARS1/ADARB2/MTFMT/DUS2,133
GO:0004386,helicase activity,128/11094,144/14808,0.8888888888888888,1.1864671594255152,3.8861006471631043,2.15931864729022e-5,0.00280951348441872,0.0025482485556910317,ZRANB3/MCM7/BRIP1/ERCC6L2/MCM9/DDX60L/XRCC6/DDX27/ATRX/RECQL4/DDX23/HELB/SNRNP200/DDX41/HELZ2/SMARCAD1/BTAF1/SHPRH/DDX51/ERCC2/MCM5/DHX35/DDX10/FANCM/DDX54/HELZ/RFC2/RAD54B/SETX/WRN/DICER1/POLQ/DHX37/RUVBL2/UPF1/CHD3/MCM4/EIF4A1/DDX39A/MCM2/DHX16/MCM3/ZGRF1/HELQ/EIF4A2/DDX39B/DHX38/SKIC2/DDX56/YTHDC2/DDX19A/RFC3/CHD1L/CHTF18/DDX49/EIF4A3/DDX59/DDX47/AQR/DDX5/HELLS/DHX40/CHTF8/DDX31/RAD50/DDX60/ASCC3/DDX19B/DHX30/DDX28/DSCC1/EP400/RAD54L2/NAV2/MRE11/DDX42/BLM/RUVBL1/DDX3X/ERCC6L/DDX18/SMARCA4/DHX32/DHX29/DNA2/MOV10/DHX36/DHX57/SRCAP/DDX43/SMARCA2/MTREX/RECQL/DDX24/ERCC6/TWNK/DDX1/DDX17/DHX33/XRCC5/RAD51/DDX11/SMARCA5/RECQL5/MCM8/WRNIP1/HFM1/RAD54L/FBH1/RIGI/RFC5/DDX3Y/CHD8/RTEL1/DHX9/DDX46/MCM6/DHX34/SLFN11/TDRD9/DDX55/TDRD12/DDX21/TTF2/DHX8/RFC4/DHX15/DDX20,128
GO:0120545,nucleic acid conformation isomerase activity,137/11094,156/14808,0.8782051282051282,1.1722067368362663,3.7369789435059078,4.802615285178802e-5,0.005623862498944377,0.00510088297131096,EIF4H/ZRANB3/MCM7/EIF4B/BRIP1/ERCC6L2/MCM9/DDX60L/XRCC6/DDX27/ATRX/RECQL4/DDX23/HELB/SNRNP200/DDX41/HELZ2/SMARCAD1/BTAF1/SHPRH/DDX51/ERCC2/MCM5/DHX35/DDX10/FANCM/DDX54/TP53/HELZ/TOP1MT/RFC2/RAD54B/SETX/WRN/DICER1/POLQ/DHX37/RUVBL2/UPF1/CHD3/MCM4/EIF4A1/DDX39A/MCM2/DHX16/MCM3/ZGRF1/HELQ/EIF4A2/DDX39B/DHX38/SKIC2/DDX56/YTHDC2/DDX19A/RFC3/CHD1L/CHTF18/DDX49/EIF4A3/DDX59/DDX47/AQR/DDX5/HELLS/DHX40/CHTF8/DDX31/RAD50/DDX60/ASCC3/DDX19B/DHX30/DDX28/DSCC1/EP400/RAD54L2/NAV2/MRE11/DDX42/BLM/RUVBL1/DDX3X/ERCC6L/DDX18/SMARCA4/DHX32/DHX29/DNA2/MOV10/TOP3B/DHX36/DHX57/SRCAP/DDX43/SMARCA2/MTREX/RECQL/DDX24/ERCC6/TWNK/DDX1/DDX17/DHX33/XRCC5/RAD51/DDX11/SMARCA5/RECQL5/MCM8/WRNIP1/HFM1/SMARCAL1/RAD54L/FBH1/RIGI/RFC5/DDX3Y/CHD8/RTEL1/DHX9/FMR1/DDX46/MCM6/DHX34/SLFN11/TDRD9/TOP2B/DDX55/TDRD12/DDX21/TTF2/DHX8/RFC4/TOP2A/DHX15/DDX20,137
