ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0002181,cytoplasmic translation,154,0.735262035687343,2.4144543892212833,1e-10,1.2506666666666667e-7,1.1266666666666667e-7,971,"tags=44%, list=10%, signal=40%",RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/EIF4B/EEF2/RPL30/RPS8/RPS15/AKT1/RPL3/EEF1D/EIF3L/PKM/EIF4G1/RPLP0/RPL4/RPL39/RPS21/RPL35/EIF2S2/RPS3A/RPL21/RPL24/RPS29/RPL37A/EIF3F/RPL12/RACK1/EIF3I/RPS12/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/EIF3D/RPS23/RPS25/RPS6/RPL27A/CPEB2/RPS13/RPL14/RPL11/YBX3/RPL9/RPL22L1/YBX1/RPL36AL/RPL7/RNH1/EIF3J/RPS20/RPL10A/EIF3B/EIF3K/EIF2S3/RPS7/ABCE1/RPS15A/CNBP/RPL31
GO:0022613,ribonucleoprotein complex biogenesis,383,0.5742837359840656,2.0559010243799034,1e-10,1.2506666666666667e-7,1.1266666666666667e-7,1406,"tags=31%, list=14%, signal=27%",RPL27/FBL/RPS9/RPS28/NOP9/EIF4B/SNRPD2/RPS8/WDR46/PUF60/RPS15/XAB2/SRSF9/EIF3L/GLUL/RPLP0/RPS21/RPL35/EIF2S2/PIH1D1/PRMT5/RPS3A/RPL24/DDX27/EIF3F/SF3A2/NHP2/EIF3I/RPS12/NPM3/REXO4/RPS27/SNRPB/SART1/RPL38/EIF3D/HSP90AB1/DDX23/LSM4/SNRNP200/RPS23/U2AF2/RPS25/RPS6/SF3A1/RPS13/RPL14/SNRPC/IMP3/RPL11/LUC7L2/SF3B2/DDX51/NSUN5/PRPF19/RRP7A/ERCC2/KRI1/NSA2/RPL7/NOL6/SART3/EIF3J/PELP1/BYSL/FTSJ3/DDX54/EIF3B/RRP1/SMN1/SMN2/BOP1/EIF6/RAN/RPL7L1/WDR74/EIF3K/PRMT7/PRPF6/NOC2L/SNU13/EIF2S3/NOB1/MYBBP1A/PES1/METTL17/RUVBL2/RPS7/RBM10/C1QBP/DHX37/RPS15A/WDR18/SNRPE/SF3B6/PRPF31/ABT1/GRWD1/RPS24/SNRPD1/TRMT112/TSSC4/DENR/NPM1/TBL3/SURF6/NLE1/WDR77/SRSF5/DDX56/STRAP/NOP56/EBNA1BP2/CD2BP2/SNRPG/RSL24D1/SNRPB2/RCC1L
GO:0042254,ribosome biogenesis,257,0.5715047898223342,1.9580807594350933,1e-10,1.2506666666666667e-7,1.1266666666666667e-7,1655,"tags=33%, list=17%, signal=28%",RPL27/FBL/RPS9/RPS28/NOP9/RPS8/WDR46/RPS15/GLUL/RPLP0/RPS21/RPL35/PIH1D1/RPS3A/RPL24/DDX27/NHP2/RPS12/NPM3/REXO4/RPS27/SART1/RPL38/RPS23/RPS25/RPS6/RPS13/RPL14/IMP3/RPL11/DDX51/NSUN5/RRP7A/ERCC2/KRI1/NSA2/RPL7/NOL6/PELP1/BYSL/FTSJ3/DDX54/RRP1/BOP1/EIF6/RAN/RPL7L1/WDR74/NOC2L/SNU13/NOB1/MYBBP1A/PES1/METTL17/RPS7/RBM10/C1QBP/DHX37/RPS15A/WDR18/ABT1/GRWD1/RPS24/TRMT112/NPM1/TBL3/SURF6/NLE1/DDX56/NOP56/EBNA1BP2/RSL24D1/RCC1L/RPP25/EIF4A3/RRP9/TSR1/NOL7/POP5/RPS19BP1/NOC4L/RPS27L/LTV1/MCAT/NOP10
GO:0042274,ribosomal small subunit biogenesis,89,0.7309990035174858,2.187020088184146,2.2855827289767e-10,1.8217019823827664e-7,1.6410854745345816e-7,1647,"tags=47%, list=17%, signal=40%",FBL/RPS9/RPS28/NOP9/RPS8/WDR46/RPS15/RPS21/RPS3A/RPS12/RPS27/RPS23/RPS25/RPS6/RPS13/IMP3/RRP7A/ERCC2/KRI1/NOL6/BYSL/SNU13/NOB1/METTL17/RPS7/DHX37/RPS15A/ABT1/RPS24/TRMT112/NPM1/TBL3/SURF6/NOP56/RCC1L/RRP9/TSR1/NOL7/RPS19BP1/RPS27L/LTV1/MCAT
GO:0071826,protein-RNA complex organization,173,0.6100617205448534,2.037002937485173,2.427641234518612e-10,1.8217019823827664e-7,1.6410854745345816e-7,1406,"tags=36%, list=14%, signal=32%",RPS28/EIF4B/SNRPD2/PUF60/RPS15/VCP/XAB2/SRSF9/EIF3L/EIF2S2/PIH1D1/PRMT5/RPL24/EIF3F/SF3A2/EIF3I/RPS27/SNRPB/SART1/RPL38/EIF3D/HSP90AB1/DDX23/LSM4/SNRNP200/U2AF2/RPS6/SF3A1/SNRPC/RPL11/LUC7L2/SF3B2/PRPF19/RRP7A/SART3/EIF3J/EIF3B/SMN1/SMN2/BOP1/EIF6/EIF3K/PRMT7/PRPF6/SNU13/EIF2S3/METTL17/RUVBL2/SNRPE/SF3B6/TFIP11/PRPF31/ABT1/SNRPD1/TSSC4/DENR/WDR77/SRSF5/STRAP/CD2BP2/SNRPG/SNRPB2/RCC1L
GO:0045333,cellular respiration,222,0.5532589380444891,1.8734172945141965,3.641453987682333e-10,2.2771225602973525e-7,2.0513524130610478e-7,1248,"tags=34%, list=13%, signal=30%",COX5B/NDUFS2/UQCRQ/ENO1/GAPDH/VCP/TPI1/STOML2/PKM/CHCHD2/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/UQCRH/NDUFB9/IDH3B/NDUFS6/ATP5IF1/GPI/NDUFS3/COXFA4/ATP5F1D/IDH3G/SHMT2/DDIT4/IDH2/GHITM/ATP5F1A/NDUFS8/NDUFB7/PARK7/PDHA1/PRKACA/NDUFB2/GALK1/COX4I1/COX6C/TRAP1/COX7C/PPIF/ATP5PB/CYCS/ACO2/IDH3A/MDH2/EIF6/RAN/NDUFA1/NDUFS5/NDUFB3/NDUFA8/UQCRFS1/NDUFB11/IL10RB/MACROH2A1/MYBBP1A/ABCD1/PGK1/PFKL/NDUFA6/HCCS/MFN2/SDHC/COX5A/SIRT6/OXA1L/BCKDK/NDUFB6/PDHB/UQCRB/ATP5PF/NDUFB10/COX7A2L
GO:0015980,energy derivation by oxidation of organic compounds,278,0.5209088149943394,1.8116135545538996,4.980848098012436e-10,2.3360177579678325e-7,2.1044083214102542e-7,1316,"tags=31%, list=13%, signal=28%",COX5B/NDUFS2/UQCRQ/ENO1/GAPDH/VCP/TPI1/AKT1/STOML2/PKM/CHCHD2/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/PPP1CA/CYC1/ACADVL/UQCRH/NDUFB9/IDH3B/NDUFS6/ATP5IF1/GPI/NDUFS3/COXFA4/ATP5F1D/IDH3G/SHMT2/DDIT4/IDH2/GHITM/ATP5F1A/NDUFS8/NDUFB7/PARK7/PDHA1/PRKACA/NDUFB2/GALK1/COX4I1/COX6C/TRAP1/COX7C/PPIF/ATP5PB/CYCS/ACO2/IDH3A/MDH2/EIF6/RAN/NDUFA1/NDUFS5/NDUFB3/NDUFA8/TP53/UQCRFS1/NDUFB11/IL10RB/COMT/MACROH2A1/MYBBP1A/ABCD1/PGK1/PFKL/NDUFA6/GYS1/HCCS/MFN2/SDHC/HMGB1/SELENON/COX5A/SIRT6/OXA1L/BCKDK/PPP1CC/NDUFB6/PDHB/UQCRB/ATP5PF/NDUFB10/COX7A2L/GAA/AKT2/PYGB
GO:0006091,generation of precursor metabolites and energy,315,0.5071763618438492,1.7594072074559066,4.743017252886661e-10,2.3360177579678325e-7,2.1044083214102542e-7,1292,"tags=30%, list=13%, signal=26%",TKT/COX5B/TALDO1/NDUFS2/UQCRQ/ENO1/GAPDH/VCP/TPI1/AKT1/STOML2/PKM/CHCHD2/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/PPP1CA/CYC1/ACADVL/UQCRH/NDUFB9/IDH3B/NDUFS6/ATP5IF1/GPI/NDUFS3/PGLS/COXFA4/ATP5F1D/IDH3G/SHMT2/DDIT4/IDH2/GHITM/ATP5F1A/NDUFS8/NDUFB7/PGD/PARK7/PDHA1/ACAT1/G6PD/PRKACA/NDUFB2/GALK1/COX4I1/COX6C/TRAP1/COX7C/PPIF/ATP5PB/CYCS/ACO2/IDH3A/MDH2/EIF6/RAN/NDUFA1/NDUFS5/NDUFB3/NDUFA8/TP53/UQCRFS1/NDUFB11/IL10RB/COMT/MACROH2A1/MYBBP1A/NDOR1/ABCD1/PGK1/PFKL/NDUFA6/GYS1/HCCS/MFN2/SDHC/HMGB1/SELENON/COX5A/SIRT6/OXA1L/BCKDK/PPP1CC/NDUFB6/PDHB/UQCRB/ATP5PF/NDUFB10/COX7A2L/GAA/AKT2
GO:0009060,aerobic respiration,201,0.5753030748069753,1.9392299962496253,5.63719932767096e-10,2.350085764157938e-7,2.1170815252808714e-7,1248,"tags=35%, list=13%, signal=31%",COX5B/NDUFS2/UQCRQ/ENO1/GAPDH/VCP/TPI1/STOML2/PKM/CHCHD2/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/UQCRH/NDUFB9/IDH3B/NDUFS6/ATP5IF1/GPI/NDUFS3/COXFA4/ATP5F1D/IDH3G/SHMT2/DDIT4/IDH2/GHITM/ATP5F1A/NDUFS8/NDUFB7/PARK7/PDHA1/PRKACA/NDUFB2/GALK1/COX4I1/COX6C/COX7C/PPIF/ATP5PB/CYCS/ACO2/IDH3A/MDH2/EIF6/RAN/NDUFA1/NDUFS5/NDUFB3/NDUFA8/UQCRFS1/NDUFB11/MACROH2A1/ABCD1/PGK1/PFKL/NDUFA6/MFN2/SDHC/COX5A/SIRT6/OXA1L/BCKDK/NDUFB6/PDHB/UQCRB/ATP5PF/NDUFB10/COX7A2L
GO:0022618,protein-RNA complex assembly,164,0.6051942869465733,2.011407911636694,2.121355213451622e-9,7.959324760870485e-7,7.170180621466481e-7,1406,"tags=37%, list=14%, signal=32%",RPS28/EIF4B/SNRPD2/PUF60/RPS15/XAB2/SRSF9/EIF3L/EIF2S2/PIH1D1/PRMT5/RPL24/EIF3F/SF3A2/EIF3I/RPS27/SNRPB/SART1/RPL38/EIF3D/HSP90AB1/DDX23/LSM4/SNRNP200/U2AF2/RPS6/SF3A1/SNRPC/RPL11/LUC7L2/SF3B2/PRPF19/RRP7A/SART3/EIF3J/EIF3B/SMN1/SMN2/BOP1/EIF6/EIF3K/PRMT7/PRPF6/SNU13/EIF2S3/METTL17/RUVBL2/SNRPE/SF3B6/PRPF31/ABT1/SNRPD1/TSSC4/DENR/WDR77/SRSF5/STRAP/CD2BP2/SNRPG/SNRPB2/RCC1L
