ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03010,Ribosome,119,0.7880139385653312,2.486664023823555,1e-10,1.0266666666666668e-8,9.122807017543859e-9,1176,"tags=56%, list=12%, signal=50%",RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/RPL30/RPS8/RPS15/RPL3/RPLP0/RPL4/RPL39/MRPS34/RPS21/MRPL19/RPL35/RPS3A/RPL21/RPL24/RPS29/MRPL28/RPL37A/RPL12/RACK1/RPS12/MRPL24/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/MRPL41/RPL9/MRPL9/RPL22L1/MRPL54/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/GADD45GIP1/AURKAIP1/RPS7/MRPL27/RPS15A/MRPL16/RPL31/MRPL10/MRPS15/MRPL57/MRPL11/MRPL20/RPS24/MRPS18B/MRPL44/MRPS21
hsa05171,Coronavirus disease,122,0.7091240740281486,2.247488113144941,1e-10,1.0266666666666668e-8,9.122807017543859e-9,707,"tags=39%, list=7%, signal=36%",RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/RPL30/RPS8/RPS15/RPL3/RPLP0/RPL4/RPL39/RPS21/RPL35/RPS3A/IRAK1/RPL21/RPL24/RPS29/RPL37A/RPL12/RPS12/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/PLCG2/RPL9/RPL22L1/RPL36AL/IRF3/RPL7/RPS20/RPL10A/TYK2/NFKBIB
hsa03040,Spliceosome,124,0.6927642068097132,2.189757760969096,1e-10,1.0266666666666668e-8,9.122807017543859e-9,1592,"tags=44%, list=16%, signal=38%",SNRPD2/FUS/PUF60/XAB2/SRSF9/HNRNPK/SF3A2/HNRNPM/HNRNPA3/SNRNP70/SNRPB/SART1/DDX23/LSM4/SNRNP200/MAGOH/U2AF2/SF3A1/PRPF38A/SNRPC/SF3B2/ALYREF/PRPF19/SRSF3/HSPA1B/THOC3/ZMAT2/PRPF6/THOC7/SNU13/BUD31/SNRPE/PQBP1/THOC6/DHX16/SF3B6/LSM3/PRPF31/NCBP2/SNRPD1/THOC5/DHX38/HNRNPA1L3/SRSF5/ACIN1/SNRPG/SNRPB2/SNRPA/GPKOW/SF1/EIF4A3/RBMX/SF3A3/DDX5/SF3B5
hsa05012,Parkinson disease,179,0.5844698949432806,1.937956113103253,3.5858687930092404e-9,2.761118970617115e-7,2.4534891741642167e-7,1485,"tags=49%, list=15%, signal=42%",COX5B/ATF4/PSMC3/NDUFS2/KEAP1/UQCRQ/UBB/CALM3/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/NDUFB9/CALM1/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/ADRM1/UBC/PARK7/PRKACA/NDUFB2/SLC39A7/COX4I1/COX6C/TRAP1/COX7C/UBA1/TXN/PPIF/ATP5PB/GNAI2/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/TP53/PSMA7/UQCRFS1/NDUFB11/PSMD8/PSMB1/PSMA5/NDUFA6/VDAC2/MFN2/SDHC/BAX/COX5A/PSMA4/TUBB6/NDUFB6/UQCRB/ATP5PF/UBE2J2/NDUFB10/COX7A2L/ATP5MC2/HSPA5/HTRA2/UQCR10/PSMC4/ATP5F1E/XBP1/NDUFAB1/PSMB5/PSMD7
hsa05016,Huntington disease,206,0.5532108036851819,1.8615326552536784,1.011192998444334e-8,6.228948870417098e-7,5.534951149379513e-7,1778,"tags=50%, list=18%, signal=42%",COX5B/PSMC3/NDUFS2/UQCRQ/PSMD4/POLR2E/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/NDUFB9/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/AP2M1/ATP5F1A/PSMB6/NDUFS8/NDUFB7/CLTB/ADRM1/ACTR1B/NDUFB2/COX4I1/COX6C/COX7C/HDAC1/PPIF/ATP5PB/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/AP2S1/NDUFB3/NDUFA8/TP53/PSMA7/UQCRFS1/NDUFB11/DCTN3/DCTN1/AP2A1/PSMD8/PSMB1/BECN1/GPX7/PSMA5/POLR2L/POLR2H/NDUFA6/VDAC2/SDHC/BAX/COX5A/PSMA4/TUBB6/NDUFB6/UQCRB/ATP5PF/NDUFB10/COX7A2L/MAP2K7/ATP5MC2/DCTN2/UQCR10/PSMC4/ATP5F1E/POLR2C/POLR2K/NDUFAB1/PSMB5/PSMD7/VDAC3/PLCB2/NDUFB4/SOD1/COX7B/POLR2J/NDUFS1/CLTC/NDUFB1/COX7A2/PLCB3/TUBB4B/SDHB/POLR2G/ACTR1A/VDAC1/PSMC6
hsa05014,Amyotrophic lateral sclerosis,256,0.5074047275347655,1.7057817948953318,2.0655325565590898e-8,9.088343248859995e-7,8.075766386546817e-7,1390,"tags=36%, list=14%, signal=31%",COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/FUS/VCP/PSMD4/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/SQSTM1/CYC1/PSMC1/UQCRH/NDUFB9/NDUFS6/PSMB3/PSMB4/NDUFS3/HNRNPA3/COXFA4/ATP5F1D/TARDBP/HNRNPA2B1/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/TOMM40/ADRM1/ACTR1B/ALYREF/NDUFB2/ACTG1/COX4I1/COX6C/COX7C/ATP5PB/CHCHD10/SRSF3/PSMD3/CYCS/TUBB/TUBA4A/PFN1/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/TP53/PSMA7/UQCRFS1/NDUFB11/DCTN3/DCTN1/PSMD8/PSMB1/BECN1/GPX7/PSMA5/RAB8A/NDUFA6/SDHC/BAX/COX5A/PSMA4/ATXN2L/MAPK12/TUBB6/NDUFB6/UQCRB/SIGMAR1/ATP5PF/NDUFB10/COX7A2L/ATP5MC2/HNRNPA1L3/HSPA5/GLE1/DCTN2/DERL1/TOMM40L/UQCR10/PSMC4/ATP5F1E
hsa05022,Pathways of neurodegeneration - multiple diseases,309,0.4849107795853068,1.6777818321919307,1.8430907980790754e-8,9.088343248859995e-7,8.075766386546817e-7,1542,"tags=37%, list=16%, signal=32%",COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/UBB/FUS/CALM3/VCP/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/SQSTM1/CYC1/PSMC1/UQCRH/NDUFB9/MAP2K2/CALM1/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/TARDBP/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/TOMM40/ATP2A3/ADRM1/ACTR1B/UBC/PARK7/NDUFB2/COX4I1/COX6C/TRAP1/COX7C/UBA1/PPIF/ATP5PB/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/PSMA7/UQCRFS1/HSD17B10/NDUFB11/DCTN3/DCTN1/PSMD8/PSMB1/FRAT2/BECN1/DVL1/GPX7/PSMA5/RAB8A/NDUFA6/VDAC2/WNT7B/DVL2/MFN2/SDHC/BAX/COX5A/PSMA4/ATXN2L/MAPK12/TUBB6/NDUFB6/UQCRB/SIGMAR1/ATP5PF/UBE2J2/NDUFB10/COX7A2L/MAP2K7/FADD/ATP5MC2/HSPA5/DCTN2/DERL1/HTRA2/TOMM40L/UQCR10/PSMC4/ATP5F1E/FZD1/XBP1/FZD2/NDUFAB1/PSMB5/CHRNA7/PSMD7/CSNK1E/VDAC3/PLCB2/NDUFB4/FRAT1
hsa05020,Prion disease,174,0.551474838121991,1.8086630127042453,1.263864634129913e-7,4.8658788414001656e-6,4.323747432549703e-6,1390,"tags=42%, list=14%, signal=37%",COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/NDUFB9/NDUFS6/PSMB3/ATF6B/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/ADRM1/PRKACA/NDUFB2/COX4I1/COX6C/COX7C/PPIF/ATP5PB/STIP1/PSMD3/CYCS/TUBB/TUBA4A/HSPA1B/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/PSMA7/UQCRFS1/NDUFB11/PSMD8/PSMB1/PSMA5/NDUFA6/VDAC2/SDHC/BAX/COX5A/PSMA4/RAC2/MAPK12/TUBB6/NDUFB6/UQCRB/ATP5PF/NDUFB10/COX7A2L/ATP5MC2/HSPA5/UQCR10/PSMC4/ATP5F1E
hsa05010,Alzheimer disease,256,0.4853975669097014,1.6317986175332333,2.8057152005350727e-7,9.601780908497804e-6,8.531999440223612e-6,1542,"tags=37%, list=16%, signal=32%",COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/GAPDH/CALM3/AKT1/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/APH1A/NDUFB9/MAP2K2/CALM1/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/ATP2A3/ADRM1/NDUFB2/SLC39A7/COX4I1/COX6C/COX7C/PPIF/ATP5PB/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/PSMA7/UQCRFS1/HSD17B10/NDUFB11/PSMD8/PSMB1/FRAT2/BECN1/DVL1/PSMA5/NDUFA6/VDAC2/WNT7B/DVL2/SDHC/COX5A/PSMA4/TUBB6/NDUFB6/UQCRB/ATP5PF/NDUFB10/COX7A2L/MAP2K7/FADD/ATP5MC2/AKT2/UQCR10/PSMC4/ATP5F1E/FZD1/XBP1/FZD2/NDUFAB1/PSMB5/CHRNA7/PSMD7/CSNK1E/VDAC3/PLCB2/NDUFB4/FRAT1
hsa01200,Carbon metabolism,78,0.6716001550924474,2.0001006395162033,1.5649334192971193e-6,4.8199949314351274e-5,4.2829756738658e-5,1033,"tags=33%, list=11%, signal=30%",TKT/TALDO1/ENO1/GAPDH/TPI1/PKM/IDH3B/GPI/PGLS/IDH3G/SHMT2/IDH2/PGD/PDHA1/ACAT1/G6PD/ACAT2/ADH5/ACO2/IDH3A/MDH2/ECHS1/PGK1/PGP/PFKL/SDHC
