category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03010,Ribosome,167/5313,174/7053,0.9597701149425287,1.2740934727441473,6.396790072383994,9.271472328667602e-14,3.2821012043483313e-11,2.703366142148343e-11,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPL27/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL18A/RPS9/RPL18/RPS28/RPS18/RPS8/RPL30/RPS15/RPL3/RPL4/RPLP0/MRPS34/RPL39/MRPL19/RPL35/RPS21/RPS3A/RPL21/MRPL28/RPL24/RPS29/RPL37A/RACK1/RPL12/RPS12/MRPL24/RPS27/RPL6/RPL19/RPL28/RPL37/RPL22/RPL38/RPS25/RPS6/RPL27A/RPS23/RPL14/RPS13/MRPL1/RPL11/RPL22L1/MRPL54/MRPL41/MRPL9/RPL9/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/GADD45GIP1/RPS17/MRPL42/RPS10/RPS4X/MRPL27/RPL26/RPL15/RPL17/RPS7/UBA52/RPL32/MRPL16/MRPS15/AURKAIP1/RPL35A/RPS15A/MRPL10/MRPL57/RPL31/RPL36A-HNRNPH2/RPL36A/MRPL11/RPS24/MRPS18B/MRPS21/MRPL20/MRPL44/MRPS18C/MRPS16/MRPL52/RPL34/MRPL43/RSL24D1/MRPS23/MRPS25/MRPL4/RPSA2/MRPS12/MRPL12/MRPS5/MRPL30/MRPL38/MRPL2/MRPL34/MRPL18/RPL23/MRPL49/MRPS11/MRPL36/MRPS24/MRPS10/RPL5/RPS27L/MRPS28/MRPL53/MRPS6/MRPL46/MRPS33/MRPL14/MRPS17/RPS27A/RPL17-C18orf32/MRPS31/MRPL32/MRPL33/MRPL51/MRPL15/MRPL40/MRPL21/MRPS7/MRPL45/MRPS27/RPS10-NUDT3/MRPL47/MRPL17/MRPL55/MRPL35/MRPS22/MRPL48/DAP3/MRPS2/MRPS26/RPL26L1/MRPS18A/KGD4/MRPL58/MRPS30/MRPS35/MRPL37/MRPL50/RPS26/MRPL39/MRPS14,167
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,261/5313,295/7053,0.8847457627118644,1.1744987510647054,5.349900105290471,6.59536069764661e-9,1.1673788434834498e-6,9.615341648674266e-7,MAPK8/COX6B1/COX5B/ITPR1/GNAQ/TUBA1C/PSMD2/DNAH14/SLC25A6/NDUFS2/PSMC3/UQCRQ/NRF1/PSMD4/SLC25A5/POLR2E/NDUFA2/NDUFV1/MAP3K5/UQCRC1/ATP5F1B/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/RCOR1/COXFA4/MT-ND5/ATP5F1D/MT-ND6/ATP5MC3/NDUFS8/AMBRA1/PSMC2/PIK3C3/ATP5F1A/AP2M1/PSMB6/NDUFB7/MT-ND4/CLTB/ACTR1B/NDUFB2/COX6C/ADRM1/HDAC1/ATP5PB/PPIF/COX4I1/PSMD13/MT-ND1/COX7C/RB1CC1/MT-ATP6/DNAH7/MT-CYB/PSMD3/CYCS/HIP1/TUBB/TUBA4A/MT-ND2/CREB3L2/PSMC5/NDUFS5/NDUFB3/NDUFA1/TP53/AP2S1/PSMD8/NDUFA8/UQCRFS1/AP2A1/DCTN3/PSMB1/MT-ND4L/NDUFB11/DNAH11/PSMA7/BECN1/DCTN1/NDUFS4/GPX7/PSMA5/MT-CO2/SDHC/POLR2H/ATG2B/TUBA1B/NDUFA6/VDAC2/POLR2L/PSMA4/COX5A/BAX/TUBB6/GPX1/CREBBP/TAF4B/COX7A2L/DCTN2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/MAP2K7/PSMA6/NDUFB8/NDUFA11/UQCR11/SDHD/POLR2K/COX8A/PSMC4/POLR2C/ATP5MC1/PSMA2/PSMA3/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PSMB5/PLCB2/VDAC3/NDUFV2/NDUFB4/DCTN4/PSMD7/NDUFS1/NDUFA9/CLTC/MT-CO1/POLR2J/SOD1/PSMD9/CREB1/COX7B/MT-CO3/SDHB/DNAH1/PSMA1/NDUFB1/ACTR10/NDUFA13/NDUFA7/COX7A2/PSMD14/PLCB3/ACTR1A/POLR2J3/TUBA1A/VDAC1/PSMC6/POLR2G/TUBB4B/MAPK10/PSMD6/MT-ATP8/REST/CLTA/SLC1A3/DNAL4/AP2B1/ULK1/CREB3L4/NDUFS7/MTOR/BBC3/EP300/ERN1/DNAH17/PIK3R4/ATG101/COX6A1/SP1/MT-ND3/DCTN6/NDUFC1/CREB5/POLR2J2/WIPI1/DLG4/POLR2I/POLR2B/POLR2D/PSMD1/POLR2F/TUBB1/TUBB3/KCNJ10/KLC1/HTT/ATP5F1C/TFAM/ATG2A/GPX3/TUBB4A/TUBA8/WIPI2/NDUFA12/CREB3/PSMA8/SOD2/CLTCL1/NDUFA5/PSMB2/HDAC2/NRBF2/PLCB4/NDUFA3/CASP8/NDUFA10/UQCRC2/DNAH10/TAF4/TBP/POLR2A/AP2A2/DNAH8/UQCRHL/GRM5/ATG14/MAP3K10/PLCB1/SLC25A4/CREB3L1/PPARG/DNAH5/DNAH3/TRAF2/PSMD11/COX7B2/KLC2/CASP9/COX7A1/SEM1/GRIA4/STX1A/CASP3/KLC4/DNAH9/TBPL1/DNAH12/CACNA1B/DNALI1/GRIN2B/GRIA1/KIF5B/GRIA3/TUBB2B/IFT57,261
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,303/5313,350/7053,0.8657142857142858,1.1492344922158588,5.004031792909349,8.013923474964396e-8,9.456429700457988e-6,7.788971237070658e-6,COX6B1/COX5B/PPP3CA/TUBA1C/PSMD2/DNAH14/ATF4/NDUFS2/PSMC3/UQCRQ/MCU/ATXN2/FUS/VCP/ATF6/PSMD4/NDUFA2/NDUFV1/MAP3K5/UQCRC1/SQSTM1/ATP5F1B/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/HNRNPA3/COXFA4/SPG11/MT-ND5/PPP3CB/TARDBP/ATP5F1D/MT-ND6/HNRNPA2B1/ATP5MC3/NDUFS8/AMBRA1/PSMC2/PIK3C3/ATP5F1A/PSMB6/NDUFB7/TOMM40/MT-ND4/ACTR1B/BCL2/NDUFB2/NRG4/COX6C/ADRM1/ALYREF/MAPK14/ACTG1/ATP5PB/COX4I1/VAPB/PSMD13/MT-ND1/COX7C/RB1CC1/SRSF3/MT-ATP6/DNAH7/CHCHD10/MT-CYB/PSMD3/CYCS/TUBB/PFN1/TUBA4A/MT-ND2/PSMC5/NDUFS5/NDUFB3/NDUFA1/TP53/PSMD8/NDUFA8/UQCRFS1/HNRNPA1/DCTN3/PSMB1/MT-ND4L/NDUFB11/DNAH11/PSMA7/BECN1/DCTN1/NDUFS4/GPX7/SETX/PSMA5/MT-CO2/SDHC/ATG2B/TUBA1B/TANK/NDUFA6/RAB8A/PSMA4/EIF2AK3/COX5A/BAX/TUBB6/ATXN2L/GPX1/MAPK12/COX7A2L/MATR3/DCTN2/SIGMAR1/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/HSPA5/PSMA6/NDUFB8/GLE1/HNRNPA1L3/NDUFA11/NUP62/UQCR11/ERBB4/SDHD/C9orf72/COX8A/PSMC4/ATP5MC1/PSMA2/DERL1/XBP1/TOMM40L/PSMA3/ATP5PD/NDUFB5/NDUFAB1/ACTB/UQCR10/ATP5F1E/NDUFC2/PSMB5/NDUFV2/NDUFB4/DCTN4/PPP3R1/PSMD7/NDUFS1/NDUFA9/MT-CO1/NUP35/SOD1/PSMD9/COX7B/MT-CO3/ANXA7/SRSF7/SDHB/DNAH1/ALS2/PSMA1/NUP153/NDUFB1/ACTR10/NDUFA13/NDUFA7/COX7A2/TNFRSF1A/PSMD14/NUP188/ACTR1A/PPP3CC/DDIT3/RANBP2/TUBA1A/VDAC1/PSMC6/NUP98/TUBB4B/UBQLN4/PSMD6/TNFRSF1B/WDR41/MT-ATP8/DAXX/DNAL4/ULK1/ANXA11/BAD/NDUFS7/MTOR/SMCR8/MAP2K6/ERN1/HNRNPA1L2/DNAH17/PIK3R4/ATG101/COX6A1/MT-ND3/DCTN6/NUP210/MAPK11/CCS/NDUFC1/NUP210L/NXT1/WIPI1/NUP155/HDAC6/PSMD1/NXF3/FIG4/TUBB1/TUBB3/KLC1/PFN2/ATP5F1C/ATG2A/GPX3/TUBB4A/TUBA8/WIPI2/CAT/NDUFA12/NUP214/RAC1/NCBP1/PSMA8/SEH1L/PRKN/NDUFA5/PSMB2/NUP58/RAB5A/NRBF2/MAP1LC3B/NDUFA3/NDUFA10/UQCRC2/DNAH10/MAP2K3/CASP1/OPTN/PINK1/NRG3/NRG1/RAE1/EIF2S1/DNAH8/NXF1/UQCRHL/ATG14/NDC1/MAP1LC3B2/NUP54/DNAH5/DNAH3/TRAF2/UBQLN2/PSMD11/ANG/NUP85/COX7B2/BCL2L1/KLC2/NEFH/CASP9/NUP107/POM121L2/COX7A1/SEM1/TBK1/GRIN2D/CASP3/NUP37/NUP50/KLC4/NRG2/DNAH9/RAB1A/DNAH12/TPR/MAPK13/BID/TNF/DNALI1/GRIN2B/NUP43/GRIN2C/GRIA1/KIF5B/NEFL/TUBB2B/NOS1,303
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,227/5313,258/7053,0.8798449612403101,1.1679929440293446,4.80349783311459,1.992272127029748e-7,1.763160832421327e-5,1.4522615241769478e-5,CYBA/MAPK8/COX6B1/COX5B/PPP3CA/ITPR1/NCAM2/TUBA1C/PSMD2/SLC25A6/ATF4/NDUFS2/PSMC3/UQCRQ/MCU/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/ATF6B/PSMB4/COXFA4/MT-ND5/PPP3CB/ATP5F1D/MT-ND6/ATP5MC3/NDUFS8/ATF2/PIK3CA/PIK3CB/PSMC2/ATP5F1A/PSMB6/NDUFB7/MT-ND4/PRKACA/NDUFB2/COX6C/ADRM1/MAPK14/GSK3B/NCAM1/ATP5PB/PPIF/COX4I1/STIP1/PSMD13/MT-ND1/COX7C/MT-ATP6/MT-CYB/PSMD3/CYCS/TUBB/TUBA4A/MT-ND2/CREB3L2/HSPA1B/PSMC5/PIK3R1/NDUFS5/NDUFB3/NDUFA1/PSMD8/NDUFA8/UQCRFS1/PSMB1/MT-ND4L/NDUFB11/PSMA7/PRKACB/NDUFS4/PSMA5/MT-CO2/SDHC/TUBA1B/NDUFA6/VDAC2/PSMA4/EIF2AK3/COX5A/RAC2/BAX/TUBB6/MAPK12/COX7A2L/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/HSPA5/PSMA6/NDUFB8/NDUFA11/CSNK2B/UQCR11/SDHD/COX8A/PSMC4/ATP5MC1/PSMA2/PSMA3/EGR1/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PIK3R2/PSMB5/VDAC3/NDUFV2/NDUFB4/PPP3R1/PSMD7/NDUFS1/CCL5/NDUFA9/MT-CO1/SOD1/PSMD9/CREB1/COX7B/MT-CO3/SDHB/PSMA1/NDUFB1/NDUFA13/NDUFA7/COX7A2/PSMD14/PPP3CC/DDIT3/TUBA1A/VDAC1/PSMC6/NCF4/TUBB4B/MAPK10/PRKCD/PSMD6/PIK3CD/MT-ATP8/C5/MAPK1/CREB3L4/BAD/ITPR2/NDUFS7/NCF2/COX6A1/MT-ND3/GRIN3A/NCF1/LAMC1/MAPK11/NDUFC1/CREB5/CYBB/PSMD1/PRNP/TUBB1/TUBB3/KLC1/ATP5F1C/TUBB4A/TUBA8/NDUFA12/CREB3/FYN/RAC1/PSMA8/HSPA6/CACNA1C/NDUFA5/PSMB2/CACNA1D/NDUFA3/NDUFA10/NOTCH1/UQCRC2/CAV3/RYR3/PIK3R3/EIF2S1/UQCRHL/MAPK3/SLC25A4/CREB3L1/RYR2/PSMD11/IL1B/IL1A/COX7B2/KLC2/CASP9/CSNK2A2/COX7A1/HSPA8/SEM1/GRIN2D/CASP3/KLC4/MAPK13/CACNA1B/TNF/GRIN2B/CSNK2A3/GRIN2C/KIF5B/C8G/TUBB2B/RYR1,227
Genetic Information Processing,Transcription,hsa03040,Spliceosome,131/5313,143/7053,0.916083916083916,1.2161001054281686,4.561791266656413,4.0787012160759407e-7,2.887720460981766e-5,2.3785268144274434e-5,SNRPD2/PUF60/FUS/XAB2/SRSF9/HNRNPK/SF3A2/HNRNPM/HNRNPA3/SNRNP70/SART1/SNRPB/SF3A1/DDX23/SNRNP200/MAGOH/LSM4/SNRPC/U2AF2/PRPF38A/RBM8A/SF3B2/PRPF19/ALYREF/SRSF3/HSPA1B/THOC3/THOC7/ZMAT2/PRPF6/HNRNPA1/SNU13/BUD31/THOC2/LSM3/DHX16/SNRPE/PQBP1/SF3B6/SRSF1/THOC6/THOC5/DDX39B/SNRPD1/NCBP2/SRSF2/ACIN1/PCBP1/PRPF40B/PRPF31/DHX38/HNRNPA1L3/SRSF5/SNRPG/THOC1/LSM7/SF1/SNRPD3/RBMX/SNRPB2/CHERP/SNW1/GPKOW/SNRPA/SF3A3/PPIH/EIF4A3/AQR/DDX5/PRPF18/PRPF8/ISY1/PHF5A/TCERG1/SF3B5/SRSF7/HNRNPC/SRSF6/RBMXL1/PRPF4/PLRG1/DDX42/ISY1-RAB43/SNRPF/U2AF1L4/CTNNBL1/LSM2/SF3B1/SYF2/USP39/PPIE/HNRNPA1L2/U2AF1/LOC102724594/TRA2A/BCAS2/SNRNP27/SF3B4/EFTUD2/LSM5/CWC15/CRNKL1/WBP11/RBMX2/TXNL4A/YJU2/RBM17/NCBP1/CWC25/HSPA6/SF3B3/SLU7/PRPF38B/RBM25/SRSF10/CDC5L/LSM6/RBM22/U2SURP/CDC40/PRPF40A/DDX46/SRSF8/SNIP1/SNRPA1/HSPA8/SMNDC1/DHX8/RP9/MAGOHB/DHX15,131
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,192/5313,218/7053,0.8807339449541285,1.1691730686545205,4.433448317530701,1.5226998466897232e-6,8.54075473230218e-5,7.034757837786808e-5,ARID1B/SOS1/COX6B1/COX5B/NDUFS2/ACSL5/UQCRQ/ZNF516/RPTOR/COA1/NDUFAF6/KDM1A/NDUFA2/NDUFV1/MAP3K5/UQCRC1/SMARCE1/ATP5F1B/UQCRH/NDUFB9/CYC1/NDUFS6/NDUFS3/FRS2/PRKAG2/COXFA4/MT-ND5/RPS6KA2/COX10/ATP5F1D/MT-ND6/ATP5MC3/NDUFS8/ATF2/SMARCD2/RPS6KA3/ATP5F1A/RPS6/NDUFB7/ARID1A/MT-ND4/PRKACA/NDUFB2/NDUFAF2/COX6C/MAPK14/ACTG1/ACSL4/ATP5PB/COX4I1/MT-ND1/COX7C/MT-ATP6/MT-CYB/MT-ND2/CREB3L2/NDUFS5/NDUFB3/NDUFA1/NDUFA8/UQCRFS1/MT-ND4L/NDUFB11/PRKACB/NDUFS4/ADCY9/COA3/MT-CO2/SDHC/COX11/NDUFA6/NDUFAF8/COX5A/SIRT6/MAPK12/COX7A2L/ATP5PF/RPS6KB2/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/ATP5MG/ADCY7/NDUFB8/COX20/NDUFA11/UQCR11/SDHD/COX8A/ATP5MF/ATP5MC1/ATP5PD/NDUFB5/NDUFAB1/PNPLA2/ACTB/UQCR10/ATP5F1E/NDUFC2/SMARCC2/NDUFV2/NDUFB4/ATP5ME/COX15/NDUFS1/NDUFA9/MT-CO1/CREB1/COX7B/MT-CO3/CPT2/SDHB/SOS2/PRKAA1/GRB2/COA7/NDUFB1/PRKAG1/NDUFA13/NDUFA7/AKT1S1/COX7A2/SLC25A29/KDM3A/RPS6KA1/MLST8/COX16/COX14/NDUFAF3/MT-ATP8/TSC2/ACSL3/NDUFAF5/CPT1B/SMARCA4/CREB3L4/NDUFS7/MTOR/COA6/COX6A1/HRAS/SMARCD1/MT-ND3/MAPK11/NDUFC1/CREB5/NDUFAF1/GNAS/ADCY10/PRKG1/SMARCA2/ATP5F1C/ACTL6A/SMARCB1/COA4/NDUFA12/CREB3/BMP8B/FGFR1/KLB/NDUFA5/COX17/SLC25A20/COX19/ADCY5/RHEB/NDUFA3/NDUFA10/UQCRC2/MAP2K3/MGLL/UQCRHL/ADCY1/CPT1A/CREB3L1/ADCY2/SMARCC1/PPARG/COX7B2/PRKAB2/COX7A1/NDUFAF4/DPF1/ADCY3/DPF3/PRDM16/MAPK13/TSC1/ACTL6B,192
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,222/5313,255/7053,0.8705882352941177,1.155704653402863,4.425196271966751,1.826364509572736e-6,8.54075473230218e-5,7.034757837786808e-5,MAPK8/COX6B1/COX5B/CAMK2D/ITPR1/TUBA1C/PSMD2/SLC25A6/ATF4/NDUFS2/PSMC3/SLC39A11/KEAP1/UQCRQ/MCU/UBB/CALM3/ATF6/PSMD4/SLC25A5/NDUFA2/NDUFV1/MAP3K5/UQCRC1/ATP5F1B/CALM1/UQCRH/PSMC1/NDUFB9/CYC1/NDUFS6/PSMB3/NDUFS3/PSMB4/COXFA4/MT-ND5/ATP5F1D/MT-ND6/ATP5MC3/NDUFS8/PSMC2/SLC39A10/ATP5F1A/PSMB6/NDUFB7/UBC/MT-ND4/PRKACA/NDUFB2/PARK7/COX6C/ADRM1/UBA1/TXN/SLC39A7/ATP5PB/PPIF/COX4I1/TRAP1/GNAI2/PSMD13/MT-ND1/COX7C/MT-ATP6/MT-CYB/PSMD3/CYCS/TUBB/TUBA4A/MFN1/MT-ND2/PSMC5/NDUFS5/NDUFB3/NDUFA1/TP53/PSMD8/NDUFA8/UQCRFS1/PSMB1/MT-ND4L/NDUFB11/PSMA7/PRKACB/NDUFS4/PSMA5/MT-CO2/SDHC/UBA52/TUBA1B/NDUFA6/VDAC2/MFN2/PSMA4/EIF2AK3/COX5A/BAX/TUBB6/CALM2/COX7A2L/UBE2J2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/HSPA5/PSMA6/NDUFB8/NDUFA11/UQCR11/SDHD/COX8A/PSMC4/ATP5MC1/PSMA2/XBP1/PSMA3/HTRA2/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PSMB5/VDAC3/NDUFV2/NDUFB4/PSMD7/NDUFS1/SLC39A1/TXN2/NDUFA9/MT-CO1/SOD1/PSMD9/SLC11A2/COX7B/MT-CO3/SDHB/SLC39A3/PSMA1/NDUFB1/SEPTIN5/NDUFA13/NDUFA7/COX7A2/NFE2L2/PSMD14/DDIT3/TUBA1A/VDAC1/PSMC6/TUBB4B/MAPK10/RPS27A/PSMD6/MT-ATP8/UBA7/DAXX/SLC39A13/ADORA2A/LRRK2/ITPR2/NDUFS7/ERN1/COX6A1/SLC39A9/CALML4/UBE2G2/UBE2G1/MT-ND3/DUSP1/NDUFC1/GNAS/PSMD1/TUBB1/TUBB3/KLC1/SLC39A8/ATP5F1C/TUBB4A/TUBA8/NDUFA12/PSMA8/PRKN/NDUFA5/PSMB2/ADCY5/NDUFA3/NDUFA10/UQCRC2/GNAL/UBE2L6/SLC18A2/PLCG1/RYR3/PINK1/EIF2S1/UQCRHL/SLC39A4/UBE2L3/SLC25A4/SLC39A6/PSMD11/COX7B2/BCL2L1/MAPT/KLC2/CASP9/COX7A1/SEM1/MAOA/CASP3/KLC4/CAMK2A/SLC39A14/KIF5B/TUBB2B,222
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,118/5313,129/7053,0.9147286821705426,1.2143010343212568,4.292319371622561,1.9301140637971027e-6,8.54075473230218e-5,7.034757837786808e-5,COX6B1/COX5B/NDUFS2/UQCRQ/PPA2/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/ATP6V0B/UQCRH/NDUFB9/CYC1/NDUFS6/NDUFS3/COXFA4/MT-ND5/COX10/ATP5F1D/MT-ND6/ATP5MC3/NDUFS8/ATP5F1A/NDUFB7/MT-ND4/NDUFB2/COX6C/ATP5PB/COX4I1/MT-ND1/COX7C/MT-ATP6/MT-CYB/CYCS/MT-ND2/NDUFS5/NDUFB3/NDUFA1/NDUFA8/UQCRFS1/MT-ND4L/NDUFB11/NDUFS4/MT-CO2/SDHC/TCIRG1/COX11/NDUFA6/ATP6AP1/COX5A/COX7A2L/ATP6V0E1/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/ATP5MG/NDUFB8/NDUFA11/UQCR11/SDHD/COX8A/ATP5MF/ATP5MC1/ATP5PD/NDUFB5/NDUFAB1/ATP6V1H/ATP6V0C/UQCR10/ATP5F1E/NDUFC2/ATP6V1F/NDUFV2/NDUFB4/ATP5ME/COX15/NDUFS1/LHPP/NDUFA9/MT-CO1/COX7B/MT-CO3/ATP6V1B2/SDHB/NDUFB1/NDUFA13/NDUFA7/COX7A2/ATP6V0A1/MT-ATP8/ATP6V0D1/ATP6V1E1/NDUFS7/COX6A1/MT-ND3/PPA1/NDUFC1/ATP6V1G1/ATP5F1C/NDUFA12/ATP6V1D/NDUFA5/COX17/ATP6V1A/NDUFA3/NDUFA10/UQCRC2/UQCRHL/ATP6V1C1/ATP6V1G2/COX7B2/COX7A1/ATP4B/ATP6V1E2,118
Cellular Processes,Transport and catabolism,hsa04142,Lysosome biogenesis,210/5313,241/7053,0.8713692946058091,1.1567415085365653,4.326200662924629,3.0233138431155436e-6,1.1891701116254472e-4,9.794829643777844e-5,ARSB/CLN6/AP3B1/RPTOR/CTSG/SUMF1/OSBPL1A/ATP6V0B/MAN2B1/MITF/BORCS5/AP1S1/VPS13A/MANBA/CLCN7/WDR7/PSAP/SPG11/VAMP8/GALC/CTSA/TELO2/AP2M1/M6PR/VPS41/DMXL2/VPS13C/CLTB/LAMP1/DMXL1/LAMTOR2/SLC38A9/FUCA2/ARSG/KXD1/NCOA7/OSBPL3/NAGA/VAMP7/AP2S1/CD63/AP2A1/CLN3/CTSZ/CTSB/HYAL3/DNASE2/AP4E1/TCIRG1/PIKFYVE/ATP6AP1/LAMTOR4/SCARB2/AP3D1/MCOLN2/ATP6V0E1/LAPTM5/AP1M1/SLC15A3/RRAGB/MFSD8/GAA/SNAP29/GNPTG/LAPTM4B/SLC17A5/AP3S2/NEU1/GLB1/ATP6V1H/CD68/ATP6V0C/PPT1/LAMTOR5/ATP6V1F/RRAGC/OSBP/CD164/BLOC1S6/SNAPIN/TPP1/TPCN2/AP4M1/LAMTOR1/HEXA/AP1B1/CLTC/VPS33A/LITAF/SLC11A2/NPC2/VPS35/GLA/ATP6V1B2/ARL8A/CTSD/TTI1/STX17/AKT1S1/VPS18/BLOC1S1/DTNBP1/BORCS7/BLOC1S5/SLC29A1/SORT1/NAGLU/MLST8/ATP6V0A1/OSBPL7/NAGPA/RRAGA/BORCS8/ATP6V0D1/ABCA5/BLOC1S3/CLTA/SLC36A4/MCOLN1/GNPTAB/ATP6V1E1/AP2B1/GGA3/AP5B1/ABCA2/PPT2/LIPA/HYAL2/MTOR/LYSET/GUSB/RAB7A/AP1G1/ZFYVE26/ARSA/AP4B1/AP4S1/GPR155/ROGDI/GBA1/LAMP5/AP5Z1/BLOC1S4/TLR9/MCOLN3/VPS16/ATP6V1G1/GM2A/ASAH1/FIG4/TFE3/CTSS/DEPTOR/CLN5/AP1S3/AP5S1/VPS11/ENTPD4/VPS26B/GGA1/CLTCL1/HEXB/IDUA/ATP6V1D/TLR8/CLN8/GGA2/SLC29A3/CTSH/ATP6V1A/NPC1/AGA/GNS/HYAL1/HGSNAT/OSTM1/NAPSA/AP2A2/CTSW/AP3M1/AP1G2/FUCA1/ATP6V1C1/CTSK/IDS/BLOC1S2/ATP6V1G2/AP3S1/AP5M1/TLR7/CTSO/SLC36A1/CTSF/ACP5/CTNS/SLC29A2/CTBS/OSBPL6/CTSL/SGSH/BORCS6/SLC11A1/CTSC/PLA2G15/PLEKHM1/ABCB9/GALNS/TMEM175/AP1S2/ATP6V1E2,210
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,169/5313,192/7053,0.8802083333333334,1.1684753199698852,4.135658121631654,7.151800040862064e-6,2.531737214465171e-4,2.0853143277039913e-4,CYBA/MAPK8/AKT3/COX6B1/COX5B/CAMK2D/PRKCA/SLC25A6/NDUFS2/UQCRQ/GAPDH/AKT1/PRKCB/SLC25A5/NDUFA2/NDUFV1/UQCRC1/PPP1CA/ATP5F1B/UQCRH/NDUFB9/SMAD2/CYC1/NDUFS6/NDUFS3/PTPA/COXFA4/MT-ND5/ATP5F1D/MT-ND6/ATP5MC3/NDUFS8/PIK3CA/PIK3CB/ATP5F1A/NDUFB7/MT-ND4/ATP2A3/PTEN/NDUFB2/G6PD/PDHA1/COX6C/MAPK14/GSK3B/MMP2/ATP5PB/PPIF/COX4I1/TGFB1/MT-ND1/COX7C/MT-ATP6/MT-CYB/PARP1/MT-ND2/PIK3R1/NDUFS5/NDUFB3/NDUFA1/NDUFA8/TGFBR2/UQCRFS1/SMAD3/MT-ND4L/NDUFB11/NDUFS4/GYS1/MT-CO2/SDHC/INSR/NDUFA6/VDAC2/PPP1CC/TGFBR1/COX5A/RAC2/NFKB1/CD36/MAPK12/COX7A2L/PDHB/TBC1D4/AKT2/ATP5PF/NDUFB10/UQCRB/ATP5MC2/ATP5PO/SDHA/NDUFB6/NDUFB8/NDUFA11/UQCR11/SDHD/COX8A/ATP5MC1/ATP5PD/NDUFB5/NDUFAB1/UQCR10/ATP5F1E/NDUFC2/PIK3R2/GFPT1/PLCB2/VDAC3/NDUFV2/NDUFB4/NDUFS1/NDUFA9/MT-CO1/COX7B/MT-CO3/CPT2/SDHB/CTSD/NDUFB1/NDUFA13/NDUFA7/COX7A2/PLCB3/VDAC1/NCF4/MAPK10/PRKCD/PPP1CB/PIK3CD/MT-ATP8/RELA/CPT1B/ATP2A1/NDUFS7/MTOR/NCF2/COX6A1/SP1/MPC2/MT-ND3/NCF1/MAPK11/NDUFC1/CYBB/GSR/PDK2/ATP5F1C/NDUFA12/RAC1/PDK3/NDUFA5/PLCB4/NDUFA3/NDUFA10/UQCRC2/TGFB3/PIK3R3/UQCRHL/PLCB1/SLC25A4/RYR2/COX7B2/COX7A1/IRS1/SLC2A1/MMP9/MAPK13/CAMK2A/SLC2A4/ACE,169
