category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03010,Ribosome,125/2208,140/4604,0.8928571428571429,1.8617365424430645,9.939237078056747,9.833674719253849e-26,3.284447356230786e-23,2.950102415776155e-23,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/RPL23A/RPL41/RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/RPL30/RPS8/RPS15/RPL3/RPLP0/RPL4/RPL39/MRPS34/RPS21/MRPL19/RPL35/RPS3A/RPL21/RPL24/RPS29/MRPL28/RPL37A/RPL12/RACK1/RPS12/MRPL24/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/MRPL41/RPL9/MRPL9/RPL22L1/MRPL54/RPL36AL/RPL7/CHCHD1/RPS20/RPL10A/GADD45GIP1/AURKAIP1/RPS7/MRPL27/RPS15A/MRPL16/RPL31/MRPL10/MRPS15/MRPL57/MRPL11/MRPL20/RPS24/MRPS18B/MRPL44/MRPS21/MRPL43/MRPS18C/RPL34/MRPL52/RSL24D1/MRPS23/MRPL36/RPL23/MRPL18/RPS27L/MRPL14/MRPS33/RPS27A/MRPS10/MRPL32/MRPL51/MRPS7/MRPL15/MRPL33/MRPL21/MRPL45/MRPL17/RPS10-NUDT3/MRPL55/MRPL35/MRPL47/MRPS22/MRPS2/MRPS26/RPL26L1/DAP3/KGD4/MRPS18A/MRPL58/MRPL37/MRPL50/MRPS14,125
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,135/2208,186/4604,0.7258064516129032,1.5134116409537166,6.860976676639361,3.03977871808995e-12,5.076430459210216e-10,4.559668077134925e-10,COX6B1/TUBA1C/PSMD2/SLC25A6/COX5B/ATF4/PSMC3/NDUFS2/KEAP1/UQCRQ/UBB/CALM3/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/NDUFB9/CALM1/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/ADRM1/UBC/PARK7/PRKACA/NDUFB2/SLC39A7/COX4I1/COX6C/TRAP1/COX7C/UBA1/TXN/PPIF/ATP5PB/GNAI2/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/TP53/PSMA7/UQCRFS1/NDUFB11/PSMD8/PSMB1/PSMA5/NDUFA6/VDAC2/MFN2/SDHC/BAX/COX5A/PSMA4/TUBB6/NDUFB6/UQCRB/ATP5PF/UBE2J2/NDUFB10/COX7A2L/ATP5MC2/HSPA5/HTRA2/UQCR10/PSMC4/ATP5F1E/XBP1/NDUFAB1/PSMB5/PSMD7/VDAC3/NDUFB4/SOD1/COX7B/NDUFS1/TXN2/NDUFB1/COX7A2/TUBB4B/SDHB/VDAC1/RPS27A/PSMC6/DAXX/PSMD6/UBA7/SLC39A13/NDUFS7/NDUFC1/UBE2G2/TUBA8/ATP5F1C/KLC1/GNAS/NDUFA12/NDUFA5/PSMB2/NDUFA3/UBE2L6/PINK1/PLCG1/UQCRHL/SLC39A4/EIF2S1/SLC25A4/UBE2L3/SLC39A6/KLC2/CASP9/PSMD11/KLC4/SEM1/CASP3/SLC39A14,135
Genetic Information Processing,Transcription,hsa03040,Spliceosome,94/2208,124/4604,0.7580645161290323,1.5806743805516597,6.291889923036447,1.334227109440637e-10,1.4854395151772426e-8,1.3342271094406371e-8,SNRPD2/FUS/PUF60/XAB2/SRSF9/HNRNPK/SF3A2/HNRNPM/HNRNPA3/SNRNP70/SNRPB/SART1/DDX23/LSM4/SNRNP200/MAGOH/U2AF2/SF3A1/PRPF38A/SNRPC/SF3B2/ALYREF/PRPF19/SRSF3/HSPA1B/THOC3/ZMAT2/PRPF6/THOC7/SNU13/BUD31/SNRPE/PQBP1/THOC6/DHX16/SF3B6/LSM3/PRPF31/NCBP2/SNRPD1/THOC5/DHX38/HNRNPA1L3/SRSF5/ACIN1/SNRPG/SNRPB2/SNRPA/GPKOW/SF1/EIF4A3/RBMX/SF3A3/DDX5/SF3B5/SRSF7/ISY1-RAB43/SNRPF/PRPF8/HNRNPC/PRPF4/PLRG1/DDX42/LSM2/SYF2/U2AF1/LOC102724594/PPIE/SF3B1/SNRNP27/USP39/BCAS2/SF3B4/LSM5/EFTUD2/CWC15/RBMX2/YJU2/WBP11/TXNL4A/CRNKL1/CWC25/RBM17/SLU7/SF3B3/SRSF10/PRPF38B/LSM6/RBM22/SRSF8/SNIP1/DDX46/SNRPA1/DHX8,94
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease,107/2208,146/4604,0.7328767123287672,1.5281541592217591,6.225062485946416,2.331126982629307e-10,1.9074216423952883e-8,1.713252972211337e-8,RPS5/RPS16/RPS19/RPS4Y1/RPL36/RPLP1/RPS2/RPS11/RPL13A/RPL10/RPL7A/RPS3/FAU/RPL8/RPL29/RPS14/RPL13/RPSA/RPLP2/CFD/RPL23A/RPL41/RPL27/RPL18A/RPS9/RPL18/RPS28/RPS18/RPL30/RPS8/RPS15/RPL3/RPLP0/RPL4/RPL39/RPS21/RPL35/RPS3A/IRAK1/RPL21/RPL24/RPS29/RPL37A/RPL12/RPS12/RPS27/RPL6/RPL22/RPL19/RPL37/RPL38/RPL28/RPS23/RPS25/RPS6/RPL27A/RPS13/RPL14/RPL11/PLCG2/RPL9/RPL22L1/RPL36AL/IRF3/RPL7/RPS20/RPL10A/TYK2/NFKBIB/RPS7/RPS15A/RPL31/RPS24/MAPK12/IL6R/RPL34/RSL24D1/ISG15/STING1/RPL23/RPS27L/TNFRSF1A/IKBKG/RPS27A/MAVS/RELA/PIK3CD/RPS10-NUDT3/IRF9/MAPK11/JUN/MYD88/IFNAR2/NFKBIA/FCGR2A/RPL26L1/STAT3/IKBKE/CASP1/PLCG1/ADAR/HBEGF/PIK3R3/C3/MAPK3/STAT2/TNF,107
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,147/2208,214/4604,0.6869158878504673,1.432319179195449,6.216640371638307,2.855421620352228e-10,1.9074216423952883e-8,1.713252972211337e-8,COX6B1/TUBA1C/PSMD2/SLC25A6/COX5B/PSMC3/NDUFS2/UQCRQ/PSMD4/POLR2E/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/NDUFB9/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/AP2M1/ATP5F1A/PSMB6/NDUFS8/NDUFB7/CLTB/ADRM1/ACTR1B/NDUFB2/COX4I1/COX6C/COX7C/HDAC1/PPIF/ATP5PB/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/AP2S1/NDUFB3/NDUFA8/TP53/PSMA7/UQCRFS1/NDUFB11/DCTN3/DCTN1/AP2A1/PSMD8/PSMB1/BECN1/GPX7/PSMA5/POLR2L/POLR2H/NDUFA6/VDAC2/SDHC/BAX/COX5A/PSMA4/TUBB6/NDUFB6/UQCRB/ATP5PF/NDUFB10/COX7A2L/MAP2K7/ATP5MC2/DCTN2/UQCR10/PSMC4/ATP5F1E/POLR2C/POLR2K/NDUFAB1/PSMB5/PSMD7/VDAC3/PLCB2/NDUFB4/SOD1/COX7B/POLR2J/NDUFS1/CLTC/NDUFB1/COX7A2/PLCB3/TUBB4B/SDHB/POLR2G/ACTR1A/VDAC1/PSMC6/PSMD6/CLTA/ULK1/NDUFS7/BBC3/ATG101/DCTN6/NDUFC1/POLR2I/POLR2D/POLR2F/DLG4/POLR2B/ATG2A/TFAM/CREB3/TUBA8/ATP5F1C/KLC1/WIPI2/SOD2/NDUFA12/NDUFA5/HDAC2/PSMB2/NDUFA3/NRBF2/UQCRHL/SLC25A4/AP2A2/MAP3K10/TRAF2/KLC2/CASP9/PSMD11/KLC4/STX1A/TBPL1/SEM1/CASP3,147
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,167/2208,261/4604,0.6398467432950191,1.3341731911821868,5.335480783609729,6.035636788644914e-8,3.0814453571769972e-6,2.7677652908775423e-6,COX6B1/TUBA1C/PSMD2/COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/FUS/VCP/PSMD4/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/SQSTM1/CYC1/PSMC1/UQCRH/NDUFB9/NDUFS6/PSMB3/PSMB4/NDUFS3/HNRNPA3/COXFA4/ATP5F1D/TARDBP/HNRNPA2B1/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/TOMM40/ADRM1/ACTR1B/ALYREF/NDUFB2/ACTG1/COX4I1/COX6C/COX7C/ATP5PB/CHCHD10/SRSF3/PSMD3/CYCS/TUBB/TUBA4A/PFN1/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/TP53/PSMA7/UQCRFS1/NDUFB11/DCTN3/DCTN1/PSMD8/PSMB1/BECN1/GPX7/PSMA5/RAB8A/NDUFA6/SDHC/BAX/COX5A/PSMA4/ATXN2L/MAPK12/TUBB6/NDUFB6/UQCRB/SIGMAR1/ATP5PF/NDUFB10/COX7A2L/ATP5MC2/HNRNPA1L3/HSPA5/GLE1/DCTN2/DERL1/TOMM40L/UQCR10/PSMC4/ATP5F1E/XBP1/NDUFAB1/PSMB5/PSMD7/NDUFB4/ACTB/SOD1/COX7B/SRSF7/NDUFS1/NDUFB1/COX7A2/ANXA7/TNFRSF1A/TUBB4B/SDHB/ACTR1A/VDAC1/PSMC6/UBQLN4/DAXX/NUP188/PSMD6/ULK1/TNFRSF1B/NDUFS7/ATG101/ANXA11/DCTN6/MAPK11/CCS/SMCR8/NDUFC1/NXT1/HDAC6/NXF3/NUP210/ATG2A/TUBA8/ATP5F1C/KLC1/WIPI2/CAT/RAC1/SEH1L/NDUFA12/NDUFA5/PSMB2/NDUFA3/NRBF2/MAP1LC3B/PINK1/MAP2K3/CASP1/OPTN/UQCRHL/NXF1/RAE1/EIF2S1/TRAF2/KLC2/CASP9/UBQLN2/PSMD11/NUP85/NEFH/KLC4/SEM1/CASP3/RAB1A/BID/TNF/NUP43,167
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,123/2208,183/4604,0.6721311475409836,1.4014908529341885,5.320072586880974,6.458119012047599e-8,3.0814453571769972e-6,2.7677652908775423e-6,CYBA/COX6B1/TUBA1C/PSMD2/SLC25A6/COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/CYC1/PSMC1/UQCRH/NDUFB9/NDUFS6/PSMB3/ATF6B/PSMB4/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/ADRM1/PRKACA/NDUFB2/COX4I1/COX6C/COX7C/PPIF/ATP5PB/STIP1/PSMD3/CYCS/TUBB/TUBA4A/HSPA1B/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/PSMA7/UQCRFS1/NDUFB11/PSMD8/PSMB1/PSMA5/NDUFA6/VDAC2/SDHC/BAX/COX5A/PSMA4/RAC2/MAPK12/TUBB6/NDUFB6/UQCRB/ATP5PF/NDUFB10/COX7A2L/ATP5MC2/HSPA5/UQCR10/PSMC4/ATP5F1E/NDUFAB1/PSMB5/PSMD7/VDAC3/NDUFB4/SOD1/COX7B/NDUFS1/NDUFB1/COX7A2/TUBB4B/SDHB/NCF4/VDAC1/PSMC6/PSMD6/PRKCD/PIK3CD/NDUFS7/NCF1/MAPK11/NDUFC1/PRNP/CREB3/TUBA8/ATP5F1C/KLC1/RAC1/NDUFA12/NDUFA5/PSMB2/NDUFA3/NOTCH1/UQCRHL/PIK3R3/MAPK3/EIF2S1/SLC25A4/KLC2/CASP9/PSMD11/KLC4/SEM1/CASP3/TNF,123
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,199/2208,320/4604,0.621875,1.296699501811594,5.281334686548847,8.14535457792868e-8,3.400685536285224e-6,3.054507966723255e-6,COX6B1/TUBA1C/PSMD2/SLC25A6/COX5B/ATF4/PSMC3/NDUFS2/UQCRQ/UBB/FUS/CALM3/VCP/PSMD4/SLC25A5/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/SQSTM1/CYC1/PSMC1/UQCRH/NDUFB9/MAP2K2/CALM1/NDUFS6/PSMB3/PSMB4/NDUFS3/COXFA4/ATP5F1D/TARDBP/ATP5MC3/PSMC2/ATP5F1A/PSMB6/NDUFS8/NDUFB7/TOMM40/ATP2A3/ADRM1/ACTR1B/UBC/PARK7/NDUFB2/COX4I1/COX6C/TRAP1/COX7C/UBA1/PPIF/ATP5PB/PSMD3/CYCS/TUBB/TUBA4A/PSMC5/PSMD13/NDUFA1/NDUFS5/NDUFB3/NDUFA8/PSMA7/UQCRFS1/HSD17B10/NDUFB11/DCTN3/DCTN1/PSMD8/PSMB1/FRAT2/BECN1/DVL1/GPX7/PSMA5/RAB8A/NDUFA6/VDAC2/WNT7B/DVL2/MFN2/SDHC/BAX/COX5A/PSMA4/ATXN2L/MAPK12/TUBB6/NDUFB6/UQCRB/SIGMAR1/ATP5PF/UBE2J2/NDUFB10/COX7A2L/MAP2K7/FADD/ATP5MC2/HSPA5/DCTN2/DERL1/HTRA2/TOMM40L/UQCR10/PSMC4/ATP5F1E/FZD1/XBP1/FZD2/NDUFAB1/PSMB5/CHRNA7/PSMD7/CSNK1E/VDAC3/PLCB2/NDUFB4/FRAT1/SOD1/COX7B/NDUFS1/NDUFB1/COX7A2/PLCB3/TNFRSF1A/TUBB4B/SDHB/ACTR1A/VDAC1/RPS27A/PSMC6/AXIN1/LRP5/DAXX/PSMD6/UBA7/CAPN1/CDK5/ULK1/RELA/TNFRSF1B/WNT6/ATXN1L/NDUFS7/ATG101/HRAS/PPID/DCTN6/ARAF/MAPK11/CCS/SMCR8/NDUFC1/UBE2G2/DLG4/ATG2A/PRNP/TUBA8/ATP5F1C/CHRFAM7A/KLC1/WIPI2/CAT/RAC1/NDUFA12/NDUFA5/PSMB2/NDUFA3/UBE2L6/NRBF2/MAP1LC3B/PINK1/DVL3/MAP2K3/PLCG1/OPTN/UQCRHL/WNT10B/MAPK3/EIF2S1/SLC25A4/MAP3K10/TRAF2/UBE2L3/KLC2/CASP9/PSMD11/NEFH/KLC4/CSNK1A1/STX1A/SEM1/CASP3/FZD5/RAB1A/BID/TNF/CDK5R1,199
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,69/2208,97/4604,0.711340206185567,1.4832474226804124,4.617301666896954,2.504269997627261e-6,9.293624213416726e-5,8.347566658757538e-5,COX6B1/COX5B/NDUFS2/UQCRQ/NDUFA2/NDUFV1/UQCRC1/ATP5F1B/ATP6V0B/CYC1/UQCRH/NDUFB9/NDUFS6/NDUFS3/COXFA4/ATP5F1D/ATP5MC3/ATP5F1A/NDUFS8/NDUFB7/NDUFB2/COX4I1/COX6C/COX7C/ATP5PB/CYCS/NDUFA1/NDUFS5/NDUFB3/NDUFA8/UQCRFS1/NDUFB11/TCIRG1/NDUFA6/ATP6AP1/COX11/SDHC/COX5A/NDUFB6/UQCRB/ATP5PF/NDUFB10/COX7A2L/ATP5MC2/UQCR10/ATP5F1E/ATP6V0E1/ATP5ME/NDUFAB1/NDUFB4/COX7B/NDUFS1/NDUFB1/COX7A2/SDHB/ATP6V1B2/NDUFS7/ATP6V0D1/ATP6V1E1/PPA1/NDUFC1/ATP6V1G1/ATP5F1C/ATP6V1D/NDUFA12/NDUFA5/COX17/NDUFA3/UQCRHL,69
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,32/2208,39/4604,0.8205128205128205,1.7108881456707543,4.27946816454796,1.1136520919520762e-5,3.4968204850712576e-4,3.1408567231178965e-4,PSMD2/PSMC3/PSMD4/PSMC1/PSMB3/PSMB4/PSME1/PSMC2/PSMB6/ADRM1/PSMB8/PSMD3/PSME2/PSMC5/PSMD13/PSMA7/PSMD8/PSMB1/PSMA5/PSMA4/PSMC4/PSMB5/PSMD7/PSMC6/PSMB9/PSMD6/PSMB10/POMP/PSME3/PSMB2/PSMD11/SEM1,32
