ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048812,neuron projection morphogenesis,192/3821,361/9236,0.5318559556786704,1.2855853458906568,4.6495730704485,2.586992197337105e-6,0.006216923542751193,0.0059904903704293645,TRIO/PPP1R12B/SOS1/TAOK3/PPP3CA/CNTN4/TIAM2/PRKCA/PTK2/ZEB2/EFNA5/RERE/NEGR1/PLXNC1/MACF1/DOCK10/WASL/STAU2/CLASP2/FBXW8/BCL11A/GOLGA4/EXT1/DIP2B/CUX1/VPS54/RAPGEF2/EMB/DISC1/OPHN1/MYO9A/VPS13A/UST/BRAF/MYCBP2/ALCAM/SRGAP2/PRICKLE1/ARHGAP44/CRPPA/PHACTR1/PPP3CB/MEF2A/SEMA4D/BCL2/SPG11/PDLIM5/NEXN/DOCK7/TIAM1/SEMA3A/USP9X/PTPRJ/PTEN/TRAK1/NEDD4L/NCAM1/SMURF1/BMPR2/RYK/CD2AP/GSK3B/ADNP/PAK2/LPAR3/ATG16L1/PPP1R12A/CPNE8/NLGN3/DICER1/RUFY3/ABI1/KLF7/KIRREL3/PICALM/TANC2/ELAVL4/ROCK1/RPS6KA5/NEDD4/SLC11A2/ITSN2/ADARB1/ARHGAP35/ABL1/ANOS1/ZDHHC17/MAP1B/PRKCQ/TNN/ITGA4/RTN4/SPAST/DHX36/PAK1/CPNE5/VCL/SLC23A2/SPAG9/FZD3/NUMB/DTNBP1/MAP2K1/SEMA6A/RAPH1/SIPA1L1/NIN/NPTN/SYT17/ALS2/TNR/KIAA1755/LRP8/SHANK1/NRP1/WASF1/LHX4/MARK2/EEF2K/CREB1/PARD6B/CUX2/WDR47/C9orf72/SDC2/EPB41L3/NCKAP1/TTL/SIAH1/KIF13B/NRP2/ANK3/RAB10/SLIT1/KIF20B/NDEL1/HOXA2/EIF2AK4/STXBP1/CAPRIN2/AUTS2/USP33/NR4A2/MAP3K13/LRRK2/KIDINS220/GAS7/RAB21/ATL1/BTBD3/APBB2/ATP8A2/SHTN1/PTPRO/RAP2A/EVL/IQGAP1/NOTCH2/NTN1/TMEM106B/B4GALT6/PTCH1/PTPRS/PSEN1/MAP4K4/SZT2/APP/TTC8/B4GALT5/FEZ2/PARP6/MAPT/CAPRIN1/DAG1/SPAG6/IGF2BP1/PAFAH1B1/MFSD2A/PLAA/UNC5B/B3GNT2/FYN/KIF5B/DIP2A/SLC9A6/ADAM17/MAP1A/ECE1/NRDC/EGR2/KIF21A/TGFB2,192
GO:0120031,plasma membrane bounded cell projection assembly,200/3821,381/9236,0.5249343832020997,1.268854740448729,4.501877172390204,5.078611082736781e-6,0.006216923542751193,0.0059904903704293645,PIBF1/CEP128/WDPCP/SCLT1/ASAP1/CEP83/DNM3/ZMYND8/AHI1/ATG5/FGD4/DNHD1/ANO6/WASL/STAU2/IQCB1/SDCCAG8/VAV3/ARMC9/FBXW8/TBC1D32/RAPGEF2/TTBK2/DISC1/TTLL5/RFX3/NDUFAF2/PCM1/MARCHF7/OPHN1/CEP350/MPHOSPH9/CDC14A/CIBAR1/SRGAP2/PRICKLE1/ARHGAP44/LPAR1/KIAA0586/FER/DOCK11/ARHGEF7/PIK3CA/ONECUT2/ALPK1/NEK1/USP9X/PLD1/SRGAP2C/TTC21B/ATXN10/ARMC2/CEP162/RO60/POC1B/CCDC66/NCK2/CD2AP/CCDC146/GSK3B/TGFBR1/SH3YL1/TBC1D31/PTPDC1/LPAR3/CDKL1/C2CD3/PIK3R1/RDX/TAPT1/RIPOR2/NCK1/GALNT11/CEP290/TCTN3/SPAG1/CEP70/NUDCD3/KCNQ1/CROCC/RFX2/PIP5K1A/CEP120/GBF1/BBS9/EPS8/ROCK1/DYNC2I1/MAP4/ODF2L/ABCC4/OCRL/CPLANE1/ARHGAP35/CCDC15/CEP135/ABL1/WDR44/APC/VCL/ARL13B/DNAH1/DNMBP/MYO10/CPAP/CFAP70/WDR35/CCDC57/IFT43/DTNBP1/CFAP44/MTOR/ELMOD3/IFT74/IFT88/TTC39C/TRPM2/VAV2/KIF27/RAB23/NRP1/B3GLCT/FGD2/BAG4/DNAAF11/FGD6/INTU/DRC9/FNBP1L/TMEM138/RPGRIP1L/BIN3/DZIP1/WHAMM/CDC14B/NCKAP1/EXOC5/PODXL/PARVB/GOLPH3/TMEM67/TBC1D7/TBC1D7-LOC100130357/BBIP1/NDEL1/CILK1/TRAF3IP1/PPP1R16B/AUTS2/CEP97/DNAI3/RALA/FGD3/HTT/DYNC2H1/SSX2IP/GORAB/SHTN1/PTPRO/ARL6/RAP2A/STK26/LUZP1/IFT122/EVL/ATAT1/NTN1/B9D1/BBS4/RAB5A/CLCN4/WDR19/CFAP58/IFT81/DNAAF5/CEP164/SPEF2/TTC8/RABL2B/RABL2A/P2RX7/CARMIL1/OFD1/SPAG6/KIF24/DYNC2LI1/TOGARAM1/NME7/SNX10/KLF5/JHY/BBS7/CFAP263/IFT57/DZIP1L/WDR11/ATP8B1/WASHC1/DNAL1/TCTN2,200
GO:0060271,cilium assembly,137/3821,248/9236,0.5524193548387096,1.3352905420806915,4.495969431434063,5.6250471942327175e-6,0.006216923542751193,0.0059904903704293645,PIBF1/CEP128/WDPCP/SCLT1/ASAP1/CEP83/AHI1/ATG5/DNHD1/IQCB1/SDCCAG8/ARMC9/FBXW8/TBC1D32/TTBK2/DISC1/TTLL5/RFX3/NDUFAF2/PCM1/MARCHF7/CEP350/MPHOSPH9/CDC14A/CIBAR1/PRICKLE1/LPAR1/KIAA0586/ONECUT2/ALPK1/NEK1/USP9X/TTC21B/ATXN10/ARMC2/CEP162/RO60/POC1B/CCDC66/CCDC146/GSK3B/TBC1D31/PTPDC1/CDKL1/C2CD3/TAPT1/GALNT11/CEP290/TCTN3/SPAG1/CEP70/NUDCD3/KCNQ1/CROCC/RFX2/CEP120/GBF1/BBS9/DYNC2I1/MAP4/ODF2L/ABCC4/OCRL/CPLANE1/ARHGAP35/CCDC15/CEP135/WDR44/ARL13B/DNAH1/DNMBP/CPAP/CFAP70/WDR35/CCDC57/IFT43/DTNBP1/CFAP44/ELMOD3/IFT74/IFT88/TTC39C/KIF27/RAB23/B3GLCT/DNAAF11/INTU/DRC9/FNBP1L/TMEM138/RPGRIP1L/DZIP1/CDC14B/EXOC5/TMEM67/TBC1D7/TBC1D7-LOC100130357/BBIP1/CILK1/TRAF3IP1/CEP97/DNAI3/HTT/DYNC2H1/SSX2IP/GORAB/ARL6/LUZP1/IFT122/ATAT1/B9D1/BBS4/CLCN4/WDR19/CFAP58/IFT81/DNAAF5/CEP164/SPEF2/TTC8/RABL2B/RABL2A/OFD1/SPAG6/KIF24/DYNC2LI1/TOGARAM1/NME7/SNX10/JHY/BBS7/CFAP263/IFT57/DZIP1L/WDR11/DNAL1/TCTN2,137
GO:0048858,cell projection morphogenesis,197/3821,376/9236,0.523936170212766,1.2664418916736735,4.430852655523895,7.0208891841868365e-6,0.006216923542751193,0.0059904903704293645,TRIO/PPP1R12B/SOS1/RREB1/TAOK3/PPP3CA/CNTN4/TIAM2/PRKCA/PTK2/ZEB2/EFNA5/RERE/NEGR1/PLXNC1/MACF1/DOCK10/WASL/STAU2/CLASP2/FBXW8/BCL11A/GOLGA4/EXT1/DIP2B/CUX1/VPS54/RAPGEF2/EMB/DISC1/OPHN1/MYO9A/VPS13A/UST/BRAF/MYCBP2/ALCAM/SRGAP2/PRICKLE1/ARHGAP44/CRPPA/PHACTR1/PPP3CB/ARHGEF7/MEF2A/SEMA4D/BCL2/SPG11/PDLIM5/NEXN/DOCK7/TIAM1/SEMA3A/USP9X/PTPRJ/PTEN/TRAK1/NEDD4L/NCAM1/SMURF1/BMPR2/RYK/CD2AP/GSK3B/ADNP/PAK2/LPAR3/ATG16L1/PPP1R12A/CPNE8/NLGN3/DICER1/RUFY3/ABI1/KLF7/KIRREL3/PICALM/TANC2/ELAVL4/ROCK1/RPS6KA5/NEDD4/SLC11A2/ITSN2/ADARB1/ARHGAP35/ABL1/ANOS1/ZDHHC17/MAP1B/PRKCQ/TNN/ITGA4/RTN4/SPAST/DHX36/PAK1/CPNE5/VCL/SLC23A2/SPAG9/FZD3/NUMB/DTNBP1/MAP2K1/SEMA6A/RAPH1/SIPA1L1/NIN/NPTN/SYT17/ALS2/TNR/KIAA1755/LRP8/SHANK1/NRP1/WASF1/LHX4/MARK2/EEF2K/CREB1/PARD6B/CUX2/WDR47/C9orf72/SDC2/CD44/EPB41L3/NCKAP1/TTL/SIAH1/KIF13B/NRP2/ANK3/RAB10/SLIT1/KIF20B/NDEL1/HOXA2/EIF2AK4/STXBP1/CAPRIN2/AUTS2/USP33/NR4A2/MAP3K13/LRRK2/KIDINS220/GAS7/RAB21/ATL1/BTBD3/APBB2/ATP8A2/SHTN1/PTPRO/RAP2A/EVL/IQGAP1/PACSIN2/NOTCH2/NTN1/TMEM106B/B4GALT6/PTCH1/PTPRS/PSEN1/SNX2/MAP4K4/SZT2/APP/TTC8/B4GALT5/FEZ2/PARP6/MAPT/CAPRIN1/DAG1/SPAG6/IGF2BP1/PAFAH1B1/MFSD2A/PLAA/UNC5B/B3GNT2/FYN/KIF5B/DIP2A/SLC9A6/ADAM17/MAP1A/ECE1/NRDC/EGR2/KIF21A/TGFB2,197
GO:0120039,plasma membrane bounded cell projection morphogenesis,196/3821,374/9236,0.5240641711229946,1.2667512914137604,4.423685028636555,7.257027353268134e-6,0.006216923542751193,0.0059904903704293645,TRIO/PPP1R12B/SOS1/RREB1/TAOK3/PPP3CA/CNTN4/TIAM2/PRKCA/PTK2/ZEB2/EFNA5/RERE/NEGR1/PLXNC1/MACF1/DOCK10/WASL/STAU2/CLASP2/FBXW8/BCL11A/GOLGA4/EXT1/DIP2B/CUX1/VPS54/RAPGEF2/EMB/DISC1/OPHN1/MYO9A/VPS13A/UST/BRAF/MYCBP2/ALCAM/SRGAP2/PRICKLE1/ARHGAP44/CRPPA/PHACTR1/PPP3CB/ARHGEF7/MEF2A/SEMA4D/BCL2/SPG11/PDLIM5/NEXN/DOCK7/TIAM1/SEMA3A/USP9X/PTPRJ/PTEN/TRAK1/NEDD4L/NCAM1/SMURF1/BMPR2/RYK/CD2AP/GSK3B/ADNP/PAK2/LPAR3/ATG16L1/PPP1R12A/CPNE8/NLGN3/DICER1/RUFY3/ABI1/KLF7/KIRREL3/PICALM/TANC2/ELAVL4/ROCK1/RPS6KA5/NEDD4/SLC11A2/ITSN2/ADARB1/ARHGAP35/ABL1/ANOS1/ZDHHC17/MAP1B/PRKCQ/TNN/ITGA4/RTN4/SPAST/DHX36/PAK1/CPNE5/VCL/SLC23A2/SPAG9/FZD3/NUMB/DTNBP1/MAP2K1/SEMA6A/RAPH1/SIPA1L1/NIN/NPTN/SYT17/ALS2/TNR/KIAA1755/LRP8/SHANK1/NRP1/WASF1/LHX4/MARK2/EEF2K/CREB1/PARD6B/CUX2/WDR47/C9orf72/SDC2/CD44/EPB41L3/NCKAP1/TTL/SIAH1/KIF13B/NRP2/ANK3/RAB10/SLIT1/KIF20B/NDEL1/HOXA2/EIF2AK4/STXBP1/CAPRIN2/AUTS2/USP33/NR4A2/MAP3K13/LRRK2/KIDINS220/GAS7/RAB21/ATL1/BTBD3/APBB2/ATP8A2/SHTN1/PTPRO/RAP2A/EVL/IQGAP1/NOTCH2/NTN1/TMEM106B/B4GALT6/PTCH1/PTPRS/PSEN1/SNX2/MAP4K4/SZT2/APP/TTC8/B4GALT5/FEZ2/PARP6/MAPT/CAPRIN1/DAG1/SPAG6/IGF2BP1/PAFAH1B1/MFSD2A/PLAA/UNC5B/B3GNT2/FYN/KIF5B/DIP2A/SLC9A6/ADAM17/MAP1A/ECE1/NRDC/EGR2/KIF21A/TGFB2,196
GO:0044782,cilium organization,146/3821,268/9236,0.5447761194029851,1.3168155558246453,4.421135576873101,7.772773756304887e-6,0.006216923542751193,0.0059904903704293645,PIBF1/CEP128/WDPCP/SCLT1/ASAP1/CEP83/AHI1/ATG5/TTC17/NEDD9/DNHD1/IQCB1/SDCCAG8/ARMC9/RTTN/FBXW8/TBC1D32/CSTPP1/TTBK2/DISC1/TTLL5/RFX3/NDUFAF2/PCM1/MARCHF7/CEP350/MPHOSPH9/CDC14A/CIBAR1/PRICKLE1/LPAR1/KIAA0586/ONECUT2/ALPK1/NEK1/USP9X/TTC21B/ATXN10/ARMC2/CEP162/RO60/POC1B/CCDC66/CCDC146/GSK3B/TBC1D31/PKD2/PTPDC1/CDKL1/C2CD3/TAPT1/CCDC88C/GALNT11/CEP290/TCTN3/SPAG1/CEP70/NUDCD3/KCNQ1/CROCC/RFX2/CEP120/GBF1/BBS9/DYNC2I1/MAP4/ODF2L/ABCC4/OCRL/CPLANE1/ARHGAP35/CCDC15/CEP135/WDR44/ARL13B/DNAH1/DNMBP/CPAP/CFAP70/WDR35/CCDC57/IFT43/DTNBP1/CFAP44/KIFAP3/ELMOD3/IFT74/IFT88/TTC39C/KIF27/RAB23/B3GLCT/DNAAF11/INTU/DRC9/FNBP1L/TMEM138/RPGRIP1L/DZIP1/CDC14B/EXOC5/TMEM67/TBC1D7/TBC1D7-LOC100130357/BBIP1/CILK1/TRAF3IP1/CEP97/DNAI3/TPGS2/HTT/DYNC2H1/SSX2IP/GORAB/ARL6/LUZP1/IFT122/ATAT1/B9D1/BBS4/CLCN4/WDR19/CFAP58/LRRC49/IFT81/DNAAF5/CEP164/SPEF2/TTC8/RABL2B/RABL2A/OFD1/SPAG6/KIF24/DYNC2LI1/TOGARAM1/NME7/SNX10/JHY/BBS7/CFAP263/IFT57/DZIP1L/WDR11/DNAL1/TCTN2,146
GO:0048667,cell morphogenesis involved in neuron differentiation,174/3821,328/9236,0.5304878048780488,1.2822782951723786,4.372522387503443,9.320392607495356e-6,0.0063897948747671735,0.006157065372139414,TRIO/SOS1/PPP3CA/WDPCP/CNTN4/TIAM2/PRKCA/PTK2/ZEB2/EFNA5/RERE/PLXNC1/MACF1/DOCK10/WASL/STAU2/CLASP2/FBXW8/BCL11A/GOLGA4/EXT1/DIP2B/CUX1/RAPGEF2/EMB/DISC1/OPHN1/UST/BRAF/MYCBP2/ALCAM/PRICKLE1/ARHGAP44/CRPPA/PHACTR1/PPP3CB/MEF2A/SEMA4D/BCL2/SPG11/PDLIM5/NEXN/DOCK7/TIAM1/SEMA3A/USP9X/PTPRJ/PTEN/TRAK1/NEDD4L/NCAM1/SMURF1/BMPR2/RYK/CD2AP/MEF2C/SEC24B/GSK3B/ADNP/PAK2/LPAR3/ATG16L1/NLGN3/RUFY3/ABI1/KLF7/PICALM/TANC2/ELAVL4/RPS6KA5/NEDD4/SLC11A2/ADARB1/ARHGAP35/ABL1/ANOS1/ZDHHC17/MAP1B/PRKCQ/TNN/ITGA4/RTN4/SPAST/DHX36/PAK1/VCL/FZD3/NUMB/DTNBP1/MAP2K1/SLC1A3/SEMA6A/RAPH1/SIPA1L1/NIN/NPTN/TNR/KIAA1755/LRP8/SHANK1/NRP1/REST/LHX4/MARK2/EEF2K/CREB1/PARD6B/CUX2/WDR47/C9orf72/SDC2/TTL/SIAH1/KIF13B/NRP2/ANK3/RAB10/SLIT1/ANKRD24/NDEL1/HOXA2/RB1/STXBP1/CAPRIN2/AUTS2/USP33/NR4A2/MAP3K13/LRRK2/KIDINS220/RAB21/ATL1/BTBD3/APBB2/CDH23/ATP8A2/SHTN1/PTPRO/RAP2A/EVL/NOTCH2/NTN1/TMEM106B/B4GALT6/PTCH1/PTPRS/PSEN1/SZT2/APP/TTC8/B4GALT5/FEZ2/PARP6/MAPT/CAPRIN1/DAG1/IGF2BP1/PAFAH1B1/UNK/MFSD2A/UNC5B/B3GNT2/FYN/KIF5B/DIP2A/SLC9A6/ADAM17/MAP1A/ECE1/WHRN/NRDC/EGR2/KIF21A/TGFB2,174
GO:0035249,"synaptic transmission, glutamatergic",34/3821,47/9236,0.723404255319149,1.7485898199758334,4.321817844454143,1.6142494442195946e-5,0.009683478853512293,0.009330786590074578,CNIH3/CACNB4/EXT1/VPS54/DISC1/OPHN1/PTK2B/ATAD1/MEF2C/NF1/NLGN3/NAPB/HOMER1/HOMER2/ABTB3/ADORA1/KMO/TSHZ3/UNC13B/DTNBP1/CLCN3/ALS2/TNR/GRID1/NR3C1/STXBP1/RAB3GAP1/LRRK2/TNF/PSEN1/P2RX1/GRIN2C/FXR1/IQSEC2,34
GO:0034330,cell junction organization,217/3821,424/9236,0.5117924528301887,1.2370884832084854,4.198207310446666,1.9124801872706614e-5,0.010197769354124336,0.009826345570385983,CLASP1/DLG1/ERC1/WDPCP/CNTN4/ANK2/ADGRL3/PRKCA/NFIA/PTK2/ZNF804A/PEAK1/EFNA5/DNM3/ROCK2/ZMYND8/GPHN/DST/NEGR1/NEDD9/PLXNC1/MACF1/DOCK10/WASL/STAU2/AGAP1/ARHGAP12/LATS1/DOCK4/CLASP2/CACNB4/CPEB3/EXT1/RAPGEF2/PTPRA/DISC1/IL1RAP/OPHN1/MYO9A/PKN2/PTK2B/MYCBP2/SRGAP2/PRICKLE1/ARHGAP44/VMP1/SETD5/CUL5/FER/IGF1R/ARHGEF7/SEMA4D/TLN2/CNKSR2/BCL2/PUM2/SPG11/MAPK14/ELMO1/PDLIM5/AFDN/ABHD17B/SRGAP2C/PTPRJ/SNX27/ANKRD28/PTEN/NEDD4L/SMAD3/LIN7C/ARHGEF9/RYK/CD2AP/MEF2C/TGFBR1/ADNP/PAK2/INSR/GABRA4/NF1/LIMS1/NLGN3/STRN/PIK3R1/RDX/PKP4/SEZ6L/PTPN13/SRGAP2B/ADD2/KIRREL3/CCM2/HOMER1/AGO2/DAAM1/PIP5K1A/TANC2/IQSEC1/ROCK1/RPS6KA5/NEDD4/KCNK13/OGT/TLR2/PPFIBP1/ABL1/ZDHHC17/MAP1B/ADAM10/SENP1/RAP1B/APC/RTN4/DHX36/MRTFB/PDCD6IP/VCL/NUMB/PPFIBP2/DTNBP1/THSD1/PPFIA4/SORT1/DIXDC1/SIPA1L1/TENM4/NPTN/MTMR2/ALS2/TNR/ABHD17C/COLQ/LRP8/SHANK1/NRP1/GRID1/REST/WASF1/SHISA7/SLC7A11/EEF2K/SLC39A9/PARD6B/CUX2/SLK/RAPGEF1/HEG1/RAP1A/WHAMM/NF2/EPB41L3/MECP2/NRP2/STK38/ANK3/SLIT1/MPP7/RTN4RL2/ZDHHC2/TNS1/ELFN1/STAU1/LAMC1/CAPRIN2/SRGAP3/CAP2/LRRK2/GNA13/PRKCI/NOS1AP/APBB2/TNF/PTPRO/RAP2A/CAMKV/MAPRE2/NTN1/ASIC1/IL1B/HIPK1/IKBKB/BSN/PTPRS/UBE3B/PSEN1/CORO2B/MAP4K4/APP/CRIPT/SPTB/ECT2/LSR/MAPT/TANC1/CAPRIN1/PTPN1/NLGN4Y/DAG1/ARHGAP22/DLGAP4/PAFAH1B1/SPTBN2/SIX4/FYN/KIF5B/TSC1/DIP2A/SLC9A1/NPHP4/CHMP2B/WHRN/RAB8B/IQSEC2/PLXNA2/SSH1/CX3CR1/TGFB2,217
GO:0030031,cell projection assembly,202/3821,392/9236,0.5153061224489796,1.2455816139593758,4.1737098475205086,2.148956347016437e-5,0.010312841509331882,0.009937226560466536,PIBF1/CEP128/WDPCP/SCLT1/ASAP1/CEP83/DNM3/ZMYND8/AHI1/ATG5/FGD4/DNHD1/ANO6/WASL/STAU2/IQCB1/SDCCAG8/VAV3/ARMC9/FBXW8/TBC1D32/RAPGEF2/TTBK2/DISC1/TTLL5/RFX3/NDUFAF2/PCM1/MARCHF7/OPHN1/CEP350/MPHOSPH9/CDC14A/CIBAR1/SRGAP2/PRICKLE1/ARHGAP44/LPAR1/KIAA0586/FER/DOCK11/ARHGEF7/PIK3CA/ONECUT2/ALPK1/TSGA10/NEK1/USP9X/PLD1/SRGAP2C/TTC21B/ATXN10/ARMC2/CEP162/RO60/POC1B/CCDC66/NCK2/CD2AP/CCDC146/GSK3B/TGFBR1/SH3YL1/TBC1D31/PTPDC1/LPAR3/CDKL1/C2CD3/PIK3R1/RDX/TAPT1/RIPOR2/NCK1/GALNT11/CEP290/TCTN3/SPAG1/CEP70/NUDCD3/KCNQ1/CROCC/RFX2/PIP5K1A/CEP120/GBF1/BBS9/EPS8/ROCK1/DYNC2I1/MAP4/ODF2L/ABCC4/OCRL/CPLANE1/ARHGAP35/CCDC15/CEP135/ABL1/WDR44/APC/VCL/ARL13B/DNAH1/DNMBP/MYO10/CPAP/CFAP70/WDR35/CCDC57/IFT43/DTNBP1/CFAP44/MTOR/ELMOD3/IFT74/IFT88/TTC39C/TRPM2/VAV2/KIF27/RAB23/NRP1/B3GLCT/FGD2/BAG4/DNAAF11/FGD6/INTU/DRC9/FNBP1L/TMEM138/RPGRIP1L/BIN3/DZIP1/WHAMM/CDC14B/NCKAP1/EXOC5/PODXL/PARVB/GOLPH3/TMEM67/TBC1D7/TBC1D7-LOC100130357/BBIP1/NDEL1/CILK1/TRAF3IP1/PPP1R16B/AUTS2/CEP97/DNAI3/RALA/FGD3/HTT/DYNC2H1/SSX2IP/GORAB/SHTN1/PTPRO/ARL6/RAP2A/STK26/LUZP1/IFT122/EVL/ATAT1/NTN1/B9D1/BBS4/RAB5A/CLCN4/WDR19/CFAP58/QRICH2/IFT81/DNAAF5/CEP164/SPEF2/TTC8/RABL2B/RABL2A/P2RX7/CARMIL1/OFD1/SPAG6/KIF24/DYNC2LI1/TOGARAM1/NME7/SNX10/KLF5/JHY/BBS7/CFAP263/IFT57/DZIP1L/WDR11/ATP8B1/WASHC1/DNAL1/TCTN2,202
