ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045211,postsynaptic membrane,145/5269,276/15040,0.5253623188405797,1.4996107943371264,6.151604529382775,1.4263423685104993e-9,1.048361640855217e-6,9.6690998454817e-7,DLG1/ADGRL3/UTRN/ANK2/GPHN/CNIH3/MKLN1/ADAM22/SRGAP2/LPAR1/SEMA4D/CNKSR2/ABHD17B/GABRB1/LIN7C/ATAD1/RYK/CLSTN2/NLGN3/SLC16A7/GABRA4/STRN/NAPEPLD/ERBB4/KCNC4/PICALM/ADORA1/CHRNE/AKAP9/GRIP1/NETO2/CNR2/TACR1/GABBR1/DTNBP1/ATP2B2/LRRC7/MUSK/GLRA1/GRIK1/GRID1/ABHD17C/NRP1/DLG2/GLRA2/LRP8/SHANK1/CADPS2/SHISA7/GRID2/KCNC3/KCND2/IGSF9/NRP2/ANK3/GRIK2/RGS7BP/KCNMA1/NTRK3/CHRNB2/ELFN1/KCNH1/CACNA1C/SHC4/GRIN3A/CHRNG/HTR2A/DGKB/ABHD6/SLC9A5/LIN7A/ADGRB3/ACTN2/PTPRO/SLC6A4/NRCAM/CSMD2/ASIC1/GPR158/ADCY1/CACNG2/GRIK4/CNTN2/GLRB/CHRM3/DOK7/SHANK2/LRRC4C/IL1RAPL1/PTCH1/DMD/ACP4/CNIH2/GPR179/PTPRS/ANK1/NEO1/GRIA4/GRM5/GABRR2/LRRTM4/NLGN1/SORCS3/RGS7/SYT1/RPH3A/KCTD16/NLGN4Y/TENM2/GRM7/DCC/HCN1/GRM1/GSG1L/DAG1/GRIN2C/GABBR2/SLC6A9/GRIK5/NSG1/KCND3/IGSF21/P2RX1/CHRNA2/SHISA9/TMEM108/COL13A1/LRFN5/GRIN2B/LHFPL4/SYNDIG1/KCNC1/CNTN1/DAGLA/GRIN1/KCNC2/ITGA8/GABRR1/GRIA3/NECTIN3/ASIC2/SYNE1/GABRG1/CHRNB3/GRIA1,145
GO:0097060,synaptic membrane,192/5269,390/15040,0.49230769230769234,1.4052586244653051,5.954562108485602,3.825886678291028e-9,1.4060133542719528e-6,1.2967742214839063e-6,DLG1/ERC1/DENND1A/ADGRL3/UTRN/NCAM2/KCNQ5/ANK2/GPHN/CNIH3/MKLN1/ADAM22/SRGAP2/ATP2B1/LPAR1/RAB3GAP2/SEMA4D/CNKSR2/ABHD17B/GABRB1/LIN7C/ATAD1/RYK/CLSTN2/NLGN3/SLC16A7/GABRA4/STRN/SLC4A8/NAPEPLD/ERBB4/KCNC4/PICALM/ADORA1/CHRNE/AKAP9/SYDE2/GRIP1/NETO2/ITSN2/CNR2/ZDHHC17/TACR1/ADAM10/GABBR1/UNC13B/FZD3/SYNJ1/DTNBP1/ATP2B2/NRXN3/NTNG1/LRRC7/MUSK/GLRA1/GRIK1/NPTN/GRID1/ABHD17C/APBA1/NRP1/DLG2/GLRA2/LRP8/SHANK1/MTMR2/CADPS2/SHISA7/GRID2/AP2B1/ZNRF2/KCNC3/KCND2/IGSF9/NRP2/CNTNAP2/ANK3/GRIK2/RGS7BP/KCNMA1/STX11/DGKI/NTRK3/CASK/CHRNB2/ELFN1/KCNH1/RIMS2/CDH8/STXBP1/CACNA1C/SHC4/CACNA2D3/CNTN5/GRIN3A/CHRNG/HTR2A/DGKB/ABHD6/SLC9A5/RALA/LIN7A/ADGRB3/ACTN2/PTPRO/SLC6A4/NRCAM/CSMD2/ASIC1/GPR158/ADCY1/CACNG2/GRIK4/CACNA2D1/RAP2A/CNTN2/GLRB/CHRM3/DOK7/PTPRD/SHANK2/LRRC4C/IL1RAPL1/PTCH1/DMD/ACP4/LINGO2/CNIH2/GPR179/DNAJC6/PTPRS/ANK1/NEO1/GRIA4/GRM5/GABRR2/LRRTM4/NLGN1/SORCS3/ERC2/RGS7/NRXN1/PSEN1/SYT1/RPH3A/KCTD16/NLGN4Y/TENM2/KCNJ3/PCDH9/GRM7/DCC/HCN1/GRM1/GSG1L/UNC13C/DAG1/GRIN2C/GABBR2/SLC6A9/GRIK5/NSG1/KCND3/IGSF21/P2RX1/CHRNA2/SHISA9/TMEM108/COL13A1/PPFIA2/LRFN5/GRIN2B/LHFPL4/SNAP91/SYNDIG1/KCNC1/CNTN1/DAGLA/GRIN1/KCNC2/ITGA8/GABRR1/GRIA3/NECTIN3/ASIC2/SYT7/SYNE1/GABRG1/CHRNB3/GRIA1/NTNG2/STX2,192
GO:0098984,neuron to neuron synapse,179/5269,376/15040,0.47606382978723405,1.3588916302903777,5.175294866089189,2.557702521545435e-7,6.266371177786316e-5,5.77951025921144e-5,DLG1/SOS1/CAMK2D/ITPR1/DNM3/SLC8A1/GPHN/NEGR1/PLXNC1/PLEKHA5/MKLN1/CPEB3/ADAM22/DROSHA/DISC1/PTK2B/SRGAP2/PRICKLE1/ARHGAP44/INPP4A/CNKSR2/PDLIM5/PSD3/ARHGAP32/ABHD17B/PTEN/SH3KBP1/BMPR2/LIN7C/ARHGEF9/PRKAR1B/NCK2/RYK/CLSTN2/PAK2/ARFGEF2/NLGN3/SLC16A7/DTNB/STRN/ABI1/STXBP5/PKP4/HOMER1/SPOCK1/SLC4A8/ADD2/HOMER2/NAPEPLD/ERBB4/EPS8/IQSEC1/ADORA1/AKAP9/PCLO/GRIP1/NETO2/FAM81A/ABL1/MAP1B/ADAM10/MIB1/C1QL3/RTN4/ANKS1B/DTNBP1/ATP2B2/MAP2K1/SORT1/CPEB4/SIPA1L1/LRRC7/KPNA1/GRIK1/ALS2/NPTN/GRID1/ABHD17C/DLG2/LRP8/SHANK1/MTMR2/SHISA7/GRID2/EEF2K/C9orf72/USP8/IGSF9/KALRN/GRIK2/RGS7BP/PRKN/DGKI/ELFN1/KCNH1/PLXNA4/ZDHHC2/CACNA1C/RHEB/CALB1/CAP2/GRIN3A/ABLIM1/RAPGEF4/LIN7A/ZDHHC15/PRICKLE2/CTNND2/ADGRB3/ACTN2/PTPRO/DLGAP1/NRCAM/CSMD2/TNIK/ASIC1/GPR158/ADCY1/SYN3/CACNG2/BSN/DLGAP2/GRIK4/PTPRD/SHANK2/LRRC4C/SYT9/MAPRE3/CNIH2/UBE3B/DNAJC6/PTPRS/NEO1/GRIA4/GRM5/AKAP7/USP6/NEURL1/NLGN1/SORCS3/CRIPT/SYT1/RTN1/TANC1/NLGN4Y/SYN2/GRM7/FRMPD2/DCC/GRM1/GSG1L/GRIN2C/SLC6A9/GRIK5/IGSF21/BAALC/ADD3/SHISA9/TMEM108/PPFIA2/LRFN5/SYT12/GRIN2B/SYNDIG1/DAGLA/GRIN1/ITGA8/USP50/PAK3/MAGI2/GRIA3/SH3GL3/NECTIN3/ASIC2/FYN/SYT7/CAMK2A/GRIA1/DAPK1,179
GO:0032279,asymmetric synapse,165/5269,345/15040,0.4782608695652174,1.365162930017246,5.038665265806877,5.184383123881486e-7,9.52630399013223e-5,8.78616508363073e-5,DLG1/SOS1/CAMK2D/ITPR1/DNM3/SLC8A1/GPHN/NEGR1/PLXNC1/PLEKHA5/CPEB3/ADAM22/DROSHA/DISC1/PTK2B/SRGAP2/PRICKLE1/ARHGAP44/INPP4A/CNKSR2/PDLIM5/PSD3/ARHGAP32/ABHD17B/PTEN/SH3KBP1/BMPR2/LIN7C/ARHGEF9/NCK2/RYK/CLSTN2/PAK2/ARFGEF2/NLGN3/SLC16A7/DTNB/STRN/ABI1/PKP4/HOMER1/SPOCK1/SLC4A8/ADD2/HOMER2/ERBB4/EPS8/IQSEC1/ADORA1/AKAP9/PCLO/GRIP1/NETO2/FAM81A/ABL1/MAP1B/ADAM10/MIB1/RTN4/ANKS1B/DTNBP1/ATP2B2/MAP2K1/SORT1/CPEB4/SIPA1L1/LRRC7/KPNA1/GRIK1/ALS2/NPTN/GRID1/ABHD17C/DLG2/LRP8/SHANK1/MTMR2/SHISA7/GRID2/EEF2K/USP8/IGSF9/KALRN/GRIK2/RGS7BP/PRKN/DGKI/ELFN1/KCNH1/PLXNA4/ZDHHC2/CACNA1C/RHEB/CAP2/GRIN3A/ABLIM1/LIN7A/ZDHHC15/PRICKLE2/CTNND2/ADGRB3/ACTN2/PTPRO/DLGAP1/NRCAM/CSMD2/TNIK/ASIC1/GPR158/ADCY1/SYN3/CACNG2/BSN/DLGAP2/GRIK4/SHANK2/LRRC4C/CNIH2/UBE3B/DNAJC6/PTPRS/NEO1/GRIA4/GRM5/USP6/NEURL1/NLGN1/SORCS3/CRIPT/SYT1/RTN1/TANC1/NLGN4Y/SYN2/GRM7/FRMPD2/DCC/GRM1/GSG1L/GRIN2C/SLC6A9/GRIK5/IGSF21/BAALC/ADD3/SHISA9/TMEM108/PPFIA2/LRFN5/GRIN2B/SYNDIG1/DAGLA/GRIN1/ITGA8/USP50/PAK3/MAGI2/GRIA3/SH3GL3/NECTIN3/ASIC2/FYN/CAMK2A/GRIA1/DAPK1,165
GO:0099572,postsynaptic specialization,170/5269,359/15040,0.4735376044568245,1.3516806929266731,4.952471713610551,7.783228834219248e-7,1.1441346386302295e-4,1.0552419724709886e-4,DLG1/SOS1/CAMK2D/ITPR1/DNM3/SLC8A1/GPHN/NEGR1/PLEKHA5/MKLN1/CPEB3/ADAM22/DROSHA/ERBIN/DISC1/SIPA1L3/PTK2B/SRGAP2/PRICKLE1/ARHGAP44/INPP4A/CNKSR2/PDLIM5/PSD3/ARHGAP32/ABHD17B/PTEN/LYN/SH3KBP1/GABRB1/BMPR2/LIN7C/ARHGEF9/NCK2/RYK/CLSTN2/PAK2/SLC16A7/GABRA4/DTNB/STRN/ABI1/PKP4/HOMER1/SPOCK1/ADD2/HOMER2/ERBB4/EPS8/IQSEC1/AKAP9/PCLO/GRIP1/NETO2/FAM81A/ABL1/MAP1B/ADAM10/MIB1/RTN4/ANKS1B/DTNBP1/ATP2B2/MAP2K1/CPEB4/SIPA1L1/LRRC7/KPNA1/GRIK1/ALS2/NPTN/GRID1/ABHD17C/DLG2/GLRA2/LRP8/SHANK1/MTMR2/SHISA7/GRID2/EEF2K/USP8/KCND2/IGSF9/KALRN/GRIK2/RGS7BP/PRKN/DGKI/ELFN1/KCNH1/ZDHHC2/CACNA1C/RHEB/CAP2/GRIN3A/ABLIM1/LIN7A/ZDHHC15/PRICKLE2/CTNND2/ADGRB3/ACTN2/PTPRO/DLGAP1/NRCAM/CSMD2/TNIK/ASIC1/GPR158/ADCY1/SYN3/CACNG2/BSN/DLGAP2/GRIK4/GLRB/SHANK2/LRRC4C/NSF/CNIH2/UBE3B/DNAJC6/PTPRS/NEO1/GRIA4/GRM5/USP6/NEURL1/NLGN1/SORCS3/CRIPT/SYT1/RTN1/TANC1/NLGN4Y/SYN2/FRMPD2/DCC/GRM1/GSG1L/GRIN2C/SLC6A9/GRIK5/KCND3/IGSF21/DLGAP4/BAALC/ADD3/SHISA9/TMEM108/PPFIA2/LRFN5/GRIN2B/LHFPL4/SYNDIG1/DAGLA/GRIN1/ITGA8/USP50/PAK3/MAGI2/GRIA3/SH3GL3/NECTIN3/ASIC2/FYN/CAMK2A/GRIA1/DAPK1,170
GO:0098839,postsynaptic density membrane,62/5269,108/15040,0.5740740740740741,1.6386551668388831,4.8912897407152265,1.581765260329007e-6,1.890175782292099e-4,1.7433200197581266e-4,DLG1/ADAM22/CNKSR2/ABHD17B/LIN7C/RYK/CLSTN2/SLC16A7/ERBB4/AKAP9/NETO2/ATP2B2/GRIK1/GRID1/ABHD17C/DLG2/LRP8/SHISA7/GRID2/IGSF9/GRIK2/RGS7BP/ELFN1/KCNH1/CACNA1C/GRIN3A/LIN7A/ADGRB3/ACTN2/PTPRO/NRCAM/CSMD2/ASIC1/GPR158/ADCY1/CACNG2/GRIK4/LRRC4C/PTPRS/NEO1/GRIA4/GRM5/SORCS3/NLGN4Y/DCC/GRM1/GSG1L/GRIN2C/GRIK5/IGSF21/SHISA9/TMEM108/LRFN5/GRIN2B/SYNDIG1/DAGLA/GRIN1/ITGA8/GRIA3/NECTIN3/ASIC2/GRIA1,62
GO:0014069,postsynaptic density,157/5269,331/15040,0.4743202416918429,1.3539146773667332,4.781069634318694,1.800167411706761e-6,1.890175782292099e-4,1.7433200197581266e-4,DLG1/SOS1/CAMK2D/ITPR1/DNM3/SLC8A1/GPHN/NEGR1/PLEKHA5/CPEB3/ADAM22/DROSHA/DISC1/PTK2B/SRGAP2/PRICKLE1/ARHGAP44/INPP4A/CNKSR2/PDLIM5/PSD3/ARHGAP32/ABHD17B/PTEN/SH3KBP1/BMPR2/LIN7C/ARHGEF9/NCK2/RYK/CLSTN2/PAK2/SLC16A7/DTNB/STRN/ABI1/PKP4/HOMER1/SPOCK1/ADD2/HOMER2/ERBB4/EPS8/IQSEC1/AKAP9/PCLO/GRIP1/NETO2/FAM81A/ABL1/MAP1B/ADAM10/MIB1/RTN4/ANKS1B/DTNBP1/ATP2B2/MAP2K1/CPEB4/SIPA1L1/LRRC7/KPNA1/GRIK1/ALS2/NPTN/GRID1/ABHD17C/DLG2/LRP8/SHANK1/MTMR2/SHISA7/GRID2/EEF2K/USP8/IGSF9/KALRN/GRIK2/RGS7BP/PRKN/DGKI/ELFN1/KCNH1/ZDHHC2/CACNA1C/RHEB/CAP2/GRIN3A/ABLIM1/LIN7A/ZDHHC15/PRICKLE2/CTNND2/ADGRB3/ACTN2/PTPRO/DLGAP1/NRCAM/CSMD2/TNIK/ASIC1/GPR158/ADCY1/SYN3/CACNG2/BSN/DLGAP2/GRIK4/SHANK2/LRRC4C/CNIH2/UBE3B/DNAJC6/PTPRS/NEO1/GRIA4/GRM5/USP6/NEURL1/NLGN1/SORCS3/CRIPT/SYT1/RTN1/TANC1/NLGN4Y/SYN2/FRMPD2/DCC/GRM1/GSG1L/GRIN2C/SLC6A9/GRIK5/IGSF21/BAALC/ADD3/SHISA9/TMEM108/PPFIA2/LRFN5/GRIN2B/SYNDIG1/DAGLA/GRIN1/ITGA8/USP50/PAK3/MAGI2/GRIA3/SH3GL3/NECTIN3/ASIC2/FYN/CAMK2A/GRIA1/DAPK1,157
GO:0099634,postsynaptic specialization membrane,69/5269,129/15040,0.5348837209302325,1.5267889851567085,4.412474696267574,1.2533608756694234e-5,0.0011515253045212828,0.0010620584262251431,DLG1/MKLN1/ADAM22/CNKSR2/ABHD17B/GABRB1/LIN7C/RYK/CLSTN2/SLC16A7/GABRA4/ERBB4/AKAP9/NETO2/ATP2B2/GRIK1/GRID1/ABHD17C/DLG2/GLRA2/LRP8/SHISA7/GRID2/KCND2/IGSF9/GRIK2/RGS7BP/ELFN1/KCNH1/CACNA1C/GRIN3A/LIN7A/ADGRB3/ACTN2/PTPRO/NRCAM/CSMD2/ASIC1/GPR158/ADCY1/CACNG2/GRIK4/LRRC4C/PTPRS/NEO1/GRIA4/GRM5/NLGN1/SORCS3/NLGN4Y/DCC/GRM1/GSG1L/GRIN2C/GRIK5/KCND3/IGSF21/SHISA9/TMEM108/LRFN5/GRIN2B/SYNDIG1/DAGLA/GRIN1/ITGA8/GRIA3/NECTIN3/ASIC2/GRIA1,69
GO:0097014,ciliary plasm,85/5269,169/15040,0.5029585798816568,1.4356608543215257,4.182402992031913,3.0034122395542897e-5,0.00245278666230267,0.002262219277512237,WDPCP/ATG7/ATG5/DNHD1/AMBRA1/BRWD1/PIK3C3/CEP162/DNAH7/CCDC66/CCDC146/ATG16L1/ARFGEF2/DNAH11/EFHC1/CFAP126/MAP4/PIK3R4/ARL13B/DNAI4/DNAH1/CFAP70/WDR35/KIFAP3/SPATA7/CFAP36/RPGRIP1L/DNAH17/EFHB/DNAI7/CFAP251/CFAP161/CCDC181/CFAP100/TULP3/PRKAR2A/EFCAB6/RSPH4A/TRAF3IP1/DNAI3/SPAG16/SPMIP6/CFAP61/CFAP210/RSPH9/CFAP276/CFAP53/DYNC2H1/CFAP77/ARL6/DNAH8/ATG14/RPGRIP1/PACRG/SAXO2/HYDIN/DNAJB13/SAXO1/DNAH12/CCDC17/RIBC1/DNAH5/SPAG17/GLI3/CFAP54/SPAG6/CFAP43/DNAH9/DNAH3/DCDC2/NEK4/DYNC2LI1/TOGARAM1/CFAP74/RIBC2/NME7/CFAP52/CFAP141/RP1/CFAP263/DNALI1/DZIP1L/IFT57/SAXO4/BBS7,85
GO:0036064,ciliary basal body,146/5269,319/15040,0.45768025078369906,1.3064169618118873,4.062034050667958,4.146116269633936e-5,0.0029296908249892193,0.0027020707358296563,ERC1/PIBF1/AKT3/SCLT1/UTRN/PRKCA/PTK2/AHI1/NEDD9/ALMS1/SDCCAG8/RTTN/ARMC9/FBXW8/TTBK2/RAB28/MARCHF7/TTLL5/DISC1/PCM1/TTLL11/CEP350/CEP170/CDC14A/CIBAR1/BRAF/AGTPBP1/KIAA0586/ALPK1/SEMA4D/CEP162/IPMK/CSPP1/SMAD3/POC1B/ATXN10/CCDC66/ADCY9/CCDC146/TBC1D31/PKD2/C2CD3/CEP152/TAPT1/MYOF/CNTRL/CEP44/CEP290/DAAM1/SMG6/CROCC/BBS9/DYNC2I1/FZD6/CFAP126/CDK5RAP2/ODF2L/OCRL/MAP4/PIK3R4/ARHGAP35/CCDC14/ARL13B/NFE2L2/CFAP70/IFT43/WDR35/GUCA1B/TTLL4/CPAP/KIFAP3/SPATA7/MAP2K1/CAMSAP2/SMAD6/FANK1/IFT88/NIN/PRKAA1/TUBGCP5/CEP72/CADPS2/RAB23/INTU/KIF7/KATNIP/CREB1/RILPL1/RPGRIP1L/DZIP1/POGZ/EPB41L3/NEDD1/MAPK1/CFAP100/TULP3/AGBL4/USH2A/TBC1D7/TBC1D7-LOC100130357/STIL/DRC10/PRKD3/CILK1/KIF20B/RAB6A/TRAF3IP1/KMT5B/PKHD1/LRRK2/TTLL9/RPAP3/TEK/SSX2IP/IFT122/B9D1/BBS4/LUZP1/TTLL7/CCDC170/CCDC81/GLI2/CIP2A/HIPK1/TTC8/CCDC50/SAXO2/SAXO1/IFT81/RABL2B/C11orf97/AXDND1/KLHL4/OFD1/NEK4/DYNC2LI1/TOGARAM1/NME7/CDKL5/CFAP263/DZIP1L/WHRN/IFT57/SAXO4/MME/BBS7,146
