ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0004674,protein serine/threonine kinase activity,202/5188,410/14808,0.4926829268292683,1.4062545837486131,6.126114415992404,1.3828226909066615e-9,1.6054571441426339e-6,1.4759812721887945e-6,TRIO/STK3/AKT3/CDK8/TAOK3/RPS6KC1/CAMK2D/PRKCA/ULK4/PRKCE/MAPK8/PRKCB/ROCK2/MAP2K5/NLK/DYRK1A/CDK13/CDK17/CAMK1D/VRK2/BMPR1A/CDK6/LATS1/CSNK1G3/MAP4K3/SRPK2/GRK3/MAP3K5/WNK1/CDK14/BMP2K/ATR/TTBK2/SIK3/MAP4K5/TLK1/HIPK3/MAPKAPK5/PKN2/PRKAG2/BRAF/PTK2B/MARK3/IRAK3/SIK2/AAK1/RPS6KA2/PIK3CA/ALPK1/MAP3K4/NEK1/RPS6KA3/MAPK14/TAOK1/LRRK1/ADCK1/TAF1/MAP3K1/STK39/MAST2/BMPR2/MAP3K7/ACVR2A/GSK3B/CDKL1/TGFBR1/TRPM7/HIPK2/GRK5/TLK2/EIF2AK2/PAK2/STK32C/C8orf44-SGK3/MAP2K4/STK4/NEK7/CDK12/PIKFYVE/TGFBR2/NEK6/BRD4/RPS6KA5/ROCK1/PRKACB/NEK11/ABL1/PIK3R4/VRK1/PRKCQ/SMG1/MYLK4/DSTYK/PAK1/EIF2AK3/CDKL4/ACVR1/MAPK10/MAP2K1/MAP3K20/OXSR1/CDK19/MAP3K21/PHKG1/MTOR/PRKCH/SNRK/PRKAA1/ERN1/ATM/KSR1/TSSK3/DCAF1/STK38L/MARK2/EEF2K/RIPK1/KALRN/SLK/CLK4/STK33/MAPK1/PHKA1/CIITA/MYLK3/STK38/CASK/PRKG1/PRKD3/CILK1/EIF2AK4/CAMK4/STK17B/MYO3B/MAST4/PDK1/LRRK2/NEK3/RPS6KB1/MAP3K13/LATS2/NEK10/ACVR2B/MYO3A/CAMKV/PRKCI/SYK/TNIK/MAP3K14/STKLD1/HJV/GRK4/MAP3K8/STK26/STK32B/DAPK2/RIPK2/LMTK2/CAMKK2/WNK3/MAP3K19/SRPK1/LTBP1/MYLK/PPM1D/CDK7/MAP2K6/HIPK1/CHUK/PHKA2/MELK/MAP3K15/BMPR1B/MAPK13/ACVR1C/CIT/MAP4K4/DCLK1/NIM1K/PIK3CG/PAK5/KSR2/PRKDC/WNK4/IRAK4/CHEK2/CDC7/NEK4/PDK3/WNK2/CDKL5/MAPK6/PRKD1/PAK3/TTBK1/FYN/CAMK2A/STK10/NEK5/MAP3K12/DAPK1/HUNK,202
GO:0106310,protein serine kinase activity,170/5188,343/14808,0.4956268221574344,1.4146572826729549,5.705886443810547,1.625329362510795e-8,9.435036949375165e-6,8.674126176768138e-6,TRIO/STK3/AKT3/CDK8/TAOK3/RPS6KC1/CAMK2D/PRKCA/ULK4/PRKCE/MAPK8/PRKCB/ROCK2/MAP2K5/NLK/DYRK1A/CDK13/CDK17/CAMK1D/VRK2/CDK6/LATS1/CSNK1G3/MAP4K3/SRPK2/MAP3K5/WNK1/CDK14/BMP2K/ATR/TTBK2/SIK3/MAP4K5/TLK1/HIPK3/MAPKAPK5/PKN2/BRAF/PIK3CB/MARK3/SIK2/AAK1/RPS6KA2/PIK3CA/ALPK1/MAP3K4/NEK1/RPS6KA3/MAPK14/TAOK1/LRRK1/TAF1/MAP3K1/STK39/MAST2/MAP3K7/GSK3B/CDKL1/TRPM7/HIPK2/TLK2/EIF2AK2/PAK2/STK32C/C8orf44-SGK3/MAP2K4/STK4/NEK7/CDK12/PIKFYVE/NEK6/RPS6KA5/ROCK1/PRKACB/NEK11/PIK3R4/VRK1/PRKCQ/SMG1/MYLK4/DSTYK/PAK1/EIF2AK3/CDKL4/MAPK10/MAP2K1/MAP3K20/OXSR1/CDK19/MAP3K21/PHKG1/MTOR/PRKCH/SNRK/PRKAA1/ERN1/ATM/KSR1/TSSK3/DCAF1/STK38L/MARK2/RIPK1/KALRN/SLK/CLK4/STK33/MAPK1/CIITA/STK38/CASK/PRKG1/PRKD3/CILK1/EIF2AK4/CAMK4/STK17B/MYO3B/MAST4/LRRK2/NEK3/RPS6KB1/MAP3K13/LATS2/NEK10/MYO3A/PRKCI/TNIK/MAP3K14/MAP3K8/STK26/STK32B/DAPK2/RIPK2/LMTK2/CAMKK2/WNK3/MAP3K19/SRPK1/CDK7/MAP2K6/HIPK1/MELK/MAP3K15/MAPK13/CIT/MAP4K4/DCLK1/NIM1K/PIK3CG/PAK5/KSR2/PRKDC/WNK4/IRAK4/CHEK2/CDC7/NEK4/WNK2/CDKL5/MAPK6/PRKD1/PAK3/TTBK1/CAMK2A/STK10/NEK5/MAP3K12/DAPK1/HUNK,170
GO:0030695,GTPase regulator activity,210/5188,471/14808,0.445859872611465,1.2726085184330327,4.4153661038927154,8.560497549364122e-6,0.0022544795656478933,0.00207266175218003,TRIO/TBC1D22A/EVI5/ARHGAP15/SOS1/DENND1A/TBC1D5/STXBP5L/ARHGAP26/TIAM2/RABGAP1L/ASAP1/GNAQ/DENND1B/TBCK/RIC8B/DOCK2/FGD4/WASL/STARD13/DOCK10/ARHGAP12/AGAP1/DOCK4/DOCK8/TBC1D8/VAV3/RASA2/TBC1D12/RAPGEF2/RALGAPA2/HERC1/DOCK5/SIPA1L3/OPHN1/SERGEF/MYO9A/SRGAP2/ARHGAP44/MYCBP2/USP6NL/EIF2B3/RAB3GAP2/SLC38A9/RAP1GDS1/ACAP2/DOCK11/ARHGEF7/RGS20/SBF2/IQGAP2/MON2/ELMO1/PSD3/RALGAPA1/ARHGAP32/TIAM1/DOCK7/ARAP2/RABGAP1/ARHGAP31/SRGAP2C/SMAP1/GAPVD1/AGFG1/CHM/DENND5B/AKAP13/RASAL2/FAM13B/PLCE1/ARHGEF9/ARFGEF1/TBC1D1/ARHGAP10/DENND3/ARFGEF2/NF1/PIK3R1/STXBP5/CCDC88C/CHN2/SRGAP2B/ARHGAP42/TBC1D15/TBC1D19/RASA1/TBC1D4/DENND4C/ARHGAP17/RASGRP1/DENND4A/ASAP2/GBF1/ARHGEF12/IQSEC1/AGAP4/ARHGEF11/SYDE2/OCRL/ARHGAP18/ITSN2/ABR/ARHGAP35/RALGPS1/DNMBP/ARRB1/PDE6D/RASA3/RIC1/MCF2L2/RANBP2/DENND6A/DOCK9/SIPA1L1/KIAA1755/VAV2/ALS2/FGD2/NRP1/ARHGAP24/BCAR3/FGD6/ARHGEF10L/TBC1D9/SOS2/ARHGEF26/RGL1/RASGRF2/ECT2L/DOCK3/RALGAPB/PLEKHG6/KNDC1/C9orf72/RAPGEF1/RGS5/DEPTOR/ARHGAP21/KALRN/RAP1A/RGPD2/TBC1D22B/RANBP10/RIN2/WDR41/FAM13A/FBXO8/ARHGAP25/RGS17/RAP1GAP2/ARHGEF37/TBC1D7/TBC1D7-LOC100130357/CHN1/GRTP1/ARHGEF18/NPRL3/SRGAP3/RAB3GAP1/PLEKHG7/ARHGEF38/LRRK2/RAPGEF4/SRGAP1/VAV1/RGPD1/MCF2/FGD3/CYTH3/ADGRB3/PLCD4/RGS6/GNA13/HERC2/RAPGEFL1/PLCB1/ARHGAP6/PREX1/FARP2/ARHGEF4/RGS7/LARS1/RASGEF1B/SMAP2/ECT2/TBC1D16/FGD1/ARHGAP22/ARHGAP39/SIPA1L2/DENND2D/PREX2/GARNL3/NGEF/NUCB2/RALGPS2/VPS9D1/RGS12/DOCK1/DLC1/CYTH1/RAPGEF5/DENND2A/RABEP1/SLIT2/RASGRF1/RIN3/TBC1D2/ARHGEF33,210
GO:0060589,nucleoside-triphosphatase regulator activity,210/5188,472/14808,0.4449152542372881,1.269912313944827,4.376487450140206,1.0138206569056164e-5,0.0022544795656478933,0.00207266175218003,TRIO/TBC1D22A/EVI5/ARHGAP15/SOS1/DENND1A/TBC1D5/STXBP5L/ARHGAP26/TIAM2/RABGAP1L/ASAP1/GNAQ/DENND1B/TBCK/RIC8B/DOCK2/FGD4/WASL/STARD13/DOCK10/ARHGAP12/AGAP1/DOCK4/DOCK8/TBC1D8/VAV3/RASA2/TBC1D12/RAPGEF2/RALGAPA2/HERC1/DOCK5/SIPA1L3/OPHN1/SERGEF/MYO9A/SRGAP2/ARHGAP44/MYCBP2/USP6NL/EIF2B3/RAB3GAP2/SLC38A9/RAP1GDS1/ACAP2/DOCK11/ARHGEF7/RGS20/SBF2/IQGAP2/MON2/ELMO1/PSD3/RALGAPA1/ARHGAP32/TIAM1/DOCK7/ARAP2/RABGAP1/ARHGAP31/SRGAP2C/SMAP1/GAPVD1/AGFG1/CHM/DENND5B/AKAP13/RASAL2/FAM13B/PLCE1/ARHGEF9/ARFGEF1/TBC1D1/ARHGAP10/DENND3/ARFGEF2/NF1/PIK3R1/STXBP5/CCDC88C/CHN2/SRGAP2B/ARHGAP42/TBC1D15/TBC1D19/RASA1/TBC1D4/DENND4C/ARHGAP17/RASGRP1/DENND4A/ASAP2/GBF1/ARHGEF12/IQSEC1/AGAP4/ARHGEF11/SYDE2/OCRL/ARHGAP18/ITSN2/ABR/ARHGAP35/RALGPS1/DNMBP/ARRB1/PDE6D/RASA3/RIC1/MCF2L2/RANBP2/DENND6A/DOCK9/SIPA1L1/KIAA1755/VAV2/ALS2/FGD2/NRP1/ARHGAP24/BCAR3/FGD6/ARHGEF10L/TBC1D9/SOS2/ARHGEF26/RGL1/RASGRF2/ECT2L/DOCK3/RALGAPB/PLEKHG6/KNDC1/C9orf72/RAPGEF1/RGS5/DEPTOR/ARHGAP21/KALRN/RAP1A/RGPD2/TBC1D22B/RANBP10/RIN2/WDR41/FAM13A/FBXO8/ARHGAP25/RGS17/RAP1GAP2/ARHGEF37/TBC1D7/TBC1D7-LOC100130357/CHN1/GRTP1/ARHGEF18/NPRL3/SRGAP3/RAB3GAP1/PLEKHG7/ARHGEF38/LRRK2/RAPGEF4/SRGAP1/VAV1/RGPD1/MCF2/FGD3/CYTH3/ADGRB3/PLCD4/RGS6/GNA13/HERC2/RAPGEFL1/PLCB1/ARHGAP6/PREX1/FARP2/ARHGEF4/RGS7/LARS1/RASGEF1B/SMAP2/ECT2/TBC1D16/FGD1/ARHGAP22/ARHGAP39/SIPA1L2/DENND2D/PREX2/GARNL3/NGEF/NUCB2/RALGPS2/VPS9D1/RGS12/DOCK1/DLC1/CYTH1/RAPGEF5/DENND2A/RABEP1/SLIT2/RASGRF1/RIN3/TBC1D2/ARHGEF33,210
GO:0005096,GTPase activator activity,125/5188,261/14808,0.4789272030651341,1.366991908825849,4.392745165758222,1.0997511293871694e-5,0.0022544795656478933,0.00207266175218003,TBC1D22A/EVI5/ARHGAP15/SOS1/TBC1D5/STXBP5L/ARHGAP26/TIAM2/RABGAP1L/ASAP1/GNAQ/TBCK/DOCK2/STARD13/ARHGAP12/AGAP1/DOCK4/TBC1D8/VAV3/RASA2/TBC1D12/RAPGEF2/RALGAPA2/DOCK5/SIPA1L3/OPHN1/MYO9A/SRGAP2/ARHGAP44/USP6NL/RAB3GAP2/ACAP2/RGS20/IQGAP2/RALGAPA1/ARHGAP32/DOCK7/ARAP2/RABGAP1/ARHGAP31/SRGAP2C/SMAP1/GAPVD1/AGFG1/CHM/RASAL2/FAM13B/TBC1D1/ARHGAP10/NF1/PIK3R1/STXBP5/CHN2/SRGAP2B/ARHGAP42/TBC1D15/TBC1D19/RASA1/TBC1D4/ARHGAP17/ASAP2/ARHGEF12/AGAP4/ARHGEF11/SYDE2/OCRL/ARHGAP18/ABR/ARHGAP35/ARRB1/RASA3/RANBP2/SIPA1L1/ALS2/NRP1/ARHGAP24/ARHGEF10L/TBC1D9/DOCK3/RALGAPB/PLEKHG6/C9orf72/RGS5/DEPTOR/ARHGAP21/RGPD2/TBC1D22B/RIN2/WDR41/FAM13A/ARHGAP25/RGS17/RAP1GAP2/TBC1D7/TBC1D7-LOC100130357/CHN1/GRTP1/NPRL3/SRGAP3/RAB3GAP1/LRRK2/SRGAP1/RGPD1/ADGRB3/RGS6/PLCB1/ARHGAP6/PREX1/RGS7/LARS1/SMAP2/ECT2/TBC1D16/ARHGAP22/ARHGAP39/SIPA1L2/PREX2/GARNL3/VPS9D1/RGS12/DOCK1/DLC1/RABEP1/RIN3/TBC1D2,125
GO:0005085,guanyl-nucleotide exchange factor activity,110/5188,225/14808,0.4888888888888889,1.3954253405294268,4.389128586075386,1.1651057186810818e-5,0.0022544795656478933,0.00207266175218003,TRIO/SOS1/DENND1A/TIAM2/DENND1B/RIC8B/DOCK2/FGD4/DOCK10/DOCK4/DOCK8/VAV3/RAPGEF2/HERC1/DOCK5/SERGEF/MYCBP2/EIF2B3/RAB3GAP2/SLC38A9/RAP1GDS1/DOCK11/ARHGEF7/SBF2/MON2/ELMO1/PSD3/TIAM1/DOCK7/GAPVD1/DENND5B/AKAP13/PLCE1/ARHGEF9/ARFGEF1/DENND3/ARFGEF2/CCDC88C/DENND4C/RASGRP1/DENND4A/GBF1/ARHGEF12/IQSEC1/ARHGEF11/ITSN2/ABR/RALGPS1/DNMBP/RIC1/MCF2L2/DENND6A/DOCK9/KIAA1755/VAV2/ALS2/FGD2/BCAR3/FGD6/ARHGEF10L/SOS2/ARHGEF26/RGL1/RASGRF2/ECT2L/DOCK3/PLEKHG6/KNDC1/C9orf72/RAPGEF1/DEPTOR/KALRN/RAP1A/RANBP10/RIN2/WDR41/FBXO8/ARHGEF37/ARHGEF18/RAB3GAP1/PLEKHG7/ARHGEF38/RAPGEF4/VAV1/MCF2/FGD3/CYTH3/PLCD4/GNA13/HERC2/RAPGEFL1/PREX1/FARP2/ARHGEF4/RASGEF1B/ECT2/FGD1/DENND2D/PREX2/NGEF/NUCB2/RALGPS2/VPS9D1/DOCK1/CYTH1/RAPGEF5/DENND2A/RASGRF1/RIN3/ARHGEF33,110
GO:0019783,ubiquitin-like protein peptidase activity,56/5188,102/14808,0.5490196078431373,1.5670551952469502,4.220113433778858,3.0096566810251307e-5,0.004991730580957396,0.004589160713623282,ALG13/USP34/USP45/USP32/MINDY3/USP15/USP31/USP24/SENP5/USP12/USP9X/USP3/USP25/SENP7/USPL1/USP47/SENP6/USP53/MYSM1/TANK/USP37/USP10/USP40/PSMD14/SENP1/OTULIN/USP42/USP48/USP38/USP4/STAMBPL1/OTUD7A/MINDY2/OTUD3/USP8/OTUD4/DESI2/USP14/UCHL5/USP54/OTUD6B/VCPIP1/ATXN3/ZUP1/USP44/ZRANB1/USP33/USP46/USP43/TNFAIP3/SENP8/OTUD7B/USP6/DESI1/USP50/USP16,56
GO:0035091,phosphatidylinositol binding,124/5188,265/14808,0.4679245283018868,1.3355872041430878,4.0480634745441115,4.58223355866413e-5,0.006649966452011319,0.006113664248007143,DENND1A/VPS13B/RPS6KC1/FCHSD2/WDPCP/ITPR1/DENND1B/BCAS3/PLEKHA5/PITPNC1/PLA2G4A/WDFY3/COMMD1/EEA1/MAPKAP1/ZFYVE9/PIK3C2A/FCHO2/CERT1/KIF16B/SBF2/IQGAP2/SNX25/HIP1/ARFIP1/ARHGAP32/ARAP2/PLD1/OSBPL8/SNX27/APPL2/MTM1/SNX13/SH3YL1/SNX24/MYO1E/ZCCHC2/C8orf44-SGK3/PITPNB/STAM/STAM2/ATG2B/MYO1B/SVIL/KCNQ1/CGAS/PICALM/GBF1/TOM1L2/PLEKHA3/OGT/PIGK/SH3PXD2A/JPH2/EPB41/ESYT2/PIGU/GAB2/RUBCNL/PITPNM2/SNX16/PXK/SNX9/MYO10/SNX29/GSDME/ZFYVE28/ZCCHC14/FGD2/INTU/PLEKHA8/AVIL/SNX30/ZFYVE26/ITPR2/TOM1L1/TULP3/DAPP1/CLVS1/GOLPH3/KCNH1/SH3PXD2B/PFN2/GOLPH3L/DNM1/SNX19/VEPH1/ESYT3/GSDMB/TRPM3/RUFY4/KCNJ1/PARD3B/EXOC1/CYTH3/ACTN2/TULP1/AMER1/PLEKHF2/PHF12/LANCL2/DOK7/SYTL2/PLCB1/FRMPD4/SYT9/PARD3/MAPT/SYT1/RPH3A/SNX2/SCARB1/KCNJ3/FRMPD2/HCN1/TOM1/SNX4/VIL1/SNAP91/RUBCN/SNX31/SNX10/SYT7/SLC9A1,124
GO:0008066,glutamate receptor activity,18/5188,24/14808,0.75,2.1407093292212798,4.1070559875201775,7.554126707665638e-5,0.009744823452888672,0.008958929218213984,GRIK1/GRID1/GRID2/GRIK2/GRIN3A/GRIK4/GRM8/GRM4/GRIA4/GRM5/GRM7/GRM1/GRIN2C/GRIK5/GRIN2B/GRIN1/GRIA3/GRIA1,18
GO:0101005,deubiquitinase activity,49/5188,90/14808,0.5444444444444444,1.5539964019532253,3.8712372269634105,1.2225838148116936e-4,0.014194198089963762,0.013049473560200605,ALG13/USP34/USP45/USP32/MINDY3/USP15/USP31/USP24/USP12/USP9X/USP3/USP25/USP47/USP53/MYSM1/TANK/USP37/USP10/USP40/PSMD14/OTULIN/USP42/USP48/USP38/USP4/STAMBPL1/OTUD7A/MINDY2/OTUD3/USP8/OTUD4/DESI2/USP14/UCHL5/USP54/OTUD6B/VCPIP1/ATXN3/ZUP1/USP44/ZRANB1/USP33/USP46/USP43/TNFAIP3/OTUD7B/USP6/USP50/USP16,49
