gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,Mix_1,Mix_2,Mix_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000080824.19,HSP90AA1,88809.874,103659.735,83901.966,18320.515,14684.727,14490.713,61221.02565071117,2.554533291510825,0.06304526772175521,0,0,Up
ENSG00000112759.19,SLC29A1,2812.999,3757,2601,1015.999,843.001,805,2183.2379821903864,1.7825146046000548,0.05274220001415243,3.111511886451254e-252,1.7240887362826396e-248,Up
ENSG00000163818.20,LZTFL1,106.999,171,123,1795,1364.999,1455,566.3374953414432,-3.4980699633348222,0.11129433881059776,8.672131198624442e-221,3.2034852647718687e-217,Down
ENSG00000100591.8,AHSA1,5449,6765,5222.001,1642,1363,1374,3975.904071754694,1.9989584335604869,0.06385081542261299,1.0647042344457831e-216,2.9497630815320424e-213,Up
ENSG00000153395.10,LPCAT1,4501,6215,4251,2073.001,1678.999,1777.999,3756.4949905848716,1.433072643890876,0.046124592158761926,7.157608516301564e-214,1.5864123515530788e-210,Up
ENSG00000168906.13,MAT2A,8497.002,9173,7434,1573,1236.998,1251,5505.996783856901,2.6372250383473097,0.08977914345378653,2.395338020092172e-191,4.424189323110241e-188,Up
ENSG00000135316.20,SYNCRIP,11284.795,14929.438,10515.165,5758.425,4333.975,4372.277,9251.679772049307,1.3490655402694647,0.04811063557758466,7.88507414972174e-175,1.248319881817376e-171,Up
ENSG00000106263.19,EIF3B,6733.001,9165.999,6052.999,3445.001,2767.001,2976,5628.028604579978,1.2509479727554724,0.045818252945344425,9.40406462690525e-166,1.3026980524420496e-162,Up
ENSG00000171243.8,SOSTDC1,1179,1309,1026,5611,4247,4579,2208.508884202231,-2.0095289051441863,0.075658524452663,5.534710194082135e-157,6.815073152313135e-154,Down
ENSG00000169136.13,ATF5,843,1569,752.001,11238,9146.999,9307,3826.7930596188157,-3.235320383625474,0.12291270175012904,7.188991498401614e-156,7.966840378528668e-153,Down
ENSG00000101255.12,TRIB3,1240,2159,1162,10251,8924,9264,3975.596857211422,-2.648974025435607,0.10210021589374407,4.0630431076232606e-150,4.093331247152816e-147,Down
ENSG00000113161.17,HMGCR,6328.999,8416.001,5910,4238.002,3389.999,3489.001,5476.983482955055,0.8958332386033255,0.0352151730201784,1.1594210967787174e-143,1.0707253828751456e-140,Up
ENSG00000117450.15,PRDX1,12395,15273.999,11819,4544,4001,3967,9410.756524256642,1.6599205131444952,0.06566365924145177,5.652106256501143e-143,4.8182031949650515e-140,Up
ENSG00000157514.18,TSC22D3,101,155,105,1084.002,851,939,386.7856765701399,-2.9655321499858394,0.1183841179193296,7.024309155524018e-141,5.560242432965511e-138,Down
ENSG00000109971.14,HSPA8,52612.984,57833.981,49958.99,15603.993,12616.998,12939.997,35977.483527564495,1.9777779246248433,0.0791965458177043,3.1048807429245658e-139,2.293885892872669e-136,Up
ENSG00000215301.11,DDX3X,13865.805,17737.714,13454.79,6923.9,5086.95,5394.968,11226.40189588789,1.3819038365778322,0.055722528718816805,1.2245225280950504e-137,8.481349160218342e-135,Up
ENSG00000063244.14,U2AF2,8540.998,10455,7625,4548.001,3797.001,3866,6862.280915050954,1.1275972553729268,0.046694800577954804,3.4175179685573e-130,2.227819654561882e-127,Up
ENSG00000161547.17,SRSF2,9686,10918,8650.001,3564.999,2911,3053.999,6840.384958924145,1.6271330353396816,0.0676837248363367,1.0546437052591202e-129,6.493089745378649e-127,Up
ENSG00000136997.22,MYC,7558.999,7546,7217,1367.999,1093.999,1158.001,4689.849122425227,2.637582582774843,0.11012223048435082,1.8046069015662156e-128,1.0525607201661474e-125,Up
ENSG00000123505.19,AMD1,4855.976,6867.975,4884.996,2702.903,2193.995,2148.959,4205.683969781828,1.2349366490441376,0.051707421364830364,1.1734278452295228e-127,6.501963690416786e-125,Up
ENSG00000132361.18,CLUH,6577.999,6876.002,5823.999,1582,1328,1365,4314.060520396428,2.181930629706962,0.09309552486080322,6.878227284549853e-123,3.629738798446736e-120,Up
ENSG00000115541.11,HSPE1,7658.716,8098.659,7327.034,1483.955,1301.624,1285.095,4914.90729420351,2.5088973865518933,0.1072118865931858,1.2416983031577993e-122,6.254772997997605e-120,Up
ENSG00000168439.17,STIP1,13003,15078,12048,5340.999,4506.999,4457.001,9492.792300330302,1.4963417614190313,0.06460156655550636,1.1085908171495394e-120,5.341479754630955e-118,Up
ENSG00000175197.13,DDIT3,208,294,189,1193.001,1021,1007,498.38228945530983,-2.20698771053561,0.0956427727100024,3.242836191357421e-119,1.497379611359289e-116,Down
