gene_id,gene_name,A5BKO_1,A5BKO_2,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000159840.16,ZYX,182,90,154,43,40,31,187.37933511674163,1.5041555384694296,0.5010837971104612,1.7122778221595902e-7,0.001604404319363536,Up
ENSG00000196329.12,GIMAP5,535.318,420.295,485.579,231.693,210.361,232.491,402.1605809978562,0.4137957664109405,0.2768382664882755,2.939509909841971e-6,0.00918106928507309,Up
ENSG00000228253.1,MT-ATP8,9498,16293.755,9271.525,14512.8,13056.559,13788.518,12048.74423374116,-0.3060497867597017,0.080967596803138,2.5646592765555124e-6,0.00918106928507309,Down
ENSG00000292358.1,GTPBP6,768.248,536.474,701.466,302.268,312.523,301.897,494.31218966172145,0.387687579835604,0.2863929193478332,6.593205090033921e-6,0.01544458292340446,Up
ENSG00000126870.16,DYNC2I1,309,427,264,392,392,384,408.89623969157674,-0.27434014087871944,0.0832638381465512,3.097342147672773e-5,0.03627761990461735,Down
ENSG00000127824.15,TUBA4A,258.001,193.001,207,109.004,110.002,106,289.273143358325,0.29532908951789993,0.17924844289191208,2.879007994003292e-5,0.03627761990461735,Up
ENSG00000138668.20,HNRNPD,19561.001,26826.213,18416,20338.001,20350.999,20772,18781.657971782548,-0.11671623558645183,0.028508747271324113,2.7235247430739644e-5,0.03627761990461735,NS
ENSG00000292348.1,CD99,877.953,1147.074,756.938,1085.624,1009.245,1270.2,1087.077116125511,-0.2871620553331216,0.0878375694460534,1.946394206983419e-5,0.03627761990461735,Down
ENSG00000083635.8,NUFIP1,508,165,455,131,109,123,233.63110653772782,0.25685045683356267,0.37500988621477005,1.238709348146715e-4,0.042420774120221556,NS
ENSG00000085760.15,MTIF2,2123,1285,1965,888.999,859,941,1391.7238940528762,0.24345115346257132,0.16162870258021678,1.4942212950995256e-4,0.042420774120221556,NS
ENSG00000092445.12,TYRO3,318.976,196,329,127,105.959,132,217.21219183304217,0.2370509283096463,0.2225435293535736,1.5341184819685306e-4,0.042420774120221556,NS
ENSG00000095209.12,TMEM38B,956,1073,947.001,652,687,583,807.8052573791606,0.2689451203101215,0.08916366509905499,6.724108362005136e-5,0.042420774120221556,Up
ENSG00000100867.15,DHRS2,55460,44949.999,52325,30059,30271.999,31528.001,50943.21879505273,0.2634730614026838,0.10804661936384023,1.2336895451299084e-4,0.042420774120221556,Up
ENSG00000110104.13,CCDC86,2210,1921,2094,1206,1239,1231,1216.1918205517732,0.267970158426025,0.10999656756341414,9.57222969263917e-5,0.042420774120221556,Up
