ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0140098,"catalytic activity, acting on RNA",187/3019,367/10394,0.5095367847411444,1.7542647699898823,9.41222619813566,2.3590116598855865e-19,2.0924433423185153e-16,1.8127142228594506e-16,DDX3X/DDX5/POLR3H/POLR2B/TRMT10C/DHX15/ELAC2/FEN1/POLR2L/DDX39A/DHX33/ETF1/TRMT61A/DHX34/DHX9/FTSJ3/EARS2/POLR1C/MARS2/PTRH2/PLD6/G3BP1/POP1/PUS7/DDX56/DDX24/POLR1A/DARS2/DHX37/RARS1/EXOSC2/QTRT1/POLR1B/TRMT5/TRUB2/NOP2/LARS2/GATC/TFB2M/METTL1/MRM1/TRNT1/ISG20L2/UPF1/POLR3K/QTRT2/NAT10/FTSJ1/PNPT1/PUS1/DDX31/PDE12/EIF4A3/MTREX/PUSL1/DHX30/DDX18/POLR2E/SUPV3L1/DDX20/VARS1/DDX49/POLR3G/RPP40/DDX19A/METTL2B/EMG1/TOE1/POLR2F/EXOSC5/LRRC47/EXOSC3/DTD2/USB1/EXOSC7/HARS1/DUS3L/DDX21/FARSA/TRMT44/POP7/MRM3/DIS3L/NSUN2/MEPCE/POLR2H/DDX28/DDX54/DBR1/POP4/EXOSC4/TSEN2/POLR2I/RNASEH1/DUS1L/DDX1/LCMT2/FDXACB1/DDX23/POLRMT/DDX51/EIF4A1/RTCB/DHX36/POLR3B/APEX1/METTL16/RCL1/DDX47/ADAT2/BUD23/ERI1/XRN2/KARS1/YARS2/DHX57/METTL2A/TRMT2A/TRMO/POLR2K/POLR3A/ENDOG/REXO2/SPOUT1/ERI3/AQR/DIMT1/TRMT1/METTL8/DROSHA/DDX10/DDX55/DDX52/HENMT1/TYW3/DHX29/RLIG1/DHX38/DICER1/POP5/FMR1/TRUB1/TRMT61B/OSGEP/NARS2/NSUN5/SKIC2/AARSD1/TSR3/DTWD1/ZCCHC4/TARBP1/EXOSC10/GTPBP3/EXOSC9/TSEN34/MRM2/DHX35/DDX46/FARSB/POLR2C/TGS1/DDX17/GATB/ERI2/CARS2/RPP38/PARS2/LARS1/METTL3/THUMPD2/JMJD6/TRMT11/LACTB2/SNRNP200/TERT/METTL5/TARS3/AGO2/NOCT/PSTK/OSGEPL1/MTFMT/DIS3/TRMT13/ELAC1/DUS2,187
GO:0051082,unfolded protein binding,56/3019,87/10394,0.6436781609195402,2.2160949998667445,7.287557575548998,7.623590764944144e-12,3.3810625042527277e-9,2.929063820215381e-9,HSP90AA1/AHSA1/HSPA8/HSPE1/DNAJA1/CCT5/NUDC/PTGES3/CCT2/CCT3/CCT6A/TCP1/TIMM10B/DNAJB1/PPIA/HSPD1/PFDN6/SHQ1/GRPEL1/AFG3L2/HSPA1B/HSP90B1/HSPA5/CCAR2/NAP1L4/HSPB1/TRAP1/TTC1/DNAJB6/CDC37/UGGT1/RUVBL2/CCT7/HEATR3/PFDN2/NPM1/MKKS/PPIB/TUBB4B/CCT4/CCT8/HSP90AB1/HTRA2/DNAJB11/CALR/SRSF10/PDRG1/CANX/SCAP/DNAJA3/DNAJA2/NDUFAF1/HSPA9/VBP1/PET100/SPG7,56
GO:0043021,ribonucleoprotein complex binding,90/3019,168/10394,0.5357142857142857,1.8443902900676665,7.059370651198023,1.7395147835352358e-11,4.386077827126817e-9,3.799723270400019e-9,DDX3X/IFRD2/UNG/BOP1/DDX5/EIF5A/NAA15/NCLN/GEMIN4/LETM1/PRMT5/XPO5/DHX33/ETF1/DHX9/SEC61A1/CPSF6/PRPF31/G3BP1/HNRNPU/NME1/C1QBP/ABCE1/PES1/SERBP1/SRP9/NOMO1/SNRNP70/EIF2S1/YBX3/NDUFAB1/EIF4A3/GEMIN5/STRAP/SNRPD1/EIF5AL1/TIMM50/WDR12/GTPBP4/NOMO2/LARP1/HSPA5/ZNF593/SEC61B/SRP19/NOPCHAP1/SNRPB/MTOR/SRP68/MPV17L2/DNAJC2/MDM2/AFG2B/YTHDF1/TMEM147/ERI1/NPM1/CD2BP2/RBM23/EIF6/MALSU1/TMA16/RBM39/ABCF1/DHX29/PRMT7/TTC5/NOMO3/MCTS1/PPIH/FMR1/NAA10/UQCC5/CCDC47/CINP/GUF1/ERAL1/NEMF/PTCD3/MRRF/MAIP1/YTHDF3/CPEB1/USP16/STAU2/SBDS/GTPBP6/TMEM223/TACO1/DERL3,90
GO:0016887,ATP hydrolysis activity,141/3019,300/10394,0.47,1.6181450811526994,6.950889791892635,1.9779381407561746e-11,4.386077827126817e-9,3.799723270400019e-9,HSP90AA1/HSPA8/DDX3X/CCT5/DDX5/DHX15/DDX39A/DHX33/DHX34/DHX9/ABCF2/CCT2/CCT3/TWNK/CCT6A/TCP1/G3BP1/TAP2/VCP/DDX56/DDX24/ATAD3A/ABCE1/MCM7/DHX37/RUVBL1/HSPD1/TRIP13/ATP2A2/ATP1A1/PSMC4/ATP13A3/UPF1/DDX31/AFG3L2/EIF4A3/MTREX/HSPA1B/DHX30/DDX18/SUPV3L1/MCM3/DDX20/ERCC6L/DDX49/DDX19A/HSP90B1/XRCC5/ATAD3B/RIOK1/ATP13A1/HSPA5/MYO19/DDX21/MDN1/RECQL4/IDE/SMARCAD1/ATP5F1A/MCM4/DDX28/BCS1L/DDX54/DDX1/DDX23/AFG2B/TRAP1/DDX51/EIF4A1/DHX36/RUVBL2/MCM2/DDX47/CCT7/PSMC6/DHX57/ATP6V1G1/INO80/ABCF3/GET3/AQR/KIF1C/KIF20A/CCT4/CCT8/SMC5/HSP90AB1/DDX10/DDX55/DDX52/ABCF1/MORC2/FBH1/MLH3/DHX29/ABCD3/DHX38/WRN/ATP8B2/ATP11C/HSPA14/ABCB10/SKIC2/ATP5PO/ABCC4/ACIN1/MCM6/MSH2/KIF9/MCM8/FIGNL1/CLPB/PSMC2/SMC3/DHX35/DDX46/RHOT2/ABCB8/DDX17/HSPA9/AK6/PMS1/SWSAP1/DNA2/KIF20B/SMCHD1/DDX11/ERCC3/SMC6/PSMC3/SNRNP200/ATP8A2/RNF213/CHD1/SPG7/BTAF1/SRCAP/MCM9/SPAST/CHD1L/CARNS1,141
GO:0016741,"transferase activity, transferring one-carbon groups",91/3019,175/10394,0.52,1.7902881748923485,6.745611359753126,1.1374828845267718e-10,2.0178946371504933e-8,1.748131590956933e-8,GART/TRMT10C/PRMT5/TRMT61A/FTSJ3/PRMT1/FAM98A/EEF2KMT/PRMT3/GCSH/ICMT/TRMT5/NOP2/WDR5/PRMT6/TFB2M/SUV39H2/METTL1/MRM1/SMYD5/FTSJ1/TRMT112/METTL2B/EMG1/ATIC/CAD/METTL13/TRMT44/MRM3/NSUN2/MEPCE/SMYD2/LCMT2/FDXACB1/EEF1AKMT4/RRP8/METTL16/CARM1/BUD23/TP53BP1/METTL2A/PRDM15/ANTKMT/TRMT2A/TRMO/SPOUT1/DIMT1/TRMT1/NTMT1/METTL8/NDUFAF5/HENMT1/TYW3/PRMT7/SETMAR/CARNMT1/HEMK2/SETD1A/EHMT1/FAM98B/TRMT61B/DNMT1/NSUN5/PRDM8/PRDM11/METTL25/ZCCHC4/TARBP1/EHMT2/METTL21A/DOT1L/MRM2/EEF1AKMT1/PRDM4/TGS1/SETD1B/SETD9/ATPSCKMT/METTL3/GAMT/DNMT3B/THUMPD2/TRMT11/COQ3/METTL5/PEMT/VCPKMT/MTFMT/TRMT13/OTC/NDUFAF7,91
GO:0044183,protein folding chaperone,39/3019,55/10394,0.7090909090909091,2.4413020566713843,6.856746464547633,1.4884009758061529e-10,2.200352775900096e-8,1.9061977409447218e-8,HSP90AA1/AHSA1/HSPA8/HSPE1/CCT5/KHSRP/CCT2/CCT3/CCT6A/TCP1/CDC123/DNAJB1/HSPA4/HYPK/HSPD1/HSPA1B/HSP90B1/DFFA/HSPA5/LYRM7/HSPB1/RIC8A/TRAP1/DNAJB6/HSPH1/CCT7/HSPA4L/PFDN2/PDCL3/CCT4/CCT8/HSP90AB1/DNLZ/CALR/MESD/HSPA14/ZPR1/CCDC47/HSPA9,39
GO:0008168,methyltransferase activity,85/3019,165/10394,0.5151515151515151,1.7735955112569883,6.408558185019341,8.571331587691748e-10,1.0861101597546544e-7,9.409130915811993e-8,TRMT10C/PRMT5/TRMT61A/FTSJ3/PRMT1/FAM98A/EEF2KMT/PRMT3/ICMT/TRMT5/NOP2/WDR5/PRMT6/TFB2M/SUV39H2/METTL1/MRM1/SMYD5/FTSJ1/TRMT112/METTL2B/EMG1/METTL13/TRMT44/MRM3/NSUN2/MEPCE/SMYD2/LCMT2/FDXACB1/EEF1AKMT4/RRP8/METTL16/CARM1/BUD23/TP53BP1/METTL2A/PRDM15/ANTKMT/TRMT2A/TRMO/SPOUT1/DIMT1/TRMT1/NTMT1/METTL8/NDUFAF5/HENMT1/TYW3/PRMT7/SETMAR/CARNMT1/HEMK2/SETD1A/EHMT1/FAM98B/TRMT61B/DNMT1/NSUN5/PRDM8/PRDM11/METTL25/ZCCHC4/TARBP1/EHMT2/METTL21A/DOT1L/MRM2/EEF1AKMT1/PRDM4/TGS1/SETD1B/SETD9/ATPSCKMT/METTL3/GAMT/DNMT3B/THUMPD2/TRMT11/COQ3/METTL5/PEMT/VCPKMT/TRMT13/NDUFAF7,85
GO:0004386,helicase activity,72/3019,133/10394,0.5413533834586466,1.8638049246999577,6.414571645543205,9.911626952650384e-10,1.0989516383751113e-7,9.520378520308921e-8,DDX3X/DDX5/DHX15/DDX39A/DHX33/DHX34/DHX9/TWNK/G3BP1/DDX56/DDX24/MCM7/DHX37/TTF2/RUVBL1/UPF1/DDX31/EIF4A3/MTREX/DHX30/DDX18/SUPV3L1/MCM3/DDX20/ERCC6L/DDX49/DDX19A/XRCC5/DDX21/RECQL4/SMARCAD1/MCM4/DDX28/DDX54/DDX1/DDX23/DDX51/EIF4A1/DHX36/RUVBL2/MCM2/DDX47/ERCC6L2/RFC3/DHX57/AQR/DDX10/DDX55/DDX52/FBH1/DHX29/DHX38/DICER1/WRN/DSCC1/SKIC2/MCM6/SHPRH/MCM8/DHX35/DDX46/DDX17/ZNFX1/DNA2/DDX11/ERCC3/SNRNP200/HELLS/BTAF1/SRCAP/MCM9/CHD1L,72
GO:0015453,oxidoreduction-driven active transmembrane transporter activity,42/3019,64/10394,0.65625,2.2593781053328916,6.46572118101057,1.3217421379042344e-9,1.3026503070233954e-7,1.1285049832398724e-7,MT-ND2/NDUFB2/MT-ND1/MT-ND3/COX7B/UQCR10/CYBRD1/NDUFS3/NDUFS6/COXFA4/NDUFV3/COX5B/MT-ND6/NDUFB3/NDUFB10/NDUFV2/NDUFS5/NDUFA5/NDUFA1/NDUFS1/NDUFA9/NDUFA8/NDUFB8/NDUFA10/CYB561A3/UQCRFS1/COX6B1/NDUFB6/COX7A2/CYC1/NDUFA6/NDUFA3/NDUFA2/COX5A/NDUFC1/MT-ND4L/CYB561D2/MT-ND5/NDUFB7/MT-ND4/NDUFA7/MT-CO3,42
GO:0140657,ATP-dependent activity,177/3019,417/10394,0.4244604316546763,1.4613586375020553,6.152161180714342,1.8232378573967524e-9,1.6172119795109195e-7,1.401014353578557e-7,HSP90AA1/HSPA8/DDX3X/CCT5/DDX5/DHX15/DDX39A/DHX33/DHX34/SLC27A4/DHX9/ABCF2/CCT2/CCT3/TWNK/CCT6A/TCP1/MYD88/G3BP1/TAP2/VCP/DDX56/DDX24/ATAD3A/ABCE1/MCM7/DHX37/TTF2/HSPA4/RUVBL1/HSPD1/NAE1/TRIP13/ATP2A2/ATP1A1/PSMC4/ATP13A3/UPF1/DDX31/AFG3L2/EIF4A3/MTREX/HSPA1B/DHX30/DDX18/SUPV3L1/MCM3/DDX20/ERCC6L/DDX49/DDX19A/HSP90B1/XRCC5/ATAD3B/RIOK1/UBA1/ATP13A1/HSPA5/MYO19/DDX21/MDN1/RECQL4/IDE/SMARCAD1/ATP5F1A/MCM4/ATP6V1C1/DDX28/BCS1L/DDX54/ATP5F1B/RFT1/DDX1/DDX23/AFG2B/TRAP1/DDX51/EIF4A1/ATG7/HSPH1/ATP6V0E1/DHX36/RUVBL2/MCM2/DDX47/ERCC6L2/CCT7/RFC3/PSMC6/MSH6/DHX57/ACSL4/ATP6V1G1/RAD51C/HSPA4L/SLC36A1/INO80/ATP6V0B/ABCF3/GET3/AQR/KIF1C/KIF20A/CCT4/CCT8/MFSD2A/SMC5/HSP90AB1/DDX10/DDX55/DDX52/ATP6V1F/ABCF1/MORC2/FBH1/MLH3/DHX29/ABCD3/DHX38/DICER1/WRN/ATP8B2/ATP11C/HSPA14/XRCC2/ABCB10/DSCC1/XRCC3/SKIC2/RAD51D/ATP5PO/ABCC4/ACIN1/MCM6/MSH2/SHPRH/KIF9/MCM8/FIGNL1/CLPB/PSMC2/SLC27A5/SMC3/DHX35/DDX46/ATP6V0D1/RHOT2/ABCB8/DDX17/HSPA9/AK6/ZNFX1/PMS1/SWSAP1/DNA2/KIF20B/SMCHD1/DDX11/ERCC3/SMC6/PSMC3/SNRNP200/ATP8A2/ATP6V0E2/HELLS/RNF213/CHD1/SPG7/BTAF1/SRCAP/ATP6V0A2/MCM9/NUBP1/SPAST/MOCS3/CHD1L/CARNS1,177
