ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030155,regulation of cell adhesion,145/2410,431/9995,0.33642691415313225,1.3952643182408948,4.728320031169196,3.1721571049713203e-6,0.014972581535464631,0.014184550928334915,RUNX3/STAT5B/MDK/ETS1/GATA3/SPOCK2/TFE3/PTK2B/BRD4/CYLD/CARD11/PRKD2/AKNA/SEMA4D/IL2RG/CELSR2/CORO1A/STAT5A/CSF1/RASAL3/CAMSAP3/HLA-E/MAP2K5/MAPK3/EPB41L5/NEDD9/CBLB/PLEKHA2/CD37/JAM3/CYTH1/SMARCA2/PHF10/PRKCE/NCKAP1L/JAG2/PRKAR1A/ARG2/S100A10/PLXNB2/BRAF/JUP/RUNX1/MAP2K1/IL20RB/CEBPB/NDFIP1/PTPN6/PLXNB1/ZDHHC2/KIFAP3/PTPRA/LGALS9/LGALS9C/MYADM/UBASH3B/NCK1/RAP1GAP/LPXN/LMO7/IL6ST/SIPA1/LAPTM5/PELI1/KLHL22/FYN/IRF1/CYTH3/CD44/PTEN/ITCH/LGALS1/RHOH/RRAS/CD28/JAK1/CCDC88B/KAT5/SPOCK1/NKAP/PTPRC/ACTG1/RELL2/CLASP1/SHB/PPP3CA/BCL6/PLXNB3/ZMIZ1/ILK/CD5/DUSP10/FERMT2/JAG1/TYK2/RASGRP1/ASS1/PLXND1/RND1/FAF1/LOXL3/FLOT2/NCK2/ILDR2/VSIR/ARHGEF7/ITGA3/MAPK14/SERPINE2/BST1/PLXNC1/RIPK2/EPHA1/SLC7A1/ITGA5/PLAUR/TMIGD2/LAMA5/BAD/TESK1/UTRN/RGCC/MELTF/DHPS/TNFRSF14/FCHO1/FLOT1/FXYD5/LGALS8/VPS33B/AFDN/NF1/HLA-A/PTPN2/ATM/PRKCA/WDPCP/PKD1/NFAT5/IL15/SMAD3/MFSD2B/DOCK8/MAD1L1/TRIOBP,145
GO:0007264,small GTPase-mediated signal transduction,117/2410,344/9995,0.34011627906976744,1.4105652320756537,4.367929639562955,1.6231470581692412e-5,0.018116705699634264,0.017163194873337725,WASF2/DOCK7/LAT/CDC42SE2/RAB3GAP1/SEMA4D/SDCBP/ARHGAP19/CSF1/RASAL3/MADD/CBL/RALB/CYTH1/ARHGAP15/SQSTM1/RB1/ARHGEF2/MAP2K1/KANK2/PLXNB1/RAP2A/ARHGEF9/CYTH4/KRAS/RAP1GAP/SIPA1/DOCK11/DOCK9/WHR1/CYTH3/RAB33B/RHOH/RRAS/ARHGAP33/CCDC88C/RIT1/LPAR2/SGSM3/DENND4C/ARFGEF1/CYTH2/FAM13A/ABI2/ARHGAP9/ARHGEF1/GIT2/ITGB1/RHOG/DENND1A/BCL6/RGL2/STAMBP/GBF1/MCF2L/DVL3/FERMT2/ARHGAP26/RIPOR1/RASGRP1/SHOC2/RND1/RALGAPA2/DNMBP/CDKN1A/RHOF/SH2D3A/RAP1A/RALGAPB/NUCB1/ARHGAP31/ARHGEF7/ITGA3/GMIP/PSD/ARAP1/RHOQ/SRGAP2/DOCK10/RAB30/MICALL2/CDKL5/ARHGAP25/HEG1/GARRE1/SCAI/SIRT6/NET1/ARHGEF19/SH2D3C/RGL4/KSR1/FLOT1/RND2/GRAP/NF1/GABARAP/DENND3/SOS2/GRAP2/ARHGEF17/ARHGAP44/ARHGEF10/ARHGAP10/CDC42SE1/OGT/RALGPS2/RAB4B/RAPGEF2/RHOC/FGD5/ARL3/IQSEC1/DOCK8/ITSN1/DOK2/ARFIP2,117
GO:0030036,actin cytoskeleton organization,140/2410,427/9995,0.32786885245901637,1.3597714441194475,4.282826141958001,2.1022528991983446e-5,0.018116705699634264,0.017163194873337725,AMOTL1/WASF2/PTK2B/LIMD2/TNIK/LIMA1/INPPL1/TMOD3/SDCBP/CORO1A/ZYX/LCP1/EPB41L5/NEDD9/PDLIM7/PXN/JAM3/CRACD/FMNL1/PRKCE/NCKAP1L/PLEKHG2/PRKAR1A/SEPTIN9/PFN2/S100A10/ARHGEF2/BRAF/DAAM1/KANK2/POF1B/HAX1/FMNL3/RAP2A/BCAS3/PAK1/JMY/TMOD1/SH3KBP1/DNM2/MYADM/NCK1/CORO6/KRAS/ABI3/TESK2/SORBS3/FCHSD2/AGAP2/ABI1/FCHSD1/PRKCI/RHOH/HIP1/TLN2/ARFGEF1/CYTH2/FLNB/SH2B2/SHANK3/ABI2/ITGB1/ACTG1/RHOG/MYO18B/CLASP1/BCL6/FHL3/MEF2A/RFLNB/GMFG/DVL3/FERMT2/DIAPH2/ARHGAP26/MICAL1/VASP/ELMO2/TLE6/CNN2/RND1/MYO1G/ZBED3/SSH2/RHOF/NCK2/BBS4/PDLIM2/WASHC1/SHROOM1/BST1/ARAP1/TBCK/TTC8/RHOQ/HDAC6/EPHA1/COTL1/WIPF1/DSTN/MICALL2/ARHGAP25/PDGFA/LLGL1/C9orf72/WASH6P/TESK1/TPM4/RGCC/BIN1/CIT/MYO5A/ARHGEF19/DBN1/NAA80/AKAP11/TPM2/CTTN/RND2/NF1/VILL/INPP5K/FGD6/SPTAN1/WHAMM/ARHGEF17/ARHGAP44/ARHGEF10/ASAP3/DIAPH3/SMAD3/RHOC/FGD5/IQSEC1/CDC42BPG/MTSS1/ADPRHL1/WASHC3/TRIOBP/ARFIP2,140
GO:0030029,actin filament-based process,151/2410,467/9995,0.3233404710920771,1.3409908749233654,4.2540317265768595,2.284242056551836e-5,0.018116705699634264,0.017163194873337725,AMOTL1/WASF2/PTK2B/LIMD2/TNIK/LIMA1/INPPL1/TMOD3/SDCBP/CORO1A/TRPM4/ZYX/SCN4A/LCP1/EPB41L5/NEDD9/PDLIM7/PXN/JAM3/CRACD/PDE4D/FMNL1/PRKCE/NCKAP1L/PLEKHG2/PRKAR1A/SEPTIN9/PFN2/S100A10/ARHGEF2/BRAF/JUP/DAAM1/KANK2/POF1B/HAX1/FMNL3/RAP2A/BCAS3/PAK1/JMY/TMOD1/SH3KBP1/DNM2/MYADM/NCK1/CORO6/KRAS/SUN2/ABI3/TESK2/SORBS3/FCHSD2/AGAP2/ANK2/ABI1/FCHSD1/PRKCI/RHOH/CCDC88C/HIP1/TLN2/ARFGEF1/CYTH2/FLNB/SH2B2/SHANK3/ABI2/ITGB1/ACTG1/RHOG/MYO18B/CLASP1/BCL6/FHL3/MEF2A/RFLNB/GMFG/DVL3/FERMT2/DIAPH2/ARHGAP26/MICAL1/VASP/ELMO2/TLE6/CNN2/RND1/MYO1G/ZBED3/SSH2/NEDD4L/RHOF/NCK2/BBS4/PDLIM2/WASHC1/SHROOM1/BST1/ARAP1/TBCK/TTC8/RHOQ/HDAC6/SRGAP2/EPHA1/COTL1/WIPF1/DSTN/MICALL2/ARHGAP25/PDGFA/LLGL1/C9orf72/WASH6P/TESK1/TPM4/GJC1/RGCC/BIN1/CIT/MYO5A/ARHGEF19/DBN1/NAA80/AKAP11/TPM2/CTTN/RND2/NF1/VILL/INPP5K/FGD6/SPTAN1/WHAMM/ARHGEF17/ARHGAP44/ARHGEF10/ASAP3/DIAPH3/SMAD3/RHOC/FGD5/IQSEC1/CDC42BPG/MTSS1/ADPRHL1/WASHC3/TRIOBP/ACTA2/ARFIP2,151
GO:0051056,regulation of small GTPase mediated signal transduction,76/2410,206/9995,0.36893203883495146,1.530072916247029,4.333117461574617,2.3585683340954543e-5,0.018116705699634264,0.017163194873337725,DOCK7/CDC42SE2/SEMA4D/ARHGAP19/CSF1/RASAL3/MADD/CBL/CYTH1/ARHGAP15/SQSTM1/ARHGEF2/MAP2K1/KANK2/PLXNB1/ARHGEF9/CYTH4/KRAS/RAP1GAP/SIPA1/DOCK11/DOCK9/WHR1/CYTH3/LPAR2/SGSM3/DENND4C/ARFGEF1/CYTH2/FAM13A/ARHGAP9/ARHGEF1/GIT2/ITGB1/DENND1A/BCL6/RGL2/STAMBP/GBF1/MCF2L/FERMT2/ARHGAP26/RIPOR1/RASGRP1/SHOC2/RALGAPA2/DNMBP/RHOF/RALGAPB/ARHGAP31/ITGA3/GMIP/PSD/ARAP1/SRGAP2/DOCK10/CDKL5/ARHGAP25/HEG1/SCAI/NET1/ARHGEF19/FLOT1/NF1/GABARAP/DENND3/ARHGEF17/ARHGAP44/ARHGEF10/ARHGAP10/CDC42SE1/OGT/FGD5/IQSEC1/DOCK8/ITSN1,76
GO:0030183,B cell differentiation,41/2410,94/9995,0.43617021276595747,1.8089299902886908,4.44156205885171,2.3828765095556205e-5,0.018116705699634264,0.017163194873337725,STAT5B/CEBPG/PTK2B/CYLD/CARD11/IL2RG/STAT5A/ZFP36L1/ST3GAL1/HDAC5/NCKAP1L/FOSL2/PTPN6/LYL1/CD79A/LAPTM5/FNIP1/DOCK11/HHEX/TPD52/LGALS1/PLCL2/HDAC9/IRF2BP2/PTPRC/ITGB1/BCL6/DCLRE1C/POLM/SLC25A5/FLT3LG/INPP5D/PLCG2/DOCK10/KLF6/BAD/TCIRG1/LGALS8/PTPN2/ATM/PPP2R3C,41
GO:0098609,cell-cell adhesion,145/2410,447/9995,0.3243847874720358,1.3453219712792523,4.210388483519161,2.7677033841752977e-5,0.018116705699634264,0.017163194873337725,RUNX3/STAT5B/MDK/ETS1/CDH2/GATA3/BRD4/CYLD/CARD11/NEO1/AKNA/SEMA4D/IL2RG/TMOD3/CELSR2/CORO1A/STAT5A/ZFP36L1/ITGAL/RASAL3/CAMSAP3/HLA-E/MAP2K5/MAPK3/ROBO3/EPB41L5/DLG4/CBLB/STK10/CD37/JAM3/CLSTN3/SMARCA2/TNIP1/PHF10/NCKAP1L/PRKAR1A/ARG2/PLXNB2/JUP/NECTIN2/RUNX1/MAP2K1/IL20RB/CEBPB/NDFIP1/PTPN6/ZDHHC2/KIFAP3/LGALS9/LGALS9C/MYADM/UBASH3B/NCK1/RAP1GAP/IL6ST/LAPTM5/PELI1/KLHL22/FYN/IRF1/CD44/ITCH/LGALS1/RHOH/CD28/JAK1/PTPRF/TLN2/CCDC88B/KAT5/VEZT/NKAP/PTPRC/ITGB1/ACTG1/PAK4/SHB/PPP3CA/BCL6/PLXNB3/ZMIZ1/CDH4/ILK/ICAM3/CD5/DUSP10/JAG1/KIRREL2/TYK2/RASGRP1/ASS1/STXBP1/GOLGA1/LOXL3/CERCAM/FLOT2/TSPAN9/NCK2/ILDR2/AJUBA/VSIR/ITGA3/MAPK14/SERPINE2/MPZ/IL1RAP/RIPK2/SLC7A1/ITGA5/PLAUR/TMIGD2/NINJ1/BAD/RGCC/DHPS/LPP/MYL12A/TNFRSF14/FCHO1/ITGB4/NLGN2/FLOT1/FXYD5/LGALS8/VPS33B/AFDN/CPLANE2/TYRO3/HLA-A/PTPN2/PRKCA/STXBP6/PKD1/NFAT5/ACVR1/IL15/MFSD2B/NEGR1/PCDHGB2/DOCK8/MAD1L1/CDH24/NTNG2/SLC7A11,145
GO:0043547,positive regulation of GTPase activity,33/2410,71/9995,0.4647887323943662,1.9276196598679212,4.421362691993725,3.0706280846837736e-5,0.018116705699634264,0.017163194873337725,RGS16/RAB3GAP1/SEMA4D/GNB5/S100A10/RGP1/PLXNB1/RGS10/RIC1/RAP1GAP/DOCK11/EVI5L/DOCK9/TBC1D20/SGSM3/ITGB1/RHOG/RACK1/RASGRP1/RALGAPA2/RAP1A/RALGAPB/ARHGEF7/ARAP1/SRGAP2/DOCK10/TBC1D30/NET1/NF1/AGRN/ASAP3/RAPGEF2/DOCK8,33
GO:0030101,natural killer cell activation,24/2410,46/9995,0.5217391304347826,2.163810211077034,4.459352104211004,3.571645199548957e-5,0.01835104276426254,0.017385198408248724,STAT5B/CORO1A/STAT5A/HLA-E/TOX/IL21R/ELF4/CD48/DCAF15/KAT7/MICA/FYN/PTPRC/TYK2/RASGRP1/FLT3LG/RAB27A/ULBP1/PIBF1/ULBP2/RPL13A/TYRO3/IL15/NFIL3,24
GO:0046633,alpha-beta T cell proliferation,19/2410,33/9995,0.5757575757575758,2.387841066264303,4.501153634642932,3.8879327890386736e-5,0.01835104276426254,0.017385198408248724,CARD11/RASAL3/HLA-E/CBLB/ARG2/ELF4/NDFIP1/LGALS9/LGALS9C/IRF1/ITCH/CD28/PTPRC/TYK2/VSIR/RIPK2/TNFRSF14/HLA-A/IL15,19
