gene_id	gene_name	A5BKO_1	A5BKO_2	A5BKO_3	Mix_1	Mix_2	Mix_3	NT_1	NT_2	NT_3
ENSG00000000003.16	TSPAN6	0	0	0	0	0	0	0	0	0
ENSG00000000005.6	TNMD	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	939	1245	1009	962	792	863	888.001	888	899
ENSG00000000457.14	SCYL3	231	290	210	395	306.999	327.001	207	240.999	205
ENSG00000000460.17	FIRRM	744	954.999	675	836.001	665	744.001	715.001	706.999	741.001
ENSG00000000938.13	FGR	0	2	1	7	7	7	1	2	1
ENSG00000000971.17	CFH	3	3	0	0	1	0	0	1	2
ENSG00000001036.14	FUCA2	0	0	0	0	0	0	0	0	0
ENSG00000001084.13	GCLC	1413.001	1913	1429	1311	1049.999	1154.002	1374.999	1360	1419
ENSG00000001167.15	NFYA	1934	2515	1798.985	2005	1542	1588	1682	1785	1916.975
ENSG00000001460.18	STPG1	5	3	2	2	1	1	3	1	3
ENSG00000001461.17	NIPAL3	432	638.001	445.999	959.001	793	841	440	443	471
ENSG00000001497.18	LAS1L	2586.001	3587.001	2458	2073.001	1716	1779	2454.001	2435	2602.999
ENSG00000001561.7	ENPP4	307	368	314	439	284	334	261	289	256
ENSG00000001617.12	SEMA3F	143	72	126	145	116.999	120	30	48	36
ENSG00000001626.18	CFTR	0	0	0	13	12	12	0	0	0
ENSG00000001629.10	ANKIB1	1067	1528	955	1070.001	836	829	1101	1075	1177
ENSG00000001630.18	CYP51A1	1502.009	2204.137	1362.547	1082.07	915.354	993.695	1557.837	1577.118	1604.882
ENSG00000001631.17	KRIT1	922.303	1080.08	883.524	1141.494	868.183	873.519	671.846	785.844	913.106
ENSG00000002016.18	RAD52	394	441.002	403	532.252	392	429.291	329	273.074	384.521
ENSG00000002079.15	MYH16	0	0	1	0	0	0	0	0	0
ENSG00000002330.14	BAD	378	555	386	595.999	574.999	587.001	414.001	382.999	379
ENSG00000002549.13	LAP3	1330.999	1488	1168	1088.001	917.999	929	1044	1023.998	1051
ENSG00000002586.20	CD99	492.047	1517.925	633.062	1160.045	778.203	1013.621	738.376	950.755	507.8
ENSG00000002587.10	HS3ST1	0	0	0	0	0	0	0	0	0
ENSG00000002726.21	AOC1	5	1	1	9	0	0	2	0	0
ENSG00000002745.13	WNT16	0	0	0	0	0	0	0	0	0
ENSG00000002746.15	HECW1	1	5	3	5	13	9	4	6	4
ENSG00000002822.16	MAD1L1	340.446	625.508	319.546	613.46	573.472	596.331	381.44	395.529	452.192
ENSG00000002834.19	LASP1	4637.001	8231	4331	9521.999	7541	8384	5835.999	5933	5877.001
ENSG00000002919.15	SNX11	426.001	547	428	596.001	505.999	502.001	394.999	412.999	374
ENSG00000002933.9	TMEM176A	0	0	1	0	0	1	0	0	0
ENSG00000003056.8	M6PR	4144	5773	4114	3816	3027	3238	4055.999	3818	3872.999
ENSG00000003096.15	KLHL13	697.999	915.999	586	916.6	790.999	784.999	664	603	681.599
ENSG00000003137.9	CYP26B1	15	108.999	8	87	80	72	74	61	59.999
ENSG00000003147.19	ICA1	15	11	6	15	13	14	9	11	2
ENSG00000003249.15	DBNDD1	10	14	10	52.999	43	40	11	9	4
ENSG00000003393.16	ALS2	1039.002	1110	914.999	879	694	676.999	778.002	818	894.001
ENSG00000003400.16	CASP10	2	4	4	68	28	44.999	0	2	0
ENSG00000003402.21	CFLAR	301.71	509.999	296.999	454.899	312	402	357.001	379	380.001
ENSG00000003436.16	TFPI	556	956	488	1493	1181.001	1146.001	633	697.001	738
ENSG00000003509.16	NDUFAF7	440.999	451.999	378.001	387.999	348	319.999	330	298.999	317.002
ENSG00000003756.17	RBM5	2046	2146	1721.999	2591	2014	2024	1580.001	1615.999	1832.001
ENSG00000003987.14	MTMR7	0	0	0	0	0	2	1	0	0
ENSG00000003989.18	SLC7A2	0	0	0	0	0	0	0	0	0
ENSG00000004059.11	ARF5	1640.998	2782	1592.001	2351.894	2095	2161	1914.001	1917.999	1644.999
ENSG00000004139.14	SARM1	101.39	66	110.921	41.222	30	40.355	45.001	42.998	49.377
ENSG00000004142.12	POLDIP2	3599	3917	3292	2709	2305	2462	2662	2728	2615
ENSG00000004399.13	PLXND1	221	563.999	213.999	1010	828.999	855	391.001	372.999	454
ENSG00000004455.18	AK2	8605.541	8771.426	8043.966	6892.111	5755.863	5929.874	6357.491	6349.998	6255.896
ENSG00000004468.13	CD38	81	302.001	78	4244	3334	3345.001	227.001	206	213
ENSG00000004478.8	FKBP4	15288.999	14137.998	14342.001	4436	3715	3879	10108	10048	10069.999
ENSG00000004487.18	KDM1A	5357.998	7282.999	4902.999	4280	3606.999	3744.001	5106	5308.001	5367.999
ENSG00000004534.15	RBM6	1544.001	2011.001	1426.999	1493.999	1170	1237.998	1417	1419.999	1679.999
ENSG00000004660.15	CAMKK1	215	216	196	87	68	85	162	120	149.001
ENSG00000004700.16	RECQL	1103	1173	1078	1748	1371	1357	778	852	871.001
ENSG00000004766.17	VPS50	275	441	279	293	224	284.001	266	288	291
ENSG00000004776.13	HSPB6	2	15	1	41	30	43	13	10	4
ENSG00000004777.19	ARHGAP33	502.999	618.999	371.001	1135.001	849.001	904.999	435.001	400.999	594
ENSG00000004779.10	NDUFAB1	2381.999	2941	2302	1585	1311.999	1424.999	2154.001	2258.999	1971
ENSG00000004799.8	PDK4	0	0	0	0	0	0	0	0	0
ENSG00000004809.14	SLC22A16	0	0	0	0	0	0	0	0	0
ENSG00000004838.14	ZMYND10	24	25.999	18	13	11	13	8	11	18
ENSG00000004846.17	ABCB5	0	0	0	0	0	0	0	0	0
ENSG00000004848.8	ARX	1	3	2.001	2.001	4.002	2	0	3.008	0
ENSG00000004864.14	SLC25A13	239	158.001	194	124	108	124	105	124	123
ENSG00000004866.22	ST7	817.928	1002.001	770.001	577.998	497	482	661.861	695	681.999
ENSG00000004897.12	CDC27	2955.002	3726	2799.001	2989.001	2368.999	2346.942	2593.001	2645.001	2718.999
ENSG00000004939.16	SLC4A1	1	1	0	0	0	1	0	0	0
ENSG00000004948.16	CALCR	0	0	0	0	0	0	0	0	0
ENSG00000004961.15	HCCS	689.001	864.001	621	617	473.001	517.001	645	616	619.999
ENSG00000004975.12	DVL2	2274.999	3438	2034.001	3287	2763.001	2924.698	2344.998	2371	2479
ENSG00000005001.10	PRSS22	0	0	0	0	0	0	0	0	0
ENSG00000005007.14	UPF1	4574	5340	4101.999	3501.999	2774	2853	3780	3794	4138
ENSG00000005020.13	SKAP2	0	0	0	0	0	0	0	0	0
ENSG00000005022.6	SLC25A5	17383.999	21290.996	16316	21411.998	19455.997	19546.996	14244.997	14537.999	13213.993
ENSG00000005059.16	MCUB	1160.001	1601.001	1095.001	1290.001	1087	1090.001	1121	1150	1113.001
ENSG00000005073.6	HOXA11	0	0	0	1	1	0	0	0	0
ENSG00000005075.16	POLR2J	1174.043	1627.23	1210.878	1316.574	1075.825	1106.077	1038.579	1231.676	1117.351
ENSG00000005100.13	DHX33	1923.001	1962	1896	595	407.999	439.999	1394.999	1394	1500
ENSG00000005102.14	MEOX1	0	0	0	0	0	0	0	0	0
ENSG00000005108.17	THSD7A	136	8	150	118	80	64	5	3	7
ENSG00000005156.12	LIG3	1133.999	1608.999	1031.001	1627.999	1303.999	1379.001	1055.001	1090.001	1202.998
ENSG00000005175.10	RPAP3	1171	1371	1154.001	1044	858.999	895	954	1009.001	957.999
ENSG00000005187.12	ACSM3	200	251	191.001	296	242	220.001	151	155.001	173
ENSG00000005189.20	REXO5	337.999	388	301	646	572.001	581.999	280	237	277.001
ENSG00000005194.15	CIAPIN1	1536	1590.002	1272.998	1029	859	870	1052	1021.995	1017.994
ENSG00000005206.17	SPPL2B	1058.173	1650.601	914.999	1696.647	1390.425	1418.601	1113	1168	1349.557
ENSG00000005238.20	ATOSB	54	126	51	249	247	225	82.001	84	73.999
ENSG00000005243.10	COPZ2	0	0	0	0	1	1	1	0	0
ENSG00000005249.14	PRKAR2B	17	37	21	32	23	19	17	19	16
ENSG00000005302.19	MSL3	371.575	494.999	296	521	423	473	359	327	384
ENSG00000005339.15	CREBBP	2786	3271.25	2615.001	4242	2938	3189.417	2389	2424	2632
ENSG00000005379.17	TSPOAP1	840	492	680	644	458	464	376.002	372.999	487
ENSG00000005381.9	MPO	0	0	1	1	2	0	0	0	0
ENSG00000005421.9	PON1	7	153	3	4	8	3	106	131	111
ENSG00000005436.14	GCFC2	800	675.999	700	579.001	460.001	449.999	451	472	521.998
ENSG00000005448.17	WDR54	873	1514.001	844.999	2082	1924.998	1933	1000.998	1030.001	950
ENSG00000005469.12	CROT	257	407	251	225	147	154.001	275.999	272	297
ENSG00000005471.19	ABCB4	7	13	11	21	16	9	6	8	6
ENSG00000005483.23	KMT2E	1760.001	2965.001	1574	3310.001	2395.966	2345.211	2182	2164.003	2422.001
ENSG00000005486.17	RHBDD2	625	1252	615	1897.999	1701	1622	895.001	858	843
ENSG00000005513.11	SOX8	6	10	10	6	4	13	10.012	5	6
ENSG00000005700.15	IBTK	1027	1752.001	935.999	2201	1697.001	1632.001	1205	1170	1304
ENSG00000005801.18	ZNF195	857	838.911	641.002	687.999	526	524.001	605	634.999	763
ENSG00000005810.20	MYCBP2	2842	2650.999	2614.999	2971.999	2039.999	2041	1874.999	1907.999	2243.001
ENSG00000005812.11	FBXL3	1001	880	985	1012	866.999	873	639	644	652
ENSG00000005844.19	ITGAL	93	81	69.001	398	320	333	57	44	84.999
ENSG00000005882.12	PDK2	159	396.001	188	455	348	366.001	280	253	266.001
ENSG00000005884.18	ITGA3	28.002	60	23	122	125	105	51	42	51
ENSG00000005889.16	ZFX	903.999	966	864	818.001	605.999	608.999	642	662.001	733.992
ENSG00000005893.17	LAMP2	2225	2961.999	2099.001	2776	2263.001	2350	2039.001	2089	2203
ENSG00000005961.19	ITGA2B	5	12	5	32.001	32.999	16	6	7	11
ENSG00000005981.13	ASB4	0	0	0	0	0	0	0	0	0
ENSG00000006007.12	GDE1	1466	2212	1527.999	2277.999	1899	1985	1477	1648	1493.999
ENSG00000006015.18	REX1BD	392.999	597	298.999	453.001	392.001	466.999	413	418	413
ENSG00000006016.12	CRLF1	10	31	10	11	4	13	19	19	18.001
ENSG00000006025.13	OSBPL7	204.001	207	168.999	266.999	223	216.001	121.999	141	201
ENSG00000006042.12	TMEM98	0	0	0	0	0	0	0	0	0
ENSG00000006047.13	YBX2	720.999	1243	563	1031	934	984.001	916.001	866.001	1146
ENSG00000006059.4	KRT33A	0	0	0	0	0	0	0	0	0
ENSG00000006062.18	MAP3K14	97	155	99	124	101	106	113	114	112
ENSG00000006071.16	ABCC8	0	0	0	0	0	0	0	0	0
ENSG00000006116.4	CACNG3	0	0	0	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	0	1	0	0	0	1	0	0	0
ENSG00000006125.18	AP2B1	4388.001	6707.001	4161	5896.999	4559	4751	4756.002	4980	5044.998
ENSG00000006128.12	TAC1	0	0	0	0	0	0	0	0	0
ENSG00000006194.11	ZNF263	1026.001	1353.999	1002.001	824.999	688	763	869	904.998	933
ENSG00000006210.7	CX3CL1	0	0	0	0	0	0	0	0	0
ENSG00000006282.22	SPATA20	41	24	13	109.001	79	106	24.001	19	21
ENSG00000006283.18	CACNA1G	0	0	0	2	0	1	2	0	1
ENSG00000006327.14	TNFRSF12A	43	37	33	46	36	42	25.001	31	29
ENSG00000006377.11	DLX6	0	0	0	0	0	0	0	0	0
ENSG00000006432.16	MAP3K9	146	284.001	145	499.999	354.001	347.999	231.999	249	281
ENSG00000006451.8	RALA	1389	1681	1282	1862	1478	1520	1213.999	1219.999	1230.001
ENSG00000006453.14	BAIAP2L1	0	0	0	0	0	0	0	1	0
ENSG00000006459.11	KDM7A	136	400	138	1342	949	915	246	271	296
ENSG00000006468.15	ETV1	3	6	1	1	2	2	10	8	10
ENSG00000006530.18	AGK	1272.999	1058.999	1106.998	950.999	763.002	818	753	720.999	754.002
ENSG00000006534.17	ALDH3B1	12	1	9	17	33	18.999	1	1	8
ENSG00000006555.11	TTC22	0	0	0	0	0	0	0	0	0
