ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022613,ribonucleoprotein complex biogenesis,324/5674,444/9995,0.7297297297297297,1.2854509426592613,7.050513511301234,3.783330140472698e-13,1.8186467985252258e-9,1.8112195240915612e-9,HSP90AA1/EIF3B/DDX3X/U2AF2/LTV1/SRSF1/BOP1/RPL7L1/SRPK1/EBNA1BP2/WDR77/BYSL/SRSF6/GEMIN4/RRP7A/AGO4/PRMT5/NOP16/MRTO4/NOP56/DHX9/PTGES3/FTSJ3/WDR46/TBL3/RRP9/PAK1IP1/URB2/MYBBP1A/RRS1/NOP58/PPAN/SNRPD3/LAS1L/PRPF31/PDCD11/DNTTIP2/RRP1/NOLC1/WDR3/C1QBP/WDR74/TSR1/RRP36/URB1/DDX56/RAN/SURF6/WDR43/SF3B3/LSG1/DHX37/EXOSC2/NOL6/GRWD1/PA2G4/DCAF13/MCAT/SF3A3/GNL2/NOP2/RUVBL1/GAR1/EIF1AX/NCBP1/LYAR/SNRPF/TFB2M/PES1/SNRPE/PNO1/DKC1/MRM1/RPF2/UTP20/NOL7/BMS1/YTHDF2/ISG20L2/NIP7/PWP2/SHQ1/EIF3J/PRPF19/NAT10/BRIX1/MRPS2/RRP1B/IMP3/DDX31/EIF4A3/NOP14/GEMIN5/MTREX/PRP4K/NOL11/STRAP/HEATR1/SNRPD1/XPO1/DHX30/WDR12/NHP2/DDX18/NOL8/ATR/GTPBP4/UTP15/CUL4B/NOP53/TAF9/PWP1/UTP11/DDX20/DDX49/WDR75/RPP40/TRMT112/AIRIM/RPUSD1/SF1/EMG1/EIF5/SNRPA1/NGRN/NOM1/XRCC5/PUF60/KRR1/UTP23/EXOSC5/RIOK1/UTP4/RRP15/RPUSD2/EXOSC3/TXNL4A/MAK16/RBFA/EIF5B/EXOSC7/ESF1/NAF1/ZNF593/RIOX2/DDX21/NOP9/DENR/KRI1/UTP18/MDN1/SNRPG/POP7/ISG20/NOL10/MPHOSPH10/USP36/MRM3/SF3B4/ABT1/GEMIN6/MTERF3/UTP14A/RIOK2/NOPCHAP1/DDX28/UTP3/NOP10/SNRPB/DDX54/SNU13/POP4/EXOSC4/EIF4B/UTP25/PELP1/SDAD1/PRPF3/FASTKD2/SLU7/DDX1/RPL26L1/FDXACB1/MPV17L2/DDX23/AFG2B/REXO5/DDX51/AAR2/NOA1/IMP4/RIOK3/WDR55/WDR36/EXOSC6/MTG2/NOC2L/PHF5A/NUP88/RRP8/METTL16/RUVBL2/RCL1/DDX47/SRSF9/BUD23/ERI1/XRN2/LUC7L3/PRPF8/HEATR3/SNRPB2/RPL26/NPM3/NPM1/RSL24D1/SF3B6/EIF2S2/EIF3L/CD2BP2/CLP1/SMN1/SMN2/METTL25B/CUL4A/SART3/WBP11/EIF6/FSAF1/SRPK2/SPOUT1/GEMIN7/MALSU1/ZNHIT6/DIMT1/TMA16/GNL3L/RPS19BP1/NOC4L/DROSHA/CRNKL1/SRFBP1/HSP90AB1/DDX10/RRN3/DDX55/DDX52/RBM10/RPS27/MTG1/GTF3A/NLE1/DHX29/PRMT7/MCTS1/SNRPC/MPHOSPH6/DICER1/UTP6/POP5/SCAF11/EIF3I/SRSF10/MCTS2/SNRPD2/TARBP2/REXO4/TRMT61B/EIF2S3/SRSF5/EIF3F/CINP/NSUN5/RPS27L/GLUL/BUD13/ZRSR2/XAB2/TSR3/RPL13A/ZCCHC4/LSM4/ERAL1/RNASEL/EXOSC10/SF3B1/EXOSC9/MRM2/RPS28/DDX46/TGS1/RBMX2/DDX17/PRKDC/AK6/TSSC4/ATM/RPP38/LUC7L/RPS9/NGDN/GCFC2/PIN4/PRPF39/USP16/GTPBP10/ZNF622/RBIS/SNRNP200/FCF1/NOL9/EXOSC8/METTL5/CELF1/AGO2/SBDS/MTERF4/NUFIP1/YBEY/DIS3/WDR18/CELF5/SF3B5/TENT4B,324
GO:0042254,ribosome biogenesis,228/5674,304/9995,0.75,1.3211579132886853,6.5161838265119805,1.5308391064960463e-11,3.679371792463247e-8,3.6643453980758e-8,DDX3X/LTV1/BOP1/RPL7L1/EBNA1BP2/BYSL/GEMIN4/RRP7A/NOP16/MRTO4/NOP56/FTSJ3/WDR46/TBL3/RRP9/PAK1IP1/URB2/MYBBP1A/RRS1/NOP58/PPAN/LAS1L/PDCD11/DNTTIP2/RRP1/NOLC1/WDR3/C1QBP/WDR74/TSR1/RRP36/URB1/DDX56/RAN/SURF6/WDR43/LSG1/DHX37/EXOSC2/NOL6/GRWD1/PA2G4/DCAF13/MCAT/GNL2/NOP2/GAR1/EIF1AX/LYAR/TFB2M/PES1/PNO1/DKC1/MRM1/RPF2/UTP20/NOL7/BMS1/YTHDF2/ISG20L2/NIP7/PWP2/NAT10/BRIX1/MRPS2/RRP1B/IMP3/DDX31/EIF4A3/NOP14/MTREX/NOL11/HEATR1/XPO1/DHX30/WDR12/NHP2/DDX18/NOL8/GTPBP4/UTP15/CUL4B/NOP53/PWP1/UTP11/DDX49/WDR75/RPP40/TRMT112/AIRIM/RPUSD1/EMG1/EIF5/NGRN/NOM1/XRCC5/KRR1/UTP23/EXOSC5/RIOK1/UTP4/RRP15/RPUSD2/EXOSC3/MAK16/RBFA/EIF5B/EXOSC7/ESF1/NAF1/ZNF593/RIOX2/DDX21/NOP9/KRI1/UTP18/MDN1/POP7/ISG20/NOL10/MPHOSPH10/USP36/MRM3/ABT1/MTERF3/UTP14A/RIOK2/DDX28/UTP3/NOP10/DDX54/SNU13/POP4/EXOSC4/UTP25/PELP1/SDAD1/FASTKD2/RPL26L1/FDXACB1/MPV17L2/AFG2B/REXO5/DDX51/NOA1/IMP4/RIOK3/WDR55/WDR36/EXOSC6/MTG2/NOC2L/NUP88/RRP8/METTL16/RCL1/DDX47/BUD23/ERI1/XRN2/HEATR3/RPL26/NPM3/NPM1/RSL24D1/METTL25B/CUL4A/WBP11/EIF6/FSAF1/SPOUT1/MALSU1/ZNHIT6/DIMT1/TMA16/GNL3L/RPS19BP1/NOC4L/DROSHA/SRFBP1/DDX10/RRN3/DDX55/DDX52/RBM10/RPS27/MTG1/GTF3A/NLE1/DHX29/MPHOSPH6/UTP6/POP5/REXO4/TRMT61B/CINP/NSUN5/RPS27L/GLUL/TSR3/ZCCHC4/ERAL1/RNASEL/EXOSC10/EXOSC9/MRM2/RPS28/DDX17/PRKDC/AK6/RPP38/RPS9/NGDN/PIN4/USP16/GTPBP10/ZNF622/RBIS/FCF1/NOL9/EXOSC8/METTL5/SBDS/MTERF4/YBEY/DIS3/WDR18/TENT4B,228
GO:0016072,rRNA metabolic process,189/5674,253/9995,0.7470355731225297,1.315935945251971,5.832536203000417,1.5166717625519428e-9,2.4302137208623963e-6,2.4202888337144693e-6,MYC/BOP1/RPL7L1/EBNA1BP2/BYSL/GEMIN4/RRP7A/MRTO4/NOP56/FTSJ3/WDR46/TBL3/RRP9/PAK1IP1/GTF3C6/POLR1G/RRS1/NOP58/PPAN/LAS1L/PDCD11/RRP1/NOLC1/WDR3/WDR74/TSR1/RRP36/URB1/DDX56/POLR1A/WDR43/DHX37/EXOSC2/NOL6/POLR1B/PA2G4/DCAF13/NOP2/GAR1/GTF3C4/LYAR/TFB2M/PES1/DKC1/MRM1/RPF2/UTP20/NOL7/BMS1/YTHDF2/PWP2/NAT10/BRIX1/RRP1B/IMP3/EIF4A3/NOP14/MTREX/NOL11/HEATR1/WDR12/NHP2/DDX18/POLR2E/NOL8/GTPBP4/UTP15/NOP53/NCL/PWP1/UTP11/TCOF1/DDX49/WDR75/RPP40/TRMT112/RPUSD1/EMG1/KRR1/UTP23/EXOSC5/RIOK1/UTP4/RRP15/RPUSD2/EXOSC3/MAK16/RBFA/EXOSC7/ESF1/NAF1/DDX21/NOP9/KRI1/UTP18/POP7/ISG20/NOL10/MPHOSPH10/USP36/TOP1/MRM3/ABT1/DIS3L/UTP14A/RIOK2/UTP3/NOP10/DDX54/SNU13/POP4/EXOSC4/MTOR/UTP25/PELP1/NIFK/FDXACB1/MARS1/POLR1F/REXO5/DDX51/IMP4/RIOK3/WDR55/WDR36/EXOSC6/RRP8/METTL16/RCL1/DDX47/BUD23/ERI1/XRN2/GTF3C3/RPL26/NPM3/METTL25B/GTF3C2/WBP11/EIF6/SPOUT1/ZNHIT6/DIMT1/NOC4L/DROSHA/SRFBP1/DDX10/DDX55/DDX52/RPS27/GTF3A/POLR1D/MPHOSPH6/UTP6/POP5/SPIN1/SLFN5/ERCC6/REXO4/TRMT61B/MAPT/NSUN5/TSR3/ZCCHC4/RNASEL/EXOSC10/EXOSC9/MRM2/IPPK/RPS28/DDX17/PRKDC/AK6/RPP38/DEDD/NGDN/PIN4/XRN1/DDX11/FCF1/NOL9/EXOSC8/METTL5/SBDS/MTERF4/YBEY/DIS3/WDR18/TENT4B,189
GO:0006364,rRNA processing,162/5674,214/9995,0.7570093457943925,1.3335051835063363,5.651191842776313,4.4229853558911774e-9,5.315322651442222e-6,5.293615104892914e-6,BOP1/RPL7L1/EBNA1BP2/BYSL/GEMIN4/RRP7A/MRTO4/NOP56/FTSJ3/WDR46/TBL3/RRP9/PAK1IP1/RRS1/NOP58/PPAN/LAS1L/PDCD11/RRP1/NOLC1/WDR3/WDR74/TSR1/RRP36/URB1/DDX56/WDR43/DHX37/EXOSC2/NOL6/PA2G4/DCAF13/NOP2/GAR1/LYAR/TFB2M/PES1/DKC1/MRM1/RPF2/UTP20/NOL7/BMS1/YTHDF2/PWP2/NAT10/BRIX1/RRP1B/IMP3/EIF4A3/NOP14/MTREX/NOL11/HEATR1/WDR12/NHP2/DDX18/NOL8/GTPBP4/UTP15/NOP53/PWP1/UTP11/DDX49/WDR75/RPP40/TRMT112/RPUSD1/EMG1/KRR1/UTP23/EXOSC5/RIOK1/UTP4/RRP15/RPUSD2/EXOSC3/MAK16/RBFA/EXOSC7/ESF1/NAF1/DDX21/NOP9/KRI1/UTP18/POP7/ISG20/NOL10/MPHOSPH10/USP36/MRM3/ABT1/UTP14A/RIOK2/UTP3/NOP10/DDX54/SNU13/POP4/EXOSC4/UTP25/PELP1/FDXACB1/REXO5/DDX51/IMP4/RIOK3/WDR55/WDR36/EXOSC6/RRP8/METTL16/RCL1/DDX47/BUD23/ERI1/XRN2/RPL26/NPM3/METTL25B/WBP11/EIF6/SPOUT1/ZNHIT6/DIMT1/NOC4L/DROSHA/SRFBP1/DDX10/DDX55/DDX52/RPS27/MPHOSPH6/UTP6/POP5/REXO4/TRMT61B/NSUN5/TSR3/ZCCHC4/RNASEL/EXOSC10/EXOSC9/MRM2/RPS28/DDX17/PRKDC/AK6/RPP38/NGDN/PIN4/FCF1/NOL9/EXOSC8/METTL5/SBDS/MTERF4/YBEY/DIS3/WDR18/TENT4B,162
GO:0140053,mitochondrial gene expression,126/5674,169/9995,0.7455621301775148,1.31334041084319,4.707535308146283,9.917913864609692e-7,9.535082389435757e-4,9.496141527630502e-4,DDX3X/TRMT10C/ELAC2/SLIRP/EARS2/MRPL24/TWNK/MRPL17/MRPL51/MRPL12/MRPS7/TSFM/TBRG4/MRPL4/C1QBP/DARS2/MRPS26/SHMT2/GFM1/TRMT5/TRUB2/LARS2/GATC/HSD17B10/FASTKD5/TFB2M/MRPL20/MRPL23/TRNT1/FASTKD1/MRPS2/COA3/PNPT1/PUS1/MRPS23/MRPS25/TUFM/MRPL47/SUPV3L1/MRPL36/MRPL15/MRPL52/MRPS12/NGRN/GARS1/MRPL3/THAP11/MRPL50/MRPL46/MRPS21/MRPL19/GADD45GIP1/MRPL13/LRPPRC/MTERF3/MRPS34/MRPS17/FASTKD2/MRPS14/MRPL16/MRPL35/MPV17L2/MRPS5/MTPAP/MRPL27/POLRMT/SLC25A33/MRPL18/MRPL11/MRPL10/MTG2/TFAM/MRPL38/RPUSD3/MRPS16/DAP3/YARS2/MRPS10/MRPL42/MRPL1/CHCHD1/MRPL32/MALSU1/MRPS30/MRPL9/MRPS18C/METTL8/MTRF1L/TEFM/KANSL1/MTG1/MTERF1/MRPL41/UQCC2/MRPS9/TRMT61B/FASTKD3/PTCD1/MRPL57/MRPS28/MRPS27/MRPL14/GTPBP3/MRPS6/GFM2/MRPL21/PTCD3/PRORP/MRPL44/MRPS31/FOXO3/MRPS11/GATB/MRPL34/MRPL28/MTRF1/MRPL43/METTL4/MRPS24/MRPL33/MRPL55/AURKAIP1/MRPS35/TACO1/MTERF4/CHCHD10,126
GO:0032543,mitochondrial translation,97/5674,130/9995,0.7461538461538462,1.3143827445025895,4.134319515066549,1.635490875293722e-5,0.013103007729228202,0.01304949561550149,DDX3X/TRMT10C/EARS2/MRPL24/MRPL17/MRPL51/MRPL12/MRPS7/TSFM/MRPL4/C1QBP/DARS2/MRPS26/SHMT2/GFM1/TRUB2/LARS2/GATC/MRPL20/MRPL23/MRPS2/COA3/MRPS23/MRPS25/TUFM/MRPL47/MRPL36/MRPL15/MRPL52/MRPS12/NGRN/GARS1/MRPL3/MRPL50/MRPL46/MRPS21/MRPL19/GADD45GIP1/MRPL13/LRPPRC/MRPS34/MRPS17/FASTKD2/MRPS14/MRPL16/MRPL35/MPV17L2/MRPS5/MRPL27/MRPL18/MRPL11/MRPL10/MTG2/MRPL38/RPUSD3/MRPS16/DAP3/YARS2/MRPS10/MRPL42/MRPL1/CHCHD1/MRPL32/MALSU1/MRPS30/MRPL9/MRPS18C/METTL8/MTRF1L/MTG1/MRPL41/UQCC2/MRPS9/FASTKD3/PTCD1/MRPL57/MRPS28/MRPS27/MRPL14/MRPS6/GFM2/MRPL21/PTCD3/MRPL44/MRPS31/MRPS11/GATB/MRPL34/MRPL28/MTRF1/MRPL43/MRPS24/MRPL33/MRPL55/AURKAIP1/MRPS35/TACO1,97
GO:0009165,nucleotide biosynthetic process,131/5674,183/9995,0.7158469945355191,1.2609958953793645,4.083218849625077,2.1642726927771884e-5,0.01364092807387264,0.01358521911685213,GART/ATP5MC1/MT-ND2/IMPDH1/PNP/NDUFB2/MT-ND1/MT-ND3/PFAS/LETMD1/RRM2/NME1/VCP/NDUFS3/ATP5MC3/ADSL/AFMID/ATP5PB/NDUFAB1/MAP2K1/NDUFS6/ADSS2/DTYMK/ATP5MK/UMPS/DHODH/ATIC/CTPS1/UCK2/ATP5MF/CAD/SDHD/APRT/NME4/NADK/ATP5ME/GARS1/QPRT/ATP5PF/PAICS/NDUFV3/ATP5F1A/MT-ND6/PRPSAP2/NDUFB3/NDUFB10/CMPK2/NDUFV2/ATP5F1B/NDUFS5/UQCC3/MTHFD1/SPHK2/NDUFA5/ADSS1/PPAT/ADCY7/NDUFA1/MTHFD2L/NDUFS1/STOML2/NDUFA9/ENO1/KARS1/GUCA1A/ANTKMT/ATP5F1E/AK4/NDUFA8/SDHC/NDUFB8/ATP5MJ/NDUFA10/ADCY3/FLAD1/GUCY2D/PRPS1/HPRT1/TAFAZZIN/UPRT/AMPD3/NDUFB6/STAT3/NUDT2/AK2/COX11/ATP5PO/NDUFA6/NDUFA3/NAMPT/NADSYN1/NME2/PRPSAP1/NDUFA2/NMRK1/AMPD2/TBPL1/ATP5PD/TK2/PARP16/AK6/NDUFC1/VPS9D1/MT-ND4L/PINK1/ATPSCKMT/DCK/DCTD/NDUFA11/MT-ND5/PRPS2/RRM2B/NDUFS4/NDUFB7/AK9/FAM3A/MT-ND4/MT-ATP6/NME7/ADK/RFK/NDUFA7/ALDOA/SDHB/GUK1/SLC25A13/NPR2/AK7/NPPC/NME3/TMSB4X,131
GO:0046390,ribose phosphate biosynthetic process,109/5674,149/9995,0.7315436241610739,1.2886461973017156,4.067721996910461,2.2701773370289397e-5,0.01364092807387264,0.01358521911685213,GART/ATP5MC1/MT-ND2/IMPDH1/NDUFB2/MT-ND1/MT-ND3/PFAS/LETMD1/NME1/VCP/NDUFS3/ATP5MC3/ADSL/ATP5PB/NDUFAB1/MAP2K1/NDUFS6/ADSS2/ATP5MK/UMPS/DHODH/ATIC/CTPS1/UCK2/ATP5MF/CAD/SDHD/APRT/NME4/ATP5ME/ATP5PF/PAICS/NDUFV3/ATP5F1A/MT-ND6/PRPSAP2/NDUFB3/NDUFB10/NDUFV2/ATP5F1B/NDUFS5/UQCC3/MTHFD1/SPHK2/NDUFA5/ADSS1/PPAT/ADCY7/NDUFA1/NDUFS1/STOML2/NDUFA9/ENO1/ANTKMT/ATP5F1E/AK4/NDUFA8/SDHC/NDUFB8/ATP5MJ/NDUFA10/ADCY3/GUCY2D/PRPS1/HPRT1/TAFAZZIN/UPRT/AMPD3/NDUFB6/STAT3/NUDT2/AK2/COX11/ATP5PO/NDUFA6/NDUFA3/NME2/PRPSAP1/NDUFA2/AMPD2/ATP5PD/NDUFC1/VPS9D1/MT-ND4L/PINK1/ATPSCKMT/DCK/NDUFA11/MT-ND5/PRPS2/NDUFS4/NDUFB7/AK9/FAM3A/MT-ND4/MT-ATP6/NME7/ADK/RFK/NDUFA7/ALDOA/SDHB/GUK1/SLC25A13/NPR2/NPPC/NME3/TMSB4X,109
GO:0009260,ribonucleotide biosynthetic process,105/5674,144/9995,0.7291666666666666,1.2844590823639994,3.9398809251017783,4.017166307622402e-5,0.019367212358060045,0.019288117505054492,GART/ATP5MC1/MT-ND2/IMPDH1/NDUFB2/MT-ND1/MT-ND3/PFAS/LETMD1/NME1/VCP/NDUFS3/ATP5MC3/ADSL/ATP5PB/NDUFAB1/MAP2K1/NDUFS6/ADSS2/ATP5MK/UMPS/DHODH/ATIC/CTPS1/UCK2/ATP5MF/CAD/SDHD/APRT/NME4/ATP5ME/ATP5PF/PAICS/NDUFV3/ATP5F1A/MT-ND6/NDUFB3/NDUFB10/NDUFV2/ATP5F1B/NDUFS5/UQCC3/MTHFD1/SPHK2/NDUFA5/ADSS1/PPAT/ADCY7/NDUFA1/NDUFS1/STOML2/NDUFA9/ENO1/ANTKMT/ATP5F1E/AK4/NDUFA8/SDHC/NDUFB8/ATP5MJ/NDUFA10/ADCY3/GUCY2D/HPRT1/TAFAZZIN/UPRT/AMPD3/NDUFB6/STAT3/NUDT2/AK2/COX11/ATP5PO/NDUFA6/NDUFA3/NME2/NDUFA2/AMPD2/ATP5PD/NDUFC1/VPS9D1/MT-ND4L/PINK1/ATPSCKMT/DCK/NDUFA11/MT-ND5/NDUFS4/NDUFB7/AK9/FAM3A/MT-ND4/MT-ATP6/NME7/ADK/RFK/NDUFA7/ALDOA/SDHB/GUK1/SLC25A13/NPR2/NPPC/NME3/TMSB4X,105
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",22/5674,23/9995,0.9565217391304348,1.6849550198464391,3.7684003986489287,4.0289603407655595e-5,0.019367212358060045,0.019288117505054492,BOP1/FTSJ3/RRS1/URB1/EXOSC2/PES1/UTP20/NOP14/WDR12/RPP40/EXOSC3/EXOSC7/NOP9/KRI1/ABT1/RCL1/ERI1/EXOSC10/EXOSC9/FCF1/NOL9/EXOSC8,22
