ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005743,mitochondrial inner membrane,258/3033,440/10446,0.5863636363636363,2.0195036417588343,13.975852152037978,7.03239451847316e-40,4.479635308267403e-37,3.7530779167009394e-37,ATP5MC1/BDH1/LETM1/TIMM17A/PHB1/TIMM23/SLC25A19/MT-ND2/PMPCA/TOMM40/TIMM21/MRPL24/NDUFB2/MT-ND1/TWNK/CYCS/MRPL17/MRPL51/MT-ND3/SLC25A37/MRPL12/MRPS7/TIMM13/COX7B/UQCR10/MRPL4/PDSS1/SFXN1/SLC9B2/TIMM10B/ATAD3A/TIMM8B/MRPS26/NDUFS3/NDUFAF4/COQ8A/SCO1/TIMM8A/ATP5MC3/HSPD1/MRPL20/MRPL23/SCO2/SFXN2/ATP5PB/FLVCR1/PGAM5/DNAJC11/MRPS2/NDUFAB1/NDUFS6/COA3/GRPEL1/AFG3L2/MICOS10/ATP5MK/MRPS23/MRPS25/TIMM50/MRPL47/RDH13/ALDH18A1/MRPL36/MRPL15/MRPL52/MRPS12/ATAD3B/DHODH/COXFA4/ATP5MF/SDHD/MTX1/NME4/ATP5ME/MRPL3/ATP5PF/MRPL50/MRPL46/NDUFV3/COX5B/SLC25A32/MRPS21/ATP5F1A/MRPL19/GADD45GIP1/MT-ND6/MRPL13/IMMT/TIMM44/NDUFB3/TMEM186/NDUFB10/BCS1L/UQCRQ/RAB5IF/MICOS13/NDUFAF2/NDUFAF3/COX16/MRPS34/NDUFV2/ATP5F1B/SLC25A39/MRPS17/NDUFAF6/NDUFS5/UQCC3/MRPS14/LDHB/SPHK2/MRPL16/TIMMDC1/MRPL35/MPV17L2/SLC25A22/MRPS5/TRAP1/SFXN4/MRPL27/COX7C/SLC25A33/MRPL18/NDUFA5/UQCC1/TIMM10/MRPL11/FPGS/HIGD1A/TMEM70/MTG2/TIMM22/TMEM177/NDUFA1/MTHFD2L/MRPL38/NDUFS1/STOML2/NDUFA9/ACAD9/AIFM1/MRPS16/COX6C/DAP3/MRPS10/ATP5F1E/PISD/MRPL42/ENDOG/NDUFA8/MRPL1/MRS2/SDHC/SAMM50/CHCHD1/MRPL32/NDUFB8/MRPS30/ATP5MJ/NDUFA10/FOXRED1/UQCRFS1/MRPL9/APOO/MRPS18C/COX6B1/NDUFAF5/UQCR11/MTG1/DMAC1/HCCS/PAM16/SLC25A23/CCDC51/MPV17/MRPL41/CPOX/NDUFB6/SLC25A4/UQCC2/OPA1/UQCC5/SLC25A11/MRPS9/SLC25A53/TMEM126B/SLC25A10/MCUR1/ABCB10/COX11/COX7A2/GUF1/CYC1/ATP5PO/MRPL57/NDUFA6/MTLN/MRPS28/MRPS27/NDUFA3/MRPL14/ERAL1/NDUFA2/MRPS6/COX5A/ATP5PD/MRPL21/ADCK1/PTCD3/MRPL44/MRPS11/GPD2/ABCB8/L2HGDH/NDUFAF1/HSPA9/MAIP1/NDUFC1/MT-ND4L/ATPSCKMT/MRPL34/MRPL28/CRLS1/SLC25A15/KGD4/MRPL43/NDUFA11/UQCC4/MT-ND5/COX6A1/MRPS24/NDUFB7/ROMO1/MRPL33/TIMM9/PTPMT1/MT-ND4/MT-ATP6/COQ3/PET100/CPS1/NDUFA7/AGK/MRPL55/AURKAIP1/SDHB/MRPS35/SLC25A13/SPG7/RSAD2/SLC25A12/TMEM223/SLC25A43/MT-CO3/TAMM41/MPC1/OTC/CHCHD10/TIMM23B,258
GO:0019866,organelle inner membrane,270/3033,479/10446,0.5636743215031316,1.9413590380552959,13.490692753830084,1.8327211283894157e-37,5.837216793920288e-35,4.890471642597019e-35,SIGMAR1/ATP5MC1/TRA2B/BDH1/LETM1/TIMM17A/PHB1/TIMM23/SLC25A19/MT-ND2/PMPCA/TOMM40/TIMM21/MRPL24/NDUFB2/MT-ND1/TWNK/CYCS/MRPL17/MRPL51/MT-ND3/SLC25A37/MRPL12/MRPS7/TIMM13/COX7B/UQCR10/MRPL4/PDSS1/SFXN1/SLC9B2/TIMM10B/ATAD3A/TIMM8B/MRPS26/NDUFS3/NDUFAF4/COQ8A/SCO1/TIMM8A/ATP5MC3/HSPD1/MRPL20/CBX3/MRPL23/SCO2/SFXN2/ATP5PB/FLVCR1/PGAM5/DNAJC11/MRPS2/NDUFAB1/NDUFS6/COA3/GRPEL1/AFG3L2/MATR3/TMEM201/NUTF2/MICOS10/ATP5MK/MRPS23/MRPS25/ZMPSTE24/TIMM50/MRPL47/RDH13/ALDH18A1/MRPL36/MRPL15/MRPL52/MRPS12/ATAD3B/DHODH/COXFA4/LMNB1/ATP5MF/SDHD/MTX1/NME4/ATP5ME/MRPL3/ATP5PF/MRPL50/MRPL46/NDUFV3/COX5B/SLC25A32/MRPS21/ATP5F1A/TMPO/MRPL19/GADD45GIP1/MT-ND6/MRPL13/LRPPRC/IMMT/TIMM44/NDUFB3/TMEM186/NDUFB10/BCS1L/UQCRQ/RAB5IF/MICOS13/NDUFAF2/NDUFAF3/COX16/MRPS34/NDUFV2/ATP5F1B/SLC25A39/MRPS17/NDUFAF6/NDUFS5/TMEM120B/UQCC3/MRPS14/LDHB/SPHK2/MRPL16/TIMMDC1/MRPL35/MPV17L2/SLC25A22/MRPS5/TRAP1/SFXN4/MRPL27/COX7C/SLC25A33/MRPL18/NDUFA5/UQCC1/TIMM10/MRPL11/FPGS/HIGD1A/TMEM70/MTG2/TIMM22/TMEM177/NDUFA1/MTHFD2L/MRPL38/NDUFS1/STOML2/NDUFA9/ACAD9/AIFM1/MRPS16/COX6C/DAP3/MRPS10/ATP5F1E/PISD/MRPL42/ENDOG/NDUFA8/MRPL1/MRS2/SDHC/SAMM50/CHCHD1/MRPL32/NDUFB8/MRPS30/ATP5MJ/NDUFA10/FOXRED1/UQCRFS1/MRPL9/APOO/MRPS18C/COX6B1/NDUFAF5/UQCR11/MTG1/DMAC1/HCCS/PAM16/SLC25A23/CCDC51/MPV17/MRPL41/CPOX/NDUFB6/SLC25A4/UQCC2/OPA1/UQCC5/SLC25A11/MRPS9/SLC25A53/TMEM126B/SLC25A10/MCUR1/ABCB10/COX11/COX7A2/GUF1/CYC1/ATP5PO/MRPL57/NDUFA6/MTLN/MRPS28/MRPS27/NDUFA3/MRPL14/ERAL1/NDUFA2/MRPS6/COX5A/ATP5PD/MRPL21/ADCK1/PTCD3/MRPL44/MRPS11/GPD2/ABCB8/L2HGDH/NDUFAF1/HSPA9/MAIP1/NDUFC1/MT-ND4L/ATPSCKMT/MRPL34/MRPL28/CRLS1/SLC25A15/KGD4/MRPL43/NDUFA11/UQCC4/MT-ND5/COX6A1/MRPS24/NDUFB7/ROMO1/MRPL33/TIMM9/PTPMT1/MT-ND4/MT-ATP6/COQ3/PET100/CPS1/NDUFA7/AGK/MRPL55/AURKAIP1/SDHB/MRPS35/SLC25A13/SPG7/RSAD2/UNC50/SLC25A12/TMEM223/SLC25A43/MT-CO3/TAMM41/MPC1/OTC/CHCHD10/TIMM23B,270
GO:0098798,mitochondrial protein-containing complex,118/3033,173/10446,0.6820809248554913,2.3491649657238582,11.445450460171628,7.011827864842205e-27,1.488844783301495e-24,1.247367272798245e-24,TRMT10C/VDAC1/TIMM17A/PHB1/TIMM23/PPIF/PMPCA/TOMM40/TIMM21/MRPL24/MRPL17/MRPL51/MRPL12/MRPS7/TIMM13/MRPL4/PDSS1/TIMM10B/TOMM5/TIMM8B/MRPS26/TIMM8A/TOMM22/TOMM6/HSD17B10/MRPL20/MRPL23/DNAJC11/MRPS2/NDUFAB1/PNPT1/GRPEL1/AFG3L2/ISCA1/MICOS10/MRPS23/MRPS25/TIMM50/MRPL47/SUPV3L1/MRPL36/MRPL15/MRPL52/MRPS12/MTX1/MRPL3/MRPL50/MRPL46/TOMM40L/MRPS21/MRPL19/GADD45GIP1/MRPL13/IMMT/TIMM44/MICOS13/MRPS34/MRPS17/MRPS14/MRPL16/MRPL35/MRPS5/MRPL27/POLRMT/MRPL18/TIMM10/MRPL11/TIMM22/MRPL38/MRPS16/DAP3/MRPS10/MRPL42/MRPL1/BAX/SAMM50/CHCHD1/MRPL32/MRPS30/MRPL9/APOO/MRPS18C/NFS1/PAM16/MRPL41/SLC25A4/TOMM70/MRPS9/MFN1/MRPL57/MRPS28/MRPS27/MRPL14/FXN/MRPS6/MRPL21/PTCD3/MRPL44/MRPS11/HSPA9/DNA2/MRPL34/MRPL28/MRPL43/MRPS24/ROMO1/MRPL33/TIMM9/AGK/MRPL55/AURKAIP1/MRPS35/SPG7/POLG2/MPC1/LYRM4/CHCHD10/TIMM23B,118
GO:0005759,mitochondrial matrix,238/3033,471/10446,0.505307855626327,1.7403382327308314,10.516654502781932,8.658802345882154e-24,1.3789142735817331e-21,1.1552665235163821e-21,HSPE1/TRMT10C/VDAC1/HPDL/BDH1/ELAC2/ALDH1B1/SLIRP/NDUFAF8/PPIF/EARS2/PMPCA/ACO2/MRPL24/MARS2/TWNK/MRPL17/MRPL51/MRPL12/MRPS7/HIBCH/TBRG4/SSBP1/MRPL4/C1QBP/PDSS1/CCNB1/ATAD3A/DARS2/ABCE1/GCDH/GLRX5/MRPS26/NDUFS3/GCSH/MCAT/GOT2/GFM1/TRMT5/TRUB2/LARS2/HSPD1/IVD/HSD17B10/FASTKD5/TFB2M/MRPL20/MRPL23/MRM1/TRNT1/ATP5PB/FASTKD1/MRPS2/NDUFAB1/DLAT/PNPT1/PUS1/GRPEL1/PDE12/PDHA1/ISCA1/SOD2/MRPS23/DHX30/MRPS25/TUFM/MRPL47/DGLUCY/SUPV3L1/ALDH18A1/MRPL36/NUDT9/MRPL15/MRPL52/MRPS12/MCCC2/NGRN/PDHB/NAXE/NME4/MRPL3/YWHAG/BCAT2/LRRC59/MRPL50/MRPL46/CCAR2/MRPS21/ATP5F1A/MRM3/MRPL19/GADD45GIP1/MRPL13/LRPPRC/MTERF3/IDH3A/TIMM44/ACADSB/DDX28/LYRM7/MRPS34/ATP5F1B/RNASEH1/MRPS17/FASTKD2/MRPS14/MRPL16/MRPL35/SDHAF3/MRPS5/TRAP1/MRPL27/OGDH/POLRMT/MRPL18/MCCC1/ACAT1/MRPL11/FPGS/MTG2/TFAM/PARK7/GLS/MTHFD2L/MRPL38/NDUFS1/RPUSD3/NDUFA9/C2orf69/KARS1/MRPS16/OXCT1/DAP3/POLDIP2/YARS2/PARG/MRPS10/ATP5F1E/FAHD1/MRPL42/PDP2/MRPL1/MMAB/REXO2/CHCHD1/PPA2/MRPL32/NDUFB8/SOD1/MALSU1/MRPS30/NDUFA10/UQCRFS1/MRPL9/MRPS18C/FLAD1/METTL8/MTRF1L/NFS1/TEFM/MTG1/PAM16/PPTC7/MTHFS/MTERF1/TTC5/MRPL41/UQCC2/FOXO3B/TOP1MT/MRPS9/TRMT61B/NARS2/GUF1/FASTKD3/SDHAF2/PTCD1/BOLA3/MRPL57/MRPS28/MRPS27/MRPL14/FXN/DNAJA3/ERAL1/MRPS6/GFM2/SARDH/GPX1/MRPL21/PTCD3/MRM2/SUCLG1/IBA57/MRPL44/ABHD11/MRPS11/PRDX3/MRRF/NDUFAF1/HSPA9/MAIP1/ACOT2/PARS2/ARL2/DNA2/MRPL34/MRPL28/PIN4/MRPL43/PITRM1/FDX2/MRPS24/LACTB2/MRPL33/ME2/COQ3/CPS1/MRPL55/LIPT1/AURKAIP1/SDHB/TERT/MRPS35/ADPRS/TXNRD2/MECR/FDX1/ALDH5A1/MTERF4/GSTK1/POLG2/TAMM41/SUCLA2/OTC/LYRM4/MIPEP/NDUFAF7,238
GO:0030684,preribosome,73/3033,101/10446,0.7227722772277227,2.4893106521334625,9.619979850850601,2.199419787386848e-19,2.8020608091308446e-17,2.3475912256950147e-17,LTV1/BOP1/EBNA1BP2/BYSL/RRP7A/MRTO4/NOP56/FTSJ3/WDR46/TBL3/RRP9/RRS1/NOP58/PPAN/PDCD11/DNTTIP2/RRP1/WDR3/WDR74/RRP36/WDR43/DHX37/NOL6/DCAF13/PES1/PNO1/UTP20/NOL7/BMS1/NIP7/PWP2/NAT10/RRP1B/IMP3/NOP14/HEATR1/WDR12/UTP15/UTP11/WDR75/EMG1/XRCC5/KRR1/UTP23/RIOK1/UTP4/RRP15/MAK16/NOP9/KRI1/UTP18/NOL10/MPHOSPH10/UTP14A/RIOK2/UTP3/SNU13/UTP25/IMP4/WDR36/NOC2L/RCL1/FSAF1/DIMT1/RPS19BP1/NOC4L/SRFBP1/UTP6/EXOSC10/PRKDC/NGDN/PIN4/FCF1,73
GO:0000313,organellar ribosome,65/3033,86/10446,0.7558139534883721,2.6031099763071333,9.548300796178847,4.1723788787708354e-19,3.7968647796814605e-17,3.181046754190697e-17,MRPL24/MRPL17/MRPL51/MRPL12/MRPS7/MRPL4/MRPS26/MRPL20/MRPL23/MRPS2/MRPS23/MRPS25/MRPL47/MRPL36/MRPL15/MRPL52/MRPS12/MRPL3/MRPL50/MRPL46/MRPS21/MRPL19/GADD45GIP1/MRPL13/MRPS34/MRPS17/MRPS14/MRPL16/MRPL35/MRPS5/MRPL27/MRPL18/MRPL11/MTG2/MRPL38/MRPS16/DAP3/MRPS10/MRPL42/MRPL1/CHCHD1/MRPL32/MRPS30/MRPL9/MRPS18C/MTG1/MRPL41/MRPS9/MRPL57/MRPS28/MRPS27/MRPL14/MRPS6/MRPL21/PTCD3/MRPL44/MRPS11/MRPL34/MRPL28/MRPL43/MRPS24/MRPL33/MRPL55/AURKAIP1/MRPS35,65
GO:0005761,mitochondrial ribosome,65/3033,86/10446,0.7558139534883721,2.6031099763071333,9.548300796178847,4.1723788787708354e-19,3.7968647796814605e-17,3.181046754190697e-17,MRPL24/MRPL17/MRPL51/MRPL12/MRPS7/MRPL4/MRPS26/MRPL20/MRPL23/MRPS2/MRPS23/MRPS25/MRPL47/MRPL36/MRPL15/MRPL52/MRPS12/MRPL3/MRPL50/MRPL46/MRPS21/MRPL19/GADD45GIP1/MRPL13/MRPS34/MRPS17/MRPS14/MRPL16/MRPL35/MRPS5/MRPL27/MRPL18/MRPL11/MTG2/MRPL38/MRPS16/DAP3/MRPS10/MRPL42/MRPL1/CHCHD1/MRPL32/MRPS30/MRPL9/MRPS18C/MTG1/MRPL41/MRPS9/MRPL57/MRPS28/MRPS27/MRPL14/MRPS6/MRPL21/PTCD3/MRPL44/MRPS11/MRPL34/MRPL28/MRPL43/MRPS24/MRPL33/MRPL55/AURKAIP1/MRPS35,65
GO:0098803,respiratory chain complex,65/3033,102/10446,0.6372549019607843,2.194778999631504,7.755982807144212,3.102843964939446e-13,2.470639507083034e-11,2.0699235397688148e-11,ATP5MC1/MT-ND2/NDUFB2/MT-ND1/MT-ND3/COX7B/UQCR10/NDUFS3/ATP5MC3/ATP5PB/NDUFAB1/NDUFS6/ATP5MK/COXFA4/ATP5MF/SDHD/ATP5ME/ATP5PF/NDUFV3/COX5B/ATP5F1A/MT-ND6/NDUFB3/NDUFB10/BCS1L/UQCRQ/NDUFAF2/NDUFV2/ATP5F1B/NDUFS5/COX7C/NDUFA5/NDUFA1/NDUFS1/NDUFA9/COX6C/ATP5F1E/NDUFA8/SDHC/NDUFB8/ATP5MJ/NDUFA10/UQCRFS1/COX6B1/UQCR11/NDUFB6/COX7A2/CYC1/ATP5PO/NDUFA6/NDUFA3/NDUFA2/COX5A/ATP5PD/NDUFC1/MT-ND4L/NDUFA11/MT-ND5/COX6A1/NDUFB7/MT-ND4/MT-ATP6/NDUFA7/SDHB/MT-CO3,65
GO:0030686,90S preribosome,24/3033,25/10446,0.96,3.3063501483679523,7.384719025268679,2.1826069134169083e-12,1.5448006709406337e-10,1.2942476083068684e-10,BOP1/RRP7A/TBL3/WDR3/RRP36/NOL6/PES1/UTP20/PWP2/IMP3/NOP14/HEATR1/WDR12/UTP4/NOP9/KRI1/UTP18/MPHOSPH10/IMP4/WDR36/NOC2L/NOC4L/SRFBP1/UTP6,24
GO:0032040,small-subunit processome,49/3033,71/10446,0.6901408450704225,2.3769242557222663,7.446266910584461,3.201345763389958e-12,2.0392572512794036e-10,1.7085076863565355e-10,RRP7A/NOP56/WDR46/TBL3/RRP9/NOP58/PDCD11/DNTTIP2/WDR3/WDR43/DHX37/NOL6/DCAF13/PNO1/UTP20/NOL7/BMS1/PWP2/NAT10/IMP3/NOP14/HEATR1/UTP15/UTP11/WDR75/EMG1/XRCC5/KRR1/UTP23/UTP4/UTP18/NOL10/MPHOSPH10/UTP14A/UTP3/SNU13/UTP25/IMP4/WDR36/RCL1/FSAF1/DIMT1/RPS19BP1/NOC4L/UTP6/EXOSC10/PRKDC/NGDN/FCF1,49
