ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03008,Ribosome biogenesis in eukaryotes,70,0.6729943418227603,2.4249048238941353,1e-10,2.9e-8,2.2210526315789474e-8,2451,"tags=76%, list=26%, signal=56%",NXT1/NOL6/GNL3/WDR3/IMP4/WDR75/WDR43/NAT10/GNL2/POP1/EMG1/WDR36/UTP6/GTPBP4/BMS1/NOB1/SNU13/UTP4/NOP56/MPHOSPH10/RCL1/DKC1/UTP14A/SBDS/RIOK2/HEATR1/TCOF1/RRP7A/UTP15/UTP18/CSNK2A1/RAN/PWP2/XPO1/FCF1/TBL3/NOP58/EIF6/NMD3/NOP10/RBM28/NHP2/RIOK1/POP7/IMP3/GAR1/NXF1/XRN2/REXO5/POP4/NXT2/REXO1/RPP40
hsa03013,Nucleocytoplasmic transport,98,0.5522632257060407,2.088375036570935,5.858929632539709e-8,8.495447967182577e-6,6.506495539294097e-6,2829,"tags=59%, list=30%, signal=42%",NXT1/RAE1/KPNA3/IPO5/IPO7/CSE1L/IPO4/SAP18/SNUPN/SEH1L/XPO4/RBM8A/NUP35/NUP58/NUP42/NUP54/RNPS1/NUP160/NUP85/TMEM33/SUMO1/KPNB1/NDC1/AHCTF1/NCBP1/SUMO3/TNPO2/RAN/XPO1/NUP188/KPNA1/NUP155/NMD3/XPO6/NUP98/NUP205/DDX19A/RANGAP1/NUP88/THOC6/NXF1/NUP93/XPOT/THOC1/TNPO1/NXT2/PHAX/NUP37/POM121/MAGOHB/NUP133/CASC3/ALYREF/IPO9/UPF3A/NUP107/AAAS/RANBP2
hsa05226,Gastric cancer,70,-0.5132734271245639,-2.1151699230595775,1.1410427368921374e-6,1.1030079789957329e-4,8.447719911727754e-5,1645,"tags=37%, list=18%, signal=31%",E2F3/CTNNB1/FRAT2/E2F1/FZD2/FGF9/FZD1/TGFBR2/TP53/RXRB/GADD45A/TCF7/PIK3R3/DDB2/E2F2/GADD45B/SOS2/MLH1/TERT/DVL3/PIK3CD/CTNNA1/FRAT1/MAP2K1/CDKN1B/PIK3CB
hsa03010,Ribosome,173,0.41940817366975375,1.6890182465701151,2.994966237560036e-5,0.002171350522231026,0.0016629944108557042,3201,"tags=46%, list=34%, signal=31%",RPL21/MRPL46/MRPL4/RPS27A/PTCD3/MRPL57/MRPS34/MRPS35/MRPL3/RPL37A/MRPL48/MRPL40/MRPL35/MRPL19/MRPL13/MRPL9/MRPL30/MRPL42/RPS7/MRPS12/MRPS28/MRPS23/MRPS17/MRPS9/MRPL54/MRPL21/MRPL20/MRPL1/GADD45GIP1/MRPS7/RPS26/MRPS6/MRPL39/MRPS11/MRPL53/MRPS2/RPL36A/RPL6/MRPL15/MRPS31/MRPL47/MRPS18C/MRPL33/MRPS26/MRPS27/MRPL58/RPS11/MRPL36/MRPL52/RPL26L1/MRPL44/MRPL34/MRPS22/MRPS14/MRPS21/RPL27A/RPSA/RPS13/CHCHD1/MRPS15/RPL27/RPLP0/MRPL49/AURKAIP1/MRPS30/MRPL32/RPL22/RPS15A/RPL30/MRPL50/MRPS33/MRPS5/RPS23/MRPL45/MRPL12/RPL35/FAU/MRPL37/RPS16
hsa03020,RNA polymerase,33,0.6290400974919973,1.973946810308785,3.75755120024069e-5,0.0021793796961396003,0.0016691437963174435,2210,"tags=58%, list=24%, signal=44%",POLR1B/POLR3B/POLR1G/POLR3K/POLR3G/POLR1D/POLR3D/POLR3E/POLR2L/POLR2K/POLR1F/POLR1A/POLR3C/POLR2D/POLR3A/POLR3H/POLR1E/POLR2C/POLR3F
hsa05213,Endometrial cancer,46,-0.5061777805941627,-1.961400856067926,2.2782086979863172e-4,0.0082585065302004,0.006325026779935696,882,"tags=28%, list=9%, signal=26%",TP53/FOXO3/GADD45A/TCF7/PIK3R3/DDB2/GADD45B/SOS2/MLH1/PIK3CD/CTNNA1/MAP2K1/PIK3CB
hsa05230,Central carbon metabolism in cancer,47,-0.4974398543947407,-1.9426704917082165,2.1746091284520312e-4,0.0082585065302004,0.006325026779935696,886,"tags=32%, list=9%, signal=29%",PFKL/TP53/SIRT3/PIK3R3/IDH1/LDHA/SLC1A5/PIK3CD/SLC16A3/SLC7A5/HK1/SLC2A1/MAP2K1/HK2/PIK3CB
hsa04623,Cytosolic DNA-sensing pathway,46,0.5628237273217702,1.8663732694397244,2.0416405457214046e-4,0.0082585065302004,0.006325026779935696,2329,"tags=52%, list=25%, signal=39%",POLR3B/POLR3K/POLR3G/POLR1D/POLR3D/IFI16/POLR3E/POLR2L/CASP8/POLR2K/POLR3C/CHUK/G3BP1/FADD/MLKL/CGAS/IRF3/POLR3A/RELA/POLR3H/NFKBIB/POLR3F/NFKB1/IKBKB
hsa04068,FoxO signaling pathway,85,-0.3870617722798597,-1.6663638757885246,7.356765241555321e-4,0.02370513244501159,0.018155291999627753,929,"tags=42%, list=10%, signal=39%",MAPK8/SOS1/BCL2L11/CCNB2/IGF1R/PRKAB2/IRS1/SIRT1/AKT1/PTEN/FOXO4/MAPK1/CDKN2D/STK11/GABARAPL1/S1PR4/FBXO25/PCK2/TGFBR2/FOXO3/GADD45A/PIK3R3/MAPK14/CSNK1E/GADD45B/SOS2/SOD2/S1PR1/PIK3CD/MAPK13/RAG1/HOMER2/MAP2K1/CCNG2/CDKN1B/PIK3CB
hsa05211,Renal cell carcinoma,54,-0.4567278961207137,-1.8301910593684194,0.0012552303463582246,0.026911790994283487,0.020611208347708947,771,"tags=26%, list=8%, signal=24%",VHL/RAPGEF1/PIK3R3/CRKL/SOS2/ARNT/FLCN/PIK3CD/SLC2A1/EGLN1/JUN/MAP2K1/ETS1/PIK3CB
