gene_id,gene_name,A5BKO_1,A5BKO_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000189060.6,H1-0,3526,3331,732,727,684,7052.2352298547885,2.2371621833439463,0.055445000959736195,0,0,Up
ENSG00000060656.20,PTPRU,560.999,502.999,2959,3069,3067.001,1811.9892391000296,-2.5262367808782034,0.0698838123843858,9.044084506321098e-288,5.036198457344904e-284,Down
ENSG00000128918.15,ALDH1A2,1844,1729,6377,6692,6307.001,5220.164836190235,-1.8721711662797518,0.053779853936858066,8.509353838449007e-267,3.15895578996022e-263,Down
ENSG00000176171.12,BNIP3,426,411,2608.762,2644.868,2364.717,3242.6056528227273,-2.615372294714573,0.07994218918219295,1.58098225652094e-236,4.401849847718427e-233,Down
ENSG00000277443.3,MARCKS,144,139,1472,1495,1488,1429.0586443956345,-3.4025679728084293,0.10461000754994358,8.792693963435569e-235,1.9584846534156386e-231,Down
ENSG00000182054.10,IDH2,294.001,252,2066.001,2071.001,1965,1805.6296468703754,-2.9107245455282826,0.08961842916050163,1.1535931307259054e-233,2.141261116149068e-230,Down
ENSG00000112715.26,VEGFA,320.001,273.999,2005,1891.001,2359.001,1895.7816025443487,-2.8218277362451514,0.09308477386616076,5.6266625201333616e-204,8.952020069532178e-201,Down
ENSG00000101856.10,PGRMC1,3723,3764,1092,1076,1112,2255.5751722146065,1.750823526163684,0.06026842140077885,6.237892486927641e-187,8.683926078364142e-184,Up
ENSG00000007237.19,GAS7,456.001,372,1862.001,1815,2002.999,1599.287570566724,-2.2074739937995136,0.07920300210180722,3.167224263681868e-172,3.919264069402773e-169,Down
ENSG00000106123.12,EPHB6,6089,5405.001,2289,2275,2417,7044.521393333705,1.2776526676178672,0.04657285899584733,1.3008128244386287e-167,1.4487152425773009e-164,Up
ENSG00000117016.10,RIMS3,425,429,1754,1766,1840,1427.5182590570612,-2.0777456999332773,0.07633346963225549,2.2676158297799628e-164,2.2958579542054042e-161,Down
ENSG00000110400.11,NECTIN1,385,341,1640,1622,1707,1689.1653611640118,-2.203174987822128,0.08097119464749877,2.6762796985364966e-164,2.4838105835500803e-161,Down
ENSG00000154229.12,PRKCA,903,773,51,67,60,374.17518633550856,3.7782992855058324,0.15298651366393443,3.3752320101621213e-137,2.8915352997827346e-134,Up
ENSG00000164120.14,HPGD,1077,1103,162,167.001,147.001,501.9128128582019,2.744122189466883,0.11285849074643252,1.4171281896082417e-132,1.1273254748333563e-129,Up
ENSG00000120256.11,LRP11,51,27.435,882,924.38,882,494.2698608539164,-4.524134637862025,0.18729889328179924,1.2923421581120637e-130,9.595209743262702e-128,Down
ENSG00000180573.10,H2AC6,752,718.999,79.001,84,101.252,538.2287603055746,3.0239337304993033,0.12792268672219453,5.881229162682449e-126,4.093703074049652e-123,Up
ENSG00000109107.14,ALDOC,695,597,2012.077,2152,2033,3026.5160185911705,-1.6927384769887566,0.07145062477740864,1.5568339896148034e-125,1.019909420137651e-122,Down
ENSG00000184792.16,OSBP2,145,124,950.001,910.001,935,612.3348207602809,-2.7970711249959255,0.11903188288070898,3.56920816712371e-124,2.2083484087364864e-121,Down
ENSG00000175097.9,RAG2,153,162,1073.001,1168,1167,525.3156652840134,-2.852287443986966,0.12219588294271755,1.1427149476617535e-122,6.698113880057342e-120,Down
ENSG00000115457.10,IGFBP2,4171.999,3987,11901.001,11726,10424,12251.72424426095,-1.4920772534274003,0.06472788179899924,2.776319817808916e-119,1.5459936905468952e-116,Down
ENSG00000167642.13,SPINT2,283,284.001,1127.84,1132.008,1113.777,1337.4207201959916,-1.9985403058805256,0.08950100540225815,1.0915547119674632e-111,5.788878489134113e-109,Down
ENSG00000100867.15,DHRS2,55460,52325,30059,30271.999,31528.001,51329.961093873586,0.7900273376545255,0.03558484597187724,5.373902781827263e-111,2.7204161491459195e-108,Up
ENSG00000061337.16,LZTS1,171,138,878,908,935,592.2460654928673,-2.5585734925791668,0.11604409696343244,2.0541057001360304e-109,9.946337035832596e-107,Down
ENSG00000091409.16,ITGA6,1030,950,2585,2654,2724,1811.5691223491913,-1.4372172690531957,0.06522288820163598,2.200540356318793e-109,1.0211424145134332e-106,Down
ENSG00000115902.11,SLC1A4,1108.999,980.999,2556,2530,2592.017,2559.2963175481013,-1.3078255540869115,0.0594977598539041,5.413289416050706e-109,2.411512169062269e-106,Down
ENSG00000124766.7,SOX4,2410,2226,4692,4627.177,4899,4657.768538744746,-1.046997414509535,0.04907576108629704,5.665297682055837e-103,2.4267084725021486e-100,Down
