gene_id,gene_name,Mix_1,Mix_2,Mix_3,NT_1,NT_2,NT_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000004468.13,CD38,4244,3334,3345.001,227.001,206,213,1349.657923723864,3.8667164873133415,0.07981707742745937,0,0,Up
ENSG00000004478.8,FKBP4,4436,3715,3879,10108,10048,10069.999,9169.617816675283,-1.525129905859912,0.039602414874314575,0,0,Down
ENSG00000070669.17,ASNS,5313.511,4367.247,4284.011,852.935,921.865,908.713,2060.3751389181202,2.1734915256668996,0.05579373685718721,0,0,Up
ENSG00000072274.14,TFRC,5129.998,4141,4053.999,18650.001,18972,19615,12420.860742825977,-2.301995281360366,0.038486712095464774,0,0,Down
ENSG00000080824.19,HSP90AA1,18320.515,14684.727,14490.713,73877.142,75002.273,74659.529,57058.166397576715,-2.43506077259107,0.034543655690370795,0,0,Down
ENSG00000086061.16,DNAJA1,2263,1739,1883,6539,6576,6444.999,5444.036676669479,-1.9320166476687115,0.04513695283940696,0,0,Down
ENSG00000101255.12,TRIB3,10251,8924,9264,1457,1420,1416,4130.620204217288,2.527105159633401,0.050995887050073484,0,0,Up
ENSG00000106123.12,EPHB6,15277.001,12510,12892,2289,2275,2417,7044.521393333705,2.3403428348360227,0.04113560596124993,0,0,Up
ENSG00000109971.14,HSPA8,15603.993,12616.998,12939.997,40182.991,40707.996,40038.143,33819.22465426165,-1.7540589347650872,0.03418015778296245,0,0,Down
ENSG00000125148.7,MT2A,4580.876,4127.6,4116.609,568.999,590.423,543.381,2051.059000712665,2.7107490176246003,0.06582161135126838,0,0,Up
ENSG00000132361.18,CLUH,1582,1328,1365,4787,4859,5392.999,4060.8008374881592,-2.0086323456759643,0.05138807140508932,0,0,Down
ENSG00000136450.13,SRSF1,4779.747,3732.455,3768.084,12013.836,11564.868,11887.673,9814.740346638955,-1.7308028152109074,0.04024698603962978,0,0,Down
ENSG00000136997.22,MYC,1367.999,1093.999,1158.001,5119,5326,5455,4408.124526887881,-2.3317077221815747,0.046878826762861016,0,0,Down
ENSG00000166349.11,RAG1,876.723,633,657,3215,3319,3547,2205.060640911895,-2.41604323357909,0.060234217696622204,0,0,Down
ENSG00000168906.13,MAT2A,1573,1236.998,1251,6387,6278.001,7383,5145.6888839740805,-2.499203514078688,0.056208718762988316,0,0,Down
ENSG00000169136.13,ATF5,11238,9146.999,9307,1080,1108,1079,4023.4347963824707,2.9793067980036527,0.047826673062416766,0,0,Up
ENSG00000171243.8,SOSTDC1,5611,4247,4579,875,911,928,2284.544792334218,2.2028528994728203,0.05589674419702852,0,0,Up
ENSG00000189060.6,H1-0,19436,15822,16290,732,727,684,7052.2352298547885,4.3845500741849435,0.049546649065685906,0,0,Up
ENSG00000115541.11,HSPE1,1483.955,1301.624,1285.095,5741.178,5835.07,5169.775,4601.719992040545,-2.233292259334681,0.059623485621391914,2.1369696787927184e-308,1.2526016480376054e-305,Down
ENSG00000101361.17,NOP56,3077,2655.996,2678.001,7409.998,7158.002,7768.98,6589.059018378832,-1.6033948420255526,0.04337658607361831,7.117481984643769e-301,3.963369843148883e-298,Down
ENSG00000100591.8,AHSA1,1642,1363,1374,4646,4773.998,4470,3702.372275118424,-1.8617493014040332,0.05147011403797826,9.441553027875966e-288,5.007170289116887e-285,Down
ENSG00000161547.17,SRSF2,3564.999,2911,3053.999,7398.887,7545,7789.999,6437.118338802889,-1.4506996575442261,0.04073447245614102,5.239421735576845e-280,2.65233817586906e-277,Down
ENSG00000187193.9,MT1X,2578.018,2330.351,2291.274,263.931,243.578,237.585,1044.4336357230002,3.0612925446985675,0.08801999521527248,1.924473965140127e-267,9.318637630332867e-265,Up
ENSG00000100867.15,DHRS2,82617.795,69061.761,70195.997,30059,30271.999,31528.001,51329.961093873586,1.070689541934614,0.031751593524128936,4.484910085619466e-251,2.081185150981e-248,Up
ENSG00000168439.17,STIP1,5340.999,4506.999,4457.001,10394.999,10290.999,10330.998,8939.925735395922,-1.3125583151055822,0.03908469758649897,1.213537667374021e-249,5.4060676006177886e-247,Down
ENSG00000265972.6,TXNIP,7424,6081,6206.999,1995,1979,2018,3417.420929214222,1.5141016406995007,0.04524443413455884,1.4039289762981199e-247,6.013675772704677e-245,Up
