ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009986,cell surface,140/3298,328/10495,0.4268292682926829,1.3582696090757147,4.4624214465781415,8.57056513784224e-6,0.004765901665482722,0.004364482052364003,CD38/VEGFA/MME/SLC1A4/ENO2/HLA-E/ENO1/SLC7A11/P2RX7/FERMT2/CDH2/SLC3A2/TNFRSF1A/FLOT1/ULBP1/S100A10/ALCAM/SLC7A5/IQGAP2/ERP29/CLIC4/HLA-C/MYO18A/CD4/ANXA5/CLSTN3/SIGIRR/TFPI/LY9/ITGA5/TSPAN14/MICB/TNFRSF14/ANO6/PPFIA4/LMO7/SORT1/NEO1/HILPDA/TMEM8B/ITGAL/IL21R/TMEM123/CCR7/CTSB/ADGRA2/MYH9/HLA-A/EPOR/BMPR2/GPC2/FAM234A/TREML2/CEACAM21/PLXNB2/LPAR2/P4HB/BTN3A1/C1R/ABCA7/CD79A/CD109/IL2RG/RTN4RL2/ANTXR2/F2R/B4GALT1/PLAUR/TIRAP/BTN2A2/INTU/SLC4A4/INSR/MICA/ITGA3/SEMA6C/CTSZ/IGF2R/CD69/MR1/ITGA6/IL6ST/CLEC2D/VAMP4/PLXNB3/FCGRT/ITGB2/NLGN2/FLT3LG/PECAM1/MPZL1/NECTIN2/IL1RAP/FURIN/PDGFA/MELTF/ASGR1/ACVR1B/PSEN1/CD99L2/FZD1/MST1R/CD44/CD248/MFGE8/TSPEAR/BTN2A1/SDC3/P2RX1/CAPN5/CCRL2/ULBP2/PKD1/ADAMTS13/HEG1/CD59/CCR10/DIP2A/TCN2/GPC1/IL4R/LRFN3/EGFL7/KCNH2/MET/LRRC8A/AGER/CD8A/EFNB1/HCST/RTN2/TMEM102/LEPR/VAMP5/CNTNAP2/SPA17/S1PR1/ITGB4/TGFBR2/MCAM,140
GO:0030312,external encapsulating structure,61/3298,124/10495,0.49193548387096775,1.5654526692619184,4.287625925151632,2.5275412328912348e-5,0.004765901665482722,0.004364482052364003,VEGFA/SERPINE2/CDH2/SERPINB1/S100A10/SPOCK2/INHBE/SPOCK1/ANXA5/MDK/GLG1/COL18A1/FCGBP/ANXA11/LTBP1/PCOLCE/CTSB/SERPINH1/PLOD1/CRELD1/DGCR6/MST1/ERBIN/C17orf58/MFAP4/FLRT3/CTSZ/ADAMTS10/SRGN/MEGF9/TINAGL1/ANXA6/CTSD/APLP1/CD248/ANGPTL2/MFGE8/HAPLN3/FBLN5/FBN1/COL9A2/SDC3/P3H1/SERPINF1/CTSH/ADAMTS13/TIMP2/LTBP3/SERAC1/LGALS9/GPC1/EGFL7/CASK/PAPLN/RELL2/ADAMTS6/COL2A1/ACTA2/LAMA5/ITGB4/ANGPTL6,61
GO:0031012,extracellular matrix,61/3298,124/10495,0.49193548387096775,1.5654526692619184,4.287625925151632,2.5275412328912348e-5,0.004765901665482722,0.004364482052364003,VEGFA/SERPINE2/CDH2/SERPINB1/S100A10/SPOCK2/INHBE/SPOCK1/ANXA5/MDK/GLG1/COL18A1/FCGBP/ANXA11/LTBP1/PCOLCE/CTSB/SERPINH1/PLOD1/CRELD1/DGCR6/MST1/ERBIN/C17orf58/MFAP4/FLRT3/CTSZ/ADAMTS10/SRGN/MEGF9/TINAGL1/ANXA6/CTSD/APLP1/CD248/ANGPTL2/MFGE8/HAPLN3/FBLN5/FBN1/COL9A2/SDC3/P3H1/SERPINF1/CTSH/ADAMTS13/TIMP2/LTBP3/SERAC1/LGALS9/GPC1/EGFL7/CASK/PAPLN/RELL2/ADAMTS6/COL2A1/ACTA2/LAMA5/ITGB4/ANGPTL6,61
GO:0005911,cell-cell junction,117/3298,272/10495,0.43014705882352944,1.3688275871294546,4.171946911114855,3.0599689666020686e-5,0.004765901665482722,0.004364482052364003,NECTIN1/VEGFA/NDRG1/KLHL24/ITK/CORO1A/P2RX7/FERMT2/CDH2/CTNNA1/FLOT1/PTK7/WASF2/SPTBN2/PTPRU/FSCN1/CYTH1/CLIC4/AFDN/AMOTL1/CNN2/CCDC88C/THEMIS/DBN1/LLGL1/PDLIM7/VASP/ITGA5/RAPGEF2/SDCBP/SLC2A1/MAP3K1/ARHGEF2/ACTG1/TMOD3/CYTH3/MYH9/ADD1/BMPR2/LAT/VCL/CAMSAP3/CNTNAP1/SHROOM1/CELSR2/CYTH2/TNK2/EPB41L5/PXN/VEZT/MYADM/FLOT2/KIRREL2/B4GALT1/PACSIN2/MAP2K2/SLC31A1/PDLIM1/ACTN1/JAM3/DNMBP/DLG5/TJAP1/AKT1/ZYX/FBF1/FLRT3/DLG4/CD53/MAGI1/CDC42EP4/MPP1/PECAM1/NECTIN2/CDCA3/SH3KBP1/SIPA1L3/PCDH12/ADD3/IQGAP3/SIRT2/POF1B/RND1/APOLD1/PAK4/CD99L2/OCEL1/SH3BP1/AJUBA/PTPN6/NIBAN2/JUP/SDCCAG8/NCK1/ATP1B1/RAP2B/AJM1/NECTIN3/PRKCI/MICALL2/PIP5K1C/HEG1/LIN7B/PIK3CA/TIAM1/PKD2/ANK2/CASK/FLCN/NPHP4/VAMP5/CNTNAP2/KRT8/JAG1/AHI1/RIGI/ILDR2,117
GO:0030055,cell-substrate junction,132/3298,319/10495,0.41379310344827586,1.3167855126408898,3.88948596468378,8.886989354129015e-5,0.010511592075029767,0.009626227768296247,MARCKS/MME/FERMT2/CDH2/TES/CTNNA1/FLOT1/PTK7/RPL3/ALCAM/MRC2/LASP1/PTK2B/VIM/ANXA5/CNN2/TPM4/TSPAN9/ADGRE5/PDLIM7/VASP/RPL12/ITGA5/TRIOBP/STX16/LMO7/MAP2K1/SDCBP/RPL13A/DOCK7/ARHGEF2/FZD2/IRF2/ACTG1/DAB2/ILK/CBL/MYH9/MDC1/MAPK3/ADD1/LCP1/LIMA1/VCL/IL16/NEDD9/FLII/P4HB/EPB41L5/PXN/ARHGAP26/FLOT2/NUMB/ERBIN/PABPC1/PACSIN2/MAP2K2/PLAUR/PDLIM1/ACTN1/SVIL/ZYX/RRAS/PTPN12/PCBP2/ITGA3/FLRT3/EPB41L2/RPL4/RPL10A/IGF2R/ITGA6/SCARB2/FLNB/RPS9/LMLN/KRAS/ITGB2/RPL7A/PTPRA/RAC2/MPZL1/NECTIN2/ANXA6/RPS18/SH3KBP1/SORBS3/RPS3/RPS8/ALKBH6/RPL9/EVL/RPL18/RHOG/PAK4/CD99L2/FZD1/JAK1/CD44/AJUBA/RPS10/LPP/JUP/ZNF185/RPLP1/TLN2/PALLD/CAT/CAPN5/GNA12/CD99/CLASP1/PIP5K1C/CD59/PEAK1/NHERF2/SYNE2/UBOX5/CASK/SNTB2/TLE2/TSPAN4/ASAP3/TNS4/ATAT1/ITGB4/ARHGAP31/RPS29/PARVG/MCAM/GSN/RPS3A,132
GO:0005925,focal adhesion,131/3298,317/10495,0.41324921135646686,1.3150547220091329,3.8557112733946144,1.0123523667765426e-4,0.010511592075029767,0.009626227768296247,MARCKS/MME/FERMT2/CDH2/TES/CTNNA1/FLOT1/PTK7/RPL3/ALCAM/MRC2/LASP1/PTK2B/VIM/ANXA5/CNN2/TPM4/TSPAN9/ADGRE5/PDLIM7/VASP/RPL12/ITGA5/TRIOBP/STX16/LMO7/MAP2K1/SDCBP/RPL13A/DOCK7/ARHGEF2/FZD2/IRF2/ACTG1/DAB2/ILK/CBL/MYH9/MDC1/MAPK3/ADD1/LCP1/LIMA1/VCL/IL16/NEDD9/FLII/P4HB/EPB41L5/PXN/ARHGAP26/FLOT2/NUMB/PABPC1/PACSIN2/MAP2K2/PLAUR/PDLIM1/ACTN1/SVIL/ZYX/RRAS/PTPN12/PCBP2/ITGA3/FLRT3/EPB41L2/RPL4/RPL10A/IGF2R/ITGA6/SCARB2/FLNB/RPS9/LMLN/KRAS/ITGB2/RPL7A/PTPRA/RAC2/MPZL1/NECTIN2/ANXA6/RPS18/SH3KBP1/SORBS3/RPS3/RPS8/ALKBH6/RPL9/EVL/RPL18/RHOG/PAK4/CD99L2/FZD1/JAK1/CD44/AJUBA/RPS10/LPP/JUP/ZNF185/RPLP1/TLN2/PALLD/CAT/CAPN5/GNA12/CD99/CLASP1/PIP5K1C/CD59/PEAK1/NHERF2/SYNE2/UBOX5/CASK/SNTB2/TLE2/TSPAN4/ASAP3/TNS4/ATAT1/ITGB4/ARHGAP31/RPS29/PARVG/MCAM/GSN/RPS3A,131
GO:0042641,actomyosin,29/3298,54/10495,0.5370370370370371,1.7089762594614022,3.5357180779701354,5.44791116252271e-4,0.03617835831768488,0.033131148446709814,SEPTIN9/FERMT2/FSCN1/MYO18A/CNN2/TPM4/DBN1/PDLIM7/MYH9/LCP1/LIMA1/PXN/DAAM1/PDLIM1/ACTN1/ZYX/BAG3/FLNB/SIPA1L3/EVL/MST1R/KAT2B/SH2B2/LPP/PALLD/MICALL2/PPP1R12B/CTTNBP2NL/ACTA2,29
GO:0098552,side of membrane,127/3298,317/10495,0.40063091482649843,1.2749003793523652,3.3642933042553977,5.90370628235789e-4,0.03617835831768488,0.033131148446709814,NRN1/GNAO1/HLA-E/P2RX7/FERMT2/FLOT1/ULBP1/ALCAM/GBP5/SLC7A5/CYTH1/GNA15/HLA-C/CD4/ANXA5/DNAJB2/TFPI/LY9/ITGA5/MICB/TNFRSF14/CYLD/EFNA3/NOA1/EEF1A1/TAPBP/BORCS6/KCNAB2/OSBPL2/IL21R/TMEM123/GNB5/CCR7/CTSB/EFNA4/MYH9/GNAI2/HLA-A/EPOR/GPC2/CEACAM21/GRK2/AP2A1/P4HB/BTN3A1/CD79A/CD109/IL2RG/RTN4RL2/ANTXR2/B4GALT1/MAP2K2/PLAUR/TIRAP/BTN2A2/GNG2/INSR/PTEN/MICA/ITGA3/ALG9/CD69/MR1/RASAL3/IL6ST/CLEC2D/FCGRT/KRAS/ITGB2/GEM/GAS1/PECAM1/SPPL3/SPPL2B/MELTF/ASGR1/SPPL2A/CFP/SYT6/C2CD2L/JAK1/BLOC1S1/CD248/XPNPEP2/RPS28/LDLRAP1/NTNG2/JUP/RAB5A/MFGE8/ALG12/BTN2A1/P2RX1/CD48/GNA12/CCRL2/ULBP2/DPEP1/CDK16/TRAF3IP2/RNF31/BIRC2/HEG1/CD59/CCR10/ASPSCR1/TCN2/BLOC1S2/GPC1/IL4R/PTPN3/PKD2/GNA11/RGMB/CD8A/MCF2L/SOCS3/LEPR/PLEKHA4/MTSS1/SPA17/S1PR1/BST1/CD52/RPS29/TGFBR2/MCAM,127
GO:0031514,motile cilium,60/3298,133/10495,0.45112781954887216,1.4355932280671355,3.422198921918547,5.953876929684654e-4,0.03617835831768488,0.033131148446709814,TUBA1A/ODAD4/WDR54/BBS2/TCP11/SPAG4/CAMSAP3/GABARAP/BRWD1/SLC26A6/AK7/DRC4/RSPH3/LRRC23/LDHA/DAAM1/INTU/CFAP73/SQSTM1/ATP2B4/CBY1/TTLL1/SPACA9/BBS4/TLE6/CFAP119/CCDC34/CEP89/ATP1B1/NME7/PRKACA/IFT20/SPMIP4/PKD1/MNS1/CTSH/TSSK6/CFAP36/ABHD2/DUSP3/PKD2/CFAP251/HVCN1/TTLL3/AKAP3/IFT52/IFT88/DNHD1/DYNC2LI1/DRC9/AK9/WDR19/EFHC1/ARL13B/ACTA2/SPA17/CCDC146/CD52/CATSPER2/BBOF1,60
GO:0005912,adherens junction,50/3298,107/10495,0.4672897196261682,1.487024138106924,3.427650313182296,6.2173917149375e-4,0.03617835831768488,0.033131148446709814,NECTIN1/VEGFA/NDRG1/KLHL24/FERMT2/CDH2/CTNNA1/FLOT1/CYTH1/AFDN/LLGL1/PDLIM7/SDCBP/TMOD3/CYTH3/MYH9/ADD1/BMPR2/VCL/CAMSAP3/SHROOM1/CELSR2/CYTH2/TNK2/EPB41L5/VEZT/FLOT2/PACSIN2/PDLIM1/DLG5/ZYX/DLG4/MAGI1/CDC42EP4/NECTIN2/CDCA3/POF1B/RND1/PAK4/CD99L2/SH3BP1/AJUBA/NIBAN2/JUP/AJM1/NECTIN3/PIP5K1C/LIN7B/JAG1/AHI1,50
