ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,196,0.8159931036604353,2.103103068774202,1e-10,2.5e-9,1.4210526315789477e-9,1320,"tags=56%, list=12%, signal=50%",6427/9221/3329/9188/26354/4953/6059/6723/22948/10492/6741/56910/2107/7203/8662/5707/8886/51491/4173/708/6432/9136/8669/1503/5245/23435/26135/10576/10146/10236/6434/10574/7514/5902/790/1982/7416/6742/5036/4830/7027/6950/6732/22916/1965/54107/2935/3192/1964/1665/5901/10728/6634/3184/10935/23196/6637/3181/1019/5690/2079/5887/5093/10971/26121/5425/3837/26156/2806/5478/23450/10575/6632/4175/1478/4706/7284/3475/7555/6428/5709/4686/4176/55651/11335/6150/10549/220988/5704/11137/23016/3326/5685/991/6418/3608/10921/10907/6627/8454/1977/6599/10155/5496/821/51690/7965/7332/7531/5688
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,54,0.8971641519869662,1.986446186124773,1e-10,2.5e-9,1.4210526315789477e-9,938,"tags=80%, list=8%, signal=73%",10514/9221/4839/3329/26354/56342/51154/6723/23082/23223/27340/83743/51388/8886/51491/4173/80324/9136/5245/92856/2193/79711/79077/23481/6573/10199/5036/1844/54663/7374/10196/6949/6652/705/9238/10244/1019/56915/64216/29078/11335/81887/10171
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,121,-0.759285503192631,-2.172730342398481,2.2324379305506108e-10,3.720729884251018e-9,2.1149411973637366e-9,798,"tags=44%, list=7%, signal=41%",4627/205/3099/2632/3669/2584/2908/2597/4214/5292/6513/1944/467/8497/25824/58528/5211/8819/7163/5209/3725/4493/4601/23036/226/55139/7128/5230/3098/901/26136/26355/2113/1649/55818/4502/2821/694/10957/2023/665/23645/1027/2026/54800/8553/8277/10397/7436/7422/54541/5033/6515
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,75,-0.774670201954018,-2.0731326306221334,3.0525475904983705e-7,3.815684488122963e-6,2.1689153932488425e-6,920,"tags=29%, list=8%, signal=27%",5351/871/5118/1314/1601/6535/5768/3678/6303/7171/7431/3725/6695/7128/1000/10979/9235/3487/2026/5270/3485/7422
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,114,-0.6824172372148688,-1.9415185366240553,8.46896046977115e-7,8.468960469771151e-6,4.81393542492255e-6,1853,"tags=35%, list=17%, signal=30%",5819/9019/5175/5880/57555/5335/4478/51776/5600/2037/60412/3675/5728/6237/7791/83700/87/2683/10290/54509/7414/51474/7216/2771/4627/71/51754/2962/5871/5089/7408/1432/4192/3636/5603/1265/6624/1495/51148/5818
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,118,-0.6477889903052675,-1.8510870481893091,6.165073845453495e-6,5.137561537877913e-5,2.920298137320077e-5,429,"tags=16%, list=4%, signal=16%",467/6303/25816/5209/3725/10318/7128/5971/10209/694/10957/23645/4791/1051/8553/23135/7422/4082/6515
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,139,-0.6098810701664751,-1.7933403502519145,1.9894410193412087e-5,1.421029299529435e-4,8.077429702588368e-5,991,"tags=29%, list=9%, signal=27%",54498/3029/6397/7716/118/2057/1508/4005/22936/6535/2995/2908/23568/6513/8780/7351/56895/6386/5526/1870/54855/10841/25901/10098/23351/4601/6536/51092/26502/4779/23762/10133/55544/23608/51646/80853/26020/6917/23657/665
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,86,-0.6642026601037792,-1.8024299371346086,8.82417123713164e-5,4.902317353962022e-4,2.7865803906731507e-4,1400,"tags=26%, list=13%, signal=23%",5728/8871/861/23229/54468/10401/5002/5607/23345/1601/4052/2535/2908/5581/23469/1432/7035/4493/2534/1027/8553/7436
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,147,-0.5713874094578011,-1.6856393117176036,7.847849374691606e-5,4.902317353962022e-4,2.7865803906731507e-4,815,"tags=20%, list=7%, signal=19%",677/4084/3732/26999/10399/26207/467/81566/6303/317/55766/54884/3725/6004/1643/2872/5372/6281/6520/26355/900/4033/1649/694/23657/23645/10397/54541/10628
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,195,0.6006535705621545,1.5466794542937135,1.7181411634768158e-4,8.590705817384079e-4,4.883138043565689e-4,1464,"tags=30%, list=13%, signal=26%",6427/9221/55646/10492/4173/1434/1503/6434/7514/5902/79077/10212/10606/5036/4830/7374/1965/2935/5901/5983/9319/7884/9238/3184/1019/204/1164/5425/6241/57122/4175/9837/4176/23165/993/10248/51747/4683/9972/10549/10527/991/9125/3609/79677/23594/5411/7283/10274/56655/4436/6628/7112/4001/54962/4172/4171/64785
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,81,-0.6393090571629017,-1.7281950556838488,4.1563844531670855e-4,0.0018892656605304936,0.0010738983754594385,1454,"tags=31%, list=13%, signal=27%",330/22903/23531/23268/5329/5593/3561/951/28951/3936/25960/867/4613/2995/1848/4214/7805/7035/11179/6004/27075/7128/2113/23645/8854
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,143,-0.5417476855478753,-1.5838234424434137,7.303597688291645e-4,0.003043165703454852,0.0017297994524901267,789,"tags=20%, list=7%, signal=19%",10456/205/8912/3099/3669/79586/2584/2673/1944/5768/8497/58528/8819/10616/2805/4601/23036/226/55139/5230/26355/2023/9123/2026/8277/7436/7422/54541/5033
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,196,0.5745813897811859,1.48089962854909,0.001396615487791184,0.005371598029966093,0.0030533294065070425,2046,"tags=43%, list=19%, signal=36%",516/10440/54205/10128/7416/23203/1737/80273/26517/3419/518/4967/26521/56993/10935/4709/92609/4708/50/1349/51318/3313/2806/38/6183/29796/4706/4719/515/4722/29088/4552/4726/5435/9927/3028/10989/528/10939/5160/6392/5162/9551/10884/522/81689/521/1329/9550/498/4697/6832/27089/7419/65003/506/514/4698/1350/10975/8803/8992/8604/4190/9617/3945/6390/3030/26519/36/4729/4704/1353/4694/9131/9868/533/8802/1345/4702/34/6391/26520/4714
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,181,-0.4862367837405174,-1.4546368216881451,0.002039828086868014,0.007285100310242908,0.004141004386874917,1561,"tags=21%, list=14%, signal=18%",22920/51203/56992/9700/2037/4926/84333/10928/10013/11064/3797/5829/9266/134549/54509/64857/11104/127829/4739/7277/7414/5981/4751/4627/9181/274/22994/22930/3996/11004/57787/10048/25777/6624/9702/10163/10801/4082
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,187,0.5537009455122673,1.4198600139221957,0.005809879741466771,0.01936626580488924,0.011008193194358095,1467,"tags=27%, list=13%, signal=24%",6427/9221/1736/4953/10492/6421/262/10146/6434/7514/10212/10419/7027/30000/2935/3192/8451/3184/7150/990/8452/1019/5976/5887/1164/2130/3837/7371/6632/4175/1874/993/7290/6713/7486/1841/991/3609/23594/8899/8454/6599/10274/10432/10772/7112/4001/4172/4171/4928
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,61,-0.6033166236533763,-1.5527342367198518,0.006945949812760467,0.021601644523965232,0.0122788295188855,1667,"tags=25%, list=15%, signal=21%",7832/5324/4524/797/5164/6498/57118/7704/1952/54847/54855/9746/29799/6712/3485
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,113,-0.5215617919054515,-1.4836155080034283,0.007344559138148178,0.021601644523965232,0.0122788295188855,1383,"tags=21%, list=13%, signal=19%",54331/4048/23533/5329/60489/23764/3665/715/842/10404/2771/1508/3660/1848/5292/2625/23348/308/868/9806/7128/2534/5641/1051
