category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,56/1619,71/4899,0.7887323943661971,2.386658431130327,8.268199236371053,1.8486527712981638e-15,3.7115050384210645e-13,3.5208415271501435e-13,NOP56/WDR43/DKC1/WDR3/GNL3/NOP58/NOL6/GTPBP4/WDR75/NAT10/HEATR1/BMS1/IMP4/XPO1/WDR36/UTP4/RRP7A/MPHOSPH10/TCOF1/UTP15/PWP2/GNL2/RAN/POP1/UTP14A/SNU13/GAR1/RIOK1/TBL3/UTP6/EMG1/LSG1/IMP3/RBM28/NHP2/UTP18/POP7/RIOK2/RCL1/RPP40/NXF1/NXT1/POP4/NOP10/DROSHA/AK6/SBDS/MDN1/POP5/XRN2/GNL3L/EIF6/FCF1/REXO2/RPP38/NXF3,56
Genetic Information Processing,Transcription,hsa03040,Spliceosome,91/1619,139/4899,0.6546762589928058,1.9810123488608744,8.242791051375555,2.2224581068389608e-15,3.7115050384210645e-13,3.5208415271501435e-13,HSPA8/SRSF1/SRSF2/SRSF6/U2AF2/FUS/SRSF7/DDX5/TRA2B/PRPF40A/SRSF8/NCBP2/SF1/HNRNPM/SF3A3/HNRNPU/DHX15/SNRPD3/SNU13/EFTUD2/ALYREF/SNRPE/RBM8A/SNRPG/HNRNPK/PCBP1/PUF60/PRPF31/DDX23/SF3B3/SNRPD1/PRPF4/RBM25/PRPF38B/PRPF19/SNRPF/PPIL1/SRSF3/NCBP1/AQR/CHERP/TCERG1/HNRNPA3/BCAS2/EIF4A3/SF3B1/SNRNP70/TXNL4A/SNRPA1/HSPA1B/SRSF5/PRPF8/LSM7/SNRPB/SF3B4/SRSF9/SRSF10/SNRNP40/MAGOHB/THOC6/PRPF3/ACIN1/PHF5A/MAGOH/SF3B6/SNRNP200/U2SURP/DHX38/SNRPB2/WBP11/LSM5/SNRPC/PPIH/YJU2/DDX46/CWC25/CRNKL1/SNRPD2/CDC5L/LSM4/RBM17/PRPF38A/LSM3/CWC15/SNRNP27/THOC2/LSM6/PQBP1/CCDC12/THOC1/PRPF18,91
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,69/1619,99/4899,0.696969696969697,2.108989836599472,7.8310579465567365,5.513122499692257e-14,6.137943049657379e-12,5.822631131253929e-12,CSE1L/XPO1/SEH1L/IPO4/KPNA3/NCBP2/NUP155/TNPO2/SUMO1/RAN/XPO6/NUP160/NUP188/XPO5/TMEM33/ALYREF/XPO4/DDX19A/RBM8A/NUP35/UPF1/NDC1/AHCTF1/KPNB1/NUP107/TNPO1/NCBP1/NUP205/RANBP2/NUP153/NUP42/KPNA1/IPO5/NUP54/EIF4A3/IPO7/NUP62/NUP85/NXF1/RNPS1/NUP93/PNN/NXT1/MAGOHB/IPO9/NUP98/RANGAP1/THOC6/NUP210/ACIN1/SUMO3/MAGOH/KPNA2/PHAX/NUP133/NUP88/POM121/TPR/NUP50/NUP214/IPO8/NUP43/SNUPN/RAE1/THOC2/IPO11/NUP37/THOC1/NXF3,69
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,120/1619,220/4899,0.5454545454545454,1.6505137851648042,6.935650736533574,1.5471553568947987e-11,1.291874723007157e-9,1.2255099011193013e-9,PPIF/HSPA5/ATP5MC1/PSMD1/CYCS/SLC39A14/TUBA1C/MT-ND2/VDAC1/UBE2G2/EIF2S1/MT-ND1/PSMB6/TRAP1/TXN/ATP5MC3/PSMA3/CALM2/NDUFB3/NDUFB2/COX7B/PSMB5/PSMB2/PSMD12/MT-ND3/UQCR10/SLC39A10/PSMD2/PSMD11/TUBA1B/NDUFAB1/NDUFS1/ATP5PB/PSMD13/TUBB6/PSMD3/NDUFS3/NDUFS6/MFN2/PSMC4/PSMA4/ADORA2A/SDHD/UBE2L3/NFE2L2/PSMA7/ATP5PF/NDUFS5/NDUFB10/COX5B/NDUFA10/ATP5F1A/COXFA4/UQCRQ/PSMD6/VDAC3/PARK7/PSMB3/ATP5F1B/ATP5F1E/NDUFA5/COX7C/UBA1/SLC11A2/SOD1/UQCR11/NDUFV3/SLC39A6/PSMA5/KEAP1/SDHB/PSMD9/NDUFV2/NDUFA9/PSMD7/NDUFA1/UBE2J2/ADRM1/COX6C/NDUFA8/SDHC/NDUFB8/SLC39A4/PSMC6/MT-ND6/UBE2G1/TUBB4B/UQCRFS1/NDUFB6/COX6B1/SLC39A3/BAX/PSMC5/HTRA2/CYC1/COX7A2/PSMB4/PSMD14/PSMC3/PSMA1/SLC25A4/UBE2J1/PSMD8/NDUFA6/ATP5PD/NDUFA2/ATP5PO/COX5A/CALML4/NDUFA3/PSMA2/UBB/MFN1/NDUFA11/NDUFA7/NDUFB7/NDUFC1/MT-ND4L/MT-ND5/DUSP1,120
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,148/1619,289/4899,0.5121107266435986,1.5496173254027112,6.766354789219332,3.7617985413737824e-11,2.5128814256376865e-9,2.3837923388494916e-9,TOMM40/HSPA5/ATP5MC1/PSMD1/FUS/SRSF7/CYCS/TARDBP/SEH1L/SIGMAR1/TUBA1C/MT-ND2/VDAC1/NUP155/EIF2S1/MT-ND1/PSMB6/ATP5MC3/NUP160/NUP188/UBQLN4/PSMA3/ALYREF/NDUFB3/NDUFB2/COX7B/HNRNPA2B1/NUP35/VCP/PSMB5/PSMB2/PSMD12/MT-ND3/NDC1/NUP107/UQCR10/PSMD2/PSMD11/DCTN1/TUBA1B/NDUFAB1/NDUFS1/ATP5PB/MATR3/PSMD13/TUBB6/SRSF3/PSMD3/NCBP1/NUP205/RANBP2/NDUFS3/DCTN5/NDUFS6/NUP153/UBQLN1/HNRNPA3/PSMC4/NUP54/NUP62/TOMM40L/PSMA4/NUP85/NXF1/MTOR/NUP93/BID/NXT1/SDHD/PSMA7/ATP5PF/RAB8A/NDUFS5/NDUFB10/COX5B/NDUFA10/ATP5F1A/COXFA4/UQCRQ/NUP98/PSMD6/NUP210/PSMB3/ATP5F1B/ATP5F1E/NDUFA5/COX7C/SOD1/UQCR11/NDUFV3/PSMA5/SDHB/PSMD9/NDUFV2/NUP133/NDUFA9/PSMD7/NDUFA1/PIK3R4/ALS2/NUP88/POM121/ADRM1/COX6C/TPR/NDUFA8/SDHC/NDUFB8/PSMC6/MT-ND6/ANXA7/NUP50/TUBB4B/UQCRFS1/NDUFB6/COX6B1/BAX/PSMC5/NUP214/CYC1/COX7A2/PSMB4/PSMD14/PSMC3/BECN1/PSMA1/GPX1/PSMD8/NDUFA6/ATP5PD/NDUFA2/NUP43/ATP5PO/COX5A/NDUFA3/ATG101/RAE1/PSMA2/NDUFA11/NDUFA7/NUP37/NDUFB7/NDUFC1/SMCR8/NXF3/MT-ND4L/ATG14/MT-ND5,148
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,70/1619,120/4899,0.5833333333333334,1.7651327980234712,5.96148999488397,7.675207903909296e-9,4.272532399842841e-7,4.0530483843450846e-7,ATP5MC1/CYCS/MT-ND2/MT-ND1/ATP5MC3/NDUFB3/NDUFB2/COX7B/MT-ND3/UQCR10/NDUFAB1/NDUFS1/ATP5PB/NDUFS3/NDUFS6/ATP6V1C1/SDHD/ATP5MF/ATP5PF/ATP5ME/PPA1/NDUFS5/NDUFB10/COX5B/NDUFA10/ATP6V1G1/ATP5F1A/COXFA4/UQCRQ/ATP5F1B/ATP5F1E/NDUFA5/COX7C/UQCR11/NDUFV3/ATP6V0A2/ATP6V0E1/SDHB/NDUFV2/NDUFA9/COX11/NDUFA1/ATP6V0B/COX6C/NDUFA8/SDHC/NDUFB8/MT-ND6/ATP6V1F/UQCRFS1/PPA2/NDUFB6/COX6B1/CYC1/COX7A2/NDUFA6/ATP5PD/NDUFA2/ATP5PO/COX5A/NDUFA3/COX10/NDUFA11/NDUFA7/NDUFB7/NDUFC1/ATP6V0D1/ATP6V0E2/MT-ND4L/MT-ND5,70
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,32/1619,44/4899,0.7272727272727273,2.200685046886406,5.6202639995759744,7.40400942472867e-8,3.5327702112276803e-6,3.351288476456136e-6,PSME3/PSMD1/PSMB6/PSMA3/PSME4/PSMB5/PSMB2/PSMD12/POMP/PSMD2/PSMD11/PSMD13/PSMD3/PSMC4/PSMA4/PSMA7/PSME2/PSMD6/PSMB3/PSMA5/PSMD9/PSMD7/ADRM1/PSMF1/PSMC6/PSMC5/PSMB4/PSMD14/PSMC3/PSMA1/PSMD8/PSMA2,32
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,118/1619,244/4899,0.48360655737704916,1.4633653641693416,5.216203560762046,2.6480633936873923e-7,1.1055664668644862e-5,1.04877247565777e-5,PPIF/ATP5MC1/PSMD1/CYCS/TUBA1C/MT-ND2/VDAC1/POLR2L/MT-ND1/PSMB6/POLR2B/ATP5MC3/HDAC1/PSMA3/POLR2D/NDUFB3/NDUFB2/COX7B/SOD2/PSMB5/PSMB2/PSMD12/TFAM/MT-ND3/UQCR10/PSMD2/PSMD11/DCTN1/TUBA1B/NDUFAB1/NDUFS1/ATP5PB/PSMD13/TUBB6/PSMD3/NDUFS3/DCTN5/NDUFS6/POLR2F/PSMC4/PSMA4/MTOR/POLR2E/AP2M1/SDHD/PSMA7/ATP5PF/NDUFS5/NDUFB10/COX5B/NDUFA10/ATP5F1A/COXFA4/UQCRQ/POLR2K/PSMD6/VDAC3/PSMB3/ATP5F1B/ATP5F1E/NDUFA5/COX7C/SOD1/UQCR11/NDUFV3/PSMA5/POLR2I/POLR2H/SDHB/PSMD9/NDUFV2/NDUFA9/PSMD7/NDUFA1/PIK3R4/TAF4B/ADRM1/COX6C/NDUFA8/SDHC/NDUFB8/PSMC6/MT-ND6/POLR2C/TUBB4B/UQCRFS1/NDUFB6/COX6B1/BAX/PSMC5/CYC1/COX7A2/PLCB3/PSMB4/PSMD14/PSMC3/BECN1/PSMA1/GPX1/SLC25A4/PSMD8/NDUFA6/ATP5PD/NDUFA2/ATP5PO/COX5A/NDUFA3/ATG101/PSMA2/CASP8/NDUFA11/NDUFA7/NDUFB7/NDUFC1/MT-ND4L/CLTCL1/ATG14/MT-ND5,118
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,102/1619,206/4899,0.49514563106796117,1.4982819311932931,5.1330957445475764,4.300339309967864e-7,1.595903699476963e-5,1.5139206225734823e-5,HSPA8/STIP1/PPIF/HSPA5/ATP5MC1/PSMD1/CYCS/TUBA1C/MT-ND2/VDAC1/NOTCH1/EIF2S1/MT-ND1/PSMB6/ATP5MC3/PSMA3/NDUFB3/NDUFB2/COX7B/PSMB5/PSMB2/PSMD12/MT-ND3/UQCR10/PSMD2/PSMD11/TUBA1B/NDUFAB1/NDUFS1/ATP5PB/PSMD13/TUBB6/PSMD3/NDUFS3/NDUFS6/PSMC4/PSMA4/SDHD/HSPA1B/PSMA7/ATP5PF/NDUFS5/NDUFB10/COX5B/NDUFA10/ATP5F1A/COXFA4/UQCRQ/PSMD6/VDAC3/PRNP/PSMB3/ATP5F1B/ATP5F1E/NDUFA5/COX7C/SOD1/UQCR11/NDUFV3/PSMA5/SDHB/PSMD9/NDUFV2/NDUFA9/PSMD7/NDUFA1/ADRM1/COX6C/NDUFA8/SDHC/NDUFB8/PSMC6/PIK3R1/MT-ND6/TUBB4B/UQCRFS1/RYR2/NDUFB6/COX6B1/BAX/PSMC5/CYC1/COX7A2/PSMB4/PSMD14/PSMC3/PSMA1/SLC25A4/PSMD8/NDUFA6/ATP5PD/NDUFA2/ATP5PO/COX5A/NDUFA3/PSMA2/NDUFA11/NDUFA7/NDUFB7/NDUFC1/MT-ND4L/MT-ND5,102
Genetic Information Processing,Transcription,hsa03020,RNA polymerase,24/1619,34/4899,0.7058823529411765,2.1359590160956294,4.669351757886228,7.857182420130792e-6,2.624298928323684e-4,2.4894862194309146e-4,POLR1B/POLR1A/POLR1G/POLR3G/POLR3H/POLR2L/POLR2B/POLR1C/POLR3B/POLR3K/POLR3E/POLR2D/POLR1F/POLR2F/POLR2E/POLR2K/POLR3A/POLR2I/POLR2H/POLR2C/POLR2M/POLR3C/POLR1E/POLR3F,24
