ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0038023,signaling receptor activity,147/3219,344/10444,0.4273255813953488,1.3864518086651205,4.864834611285882,1.4218579106170628e-6,6.391251308223697e-4,5.986770149966579e-4,PTPRU/EPHB6/NECTIN1/HPGD/ITGA6/VLDLR/PTK7/PECAM1/CD7/SLC1A5/IL21R/ITGA4/SLC20A1/PTPRC/CCR7/SORT1/GPR146/CD3G/CD28/INTS6/EPHA1/CD4/PTPRN2/PTPRF/IFNGR2/TYRO3/LANCL1/CCR4/GPR153/PVRIG/TNFRSF8/LRIG1/PLXND1/ESRRG/ADGRE5/S1PR4/RXRB/RRBP1/TMEM63A/SCARB1/NOTCH3/P2RY10/CD3E/TREML2/TNFRSF1A/GABRB2/IL17RA/UNC5C/SPN/LTBP1/TMEM63B/CXCR4/OPRL1/EPOR/TNFRSF14/ESR2/CNTNAP1/NRXN3/EFNA4/CD69/TRAM1/PRNP/IGF2R/P2RY8/FZD2/PPARD/RORB/INSR/INPP5K/ITGA5/TLR9/LRP8/EFNA3/RXRA/BMPR2/F2R/PLXNA1/MRC2/ESRRA/S1PR5/IGSF8/NR6A1/TSPO/MMD/EVI2A/ELFN2/S1PR1/TGFBR2/SCARF1/RGMB/LPAR5/P2RY11/CELSR3/ACKR3/FZD1/TMEM63C/S1PR2/GPR85/CD5/SCN7A/IL17RE/ADAM22/MC4R/ADGRA3/AMFR/DCBLD2/GIPR/ICAM1/NR2F1/NLRP1/CCRL2/ANXA2R/ACVR2A/RORA/TLR3/LRP4/SLC20A2/P2RX4/PROCR/PLXNC1/CELSR2/CTSH/EPHB4/TRPV1/ADGRV1/SPHK1/IL20RB/TNFRSF4/B9D1/ITGA3/CD8A/NR1H3/PLAUR/NR1D1/OPN3/PVR/LPAR2/NLGN3/UNC5CL/PAQR8/GPR132/PTPRE/CHRM3/RTN4RL1/CCR2/CALCRL/FGFR3,147
GO:0060089,molecular transducer activity,147/3219,344/10444,0.4273255813953488,1.3864518086651205,4.864834611285882,1.4218579106170628e-6,6.391251308223697e-4,5.986770149966579e-4,PTPRU/EPHB6/NECTIN1/HPGD/ITGA6/VLDLR/PTK7/PECAM1/CD7/SLC1A5/IL21R/ITGA4/SLC20A1/PTPRC/CCR7/SORT1/GPR146/CD3G/CD28/INTS6/EPHA1/CD4/PTPRN2/PTPRF/IFNGR2/TYRO3/LANCL1/CCR4/GPR153/PVRIG/TNFRSF8/LRIG1/PLXND1/ESRRG/ADGRE5/S1PR4/RXRB/RRBP1/TMEM63A/SCARB1/NOTCH3/P2RY10/CD3E/TREML2/TNFRSF1A/GABRB2/IL17RA/UNC5C/SPN/LTBP1/TMEM63B/CXCR4/OPRL1/EPOR/TNFRSF14/ESR2/CNTNAP1/NRXN3/EFNA4/CD69/TRAM1/PRNP/IGF2R/P2RY8/FZD2/PPARD/RORB/INSR/INPP5K/ITGA5/TLR9/LRP8/EFNA3/RXRA/BMPR2/F2R/PLXNA1/MRC2/ESRRA/S1PR5/IGSF8/NR6A1/TSPO/MMD/EVI2A/ELFN2/S1PR1/TGFBR2/SCARF1/RGMB/LPAR5/P2RY11/CELSR3/ACKR3/FZD1/TMEM63C/S1PR2/GPR85/CD5/SCN7A/IL17RE/ADAM22/MC4R/ADGRA3/AMFR/DCBLD2/GIPR/ICAM1/NR2F1/NLRP1/CCRL2/ANXA2R/ACVR2A/RORA/TLR3/LRP4/SLC20A2/P2RX4/PROCR/PLXNC1/CELSR2/CTSH/EPHB4/TRPV1/ADGRV1/SPHK1/IL20RB/TNFRSF4/B9D1/ITGA3/CD8A/NR1H3/PLAUR/NR1D1/OPN3/PVR/LPAR2/NLGN3/UNC5CL/PAQR8/GPR132/PTPRE/CHRM3/RTN4RL1/CCR2/CALCRL/FGFR3,147
GO:0004888,transmembrane signaling receptor activity,97/3219,219/10444,0.4429223744292237,1.4370553832055957,4.362958424375426,1.535542758916705e-5,0.00460150980088706,0.004310295463625839,PTPRU/EPHB6/HPGD/VLDLR/PTK7/PECAM1/CD7/IL21R/PTPRC/CCR7/SORT1/GPR146/CD3G/INTS6/EPHA1/CD4/PTPRN2/PTPRF/IFNGR2/TYRO3/LANCL1/CCR4/GPR153/TNFRSF8/PLXND1/ADGRE5/S1PR4/TMEM63A/P2RY10/CD3E/TNFRSF1A/GABRB2/IL17RA/UNC5C/SPN/LTBP1/TMEM63B/CXCR4/OPRL1/EPOR/TNFRSF14/NRXN3/EFNA4/CD69/IGF2R/P2RY8/FZD2/RORB/INSR/INPP5K/LRP8/EFNA3/BMPR2/F2R/PLXNA1/S1PR5/EVI2A/S1PR1/TGFBR2/SCARF1/LPAR5/P2RY11/CELSR3/ACKR3/FZD1/TMEM63C/S1PR2/GPR85/SCN7A/IL17RE/MC4R/ADGRA3/GIPR/ICAM1/CCRL2/ACVR2A/TLR3/P2RX4/PLXNC1/CELSR2/CTSH/EPHB4/TRPV1/ADGRV1/SPHK1/IL20RB/TNFRSF4/B9D1/OPN3/LPAR2/UNC5CL/GPR132/PTPRE/CHRM3/CCR2/CALCRL/FGFR3,97
GO:0005342,organic acid transmembrane transporter activity,41/3219,77/10444,0.5324675324675324,1.7275833827557965,4.277162855807321,3.3218132198741496e-5,0.007465775211667151,0.006993290989208736,SLC1A4/SLC7A5/SLC38A2/SERINC5/SLC7A11/SLC1A5/UCP2/SLC5A6/SLC2A1/SLC25A32/SLC3A2/ABCC4/SLC25A10/SLC25A12/SLC43A3/SLC6A9/SLC16A9/SLC23A2/SLC25A15/SLC7A1/SLC15A4/SLC16A14/MPC1/SFXN5/ABCD3/SLC25A22/SLC25A13/SLC38A10/SLC16A13/SFXN3/SLC16A10/SLC26A2/SLC16A3/SLC29A4/SLC43A2/SLC43A1/SLC19A2/SLC26A6/SLC66A1/SLC27A1/SLC16A6,41
GO:0005201,extracellular matrix structural constituent,21/3219,32/10444,0.65625,2.1291938490214353,4.270026938161543,5.127501726637751e-5,0.008762888384471076,0.00820831415909708,FBLN2/CD4/COL9A3/MFAP4/MFGE8/CTHRC1/LTBP1/FCGBP/SPOCK1/COL18A1/ZP3/COL9A2/FBLN5/TINAGL1/FBN1/COL7A1/OGN/PCOLCE/NPNT/COLQ/CRELD1,21
GO:0046943,carboxylic acid transmembrane transporter activity,40/3219,76/10444,0.5263157894736842,1.7076241395660632,4.13253122099301,5.8484238383566695e-5,0.008762888384471076,0.00820831415909708,SLC1A4/SLC7A5/SLC38A2/SERINC5/SLC7A11/SLC1A5/UCP2/SLC5A6/SLC2A1/SLC25A32/SLC3A2/ABCC4/SLC25A10/SLC25A12/SLC43A3/SLC6A9/SLC16A9/SLC23A2/SLC25A15/SLC7A1/SLC15A4/SLC16A14/MPC1/SFXN5/ABCD3/SLC25A22/SLC25A13/SLC38A10/SLC16A13/SFXN3/SLC16A10/SLC26A2/SLC16A3/SLC43A2/SLC43A1/SLC19A2/SLC26A6/SLC66A1/SLC27A1/SLC16A6,40
GO:0030515,snoRNA binding,20/3219,31/10444,0.6451612903225806,2.0932166872100133,4.068678430953351,1.1090521651294086e-4,0.014243398520733403,0.013341980933887623,DDX21/NUFIP1/IMP4/WDR3/DKC1/NOP56/TSR1/XRCC5/UTP6/BMS1/HEATR1/DHX37/NOP58/SNU13/RRP9/NOP14/SDE2/UTP25/ISG20/PRKDC,20
GO:0140101,"catalytic activity, acting on a tRNA",65/3219,144/10444,0.4513888888888889,1.4645248696972835,3.7465005915161123,1.9254118769831852e-4,0.02100552276106321,0.01967615269463213,METTL8/CARS2/FARSB/NAT10/DTD1/NSUN2/IARS2/DUS3L/FARSA/MARS2/GTPBP3/CARS1/PUS1/VARS1/AARS1/DUS1L/TRMT61A/WARS1/QTRT2/GARS1/TYW3/TRMT1/PUS7/AARSD1/ANKZF1/SARS1/TRMT2A/LARS1/PTRH1/DARS1/ETF1/ELAC2/POP1/TARS2/EARS2/LARS2/TRDMT1/TRMT13/TRMT61B/METTL2B/TRUB1/AARS2/TRNT1/YARS2/PUS10/RARS2/TRUB2/METTL1/THUMPD2/TRMT5/TRIT1/NARS2/RPP21/FTO/THG1L/QTGAL/OSGEPL1/TYW1/POP7/MRPL58/TRMT10B/ADAT2/TRMT11/DTWD1/RPP40,65
GO:0015179,L-amino acid transmembrane transporter activity,20/3219,32/10444,0.625,2.0278036657347003,3.886621720116225,2.1028888192388087e-4,0.02100552276106321,0.01967615269463213,SLC1A4/SLC7A5/SLC38A2/SERINC5/SLC7A11/SLC1A5/UCP2/SLC3A2/SLC25A12/SLC25A15/SLC7A1/SLC15A4/SLC25A22/SLC25A13/SLC38A10/SFXN3/SLC16A10/SLC43A2/SLC43A1/SLC66A1,20
GO:0008514,organic anion transmembrane transporter activity,56/3219,122/10444,0.45901639344262296,1.4892722004084358,3.6282961687484447,3.079128321431843e-4,0.02768136360967227,0.02592950165416289,SLC1A4/SLC2A3/SLC7A5/SLC38A2/SERINC5/SLC7A11/SLC1A5/UCP2/SLC5A6/SLC2A1/SLC25A32/SLC3A2/SLC39A10/ABCC4/SLC25A10/SLC25A12/SLC43A3/SLC6A9/SLC16A9/SLC39A14/SLC4A11/SLC23A2/SLC25A15/SLC25A6/SLC7A1/SLC15A4/SLC35B2/SLC4A2/SLC16A14/MPC1/SFXN5/ABCD3/SLC37A1/SLC25A22/SLC25A13/SLC38A10/SLC4A7/SLC16A13/SFXN3/SLC35A3/SLC16A10/SLC37A4/SLC26A2/SLC25A42/SLC16A3/SLC43A2/SLC43A1/SLC19A2/SLC25A19/SLC26A6/SLC66A1/SLC4A4/SLC27A1/SLC39A4/SLC16A6/SLC4A5,56
GO:0005178,integrin binding,31/3219,60/10444,0.5166666666666667,1.6763176970073523,3.506696975075902,5.899720368350266e-4,0.048216805555880815,0.04516532339406902,PRKCA/ITGA4/FERMT2/UTRN/FERMT3/MFGE8/JAM3/ADAM9/ACTN1/P4HB/CD81/ITGB1BP1/ITGA5/MYH9/FBLN5/SEMA7A/CD151/ADAM17/CXADR/S1PR2/ADAM22/PTPN2/ICAM1/LGALS8/FBN1/LRP12/F11R/DST/ITGA3/NPNT/GPNMB,31
