ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,0.8405427110418938,2.12523054815688,1.9096253839092736e-7,5.350860958628265e-6,3.0415420185886982e-6,830,"tags=62%, list=8%, signal=58%",4839/23160/92856/4173/3329/9221/26354/6723/56342/8886/10514/51388/10528/27340/4609/83743/23223/79711/2193/79077/10199/23082/51154/80324/10244/23481/3336/51491/6949/1844/7965/5036/10196/10171/9136/56915
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,0.6429493525928143,1.9528089307756789,2.1403443834513059e-7,5.350860958628265e-6,3.0415420185886982e-6,1457,"tags=35%, list=13%, signal=31%",220988/9188/6741/10935/7027/10574/4173/56910/3329/9221/26354/6723/8454/8886/4953/10528/26156/6059/4609/1503/3475/3837/4175/10575/4999/790/5496/708/8669/52/26135/10576/7514/7203/6426/3336/54107/51491/7965/10236/2107/6427/5036/23196/4830/23435/6637/9136/10213/22948/5887/10921/5902/6432/5425/10146/1965/7284/3376/821/65005/11137/10971/1964/7531/2935/51020/10987/6742/5245
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,141,-0.7202845581419648,-1.9013458155246212,1.5261955561679915e-5,2.543659260279986e-4,1.4458694742644132e-4,769,"tags=22%, list=7%, signal=21%",3029/10098/23112/56895/51646/51092/10841/2057/25901/23351/220972/1870/896/80853/26020/8850/6536/55544/9091/27102/23608/54855/7001/6513/7351/7037/440/23657/26502/665/23762
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,75,-0.7929372564422067,-1.9406126358268654,7.035258919145675e-5,8.794073648932094e-4,4.998736600445612e-4,711,"tags=27%, list=6%, signal=25%",2619/6695/3678/6303/3725/7171/115908/966/2026/5351/5768/10979/9235/1601/5270/3487/7128/7431/3485/7422
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,119,-0.7038537927466566,-1.8325121324247609,1.7117546074723033e-4,0.0017117546074723032,9.72997355826362e-4,1024,"tags=22%, list=9%, signal=20%",4791/7280/467/8870/23645/7185/9308/7050/9322/6648/969/6303/3725/23135/8303/6890/694/1051/5209/5055/7128/10957/6515/8553/7422/4082
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,122,-0.711073771384764,-1.8540074890624814,3.7057502719273076e-4,0.00308812522660609,0.0017553553919655673,747,"tags=39%, list=7%, signal=36%",2597/7163/5292/1944/4627/30001/26118/55139/7852/3725/51316/5066/3098/5211/10370/8819/8497/26136/58528/2821/2584/2026/694/55818/1027/6513/2023/226/23036/5230/5209/3939/901/3099/2632/10397/7128/665/54800/10957/6515/54541/8553/5033/7436/230/7422
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,114,-0.6841639669732286,-1.765156675392049,9.35359688974096e-4,0.006681140635529257,0.0037977009928271575,677,"tags=18%, list=6%, signal=17%",4627/3638/1432/1265/2771/26119/87/8754/51776/7414/2533/25945/2318/51148/7216/5603/3757/1495/6624/5175/5818
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,61,-0.7530186524368085,-1.7815801706588483,0.0020036470790530925,0.012522794244081828,0.007118219886109672,1198,"tags=28%, list=11%, signal=25%",727/55315/5164/54847/4524/6498/4599/51087/6261/7704/10777/8303/54855/29799/6712/5055/3485
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,144,-0.6317381034965215,-1.6729114217604293,0.0033307469993348704,0.018504149996304835,0.010518148418952223,1390,"tags=33%, list=13%, signal=30%",10616/205/6888/9276/3669/9123/26355/2745/55501/2542/6647/2997/839/638/8870/79644/79586/8912/1944/30001/3417/5223/2132/4351/55139/7852/2990/3925/5066/10370/8819/8497/1468/58528/2584/2026/5351/5768/2023/226/23036/5230/3939/3099/54541/5033/7436/7422
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,57,-0.7478637355631758,-1.7644076790393495,0.006386529926798342,0.03127228264441025,0.017775823818927932,484,"tags=19%, list=4%, signal=19%",2990/23474/6811/22809/6319/116496/5641/214/10957/308/230
HALLMARK_COAGULATION,HALLMARK_COAGULATION,47,-0.7612669354352227,-1.7641228013224717,0.0068799021817702545,0.03127228264441025,0.017775823818927932,848,"tags=21%, list=8%, signal=20%",5550/1675/8754/2534/10404/715/735/5641/5055/5175
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,21,0.7723774086536447,1.6368914380263517,0.008571926566109373,0.03571636069212239,0.02030193134078536,425,"tags=19%, list=4%, signal=18%",5578/8454/4854/2648
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,189,-0.5566415748922049,-1.5160233967309127,0.010900422065436543,0.04192470025167901,0.02383088224832281,747,"tags=21%, list=7%, signal=20%",2597/7108/6472/30001/3638/3417/10797/7852/120/5211/6745/6319/60481/26136/2821/6184/6513/2023/226/29968/26227/5230/3939/116496/3099/9695/5641/2632/7037/440/6510/23657/8140/6515/54541/8553/5033/7436/6509
