ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022613,ribonucleoprotein complex biogenesis,265/2753,444/10043,0.5968468468468469,2.177309438025021,15.592600965239596,3.3507407909853165e-48,1.6009839499327843e-44,1.5670885615102909e-44,HSP90AA1/SRSF1/NOP56/DDX3X/EIF3B/MYBBP1A/NOP58/U2AF2/EBNA1BP2/NOLC1/WDR43/WDR77/DHX9/SRSF6/BOP1/DKC1/PDCD11/MRTO4/WDR3/PPAN/TSR1/NOP2/HSP90AB1/RPL7L1/LTV1/NOL6/SRPK1/RRS1/URB2/NOP16/RRP9/UTP20/GRWD1/DDX21/LYAR/C1QBP/FTSJ3/PRMT5/GEMIN4/EIF3J/RRP1/BYSL/DHX37/RRP7A/GTPBP4/EIF5/DDX56/RRP1B/URB1/NIP7/HEATR1/PRPF31/SURF6/XPO1/RUVBL1/WDR74/BMS1/DDX18/PNO1/BRIX1/SNRPD3/PTGES3/NAT10/PA2G4/XRCC5/WDR75/ESF1/PAK1IP1/WDR46/EXOSC2/SF3A3/DNTTIP2/MAK16/PES1/GEMIN5/EIF1AX/DCAF13/PRP4K/RAN/ISG20L2/MRM1/EIF5B/MTREX/DDX31/TBL3/PWP2/UTP4/SF3B3/UTP11/NOL8/UTP15/NOP9/GAR1/SHQ1/WDR12/SF1/SF3B4/LSG1/RRP15/MPHOSPH10/RPF2/GNL2/NOP14/SNRPE/LAS1L/NOL10/MRPS2/RIOK1/NOL11/MCAT/NOM1/WDR36/KRI1/DDX1/RIOX2/SNRPD1/SNRPC/SNRPF/EIF4A3/NOL7/DDX51/UTP3/RRP36/DDX23/IMP3/IMP4/UTP14A/NOC2L/NAF1/ATR/USP36/TAF9/UTP23/DHX30/SDAD1/NCBP1/STRAP/YTHDF2/SNU13/DENR/PRPF19/SNRPG/NHP2/TFB2M/NOPCHAP1/PUF60/ABT1/CRNKL1/KRR1/LUC7L3/AIRIM/EXOSC7/UTP25/POP7/NGRN/EMG1/EXOSC5/FASTKD2/GEMIN6/RPP40/TXNL4A/ZNHIT6/UTP18/EXOSC3/SF3B5/SPOUT1/DDX47/SNRPA1/MRM3/SNRPB/MTG1/AFG2B/PRPF8/DDX49/METTL16/DDX20/HEATR3/DDX54/EXOSC6/TRMT112/DROSHA/RPUSD2/DDX28/RIOK2/RPUSD1/SMN1/SMN2/SRSF9/MPV17L2/SART3/POP4/CUL4A/NPM1/PWP1/PRPF3/SRSF5/MDN1/RBFA/DIMT1/NOP10/WDR55/EXOSC4/SNRPB2/FSAF1/DICER1/DDX46/RRN3/DHX29/BUD23/GTF3A/AAR2/NLE1/SRSF10/RPL26L1/RCL1/EIF3K/PELP1/PHF5A/MALSU1/DDX55/FDXACB1/ERI1/DDX10/SRFBP1/USP39/RUVBL2/TSR3/RPS27L/SNRPD2/REXO4/TMA16/MTG2/DDX52/UTP6/MCTS2/PIN4/AGO1/SCAF11/NPM3/NUP88/CLP1/ZNF593/DDX17/CD2BP2/GEMIN7/TRMT61B/POP5/MTERF3/GNL3L/MCTS1/EXOSC9/PRPF39/RRP8/RPS19BP1/NOL9/AK6/MPHOSPH6/NOC4L/NSUN5/RBIS/SIRT7/LUC7L/KAT2B/TSSC4/RPP38,265
GO:0042254,ribosome biogenesis,193/2753,304/10043,0.6348684210526315,2.3160129141415107,14.318225898990105,1.4361140069924589e-40,3.4308763627049845e-37,3.358239227930261e-37,NOP56/DDX3X/MYBBP1A/NOP58/EBNA1BP2/NOLC1/WDR43/BOP1/DKC1/PDCD11/MRTO4/WDR3/PPAN/TSR1/NOP2/RPL7L1/LTV1/NOL6/RRS1/URB2/NOP16/RRP9/UTP20/GRWD1/DDX21/LYAR/C1QBP/FTSJ3/GEMIN4/RRP1/BYSL/DHX37/RRP7A/GTPBP4/EIF5/DDX56/RRP1B/URB1/NIP7/HEATR1/SURF6/XPO1/WDR74/BMS1/DDX18/PNO1/BRIX1/NAT10/PA2G4/XRCC5/WDR75/ESF1/PAK1IP1/WDR46/EXOSC2/DNTTIP2/MAK16/PES1/EIF1AX/DCAF13/RAN/ISG20L2/MRM1/EIF5B/MTREX/DDX31/TBL3/PWP2/UTP4/UTP11/NOL8/UTP15/NOP9/GAR1/WDR12/LSG1/RRP15/MPHOSPH10/RPF2/GNL2/NOP14/LAS1L/NOL10/MRPS2/RIOK1/NOL11/MCAT/NOM1/WDR36/KRI1/RIOX2/EIF4A3/NOL7/DDX51/UTP3/RRP36/IMP3/IMP4/UTP14A/NOC2L/NAF1/USP36/UTP23/DHX30/SDAD1/YTHDF2/SNU13/NHP2/TFB2M/ABT1/KRR1/AIRIM/EXOSC7/UTP25/POP7/NGRN/EMG1/EXOSC5/FASTKD2/RPP40/ZNHIT6/UTP18/EXOSC3/SPOUT1/DDX47/MRM3/MTG1/AFG2B/DDX49/METTL16/HEATR3/DDX54/EXOSC6/TRMT112/DROSHA/RPUSD2/DDX28/RIOK2/RPUSD1/MPV17L2/POP4/CUL4A/NPM1/PWP1/MDN1/RBFA/DIMT1/NOP10/WDR55/EXOSC4/FSAF1/RRN3/DHX29/BUD23/GTF3A/NLE1/RPL26L1/RCL1/PELP1/MALSU1/DDX55/FDXACB1/ERI1/DDX10/SRFBP1/TSR3/RPS27L/REXO4/TMA16/MTG2/DDX52/UTP6/PIN4/NPM3/NUP88/ZNF593/DDX17/TRMT61B/POP5/MTERF3/GNL3L/EXOSC9/RRP8/RPS19BP1/NOL9/AK6/MPHOSPH6/NOC4L/NSUN5/RBIS/SIRT7/KAT2B/RPP38,193
GO:0016072,rRNA metabolic process,158/2753,253/10043,0.6245059288537549,2.278210331811936,12.653791913518788,4.381727390592156e-32,6.978631157416441e-29,6.830882384702088e-29,MYC/NOP56/NOP58/EBNA1BP2/NOLC1/WDR43/NCL/BOP1/POLR1B/DKC1/PDCD11/MRTO4/WDR3/PPAN/TSR1/NOP2/POLR1A/RPL7L1/NOL6/RRS1/POLR1G/RRP9/UTP20/DDX21/LYAR/FTSJ3/GEMIN4/RRP1/BYSL/DHX37/RRP7A/GTPBP4/DDX56/RRP1B/URB1/HEATR1/WDR74/BMS1/DDX18/BRIX1/NAT10/PA2G4/GTF3C6/WDR75/ESF1/PAK1IP1/WDR46/EXOSC2/MAK16/PES1/DCAF13/MRM1/MTREX/TBL3/PWP2/UTP4/UTP11/NOL8/TCOF1/UTP15/NOP9/GAR1/WDR12/RRP15/MPHOSPH10/RPF2/NOP14/LAS1L/TOP1/NOL10/GTF3C4/RIOK1/NOL11/WDR36/KRI1/EIF4A3/NOL7/DDX51/POLR2E/UTP3/RRP36/IMP3/IMP4/UTP14A/NAF1/USP36/UTP23/YTHDF2/SNU13/NHP2/TFB2M/ABT1/POLR1F/GTF3C2/KRR1/MTOR/EXOSC7/UTP25/POP7/EMG1/EXOSC5/RPP40/ZNHIT6/UTP18/EXOSC3/SPOUT1/NIFK/DDX47/MRM3/DDX49/METTL16/DDX54/EXOSC6/TRMT112/DROSHA/RPUSD2/RIOK2/RPUSD1/POP4/PWP1/RBFA/DIMT1/NOP10/WDR55/DDX11/EXOSC4/BUD23/GTF3A/RCL1/PELP1/DIS3L/DDX55/FDXACB1/ERI1/BRF1/DDX10/SRFBP1/TSR3/REXO4/DDX52/GTF3C3/UTP6/PIN4/NPM3/DDX17/TRMT61B/POP5/EXOSC9/RRP8/NOL9/AK6/MPHOSPH6/NOC4L/NSUN5/SIRT7/KAT2B/IPPK/RPP38,158
GO:0006364,rRNA processing,138/2753,214/10043,0.6448598130841121,2.3524617155117102,12.289285945861069,3.0289086135036448e-30,3.6180313388301035e-27,3.541431834157025e-27,NOP56/NOP58/EBNA1BP2/NOLC1/WDR43/BOP1/DKC1/PDCD11/MRTO4/WDR3/PPAN/TSR1/NOP2/RPL7L1/NOL6/RRS1/RRP9/UTP20/DDX21/LYAR/FTSJ3/GEMIN4/RRP1/BYSL/DHX37/RRP7A/GTPBP4/DDX56/RRP1B/URB1/HEATR1/WDR74/BMS1/DDX18/BRIX1/NAT10/PA2G4/WDR75/ESF1/PAK1IP1/WDR46/EXOSC2/MAK16/PES1/DCAF13/MRM1/MTREX/TBL3/PWP2/UTP4/UTP11/NOL8/UTP15/NOP9/GAR1/WDR12/RRP15/MPHOSPH10/RPF2/NOP14/LAS1L/NOL10/RIOK1/NOL11/WDR36/KRI1/EIF4A3/NOL7/DDX51/UTP3/RRP36/IMP3/IMP4/UTP14A/NAF1/USP36/UTP23/YTHDF2/SNU13/NHP2/TFB2M/ABT1/KRR1/EXOSC7/UTP25/POP7/EMG1/EXOSC5/RPP40/ZNHIT6/UTP18/EXOSC3/SPOUT1/DDX47/MRM3/DDX49/METTL16/DDX54/EXOSC6/TRMT112/DROSHA/RPUSD2/RIOK2/RPUSD1/POP4/PWP1/RBFA/DIMT1/NOP10/WDR55/EXOSC4/BUD23/RCL1/PELP1/DDX55/FDXACB1/ERI1/DDX10/SRFBP1/TSR3/REXO4/DDX52/UTP6/PIN4/NPM3/DDX17/TRMT61B/POP5/EXOSC9/RRP8/NOL9/AK6/MPHOSPH6/NOC4L/NSUN5/SIRT7/KAT2B/RPP38,138
GO:0140053,mitochondrial gene expression,104/2753,169/10043,0.6153846153846154,2.2449355947358125,10.029819681159966,8.946064900586518e-21,8.548859619000476e-18,8.36786660069598e-18,DDX3X/TWNK/C1QBP/PUS1/ELAC2/PNPT1/TRMT10C/SLIRP/EARS2/MRPL24/MRPL51/MRPL12/FASTKD1/LARS2/GFM1/MRPL17/MRPS7/MRPL20/MRPL4/LRPPRC/TRUB2/DARS2/TSFM/TBRG4/MRPS2/MRPS25/TRMT5/TRNT1/MRPL3/MRPL18/MRPS26/MRPL23/HSD17B10/MRPL50/MRPS23/GATC/FASTKD5/MRPL52/MRPL28/IARS2/MRPL36/SUPV3L1/TFB2M/MRPS12/MRPL19/COA3/MRPS5/NGRN/MRPL15/FASTKD2/MRPL38/TFAM/AARS2/MRPS34/TUFM/MTPAP/MTG1/MRPL35/THAP11/MRPL47/MRPL14/MRPL27/MRPL11/MRPL16/MPV17L2/MRPS21/GADD45GIP1/MRPL1/UQCC2/MRPS17/MTRF1L/MRPS16/MRPS30/CHCHD10/POLRMT/DAP3/MRPS14/MALSU1/METTL8/RPUSD3/FASTK/MRPL32/YARS2/RARS2/SLC25A33/MRPL41/MTG2/MRPL13/MRPL46/MRPS10/MRPL42/TRMT61B/CHCHD1/MTERF3/PTCD1/MRPS18C/MRPL9/GFM2/TEFM/MTERF1/FASTKD3/MRPL43/MRPL55/MRPS28,104
GO:0006119,oxidative phosphorylation,83/2753,130/10043,0.6384615384615384,2.3291206795384056,9.373094341521085,2.940942701384198e-18,2.3419707045356165e-15,2.2923874424999983e-15,PPIF/CYCS/MT-ND2/MT-ND1/NDUFB2/MT-ND3/MTCH2/CCNB1/COX7B/VCP/UQCR10/NDUFS5/NDUFS3/NDUFAB1/NDUFS6/ATP5ME/MT-ATP8/MT-CYB/COXFA4/MT-ATP6/BID/NDUFB3/ATP5F1A/COX7C/ATP5PF/ATP5PB/NDUFB6/UQCRQ/MT-CO3/NDUFC1/NDUFA8/NDUFA3/NDUFA6/COX6C/NDUFA1/ATP5MF/NDUFV2/COX7A2/SDHD/NDUFA9/NDUFB8/UQCC2/COX6B1/C2orf69/UQCRFS1/NDUFV3/ATP5F1B/NDUFS1/SDHC/COX5B/MT-ND6/UQCC3/NDUFA5/ATP5PD/PARK7/MT-ND4L/ATP5F1E/NDUFB10/STOML2/UQCRC1/ANTKMT/SDHA/NDUFA11/UQCR11/SLC25A33/COX6A1/NDUFA2/MSH2/MT-ND4/CHCHD2/SLC25A23/MT-ND5/COX5A/CYC1/NDUFB7/FXN/NDUFA13/TEFM/SDHAF2/ATPSCKMT/DNAJC30/NDUFAF1/SLC25A51,83
GO:0032543,mitochondrial translation,80/2753,130/10043,0.6153846153846154,2.2449355947358125,8.779412553139238,2.820243229774193e-16,1.9250174502658706e-13,1.8842617548701866e-13,DDX3X/C1QBP/TRMT10C/EARS2/MRPL24/MRPL51/MRPL12/LARS2/GFM1/MRPL17/MRPS7/MRPL20/MRPL4/LRPPRC/TRUB2/DARS2/TSFM/MRPS2/MRPS25/MRPL3/MRPL18/MRPS26/MRPL23/MRPL50/MRPS23/GATC/MRPL52/MRPL28/IARS2/MRPL36/MRPS12/MRPL19/COA3/MRPS5/NGRN/MRPL15/FASTKD2/MRPL38/AARS2/MRPS34/TUFM/MTG1/MRPL35/MRPL47/MRPL14/MRPL27/MRPL11/MRPL16/MPV17L2/MRPS21/GADD45GIP1/MRPL1/UQCC2/MRPS17/MTRF1L/MRPS16/MRPS30/DAP3/MRPS14/MALSU1/METTL8/RPUSD3/MRPL32/YARS2/RARS2/MRPL41/MTG2/MRPL13/MRPL46/MRPS10/MRPL42/CHCHD1/PTCD1/MRPS18C/MRPL9/GFM2/FASTKD3/MRPL43/MRPL55/MRPS28,80
GO:0006399,tRNA metabolic process,107/2753,196/10043,0.5459183673469388,1.9915213088504562,8.614450282793182,5.277505873983246e-16,3.151990383236494e-13,3.085257710277311e-13,TRMT61A/MARS2/FAM98A/PUS7/PUS1/ELAC2/WDR6/TRMT10C/POLR2L/EARS2/NAT10/WDR4/NSUN2/GTF3C6/EXOSC2/LARS2/QTRT2/FARSA/SSB/TRUB2/DARS2/POP1/DUS3L/RNH1/VARS1/RARS1/GTF3C4/TRMT5/TRNT1/METTL1/YRDC/DDX1/QTRT1/HSD17B10/POLR2E/METTL2B/TRMT6/POLR2F/GATC/IARS2/TSEN2/GTF3C2/LRRC47/EXOSC7/POP7/RPP40/EXOSC3/AARS2/PUSL1/GON7/LAGE3/CTU1/CTU2/ELP1/KTI12/DTD2/FTSJ1/TRMT112/LCMT2/DUS1L/POP4/TRMT2A/TSEN34/ADAT2/RTCB/HARS1/DICER1/URM1/TRMT44/TRMT1/BRF1/METTL8/METTL2A/YARS2/TP53RK/THUMPD1/FAM98B/RARS2/POLR3A/ELP5/GTF3C3/NEMF/CLP1/TPRKB/TYW3/TRMT61B/TARBP1/POP5/DPH3/PTCD1/TRMO/RPP21/VARS2/EXOSC9/OSGEP/THADA/NARS2/DTWD1/TSEN54/TRMU/MTFMT/RPP38/MOCS3/PARS2/DUS2/ELAC1/ADAT3,107
GO:0022904,respiratory electron transport chain,65/2753,103/10043,0.6310679611650486,2.30214875916476,8.162730754401371,3.149545456684102e-14,1.672058688004071e-11,1.6366585338067208e-11,MYBBP1A/CYCS/SOD2/MT-ND2/MT-ND1/NDUFB2/MT-ND3/MTCH2/CCNB1/COX7B/UQCR10/NDUFS5/NDUFS3/NDUFAB1/GBA1/NDUFS6/MT-CYB/COXFA4/BID/NDUFB3/COX7C/NDUFB6/UQCRQ/MT-CO3/SCO2/NDUFC1/NDUFA8/NDUFA3/NDUFA6/COX6C/NDUFA1/NDUFV2/COX7A2/SDHD/PUM2/NDUFA9/NDUFB8/COX6B1/UQCRFS1/NDUFV3/NDUFS1/SDHC/COX5B/MT-ND6/UQCC3/NDUFA5/PARK7/MT-ND4L/NDUFB10/UQCRC1/SDHA/NDUFA11/UQCR11/COX6A1/NDUFA2/MT-ND4/HCCS/CHCHD2/MT-ND5/COX5A/CYC1/NDUFB7/SDHAF2/NDUFAF1/SLC25A51,65
GO:0019646,aerobic electron transport chain,55/2753,82/10043,0.6707317073170732,2.446842911945284,8.083999672135304,6.892839810853232e-14,3.293398861625674e-11,3.223672345223254e-11,CYCS/MT-ND2/MT-ND1/NDUFB2/MT-ND3/COX7B/UQCR10/NDUFS5/NDUFS3/NDUFAB1/NDUFS6/MT-CYB/COXFA4/NDUFB3/COX7C/NDUFB6/UQCRQ/MT-CO3/NDUFC1/NDUFA8/NDUFA3/NDUFA6/COX6C/NDUFA1/NDUFV2/COX7A2/SDHD/NDUFA9/NDUFB8/COX6B1/UQCRFS1/NDUFV3/NDUFS1/SDHC/COX5B/MT-ND6/UQCC3/NDUFA5/PARK7/MT-ND4L/NDUFB10/UQCRC1/SDHA/NDUFA11/UQCR11/COX6A1/NDUFA2/MT-ND4/MT-ND5/COX5A/CYC1/NDUFB7/SDHAF2/NDUFAF1/SLC25A51,55
