ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0098609,cell-cell adhesion,163/2640,455/10043,0.35824175824175825,1.3628113553113552,4.729669063900763,2.8172001367530533e-6,0.007296149844288648,0.006869089215481097,ASS1/SDK2/SERPINE2/CDH2/CEBPB/HLA-E/CORO1A/RUNX3/SMARCA2/STAT5B/ETS1/PRKCA/PTPRC/MDK/FYN/JAM3/GATA3/CD37/ZBTB7B/CBLB/PTPRF/TNIP1/SPINT2/STAT5A/CERCAM/ROBO3/BRD4/AKNA/ZFP36L1/CYLD/CD28/CELSR2/ITGAL/NEO1/SEMA4D/ARG2/CARD11/CLSTN3/IL2RG/TSPAN9/LAPTM5/EPB41L5/IGFBP2/SLC7A11/TMOD3/LGALS9/LGALS9C/MAP2K5/DLG4/NCKAP1L/CAMSAP3/STK10/MAPK3/PHF10/UBASH3B/NECTIN1/FLOT1/RASAL3/ACTG1/PLXNB2/MAP2K1/ZDHHC2/RUNX1/IL20RB/PRKAR1A/LGALS1/SLC7A1/NDFIP1/NCK1/NECTIN2/JUP/CCDC88B/PTPN6/ILK/MAPK14/ITGB1/AFDN/STXBP1/RAP1GAP/KLHL22/CDH4/KIFAP3/ITGA5/KAT5/CD5/MYADM/ICAM3/ZMIZ1/PELI1/IL6ST/TNFRSF14/RHOH/VEZT/VSIR/JAK1/TYK2/TYRO3/DHPS/IRF1/KIRREL2/JAG1/CD44/ITCH/NKAP/DOCK8/TLN2/FLOT2/TMIGD2/PPP3CA/LGALS8/PAK4/PLAUR/PLXNB3/HLA-A/RASGRP1/BCL6/FXYD5/RIPK2/PIK3R6/SHB/ILDR2/MYL12A/GOLGA1/ITGA3/DUSP10/IL1RAP/LOXL3/NINJ1/VEGFA/CPLANE2/AJUBA/NLGN2/PTPN2/LPP/NCK2/RGCC/NFAT5/MPZ/BAD/MFSD2B/FCHO1/MAD1L1/ITGB4/ZNF703/VPS33B/ZP3/STXBP6/IL15/NLRP3/NRXN3/PRKCD/ACVR1/CXADR/CDH24/NEGR1/PKD1/SCARF1/NTNG2/PCDHGB2/MAGI1/GLDN/AGER/CTNND1,163
GO:0030155,regulation of cell adhesion,157/2640,436/10043,0.36009174311926606,1.369849006116208,4.715003316138331,3.063678288594855e-6,0.007296149844288648,0.006869089215481097,ASS1/SERPINE2/PTK2B/CEBPB/HLA-E/CORO1A/RUNX3/PRKCE/CSF1/SPOCK2/SMARCA2/STAT5B/ETS1/PRKCA/PTPRC/MDK/FYN/JAM3/GATA3/CD37/ZBTB7B/CBLB/FERMT2/S100A10/SPINT2/PLEKHA2/STAT5A/BRD4/AKNA/CYLD/TFE3/CD28/CELSR2/SEMA4D/SPOCK1/ARG2/CARD11/CYTH1/IL2RG/PRKD2/FAF1/PLXND1/LAPTM5/EPB41L5/IGFBP2/LGALS9/LGALS9C/MAP2K5/NCKAP1L/NEDD9/CAMSAP3/MAPK3/PHF10/UBASH3B/FLOT1/RASAL3/LMO7/ACTG1/PLXNB2/BRAF/MAP2K1/UTRN/ZDHHC2/RUNX1/JAG2/IL20RB/PRKAR1A/LGALS1/LPXN/CYTH3/SLC7A1/NDFIP1/NCK1/EPHA1/JUP/CCDC88B/PTPN6/PLXNB1/ILK/MAPK14/AFDN/RAP1GAP/SIPA1/KLHL22/CLASP1/KIFAP3/ITGA5/KAT5/CD5/MYADM/PTPRA/RELL2/ZMIZ1/PELI1/IL6ST/RRAS/TNFRSF14/RHOH/VSIR/JAK1/PTEN/TYK2/DHPS/IRF1/JAG1/CD44/ITCH/TRIOBP/NKAP/DOCK8/VAV3/FLOT2/TMIGD2/PPP3CA/LGALS8/PLAUR/PLXNB3/HLA-A/RASGRP1/BCL6/FXYD5/TESK1/RIPK2/PIK3R6/ARHGEF7/SHB/BST1/ILDR2/PLXNC1/RND1/ITGA3/DUSP10/LOXL3/VEGFA/PTPN2/NCK2/RGCC/NF1/NFAT5/BAD/MELTF/MFSD2B/FCHO1/LAMA5/MAD1L1/ZNF703/VPS33B/ZP3/IL15/NLRP3/SMAD3/WDPCP/PRKCD/PKD1/ATM/MAGI1/AGER,157
GO:0002250,adaptive immune response,98/2640,256/10043,0.3828125,1.4562825520833333,4.41608320749522,1.3888117775955958e-5,0.01863604877972509,0.017545237477845428,MYO1G/ITK/NFKB2/RELB/P2RX7/PTK2B/HLA-E/PRKCB/LAIR1/PTPRC/FYN/JAM3/GATA3/ZBTB7B/SEMA4A/STAT5A/BRD4/TFE3/CD28/ARG2/CD7/LY9/NEDD4/PRKD2/LAT/KMT5C/IRF7/MICB/LGALS9/KLHL6/NCKAP1L/TRPM4/ULBP1/PKN1/MAPK3/ERAP1/SIT1/MLH1/CD79A/OTUD7B/IL20RB/LGALS1/SLAMF6/NDFIP1/NECTIN2/PTPN6/RAP1GAP/SIPA1/KLHL22/MICA/TFEB/CD8A/GZMM/IL6ST/RORA/TNFRSF14/RNF19B/JAK1/INPP5D/PMS2/TYK2/CTNNBL1/GNL1/IRF1/JAG1/HLA-A/RAB27A/BCL6/RIPK2/MR1/TCIRG1/AKIRIN2/DCLRE1C/THEMIS/DUSP10/LOXL3/LIME1/FCMR/ARID5A/BMX/ULBP2/LIG4/TNFSF13/TRAT1/BTN3A1/PARP3/C1S/ZP3/SIRT1/DENND1B/NLRP3/SANBR/SHLD1/PRKCD/BATF/PRR7/AGER/C1RL,98
GO:0006897,endocytosis,153/2640,435/10043,0.35172413793103446,1.3380172413793103,4.304028927921571,1.7874916651244403e-5,0.01863604877972509,0.017545237477845428,MYO1G/SMAP1/P2RX7/CORO1A/PRKCE/MCTP1/WASF2/LRP10/PTPRC/FYN/ANXA3/LMBR1L/LETMD1/CBLB/VLDLR/UNC119/DNM2/MRC2/SMPD1/ITGAL/CBL/MTMR6/FNBP1/NEDD4/ANK2/INPPL1/IL2RG/ZFYVE9/VIPAS39/WDR54/SDCBP/CDC42SE2/PDLIM7/GRK3/AP2A1/SPG11/RAB20/DLG4/NCKAP1L/LRP12/EPS15/MAPK3/SCYL2/FLOT1/PIP4P2/ANO6/VAMP4/RALB/ANXA11/ACTG1/CNN2/PLXNB2/RACK1/NPC1/PAK1/GPR107/DNM1/DGKQ/SCARB2/RAB5B/AP3M2/KIAA0319L/NUMB/CALCRL/RINL/ITGB1/CAMK1D/RAP1GAP/MAPKAPK2/ABCA7/GRK2/ARRB2/ICAM3/PLA2G6/SH3KBP1/MST1R/LMBRD1/CYTH2/SGSM3/PLCG2/AP3S2/RHOQ/RABGAP1L/TYRO3/FCHSD2/BIN1/NCKIPSD/ITSN1/CDC42SE1/ANKRD13A/CFP/HIP1/FNBP1L/ZFYVE16/ITCH/ARAP1/BIN2/APLP1/LYST/VPS28/VAV3/USP20/MIB1/PPP3CA/TOM1/RAB27A/DENND1A/APLN/BLTP1/ELMO2/ASGR1/ABCA2/NEDD4L/DENND1C/ARHGAP25/XKR8/RAP1A/CLTCL1/MYO5A/CCDC32/VAMP2/VEGFA/BTBD8/CTTN/NECAP1/LEPR/FCMR/MARCHF2/AAK1/RAB4B/PIKFYVE/C9orf72/ANKRD13D/CLCN5/RAB34/FCHO1/ATXN2/CEBPE/VPS33B/C1S/SYNJ1/DENND1B/IL15/RUFY2/AHI1/ATP8A1/SLC48A1/PRKCD/SCARF1/TRIP10/PSTPIP1/CLIP3/AGER,153
GO:0022407,regulation of cell-cell adhesion,105/2640,280/10043,0.375,1.4265625,4.322930379784693,1.9563351647832342e-5,0.01863604877972509,0.017545237477845428,ASS1/SERPINE2/CEBPB/HLA-E/CORO1A/RUNX3/SMARCA2/STAT5B/ETS1/PRKCA/PTPRC/MDK/FYN/GATA3/CD37/ZBTB7B/CBLB/SPINT2/STAT5A/BRD4/AKNA/CYLD/CD28/CELSR2/ARG2/CARD11/IL2RG/LAPTM5/EPB41L5/IGFBP2/LGALS9/LGALS9C/MAP2K5/NCKAP1L/MAPK3/PHF10/UBASH3B/FLOT1/RASAL3/MAP2K1/ZDHHC2/RUNX1/IL20RB/PRKAR1A/LGALS1/SLC7A1/NDFIP1/NCK1/CCDC88B/PTPN6/MAPK14/AFDN/RAP1GAP/KLHL22/KIFAP3/KAT5/CD5/MYADM/ZMIZ1/PELI1/IL6ST/TNFRSF14/RHOH/VSIR/JAK1/TYK2/DHPS/IRF1/JAG1/CD44/ITCH/NKAP/DOCK8/FLOT2/TMIGD2/PPP3CA/LGALS8/PLAUR/HLA-A/RASGRP1/BCL6/FXYD5/RIPK2/PIK3R6/SHB/ILDR2/DUSP10/LOXL3/VEGFA/PTPN2/NCK2/RGCC/NFAT5/BAD/MFSD2B/FCHO1/MAD1L1/ZNF703/VPS33B/ZP3/IL15/NLRP3/PRKCD/MAGI1/AGER,105
GO:0032944,regulation of mononuclear cell proliferation,56/2640,132/10043,0.42424242424242425,1.613888888888889,4.239612829610432,3.7956456988301835e-5,0.02054620423613076,0.019343587090382447,CD38/CEBPB/HLA-E/CORO1A/CSF1/STAT5B/PTPRC/CD37/ZBTB7B/CBLB/STAT5A/CD28/ARG2/CARD11/LAPTM5/IGFBP2/LGALS9/LGALS9C/NCKAP1L/PKN1/RASAL3/CNN2/IL20RB/PRKAR1A/SLC7A1/NDFIP1/NCK1/CCDC88B/PTPN6/RPL13A/PELI1/IL6ST/TNFRSF14/VSIR/INPP5D/TYK2/DHPS/IRF1/ITCH/VAV3/TMIGD2/PPP3CA/HLA-A/BCL6/FLT3LG/RIPK2/BST1/CDKN1A/NCK2/SOS2/MAD1L1/TNFSF13/ZP3/IL15/ATM/AGER,56
GO:0032943,mononuclear cell proliferation,71/2640,178/10043,0.398876404494382,1.5173923220973782,4.159006827287885,4.5153996129075736e-5,0.02054620423613076,0.019343587090382447,CD38/P2RX7/CEBPB/HLA-E/CORO1A/CSF1/STAT5B/PTPRC/FYN/CD37/LMBR1L/ZBTB7B/CBLB/STAT5A/CD28/ARG2/CARD11/LAPTM5/IGFBP2/LGALS9/LGALS9C/NCKAP1L/PKN1/PSMB10/RASAL3/CNN2/CD79A/IL20RB/FOSL2/PRKAR1A/SLC7A1/NDFIP1/NCK1/ELF4/CCDC88B/PTPN6/ALKBH5/RPL13A/PELI1/IL6ST/TNFRSF14/VSIR/INPP5D/PLCL2/TYK2/SH2D2A/DHPS/IRF1/ITCH/DOCK8/VAV3/TMIGD2/PPP3CA/HLA-A/RASGRP1/BCL6/FLT3LG/RIPK2/SHB/BST1/CDKN1A/NCK2/SOS2/MAD1L1/TNFSF13/BTN3A1/ZP3/IL15/PRKCD/ATM/AGER,71
GO:0030029,actin filament-based process,161/2640,469/10043,0.34328358208955223,1.305907960199005,4.051713096420484,4.814703359194841e-5,0.02054620423613076,0.019343587090382447,MYO1G/SEPTIN9/PTK2B/CORO1A/PRKCE/ZYX/LCP1/WASF2/CRACD/JAM3/AMOTL1/FERMT2/S100A10/PXN/MYO18B/TNIK/LIMD2/DNM2/ABI3/SPTAN1/SUN2/ANK2/INPPL1/FCHSD1/LIMA1/RAP2A/SDCBP/PDLIM7/AGAP2/EPB41L5/SORBS3/WIPF1/TMOD3/SCN4A/JMY/NCKAP1L/TRPM4/HAX1/NEDD9/ARHGEF2/CCDC88C/SH3D21/TESK2/RFLNB/FMNL1/ACTG1/PLEKHG2/CNN2/POF1B/MICAL1/WASH6P/BCAS3/BRAF/MARCKS/PAK1/VASP/PDE4D/PRKAR1A/FHL3/NCK1/EPHA1/JUP/PFN2/ITGB1/TPM4/DVL3/KANK2/DAAM1/LLGL1/CLASP1/FMNL3/DBN1/TMOD1/CORO6/DSTN/MYADM/SH3KBP1/KRAS/RHOC/ARFGEF1/CYTH2/FLNB/SSH2/RHOH/INPP5K/RHOQ/PRKCI/GJC1/ABI2/FCHSD2/BIN1/PDLIM2/MEF2A/RHOG/GMFG/RHOF/TLE6/ABI1/HIP1/FNBP1L/TRIOBP/ARAP1/SHROOM1/FGD5/ARHGAP26/TLN2/ZBED3/SH2B2/SHANK3/DIAPH2/BCL6/TESK1/ELMO2/BST1/HDAC6/BBS4/DIAPH3/SPTBN2/NEDD4L/RND1/CIT/ARHGAP25/AKAP11/WASHC1/MYO5A/ARHGEF10/RND2/SRGAP2/CTTN/NCK2/NAA80/RGCC/PDGFA/NF1/ARFIP2/COTL1/C9orf72/TPM2/MICALL2/ARHGAP44/TTC8/TBCK/IQSEC1/VILL/ARHGEF19/SNTA1/FGD6/SMAD3/ARHGEF17/WHAMM/ASAP3/ADPRHL1/WASHC3/PRKCD/CXADR/CDC42EP4/TRIP10/CDC42BPG/MTSS1/SHANK1/ACTA2,161
GO:0001944,vasculature development,132/2640,373/10043,0.353887399463807,1.3462466487935658,4.069442859970816,4.829778188755901e-5,0.02054620423613076,0.019343587090382447,WARS1/CDH2/PPP1R16B/FGFR1/PTK2B/DDIT3/PRKCB/SARS1/STIM1/ETS1/PRKCA/WASF2/EPAS1/MDK/BTG1/FYN/ANXA3/JAM3/HDAC7/CLIC4/PDCD4/AMOTL1/SEMA4A/MYO18B/HDAC5/ZFP36L1/HPGD/JUN/NEDD4/PRKD2/GGNBP2/ADGRA2/EGLN1/PLXND1/PKM/LYL1/PAX6/MAP2K5/TBX4/SRPK2/ATP2B4/ERAP1/ADM2/ACTG1/BCAS3/MAP2K1/HHEX/RUNX1/PGK1/ADAMTS6/EPHA1/FOXJ2/SLC31A1/JUP/PTPN6/CALCRL/MAPK14/CCM2/ITGB1/SP1/COL18A1/ITGA5/FMNL3/EFNA3/SAT1/ZMIZ1/RORA/ATP7A/RRAS/MCAM/VEZF1/GADD45A/HDAC9/JAK1/CNTRL/GJC1/FOXO1/SH2D2A/JAG1/B4GALT1/RAPGEF2/VAV3/TMIGD2/MIB1/E2F2/LGALS8/PAK4/SERPINF1/APLN/ZBTB14/BRCA1/C1GALT1/PIK3R6/SHB/EGFL7/RAP1A/NINJ1/E2F8/VEGFA/LEPR/MAP3K3/BMPR2/RGCC/PDGFA/NF1/ANGPTL6/HOXA13/SLC12A6/TMEM231/PLCD3/FOXO4/TMEM204/HEG1/SGCB/SIRT6/CTH/WDR83/KLF5/DYNC2H1/TIPARP/PRCP/CUL7/SIRT1/NRXN3/ACVR1/IMMP2L/PKD1/TLR3/ETV2/ACTA2/ZFPM2/CTNND1,132
GO:0070663,regulation of leukocyte proliferation,59/2640,142/10043,0.4154929577464789,1.5806044600938967,4.1609568000303385,4.952963896484671e-5,0.02054620423613076,0.019343587090382447,CD38/CEBPB/HLA-E/CORO1A/CSF1/STAT5B/PTPRC/CD37/ZBTB7B/CBLB/STAT5A/CD28/ARG2/CARD11/LAPTM5/IGFBP2/LGALS9/LGALS9C/NCKAP1L/PKN1/MAPK3/RASAL3/CNN2/HHEX/IL20RB/PRKAR1A/SLC7A1/NDFIP1/NCK1/CCDC88B/PTPN6/RPL13A/PELI1/IL6ST/TNFRSF14/VSIR/INPP5D/TYK2/DHPS/IRF1/ITCH/VAV3/TMIGD2/PPP3CA/HLA-A/BCL6/FLT3LG/RIPK2/BST1/CDKN1A/NCK2/SOS2/NF1/MAD1L1/TNFSF13/ZP3/IL15/ATM/AGER,59
