ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005743,mitochondrial inner membrane,233/2852,441/10495,0.528344671201814,1.9442416985494524,12.375033702145299,2.039312879140598e-31,1.3051602426499825e-28,1.12913534150311e-28,TWNK/HSPD1/ATP5MC1/TOMM40/TIMM17A/CYCS/PHB1/TIMM23/ABCB10/MT-ND2/LETM1/ATAD3A/MT-ND1/PMPCA/TIMM21/NDUFB2/MT-ND3/SLC25A10/BDH1/MRPL24/NME4/SCO1/SFXN2/SLC25A37/MRPL51/SLC25A19/TIMM13/MRPL12/PDSS1/PGAM5/COX7B/MRPL17/MRPS7/MRPL20/MRPL4/DNAJC11/TIMM8B/UQCR10/ATAD3B/COQ8A/ATP5MC3/NDUFS5/SLC9B2/GRPEL1/SLC25A32/NDUFAF4/NDUFS3/SFXN1/MICOS10/MRPS2/MRPS25/NDUFAB1/MRPL3/MRPL18/ATP5MK/MRPS26/MRS2/NDUFS6/TIMM10B/MRPL23/NDUFAF3/TIMM8A/ATP5ME/MT-ATP8/TIMM50/MT-CYB/COXFA4/MT-ATP6/MRPL50/MRPS23/NDUFB3/ATP5F1A/ALDH18A1/MRPL52/MRPL28/COX7C/MRPL36/ATP5PF/FLVCR1/RDH13/ATP5PB/MRPS12/NDUFB6/UQCRQ/MRPL19/MT-CO3/COA3/AFG3L2/TRAP1/MRPS5/SCO2/MRPL15/MRPL38/NDUFC1/NDUFA8/NDUFA3/NDUFA6/MRPS34/UQCC1/DHODH/COX6C/NDUFA1/MTX1/MTG1/BCS1L/MRPL35/ATP5MF/MRPL47/MRPL14/MRPL27/MPC1/SLC25A22/NDUFV2/NDUFAF2/MRPL11/MRPL16/COX7A2/TIMMDC1/ENDOG/PET100/SDHD/LDHB/MPV17L2/ACAD9/MICOS13/MRPS21/NDUFA9/GADD45GIP1/TIMM10/RAB5IF/MRPL1/NDUFB8/TMEM70/UQCC2/MRPS17/COX6B1/SLC25A3/UQCRFS1/NDUFV3/ATP5F1B/MRPS16/NDUFS1/NDUFAF6/SDHC/COX5B/MRPS30/CPOX/CHCHD10/MT-ND6/SPHK2/UQCC3/NDUFA5/TMEM186/ATP5PD/PISD/HIGD1A/IMMT/APOO/DAP3/MT-ND4L/ATP5F1E/NDUFB10/SFXN4/COX16/MRPS14/MCUR1/TMEM177/FPGS/ATP5MJ/STOML2/UQCRC1/SAMM50/TIMM22/SLC25A4/TIMM44/SDHA/MRPL32/NDUFA11/SLC25A39/UQCR11/SLC25A33/MRPL41/MTG2/MRPL13/COX6A1/DMAC1/NDUFA2/MRPL46/MRPS10/ROMO1/MT-ND4/CYP2U1/MTHFD2L/OPA1/HCCS/MRPL42/RSAD2/SLC25A23/FOXRED1/CHCHD1/SLC25A53/MT-ND5/GPD2/ABCB8/COX5A/MRPS18C/COQ4/CYC1/MRPL9/NDUFB7/ADCK1/UQCC5/NDUFA13/SPG7/TMEM126B/PTPMT1/NDUFAF5/CCDC51/PAM16/OMA1/MPV17/ATPSCKMT/TAMM41/MRPL43/KGD4/OTC/DNAJC30/MRPL55/MTLN/MRPS28/NDUFAF1/SLC25A51/TIMM23B,233
GO:0019866,organelle inner membrane,245/2852,480/10495,0.5104166666666666,1.8782689048620849,12.031949748445571,5.7492921634271715e-30,1.8397734922966948e-27,1.5916461462961537e-27,TWNK/HSPD1/ATP5MC1/SIGMAR1/TOMM40/TIMM17A/CYCS/PHB1/TIMM23/ABCB10/MT-ND2/TRA2B/LETM1/ATAD3A/MT-ND1/PMPCA/TIMM21/NDUFB2/MT-ND3/SLC25A10/BDH1/MRPL24/NME4/SCO1/SFXN2/SLC25A37/MRPL51/SLC25A19/TIMM13/MRPL12/PDSS1/PGAM5/COX7B/MRPL17/MRPS7/MRPL20/MRPL4/DNAJC11/LRPPRC/TIMM8B/UQCR10/LMNB1/ATAD3B/ZMPSTE24/COQ8A/ATP5MC3/NDUFS5/SLC9B2/GRPEL1/SLC25A32/NDUFAF4/NDUFS3/SFXN1/MICOS10/MRPS2/MRPS25/NDUFAB1/MRPL3/MRPL18/ATP5MK/MRPS26/MRS2/MATR3/CBX3/NDUFS6/TIMM10B/MRPL23/NDUFAF3/TMEM201/TIMM8A/ATP5ME/MT-ATP8/TIMM50/MT-CYB/COXFA4/MT-ATP6/MRPL50/MRPS23/NDUFB3/ATP5F1A/ALDH18A1/MRPL52/MRPL28/COX7C/MRPL36/ATP5PF/NUTF2/FLVCR1/RDH13/TMEM120B/TMPO/ATP5PB/MRPS12/NDUFB6/UQCRQ/MRPL19/MT-CO3/COA3/AFG3L2/TRAP1/MRPS5/SCO2/MRPL15/MRPL38/NDUFC1/NDUFA8/NDUFA3/NDUFA6/LBR/MRPS34/UQCC1/DHODH/COX6C/NDUFA1/MTX1/MTG1/BCS1L/MRPL35/ATP5MF/MRPL47/MRPL14/MRPL27/MPC1/SLC25A22/NDUFV2/NDUFAF2/MRPL11/MRPL16/COX7A2/TIMMDC1/ENDOG/PET100/SDHD/LDHB/MPV17L2/ACAD9/MICOS13/MRPS21/NDUFA9/GADD45GIP1/TIMM10/RAB5IF/MRPL1/NDUFB8/TMEM70/UQCC2/MRPS17/COX6B1/SLC25A3/UQCRFS1/NDUFV3/ATP5F1B/MRPS16/NDUFS1/NDUFAF6/SDHC/COX5B/MRPS30/CPOX/CHCHD10/MT-ND6/SPHK2/UQCC3/NDUFA5/TMEM186/ATP5PD/PISD/HIGD1A/IMMT/APOO/DAP3/MT-ND4L/ATP5F1E/NDUFB10/SFXN4/COX16/MRPS14/MCUR1/TMEM177/FPGS/ATP5MJ/STOML2/UQCRC1/SAMM50/TIMM22/SLC25A4/TIMM44/SDHA/MRPL32/NDUFA11/SLC25A39/UQCR11/SLC25A33/MRPL41/MTG2/MRPL13/COX6A1/DMAC1/NDUFA2/MRPL46/MRPS10/ROMO1/MT-ND4/CYP2U1/MTHFD2L/OPA1/HCCS/MRPL42/RSAD2/SLC25A23/FOXRED1/CHCHD1/SLC25A53/MT-ND5/GPD2/ABCB8/COX5A/MRPS18C/COQ4/CYC1/MRPL9/NDUFB7/ADCK1/UQCC5/NDUFA13/SPG7/TMEM126B/PTPMT1/NDUFAF5/CCDC51/PAM16/OMA1/MPV17/ATPSCKMT/TAMM41/MRPL43/KGD4/OTC/DNAJC30/MRPL55/MTLN/MRPS28/NDUFAF1/SLC25A51/TIMM23B,245
GO:0030684,preribosome,69/2852,101/10495,0.6831683168316832,2.5139731715106994,9.339010649881743,5.9063334351617116e-18,1.2600177995011651e-15,1.0900811883842318e-15,NOP56/NOP58/EBNA1BP2/WDR43/BOP1/PDCD11/MRTO4/WDR3/PPAN/LTV1/NOL6/RRS1/RRP9/UTP20/FTSJ3/RRP1/BYSL/DHX37/RRP7A/RRP1B/NIP7/HEATR1/WDR74/BMS1/PNO1/NAT10/XRCC5/WDR75/WDR46/DNTTIP2/MAK16/PES1/DCAF13/TBL3/PWP2/UTP4/UTP11/UTP15/NOP9/WDR12/RRP15/MPHOSPH10/NOP14/NOL10/RIOK1/WDR36/KRI1/NOL7/UTP3/RRP36/IMP3/IMP4/UTP14A/NOC2L/UTP23/SNU13/KRR1/UTP25/EMG1/UTP18/RIOK2/DIMT1/FSAF1/RCL1/SRFBP1/UTP6/PIN4/RPS19BP1/NOC4L,69
GO:0098798,mitochondrial protein-containing complex,100/2852,173/10495,0.5780346820809249,2.127094666353193,9.130927186026199,1.405869981353426e-17,2.249391970165482e-15,1.946020026820795e-15,PPIF/TOMM40/TIMM17A/PHB1/TIMM23/VDAC1/PMPCA/PNPT1/TIMM21/TRMT10C/MRPL24/MRPL51/TIMM13/MRPL12/PDSS1/TOMM5/TOMM6/MRPL17/MRPS7/MRPL20/MRPL4/DNAJC11/TIMM8B/TOMM22/GRPEL1/MICOS10/MRPS2/MRPS25/NDUFAB1/MRPL3/MRPL18/MRPS26/TIMM10B/MRPL23/HSD17B10/TIMM8A/TIMM50/MRPL50/MRPS23/MRPL52/MRPL28/MRPL36/SUPV3L1/MRPS12/MRPL19/AFG3L2/MRPS5/MRPL15/MRPL38/MRPS34/ISCA1/MTX1/MRPL35/MRPL47/MRPL14/MRPL27/MPC1/MRPL11/MRPL16/MICOS13/BAX/MRPS21/TOMM40L/GADD45GIP1/TIMM10/MRPL1/MRPS17/MRPS16/MRPS30/CHCHD10/IMMT/APOO/POLRMT/DAP3/MRPS14/SAMM50/TIMM22/SLC25A4/TIMM44/MRPL32/NFS1/MRPL41/MRPL13/MRPL46/MRPS10/ROMO1/MRPL42/CHCHD1/MFN1/LYRM4/MRPS18C/MRPL9/FXN/SPG7/PAM16/MRPL43/MRPL55/POLG2/MRPS28/TIMM23B,100
GO:0005759,mitochondrial matrix,211/2852,473/10495,0.44608879492600423,1.6415504567841566,8.721627828809998,6.318704316564951e-17,8.087941525203137e-15,6.997133622132978e-15,HSPE1/TWNK/HSPD1/PPIF/ABCE1/MARS2/SOD2/ATAD3A/C1QBP/VDAC1/PUS1/HPDL/ELAC2/PMPCA/PNPT1/SSBP1/TRMT10C/SLIRP/EARS2/BDH1/MRPL24/NME4/ACO2/MRPL51/ALDH1B1/MRPL12/FASTKD1/LARS2/PDSS1/DLAT/GFM1/NDUFAF8/CCNB1/IVD/MRPL17/MRM1/MRPS7/ALDH5A1/MRPL20/MRPL4/SOD1/HIBCH/LRPPRC/TRUB2/DARS2/GCSH/GLRX5/GRPEL1/MCCC2/TBRG4/NDUFS3/MRPS2/MRPS25/NDUFAB1/LRRC59/TRMT5/GLS/TRNT1/MRPL3/MRPL18/MCAT/GOT2/MRPS26/AADAT/MRPL23/HSD17B10/RNASEH1/MRPL50/YWHAG/MRPS23/FASTKD5/OGDH/ATP5F1A/ALDH18A1/MRPL52/DHX30/MRPL28/PDE12/NAXE/IARS2/LYRM7/MRPL36/GCDH/SUPV3L1/TFB2M/IDH3A/NUDT9/BCAT2/DGLUCY/ARL2/ATP5PB/MRPS12/MRPL19/ACADSB/TRAP1/MRPS5/NGRN/PDHB/MRPL15/FASTKD2/MRPL38/TERT/PDHA1/TFAM/MCCC1/PPA2/MRPS34/TUFM/MRM3/ISCA1/MTG1/MRPL35/MRPL47/MRPL14/MRPL27/MRPL11/MRPL16/SARDH/OXCT1/DDX28/REXO2/MMAB/ACAT1/MRPS21/NDUFA9/GADD45GIP1/MRPL1/NDUFB8/UQCC2/MRPS17/C2orf69/MTRF1L/UQCRFS1/CCAR2/ATP5F1B/MRPS16/NDUFS1/MRPS30/PARK7/FH/TOP1MT/POLRMT/DAP3/ATP5F1E/MRPS14/FPGS/PARG/MALSU1/METTL8/RPUSD3/FASTK/TIMM44/SDHA/MRPL32/YARS2/POLDIP2/SDHAF3/MTHFS/PDP2/FAHD1/RARS2/NFS1/MRPL41/MTG2/MRPL13/MRPL46/MRPS10/PIN4/MTHFD2L/MRPL42/TRMT61B/CHCHD1/MTERF3/ABHD11/PTCD1/LYRM4/MRPS18C/TTC5/MRPL9/FXN/FOXO3B/BCKDHB/FLAD1/MECR/NARS2/MRRF/GFM2/TEFM/MTERF1/MMUT/BOLA3/TXNRD2/ACOT2/PAM16/SDHAF2/NAT8L/TAMM41/FASTKD3/MRPL43/OTC/IBA57/RTN4IP1/MRPL55/POLG2/FDX2/LACTB2/MRPS28/NDUFAF1/PARS2/LIPT1/HTD2,211
GO:0098803,respiratory chain complex,66/2852,102/10495,0.6470588235294118,2.381094794158898,8.561827452991729,2.07292060982765e-15,2.2111153171494935e-13,1.9129056855602527e-13,ATP5MC1/MT-ND2/MT-ND1/NDUFB2/MT-ND3/COX7B/UQCR10/ATP5MC3/NDUFS5/NDUFS3/NDUFAB1/ATP5MK/NDUFS6/ATP5ME/MT-ATP8/MT-CYB/COXFA4/MT-ATP6/NDUFB3/ATP5F1A/COX7C/ATP5PF/ATP5PB/NDUFB6/UQCRQ/MT-CO3/NDUFC1/NDUFA8/NDUFA3/NDUFA6/COX6C/NDUFA1/BCS1L/ATP5MF/NDUFV2/NDUFAF2/COX7A2/SDHD/NDUFA9/NDUFB8/COX6B1/UQCRFS1/NDUFV3/ATP5F1B/NDUFS1/SDHC/COX5B/MT-ND6/NDUFA5/ATP5PD/MT-ND4L/ATP5F1E/NDUFB10/ATP5MJ/UQCRC1/SDHA/NDUFA11/UQCR11/COX6A1/NDUFA2/MT-ND4/MT-ND5/COX5A/CYC1/NDUFB7/NDUFA13,66
GO:0030686,90S preribosome,24/2852,25/10495,0.96,3.5326788218793825,7.744442204748438,4.5382827321756084e-13,4.1492870694176994e-11,3.589679273871234e-11,BOP1/WDR3/NOL6/UTP20/RRP7A/HEATR1/PES1/TBL3/PWP2/UTP4/NOP9/WDR12/MPHOSPH10/NOP14/WDR36/KRI1/RRP36/IMP3/IMP4/NOC2L/UTP18/SRFBP1/UTP6/NOC4L,24
GO:0000313,organellar ribosome,52/2852,86/10495,0.6046511627906976,2.2250399556410843,6.968003110532861,8.577722039485207e-11,6.099713450300591e-9,5.277054728385052e-9,MRPL24/MRPL51/MRPL12/MRPL17/MRPS7/MRPL20/MRPL4/MRPS2/MRPS25/MRPL3/MRPL18/MRPS26/MRPL23/MRPL50/MRPS23/MRPL52/MRPL28/MRPL36/MRPS12/MRPL19/MRPS5/MRPL15/MRPL38/MRPS34/MTG1/MRPL35/MRPL47/MRPL14/MRPL27/MRPL11/MRPL16/MRPS21/GADD45GIP1/MRPL1/MRPS17/MRPS16/MRPS30/DAP3/MRPS14/MRPL32/MRPL41/MTG2/MRPL13/MRPL46/MRPS10/MRPL42/CHCHD1/MRPS18C/MRPL9/MRPL43/MRPL55/MRPS28,52
GO:0005761,mitochondrial ribosome,52/2852,86/10495,0.6046511627906976,2.2250399556410843,6.968003110532861,8.577722039485207e-11,6.099713450300591e-9,5.277054728385052e-9,MRPL24/MRPL51/MRPL12/MRPL17/MRPS7/MRPL20/MRPL4/MRPS2/MRPS25/MRPL3/MRPL18/MRPS26/MRPL23/MRPL50/MRPS23/MRPL52/MRPL28/MRPL36/MRPS12/MRPL19/MRPS5/MRPL15/MRPL38/MRPS34/MTG1/MRPL35/MRPL47/MRPL14/MRPL27/MRPL11/MRPL16/MRPS21/GADD45GIP1/MRPL1/MRPS17/MRPS16/MRPS30/DAP3/MRPS14/MRPL32/MRPL41/MTG2/MRPL13/MRPL46/MRPS10/MRPL42/CHCHD1/MRPS18C/MRPL9/MRPL43/MRPL55/MRPS28,52
GO:0032040,small-subunit processome,45/2852,71/10495,0.6338028169014085,2.3323143630365646,6.880690821082957,1.7211527744825218e-10,1.101537775668814e-8,9.529751151345332e-9,NOP56/NOP58/WDR43/PDCD11/WDR3/NOL6/RRP9/UTP20/DHX37/RRP7A/HEATR1/BMS1/PNO1/NAT10/XRCC5/WDR75/WDR46/DNTTIP2/DCAF13/TBL3/PWP2/UTP4/UTP11/UTP15/MPHOSPH10/NOP14/NOL10/WDR36/NOL7/UTP3/IMP3/IMP4/UTP14A/UTP23/SNU13/KRR1/UTP25/EMG1/UTP18/DIMT1/FSAF1/RCL1/UTP6/RPS19BP1/NOC4L,45
