ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,198,-0.831423202250494,-2.1559714059742907,1e-10,2.5e-9,1.5263157894736842e-9,1113,"tags=49%, list=10%, signal=45%",10907/5685/23016/3068/5688/10574/5425/7419/5887/51690/328/55651/6637/23196/10155/4686/3066/7555/10971/6599/1478/5709/6150/6632/11335/2806/6428/10549/1973/4706/5690/991/1019/54107/2739/3838/2079/23450/4176/6741/4173/5478/5901/790/1964/5093/1965/2935/1503/5036/4830/10728/6634/8886/7514/26121/3015/56910/6742/10576/10236/5902/1665/26135/3192/22916/8669/10146/7416/708/23435/9188/3181/6723/1982/9136/3184/51491/6434/6732/6432/7203/5245/3326/4953/6059/2107/26354/6950/5707/22948/3329/9221/8662/10492/6427/10528/3336
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,57,-0.9056306128184204,-2.076973917655694,1e-10,2.5e-9,1.5263157894736842e-9,671,"tags=74%, list=6%, signal=70%",11335/27346/29078/1019/9238/81887/10199/6949/79711/79077/4173/10196/2193/23481/1844/5036/6652/8886/54663/51388/705/80324/6573/7374/6723/83743/27340/9136/51491/5245/23223/23082/4839/56342/26354/51154/3329/23160/9221/10514/10528/3336
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,196,-0.6891272799071209,-1.7832206645415136,1.5530123419023838e-8,2.58835390317064e-7,1.5802581724620748e-7,1721,"tags=41%, list=16%, signal=35%",10989/2271/10476/4190/4698/10884/1329/6391/4719/506/7386/5250/1340/3417/4714/26519/4704/581/38/3945/6392/1347/65003/4729/51660/9551/51318/4694/81689/1345/4700/4696/9927/5160/4702/4717/29088/5162/10939/36/7419/27089/4712/6183/515/3419/6832/522/1350/528/498/4967/4709/5435/4697/92609/521/3028/4726/2806/8992/4552/4706/4722/80273/518/56993/29796/26521/10128/1349/1737/26517/50/4708/23203/7416/54205/10440/516
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,187,-0.6966118817902814,-1.7939534504171093,3.9187008982715894e-8,4.898376122839486e-7,2.990587527628318e-7,1005,"tags=24%, list=9%, signal=22%",8452/5887/1841/7112/3151/1871/4172/6599/3609/6118/4678/7371/6632/1164/991/7150/1019/5976/6713/3838/4001/10432/7290/990/30000/8899/2935/2130/7514/3015/3192/10146/10419/10212/3184/6434/4953/6421/1736/262/4691/9221/10492/6427
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,121,0.6696700422743779,1.9444126558401642,8.449011356490672e-7,8.449011356490672e-6,5.158343775541674e-6,930,"tags=31%, list=8%, signal=28%",8277/4493/6515/230/23645/5033/1649/10397/2026/54541/1027/2113/26355/5578/694/54800/8553/7436/2821/2023/4601/3098/26136/3725/55818/55139/25824/2908/4214/7163/665/3669/2355/901/5230/123/467
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,196,-0.6289429150636833,-1.627484552795091,3.159184892583908e-5,2.632654077153257e-4,1.6073045944725147e-4,1024,"tags=26%, list=9%, signal=24%",6628/5411/3930/23165/10248/51747/5425/7112/9837/701/4172/84296/3609/6118/4678/9319/57122/10549/1164/991/1019/9238/7884/10606/3838/4001/6241/4176/79077/9972/4173/5901/1965/2935/1503/5036/4830/7514/3015/5902/10212/55646/7374/1434/3184/6434/9221/10492/6427/10528
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,147,0.5419254867504506,1.5935351963779796,6.424401475054091e-4,0.004588858196467208,0.002801618688369453,1052,"tags=23%, list=10%, signal=21%",10628/23645/1649/10397/54541/26355/900/694/5372/6004/6281/5925/677/4033/3725/3006/6520/3732/23657/4084/2073/55766/26207/1643/23654/81566/10399/3714/2872/64061/467/317/8848/6667
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,75,0.6325330932528473,1.681801441373945,7.775251701300026e-4,0.004859532313312516,0.002966872359706589,1348,"tags=29%, list=12%, signal=26%",3487/5270/1000/2026/10979/6695/3725/3485/9235/6535/7456/1314/3956/5118/5217/3688/7171/2014/3678/6303/871/1647
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,86,0.5740566217729389,1.5511355168331131,0.0037245027725056152,0.02069168206947564,0.012632816421364075,1482,"tags=29%, list=13%, signal=25%",4493/5581/1027/5578/2534/8553/7436/54468/5607/2908/493/7035/5002/861/6541/1432/10240/1628/25836/10401/23229/57178/5728/10659/5195
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,118,0.522173087536494,1.5048195181145496,0.004458086432850363,0.021402591152420013,0.013066845124635374,297,"tags=12%, list=3%, signal=12%",23135/6515/23645/4791/5971/1051/10209/1435/694/8553/10318/25816/6776/3725
