ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03008,Ribosome biogenesis in eukaryotes,71,-0.8156468499165295,-1.8957697690718247,8.513208783572773e-8,1.3195473614537798e-5,1.0215850540287328e-5,1144,"tags=51%, list=10%, signal=46%",UTP18/RPP40/EMG1/POP7/NHP2/SNU13/UTP14A/IMP4/IMP3/WDR36/RIOK1/GNL2/MPHOSPH10/LSG1/POP1/GAR1/UTP15/TCOF1/UTP4/PWP2/TBL3/RAN/WDR75/NAT10/BMS1/XPO1/HEATR1/GTPBP4/RRP7A/NOL6/WDR3/GNL3/DKC1/WDR43/NOP58/NOP56
hsa03040,Spliceosome,137,-0.7341108297729492,-1.8403499696366004,8.059705582484038e-8,1.3195473614537798e-5,1.0215850540287328e-5,1277,"tags=38%, list=12%, signal=34%",MAGOH/PRPF8/SNRPB/RBM8A/SNRPA1/SF3B5/PRPF38B/TXNL4A/PRPF4/HSPA1B/LSM7/CRNKL1/CDC5L/PUF60/SNRPG/PRPF19/BCAS2/SNU13/NCBP1/CHERP/DDX23/RBM25/EFTUD2/EIF4A3/SNRPF/SNRPC/SNRPD1/SRSF3/PPIL1/SNRNP70/SNRPE/SF3B4/SF1/SF3B3/SRSF8/PCBP1/SF3A3/ALYREF/HNRNPK/SNRPD3/PRPF31/DHX15/HNRNPU/NCBP2/TRA2B/SRSF7/HNRNPM/DDX5/FUS/SRSF6/U2AF2/SRSF2
hsa05012,Parkinson disease,220,-0.6685467962968107,-1.7440003050935722,3.409300464384009e-7,3.522943813196809e-5,2.7274403715072067e-5,2154,"tags=54%, list=20%, signal=44%",PSMB7/MT-ND4/PSMB4/PSMD4/NDUFA2/PSMA6/UBC/ADRM1/PSMC2/COX6A1/PSMC6/UQCR11/PSMD8/PSMA2/NDUFA11/SDHA/SLC25A4/PSMD9/CALM1/PSMD7/UQCRC1/SLC39A3/NDUFB10/ATP5F1E/MT-ND4L/SLC18A2/PARK7/ATP5PD/NDUFA5/NFE2L2/MT-ND6/COX5B/SDHC/DUSP1/NDUFS1/TUBB/SLC11A2/TUBB4B/ATP5F1B/NDUFV3/UQCRFS1/COX6B1/PSMD13/NDUFB8/NDUFA9/ITPR2/BAX/SDHD/COX7A2/NDUFV2/SEM1/SLC39A7/UBE2L3/NDUFA1/PSMB3/COX6C/PSMC4/NDUFA6/NDUFA3/MFN2/NDUFA8/DAXX/NDUFC1/PSMA4/TRAP1/PSMD6/ADORA2A/PSMA7/MT-CO3/VDAC3/PSMA5/UQCRQ/NDUFB6/ATP5PB/ATP5PF/COX7C/UBA1/ATP5F1A/NDUFB3/MT-ATP6/COXFA4/MT-CYB/MT-ATP8/PSMD3/NDUFS6/PSMD11/NDUFAB1/PSMD12/UBE2J1/NDUFS3/PSMB2/PSMB1/NDUFS5/ATP5MC3/UQCR10/SOD1/PSMB5/UBE2G2/COX7B/EIF2S1/PSMD2/PSMA3/CALM2/SLC39A14/HSPA5/TUBA1B/MT-ND3/NDUFB2/MT-ND1/PSMB6/VDAC1/TXN/MT-ND2/TUBB6/CYCS/TUBA1C/PPIF/ATP5MC1/PSMD1
hsa05020,Prion disease,205,-0.6658259039028457,-1.734120521357315,4.890921241518603e-7,3.790463962176917e-5,2.9345527449111617e-5,2154,"tags=52%, list=20%, signal=43%",PSMB7/MT-ND4/PSMB4/PSMD4/NDUFA2/PSMA6/ADRM1/PSMC2/COX6A1/PSMC6/UQCR11/PSMD8/PSMA2/NDUFA11/SDHA/SLC25A4/PSMD9/PIK3CD/PSMD7/UQCRC1/NDUFB10/ATP5F1E/MT-ND4L/PIK3CB/ATP5PD/PIK3R3/NDUFA5/MT-ND6/COX5B/SDHC/NDUFS1/TUBB/TUBB4B/ATP5F1B/NDUFV3/UQCRFS1/COX6B1/PSMD13/NDUFB8/NDUFA9/ITPR2/BAX/SDHD/COX7A2/NDUFV2/SEM1/NDUFA1/PSMB3/RYR1/COX6C/PSMC4/NDUFA6/NDUFA3/NDUFA8/NDUFC1/PSMA4/PSMD6/PSMA7/MT-CO3/VDAC3/PSMA5/UQCRQ/HSPA1B/NDUFB6/ATP5PB/ATP5PF/COX7C/ATP5F1A/NDUFB3/MT-ATP6/COXFA4/MT-CYB/MT-ATP8/PSMD3/NDUFS6/PSMD11/NDUFAB1/PSMD12/NDUFS3/PSMB2/PSMB1/NDUFS5/ATP5MC3/UQCR10/SOD1/PSMB5/COX7B/EIF2S1/PSMD2/C9/PSMA3/HSPA5/TUBA1B/MT-ND3/NDUFB2/MT-ND1/NOTCH1/PSMB6/VDAC1/MT-ND2/TUBB6/CYCS/TUBA1C/PPIF/ATP5MC1/PSMD1/STIP1
hsa05016,Huntington disease,244,-0.6451238903850476,-1.6952372696831977,6.468662490644112e-7,4.01057074419935e-5,3.1049579955091736e-5,2154,"tags=47%, list=20%, signal=39%",PSMB7/POLR2K/MT-ND4/PSMB4/PSMD4/NDUFA2/PSMA6/ADRM1/PSMC2/COX6A1/PSMC6/UQCR11/PSMD8/DCTN5/PSMA2/DNAH10/NDUFA11/SDHA/SLC25A4/PSMD9/PSMD7/UQCRC1/NDUFB10/ATP5F1E/MT-ND4L/ATP5PD/NDUFA5/MT-ND6/COX5B/SDHC/NDUFS1/TUBB/TUBB4B/ATP5F1B/TBP/NDUFV3/UQCRFS1/COX6B1/PSMD13/NDUFB8/NDUFA9/BAX/SDHD/COX7A2/NDUFV2/SEM1/DCTN1/NDUFA1/PSMB3/COX6C/PSMC4/POLR2I/NDUFA6/NDUFA3/TFAM/NDUFA8/NDUFC1/PSMA4/MTOR/PSMD6/PSMA7/AP2M1/MT-CO3/VDAC3/PSMA5/UQCRQ/PIK3R4/NDUFB6/ATP5PB/POLR2D/POLR2H/ATP5PF/COX7C/HDAC2/ATP5F1A/NDUFB3/MT-ATP6/POLR2F/COXFA4/MT-CYB/POLR2E/MT-ATP8/PSMD3/NDUFS6/PSMD11/NDUFAB1/PSMD12/NDUFS3/PSMB2/PSMB1/NDUFS5/ATP5MC3/UQCR10/SOD1/PSMB5/COX7B/HDAC1/PSMD2/PSMA3/TUBA1B/MT-ND3/POLR2L/NDUFB2/POLR2B/MT-ND1/PSMB6/VDAC1/MT-ND2/SOD2/TUBB6/CYCS/TUBA1C/PPIF/ATP5MC1/PSMD1
hsa00190,Oxidative phosphorylation,120,-0.7156231613209214,-1.7693173901833579,1.7934095790795832e-6,9.265949491911179e-5,7.173638316318333e-5,2088,"tags=62%, list=19%, signal=51%",NDUFB7/ATP5PO/CYC1/COX5A/ATP6V0B/NDUFA10/MT-ND5/ATP6V1F/NDUFV1/PPA1/MT-ND4/NDUFA2/COX6A1/ATP6V1B2/UQCR11/NDUFA11/SDHA/ATP6V0D1/UQCRC1/ATP6V1G1/NDUFB10/ATP5F1E/MT-ND4L/ATP5PD/NDUFA5/MT-ND6/COX5B/SDHC/NDUFS1/ATP5F1B/NDUFV3/UQCRFS1/COX6B1/NDUFB8/NDUFA9/SDHD/COX7A2/NDUFV2/ATP5MF/NDUFA1/COX6C/PPA2/NDUFA6/NDUFA3/NDUFA8/NDUFC1/MT-CO3/UQCRQ/NDUFB6/ATP5PB/ATP5PF/COX7C/ATP6V1C1/ATP5F1A/NDUFB3/MT-ATP6/COXFA4/MT-CYB/MT-ATP8/ATP5ME/NDUFS6/ATP6V0E1/NDUFAB1/NDUFS3/NDUFS5/ATP5MC3/UQCR10/COX7B/MT-ND3/NDUFB2/MT-ND1/MT-ND2/CYCS/ATP5MC1
hsa05014,Amyotrophic lateral sclerosis,289,-0.6192394628168993,-1.650837720464772,2.5252970980231846e-6,1.1183458576959818e-4,8.658161478936632e-5,1692,"tags=39%, list=15%, signal=34%",TPR/ATP5PD/NDUFA5/NUP85/MT-ND6/CHCHD10/COX5B/SDHC/NDUFS1/NXF1/TUBB/TUBB4B/ATP5F1B/RAB8A/NDUFV3/UQCRFS1/NUP210/COX6B1/PSMD13/NDUFB8/TOMM40L/NDUFA9/BAX/SMCR8/SDHD/RAB1A/COX7A2/NDUFV2/SEM1/NUP54/DCTN1/NUP35/NDUFA1/PSMB3/COX6C/NUP93/PSMC4/NDUFA6/UBQLN1/NDUFA3/NUP205/NDUFA8/DAXX/NDUFC1/PSMA4/MTOR/RANBP2/PSMD6/PSMA7/MT-CO3/PSMA5/UQCRQ/PIK3R4/NDUFB6/ATP5PB/ATP5PF/NCBP1/COX7C/NDC1/ATP5F1A/NUP160/NDUFB3/BID/MT-ATP6/COXFA4/MT-CYB/MT-ATP8/PSMD3/NUP107/NDUFS6/NUP62/MATR3/SRSF3/PSMD11/NDUFAB1/PSMD12/NDUFS3/PSMB2/PSMB1/NDUFS5/ATP5MC3/UQCR10/NUP188/SOD1/PSMB5/VCP/NUP153/COX7B/NUP155/EIF2S1/PSMD2/ALYREF/PSMA3/UBQLN4/SEH1L/HSPA5/TUBA1B/MT-ND3/NDUFB2/MT-ND1/PSMB6/VDAC1/TARDBP/HNRNPA2B1/MT-ND2/SRSF7/TUBB6/CYCS/TOMM40/TUBA1C/SIGMAR1/ATP5MC1/PSMD1/FUS
hsa03013,Nucleocytoplasmic transport,99,-0.694311277766903,-1.6713888464959896,1.1336385446899559e-4,0.004392849360673579,0.003400915634069868,2256,"tags=59%, list=20%, signal=47%",PHAX/THOC6/NUP98/IPO8/KPNB1/NUP88/RNPS1/NUP43/SUMO3/NUP133/ACIN1/IPO9/XPO4/IPO11/NXT1/NUP42/RANGAP1/TPR/NUP85/NXF1/NUP210/MAGOHB/KPNA1/NUP54/MAGOH/NUP35/AHCTF1/PNN/NUP93/RBM8A/NUP205/KPNA3/RANBP2/TMEM33/NCBP1/NDC1/TNPO1/NUP160/EIF4A3/NUP107/NUP62/DDX19A/XPO6/UPF1/KPNA2/NUP188/IPO4/SUMO1/NUP153/TNPO2/RAN/NUP155/ALYREF/SEH1L/XPO1/XPO5/NCBP2/CSE1L
hsa04071,Sphingolipid signaling pathway,96,0.6163653929818046,1.7171302568323903,2.1887600925485882e-4,0.007539062541000692,0.005836693580129568,967,"tags=15%, list=9%, signal=13%",GAB2/PRKCB/PRKCE/PRKCA/FYN/PLCB2/TNFRSF1A/PPP2R5B/SMPD1/MAPK3/MAP2K1/CERS4/MAPK11/MAPK14
hsa03050,Proteasome,44,-0.7721174937461295,-1.676277642023507,4.7652498641278845e-4,0.013429340526178585,0.010396908794460839,2154,"tags=77%, list=20%, signal=62%",PSMB7/PSMB4/PSMD4/PSMA6/ADRM1/PSMC2/PSMC6/PSMD8/PSMA2/PSMD9/PSMD7/POMP/PSMD13/SEM1/PSMB3/PSMC4/PSME2/PSMA4/PSMB8/PSMD6/PSMA7/PSME4/PSMA5/PSMD3/PSMD11/PSMD12/PSMB2/PSMB1/PSMB5/PSMD2/PSMA3/PSME3/PSMB6/PSMD1
