gene_id,gene_name,ASHL_1,ASHL_2,ASHL_3,CTRL_1,CTRL_2,CTRL_3,CTRL_4,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000165280.18,VCP,1442.999,1636,2394.96,5199,4874.001,4951.002,4315.999,3223.022657516474,-1.5763694881417114,0.03847459487263188,0,0,Down
ENSG00000153823.19,PID1,377.999,468,598,1720,1755,1700,1647,1279.3559200055731,-1.9822403875637162,0.0657712002519413,7.064250033065196e-203,4.972878810776245e-199,Down
ENSG00000143061.18,IGSF3,1824.943,2093.96,2851.955,4417.944,4224,4139,3904.889,3508.0362043074542,-1.0530542870790287,0.036815653804929474,1.1684725711133285e-181,5.483641776234851e-178,Down
ENSG00000125971.18,DYNLRB1,2362.629,2728.099,3788.366,1222,1236.848,1201.322,1063.085,2003.6594916983167,1.1467064531922377,0.04217974610263682,1.7580347663405994e-164,6.187842868827325e-161,Up
ENSG00000174574.16,AKIRIN1,3111.999,3914,5200.992,1706.986,1654,1638,1327,2572.7639643014318,1.1860521003209767,0.044879543331167976,1.1460032390991651e-155,3.226915920655429e-152,Up
ENSG00000188042.8,ARL4C,1379,1579,2016,3620,3398,3417,3013,2896.511602072843,-1.1754141001938694,0.047295035585854114,4.2379448444029546e-138,9.944337577391533e-135,Down
ENSG00000126214.22,KLC1,4556.582,5471.151,7070.874,10367.282,10357.49,10097.831,10051.715,8982.71981214488,-1.0064349662247352,0.04145877404476963,6.290152044271986e-132,1.2651292947329327e-128,Down
ENSG00000149212.12,SESN3,1175,1367,2061,2998,3045,3080,2720,2370.742317214281,-1.1224828210021491,0.04697571672180029,6.511027457545113e-128,1.1458594446847207e-124,Down
ENSG00000166501.14,PRKCB,897.999,1160,1597,2727,2544.001,2599,2546,2049.4825843964454,-1.267728197685733,0.053097888571364465,7.545565775260656e-128,1.180378006109942e-124,Down
ENSG00000160691.19,SHC1,2472.931,2797.493,4132.58,1296,1314,1332,1159.999,1624.0227290170164,1.1110728051052414,0.04673245694639952,1.1450831852352432e-126,1.612162616492699e-123,Up
ENSG00000101337.16,TM9SF4,661,724,1049,1910,1684,1748.999,1635.001,1406.0733142823726,-1.2677964230290562,0.05533151410719752,4.7133078396090566e-118,6.032605552168719e-115,Down
ENSG00000170558.10,CDH2,3202.001,3528,5305.999,6737,6758,6605.999,5842,5522.658546070125,-0.8650744828789733,0.03787467700187156,2.2466919224185013e-117,2.6359312979775067e-114,Down
ENSG00000127884.5,ECHS1,460,500,738,1300,1302,1309,1113,1005.768476576115,-1.3121226673220472,0.057966365318315095,2.2211655715306307e-115,2.405522313967673e-112,Down
ENSG00000102781.14,KATNAL1,1620,1984,2741.001,916,887,871,693,1467.2413328426237,1.1445649637961293,0.05326077381000689,3.520123229810439e-104,3.539986782321512e-101,Up
ENSG00000196961.13,AP2A1,1491,1768.001,2426.386,3265.057,3063.522,3056,2893.043,2440.0264224553475,-0.864206031503928,0.04045279236232122,3.606101127994837e-103,3.384686518735954e-100,Down
ENSG00000160551.12,TAOK1,2506,2851,4213,5287,5272,5127,4415,4499.484895746026,-0.8269137564862298,0.038779445558057686,8.055853288969784e-103,7.088647403462849e-100,Down
