ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048514,blood vessel morphogenesis,143/2199,470/12639,0.30425531914893617,1.7487416910975009,7.591979736645164,1.1906399704998148e-12,6.358017442469011e-9,5.3090009631970695e-9,PRKCB/SHC1/CDH2/COL4A2/FN1/WARS1/APLNR/PIK3R3/SERPINE1/COL4A1/MEIS3/VPS4B/EPAS1/ITGA5/CYP1B1/CCM2/APLN/EPHA2/EPN2/ANXA2/XBP1/ANXA1/ADAMTS9/TGFBI/NR2F2/SPARC/SLC1A1/SGPL1/SLC12A6/TGFBR1/NCL/PLCD3/MMP2/APOLD1/MECP2/KDR/ADAM12/VASH1/MDK/CCN2/PDGFRB/ATP2B4/SAT1/UNC5B/MICALL1/VEGFA/PTK2/LOXL2/PRKX/EHD4/HIPK2/TNFRSF12A/SPRY2/STIM1/MCAM/HEG1/GNA13/ADM2/PTPRJ/NR4A1/COL18A1/HSPG2/NDNF/MMRN1/ROBO1/SFRP2/NRP1/HGS/THBS1/ROCK2/TNFAIP3/CCN1/ACKR3/EFEMP2/PARVA/SEMA6A/ELK3/EGF/YJEFN3/NFE2L2/TEAD2/EIF2AK3/BAK1/WNT7B/CITED1/VASH2/ITGB3/RNF213/WNT4/GADD45A/MMP14/NEDD4/FGF1/CD36/FGF18/ID1/GPNMB/CD34/FKBP10/NOTCH3/DSG2/VSTM4/AMOT/COL8A1/CAV1/MEIS1/HSPB1/RRAS/SLC31A1/ANGPT1/ACVR1/SOX4/EFNA3/LOX/EGFL7/LRP5/SEMA4A/NFATC3/ETS1/POFUT1/ERBB2/IGFBP7/PLXND1/EPHB3/E2F2/SGCD/SRPX2/CREB3L1/NPR3/DLL1/EPHB4/HMOX1/ARHGAP22/CARD10/S1PR1/ADM/B4GALT1/COL3A1/ADAMTS1/SPHK1/TGFBR2/NOG/GREM1,143
GO:0030199,collagen fibril organization,33/2199,57/12639,0.5789473684210527,3.3275651611976738,8.082877117685085,6.724854886408024e-12,1.7955362546709426e-8,1.499288699938126e-8,COL5A1/CYP1B1/SELENON/COL5A2/ANXA2/ANTXR2/COLGALT1/PLOD3/TGFBR1/ADAMTS12/SERPINH1/PLOD1/LOXL2/ERO1A/P4HA1/COL2A1/COL11A1/COL1A1/COL1A2/SFRP2/EFEMP2/ADAMTS2/COL5A3/LUM/LOXL3/AEBP1/FKBP10/DDR2/COL12A1/LOX/COL11A2/COL3A1/GREM1,33
GO:0001525,angiogenesis,123/2199,404/12639,0.30445544554455445,1.7498919400807749,7.03054386690389,4.536064533624643e-11,8.074194869851864e-8,6.742024338397891e-8,PRKCB/SHC1/COL4A2/FN1/WARS1/APLNR/PIK3R3/SERPINE1/COL4A1/MEIS3/VPS4B/EPAS1/ITGA5/CYP1B1/CCM2/APLN/EPHA2/EPN2/ANXA2/XBP1/ANXA1/ADAMTS9/TGFBI/SPARC/SLC12A6/TGFBR1/NCL/PLCD3/MMP2/APOLD1/MECP2/KDR/ADAM12/VASH1/MDK/CCN2/PDGFRB/ATP2B4/SAT1/UNC5B/MICALL1/VEGFA/PTK2/LOXL2/PRKX/EHD4/HIPK2/TNFRSF12A/SPRY2/STIM1/MCAM/GNA13/ADM2/PTPRJ/NR4A1/COL18A1/HSPG2/NDNF/MMRN1/ROBO1/SFRP2/NRP1/HGS/THBS1/ROCK2/TNFAIP3/CCN1/ACKR3/PARVA/SEMA6A/ELK3/EGF/YJEFN3/NFE2L2/EIF2AK3/VASH2/ITGB3/RNF213/GADD45A/MMP14/FGF1/CD36/FGF18/ID1/GPNMB/CD34/NOTCH3/DSG2/VSTM4/AMOT/COL8A1/CAV1/MEIS1/HSPB1/RRAS/SLC31A1/ANGPT1/ACVR1/EFNA3/EGFL7/SEMA4A/ETS1/POFUT1/ERBB2/IGFBP7/PLXND1/EPHB3/E2F2/SRPX2/CREB3L1/NPR3/DLL1/EPHB4/HMOX1/ARHGAP22/CARD10/S1PR1/ADM/B4GALT1/ADAMTS1/SPHK1/TGFBR2/GREM1,123
GO:0030198,extracellular matrix organization,82/2199,237/12639,0.3459915611814346,1.9886254396417244,7.051177251387345,9.629011674686568e-11,1.0283784468565255e-7,8.587051253467853e-8,COL4A2/COL5A1/DDR1/COL4A1/LAMC1/CYP1B1/FURIN/OLFML2A/SELENON/COL5A2/SOX9/ANXA2/ADAMTS9/ELN/TGFBI/ANTXR2/COLGALT1/PLOD3/TGFBR1/ADAMTS12/HSD17B12/SERPINH1/SMOC1/MMP2/FSCN1/VWA1/PBXIP1/PLOD1/LOXL2/ERO1A/ZNF469/MMP16/P4HA1/COL2A1/COL4A6/PDPN/COL11A1/RIC1/FLRT2/GFAP/NDNF/TNFRSF1A/COL1A1/COL1A2/WNT3A/SFRP2/QSOX1/CCN1/EFEMP2/ADAMTS2/NID1/SLC2A10/COL5A3/ITGB3/MMP14/LAMB2/LUM/LOXL3/AEBP1/FKBP10/DDR2/CAV1/PRDX4/COL12A1/ADAMTS5/VTN/LAMA2/NPNT/LOX/NPHP3/COL11A2/MMP1/FGFR4/ADAMTS15/CREB3L1/MFAP4/TIMP3/B4GALT1/COL3A1/ADAMTS17/ADAMTS1/GREM1,82
GO:0045229,external encapsulating structure organization,82/2199,237/12639,0.3459915611814346,1.9886254396417244,7.051177251387345,9.629011674686568e-11,1.0283784468565255e-7,8.587051253467853e-8,COL4A2/COL5A1/DDR1/COL4A1/LAMC1/CYP1B1/FURIN/OLFML2A/SELENON/COL5A2/SOX9/ANXA2/ADAMTS9/ELN/TGFBI/ANTXR2/COLGALT1/PLOD3/TGFBR1/ADAMTS12/HSD17B12/SERPINH1/SMOC1/MMP2/FSCN1/VWA1/PBXIP1/PLOD1/LOXL2/ERO1A/ZNF469/MMP16/P4HA1/COL2A1/COL4A6/PDPN/COL11A1/RIC1/FLRT2/GFAP/NDNF/TNFRSF1A/COL1A1/COL1A2/WNT3A/SFRP2/QSOX1/CCN1/EFEMP2/ADAMTS2/NID1/SLC2A10/COL5A3/ITGB3/MMP14/LAMB2/LUM/LOXL3/AEBP1/FKBP10/DDR2/CAV1/PRDX4/COL12A1/ADAMTS5/VTN/LAMA2/NPNT/LOX/NPHP3/COL11A2/MMP1/FGFR4/ADAMTS15/CREB3L1/MFAP4/TIMP3/B4GALT1/COL3A1/ADAMTS17/ADAMTS1/GREM1,82
GO:0043062,extracellular structure organization,82/2199,238/12639,0.3445378151260504,1.9802698705675996,7.00659992450832,1.2231217339731304e-10,1.0289450033571237e-7,8.59178205050419e-8,COL4A2/COL5A1/DDR1/COL4A1/LAMC1/CYP1B1/FURIN/OLFML2A/SELENON/COL5A2/SOX9/ANXA2/ADAMTS9/ELN/TGFBI/ANTXR2/COLGALT1/PLOD3/TGFBR1/ADAMTS12/HSD17B12/SERPINH1/SMOC1/MMP2/FSCN1/VWA1/PBXIP1/PLOD1/LOXL2/ERO1A/ZNF469/MMP16/P4HA1/COL2A1/COL4A6/PDPN/COL11A1/RIC1/FLRT2/GFAP/NDNF/TNFRSF1A/COL1A1/COL1A2/WNT3A/SFRP2/QSOX1/CCN1/EFEMP2/ADAMTS2/NID1/SLC2A10/COL5A3/ITGB3/MMP14/LAMB2/LUM/LOXL3/AEBP1/FKBP10/DDR2/CAV1/PRDX4/COL12A1/ADAMTS5/VTN/LAMA2/NPNT/LOX/NPHP3/COL11A2/MMP1/FGFR4/ADAMTS15/CREB3L1/MFAP4/TIMP3/B4GALT1/COL3A1/ADAMTS17/ADAMTS1/GREM1,82
GO:0045667,regulation of osteoblast differentiation,49/2199,114/12639,0.4298245614035088,2.470465043919485,7.238020421852202,1.3488043115168288e-10,1.0289450033571237e-7,8.59178205050419e-8,CLIC1/DDX5/FERMT2/ACVR2B/SOX9/SKI/JUND/SMOC1/CEBPB/BMP7/VEGFA/PTK2/TENT5A/PTCH1/SOX11/ID3/SFRP2/GDF10/CCN1/CRIM1/RASSF2/SEMA4D/SMAD6/TOB1/IFITM1/TMEM64/RORB/WNT7B/CITED1/FBN2/WNT4/SMAD5/MEF2C/CDK6/ID1/GDPD2/DDR2/ACVR1/NPNT/LRP5/IL6R/SNAI2/FBXO5/REST/BMPR1B/OSTN/NOG/DNAI3/GREM1,49
GO:0030855,epithelial cell differentiation,140/2199,488/12639,0.28688524590163933,1.6489052400867756,6.70944693872928,2.1803435184017283e-10,1.4553792985331536e-7,1.2152546242039106e-7,CDH2/FAM3C/FEM1B/SERPINE1/PALLD/ADAM9/COL4A1/EPAS1/VCL/ETV4/BCL11B/ACTA2/KAZN/ATRX/CCM2/FLNA/EDNRB/RAPGEF1/NF2/EPHA2/SIX3/PLCB1/ACVR2B/SOX9/XBP1/ANXA1/NR2F2/SRC/TOLLIP/MTSS1/PLOD3/AFDN/GPAT4/CEBPB/APOLD1/FSTL1/KRAS/KDR/AJAP1/TAGLN/FAT4/IQGAP1/FOXJ1/BMP7/VEGFA/PRKX/PTPRO/PDE4D/OPN3/SPRY2/PTCH1/HEG1/MAGI2/BAD/WDR77/PDPN/ZDHHC7/SOX11/COL18A1/ALDOC/TNFRSF1A/ID3/SIDT2/TAGLN2/MYADM/SALL1/NRP1/ROCK2/POU3F1/AKR1C2/STC1/MAGI1/TMOD1/WNT7B/CITED1/TBC1D20/WNT4/MSN/MAFF/AHI1/DLX6/LAMB2/PROM1/MEF2C/CDK6/ID1/HYDIN/CD34/DSG2/PCK2/CAV1/EZH2/LATS2/LIPA/IKBKB/NFIB/S1PR3/ICAM1/RARA/CDK1/ACVR1/SLITRK6/NHERF1/ATOH8/SOX4/TMEM79/SGPP1/CYP26B1/HES5/HSF4/NEUROD1/DLL1/SIX2/LHX1/REST/AR/S1PR2/POU3F2/PLK4/MYCN/FZD7/MAFB/TGFB1I1/S1PR1/FRZB/KRT19/USH2A/B4GALT1/FZD2/STAT5A/FOXA1/CEP152/NKX6-2/SLC9A2/MSX1/ASCL1/TJP3/GREM1/PLAAT1/ZFP36,140
GO:0031589,cell-substrate adhesion,94/2199,295/12639,0.31864406779661014,1.8314426434203526,6.631578080024079,6.753699342758075e-10,4.0071949433697916e-7,3.3460433234997907e-7,FN1/ACTN1/LIMCH1/SERPINE1/ZYX/PLPP3/DMTN/ADAM9/DDR1/LAMC1/VCL/ITGA5/TYRO3/P4HB/POLDIP2/FLNA/NF2/FERMT2/ANXA2/ADAMTS9/MAP4K4/SRC/ADAMTS12/HSD17B12/TBCD/KDR/MDK/CCN2/AJAP1/FBLN2/VAMP3/SRGAP2/VEGFA/PTPN1/PTK2/PRKX/RAC3/PTPRO/GCNT2/TNFRSF12A/SPRY4/PDPN/PTPRJ/LIMS1/CD44/NDNF/COL1A1/MYADM/NRP1/THBS1/ROCK2/NEDD9/CCN1/AJUBA/EFEMP2/PARVA/SMAD6/LAMA5/TLN1/NID1/AXL/COL5A3/ITGB3/WNT4/DLC1/MMP14/ITGB5/ITGA7/CD36/CDK6/SORBS3/PREX1/CD34/PPM1F/COL8A1/PPARD/KANK1/BCL2L11/RRAS/VCAM1/VTN/ANGPT1/TRIP6/NPNT/PARVG/ITGA1/EPHB3/PLAU/ARHGAP6/WHAMM/FZD7/POPDC1/COL3A1/GREM1,94
GO:0048729,tissue morphogenesis,135/2199,475/12639,0.28421052631578947,1.6335319882243124,6.4591993454684,9.126002054750299e-10,4.873285097236659e-7,4.069236284623396e-7,PLXNA1/FEM1B/APLNR/SPECC1L/COL5A1/DDR1/COL4A1/VCL/ITGA5/ACTA2/DEAF1/CCM2/RHOC/FLNA/NF2/EPHA2/SIX3/FERMT2/SOX9/TPM1/SKI/GPI/SRC/MTSS1/PLOD3/TGFBR1/TXNRD1/HBEGF/ADAMTS12/MMP2/MDM2/PERP/KRAS/KDR/MDK/AJAP1/MICAL2/BMP7/VEGFA/PRKX/TULP3/ADARB1/SPRY2/PTCH1/HEG1/GNA13/NR4A3/PDPN/MTHFD1L/ZDHHC7/COL11A1/SOX11/CD44/SEMA4C/TFAP2A/LMO4/WNT3A/PCDH8/ROBO1/SFRP2/SALL1/NRP1/AJUBA/EFEMP2/RSPO2/EGF/TEAD2/LAMA5/KIF26B/STC1/TMEFF2/GREB1/WNT7B/CITED1/ITGB3/CD151/WNT4/DLC1/MMP14/MSN/AHI1/ITGB5/FGF1/MEF2C/GCNT4/FREM2/RYR2/ADAMTS5/RARA/GJA1/CRB2/NTN1/ACVR1/NHERF1/LGR5/NPNT/LRP5/TMEM79/NPHP3/ANKRD1/SNAI2/PLXND1/WLS/HES5/JHY/WNT2B/DLL1/SIX2/LHX1/IRX1/AR/SHOX2/SAPCD2/DNAAF1/POU4F1/MYCN/TGFB1I1/S1PR1/ADM/FRZB/KRT19/STIL/FOXN4/FZD2/COL3A1/CYP7B1/RDH10/STAT5A/FOXA1/PAX7/IRX3/MSX1/TGFBR2/NOG/GREM1,135
