ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,53/2265,119/13110,0.44537815126050423,2.5778841337859646,7.901897742716038,3.413671601047572e-12,3.5331501070842374e-9,3.313058122279855e-9,COL4A2/FN1/VCAN/TFPI2/COL5A1/COL4A1/LAMC1/COL5A2/ELN/TGFBI/SPARC/EFEMP1/FBN1/SPON1/FBLN2/VWA1/COL9A3/COL25A1/COL2A1/COL4A6/COL11A1/COL18A1/HSPG2/MMRN1/COL1A1/COL1A2/THBS1/COL4A5/CCN1/EFEMP2/FBN3/LAMA5/NID1/COL5A3/FBN2/LAMB2/MXRA5/LUM/AEBP1/LTBP2/COL8A1/COL12A1/VTN/LAMA2/NPNT/COL11A2/IGFBP7/COL7A1/SRPX2/AMBN/COL6A3/MFAP4/COL3A1,53
GO:0030020,extracellular matrix structural constituent conferring tensile strength,20/2265,35/13110,0.5714285714285714,3.3074739829706714,6.246749534925667,1.1817779706294584e-7,6.115700998007448e-5,5.7347330995808465e-5,COL4A2/COL5A1/COL4A1/COL5A2/COL9A3/COL25A1/COL2A1/COL4A6/COL11A1/COL18A1/COL1A1/COL1A2/COL4A5/COL5A3/COL8A1/COL12A1/COL11A2/COL7A1/COL6A3/COL3A1,20
GO:0019838,growth factor binding,42/2265,114/13110,0.3684210526315789,2.1324503311258276,5.549717085744264,4.352262545287815e-7,1.481032732619551e-4,1.3887741464278935e-4,SHC1/COL5A1/COL4A1/FURIN/IGF2R/EPHA2/DUSP1/ACVR2B/IGFBP3/TGFBR1/KDR/ACVR1B/CCN2/PDGFRB/COL2A1/HTRA1/OSMR/COL1A1/COL1A2/NRP1/THBS1/CCN1/IL1R1/ITGB3/CD36/LTBP2/FGFBP2/ACVR1/IL6R/ERBB2/IGFBP7/FGFR4/SRPX2/VASN/RHBDF1/S100A13/FGFR3/COL3A1/A2M/TGFBR2/NOG/RHBDF2,42
GO:0005178,integrin binding,42/2265,115/13110,0.3652173913043478,2.113907284768212,5.482945501295054,5.723798000462033e-7,1.481032732619551e-4,1.3887741464278935e-4,FN1/ACTN1/PLPP3/ADAM9/COL5A1/ITGA5/P4HB/LRP12/NF2/FERMT2/TGFBI/SRC/JAM2/FBN1/KDR/CCN2/PTK2/GFAP/HSPG2/SFRP2/THBS1/CCN1/LAMA5/TLN1/ITGB3/CD151/MMP14/ITGB5/LAMB2/FGF1/GPNMB/S1PR3/ADAMTS5/PTN/ICAM1/VCAM1/VTN/NPNT/SPP1/LYN/S1PR2/COL3A1,42
GO:0048018,receptor ligand activity,71/2265,238/13110,0.29831932773109243,1.7266959764038066,5.1703783607847695,1.053725437891334e-6,1.9002623190098747e-4,1.7818884903403047e-4,FAM3C/FN1/VGF/GAL/SEMA6D/APLN/STC2/GPI/HBEGF/EFEMP1/FBN1/PDYN/MDK/BMP7/UTS2/VEGFA/BDNF/CD320/PNOC/GREM2/ADM2/FLRT2/ADA2/SEMA4C/GDF1/IL11/WNT3A/SFRP2/GDF10/WNT9A/SEMA6A/SEMA4D/FBN3/EGF/LAMA5/STC1/ADCYAP1/WNT7B/HMGB2/NECTIN2/FBN2/WNT4/SEMA4F/FGF1/FGF18/GPNMB/FNDC5/F2RL2/GDF15/PTN/CRH/ANGPT1/AMH/SEMA4A/SPX/IGFBP7/SPP1/FGF17/CMTM3/PLAU/WNT2B/DLL1/AMBN/MICA/ULBP2/ADM/OSTN/CTF1/GREM1/INHBB/CARTPT,71
GO:0030546,signaling receptor activator activity,73/2265,247/13110,0.29554655870445345,1.7106469689251147,5.152705918099802,1.1016013443535505e-6,1.9002623190098747e-4,1.7818884903403047e-4,FAM3C/FN1/VGF/GAL/SEMA6D/APLN/STC2/GPI/SRC/HBEGF/EFEMP1/FBN1/PDYN/MDK/BMP7/UTS2/VEGFA/BDNF/CD320/PNOC/GREM2/ADM2/FLRT2/ADA2/SEMA4C/GDF1/IL11/WNT3A/SFRP2/GDF10/WNT9A/SEMA6A/SEMA4D/FBN3/EGF/LAMA5/STC1/ADCYAP1/WNT7B/HMGB2/NECTIN2/FBN2/WNT4/SEMA4F/FGF1/FGF18/GPNMB/FNDC5/F2RL2/GDF15/PTN/CRH/ANGPT1/AMH/SEMA4A/SPX/IGFBP7/SPP1/FGF17/LYN/CMTM3/PLAU/WNT2B/DLL1/AMBN/MICA/ULBP2/ADM/OSTN/CTF1/GREM1/INHBB/CARTPT,73
GO:0030545,signaling receptor regulator activity,78/2265,272/13110,0.2867647058823529,1.6598169068952082,5.025315265579911,1.7600836623558696e-6,2.569417778426421e-4,2.409359971227216e-4,FAM3C/FN1/VGF/GAL/SEMA6D/APLN/STC2/GPI/SRC/LY6E/HBEGF/EFEMP1/FBN1/PDYN/MDK/BMP7/UTS2/VEGFA/PDE4D/BDNF/CD320/PNOC/GREM2/ADM2/FLRT2/ADA2/SEMA4C/GDF1/IL11/WNT3A/SFRP2/GDF10/WNT9A/SEMA6A/SEMA4D/FBN3/EGF/LAMA5/STC1/ADCYAP1/WNT7B/HMGB2/NECTIN2/FBN2/WNT4/SEMA4F/FGF1/FGF18/GPNMB/FNDC5/F2RL2/GDF15/PTN/CRH/ANGPT1/AMH/SEMA4A/SPX/IGFBP7/SPP1/FGF17/LYN/CMTM3/PLAU/WNT2B/PRRT1/DLL1/AMBN/MICA/DKK2/MRAP2/ULBP2/ADM/OSTN/CTF1/GREM1/INHBB/CARTPT,78
GO:0004888,transmembrane signaling receptor activity,119/2265,462/13110,0.25757575757575757,1.4908689544451132,4.908849661295522,1.986023403614625e-6,2.569417778426421e-4,2.409359971227216e-4,PLXNA1/APLNR/SCARB2/GFRA2/DDR1/EFNB3/GAL/TYRO3/IGF2R/GRIA1/GABRG3/EDNRB/TNFRSF10D/EPHA2/CNR1/GPR153/ACVR2B/TMEM63C/GPR37/M6PR/PTPRU/ANTXR2/SPHK2/ADGRL1/TGFBR1/SSTR2/IL17RD/EFEMP1/KDR/ACVR1B/PDGFRB/UNC5B/LANCL1/PTPRO/AGTRAP/EPHA5/OPN3/ADRA2A/GABRB3/PTCH1/IL4R/GPR158/GRIK1/CD44/OSMR/TNFRSF1A/VLDLR/GRM5/ROBO1/GRIN3A/KREMEN1/NRP1/ACKR3/CRIM1/GPR101/SEMA4D/IL1R1/AXL/SIGMAR1/GRIK3/RORB/DCC/TNFRSF10B/PTPRH/GPR50/TAPT1/CHRM3/GRIN1/F2RL2/DDR2/S1PR3/ICAM1/UNC5A/ACVR1/LGR5/CHRNA3/FAS/EFNA3/MCHR1/LRP5/ABCC9/GRIA3/IL6R/ERBB2/GABRB1/GPR22/PLXND1/CHRNB1/EPHB3/ABCA1/CXCR4/FGFR4/TNFRSF19/TACR1/PTH1R/NPR3/GALR1/CHRM2/S1PR2/BMPR1B/EPHB4/GPR88/TAS2R4/HTR5A/FZD7/IL17RA/S1PR1/FGFR3/AVPR1A/NPY1R/FZD2/P2RX6/HCRTR1/GPR21/SPHK1/FZD10/NFAM1/TGFBR2/ADGRD1,119
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",81/2265,288/13110,0.28125,1.6278973509933774,4.923921439156925,2.5921252265139355e-6,2.9809440104910256e-4,2.795250829059473e-4,ONECUT3/MEIS3/EPAS1/ETV4/BCL11B/MYT1L/PRDM2/FOXO3/TFDP2/SIX3/SOX9/MEIS2/JUND/SOX3/HSF1/CEBPB/FOXJ1/USF3/CEBPG/DDIT3/SOX21/NR4A3/NR4A1/GSX1/SOX11/TFAP2A/BACH1/TFDP1/ELK3/NFE2L2/EBF2/RORB/PTF1A/NFYC/MAFF/CSRNP1/MEF2C/ZNF300/ATF3/NR1H2/EN2/ZBTB7B/NHLH1/NFIB/MEIS1/ZNF76/TCF4/GLIS3/SOX4/NFATC3/ETS1/STAT6/PRDM16/E2F2/NFIA/IRF1/NEUROD1/CREB3L1/PLAGL2/SIX2/NEUROD2/AR/IRF5/POU3F2/POU4F1/ZFAT/MYCN/MYBL2/MAFB/PRDM12/KLF10/PAX5/TCF3/NHLH2/IRX4/STAT5A/FOXA1/BARHL2/IRX3/OTX1/MSX1,81
GO:0001216,DNA-binding transcription activator activity,82/2265,294/13110,0.2789115646258503,1.6143623012118755,4.86884648044434,3.219581942682216e-6,3.3322673106760933e-4,3.124689001213688e-4,ONECUT3/MEIS3/EPAS1/ETV4/BCL11B/MYT1L/PRDM2/FOXO3/TFDP2/SIX3/SOX9/MEIS2/JUND/SOX3/HSF1/CEBPB/FOXJ1/USF3/CEBPG/DDIT3/SOX21/NR4A3/NR4A1/GSX1/SOX11/TFAP2A/BACH1/TFDP1/ELK3/NFE2L2/EBF2/RORB/PTF1A/NFYC/MAFF/CSRNP1/MEF2C/ZNF300/ATF3/E2F1/NR1H2/EN2/ZBTB7B/NHLH1/NFIB/MEIS1/ZNF76/TCF4/GLIS3/SOX4/NFATC3/ETS1/STAT6/PRDM16/E2F2/NFIA/IRF1/NEUROD1/CREB3L1/PLAGL2/SIX2/NEUROD2/AR/IRF5/POU3F2/POU4F1/ZFAT/MYCN/MYBL2/MAFB/PRDM12/KLF10/PAX5/TCF3/NHLH2/IRX4/STAT5A/FOXA1/BARHL2/IRX3/OTX1/MSX1,82
