ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0001216,DNA-binding transcription activator activity,47/1042,294/13110,0.1598639455782313,2.0113400446550984,5.153420847925835,2.882173694014104e-6,0.0015761347853811595,0.0015010807479820568,BCL11B/MYT1L/PRDM2/FOXO3/TFDP2/SIX3/SOX9/MEIS2/SOX3/USF3/SOX21/GSX1/SOX11/TFAP2A/TFDP1/EBF2/RORB/PTF1A/NFYC/MEF2C/ZNF300/E2F1/NHLH1/NFIB/MEIS1/ZNF76/TCF4/SOX4/PRDM16/E2F2/NFIA/NEUROD1/SIX2/NEUROD2/POU3F2/POU4F1/ZFAT/MYCN/MYBL2/MAFB/PRDM12/TCF3/NHLH2/IRX4/BARHL2/IRX3/OTX1,47
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",46/1042,288/13110,0.1597222222222222,2.0095569417786305,5.090379572654594,3.760401394411557e-6,0.0015761347853811595,0.0015010807479820568,BCL11B/MYT1L/PRDM2/FOXO3/TFDP2/SIX3/SOX9/MEIS2/SOX3/USF3/SOX21/GSX1/SOX11/TFAP2A/TFDP1/EBF2/RORB/PTF1A/NFYC/MEF2C/ZNF300/NHLH1/NFIB/MEIS1/ZNF76/TCF4/SOX4/PRDM16/E2F2/NFIA/NEUROD1/SIX2/NEUROD2/POU3F2/POU4F1/ZFAT/MYCN/MYBL2/MAFB/PRDM12/TCF3/NHLH2/IRX4/BARHL2/IRX3/OTX1,46
GO:0008017,microtubule binding,42/1042,257/13110,0.16342412451361868,2.0561326990149142,5.0243951464966505,5.491758834080695e-6,0.0015761347853811595,0.0015010807479820568,RAB11A/MAP4K4/KIF21B/PRNP/KIF3B/KIF5A/MTUS2/SKA2/KIF4A/MAP1LC3A/KIF13A/KIF26B/VASH2/NDC80/GAS2L3/NUF2/TPGS1/KIF22/SPAG5/EML6/CENPE/PLK1/RACGAP1/BCL2L11/PSRC1/EML5/KLC3/GTSE1/DLGAP5/NUSAP1/KIF15/KNL1/PRC1/SKA3/KIF2C/KIF11/BIRC5/KIF18B/SPC24/CENPF/KIFC1/KIF23,42
GO:0004712,protein serine/threonine/tyrosine kinase activity,13/1042,40/13110,0.325,4.0890115163147795,5.749270199699717,7.411123468515448e-6,0.00159524432659795,0.001519280311045667,RPS6KA2/MAPK9/ACVR2B/CLK3/SGK1/CLK2/MAPKAPK3/PBK/RPS6KA1/AURKA/TTK/PRKCG/AURKB,13
GO:0120543,macromolecular conformation isomerase activity,39/1042,248/13110,0.15725806451612903,1.9785539595071513,4.571485607522463,2.911960674882388e-5,0.005014396282147472,0.004775615506807117,SMARCA2/ATRX/CHD3/DHX38/DDX5/WRNIP1/DDX24/KIF21B/KIF3B/KIF5A/MCM4/KIF4A/FIGN/YTHDC2/KIF13A/MCM6/KIF26B/MYO10/DDX19A/DDX10/KIF22/FIGNL1/CENPE/MCM8/DDX11/MCM7/KIF15/RAD54L/PIF1/CHTF18/KIF2C/KIF11/KIF18B/KIFC1/KIF23/TOP2A/ZGRF1/FANCM/BLM,39
GO:0003777,microtubule motor activity,14/1042,58/13110,0.2413793103448276,3.036931630154213,4.568282018165189,1.3540402633985436e-4,0.016917700917135303,0.016112096111557433,KIF21B/KIF3B/KIF5A/KIF4A/KIF13A/KIF26B/KIF22/CENPE/KIF15/KIF2C/KIF11/KIF18B/KIFC1/KIF23,14
GO:0046974,histone H3K9 methyltransferase activity,6/1042,12/13110,0.5,6.290786948176583,5.38777429520779,1.511283605746287e-4,0.016917700917135303,0.016112096111557433,ASH1L/PRDM2/EHMT2/PRDM16/SUV39H2/PRDM8,6
GO:0004930,G protein-coupled receptor activity,33/1042,214/13110,0.1542056074766355,1.9401492456993201,4.074526688776224,1.7098228555594084e-4,0.016917700917135303,0.016112096111557433,APLNR/GAL/EDNRB/CNR1/ADGRL1/SSTR2/LANCL1/OPN3/ADRA2A/GRM5/ACKR3/GPR101/GRIK3/RORB/TAPT1/CHRM3/LGR5/GABRB1/GPR22/CXCR4/TACR1/GALR1/CHRM2/GPR88/TAS2R4/HTR5A/FZD7/S1PR1/AVPR1A/NPY1R/HCRTR1/GPR21/FZD10,33
GO:0015631,tubulin binding,48/1042,355/13110,0.1352112676056338,1.7011705549998648,3.9354881181515418,1.8877054483810505e-4,0.016917700917135303,0.016112096111557433,ARL4C/TAOK1/RAB11A/BLOC1S2/STMN2/MAP4K4/KIF21B/PRNP/TBCD/KIF3B/KIF5A/ADNP/MTUS2/SKA2/KIF4A/MAP1LC3A/KIF13A/KIF26B/VASH2/NDC80/GAS2L3/NUF2/TPGS1/KIF22/SPAG5/EML6/CENPE/PLK1/RACGAP1/BCL2L11/PSRC1/EML5/KLC3/GTSE1/DLGAP5/NUSAP1/KIF15/KNL1/PRC1/SKA3/KIF2C/KIF11/BIRC5/KIF18B/SPC24/CENPF/KIFC1/KIF23,48
GO:0070888,E-box binding,11/1042,40/13110,0.275,3.4599328214971212,4.578428532623006,2.0408190066274298e-4,0.016917700917135303,0.016112096111557433,PTF1A/MAX/BHLHE22/NEUROG2/TCF4/NEUROD4/NEUROD1/NEUROD2/TCF3/OLIG2/ASCL1,11
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",33/1042,217/13110,0.15207373271889402,1.9133269058970255,3.986393057945262,2.2303491603106157e-4,0.016917700917135303,0.016112096111557433,MYT1L/PRDM2/FOXO3/DEAF1/NR2F2/NR2F1/HIC2/BCL11A/BACH2/TFAP2A/SALL1/MXD1/MAX/ZBTB46/DACH1/ZNF536/MXD3/ZBTB1/ZBTB18/SOX13/ZC3H8/SCRT1/SATB1/PRDM16/ZNF892/HES5/TCF7L2/IRX1/POU4F1/PRDM12/TCF3/IRX3/ASCL1,33
GO:0003697,single-stranded DNA binding,21/1042,115/13110,0.1826086956521739,2.2975047984644914,4.106489733152616,2.5581096858419796e-4,0.016917700917135303,0.016112096111557433,NUCKS1/CRY2/RTF1/HNRNPDL/MCM4/HNRNPA2B1/SSBP3/MCM6/HMGB2/SMC2/SMC4/MCM8/RPA3/DDX11/MCM7/RAD54L/CDC45/POU4F1/RAD51AP1/MCM10/BLM,21
GO:0004672,protein kinase activity,61/1042,489/13110,0.12474437627811862,1.5694805882976344,3.771268569829627,2.6858481453365503e-4,0.016917700917135303,0.016112096111557433,PRKCB/TAOK1/UHMK1/RPS6KA2/MAPK9/GRK2/PPP1R9B/DDR1/CHKA/MAPKAPK2/ACVR2B/TNIK/MAP4K4/SRC/MAST3/CAMK4/AATK/HIPK3/ACVR1B/TAOK3/PTK2/PRKX/EPHA5/HIPK2/PAK2/CDK11B/PDK3/CDK11A/CAMK2A/NRP1/RASSF2/PDIK1L/CLK3/SGK1/PAN3/CLK2/MAPKAPK3/PLK1/IKBKB/CDK10/PBK/CDK1/RPS6KA1/PNCK/ADCK1/BUB1B/MELK/FGFR4/BUB1/PKN3/BMPR1B/PLK4/AURKA/NEK2/FGFR3/TTK/PRKCG/AURKB/SGK2/HASPIN/STK17B,61
GO:0016887,ATP hydrolysis activity,47/1042,351/13110,0.1339031339031339,1.6847121741555522,3.820799776008311,2.750845677582976e-4,0.016917700917135303,0.016112096111557433,VCP/SMARCA2/VPS4B/ATRX/CHD3/ATP9A/DHX38/DDX5/WRNIP1/DDX24/KIF21B/KIF3B/KIF5A/ABCF2/MCM4/FIGN/YTHDC2/ATP6V1G2/KIF13A/CHD5/TOR3A/MCM6/ATP10B/DDX19A/ATP2B2/DDX10/KIF22/FIGNL1/SMC2/SMC4/MCM8/DDX11/MCM7/KIF15/ATAD2/RAD54L/HSPA14/PIF1/CHTF18/KIF2C/TRIP13/NLRP1/KIF18B/KIFC1/KIF23/FANCM/BLM,47
GO:0004674,protein serine/threonine kinase activity,50/1042,387/13110,0.12919896640826872,1.6255263431980833,3.670348592991976,4.1911977359854874e-4,0.022153617210164796,0.021098683057299807,PRKCB/TAOK1/UHMK1/RPS6KA2/MAPK9/GRK2/MAPKAPK2/ACVR2B/TNIK/MAP4K4/MAST3/CAMK4/AATK/HIPK3/ACVR1B/TAOK3/PRKX/HIPK2/PAK2/CDK11B/PDK3/CDK11A/CAMK2A/PDIK1L/CLK3/SGK1/CLK2/MAPKAPK3/PLK1/IKBKB/CDK10/PBK/CDK1/RPS6KA1/PNCK/ADCK1/BUB1B/MELK/BUB1/PKN3/BMPR1B/PLK4/AURKA/NEK2/TTK/PRKCG/AURKB/SGK2/HASPIN/STK17B,50
GO:0106310,protein serine kinase activity,44/1042,329/13110,0.1337386018237082,1.682642101639937,3.684763271144872,4.372349449553731e-4,0.022153617210164796,0.021098683057299807,PRKCB/TAOK1/UHMK1/RPS6KA2/MAPK9/MAPKAPK2/TNIK/MAP4K4/MAST3/CAMK4/AATK/HIPK3/TAOK3/PRKX/HIPK2/PAK2/CDK11B/CDK11A/CAMK2A/PDIK1L/CLK3/SGK1/CLK2/MAPKAPK3/PLK1/IKBKB/CDK10/PBK/CDK1/RPS6KA1/PNCK/BUB1B/MELK/BUB1/PKN3/PLK4/AURKA/NEK2/TTK/PRKCG/AURKB/SGK2/HASPIN/STK17B,44
GO:0001217,DNA-binding transcription repressor activity,33/1042,225/13110,0.14666666666666667,1.8452975047984645,3.758024655488162,4.374117219196301e-4,0.022153617210164796,0.021098683057299807,MYT1L/PRDM2/FOXO3/DEAF1/NR2F2/NR2F1/HIC2/BCL11A/BACH2/TFAP2A/SALL1/MXD1/MAX/ZBTB46/DACH1/ZNF536/MXD3/ZBTB1/ZBTB18/SOX13/ZC3H8/SCRT1/SATB1/PRDM16/ZNF892/HES5/TCF7L2/IRX1/POU4F1/PRDM12/TCF3/IRX3/ASCL1,33
