ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_COAGULATION,HALLMARK_COAGULATION,80,0.7856955092731324,1.9818017323143815,3.512516545970392e-6,1.0902469069267881e-4,7.115295603101144e-5,986,"tags=31%, list=7%, signal=29%",2335/5054/7980/1465/8754/824/5045/301/6678/4313/2200/9948/3920/2783/5654/1508/7057/5327/3690/4323/23764/1848/22921/1397/2151
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,177,0.6644558237564142,1.876549957450366,4.360987627707153e-6,1.0902469069267881e-4,7.115295603101144e-5,946,"tags=34%, list=7%, signal=33%",1284/2335/7171/5054/7980/800/1289/1282/3915/3678/59/56937/2316/10979/1290/813/7168/2006/7045/3486/6678/79709/8985/7169/4907/871/4313/2200/11167/8038/1490/2199/6876/5159/5351/7422/4017/51330/627/11010/1301/960/5654/4232/1277/1278/5768/7057/7128/3491/30008/50509/3690/2201/1647/4323/6535/1314/25878/388/4060
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,70,0.7739531650059777,1.8912321747438008,1.970062429573771e-5,3.283437382622952e-4,2.1428749233960316e-4,743,"tags=13%, list=5%, signal=12%",3959/7453/4061/10410/55603/3566/567/8519/5610
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,133,0.664268205747976,1.7989247125963903,8.918648527654307e-5,0.0011148310659567884,7.275739588349567e-4,892,"tags=18%, list=6%, signal=17%",1284/2335/2771/5054/7980/1465/8754/6047/1847/10938/1051/308/3920/2783/4199/1508/7128/5327/4323/2773/23764/9097/1848/948
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,199,-0.6168521537653106,-1.7553714113540608,1.9252958932362155e-4,0.0018645795293302952,0.0012168834822997715,3133,"tags=54%, list=22%, signal=43%",51155/7913/3838/5036/55723/54556/84312/1019/23649/6117/4171/991/23468/3070/6426/9232/10714/4436/672/29893/197335/5902/10535/79019/7083/1031/7398/1033/6434/9133/2547/7153/9212/253714/83461/10635/147841/1163/11051/5426/146909/6941/10248/332/6790/4288/9319/4605/6427/10733/4085/3161/11004/7112/8914/8726/79077/994/1164/29028/5411/10664/9833/4176/7514/9787/7283/55143/6119/9126/701/1434/10051/57405/983/11113/10460/4001/11168/4683/9918/83463/29127/2146/5347/1062/10615/3835/203068/51747/23594/3609/6241/10492/3148/3978/3149/4175/4678/23047/5885/3184/24137/3925/10528/4173/27338/7884
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,137,0.635065889591865,1.7208461911051645,2.610411341062413e-4,0.0018645795293302952,0.0012168834822997715,1393,"tags=15%, list=10%, signal=14%",3959/7453/6892/8082/4061/10410/5770/3566/6774/567/7128/3105/5610/57674/9961/26524/3383/3106/3091/355/11054
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,198,-0.6005724387529222,-1.706445195300909,2.332542516763999e-4,0.0018645795293302952,0.0012168834822997715,2427,"tags=47%, list=17%, signal=39%",1031/9252/1033/9156/6434/6632/1736/9133/7153/9212/9493/1063/7272/1163/6491/5426/22974/4751/332/6790/3832/4288/7290/3619/4605/990/6427/3312/10733/4085/3161/11004/7112/4926/11065/9055/8318/994/1164/26271/6713/51659/8438/3151/57082/699/10664/56992/7514/51203/1870/10024/10051/983/10036/10592/55872/10460/4001/4211/29127/2146/5347/1062/3192/3835/1869/23594/3609/10492/10403/10772/3149/4175/1841/4082/4678/7027/6421/23047/5885/3184/24137/3925/1112/27338/1756/4691/4212/9462/2130/91746/546
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,0.6216546365611183,1.6338327375376953,0.002781708383501342,0.017029210624543913,0.011113800618123396,1498,"tags=31%, list=11%, signal=28%",6464/8140/6734/7494/8614/9114/1051/5611/1981/7422/30001/1054/3376/22872/7466/1978/9695/4189/9451/6509/23478/467/55033/58477/5832/1973/79094/440/2081/9709/11260/27230/9531/10130/3309
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,138,0.5766803985153304,1.5653327636061631,0.0030652579124179043,0.017029210624543913,0.011113800618123396,2003,"tags=32%, list=14%, signal=28%",1611/8682/3482/8878/301/7832/4313/5611/5159/10410/1649/51330/4170/960/4000/4739/5327/2878/9638/10134/1647/467/388/4060/5526/857/3315/5914/3875/355/2064/5366/5538/4616/3659/2026/3005/5534/2643/5664/3459/7078/3162/599
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,161,0.549679436138518,1.5252638292863128,0.00504051223407359,0.02520256117036795,0.01644798729013487,1218,"tags=20%, list=9%, signal=18%",6464/5818/2771/87/7791/8754/7414/4771/7045/51474/4313/2200/6624/4192/51148/1265/5097/7410/3757/81/55742/26119/5819/4478/10174/24146/947/9019/11096/6237/10398/3383
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,52,0.6732537891704172,1.599168052502038,0.009853947589997287,0.04479067086362404,0.029231806247838842,1005,"tags=27%, list=7%, signal=25%",5054/9612/5045/56937/6497/7046/11031/387/3399/7057/4091/3397/23645/4053
