category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,60/1151,172/6129,0.3488372093023256,1.8575354090477443,5.484942501200647,2.94025817213836e-7,1.0085085530434575e-4,8.975524946527626e-5,COL4A2/FN1/VCAN/TPM4/ZYX/CSRP1/COL5A1/COL4A1/VCL/ITGA5/SDC2/COL5A2/TPM1/ELN/SSPN/PDLIM5/TPM2/DMD/FBN1/CAPZA1/FHL2/FBLN2/COL9A3/ATP1A2/COL4A6/COL11A1/TMOD3/HSPG2/COL1A1/COL1A2/LMNA/THBS1/COL4A5/SUN2/FBN3/TLN1/NID1/COL5A3/TMOD1/ITGB3/FBN2/PDLIM2/ITGB5/ITGA7/DSG2/PDLIM7/SNTB1/LMNB1/MYL9/SNTA1/PDLIM1/LAMA2/ITGA1/INF2/COL11A2/ANKRD1/SGCD/COL6A3/CAPN3/COL3A1,60
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,46/1151,122/6129,0.3770491803278688,2.007762316446141,5.406034438291434,5.966595686904224e-7,1.0232711603040743e-4,9.106909206327499e-5,COL4A2/FN1/ACTN1/PIK3R3/COL4A1/LAMC1/VCL/ITGA5/FLNA/FERMT2/SRC/NCK2/FBN1/KDR/PDGFRB/CCND3/COL9A3/VEGFA/PTK2/RAC3/COL2A1/COL4A6/LIMS1/COL1A1/COL1A2/THBS1/COL4A5/PARVA/EGF/LAMA5/TLN1/ITGB3/ITGB5/LAMB2/ITGA7/FREM2/ICAM1/VCAM1/VTN/LAMA2/NPNT/PARVG/ITGA1/ERBB2/SPP1/COL6A3,46
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,27/1151,60/6129,0.45,2.39622067767159,5.225654782420015,2.698346998998817e-6,3.085110068855314e-4,2.745686420033884e-4,COL4A2/COL5A1/COL4A1/COL5A2/SLC3A2/ELN/SLC1A1/SLC1A5/SLC7A8/SLC36A1/COL9A3/COL25A1/ATP1A2/COL2A1/COL4A6/COL11A1/COL18A1/COL1A1/COL1A2/COL4A5/COL5A3/COL8A1/COL12A1/COL11A2/COL7A1/COL6A3/COL3A1,27
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,27/1151,62/6129,0.43548387096774194,2.3189232364563774,5.018777714608301,5.816686927916897e-6,4.28056901520528e-4,3.809621035475008e-4,PRKCB/COL4A2/FN1/ACTN1/RAB5B/PIK3R3/COL4A1/LAMC1/VCL/GNAQ/ADCY1/GNA11/PLCB1/GNAL/PTK2/COL4A6/SERPINB6/COL1A1/COL1A2/COL4A5/IL1R1/LAMA5/LAMB2/HSPB1/LAMA2/PRKCG/COL3A1,27
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,29/1151,69/6129,0.42028985507246375,2.2380160918671854,4.972606771081413,6.239896523622858e-6,4.28056901520528e-4,3.809621035475008e-4,COL4A2/FN1/SV2C/COL4A1/LAMC1/ITGA5/COL9A3/COL2A1/COL4A6/HSPG2/CD44/COL1A1/COL1A2/THBS1/COL4A5/LAMA5/ITGB3/ITGB5/LAMB2/ITGA7/CD36/FREM2/VTN/LAMA2/NPNT/ITGA1/SPP1/COL6A3/HMMR,29
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,56/1151,177/6129,0.3163841807909605,1.684725146887747,4.444685576320485,2.1859937723051303e-5,0.0012496597731677661,0.001112172270120154,PRKCB/SHC1/COL4A2/FN1/ACTN1/MAPK9/PIK3R3/ZYX/CAPN2/COL4A1/LAMC1/VCL/ITGA5/FLNA/RAPGEF1/SRC/BCAR1/KDR/PDGFRB/XIAP/CCND3/COL9A3/VEGFA/MYL12A/PTK2/HRAS/RAC3/PAK2/COL2A1/BAD/COL4A6/SHC4/COL1A1/COL1A2/THBS1/ROCK2/COL4A5/PARVA/EGF/LAMA5/TLN1/ITGB3/ITGB5/LAMB2/ITGA7/MYLK3/CAV1/MYL9/VTN/LAMA2/PARVG/ITGA1/ERBB2/SPP1/COL6A3/PRKCG,56
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,50/1151,171/6129,0.29239766081871343,1.5569984910146781,3.5519874149446453,5.120698295294966e-4,0.025070250178518643,0.02231202256182417,PRKCB/FN1/PIK3R3/ITGA5/SDC2/FLNA/DDX5/CBL/SRC/HBEGF/MMP2/MDM2/KRAS/KDR/IQGAP1/VEGFA/PTK2/HRAS/PDCD4/PTCH1/HSPG2/CD44/COL1A1/COL1A2/WNT3A/CAMK2A/THBS1/ROCK2/WNT9A/WNT7B/ITGB3/WNT4/MSN/ITGB5/LUM/CAV1/PLCE1/ITPR1/RRAS/VTN/FAS/ERBB2/PLAU/WNT2B/TIMP3/FZD7/PLAUR/PRKCG/FZD2/FZD10,50
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,25/1151,70/6129,0.35714285714285715,1.9017624425965,3.6484658134217827,5.847288671374611e-4,0.025070250178518643,0.02231202256182417,SESN3/SERPINE1/SHISA5/CCNG1/IGFBP3/EI24/SESN2/MDM2/PERP/CCND3/ZNF385A/THBS1/RRM2B/TNFRSF10B/GADD45A/RRM2/CDK6/CDK1/FAS/PMAIP1/GTSE1/GADD45B/TP53I3/CCNE2/CCNB2,25
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,45/1151,153/6129,0.29411764705882354,1.5661573056677058,3.4099430889962092,8.36995881905122e-4,0.030542494438544666,0.027182210793855924,PRKCB/SHC1/PIK3R3/ITGA5/CYP1B1/DNMT3A/TPM1/CCNG1/FSCN1/MDM2/KRAS/PDGFRB/VEGFA/HRAS/IRS2/PDCD4/MMP16/SPRY2/MCL1/CD44/SHC4/WNT3A/THBS1/BAK1/ITGB3/CDK6/E2F1/NOTCH3/EZH2/IKBKB/BCL2L11/SOX4/EFNA3/ERBB2/E2F2/PLAU/CDC25C/CDC25B/TIMP3/HMOX1/CDCA5/CCNE2/FGFR3/KIF23/PRKCG,45
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,68/1151,254/6129,0.2677165354330709,1.425573106576274,3.3308624026038176,8.904517329021769e-4,0.030542494438544666,0.027182210793855924,PRKCB/TAOK1/RPS6KA2/MAPK9/MAP2K4/MKNK2/MAP3K10/DUSP8/FLNA/IRAK1/EPHA2/DUSP1/MAPKAPK2/MAP4K4/JUND/TGFBR1/DUSP5/KRAS/KDR/PDGFRB/MAP3K9/TAOK3/VEGFA/HRAS/RAC3/DDIT3/BDNF/PAK2/NR4A1/TNFRSF1A/CACNA1H/HSPA6/CACNA2D3/EGF/IL1R1/GADD45A/MAP3K6/FGF1/DUSP6/MAX/FGF18/MEF2C/RASGRF2/DUSP7/MAP2K7/MAPKAPK3/IKBKB/PPP3CC/HSPB1/RRAS/RPS6KA1/ANGPT1/FAS/EFNA3/NFATC3/DUSP9/MAP3K20/ERBB2/FGF17/MAP3K3/GADD45B/FGFR4/CDC25B/FGFR3/RELB/PRKCG/DUSP10/TGFBR2,68
