category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,50/665,172/6129,0.29069767441860467,2.6792271376114707,7.7924625397927025,2.0720558103309866e-11,6.817063615988946e-9,6.2379785447859174e-9,COL4A2/FN1/TPM4/ZYX/CSRP1/COL5A1/COL4A1/VCL/ITGA5/SDC2/COL5A2/TPM1/ELN/SSPN/PDLIM5/TPM2/FBN1/FHL2/FBLN2/COL9A3/ATP1A2/COL4A6/COL11A1/TMOD3/HSPG2/COL1A1/COL1A2/LMNA/THBS1/COL4A5/SUN2/TLN1/NID1/COL5A3/TMOD1/ITGB3/FBN2/PDLIM2/ITGA7/DSG2/PDLIM7/SNTB1/MYL9/SNTA1/PDLIM1/LAMA2/ITGA1/INF2/ANKRD1/COL3A1,50
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,39/665,122/6129,0.319672131147541,2.946271416245532,7.5747684124269234,1.6226232347142884e-10,2.6692152211050045e-8,2.4424749743594026e-8,COL4A2/FN1/ACTN1/COL4A1/LAMC1/VCL/ITGA5/FLNA/FERMT2/NCK2/FBN1/KDR/PDGFRB/CCND3/COL9A3/VEGFA/COL2A1/COL4A6/LIMS1/COL1A1/COL1A2/THBS1/COL4A5/PARVA/EGF/LAMA5/TLN1/ITGB3/LAMB2/ITGA7/FREM2/ICAM1/VTN/LAMA2/NPNT/PARVG/ITGA1/ERBB2/SPP1,39
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,26/665,69/6129,0.37681159420289856,3.4728996404053616,7.2062542425767635,3.906793140026976e-9,4.284449810229584e-7,3.920501186132334e-7,COL4A2/FN1/SV2C/COL4A1/LAMC1/ITGA5/COL9A3/COL2A1/COL4A6/HSPG2/CD44/COL1A1/COL1A2/THBS1/COL4A5/LAMA5/ITGB3/LAMB2/ITGA7/CD36/FREM2/VTN/LAMA2/NPNT/ITGA1/SPP1,26
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,44/665,177/6129,0.24858757062146894,2.2911176245698996,6.08045161720878,6.786557123324812e-8,5.581943233934658e-6,5.107777203344464e-6,SHC1/COL4A2/FN1/ACTN1/ZYX/CAPN2/COL4A1/LAMC1/VCL/ITGA5/FLNA/RAPGEF1/BCAR1/KDR/PDGFRB/CCND3/COL9A3/VEGFA/MYL12A/COL2A1/BAD/COL4A6/SHC4/COL1A1/COL1A2/THBS1/ROCK2/COL4A5/PARVA/EGF/LAMA5/TLN1/ITGB3/LAMB2/ITGA7/MYLK3/CAV1/MYL9/VTN/LAMA2/PARVG/ITGA1/ERBB2/SPP1,44
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,22/665,60/6129,0.36666666666666664,3.379398496240601,6.460990386678827,1.1098128077860457e-7,7.302568275232181e-6,6.682241326880191e-6,COL4A2/COL5A1/COL4A1/COL5A2/SLC3A2/ELN/SLC1A5/SLC7A8/SLC36A1/COL9A3/ATP1A2/COL2A1/COL4A6/COL11A1/COL18A1/COL1A1/COL1A2/COL4A5/COL5A3/COL8A1/COL12A1/COL3A1,22
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,19/665,62/6129,0.3064516129032258,2.8244239631336407,5.03673928040703,1.7178538682177844e-5,9.419565377394185e-4,8.619407128250637e-4,COL4A2/FN1/ACTN1/COL4A1/LAMC1/VCL/GNA11/GNAL/COL4A6/SERPINB6/COL1A1/COL1A2/COL4A5/IL1R1/LAMA5/LAMB2/HSPB1/LAMA2/COL3A1,19
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,19/665,70/6129,0.2714285714285714,2.5016326530612245,4.407853003058271,1.1014347925034852e-4,0.005176743524766381,0.004736997754225515,SERPINE1/SHISA5/CCNG1/IGFBP3/EI24/SESN2/MDM2/PERP/CCND3/ZNF385A/THBS1/RRM2B/TNFRSF10B/GADD45A/CDK6/FAS/PMAIP1/GADD45B/TP53I3,19
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,35/665,171/6129,0.2046783625730994,1.886426592797784,4.101147958869001,1.3465746995205944e-4,0.005537788451778445,0.0050673732113538155,FN1/ITGA5/SDC2/FLNA/CBL/HBEGF/MMP2/MDM2/KRAS/KDR/IQGAP1/VEGFA/HSPG2/CD44/COL1A1/COL1A2/WNT3A/THBS1/ROCK2/WNT9A/ITGB3/WNT4/MSN/LUM/CAV1/ITPR1/RRAS/VTN/FAS/ERBB2/PLAU/WNT2B/TIMP3/PLAUR/FZD2,35
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,22/665,94/6129,0.23404255319148937,2.1570628699408094,3.9436385431783068,3.4425396246196146e-4,0.011771317222065408,0.010771386099858284,TNFRSF10D/TNFRSF21/TGFBR1/BMP7/TNFRSF12A/IL4R/TNFRSF9/OSMR/TNFRSF1A/GDF1/IL11/GDF10/IL1R1/TNFRSF10B/GDF15/ACVR1/FAS/IL6R/TNFRSF19/IL17RA/CTF1/TGFBR2,22
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,47/665,264/6129,0.17803030303030304,1.6408236500341764,3.7129691613714546,3.577907970232647e-4,0.011771317222065408,0.010771386099858284,COL4A2/FN1/COL4A1/LAMC1/ITGA5/EPHA2/PPP2R1B/G6PC3/MDM2/KRAS/KDR/PDGFRB/CCND3/GNG11/COL9A3/VEGFA/BDNF/COL2A1/BAD/COL4A6/IL4R/NR4A1/MCL1/OSMR/COL1A1/COL1A2/THBS1/EIF4EBP1/COL4A5/EGF/LAMA5/ITGB3/LAMB2/ITGA7/FGF1/FGF18/CDK6/PCK2/VTN/LAMA2/EFNA3/ITGA1/IL6R/ERBB2/SPP1/CREB5/CREB3L1,47
