ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031012,extracellular matrix,68/1374,322/13287,0.2111801242236025,2.0421763541186366,6.42928695862332,6.223211383780542e-9,2.0861902486401683e-6,2.0014557213709136e-6,COL4A2/LGALS3BP/COL4A1/HTRA1/SPON1/SFRP2/LAMC1/TFPI2/MATN2/THBS2/LAMA5/CRISPLD2/FCGBP/PXDN/COL1A2/ADAM19/HSD17B12/COL4A5/GDF15/CCN3/CTSL/FIBCD1/PLOD3/EMID1/LMAN1/LAMA1/MMP14/COCH/ADAMTS12/ELN/SERPINE1/S100A6/ANXA4/MST1/RTBDN/COL18A1/LTBP1/HPX/ANGPTL2/SERPINB6/NTN1/TGFB3/F3/ANXA2/COLQ/ANXA5/FBN2/CTSZ/MMRN1/SRPX/COL4A4/EFNA5/COL1A1/A2M/TNFRSF11B/ADAMTS13/WNT5A/ADAMTS3/COL9A3/FREM1/COL2A1/COL16A1/OLFML2B/SEMA3B/F12/SERPINF1/RARRES2/HAPLN3,68
GO:0030312,external encapsulating structure,68/1374,323/13287,0.21052631578947367,2.035853826706504,6.40044462145335,7.107973589915395e-9,2.0861902486401683e-6,2.0014557213709136e-6,COL4A2/LGALS3BP/COL4A1/HTRA1/SPON1/SFRP2/LAMC1/TFPI2/MATN2/THBS2/LAMA5/CRISPLD2/FCGBP/PXDN/COL1A2/ADAM19/HSD17B12/COL4A5/GDF15/CCN3/CTSL/FIBCD1/PLOD3/EMID1/LMAN1/LAMA1/MMP14/COCH/ADAMTS12/ELN/SERPINE1/S100A6/ANXA4/MST1/RTBDN/COL18A1/LTBP1/HPX/ANGPTL2/SERPINB6/NTN1/TGFB3/F3/ANXA2/COLQ/ANXA5/FBN2/CTSZ/MMRN1/SRPX/COL4A4/EFNA5/COL1A1/A2M/TNFRSF11B/ADAMTS13/WNT5A/ADAMTS3/COL9A3/FREM1/COL2A1/COL16A1/OLFML2B/SEMA3B/F12/SERPINF1/RARRES2/HAPLN3,68
GO:0009897,external side of plasma membrane,39/1374,164/13287,0.23780487804878048,2.299645862179146,5.687354609103665,4.775411975581027e-7,9.343889432220209e-5,8.964369848897718e-5,HEG1/CAPN2/PRLR/LIFR/ITGB1/OSMR/CD276/TFRC/CLPTM1/ULBP3/ANTXR2/ADAM9/ABCG1/FCGRT/HYAL2/ANTXR1/CD9/LRRC24/ITGAV/RTBDN/F3/ANXA5/LRP2/NT5E/TMEM123/EFNA5/HLA-E/ITGAE/CLEC2D/HLA-DRB1/FAS/TRPM8/ERMAP/CD36/F10/PLAU/B4GALT1/CD274/ADA,39
GO:0005903,brush border,19/1374,68/13287,0.27941176470588236,2.701997174415618,4.778525515694523,3.9344618189196334e-5,0.005773822719264562,0.005539308087163168,SLC7A11/GNA13/ACTN1/MYO1B/DCXR/CLIC1/VCL/MYO1D/SLC22A5/MTTP/LRP2/SLC26A6/AQP1/TRPM6/CD36/SCART1/LCTL/B4GALT1/SLC3A1,19
GO:0098862,cluster of actin-based cell projections,27/1374,118/13287,0.2288135593220339,2.2126970616534676,4.493625233632044,5.5151887671943005e-5,0.006474831612686109,0.006211844190418844,SLC7A11/GNA13/CALB2/RHOC/ACTN1/RDX/MYO1B/DCXR/CLIC1/VCL/MYO1D/MKKS/SLC22A5/MTTP/LRP2/SLC26A6/AQP1/TRPM6/EPS8L2/DCDC2/CDH23/CD36/SCART1/LCTL/B4GALT1/LHFPL5/SLC3A1,27
GO:0098552,side of membrane,66/1374,407/13287,0.16216216216216217,1.568157677327983,3.9535576152176874,1.365180877522544e-4,0.013356019585095556,0.012813539815343179,GNAI2/HEG1/GFAP/CAPN2/CANX/RGS8/ALG9/TAPBP/PRLR/LIFR/ITGB1/OSMR/GNA13/GNAI1/EEF1A2/CD276/TFRC/BCAP31/CACNB4/CLPTM1/GPC2/ULBP3/ANTXR2/ADAM9/ABCG1/FCGRT/HLA-DPB1/HYAL2/S100A6/NTNG2/ANTXR1/LY6E/CD9/COA8/LRRC24/PTPN3/ITGAV/LITAF/RTBDN/EFNA3/CD55/F3/ANXA5/LRP2/NT5E/TMEM123/TRAF5/EFNA5/HLA-E/ITGAE/CLEC2D/CNTN6/HLA-DRA/HLA-DRB1/TRAF3IP2/FAS/JAK3/TRPM8/ERMAP/CD36/FRMD6/F10/PLAU/B4GALT1/CD274/ADA,66
GO:0045177,apical part of cell,56/1374,335/13287,0.16716417910447762,1.6165287101609853,3.88138935598976,1.9376174165215075e-4,0.014352513307155687,0.013769559077070372,CD44/SLC7A11/CLCN5/OSMR/GNA13/SLC36A1/PFKM/PROM1/SLC39A10/ACTN1/DSTYK/RDX/MYO1B/DCXR/CLIC1/CTSL/ADAM17/SLC29A1/SLC16A3/VCL/RAPGEF6/PARD3/NIN/HYAL2/KCNC2/CD9/MYO1D/SLC16A1/CLDN1/SLC22A5/MTTP/SLC4A5/LRP2/ACVR1/SLC9A2/MGAM/SLC4A2/C1QTNF5/SLC67A1/SLC26A6/PLPP1/MREG/SLC4A11/SLC26A2/AQP1/TRPM6/SLC5A2/KIAA1614/CD36/FRMD6/MYO5B/SCART1/LCTL/B4GALT1/LHFPL5/SLC3A1,56
GO:0031091,platelet alpha granule,17/1374,64/13287,0.265625,2.568674945414847,4.272065155078947,1.9560495137520528e-4,0.014352513307155687,0.013769559077070372,GAS6/THBS2/NHLRC2/CYB5R1/ACTN1/SERPINE1/TMX3/PCYOX1L/CD9/TGFB3/PHACTR2/MMRN1/IGF2/A2M/CD36/CFD/EGF,17
GO:0031983,vesicle lumen,41/1374,229/13287,0.17903930131004367,1.7313647718388285,3.7913455281064143,3.2132212793007964e-4,0.019339727156096807,0.018554207887585026,LGALS3BP/GAS6/EEF2/NHLRC2/CRISPLD2/GNS/CYFIP1/ADA2/SDCBP/ACTN1/FTL/MVP/CEP290/PSMD7/GSTP1/ROCK1/HEXB/VCL/PRDX4/SERPINE1/ARSB/ACAA1/PCYOX1L/TGFB3/ANXA2/FUCA1/CTSZ/HEBP2/MMRN1/C6orf120/QPCT/IGF2/A2M/EGFR/ARHGAP45/HSPA6/CFD/EGF/PYGL/RARRES2/ADA,41
GO:0005604,basement membrane,20/1374,85/13287,0.23529411764705882,2.275366041613152,4.005939326985771,3.3145564514410863e-4,0.019339727156096807,0.018554207887585026,COL4A2/COL4A1/LAMC1/MATN2/THBS2/LAMA5/PXDN/COL4A5/LAMA1/COL18A1/NTN1/ANXA2/COLQ/COL4A4/EFNA5/COL9A3/FREM1/COL2A1/COL16A1/SERPINF1,20
