ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019838,growth factor binding,32/1342,114/13110,0.2807017543859649,2.7421758569299555,6.308836539956182,7.174994274548007e-8,6.80189457227151e-5,6.276231833841468e-5,COL4A1/TGFBR1/HTRA1/SORT1/LIFR/OSMR/IGF2R/PXDN/COL1A2/NTRK3/EPHA2/RPS19/NRP1/ITGA6/HYAL2/ITGAV/LTBP1/TGFB3/LRP2/ACVR1/RHBDF2/EPHA8/FGFRL1/RHBDF1/COL1A1/A2M/EGFR/COL2A1/CD36/IGFBP3/WFIKKN2/S100A13,32
GO:0030246,carbohydrate binding,37/1342,157/13110,0.2356687898089172,2.3022487588635654,5.5432990100525465,9.194847541866661e-7,4.2631768340453544e-4,3.9337108028999443e-4,NECTIN1/GPCPD1/GALNT7/CANX/P4HA2/CDIPT/IGF2R/PFKM/GANAB/GALNT1/FBXO2/P4HA1/PLOD3/MAN2C1/GALNT18/HEXB/LMAN1/CEMIP2/P3H3/GALNT14/PHYH/MGAM/HK2/MAN2A1/CLEC2D/GALNT12/HLA-DRA/HLA-DRB1/CLEC18A/GANC/FREM1/PPP1R3B/PKD1L2/GALNT3/EVA1C/PYGL/LAYN,37
GO:0019199,transmembrane receptor protein kinase activity,21/1342,66/13110,0.3181818181818182,3.1083186560086706,5.798458246383407,1.3491065930523274e-6,4.2631768340453544e-4,3.9337108028999443e-4,TGFBR1/DDR1/IGF2R/EPHA4/NTRK3/EPHB1/EPHA2/RET/CRIM1/NRP1/EPHB3/LTBP1/MERTK/EFNA3/ACVR1/EPHA8/FGFRL1/ERBB4/EGFR/EPHB4/MET,21
GO:0004714,transmembrane receptor protein tyrosine kinase activity,18/1342,52/13110,0.34615384615384615,3.381577438954488,5.810824473613085,1.939401016772567e-6,4.5963804097509843e-4,4.24116380246843e-4,DDR1/IGF2R/EPHA4/NTRK3/EPHB1/EPHA2/RET/CRIM1/NRP1/EPHB3/MERTK/EFNA3/EPHA8/FGFRL1/ERBB4/EGFR/EPHB4/MET,18
GO:0004888,transmembrane signaling receptor activity,76/1342,462/13110,0.1645021645021645,1.6070218901813538,4.485636962939837,1.8550126656046033e-5,0.003517104013986328,0.003245295842352475,SCARB2/IL17RD/CD44/TGFBR1/PTPRU/DDR1/ROBO2/VLDLR/SORT1/PRLR/LANCL1/KREMEN1/LIFR/OSMR/SPHK2/IGF2R/EPHA4/TNFRSF10B/NTRK3/EPHB1/SORCS2/EPHA2/ANTXR2/CHRNB4/CELSR2/RET/MCHR1/CRIM1/NPC1/OPN3/CHRNA3/IL1RAP/SCN7A/NRP1/GPR157/EPHB3/ANTXR1/EDNRB/UNC5A/LTBP1/MERTK/GALR1/EFNA3/IFNGR1/F3/ZACN/ACVR1/EPHA8/FGFRL1/ERBB4/GRIN2A/GRM4/AGTRAP/IL10RB/ABCC9/FZD8/CLEC2D/HLA-DRA/EGFR/EPHB4/HLA-DRB1/GPR39/CHRM4/CHRNA5/FAS/GPR35/KISS1R/HPGD/MET/NFAM1/SSTR5/HLA-DOA/IFNLR1/P2RX5/P2RX6/KREMEN2,76
GO:0004713,protein tyrosine kinase activity,27/1342,114/13110,0.23684210526315788,2.31371087928465,4.757262112892535,2.405997774388551e-5,0.0038014764835339106,0.003507691492134888,MAP2K4/DDR1/IGF2R/EPHA4/HIPK3/NTRK3/DSTYK/EPHB1/WEE1/EPHA2/CLK1/RET/MATK/CRIM1/NRP1/EPHB3/MAP2K7/MERTK/EFNA3/ITK/EPHA8/FGFRL1/ERBB4/EGFR/EPHB4/JAK3/MET,27
GO:0005003,ephrin receptor activity,8/1342,18/13110,0.4444444444444444,4.3417784401390955,4.790938729952659,2.0160805362779365e-4,0.023890554354893546,0.022044249021670594,EPHA4/NTRK3/EPHB1/EPHA2/EPHB3/EFNA3/EPHA8/EPHB4,8
GO:0042605,peptide antigen binding,8/1342,18/13110,0.4444444444444444,4.3417784401390955,4.790938729952659,2.0160805362779365e-4,0.023890554354893546,0.022044249021670594,TAPBP/TAP2/HLA-DPB1/TAP1/HLA-E/HLA-DRA/HLA-DRB1/HLA-DOA,8
GO:0140375,immune receptor activity,14/1342,49/13110,0.2857142857142857,2.7911432829465612,4.241796835853137,2.793923555708297e-4,0.028614903671981832,0.026403492062421617,IL17RD/CD44/PRLR/LIFR/OSMR/IL1RAP/IFNGR1/F3/IL10RB/HLA-DRA/HLA-DRB1/GPR35/HLA-DOA/IFNLR1,14
GO:0019955,cytokine binding,19/1342,79/13110,0.24050632911392406,2.3495066875436246,4.06265013962946,3.0184497544284635e-4,0.028614903671981832,0.026403492062421617,TGFBR1/PRLR/LIFR/ITGB1/OSMR/PARK7/PXDN/ADAM17/NRP1/HYAL2/ITGAV/LTBP1/TGFB3/IFNGR1/ACVR1/PLP2/A2M/CD36/WFIKKN2,19
GO:0005201,extracellular matrix structural constituent,25/1342,119/13110,0.21008403361344538,2.052311237460707,3.8940910992140383,3.607175513815399e-4,0.02929605672663513,0.02703200437467666,COL4A2/COL4A1/SPON1/LAMC1/TFPI2/MATN2/THBS2/LAMA5/FCGBP/PXDN/COL1A2/COL4A5/LAMA1/ELN/COL18A1/LTBP1/COLQ/FBN2/MMRN1/SRPX/COL4A4/COL1A1/COL9A3/COL2A1/COL16A1,25
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",16/1342,62/13110,0.25806451612903225,2.5210326426614103,4.053891445181039,3.803417470646995e-4,0.02929605672663513,0.02703200437467666,GANAB/PGGHG/MAN2C1/HEXB/CEMIP2/HYAL2/MANBA/MANEA/FUCA1/NAGA/MGAM/MAN2A1/MAN1C1/GANC/CTBS/LCTL,16
GO:0015293,symporter activity,20/1342,87/13110,0.22988505747126436,2.2457474690374633,3.9368043265356167,4.0173917452136787e-4,0.02929605672663513,0.02703200437467666,SLC25A3/SLC1A2/SLC36A1/SLC6A15/SLC12A4/SLC39A10/SLC12A7/SLC17A6/SLC29A1/SLC16A3/SLC12A9/SLC16A7/SLC16A1/SLC22A5/SLC4A5/SLC24A1/SLC12A8/SLC4A11/SLC5A2/SLC1A3,20
GO:0050431,transforming growth factor beta binding,8/1342,20/13110,0.4,3.9076005961251865,4.39429929756415,4.8136692402976254e-4,0.032595417427158206,0.030076384501408475,TGFBR1/HYAL2/ITGAV/LTBP1/TGFB3/ACVR1/CD36/WFIKKN2,8
GO:0016798,"hydrolase activity, acting on glycosyl bonds",20/1342,89/13110,0.2247191011235955,2.1952812337781946,3.820785392033478,5.499039270762727e-4,0.03475392819122043,0.03206808164213211,GANAB/PGGHG/MAN2C1/HEXB/OARD1/CEMIP2/IL1RAP/HYAL2/MANBA/DCTD/MANEA/FUCA1/NAGA/MGAM/MAN2A1/MAN1C1/GANC/NEIL1/CTBS/LCTL,20
GO:0001618,virus receptor activity,14/1342,53/13110,0.2641509433962264,2.580490959705312,3.8933007962048864,6.735145106626044e-4,0.037558338594597,0.03465576212759283,SCARB2/CD46/NECTIN1/ITGB1/TFRC/EPHA2/RPSA/NPC1/HYAL2/ITGAV/CLDN1/CD55/EGFR/F11R,14
GO:0140272,exogenous protein binding,14/1342,53/13110,0.2641509433962264,2.580490959705312,3.8933007962048864,6.735145106626044e-4,0.037558338594597,0.03465576212759283,SCARB2/CD46/NECTIN1/ITGB1/TFRC/EPHA2/RPSA/NPC1/HYAL2/ITGAV/CLDN1/CD55/EGFR/F11R,14
