study	sample	total	PASS	PASS_DEL	PASS_DUP	PASS_INV	PASS_BND	PASS_other
A	RO_origin	6073	3803	2869	0	25	540	369
A	RO_B1TP	5417	3725	3001	0	15	400	309
A	RO_B2TP	5925	3857	3114	0	14	358	371
A	RO_tumor1	6444	3880	2993	0	17	426	444
A	RO_tumor2	4724	3362	2694	0	16	368	284
A	RO_tumor3	10118	5416	4347	0	27	508	534
B	L1L2_3M	16393	10425	8261	0	71	1250	843
B	L1L2H_3M	13201	8971	7181	0	75	1040	675
B	L1L2_12M	27337	14516	11860	0	77	1168	1411
B	L1L2H_12M	19299	11331	9103	0	67	1162	999
B	L1L2_18M	21038	12769	10269	0	75	1364	1061
B	L1L2H_18M	16581	11041	8926	0	65	1186	864
