taxon	HFD_AL_6_05_12	HFD_IF_7_06_12	HFD_AL_4_03_11	HFD_IF_4_02_25	HFD_AL_4_02_25	HFD_AL_6_05_22	HFD_AL_7_06_12	HFD_IF_6_05_22	HFD_IF_4_03_11	HFD_IF_6_05_12
Acetatifactor	0.06417	0.05876	3.84937	0.43126	5.05754	0.1475	0.09577	0.10308	0.23508	0.07477
Acutalibacter	0.5262	1.26709	0	0	0	0.58974	1.09252	0.36396	0	0.72408
Adlercreutzia	0.54599	0.45434	0.67145	0.80948	1.19718	0.48248	0.59838	0.23702	0.69572	0.75682
Akkermansia	11.41912	10.70872	12.77335	9.17964	1.83006	7.18257	17.87502	17.84428	25.84339	8.46656
Alistipes	1.0867	3.28422	0	0	0	2.05943	1.33202	2.75935	0	2.93495
Anaerotruncus	0.39296	0.96445	0.50732	0.16787	0.79581	0.66346	1.02518	0.16801	0.18977	0.8321
Bacillota_unclassified	3.90583	4.0896	2.60169	2.54262	3.30799	6.31617	4.2994	2.49937	1.46399	5.88557
Bacteria_unclassified	0.16728	0.01265	0.1871	0.38352	0.7894	0.01884	0.18238	0.01233	0.01937	0
Bacteroides	0	0	0	0	0	0	0.27702	0	0	0
Bifidobacterium	0.11151	0.19171	0.0663	0	0.01124	0.19859	0	0.04885	0.20139	0.29689
Clostridia_unclassified	1.08648	0.30449	0.78101	0.80234	1.1322	0.54185	0.88273	0.46142	0.04169	0.32817
Clostridium	0	0.00965	0.00187	0	0	0.00416	0	0	0	0.00401
Coriobacteriaceae_unclassified	0.07806	0.11826	0	0	0	0.09106	0.04762	0.06526	0	0.25662
Dubosiella	4.76807	0.17866	0.39614	14.584	0.22934	0.44265	0.6883	3.12731	0.09008	0.21942
Enterococcus	0.00096	0	0	0.00391	0.00365	0	0	0.07416	0	0
Erysipelotrichales_unclassified	0.02429	0	0.00033	0.01625	0.05617	0	0.00134	0.04175	0	0
Eubacteriaceae_unclassified	0	0.00512	0	0	0.06173	0	0	0.02263	0	0
Eubacteriales_unclassified	0.07128	0.02681	0.08118	0.19994	0.24548	0.1022	0.06099	0.15565	0.00598	0.02829
Faecalibaculum	1.7821	0.84064	0	0	0	0.69352	0.39658	0.55288	0	1.48521
GGB113719	0	0.00096	0.00238	0.01385	0.01975	0.00283	0.00303	0.01259	0	0
GGB114909	0	0	5e-05	0	0	0	0	0	0	0
GGB115370	0	0	0.05986	0	0	0	0	0	0	0
GGB115673	0	0	3.08527	1.19463	0	0	0	0	0.35524	0
GGB128694	0.04278	0.05181	0.12224	0.0477	0.18797	0.15862	0.01184	0.04243	0.03193	0.11889
GGB140903	0.02551	1.00377	0	0.01631	0	0.0076	0.10647	1.34337	0	3.04966
GGB142060	0	0	0	0	0	0	0	0.00966	0	0
GGB1503	0	0	0	4.18908	0	0	0	0	1.55682	0
GGB20149	1.48337	0.33776	2.71532	5.95662	3.92994	0.35536	0.20114	0.45084	0.28975	0.11879
GGB22635	0	0.01009	0.04036	0.00186	0.03383	0.00515	0.00641	0.00557	0.07767	0.01787
GGB27876	5.16294	9.44961	0	0	0	5.90681	6.60931	3.56895	0	7.37684
GGB27878	0.071	0.14579	0.26268	0.13535	0.62585	0.06461	0.01336	0.06886	0.51412	0.07841
GGB27918	21.87801	35.57683	10.27973	8.18519	13.21398	13.70351	28.38399	29.24998	42.25459	15.94278
GGB28382	0	0	0	0	0	0	0	0.15282	0	0
GGB28418	0	0	0.22756	0.16026	0.53769	0	0	0.00302	0.07047	0.00385
GGB28436	0	0.00473	0.0018	0.00277	0.01076	0.00647	0	0.01099	0.00515	0.00018
GGB28456	0	0	0	0	0	0	0.00979	0.01028	0	0
GGB28632	0	0	0	0.00159	0	0	0	9e-05	0	0
GGB28646	0	0.00933	0	0	0	0.00725	0	0	0	0
GGB28695	1.85971	0.01312	0	0	0	0.03449	0.10977	1.41285	0	0.01013
GGB28765	0.09816	0	0	0.00434	0	0.01379	0.09404	0.026	0	0.00063
GGB28769	0.00732	0	0	0.00838	0.0146	0.00333	0.00029	0	0	0
GGB28776	0	0	0.01738	0.01822	0.02192	0	0	0	0	0
GGB28778	0.18704	0.00247	0.02614	0.15968	0.04551	0.04067	0.02767	0.03732	0	0.00307
GGB28782	0	0	0	0	0.00185	0	0	0	0	0
GGB28784	0.11159	0.08058	0	0	0	0.31046	0.17099	0.08819	0	0.38486
GGB28790	0.03785	0.04121	0	0	0.01785	0.11911	0.05218	0.03223	0	0.03467
GGB28792	0	0	0.037	0.04943	0.02484	0	0	0	9e-05	0
GGB28798	0.19494	0.08162	0.33827	0.3513	0.33612	0.01767	0.02043	0.53144	0.00313	0.0678
GGB28810	0	0	0	0.00271	9e-05	0	0	0	0	0
GGB28814	0.01807	0.10143	0.19074	0.109	0.19171	0.07514	0.05171	0.06966	0.01054	0.11261
GGB28818	1.58104	0.07868	0.28072	1.00845	0.36153	0.56576	0.09899	1.23565	0.00286	0.08835
GGB28829	0.22578	0.04038	0	0	0	0.03428	0	0.01224	0	0.00738
GGB28843	0.00973	0.00876	0.04992	0.07531	0.14841	0.01764	0.02428	0.00839	0.00287	0.00705
GGB28851	0.08656	0.04889	0.22778	0.42022	0.31556	0.01472	0.0185	0.02823	0.00478	0.02509
GGB28862	0.16421	0.40136	0	0	0	2.24436	0.67319	0.82299	0.05962	1.90989
GGB28865	0	0	1.09942	0.02121	0	0	0	0	0.006	0
GGB28866	0.5413	1.12907	0	0	0	3.34263	0.60101	1.14742	0	2.4631
GGB28868	0	0	0.31832	0.32104	0.49689	0	0	0	0.01767	0
GGB28869	0.06169	0.14041	0.26052	0.25051	0.29374	0.1208	0.09831	0.07739	0.01348	0.15335
GGB28870	0.83068	0.59861	6.12706	2.84981	3.15248	1.77953	0.90792	0.50909	0.38093	4.07632
GGB28875	0	0.00207	0.00035	0.00027	0.01254	0.0083	0	0.0276	0	0
GGB28879	0.1569	0.06448	0.00119	0.01064	0	0.18817	0.11232	0.10792	0.02458	0.12144
GGB28881	0	0	0.10724	0.41624	0.20776	0	0	0	0	0
GGB28883	0.01176	0	0.0322	0.01406	0.01565	0.06842	0.12369	0.0431	0	0.00652
GGB28889	0.7459	0.00778	0.2355	0.54841	0.10087	0.1027	0.10301	0.06771	0.01159	0.00387
GGB28898	0	0	0	0	0.00735	0	0.00981	0.00056	0	0
GGB28904	2.8014	1.56158	3.73646	2.14132	3.84327	4.39377	2.7586	1.16815	0.25089	2.70855
GGB28909	0	0	0	0.00062	0.0016	0	0	0	0	0
GGB28916	0.0507	0	0.13509	0.81517	0.29367	0.00225	0	0.38303	0	0.03386
GGB28925	0.00238	0.00054	0	0.00883	0	0	0	0.00989	0	0
GGB28926	0	0.0016	0	0	0	0.00094	0.00251	0.00412	0	0
GGB28927	0.04219	0.03198	0.02779	0.0382	0.03126	0.11865	0.01951	0.17476	0.0019	0.01795
GGB28928	0.03573	0.0275	0.44386	0.40937	0.40883	0.02913	0.03009	0.06666	0.00378	0.0125
