taxon	meanAL	meanIF	meanRA	prev	log2FC	p	padj
Desulfosporosinus orientis	7.80876588459748e-06	0	3.90438294229874e-06	5	-3.13893991053199	0.00749495751693525	0.906864564007421
Aeromonas hydrophila	6.4997927276377e-05	1.91198423567007e-05	4.20588848165389e-05	9	-1.71380171469999	0.00793650793650794	0.906864564007421
Mycolicibacterium rufum	1.10676371336364e-05	5.69348419066489e-06	8.38056066215062e-06	10	-0.850313936999108	0.00793650793650794	0.906864564007421
Paenibacillus sp. 32O-W	2.16580558718454e-05	6.40981373709813e-06	1.40339348044718e-05	10	-1.61251489636642	0.00793650793650794	0.906864564007421
Pseudobutyrivibrio xylanivorans	5.38540323658858e-05	9.59148794868584e-06	3.17227601572858e-05	9	-2.37269239719017	0.00793650793650794	0.906864564007421
Saccharibacillus brassicae	1.59042963994203e-05	4.06709625123809e-06	9.9856963253292e-06	9	-1.7381588300559	0.00793650793650794	0.906864564007421
Paenibacillus sp. JNUCC31	8.62735294680876e-06	1.06358991376413e-06	4.84547143028645e-06	6	-2.22198288157617	0.0097007850682296	0.906864564007421
Faecalibacterium sp. IP-1-18	5.8918492422476e-05	1.09166076004805e-05	3.49175500114783e-05	7	-2.33002773508024	0.0111594252829148	0.906864564007421
Streptomyces sp. NBC_01317	6.57732748995231e-06	1.7018417535084e-06	4.13958462173036e-06	7	-1.48774592341811	0.0111594252829148	0.906864564007421
Bacillus shivajii	1.07851366087472e-05	2.58022721305906e-06	6.68268191090311e-06	8	-1.71884542814214	0.0119252335930176	0.906864564007421
Erwinia rhapontici	7.83177676700435e-06	2.44457645736984e-06	5.1381766121871e-06	8	-1.35837710575692	0.0119252335930176	0.906864564007421
Sphingomonas sp. AP4-R1	5.72933793234089e-06	2.01972281552237e-06	3.87453037393163e-06	8	-1.15604844321002	0.0119252335930176	0.906864564007421
Caulobacter flavus	1.29219724345092e-05	5.86435924297197e-06	9.39316583874057e-06	9	-1.02016666085162	0.0158730158730159	0.906864564007421
Desulfofarcimen acetoxidans	1.0440857251863e-05	4.26177999131841e-06	7.35131862159069e-06	9	-1.12057232379425	0.0158730158730159	0.906864564007421
Idiomarina sp. OT37-5b	1.69277766198255e-05	7.22801081287526e-06	1.20778937163504e-05	9	-1.12358098318593	0.0158730158730159	0.906864564007421
Ligilactobacillus murinus	8.13797165535705e-05	1.31847951744664e-05	4.72822558640185e-05	10	-2.5379438437473	0.0158730158730159	0.906864564007421
Luteococcus sp. OSA5	1.20719665493277e-05	5.95704230414106e-06	9.01450442673438e-06	10	-0.909930198264189	0.0158730158730159	0.906864564007421
Mediterraneibacter faecis	0.000183348834427817	5.59685651321429e-05	0.00011965869977998	10	-1.69420032020896	0.0158730158730159	0.906864564007421
Paenibacillus dendritiformis	1.71662339891617e-05	8.79950028227247e-06	1.29828671357171e-05	9	-0.890479280802833	0.0158730158730159	0.906864564007421
Syntrophothermus lipocalidus	1.31823772433673e-05	4.011443036405e-06	8.59691013988614e-06	9	-1.50080138679663	0.0158730158730159	0.906864564007421
Dyadobacter sp. NIV53	5.93834245277545e-06	8.33128522571534e-07	3.38573548767349e-06	6	-1.92028311056572	0.0177501136522907	0.906864564007421
Bacillus velezensis	8.52746440812519e-05	1.40503441101366e-05	4.96624940956942e-05	7	-2.51914014390445	0.0200081852916062	0.906864564007421
Anoxybacter fermentans	1.07715591467973e-05	3.0846070425699e-06	6.92808309468359e-06	8	-1.52703622199787	0.0211766578543166	0.906864564007421
Mesorhizobium sp. ASY16-5R	1.43329141204401e-05	4.36954973160779e-06	9.35123192602395e-06	8	-1.51375889675505	0.0211766578543166	0.906864564007421
Nitratireductor rhodophyticola	1.01420180608935e-05	3.55248769377564e-06	6.84725287733456e-06	8	-1.29128353723062	0.0211766578543166	0.906864564007421
Paraperibacillus esterisolvens	1.09727628242508e-05	3.33432635793185e-06	7.15354459109133e-06	8	-1.46587641377703	0.0211766578543166	0.906864564007421
Sporomusa ovata	1.39423370820805e-05	3.06105170166272e-06	8.50169439187159e-06	8	-1.87948051339973	0.0211766578543166	0.906864564007421
Arsenicicoccus dermatophilus	0	6.94798933814524e-06	3.47399466907262e-06	4	2.99058993728118	0.0253698598220537	0.906864564007421
Burkholderia cenocepacia	2.13403709257827e-05	0	1.06701854628914e-05	4	-4.48158123452886	0.0253698598220537	0.906864564007421
Candidatus Sulfidibacterium hydrothermale	4.57636809567835e-06	0	2.28818404783918e-06	4	-2.47932579655104	0.0253698598220537	0.906864564007421
Carnobacterium jeotgali	6.84442212127746e-06	0	3.42221106063873e-06	4	-2.97166717141582	0.0253698598220537	0.906864564007421
Cytobacillus oceanisediminis	3.63018843852021e-05	0	1.81509421926011e-05	4	-5.22117660806271	0.0253698598220537	0.906864564007421
Enterococcus avium	3.85258642752839e-06	0	1.92629321376419e-06	4	-2.27875390844769	0.0253698598220537	0.906864564007421
Haloimpatiens lingqiaonensis	8.18281294919215e-06	0	4.09140647459607e-06	4	-3.19893615867314	0.0253698598220537	0.906864564007421
Jeotgalibaca ciconiae	5.5377538932751e-06	0	2.76887694663755e-06	4	-2.70879506942174	0.0253698598220537	0.906864564007421
Kineococcus sp. DHX-1	4.5404663877497e-06	0	2.27023319387485e-06	4	-2.47000742518654	0.0253698598220537	0.906864564007421
Komagataeibacter medellinensis	1.16119004290732e-05	0	5.80595021453658e-06	4	-3.65671377999196	0.0253698598220537	0.906864564007421
Listeria monocytogenes	8.93583835749545e-06	0	4.46791917874773e-06	4	-3.31264170307363	0.0253698598220537	0.906864564007421
Metapseudomonas otitidis	0	1.28964173919516e-05	6.4482086959758e-06	4	3.79664108740001	0.0253698598220537	0.906864564007421
Nocardia salmonicida	8.44935419027597e-06	0	4.22467709513799e-06	4	-3.24021573268568	0.0253698598220537	0.906864564007421
Paenibacillus sp. P36	6.47998666365579e-06	0	3.2399933318279e-06	4	-2.90303569788099	0.0253698598220537	0.906864564007421
