HFD_AL_6_05_12	HFD_IF_7_06_12	HFD_AL_4_03_11	HFD_IF_4_02_25	HFD_AL_4_02_25	HFD_AL_6_05_22	HFD_AL_7_06_12	HFD_IF_6_05_22	HFD_IF_4_03_11	HFD_IF_6_05_12
HFD_AL_6_05_12	0	0.222484481231537	0.271189601888109	0.244450005096635	0.456228243641009	0.223584553788316	0.27580152352353	0.243285958470614	0.419429033603102	0.200223765226883
HFD_IF_7_06_12	0.222484481231537	0	0.183146241958941	0.197602026033071	0.570903988720328	0.223512309263898	0.176217106320646	0.148238213616139	0.29360411436215	0.203842625959482
HFD_AL_4_03_11	0.271189601888109	0.183146241958941	0	0.118224328165934	0.484298874676742	0.23406375744835	0.165443062430847	0.16134473068101	0.261658427833094	0.233970916277094
HFD_IF_4_02_25	0.244450005096635	0.197602026033071	0.118224328165934	0	0.429151277544585	0.224490480519421	0.211296126214533	0.218046329679532	0.337070278711192	0.246307703868848
HFD_AL_4_02_25	0.456228243641009	0.570903988720328	0.484298874676742	0.429151277544585	0	0.386178058806998	0.589336881394272	0.597737857197908	0.724642253198811	0.466980399543377
HFD_AL_6_05_22	0.223584553788316	0.223512309263898	0.23406375744835	0.224490480519421	0.386178058806998	0	0.309940223356979	0.291500411017723	0.443296642388731	0.133723936741978
HFD_AL_7_06_12	0.27580152352353	0.176217106320646	0.165443062430847	0.211296126214533	0.589336881394272	0.309940223356979	0	0.0839478759592304	0.201648223715203	0.315314995582986
HFD_IF_6_05_22	0.243285958470614	0.148238213616139	0.16134473068101	0.218046329679532	0.597737857197908	0.291500411017723	0.0839478759592304	0	0.204985003474763	0.279057798738429
HFD_IF_4_03_11	0.419429033603102	0.29360411436215	0.261658427833094	0.337070278711192	0.724642253198811	0.443296642388731	0.201648223715203	0.204985003474763	0	0.432756696734708
HFD_IF_6_05_12	0.200223765226883	0.203842625959482	0.233970916277094	0.246307703868848	0.466980399543377	0.133723936741978	0.315314995582986	0.279057798738429	0.432756696734708	0
