sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
HFD_AL_4_02_25,HFD_AL_4_02_25_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_4_02_25/HFD_AL_4_02_25_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_4_02_25/HFD_AL_4_02_25_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_AL_4_03_11,HFD_AL_4_03_11_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_4_03_11/HFD_AL_4_03_11_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_4_03_11/HFD_AL_4_03_11_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_AL_6_05_12,HFD_AL_6_05_12_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_6_05_12/HFD_AL_6_05_12_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_6_05_12/HFD_AL_6_05_12_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_AL_6_05_22,HFD_AL_6_05_22_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_6_05_22/HFD_AL_6_05_22_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_6_05_22/HFD_AL_6_05_22_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_AL_7_06_12,HFD_AL_7_06_12_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_7_06_12/HFD_AL_7_06_12_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_AL_7_06_12/HFD_AL_7_06_12_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_IF_4_02_25,HFD_IF_4_02_25_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_4_02_25/HFD_IF_4_02_25_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_4_02_25/HFD_IF_4_02_25_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_IF_4_03_11,HFD_IF_4_03_11_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_4_03_11/HFD_IF_4_03_11_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_4_03_11/HFD_IF_4_03_11_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_IF_6_05_12,HFD_IF_6_05_12_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_6_05_12/HFD_IF_6_05_12_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_6_05_12/HFD_IF_6_05_12_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_IF_6_05_22,HFD_IF_6_05_22_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_6_05_22/HFD_IF_6_05_22_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_6_05_22/HFD_IF_6_05_22_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
HFD_IF_7_06_12,HFD_IF_7_06_12_L4,ILLUMINA,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_7_06_12/HFD_IF_7_06_12_CKDL260012882-1A_23JCJ2LT3_L4_1.fq.gz,/home/gao/Dropbox/QTE_26_06_25_001_Daniel_Mendes/HFD_IF_7_06_12/HFD_IF_7_06_12_CKDL260012882-1A_23JCJ2LT3_L4_2.fq.gz,
