gene_id,gene_name,baseMean,log2FC_unshrunk,lfcSE_unshrunk,log2FC_shrunk_ashr,lfcSE_shrunk,pvalue,padj,raw_NC_1,raw_NC_2,raw_NC_3,raw_NC_4,raw_pi5_1,raw_pi5_2,raw_pi5_3,raw_pi5_4,norm_NC_1,norm_NC_2,norm_NC_3,norm_NC_4,norm_pi5_1,norm_pi5_2,norm_pi5_3,norm_pi5_4
RANBP3L,RANBP3L,3548.886373229744,0.2485466573167042,0.050019125681323946,0.12993309747725354,0.04229489991197862,6.728781894586419e-7,0.002410249674640855,4882,3246,3794,2917,3882,3299,3222,3391,3387.1730884082767,2994.425009533699,3426.4162629799102,3163.901379775995,3879.285429832985,3773.1644471739987,3967.7738783831555,3798.951489749931
CD99,CD99,25014.001905401787,0.19884619872379497,0.043778973526623674,0.11348341710761017,0.03927517504486176,5.571035443505529e-6,0.009977724479318403,34364,23915,25156,22634,26502,22269,22142,24743,23842.03523352356,22061.51389494714,22718.747367296422,24549.7921939835,26483.467918968,25469.717815737426,27267.054380868973,27719.68643788928
B2M,B2M,22319.915593702983,0.24882686033748985,0.05923523117084391,0.09406777194226004,0.05247536295230025,2.6614209429732043e-5,0.024255249998403946,30251,19420,22712,20454,24419,19726,20895,21659,20988.400880261936,17914.890229557743,20511.535625935616,22185.27213642036,24401.92450053881,22561.213060004335,25731.419984114225,24264.668332790847
HSD17B7,HSD17B7,3096.613033444812,0.1950960922611186,0.0470582869536254,0.09871417565748979,0.04394610393626928,3.385713288442762e-5,0.024255249998403946,4393,3026,3190,2606,3395,2737,2703,3012,3047.900732768857,2791.475686644785,2880.9351288629186,2826.577646793364,3392.6259748281773,3130.3883273462366,3328.64456650207,3374.3562038120886
SLC6A6,SLC6A6,56889.18356342772,0.14482209962358997,0.03477953903626548,0.09493615499111432,0.03308795268014182,3.12716209186297e-5,0.024255249998403946,76649,58284,60765,50082,57648,52142,48192,55679,53179.72758160713,53766.81061480656,54877.75018976654,54321.052074714215,57607.68842323851,59636.356654909556,59346.666277790515,62377.41669058874
IL4R,IL4R,7981.042349482624,0.14120049147396166,0.03508277716908467,0.09072017859891628,0.03399974961395215,5.7028385916474047e-5,0.025408351000942117,10842,8121,8500,7077,8447,7223,6640,7679,7522.271737919405,7491.597505367581,7676.472913898059,7676.013049254273,8441.093257547456,8261.159988462501,8176.914510386143,8602.815833025574
PGRMC1,PGRMC1,15317.174922039172,0.1514524352126348,0.03749519003089105,0.09287482637964084,0.03616356904356522,5.3622455528711075e-5,0.025408351000942117,20751,15141,15979,14073,16255,13762,13239,14452,14397.220146980775,13967.525899368373,14430.865963667893,15264.170078021109,16243.633349287782,15740.00882752609,16303.33903659671,16190.636074864644
TGFBR1,TGFBR1,10234.518427220839,0.19022035348772284,0.04757711863835563,0.09238175569781944,0.045194837479321834,6.384007789181436e-5,0.025408351000942117,14268,9956,10251,9128,10747,8892,9053,10333,9899.259652890063,9184.379357645566,9257.82633416106,9900.614259374453,10739.484934161537,10170.044942185872,11148.434798573155,11576.103138775004
XPR1,XPR1,7263.265756977975,0.15223205823707178,0.037814604801253364,0.09257938911865007,0.036529533674785966,5.6794559781807434e-5,0.025408351000942117,9748,7483,7795,6286,7761,6491,6072,7074,6763.245240844712,6903.044468989732,7039.77721927475,6818.061046716456,7755.572957479082,7423.9498110355935,7477.443510100099,7925.031801383372
SCCPDH,SCCPDH,4882.029798672632,0.1585530611724355,0.04031616612071199,0.09010648354035689,0.0393447757847679,8.398252303788351e-5,0.02734776341106352,6720,4807,5125,4362,5217,4335,4288,4595,4662.393108173621,4434.442705122764,4628.4616098503,4731.209399582753,5213.351902998115,4958.0684687782,5280.5134669481595,5147.797727927141
