gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
A1CF	A1CF	297	201	206	164	167	148	153	189
A2M	A2M	2412	2001	1994	1599	1843	1657	1473	1520
A4GALT	A4GALT	8	9	6	5	8	7	8	7
A4GNT	A4GNT	11	10	7	12	9	14	8	10
AAAS	AAAS	859	717	813	639	566	570	464	575
AACS	AACS	3429	2621	2568	2085	2310	2040	1897	2015
AAGAB	AAGAB	4746	3540	3549.001	2946	3360.001	2931	2549	2731
AAK1	AAK1	8337	7254	6768.999	5423	6225	5565.001	4768	5736
AAMDC	AAMDC	54	18	13	15	18	14	11	17
AAMP	AAMP	4948	3853	4138	3416	3588	3041	2523	2896
AANAT	AANAT	0	0	0	0	0	0	0	0
AAR2	AAR2	4673	3563	3212	2835	3261	2868	2407	2624
AARD	AARD	2	0	0	1	0	0	0	2
AARS1	AARS1	3759	2639	2588	2107	2485	2052	1811	2231
AARS2	AARS2	502	473	406	389	379	334	303	326
AARSD1	AARSD1	2732	1886	1911	1645	1753	1390	1435	1358
AASDH	AASDH	2264.001	1716.001	2012	1590	1524	1445	1508	1479
AASDHPPT	AASDHPPT	683	440.999	407.001	326	437	322	306	373
AASS	AASS	67	59	81	49	53	70	41	63
AATF	AATF	3165	2371	2236	1865	2079	1744	1582	1935
AATK	AATK	718	597.999	596	482	466	459	448	439
ABAT	ABAT	924	587	704	504	536	496	545	515
ABCA1	ABCA1	8176	6602	6313	5496	6104	5420	5010	5534
ABCA12	ABCA12	26	39	20	23	18	10	11	18
ABCA13	ABCA13	1	1	0	1	0	0	6	0
ABCA2	ABCA2	648	499	535	413	487	406	344	468
ABCA3	ABCA3	2458	1985	2180	1640	1850	1678	1553	1597
ABCA4	ABCA4	178	135	125	109	124	102	110	97
ABCA5	ABCA5	1297	936	949	741	944	817	686	868
ABCA7	ABCA7	1	0	0	3	1	0	0	0
ABCB10	ABCB10	5827	4648	4808	3831	4237	3716	3681	3937
ABCB11	ABCB11	12	11	19	6	6	13	13	3
ABCB4	ABCB4	303.043	215	201	196.999	220	164	186	186
ABCB6	ABCB6	10621	8321	9440	7631.269	8047	6518	6719	6813
ABCB7	ABCB7	8872	7014	7266	5897	6338	5999	5376	6169
ABCB8	ABCB8	2647	2126	2242	1917	2013	1810	1617	1748
ABCB9	ABCB9	188.004	126	165	108	93	89	118	119
ABCC1	ABCC1	2683	2219	2251	1764	1842	1781	1629	1895
ABCC10	ABCC10	447	436	460	335	356	356	281	353
ABCC12	ABCC12	6953	4986	5514	4584	4831	3803	4226	3906
ABCC2	ABCC2	758	509	559	409	533	422	358	424
ABCC3	ABCC3	10	21	10	13	13	6	7	12
ABCC4	ABCC4	2604	2044	2101	1624	1981	1740	1490	1730
ABCC5	ABCC5	4211	3853	4097	3341	3047.001	3155.001	3087.999	2918.999
ABCC6	ABCC6	123	130	139	98	94	121	97	95
ABCC8	ABCC8	0	1	0	0	0	0	0	1
ABCC9	ABCC9	0	0	0	0	0	0	0	0
ABCD1	ABCD1	136	125	142	117	107	99	89	107
ABCD2	ABCD2	392	332	295	285	263	235	226	256
ABCD3	ABCD3	14764	10194	10375.999	8501	9958	8625	8039	9313
ABCD4	ABCD4	4162	3177	3506	3069	3030	2711	2370	2788
ABCE1	ABCE1	14316	9723	9926	8015	9189	7885	7553	8104
ABCF1	ABCF1	8338	6399	6229	5244	5843	5224	4540	5061
ABCF2	ABCF2	8845	7243	6926	5831	6368	5578	5028	5559
ABCF3	ABCF3	5091	4252	4591	3761	3706	3325	3280	3433
ABCG1	ABCG1	51	30	44	27	29	25	19	39
ABCG2	ABCG2	5185	3631	3836	3221	3528	3241	2928	3262
ABCG4	ABCG4	14.003	11	17.996	14.003	15	18	12	13
ABCG5	ABCG5	0	0	0	0	2	0	1	1
ABHD1	ABHD1	43	32	23	10	21	21	20	21
ABHD10	ABHD10	282	164	210	180	187	156	146	201
ABHD12	ABHD12	5934	4358	4887	4212	4650	3955	3575	3799
ABHD13	ABHD13	1640	1180	1307	1111	1189	1063	912	1051
ABHD14A	ABHD14A	178	142	179	163	189	106	136	100
ABHD14B	ABHD14B	991	670	652	566	615	544	468	509
ABHD15	ABHD15	43	48	38	54	24	35	27	50
ABHD16A	ABHD16A	2786	2067	2173	2027	2097	1865	1696	1714
ABHD16B	ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	ABHD17A	1435	1101	1118	1000	1106	897	812	799
ABHD17B	ABHD17B	2883	2073	2160.999	1750	2016	1566.999	1646.001	1744
ABHD17C	ABHD17C	1849	1313	1348	1105	1327	975	977	1058
ABHD18	ABHD18	3959	3181	3328	2613	2776	2456	2626	2541
ABHD2	ABHD2	22187	15865	16355	14666	16382	13789	13371	14738
ABHD3	ABHD3	386	287	340	273	333	242	267	218
ABHD4	ABHD4	1148	938	1024	763	820	748	608.999	699
ABHD5	ABHD5	848	558	594	465	557	475	447	484
ABHD6	ABHD6	3940.999	2845	2993	2717.001	3103	2520.001	2580	2558
