gene_id	gene_name	NC_1	NC_2	NC_3	NC_4	pi5_1	pi5_2	pi5_3	pi5_4
A1CF	A1CF	1.11913	1.020079	1.019899	0.957238	0.885211	0.930155	1.009628	1.162893
A2M	A2M	16.685544	18.884293	18.240454	17.396615	18.260295	19.340518	18.155083	17.481249
A4GALT	A4GALT	0.162031	0.255284	0.163439	0.161095	0.236464	0.246454	0.293553	0.240064
A4GNT	A4GNT	0.323106	0.418891	0.279746	0.564991	0.390334	0.729794	0.430289	0.503377
AAAS	AAAS	14.160264	16.430689	17.939418	16.704053	13.551269	16.196473	13.796968	15.970815
AACS	AACS	60.878104	64.848322	61.125122	58.762429	59.660989	62.606723	60.839722	60.376651
AAGAB	AAGAB	62.98044	63.259673	62.740891	61.84447	65.086157	63.150919	59.59844	60.088961
AAK1	AAK1	25.054666	29.482954	26.793841	25.547863	26.698386	27.994027	25.440768	28.524271
AAMDC	AAMDC	17.419599	11.731554	8.677761	11.099866	12.602625	10.941612	9.865109	12.899455
AAMP	AAMP	99.441815	108.420895	111.872433	109.20016	105.169096	106.247507	91.885482	98.571677
AANAT	AANAT	0	0	0	0	0	0	0	0
AAR2	AAR2	57.982542	60.971404	53.076608	55.594534	58.465361	60.788542	53.619143	54.568777
AARD	AARD	0.189476	0	0	0.161765	0	0	0	0.354798
AARS1	AARS1	96.032374	95.413844	89.518073	86.005836	93.277369	92.224846	84.339836	97.182475
AARS2	AARS2	4.332674	5.714343	4.621136	5.321551	4.741354	4.837426	4.666917	4.670687
AARSD1	AARSD1	126.819057	129.23496	123.365308	124.162975	122.831268	119.138698	124.447625	110.511077
AASDH	AASDH	20.038287	20.871823	24.16866	22.855024	20.289921	21.293756	24.203674	22.314711
AASDHPPT	AASDHPPT	13.094972	11.958967	10.533695	10.013944	12.379973	10.86563	10.780391	12.21829
AASS	AASS	0.50602	0.608808	0.809808	0.582542	0.574861	0.893513	0.552835	0.792476
AATF	AATF	28.662563	29.421572	26.870043	26.6193	27.090052	26.781012	25.628555	29.242698
AATK	AATK	2.307904	2.59729	2.529476	2.428604	2.08583	2.554622	2.64033	2.336674
ABAT	ABAT	6.329639	5.486494	6.378319	5.43157	5.268466	5.733681	6.659981	5.870487
ABCA1	ABCA1	23.868944	26.100708	24.257475	25.160841	25.444044	26.474585	25.974609	26.748464
ABCA12	ABCA12	0.082785	0.168248	0.083844	0.114865	0.081861	0.053305	0.062219	0.094922
ABCA13	ABCA13	0.001899	0.002567	0	0.002976	0	0	0.020214	0
ABCA2	ABCA2	2.079489	2.169733	2.260518	2.078839	2.23227	2.18131	1.961112	2.487459
ABCA3	ABCA3	12.30355	13.516015	14.425032	12.921704	13.310051	14.143947	13.90292	13.262362
ABCA4	ABCA4	0.770014	0.79298	0.712951	0.740274	0.767258	0.740524	0.846422	0.695987
ABCA5	ABCA5	5.21141	5.103708	5.025595	4.673163	5.423276	5.505641	4.901203	5.782479
ABCA7	ABCA7	0.005609	0	0	0.023014	0.006547	0	0	0
ABCB10	ABCB10	40.966327	44.601369	44.716722	42.37858	42.751455	44.10352	46.175001	46.068928
ABCB11	ABCB11	0.077032	0.096266	0.161227	0.060572	0.055236	0.140692	0.148795	0.032028
ABCB4	ABCB4	2.904171	2.666351	2.528042	2.891861	3.11471	2.668829	3.042443	2.859824
ABCB6	ABCB6	116.263217	125.265465	137.367598	131.864281	127.04496	121.488014	131.823556	124.759005
ABCB7	ABCB7	46.80586	50.336535	50.600476	48.880502	47.883691	53.224745	50.503918	54.047274
ABCB8	ABCB8	35.799934	39.741355	40.438522	41.013691	39.394049	41.919877	39.313337	39.680584
ABCB9	ABCB9	1.624702	1.498683	1.87255	1.504162	1.123875	1.270568	1.815221	1.72189
ABCC1	ABCC1	13.46755	15.091571	14.869597	13.777897	13.134731	14.936186	14.537298	15.664745
ABCC10	ABCC10	3.00884	4.003396	4.094604	3.547168	3.437868	4.04272	3.373713	3.953298
ABCC12	ABCC12	61.515617	60.423265	64.704516	63.924857	61.489621	57.032412	66.865426	57.631461
ABCC2	ABCC2	4.676992	4.279552	4.557957	3.967946	4.714843	4.387439	3.937421	4.349538
ABCC3	ABCC3	0.056998	0.162956	0.075278	0.116461	0.106167	0.057566	0.071081	0.113647
ABCC4	ABCC4	20.150486	21.61804	21.526581	19.784986	22.020378	22.765677	20.589327	22.302185
ABCC5	ABCC5	23.807946	29.274346	32.665164	29.838383	27.156735	29.42417	31.203028	26.516485
ABCC6	ABCC6	0.954744	1.379228	1.428611	1.197627	1.048138	1.588095	1.344549	1.228501
ABCC8	ABCC8	0	0.023621	0	0	0	0	0	0.028621
ABCC9	ABCC9	0	0	0	0	0	0	0	0
ABCD1	ABCD1	0.979858	1.229645	1.353723	1.326553	1.106658	1.204593	1.144353	1.283412
ABCD2	ABCD2	1.355993	1.532196	1.346544	1.522278	1.279346	1.340144	1.367281	1.444001
ABCD3	ABCD3	156.61982	148.621616	146.259868	142.313123	152.291746	155.675664	152.787265	165.195697
ABCD4	ABCD4	40.449099	42.151433	44.88846	46.83911	42.187141	44.605733	41.211884	45.079496
